"m11125","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"3 on Scale 1 to 10","1985","in school","West Germany","","","",""
"3 on Scale 1 to 10","1985","in school","East Germany","","","",""
"3 on Scale 1 to 10","1985","inadequately","West Germany","43","0.0564455524080573","0.0408575525869144","0.0720335522292002"
"3 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"3 on Scale 1 to 10","1985","general elemantary","West Germany","129","0.050833616263348","0.0430559305849506","0.0586113019417454"
"3 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"3 on Scale 1 to 10","1985","middle vocational","West Germany","189","0.0391091238538925","0.0338279916989372","0.0443902560088478"
"3 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"3 on Scale 1 to 10","1985","vocational + Abi","West Germany","11","","",""
"3 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"3 on Scale 1 to 10","1985","higher vocational","West Germany","24","","",""
"3 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"3 on Scale 1 to 10","1985","higher education","West Germany","21","","",""
"3 on Scale 1 to 10","1985","higher education","East Germany","","","",""
"4 on Scale 1 to 10","1985","in school","West Germany","5","","",""
"4 on Scale 1 to 10","1985","in school","East Germany","","","",""
"4 on Scale 1 to 10","1985","inadequately","West Germany","49","0.0558477837643986","0.0403376327814218","0.0713579347473754"
"4 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"4 on Scale 1 to 10","1985","general elemantary","West Germany","154","0.0575582950527657","0.049311505364081","0.0658050847414503"
"4 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"4 on Scale 1 to 10","1985","middle vocational","West Germany","247","0.0530142425252116","0.0469101801746002","0.0591183048758231"
"4 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"4 on Scale 1 to 10","1985","vocational + Abi","West Germany","10","","",""
"4 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"4 on Scale 1 to 10","1985","higher vocational","West Germany","32","0.0489961308459799","0.0319774502223092","0.0660148114696505"
"4 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"4 on Scale 1 to 10","1985","higher education","West Germany","17","","",""
"4 on Scale 1 to 10","1985","higher education","East Germany","","","",""
"5 on Scale 1 to 10","1985","in school","West Germany","12","","",""
"5 on Scale 1 to 10","1985","in school","East Germany","","","",""
"5 on Scale 1 to 10","1985","inadequately","West Germany","128","0.173166918000544","0.147608531619029","0.198725304382058"
"5 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"5 on Scale 1 to 10","1985","general elemantary","West Germany","528","0.187952664418728","0.174119592759","0.201785736078456"
"5 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"5 on Scale 1 to 10","1985","middle vocational","West Germany","766","0.155292216347816","0.145425354455611","0.165159078240022"
"5 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"5 on Scale 1 to 10","1985","vocational + Abi","West Germany","36","0.10019857151808","0.0647102181999464","0.135686924836214"
"5 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"5 on Scale 1 to 10","1985","higher vocational","West Germany","93","0.156709529617898","0.128048607876412","0.185370451359384"
"5 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"5 on Scale 1 to 10","1985","higher education","West Germany","80","0.108747399079457","0.0865700314499572","0.130924766708957"
"5 on Scale 1 to 10","1985","higher education","East Germany","","","",""
"6 on Scale 1 to 10","1985","in school","West Germany","3","","",""
"6 on Scale 1 to 10","1985","in school","East Germany","","","",""
"6 on Scale 1 to 10","1985","inadequately","West Germany","64","0.0533316222879128","0.0381547116243512","0.0685085329514745"
"6 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"6 on Scale 1 to 10","1985","general elemantary","West Germany","236","0.087647610043534","0.0776348212191971","0.0976603988678709"
"6 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"6 on Scale 1 to 10","1985","middle vocational","West Germany","424","0.0837113818018419","0.0761663798136663","0.0912563837900175"
"6 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"6 on Scale 1 to 10","1985","vocational + Abi","West Germany","23","","",""
"6 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"6 on Scale 1 to 10","1985","higher vocational","West Germany","57","0.0961066946510576","0.0728692023493194","0.119344186952796"
"6 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"6 on Scale 1 to 10","1985","higher education","West Germany","55","0.080034042685317","0.0607044186504875","0.0993636667201465"
"6 on Scale 1 to 10","1985","higher education","East Germany","","","",""
"7 on Scale 1 to 10","1985","in school","West Germany","24","","",""
"7 on Scale 1 to 10","1985","in school","East Germany","","","",""
"7 on Scale 1 to 10","1985","inadequately","West Germany","112","0.115275311086242","0.0937046095321045","0.136846012640379"
"7 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"7 on Scale 1 to 10","1985","general elemantary","West Germany","375","0.124766763668086","0.113065976866003","0.136467550470168"
"7 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"7 on Scale 1 to 10","1985","middle vocational","West Germany","716","0.141215112069074","0.13172800632109","0.150702217817058"
"7 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"7 on Scale 1 to 10","1985","vocational + Abi","West Germany","38","0.146848383158424","0.105014378755613","0.188682387561234"
"7 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"7 on Scale 1 to 10","1985","higher vocational","West Germany","81","0.127329075286261","0.101048013981887","0.153610136590636"
"7 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"7 on Scale 1 to 10","1985","higher education","West Germany","113","0.155918356595832","0.130075471097482","0.181761242094183"
"7 on Scale 1 to 10","1985","higher education","East Germany","","","",""
"8 on Scale 1 to 10","1985","in school","West Germany","43","0.234384098648804","0.173505988290735","0.295262209006872"
"8 on Scale 1 to 10","1985","in school","East Germany","","","",""
"8 on Scale 1 to 10","1985","inadequately","West Germany","153","0.166189089163902","0.141045510763463","0.191332667564341"
"8 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"8 on Scale 1 to 10","1985","general elemantary","West Germany","551","0.165745889580624","0.152579270492342","0.178912508668905"
"8 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"8 on Scale 1 to 10","1985","middle vocational","West Germany","1082","0.198097973585873","0.187239928786975","0.208956018384771"
"8 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"8 on Scale 1 to 10","1985","vocational + Abi","West Germany","58","0.226196742364188","0.176749714317383","0.275643770410992"
"8 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"8 on Scale 1 to 10","1985","higher vocational","West Germany","141","0.225507434819872","0.192558383677238","0.258456485962506"
"8 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"8 on Scale 1 to 10","1985","higher education","West Germany","205","0.260545314378763","0.229277496946411","0.291813131811115"
"8 on Scale 1 to 10","1985","higher education","East Germany","","","",""
"9 on Scale 1 to 10","1985","in school","West Germany","37","0.222451555308909","0.162682957029265","0.282220153588553"
"9 on Scale 1 to 10","1985","in school","East Germany","","","",""
"9 on Scale 1 to 10","1985","inadequately","West Germany","67","0.0763453339616324","0.058408817141736","0.0942818507815289"
"9 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"9 on Scale 1 to 10","1985","general elemantary","West Germany","314","0.0952472905655196","0.0848529971550892","0.10564158397595"
"9 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"9 on Scale 1 to 10","1985","middle vocational","West Germany","581","0.103622465354004","0.095319687862445","0.111925242845563"
"9 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"9 on Scale 1 to 10","1985","vocational + Abi","West Germany","33","0.112650460858875","0.0752828273780191","0.150018094339731"
"9 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"9 on Scale 1 to 10","1985","higher vocational","West Germany","65","0.105865166174557","0.0816084558135446","0.13012187653557"
"9 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"9 on Scale 1 to 10","1985","higher education","West Germany","135","0.163819504440893","0.137454188996333","0.190184819885453"
"9 on Scale 1 to 10","1985","higher education","East Germany","","","",""
"10 Completely satisfied","1985","in school","West Germany","59","0.263667387236503","0.200345063347445","0.326989711125562"
"10 Completely satisfied","1985","in school","East Germany","","","",""
"10 Completely satisfied","1985","inadequately","West Germany","143","0.187466049531079","0.16110430680678","0.213827792255379"
"10 Completely satisfied","1985","inadequately","East Germany","","","",""
"10 Completely satisfied","1985","general elemantary","West Germany","562","0.147388357803341","0.134836415629842","0.15994029997684"
"10 Completely satisfied","1985","general elemantary","East Germany","","","",""
"10 Completely satisfied","1985","middle vocational","West Germany","887","0.163135744591965","0.153069834866743","0.173201654317186"
"10 Completely satisfied","1985","middle vocational","East Germany","","","",""
"10 Completely satisfied","1985","vocational + Abi","West Germany","49","0.151145719670318","0.108811043511252","0.193480395829384"
"10 Completely satisfied","1985","vocational + Abi","East Germany","","","",""
"10 Completely satisfied","1985","higher vocational","West Germany","87","0.12836529705976","0.101993184242541","0.15473740987698"
"10 Completely satisfied","1985","higher vocational","East Germany","","","",""
"10 Completely satisfied","1985","higher education","West Germany","114","0.146651835508833","0.121451458845101","0.171852212172566"
"10 Completely satisfied","1985","higher education","East Germany","","","",""
"0 Completely dissatisfied","1986","in school","West Germany","","","",""
"0 Completely dissatisfied","1986","in school","East Germany","","","",""
"0 Completely dissatisfied","1986","inadequately","West Germany","28","","",""
"0 Completely dissatisfied","1986","inadequately","East Germany","","","",""
"0 Completely dissatisfied","1986","general elemantary","West Germany","71","0.0308225150735146","0.0245460727289701","0.0370989574180591"
"0 Completely dissatisfied","1986","general elemantary","East Germany","","","",""
"0 Completely dissatisfied","1986","middle vocational","West Germany","107","0.025090252709093","0.020756898751713","0.029423606666473"
"0 Completely dissatisfied","1986","middle vocational","East Germany","","","",""
"0 Completely dissatisfied","1986","vocational + Abi","West Germany","3","","",""
"0 Completely dissatisfied","1986","vocational + Abi","East Germany","","","",""
"0 Completely dissatisfied","1986","higher vocational","West Germany","9","","",""
"0 Completely dissatisfied","1986","higher vocational","East Germany","","","",""
"0 Completely dissatisfied","1986","higher education","West Germany","5","","",""
"0 Completely dissatisfied","1986","higher education","East Germany","","","",""
"1 on Scale 1 to 10","1986","in school","West Germany","","","",""
"1 on Scale 1 to 10","1986","in school","East Germany","","","",""
"1 on Scale 1 to 10","1986","inadequately","West Germany","20","","",""
"1 on Scale 1 to 10","1986","inadequately","East Germany","","","",""
"1 on Scale 1 to 10","1986","general elemantary","West Germany","46","0.0219114932839331","0.0165952736561234","0.0272277129117428"
"1 on Scale 1 to 10","1986","general elemantary","East Germany","","","",""
"1 on Scale 1 to 10","1986","middle vocational","West Germany","47","0.010001855664494","0.00724479118997984","0.0127589201390082"
"1 on Scale 1 to 10","1986","middle vocational","East Germany","","","",""
"1 on Scale 1 to 10","1986","vocational + Abi","West Germany","2","","",""
"1 on Scale 1 to 10","1986","vocational + Abi","East Germany","","","",""
"1 on Scale 1 to 10","1986","higher vocational","West Germany","6","","",""
"1 on Scale 1 to 10","1986","higher vocational","East Germany","","","",""
"1 on Scale 1 to 10","1986","higher education","West Germany","8","","",""
"1 on Scale 1 to 10","1986","higher education","East Germany","","","",""
"2 on Scale 1 to 10","1986","in school","West Germany","1","","",""
"2 on Scale 1 to 10","1986","in school","East Germany","","","",""
"2 on Scale 1 to 10","1986","inadequately","West Germany","33","0.0446543572489628","0.0302241386645874","0.0590845758333382"
"2 on Scale 1 to 10","1986","inadequately","East Germany","","","",""
"2 on Scale 1 to 10","1986","general elemantary","West Germany","54","0.0217161493363286","0.0164231516929006","0.0270091469797565"
"2 on Scale 1 to 10","1986","general elemantary","East Germany","","","",""
"2 on Scale 1 to 10","1986","middle vocational","West Germany","124","0.0269201721510334","0.0224357902433187","0.0314045540587481"
"2 on Scale 1 to 10","1986","middle vocational","East Germany","","","",""
"2 on Scale 1 to 10","1986","vocational + Abi","West Germany","8","","",""
"2 on Scale 1 to 10","1986","vocational + Abi","East Germany","","","",""
"2 on Scale 1 to 10","1986","higher vocational","West Germany","17","","",""
"2 on Scale 1 to 10","1986","higher vocational","East Germany","","","",""
"2 on Scale 1 to 10","1986","higher education","West Germany","8","","",""
"2 on Scale 1 to 10","1986","higher education","East Germany","","","",""
"3 on Scale 1 to 10","1986","in school","West Germany","3","","",""
