"m11125","year","e11102","n","percent","lower_confidence","upper_confidence"
"9 on Scale 1 to 10","1985","Not Employed","411","0.0887916598388708","0.0801995074010221","0.0973838122767195"
"0 Completely dissatisfied","1986","Employed","73","0.0106227535278053","0.00816541824405236","0.0130800888115583"
"0 Completely dissatisfied","1986","Not Employed","153","0.0447323308914356","0.0382694653605485","0.0511951964223227"
"1 on Scale 1 to 10","1986","Employed","51","0.00703929927999014","0.00503530881868259","0.00904328974129769"
"1 on Scale 1 to 10","1986","Not Employed","80","0.0233057666569567","0.0185887998023097","0.0280227335116038"
"10 Completely satisfied","1986","Employed","1096","0.151521202618706","0.142926673124183","0.160115732113229"
"10 Completely satisfied","1986","Not Employed","563","0.115587976987117","0.105591764800625","0.125584189173609"
"2 on Scale 1 to 10","1986","Employed","109","0.016016336800698","0.0130072103008178","0.0190254633005781"
"2 on Scale 1 to 10","1986","Not Employed","140","0.0374094613147021","0.031476611735341","0.0433423108940633"
"3 on Scale 1 to 10","1986","Employed","241","0.0342201914192204","0.0298626132865703","0.0385777695518705"
"3 on Scale 1 to 10","1986","Not Employed","199","0.0570598907598844","0.0498078649932238","0.0643119165265449"
"4 on Scale 1 to 10","1986","Employed","308","0.0489905252139671","0.0438166806823869","0.0541643697455473"
"4 on Scale 1 to 10","1986","Not Employed","231","0.0633236950467786","0.0557093998960519","0.0709379901975053"
"5 on Scale 1 to 10","1986","Employed","903","0.137400155985964","0.129148080245798","0.145652231726129"
"5 on Scale 1 to 10","1986","Not Employed","642","0.181817244618552","0.169758710607357","0.193875778629748"
"6 on Scale 1 to 10","1986","Employed","551","0.0807605026090971","0.0742295166549926","0.0872914885632015"
"6 on Scale 1 to 10","1986","Not Employed","349","0.0987549170862229","0.0894276881994053","0.108082145973041"
"7 on Scale 1 to 10","1986","Employed","973","0.151495572698226","0.14290164032475","0.160089505071703"
"7 on Scale 1 to 10","1986","Not Employed","437","0.111045195219342","0.101222254059106","0.120868136379579"
"8 on Scale 1 to 10","1986","Employed","1491","0.228328540875253","0.218267075790019","0.238390005960486"
"8 on Scale 1 to 10","1986","Not Employed","714","0.172839384434933","0.161018006690389","0.184660762179477"
"9 on Scale 1 to 10","1986","Employed","890","0.133604918971073","0.125449728330184","0.141760109611963"
"9 on Scale 1 to 10","1986","Not Employed","422","0.0941241369840754","0.0849948541221222","0.103253419846029"
"0 Completely dissatisfied","1987","Employed","58","0.00895635192802158","0.00670077395102961","0.0112119299050136"
"0 Completely dissatisfied","1987","Not Employed","126","0.0382150508868742","0.032113884357828","0.0443162174159204"
"1 on Scale 1 to 10","1987","Employed","49","0.006295471463376","0.00440186972504256","0.00818907320170944"
"1 on Scale 1 to 10","1987","Not Employed","92","0.030223396881419","0.024775057431002","0.0356717363318361"
"10 Completely satisfied","1987","Employed","991","0.131116168261064","0.123035358890909","0.139196977631218"
"10 Completely satisfied","1987","Not Employed","484","0.102505752742376","0.0928531012567975","0.112158404227954"
"2 on Scale 1 to 10","1987","Employed","160","0.0227129948241533","0.0191460684727864","0.0262799211755203"
"2 on Scale 1 to 10","1987","Not Employed","145","0.0440089423938506","0.0374813346260955","0.0505365501616056"
"3 on Scale 1 to 10","1987","Employed","237","0.0370881470677701","0.0325637916547366","0.0416125024808035"
"3 on Scale 1 to 10","1987","Not Employed","187","0.0512449143838947","0.0442277909817132","0.0582620377860761"
"4 on Scale 1 to 10","1987","Employed","263","0.0410775617677875","0.0363259609495553","0.0458291625860197"
"4 on Scale 1 to 10","1987","Not Employed","205","0.0608279488816564","0.0532215195323957","0.0684343782309171"
"5 on Scale 1 to 10","1987","Employed","895","0.140071928300218","0.131762856799087","0.148380999801349"
"5 on Scale 1 to 10","1987","Not Employed","599","0.179542338974339","0.167328049841152","0.191756628107526"
"6 on Scale 1 to 10","1987","Employed","563","0.0866702567635819","0.0799343708733908","0.0934061426537729"
"6 on Scale 1 to 10","1987","Not Employed","372","0.105312457603828","0.0955438595835673","0.115081055624089"
"7 on Scale 1 to 10","1987","Employed","1051","0.161989258028756","0.153168340123754","0.170810175933759"
"7 on Scale 1 to 10","1987","Not Employed","518","0.133549095981143","0.122723567036807","0.144374624925478"
"8 on Scale 1 to 10","1987","Employed","1598","0.241925359138269","0.231672557363439","0.252178160913099"
"8 on Scale 1 to 10","1987","Not Employed","684","0.171336240568829","0.159344824850409","0.183327656287248"
"9 on Scale 1 to 10","1987","Employed","837","0.122096502457002","0.114258220520881","0.129934784393124"
"9 on Scale 1 to 10","1987","Not Employed","381","0.0832338607017907","0.0744429074320893","0.092024813971492"
"0 Completely dissatisfied","1988","Employed","53","0.00841449721571037","0.00618340229072246","0.0106455921406983"
"0 Completely dissatisfied","1988","Not Employed","136","0.0471434486508912","0.0401831869336726","0.0541037103681097"
"1 on Scale 1 to 10","1988","Employed","45","0.00703234034279567","0.00499127752593543","0.00907340315965591"
"1 on Scale 1 to 10","1988","Not Employed","93","0.0296442498547067","0.0240744850332464","0.0352140146761669"
"10 Completely satisfied","1988","Employed","847","0.114878352976775","0.107089751909849","0.122666954043701"
"10 Completely satisfied","1988","Not Employed","389","0.0821252782300222","0.0731089177825912","0.0911416386774532"
"2 on Scale 1 to 10","1988","Employed","129","0.0200019398381357","0.0165822434881923","0.0234216361880792"
"2 on Scale 1 to 10","1988","Not Employed","151","0.0517723928477786","0.0444961606433618","0.0590486250521954"
"3 on Scale 1 to 10","1988","Employed","259","0.0392708113254222","0.0345264876763812","0.0440151349744633"
"3 on Scale 1 to 10","1988","Not Employed","192","0.0598516774486022","0.0520616769656824","0.067641677931522"
"4 on Scale 1 to 10","1988","Employed","295","0.0508232259928294","0.0454585494231056","0.0561879025625533"
"4 on Scale 1 to 10","1988","Not Employed","203","0.0588086942158895","0.0510825847857276","0.0665348036460515"
"5 on Scale 1 to 10","1988","Employed","873","0.140578362501238","0.132088488196957","0.149068236805519"
"5 on Scale 1 to 10","1988","Not Employed","565","0.175373063690566","0.162884533261199","0.187861594119934"
"6 on Scale 1 to 10","1988","Employed","559","0.0891689234437442","0.0822080368220664","0.096129810065422"
"6 on Scale 1 to 10","1988","Not Employed","330","0.0993225032550748","0.089500284147644","0.109144722362506"
"7 on Scale 1 to 10","1988","Employed","962","0.151620999212989","0.142860809513435","0.160381188912542"
"7 on Scale 1 to 10","1988","Not Employed","467","0.134848736728595","0.123631894850462","0.146065578606727"
"8 on Scale 1 to 10","1988","Employed","1551","0.247141763055084","0.236605937969847","0.25767758814032"
"8 on Scale 1 to 10","1988","Not Employed","687","0.17994914551964","0.167333879279034","0.192564411760247"
"9 on Scale 1 to 10","1988","Employed","866","0.131068784095277","0.122825861656262","0.139311706534291"
"9 on Scale 1 to 10","1988","Not Employed","349","0.0811608095582335","0.0721928410632723","0.0901287780531948"
"0 Completely dissatisfied","1989","Employed","70","0.0104738054579582","0.00795090373631293","0.0129967071796035"
"0 Completely dissatisfied","1989","Not Employed","143","0.0467148127578582","0.0396495264197418","0.0537800990959746"
"1 on Scale 1 to 10","1989","Employed","48","0.00718119090372196","0.00508868029622348","0.00927370151122043"
"1 on Scale 1 to 10","1989","Not Employed","75","0.0252133287046775","0.0199645178511055","0.0304621395582494"
"10 Completely satisfied","1989","Employed","813","0.115942716663504","0.108008640351723","0.123876792975285"
"10 Completely satisfied","1989","Not Employed","364","0.093156091583972","0.0834249691127289","0.102887214055215"
"2 on Scale 1 to 10","1989","Employed","133","0.0225664801306076","0.0188859535349557","0.0262470067262595"
"2 on Scale 1 to 10","1989","Not Employed","152","0.0480544560676729","0.0408936168216734","0.0552152953136725"
"3 on Scale 1 to 10","1989","Employed","255","0.0417043677643269","0.0367501515174439","0.04665858401121"
"3 on Scale 1 to 10","1989","Not Employed","217","0.0684258084715613","0.0599728306080321","0.0768787863350906"
"4 on Scale 1 to 10","1989","Employed","287","0.0472959046413084","0.0420354265229762","0.0525563827596405"
"4 on Scale 1 to 10","1989","Not Employed","203","0.0651085470529606","0.0568483456720577","0.0733687484338634"
"5 on Scale 1 to 10","1989","Employed","825","0.135984829759202","0.127490280309505","0.144479379208898"
"5 on Scale 1 to 10","1989","Not Employed","576","0.188292690708019","0.17520365965781","0.201381721758228"
"6 on Scale 1 to 10","1989","Employed","590","0.0971096773144691","0.0897715847015556","0.104447769927383"
"6 on Scale 1 to 10","1989","Not Employed","302","0.0960736068967866","0.0862071864093588","0.105940027384214"
"7 on Scale 1 to 10","1989","Employed","909","0.146993112844159","0.138217868940291","0.155768356748027"
"7 on Scale 1 to 10","1989","Not Employed","431","0.12499014221492","0.113917904716319","0.136062379713521"
"8 on Scale 1 to 10","1989","Employed","1538","0.252237207065205","0.241474514512396","0.262999899618014"
"8 on Scale 1 to 10","1989","Not Employed","633","0.168670185101114","0.156133091226812","0.181207278975417"
"9 on Scale 1 to 10","1989","Employed","787","0.122510707455538","0.114385351965412","0.130636062945664"
"9 on Scale 1 to 10","1989","Not Employed","331","0.0753003304404584","0.0664656706317224","0.0841349902491944"
"0 Completely dissatisfied","1990","Employed","55","0.00797641312127216","0.00575575555044569","0.0101970706920986"
"0 Completely dissatisfied","1990","Not Employed","109","0.0415298066545158","0.0347615910438105","0.0482980222652211"
"1 on Scale 1 to 10","1990","Employed","40","0.00761071470622699","0.00544116037486107","0.00978026903759292"
"1 on Scale 1 to 10","1990","Not Employed","85","0.0294055506741198","0.0236744440953594","0.0351366572528802"
"10 Completely satisfied","1990","Employed","729","0.102310085706902","0.0947445589224355","0.109875612491368"
"10 Completely satisfied","1990","Not Employed","322","0.0732365934287027","0.0643986049513737","0.0820745819060316"
"2 on Scale 1 to 10","1990","Employed","118","0.017364890416332","0.0141039043870806","0.0206258764455833"
"2 on Scale 1 to 10","1990","Not Employed","131","0.0432519838415009","0.0363510680799234","0.0501528996030783"
"3 on Scale 1 to 10","1990","Employed","227","0.0411194531751811","0.0361624100715619","0.0460764962788003"
"3 on Scale 1 to 10","1990","Not Employed","189","0.0603218845258808","0.0522452220963868","0.0683985469553748"
"4 on Scale 1 to 10","1990","Employed","299","0.0505818247621756","0.0451111261067517","0.0560525234175995"
"4 on Scale 1 to 10","1990","Not Employed","198","0.0621186526173058","0.0539304253579219","0.0703068798766898"
"5 on Scale 1 to 10","1990","Employed","773","0.131696620575872","0.123254727695812","0.140138513455933"
"5 on Scale 1 to 10","1990","Not Employed","570","0.189774549416637","0.176472245992422","0.203076852840852"
"6 on Scale 1 to 10","1990","Employed","562","0.0941336777340202","0.0868437815035974","0.101423573964443"
"6 on Scale 1 to 10","1990","Not Employed","346","0.107788266209105","0.0972680507797148","0.118308481638496"
"7 on Scale 1 to 10","1990","Employed","1008","0.165006831770468","0.155740471102846","0.174273192438089"
"7 on Scale 1 to 10","1990","Not Employed","450","0.138839417282557","0.127109272097538","0.150569562467576"
"8 on Scale 1 to 10","1990","Employed","1544","0.256802852546915","0.245896771649562","0.267708933444268"
"8 on Scale 1 to 10","1990","Not Employed","629","0.174657937870354","0.161777931484128","0.187537944256579"
"9 on Scale 1 to 10","1990","Employed","809","0.125396635484635","0.11712930516939","0.133663965799881"
"9 on Scale 1 to 10","1990","Not Employed","309","0.0790753574793212","0.069920795825388","0.0882299191332544"
"0 Completely dissatisfied","1991","Employed","59","0.0111287912058233","0.0085148133962828","0.0137427690153638"
"0 Completely dissatisfied","1991","Not Employed","111","0.0436288380906415","0.036617954578751","0.0506397216025319"
"1 on Scale 1 to 10","1991","Employed","38","0.00559618349715024","0.00373737179698035","0.00745499519732014"
"1 on Scale 1 to 10","1991","Not Employed","66","0.0226859917142063","0.0175754299889205","0.0277965534394922"
"10 Completely satisfied","1991","Employed","661","0.098592658204312","0.0911643337172858","0.106020982691338"
"10 Completely satisfied","1991","Not Employed","282","0.0627182025452203","0.054396645690855","0.0710397593995855"
"2 on Scale 1 to 10","1991","Employed","101","0.0169783032712413","0.0137591865190096","0.0201974200234729"
"2 on Scale 1 to 10","1991","Not Employed","126","0.0446363294713067","0.0375486953525785","0.0517239635900348"
"3 on Scale 1 to 10","1991","Employed","245","0.0394365770717772","0.0345868124385958","0.0442863417049585"
"3 on Scale 1 to 10","1991","Not Employed","209","0.0695103419480859","0.0607815693507943","0.0782391145453776"
"4 on Scale 1 to 10","1991","Employed","282","0.0497673504828769","0.0443486484870351","0.0551860524787188"
"4 on Scale 1 to 10","1991","Not Employed","197","0.0663134103022233","0.0577730944322003","0.0748537261722464"
"5 on Scale 1 to 10","1991","Employed","807","0.139040273286553","0.130419032838978","0.147661513734129"
"5 on Scale 1 to 10","1991","Not Employed","515","0.175471076332776","0.16241603025295","0.188526122412602"
"6 on Scale 1 to 10","1991","Employed","567","0.0915781611792028","0.0843911590149409","0.0987651633434646"
"6 on Scale 1 to 10","1991","Not Employed","331","0.111384914697161","0.10058692967497","0.122182899719351"
"7 on Scale 1 to 10","1991","Employed","973","0.161291317693612","0.152126599878642","0.170456035508582"
"7 on Scale 1 to 10","1991","Not Employed","462","0.139755254893698","0.127854684458425","0.15165582532897"
"8 on Scale 1 to 10","1991","Employed","1559","0.248980040072031","0.238205070833121","0.259755009310942"
"8 on Scale 1 to 10","1991","Not Employed","633","0.179543197635395","0.166370187393894","0.192716207876896"
"9 on Scale 1 to 10","1991","Employed","895","0.13761034403542","0.129026430336601","0.146194257734238"
"9 on Scale 1 to 10","1991","Not Employed","329","0.0843524423692873","0.0748138191736377","0.093891065564937"
"0 Completely dissatisfied","1992","Employed","69","0.00832544643058579","0.00645774811318276","0.0101931447479888"
"0 Completely dissatisfied","1992","Not Employed","179","0.0484190046317783","0.041966425383553","0.0548715838800035"
"1 on Scale 1 to 10","1992","Employed","58","0.00707662561719961","0.00535360944051777","0.00879964179388145"
"1 on Scale 1 to 10","1992","Not Employed","97","0.0276900695475208","0.022757571494765","0.0326225676002766"
"10 Completely satisfied","1992","Employed","999","0.106116011989743","0.0997853457658989","0.112446678213587"
"10 Completely satisfied","1992","Not Employed","372","0.0699768317186553","0.0623080467561711","0.0776456166811395"
"2 on Scale 1 to 10","1992","Employed","149","0.0174592817105973","0.0147670846705213","0.0201514787506732"
"2 on Scale 1 to 10","1992","Not Employed","198","0.0497644725535981","0.0432274817627472","0.056301463344449"
"3 on Scale 1 to 10","1992","Employed","294","0.0326124593260649","0.0289614713930557","0.0362634472590742"
"3 on Scale 1 to 10","1992","Not Employed","266","0.0696288791570383","0.0619777532062594","0.0772800051078173"
"4 on Scale 1 to 10","1992","Employed","387","0.0434984968086743","0.03930575295932","0.0476912406580285"
"4 on Scale 1 to 10","1992","Not Employed","269","0.0690544756482839","0.0614326222934457","0.0766763290031221"
"5 on Scale 1 to 10","1992","Employed","1117","0.122629601300095","0.115887309809322","0.129371892790869"
"5 on Scale 1 to 10","1992","Not Employed","677","0.171562274414318","0.160229314049053","0.182895234779583"
"6 on Scale 1 to 10","1992","Employed","748","0.0820435617553635","0.0764026193358124","0.0876845041749146"
"6 on Scale 1 to 10","1992","Not Employed","427","0.103447972278553","0.094293121322047","0.112602823235059"
"7 on Scale 1 to 10","1992","Employed","1454","0.163596620396778","0.155993122487956","0.171200118305599"
"7 on Scale 1 to 10","1992","Not Employed","571","0.139411363521258","0.128998997420778","0.149823729621737"
"8 on Scale 1 to 10","1992","Employed","2483","0.275758283342171","0.266572325894598","0.284944240789743"
"8 on Scale 1 to 10","1992","Not Employed","792","0.176636852405816","0.165172780286208","0.188100924525424"
"9 on Scale 1 to 10","1992","Employed","1334","0.140883611322728","0.133732482244247","0.148034740401208"
"9 on Scale 1 to 10","1992","Not Employed","403","0.0744078041231811","0.0665188101425528","0.0822967981038094"
"0 Completely dissatisfied","1993","Employed","90","0.010278015946276","0.00816123362438156","0.0123947982681704"
"0 Completely dissatisfied","1993","Not Employed","138","0.0393117549324577","0.0335852058671562","0.0450383039977592"
"1 on Scale 1 to 10","1993","Employed","46","0.00577741811413223","0.00418677167093478","0.00736806455732967"
"1 on Scale 1 to 10","1993","Not Employed","107","0.0281404287415178","0.0232673026940186","0.033013554789017"
"10 Completely satisfied","1993","Employed","907","0.0966734875983631","0.0904713553932303","0.102875619803496"
"10 Completely satisfied","1993","Not Employed","365","0.0737701926355057","0.066067539039784","0.0814728462312274"
"2 on Scale 1 to 10","1993","Employed","169","0.0204119734948414","0.0174442107432787","0.0233797362464041"
"2 on Scale 1 to 10","1993","Not Employed","221","0.0516915802530449","0.0451674106918689","0.0582157498142208"
"3 on Scale 1 to 10","1993","Employed","316","0.0378602670924817","0.0338545907139725","0.041865943470991"
"3 on Scale 1 to 10","1993","Not Employed","289","0.0707953251017367","0.0632374708053911","0.0783531793980823"
"4 on Scale 1 to 10","1993","Employed","416","0.0498847947397107","0.0453156262115203","0.054453963267901"
"4 on Scale 1 to 10","1993","Not Employed","301","0.0706197893052267","0.0630705976524784","0.0781689809579751"
"5 on Scale 1 to 10","1993","Employed","1115","0.126737398483402","0.119755238871166","0.133719558095638"
"5 on Scale 1 to 10","1993","Not Employed","801","0.19039168169389","0.178822517156837","0.201960846230944"
"6 on Scale 1 to 10","1993","Employed","896","0.101285191309477","0.0949530751512548","0.107617307467699"
"6 on Scale 1 to 10","1993","Not Employed","483","0.114371809512359","0.104993474466358","0.12375014455836"
"7 on Scale 1 to 10","1993","Employed","1477","0.175480443725915","0.167497192613797","0.183463694838033"
"7 on Scale 1 to 10","1993","Not Employed","550","0.122033399595179","0.112388029767104","0.131678769423253"
"8 on Scale 1 to 10","1993","Employed","2164","0.253348318144985","0.244220163598413","0.262476472691558"
"8 on Scale 1 to 10","1993","Not Employed","831","0.178478726445869","0.167195243727166","0.189762209164572"
"9 on Scale 1 to 10","1993","Employed","1125","0.122262691350416","0.115387350984715","0.129138031716116"
"9 on Scale 1 to 10","1993","Not Employed","338","0.0603953117832127","0.0533756735102617","0.0674149500561637"
"0 Completely dissatisfied","1994","Employed","78","0.0100669298374577","0.00792483642083401","0.0122090232540814"
"0 Completely dissatisfied","1994","Not Employed","147","0.0385687238635952","0.0329839017718381","0.0441535459553523"
"1 on Scale 1 to 10","1994","Employed","50","0.00719888142227824","0.0053848257625482","0.00901293708200829"
"1 on Scale 1 to 10","1994","Not Employed","97","0.0271837794341103","0.0224674633255976","0.0319000955426229"
"10 Completely satisfied","1994","Employed","765","0.084317892563608","0.0783555186939867","0.0902802664332293"
"10 Completely satisfied","1994","Not Employed","316","0.0600592062765868","0.0531683589361034","0.0669500536170701"
"2 on Scale 1 to 10","1994","Employed","161","0.02012263837568","0.0171095262542294","0.0231357504971307"
"2 on Scale 1 to 10","1994","Not Employed","206","0.0548651646832728","0.0482608491543978","0.0614694802121478"
"3 on Scale 1 to 10","1994","Employed","387","0.0501925961367714","0.0455074345456033","0.0548777577279395"
"3 on Scale 1 to 10","1994","Not Employed","321","0.0757865120052104","0.0681108702599466","0.0834621537504741"
"4 on Scale 1 to 10","1994","Employed","412","0.0516257368364393","0.0468777448129949","0.0563737288598837"
"4 on Scale 1 to 10","1994","Not Employed","336","0.0697975252883317","0.0624075779619018","0.0771874726147616"
"5 on Scale 1 to 10","1994","Employed","1104","0.133034805121196","0.12574744151383","0.140322168728562"
"5 on Scale 1 to 10","1994","Not Employed","807","0.188945036834172","0.177591649029488","0.200298424638857"
"6 on Scale 1 to 10","1994","Employed","855","0.0955996573402267","0.0892901493284742","0.101909165351979"
"6 on Scale 1 to 10","1994","Not Employed","490","0.110125099913216","0.101046053808182","0.119204146018251"
"7 on Scale 1 to 10","1994","Employed","1403","0.174773991625071","0.166624850755011","0.182923132495132"
"7 on Scale 1 to 10","1994","Not Employed","657","0.143861065701243","0.133682739959971","0.154039391442515"
"8 on Scale 1 to 10","1994","Employed","2063","0.25141586483979","0.242106852239099","0.260724877440481"
"8 on Scale 1 to 10","1994","Not Employed","788","0.158615802484823","0.148020753056666","0.16921085191298"
"9 on Scale 1 to 10","1994","Employed","1065","0.121651005901481","0.11463680217832","0.128665209624642"
"9 on Scale 1 to 10","1994","Not Employed","402","0.0721920835154378","0.0646861206731664","0.0796980463577091"
"0 Completely dissatisfied","1995","Employed","46","0.00563648927529809","0.00404495659728701","0.00722802195330917"
"0 Completely dissatisfied","1995","Not Employed","146","0.0387883629368412","0.0333344251379115","0.0442423007357709"
"1 on Scale 1 to 10","1995","Employed","47","0.00695681183185588","0.00518984732919992","0.00872377633451184"
"1 on Scale 1 to 10","1995","Not Employed","85","0.018924048285996","0.0150753994690978","0.0227726971028942"
"10 Completely satisfied","1995","Employed","760","0.0778255272957595","0.0721303635916812","0.0835206909998377"
"10 Completely satisfied","1995","Not Employed","353","0.0609658663243442","0.0542076201137401","0.0677241125349484"
"2 on Scale 1 to 10","1995","Employed","147","0.0187811744689066","0.0158952634414234","0.0216670854963899"
"2 on Scale 1 to 10","1995","Not Employed","209","0.051691150803067","0.0454375097868207","0.0579447918193133"
"3 on Scale 1 to 10","1995","Employed","344","0.0442662956434159","0.039893656187982","0.0486389350988498"
"3 on Scale 1 to 10","1995","Not Employed","358","0.0793341798987009","0.0717005495870962","0.0869678102103056"
"4 on Scale 1 to 10","1995","Employed","440","0.0565937305794987","0.0516815743758465","0.0615058867831509"
"4 on Scale 1 to 10","1995","Not Employed","308","0.0637893895264418","0.056886817490491","0.0706919615623926"
"5 on Scale 1 to 10","1995","Employed","1064","0.123443002104887","0.116450027576519","0.130435976633255"
"5 on Scale 1 to 10","1995","Not Employed","864","0.195528270119439","0.184325894830127","0.206730645408751"
"6 on Scale 1 to 10","1995","Employed","877","0.100710106583991","0.0943123897765282","0.107107823391454"
"6 on Scale 1 to 10","1995","Not Employed","489","0.107400011254125","0.0986545937536918","0.116145428754559"
"7 on Scale 1 to 10","1995","Employed","1499","0.185268085798732","0.177008727632848","0.193527443964616"
"7 on Scale 1 to 10","1995","Not Employed","662","0.136109907061601","0.126424362116266","0.145795452006935"
"8 on Scale 1 to 10","1995","Employed","2194","0.255371596282758","0.246101276342793","0.264641916222722"
"8 on Scale 1 to 10","1995","Not Employed","891","0.171539862890621","0.16089185699848","0.182187868782762"
"9 on Scale 1 to 10","1995","Employed","1082","0.125147180134897","0.11811294858173","0.132181411688064"
"9 on Scale 1 to 10","1995","Not Employed","450","0.0759289508988228","0.068447146895899","0.0834107549017466"
"0 Completely dissatisfied","1996","Employed","66","0.00809883838956136","0.00618770499275381","0.0100099717863689"
"0 Completely dissatisfied","1996","Not Employed","126","0.0319253494660945","0.0268789199661109","0.0369717789660782"
"1 on Scale 1 to 10","1996","Employed","47","0.00550232087574112","0.00392499917058646","0.00707964258089578"
"1 on Scale 1 to 10","1996","Not Employed","92","0.0239184064723364","0.0195323811063819","0.0283044318382909"
"10 Completely satisfied","1996","Employed","689","0.0770386312668409","0.0713528326060328","0.0827244299276489"
"10 Completely satisfied","1996","Not Employed","316","0.0583349462231534","0.0516071228064087","0.0650627696398982"
"2 on Scale 1 to 10","1996","Employed","161","0.0202381990034873","0.0172356395295087","0.0232407584774658"
"2 on Scale 1 to 10","1996","Not Employed","211","0.0528314277150758","0.0464101453198543","0.0592527101102973"
"3 on Scale 1 to 10","1996","Employed","330","0.0418614682554534","0.0375910853569823","0.0461318511539246"
"3 on Scale 1 to 10","1996","Not Employed","312","0.066238150868814","0.0590992044992786","0.0733770972383494"
"4 on Scale 1 to 10","1996","Employed","415","0.0527825698052945","0.0480147971127094","0.0575503424978797"
"4 on Scale 1 to 10","1996","Not Employed","346","0.0807391025399446","0.0729188044290655","0.0885594006508238"
