"m11125","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"3 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","51","0.0798625636727848","0.0591026561287583","0.100622471216811"
"3 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","87","0.0745422748356165","0.059749296097975","0.0893352535732581"
"3 on Scale 1 to 10","1984","Not Employed","Single parent ","13","","",""
"3 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","19","","",""
"3 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","27","","",""
"3 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","17","","",""
"3 on Scale 1 to 10","1984","Employed","1-pers.-HH","29","","",""
"3 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","57","0.0398847215422165","0.0299585183816683","0.0498109247027648"
"3 on Scale 1 to 10","1984","Employed","Single parent ","12","","",""
"3 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","61","0.0225643659806764","0.0163388025310541","0.0287899294302988"
"3 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","44","0.0308822499093806","0.0214708660901424","0.0402936337286188"
"3 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","35","0.0317998895890491","0.0214867459306398","0.0421130332474583"
"4 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","45","0.0678999314774553","0.0486338506048925","0.0871660123500181"
"4 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","76","0.0630433349741288","0.0493548506968912","0.0767318192513665"
"4 on Scale 1 to 10","1984","Not Employed","Single parent ","11","","",""
"4 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","21","","",""
"4 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","25","","",""
"4 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","13","","",""
"4 on Scale 1 to 10","1984","Employed","1-pers.-HH","32","0.049321025599672","0.0330218275057084","0.0656202236936356"
"4 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","54","0.0353213446598763","0.0259580619573841","0.0446846273623685"
"4 on Scale 1 to 10","1984","Employed","Single parent ","16","","",""
"4 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","66","0.0280227944640056","0.0211043768602103","0.034941212067801"
"4 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","50","0.0422543574783991","0.0313104707778218","0.0531982441789764"
"4 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","51","0.0448906843397312","0.0327204104815251","0.0570609581979374"
"5 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","122","0.19402440694692","0.163740174664849","0.224308639228992"
"5 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","250","0.21321186331895","0.190143828210421","0.236279898427479"
"5 on Scale 1 to 10","1984","Not Employed","Single parent ","35","0.161573167897756","0.113902904216436","0.209243431579077"
"5 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","115","0.129062211367304","0.107010884526468","0.151113538208141"
"5 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","110","0.176207327410112","0.147738156716706","0.204676498103518"
"5 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","71","0.120808121970162","0.0948388183525084","0.146777425587816"
"5 on Scale 1 to 10","1984","Employed","1-pers.-HH","98","0.147387931110039","0.12070460626569","0.174071255954388"
"5 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","242","0.161733091228295","0.143056019269469","0.180410163187121"
"5 on Scale 1 to 10","1984","Employed","Single parent ","55","0.154408106730136","0.116552559975464","0.192263653484809"
"5 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","249","0.111968365198046","0.098749782286011","0.12518694811008"
"5 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","179","0.14738673213498","0.128101894668206","0.166671569601754"
"5 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","126","0.114809776334239","0.0960726304894864","0.133546922178991"
"6 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","44","0.0720134935855133","0.0522162278837447","0.0918107592872818"
"6 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","98","0.081117644873884","0.0657409271467905","0.0964943626009775"
"6 on Scale 1 to 10","1984","Not Employed","Single parent ","13","","",""
"6 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","51","0.0549331865927794","0.0399470301878026","0.0699193429977562"
"6 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","49","0.0732703556366953","0.0537990735127972","0.0927416377605934"
"6 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","33","0.0601639475625109","0.0412158934612262","0.0791120016637957"
"6 on Scale 1 to 10","1984","Employed","1-pers.-HH","43","0.0570283426021871","0.0395730176227509","0.0744836675816234"
"6 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","90","0.063378613155243","0.0510199473593076","0.0757372789511784"
"6 on Scale 1 to 10","1984","Employed","Single parent ","21","","",""
"6 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","138","0.0565111846702762","0.0468315582530678","0.0661908110874847"
"6 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","93","0.0750173864677549","0.0606869804778535","0.0893477924576564"
"6 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","66","0.0490584790050089","0.0363635685381605","0.0617533894718573"
"7 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","76","0.113699742327711","0.0893890336521249","0.138010451003296"
"7 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","133","0.110242819017364","0.0926032924272596","0.127882345607469"
"7 on Scale 1 to 10","1984","Not Employed","Single parent ","19","","",""
"7 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","88","0.102708433339034","0.0827414960694756","0.122675370608592"
"7 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","52","0.0706487353005524","0.0515019434951203","0.0897955271059846"
"7 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","61","0.126237818317356","0.0997734357750899","0.152702200859623"
"7 on Scale 1 to 10","1984","Employed","1-pers.-HH","73","0.104364347163056","0.0813512531764211","0.127377441149692"
"7 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","217","0.147911366598284","0.129903538013874","0.165919195182694"
"7 on Scale 1 to 10","1984","Employed","Single parent ","47","0.137411549049075","0.101343096828107","0.173480001270043"
"7 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","256","0.126431068604834","0.112499548485374","0.140362588724295"
"7 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","157","0.12614554594036","0.108083528503064","0.144207563377657"
"7 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","122","0.121716371975346","0.102499283466847","0.140933460483846"
"8 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","88","0.126914843621071","0.101422371509386","0.152407315732755"
"8 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","173","0.136939618593306","0.117577130359691","0.156302106826921"
"8 on Scale 1 to 10","1984","Not Employed","Single parent ","36","0.158821682475995","0.11148157049752","0.206161794454471"
"8 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","155","0.192782794219309","0.166836762264446","0.218728826174173"
"8 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","103","0.16430247489963","0.136613907721216","0.191991042078044"
"8 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","109","0.187454956284492","0.156356230833352","0.218553681735631"
"8 on Scale 1 to 10","1984","Employed","1-pers.-HH","118","0.183744567669023","0.154593562094849","0.212895573243196"
"8 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","282","0.191083441379726","0.171140850627202","0.211026032132251"
"8 on Scale 1 to 10","1984","Employed","Single parent ","60","0.177412767113622","0.137390887062901","0.217434647164343"
"8 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","453","0.226672443744743","0.209121352723779","0.244223534765706"
"8 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","241","0.18562616539111","0.164474613008523","0.206777717773698"
"8 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","214","0.199826914955765","0.17632438262655","0.223329447284981"
"9 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","38","0.0555489935721956","0.0380079569480488","0.0730900301963425"
"9 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","71","0.0573102899025798","0.0442191728700287","0.070401406935131"
"9 on Scale 1 to 10","1984","Not Employed","Single parent ","32","0.139168706574193","0.0943395912416691","0.183997821906717"
"9 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","112","0.130112096143746","0.107984609319505","0.152239582967988"
"9 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","88","0.120199975849738","0.095900436152993","0.144499515546483"
"9 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","79","0.137911622467043","0.110436051094938","0.165387193839147"
"9 on Scale 1 to 10","1984","Employed","1-pers.-HH","90","0.136409293239804","0.110574249357205","0.162244337122403"
"9 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","169","0.116612425957127","0.100331981935785","0.132892869978469"
"9 on Scale 1 to 10","1984","Employed","Single parent ","32","0.0913739706472582","0.0611871131526529","0.121560828141864"
"9 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","298","0.137338567139695","0.122909459957567","0.151767674321824"
"9 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","159","0.119559359614116","0.101909039945634","0.137209679282598"
"9 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","137","0.137544855265765","0.117301330593003","0.157788379938527"
"10 Completely satisfied","1984","Not Employed","1-pers.-HH","78","0.116367435696328","0.0918102253994835","0.140924645993172"
"10 Completely satisfied","1984","Not Employed","(Married) couple without C. ","130","0.104435127760599","0.0872105792965356","0.121659676224662"
"10 Completely satisfied","1984","Not Employed","Single parent ","49","0.194864943916091","0.143563265199848","0.246166622632334"
"10 Completely satisfied","1984","Not Employed","Couple + C. LE 16 ","270","0.283049645043591","0.253420613421968","0.312678676665214"
"10 Completely satisfied","1984","Not Employed","Couple + C. GT 16 ","164","0.213415634860397","0.182800255647274","0.24403101407352"
"10 Completely satisfied","1984","Not Employed","Couple + C. LE and GT 16","185","0.279079705722065","0.243337762751359","0.314821648692771"
"10 Completely satisfied","1984","Employed","1-pers.-HH","163","0.229543659884813","0.197888835267227","0.261198484502399"
"10 Completely satisfied","1984","Employed","(Married) couple without C. ","317","0.204961406585651","0.184485254853253","0.225437558318049"
"10 Completely satisfied","1984","Employed","Single parent ","89","0.247131123815618","0.201941631450333","0.292320616180903"
"10 Completely satisfied","1984","Employed","Couple + C. LE 16 ","579","0.251937386968198","0.233738773639472","0.270136000296924"
"10 Completely satisfied","1984","Employed","Couple + C. GT 16 ","309","0.220242709205095","0.197698176533419","0.242787241876771"
"10 Completely satisfied","1984","Employed","Couple + C. LE and GT 16","309","0.263904137799773","0.237998995309635","0.28980928028991"
"0 Completely dissatisfied","1985","Not Employed","1-pers.-HH","23","","",""
"0 Completely dissatisfied","1985","Not Employed","(Married) couple without C. ","54","0.0517531680925056","0.0385656636072318","0.0649406725777793"
"0 Completely dissatisfied","1985","Not Employed","Single parent ","12","","",""
"0 Completely dissatisfied","1985","Not Employed","Couple + C. LE 16 ","15","","",""
"0 Completely dissatisfied","1985","Not Employed","Couple + C. GT 16 ","21","","",""
"0 Completely dissatisfied","1985","Not Employed","Couple + C. LE and GT 16","13","","",""
"0 Completely dissatisfied","1985","Employed","1-pers.-HH","10","","",""
"0 Completely dissatisfied","1985","Employed","(Married) couple without C. ","19","","",""
"0 Completely dissatisfied","1985","Employed","Single parent ","4","","",""
"0 Completely dissatisfied","1985","Employed","Couple + C. LE 16 ","21","","",""
"0 Completely dissatisfied","1985","Employed","Couple + C. GT 16 ","13","","",""
"0 Completely dissatisfied","1985","Employed","Couple + C. LE and GT 16","9","","",""
"1 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","18","","",""
"1 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","28","","",""
"1 on Scale 1 to 10","1985","Not Employed","Single parent ","3","","",""
"1 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","9","","",""
"1 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","11","","",""
"1 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","4","","",""
"1 on Scale 1 to 10","1985","Employed","1-pers.-HH","2","","",""
"1 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","12","","",""
"1 on Scale 1 to 10","1985","Employed","Single parent ","2","","",""
"1 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","14","","",""
"1 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","6","","",""
"1 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","12","","",""
"2 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","37","0.0666421244926428","0.046167819042012","0.0871164299432736"
"2 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","64","0.0591633378106595","0.0451184944506913","0.0732081811706277"
"2 on Scale 1 to 10","1985","Not Employed","Single parent ","9","","",""
"2 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","8","","",""
"2 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","20","","",""
"2 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","15","","",""
"2 on Scale 1 to 10","1985","Employed","1-pers.-HH","12","","",""
"2 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","22","","",""
"2 on Scale 1 to 10","1985","Employed","Single parent ","10","","",""
"2 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","29","","",""
"2 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","23","","",""
"2 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","19","","",""
"3 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","42","0.079692621944059","0.0574602308857766","0.101925013002341"
"3 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","73","0.0689656752178073","0.0538811101574249","0.0840502402781898"
"3 on Scale 1 to 10","1985","Not Employed","Single parent ","5","","",""
"3 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","24","","",""
"3 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","26","","",""
"3 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","22","","",""
"3 on Scale 1 to 10","1985","Employed","1-pers.-HH","18","","",""
"3 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","44","0.0309484659859255","0.0216518259246763","0.0402451060471747"
"3 on Scale 1 to 10","1985","Employed","Single parent ","9","","",""
"3 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","43","0.0187451257095321","0.012646859445625","0.0248433919734391"
"3 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","43","0.0307012097233994","0.0214405997002032","0.0399618197465955"
"3 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","30","0.0278654836988367","0.0174213991636087","0.0383095682340647"
"4 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","38","0.0704723355921176","0.049461121132902","0.0914835500513333"
"4 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","64","0.0628462508695814","0.0483992213314427","0.07729328040772"
"4 on Scale 1 to 10","1985","Not Employed","Single parent ","14","","",""
"4 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","41","0.0477119750417018","0.0326952416779642","0.0627287084054393"
"4 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","35","0.0512050144000989","0.0347825820895559","0.0676274467106419"
"4 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","19","","",""
"4 on Scale 1 to 10","1985","Employed","1-pers.-HH","30","0.0496238619202204","0.0323191869944205","0.0669285368460203"
"4 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","60","0.0481590984822159","0.0366655436505759","0.0596526533138558"
"4 on Scale 1 to 10","1985","Employed","Single parent ","18","","",""
"4 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","61","0.0336904219501428","0.0255773998723152","0.0418034440279705"
"4 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","61","0.0449889152743438","0.0338616104972227","0.0561162200514649"
"4 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","33","0.0403711452377785","0.0278811840876194","0.0528611063879375"
"5 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","112","0.198851814413882","0.166085177487598","0.231618451340165"
"5 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","240","0.218577195422478","0.193974713852004","0.243179676992951"
"5 on Scale 1 to 10","1985","Not Employed","Single parent ","29","","",""
"5 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","111","0.15537686069305","0.129855591433461","0.18089812995264"
"5 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","103","0.155569955816929","0.128565231605251","0.182574680028607"
"5 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","60","0.113373556781447","0.0863304018992564","0.140416711663637"
"5 on Scale 1 to 10","1985","Employed","1-pers.-HH","73","0.125572477135491","0.0991678801134223","0.151977074157559"
"5 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","206","0.151380606640583","0.132139740723317","0.170621472557849"
"5 on Scale 1 to 10","1985","Employed","Single parent ","54","0.170300230852003","0.129805156835941","0.210795304868064"
"5 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","231","0.114348568391995","0.100039278870183","0.128657857913808"
"5 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","207","0.163200116041869","0.143361834309921","0.183038397773816"
"5 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","121","0.12840386711055","0.107175303828185","0.149632430392916"
"6 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","52","0.0898820175905002","0.0664021352050077","0.113361899975993"
"6 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","115","0.107100578555266","0.0886915602680263","0.125509596842505"
"6 on Scale 1 to 10","1985","Not Employed","Single parent ","15","","",""
"6 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","49","0.0654532632826493","0.0480294272576332","0.0828770993076654"
"6 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","47","0.0724787601830987","0.0531607516562828","0.0917967687099147"
"6 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","25","","",""
"6 on Scale 1 to 10","1985","Employed","1-pers.-HH","43","0.0768967522286542","0.0556667743348076","0.0981267301225008"
"6 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","115","0.0890562508015777","0.0737661270566691","0.104346374546486"
"6 on Scale 1 to 10","1985","Employed","Single parent ","27","","",""
"6 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","157","0.0835342569338386","0.0710930728700837","0.0959754409975934"
"6 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","98","0.0736578749875306","0.059635282409052","0.0876804675660093"
"6 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","69","0.0738382822917527","0.0572440139343175","0.0904325506491879"
"7 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","76","0.131878565291293","0.104101394456058","0.159655736126527"
"7 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","133","0.120955381540219","0.101544220727513","0.140366542352926"
"7 on Scale 1 to 10","1985","Not Employed","Single parent ","24","","",""
"7 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","98","0.133032723650416","0.109107378884142","0.15695806841669"
"7 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","76","0.114677182233899","0.0909369819142173","0.138417382553581"
"7 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","54","0.119436797143448","0.091774994997536","0.14709859928936"
"7 on Scale 1 to 10","1985","Employed","1-pers.-HH","80","0.132672059915472","0.105641701256369","0.159702418574575"
"7 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","180","0.139989945881448","0.12136336239225","0.158616529370646"
"7 on Scale 1 to 10","1985","Employed","Single parent ","52","0.1326907093635","0.0961445830153364","0.169236835711664"
"7 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","281","0.154951388933685","0.138680552718795","0.171222225148575"
"7 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","203","0.16038378079467","0.14068435127253","0.18008321031681"
"7 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","118","0.131313873379173","0.109881974452051","0.152745772306295"
"8 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","77","0.128524311244188","0.101049738724652","0.155998883763725"
"8 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","140","0.124266128688424","0.104628189625032","0.143904067751817"
"8 on Scale 1 to 10","1985","Not Employed","Single parent ","43","0.18693169084291","0.134077438711993","0.239785942973827"
"8 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","148","0.190540715780736","0.162873273591288","0.218208157970184"
"8 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","126","0.187383460457824","0.158309546557444","0.216457374358205"
"8 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","114","0.221090894441081","0.185694424815786","0.256487364066376"
"8 on Scale 1 to 10","1985","Employed","1-pers.-HH","133","0.222592428825484","0.189444989768751","0.255739867882217"
"8 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","302","0.227074906433814","0.204585070258805","0.249564742608823"
"8 on Scale 1 to 10","1985","Employed","Single parent ","56","0.194150375750364","0.15153854280974","0.236762208690988"
"8 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","467","0.255128832222608","0.235527226776759","0.274730437668457"
"8 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","300","0.216632897677705","0.194518358937064","0.238747436418345"
"8 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","220","0.231824057567092","0.205045726528721","0.258602388605464"
"9 on Scale 1 to 10","1985","Not Employed","1-pers.-HH","32","0.0528516086704516","0.0344841622553776","0.0712190550855255"
"9 on Scale 1 to 10","1985","Not Employed","(Married) couple without C. ","68","0.0616461771368063","0.0473285898755669","0.0759637643980456"
"9 on Scale 1 to 10","1985","Not Employed","Single parent ","18","","",""
"9 on Scale 1 to 10","1985","Not Employed","Couple + C. LE 16 ","104","0.141824891733786","0.117247160102578","0.166402623364994"
"9 on Scale 1 to 10","1985","Not Employed","Couple + C. GT 16 ","85","0.128444965542001","0.103516187257182","0.153373743826819"
"9 on Scale 1 to 10","1985","Not Employed","Couple + C. LE and GT 16","78","0.167648722555838","0.135785875476938","0.199511569634738"
"9 on Scale 1 to 10","1985","Employed","1-pers.-HH","78","0.126765718398297","0.100254071724886","0.153277365071708"
"9 on Scale 1 to 10","1985","Employed","(Married) couple without C. ","162","0.119823851243061","0.10239015594446","0.137257546541661"
"9 on Scale 1 to 10","1985","Employed","Single parent ","36","0.0942219243271323","0.0627501679149826","0.125693680739282"
"9 on Scale 1 to 10","1985","Employed","Couple + C. LE 16 ","252","0.13886161731719","0.1233127458458","0.15441048878858"
"9 on Scale 1 to 10","1985","Employed","Couple + C. GT 16 ","141","0.11045212076457","0.0936251976578011","0.127279043871339"
"9 on Scale 1 to 10","1985","Employed","Couple + C. LE and GT 16","114","0.12920866344434","0.107923510726367","0.150493816162313"
"10 Completely satisfied","1985","Not Employed","1-pers.-HH","63","0.111470709212654","0.0856346114120544","0.137306807013255"
"10 Completely satisfied","1985","Not Employed","(Married) couple without C. ","105","0.0974540044050618","0.079798994469908","0.115109014340216"
"10 Completely satisfied","1985","Not Employed","Single parent ","37","0.159616953355138","0.109963083931641","0.209270822778635"
"10 Completely satisfied","1985","Not Employed","Couple + C. LE 16 ","167","0.196089370208912","0.168118336146646","0.224060404271177"
"10 Completely satisfied","1985","Not Employed","Couple + C. GT 16 ","142","0.174885677087548","0.146582888446664","0.203188465728433"
"10 Completely satisfied","1985","Not Employed","Couple + C. LE and GT 16","124","0.200435326086192","0.166288915174563","0.234581736997822"
"10 Completely satisfied","1985","Employed","1-pers.-HH","126","0.202499834827657","0.170477858569731","0.234521811085583"
"10 Completely satisfied","1985","Employed","(Married) couple without C. ","211","0.158177848369098","0.138588678920913","0.177767017817284"
"10 Completely satisfied","1985","Employed","Single parent ","63","0.197181396290848","0.154319066169003","0.240043726412694"
