"m11125","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 on Scale 1 to 10","1988","Urban Area","104","0.0155001109666069","0.0127899525646191","0.0182102693685947","1"
"1 on Scale 1 to 10","1988","Rural Area","34","0.0193508724794315","0.0133435699328792","0.0253581750259838","1"
"10 Completely satisfied","1988","Rural Area","277","0.111587036405222","0.0978565247358226","0.125317548074621","10"
"10 Completely satisfied","1988","Urban Area","959","0.0983387044173965","0.0918058438261659","0.104871565008627","10"
"2 on Scale 1 to 10","1988","Rural Area","49","0.0320756833774073","0.0243917946783177","0.0397595720764969","2"
"2 on Scale 1 to 10","1988","Urban Area","231","0.0334368104376017","0.0294927189266014","0.037380901948602","2"
"3 on Scale 1 to 10","1988","Rural Area","86","0.0442315047719082","0.0352651768319409","0.0531978327118755","3"
"3 on Scale 1 to 10","1988","Urban Area","365","0.0488141397920466","0.044086711513636","0.0535415680704571","3"
"4 on Scale 1 to 10","1988","Rural Area","106","0.0592028014643864","0.0489109966058529","0.06949460632292","4"
"4 on Scale 1 to 10","1988","Urban Area","392","0.0526301776126097","0.0477312995827503","0.0575290556424691","4"
"5 on Scale 1 to 10","1988","Rural Area","324","0.169749634145889","0.153378401973714","0.186120866318064","5"
"5 on Scale 1 to 10","1988","Urban Area","1114","0.150607801037798","0.142760915756499","0.158454686319098","5"
"6 on Scale 1 to 10","1988","Rural Area","168","0.0901956839554522","0.0777034738275003","0.102687894083404","6"
"6 on Scale 1 to 10","1988","Urban Area","721","0.0942943869966605","0.0878829425142962","0.100705831479025","6"
"7 on Scale 1 to 10","1988","Urban Area","1146","0.144272535317668","0.136563873330095","0.151981197305242","7"
"7 on Scale 1 to 10","1988","Rural Area","283","0.146118350577263","0.130714701110754","0.161522000043771","7"
"8 on Scale 1 to 10","1988","Rural Area","412","0.200502747346777","0.183042875244937","0.217962619448617","8"
"8 on Scale 1 to 10","1988","Urban Area","1826","0.224926401279547","0.215766071162612","0.234086731396482","8"
"9 on Scale 1 to 10","1988","Urban Area","973","0.112522648526526","0.105589698849327","0.119455598203724","9"
"9 on Scale 1 to 10","1988","Rural Area","242","0.103391180680367","0.0901137006501066","0.116668660710627","9"
"0 Completely dissatisfied","1989","Rural Area","50","0.0310601371440653","0.0232943205278015","0.0388259537603291","0"
"0 Completely dissatisfied","1989","Urban Area","163","0.023796922842685","0.0204068592237685","0.0271869864616016","0"
"1 on Scale 1 to 10","1989","Rural Area","27","","","","1"
"1 on Scale 1 to 10","1989","Urban Area","96","0.0145416927476574","0.0118791047466875","0.0172042807486272","1"
"10 Completely satisfied","1989","Rural Area","250","0.104390794344743","0.0907031910331948","0.118078397656291","10"
"10 Completely satisfied","1989","Urban Area","927","0.107168426951825","0.100288314146984","0.114048539756667","10"
"2 on Scale 1 to 10","1989","Rural Area","49","0.0290276954270971","0.0215123882808826","0.0365430025733116","2"
"2 on Scale 1 to 10","1989","Urban Area","236","0.0342253020779672","0.0301815090644129","0.0382690950915214","2"
"3 on Scale 1 to 10","1989","Rural Area","105","0.059641563066581","0.04904028427553","0.0702428418576319","3"
"3 on Scale 1 to 10","1989","Urban Area","367","0.0507403571725971","0.0458589320748086","0.0556217822703855","3"
"4 on Scale 1 to 10","1989","Rural Area","101","0.0592769471640592","0.0487060744758661","0.0698478198522522","4"
"4 on Scale 1 to 10","1989","Urban Area","389","0.0533124813559803","0.0483156449053836","0.058309317806577","4"
"5 on Scale 1 to 10","1989","Rural Area","281","0.164220579601191","0.147636298076024","0.180804861126358","5"
"5 on Scale 1 to 10","1989","Urban Area","1120","0.155636260888497","0.147573244501725","0.163699277275269","5"
"6 on Scale 1 to 10","1989","Rural Area","167","0.0907088194046373","0.077852599829851","0.103565038979424","6"
"6 on Scale 1 to 10","1989","Urban Area","725","0.0983881740174919","0.0917635900221707","0.105012758012813","6"
"7 on Scale 1 to 10","1989","Rural Area","281","0.143131630302644","0.127454668527285","0.158808592078003","7"
"7 on Scale 1 to 10","1989","Urban Area","1059","0.136438429813395","0.128803722876943","0.144073136749847","7"
"8 on Scale 1 to 10","1989","Rural Area","393","0.204908043573211","0.186839413855938","0.222976673290485","8"
"8 on Scale 1 to 10","1989","Urban Area","1778","0.221475808081068","0.212239964593613","0.230711651568524","8"
"9 on Scale 1 to 10","1989","Urban Area","905","0.104276144050835","0.0974785235792591","0.111073764522411","9"
"9 on Scale 1 to 10","1989","Rural Area","213","0.0987716079479713","0.08541578881532","0.112127427080623","9"
"0 Completely dissatisfied","1990","Rural Area","159","0.0325404563173875","0.0274840059741116","0.0375969066606633","0"
"0 Completely dissatisfied","1990","Urban Area","184","0.0240126444901017","0.0208707415619253","0.0271545474182782","0"
"1 on Scale 1 to 10","1990","Rural Area","58","0.0173715323279925","0.0136482046732051","0.0210948599827799","1"
"1 on Scale 1 to 10","1990","Urban Area","109","0.0143661545396549","0.0119239685079785","0.0168083405713314","1"
"10 Completely satisfied","1990","Rural Area","754","0.129792275642339","0.120214748065827","0.139369803218851","10"
"10 Completely satisfied","1990","Urban Area","1079","0.0981879676875468","0.0920808284714307","0.104295106903663","10"
"2 on Scale 1 to 10","1990","Rural Area","117","0.0253507275705926","0.0208711514981516","0.0298303036430335","2"
"2 on Scale 1 to 10","1990","Urban Area","238","0.0279641030955972","0.0245803998268322","0.0313478063643622","2"
"3 on Scale 1 to 10","1990","Rural Area","198","0.0466700180248968","0.0406588601980433","0.0526811758517504","3"
"3 on Scale 1 to 10","1990","Urban Area","394","0.0482390389985641","0.0438414570719549","0.0526366209251732","3"
"4 on Scale 1 to 10","1990","Rural Area","216","0.0506044233815068","0.0443579432501408","0.0568509035128729","4"
"4 on Scale 1 to 10","1990","Urban Area","467","0.0545581160874211","0.0498969157025202","0.059219316472322","4"
"5 on Scale 1 to 10","1990","Rural Area","737","0.162212165069443","0.151706434562861","0.172717895576024","5"
"5 on Scale 1 to 10","1990","Urban Area","1356","0.158976207250964","0.151471722511097","0.166480691990832","5"
"6 on Scale 1 to 10","1990","Rural Area","403","0.0932234740207205","0.0849377531892717","0.101509194852169","6"
"6 on Scale 1 to 10","1990","Urban Area","850","0.0965456266460093","0.0904842665296906","0.102606986762328","6"
"7 on Scale 1 to 10","1990","Urban Area","1372","0.152609084906302","0.14522863617465","0.159989533637954","7"
"7 on Scale 1 to 10","1990","Rural Area","613","0.134747593461444","0.12501677349938","0.144478413423509","7"
"8 on Scale 1 to 10","1990","Rural Area","981","0.20842679510825","0.19685129300228","0.220002297214219","8"
"8 on Scale 1 to 10","1990","Urban Area","2029","0.218912840245792","0.210426195184666","0.227399485306917","8"
"9 on Scale 1 to 10","1990","Urban Area","1042","0.105628216052047","0.099320099788572","0.111936332315521","9"
"9 on Scale 1 to 10","1990","Rural Area","494","0.0990605390754278","0.0905468914932371","0.107574186657618","9"
"0 Completely dissatisfied","1991","Rural Area","94","0.0202627726143735","0.0162078090195516","0.0243177362091955","0"
"0 Completely dissatisfied","1991","Urban Area","168","0.0270138966974585","0.0236483260429377","0.0303794673519792","0"
"1 on Scale 1 to 10","1991","Urban Area","108","0.0137532912484136","0.0113355608019448","0.0161710216948823","1"
"1 on Scale 1 to 10","1991","Rural Area","46","0.011035590972162","0.00802902423970085","0.0140421577046232","1"
"10 Completely satisfied","1991","Urban Area","918","0.088296391837993","0.0824064624077648","0.0941863212682212","10"
"10 Completely satisfied","1991","Rural Area","527","0.0995827611444453","0.0909649553797803","0.10820056690911","10"
"2 on Scale 1 to 10","1991","Urban Area","208","0.0280433920147837","0.0246161049173484","0.031470679112219","2"
"2 on Scale 1 to 10","1991","Rural Area","106","0.0256222693844519","0.0210749528076853","0.0301695859612185","2"
"3 on Scale 1 to 10","1991","Rural Area","205","0.0501146969512592","0.0438355469609126","0.0563938469416057","3"
"3 on Scale 1 to 10","1991","Urban Area","435","0.0521832981744881","0.04756651246405","0.0568000838849262","3"
"4 on Scale 1 to 10","1991","Rural Area","224","0.0543116872879482","0.0477893481416114","0.060834026434285","4"
"4 on Scale 1 to 10","1991","Urban Area","449","0.0553330627337516","0.0505868905611753","0.0600792349063278","4"
"5 on Scale 1 to 10","1991","Rural Area","776","0.176872448701781","0.16589133515412","0.187853562249442","5"
"5 on Scale 1 to 10","1991","Urban Area","1263","0.154134218695629","0.146638521448515","0.161629915942743","5"
"6 on Scale 1 to 10","1991","Rural Area","438","0.101389015738661","0.0927021315058106","0.110075899971512","6"
"6 on Scale 1 to 10","1991","Urban Area","840","0.0972312201155048","0.0910808265153707","0.103381613715639","6"
"7 on Scale 1 to 10","1991","Urban Area","1296","0.144510622216497","0.137211527952577","0.151809716480418","7"
"7 on Scale 1 to 10","1991","Rural Area","652","0.147033498426322","0.136841558574825","0.157225438277819","7"
"8 on Scale 1 to 10","1991","Rural Area","1028","0.211015570973966","0.199272702767785","0.222758439180148","8"
"8 on Scale 1 to 10","1991","Urban Area","2072","0.220290266910433","0.211686752143067","0.228893781677798","8"
"9 on Scale 1 to 10","1991","Urban Area","1157","0.119210339355048","0.112483596250056","0.12593708246004","9"
"9 on Scale 1 to 10","1991","Rural Area","542","0.102759687804629","0.0940209542900043","0.111498421319254","9"
"0 Completely dissatisfied","1992","Rural Area","90","0.0220904931808443","0.0177574901148342","0.0264234962468544","0"
"0 Completely dissatisfied","1992","Urban Area","156","0.0243927506865269","0.0211703764849158","0.027615124888138","0"
"1 on Scale 1 to 10","1992","Urban Area","105","0.0156246464251031","0.0130340871197707","0.0182152057304356","1"
"1 on Scale 1 to 10","1992","Rural Area","49","0.0135258085439589","0.0101204610303462","0.0169311560575715","1"
"10 Completely satisfied","1992","Rural Area","414","0.086906401660497","0.0786017678045023","0.0952110355164918","10"
"10 Completely satisfied","1992","Urban Area","941","0.094465554526102","0.088356172248782","0.100574936803422","10"
"2 on Scale 1 to 10","1992","Urban Area","225","0.0277437594839021","0.0243130724654028","0.0311744465024014","2"
"2 on Scale 1 to 10","1992","Rural Area","118","0.0344411052476499","0.0290650356698821","0.0398171748254177","2"
"3 on Scale 1 to 10","1992","Rural Area","187","0.0460045428521107","0.0398284976004977","0.0521805881037238","3"
"3 on Scale 1 to 10","1992","Urban Area","365","0.0466172212095871","0.0422135496879691","0.0510208927312051","3"
"4 on Scale 1 to 10","1992","Rural Area","221","0.0563880832578068","0.0495877948666203","0.0631883716489934","4"
"4 on Scale 1 to 10","1992","Urban Area","432","0.0520110742819721","0.0473727872766954","0.0566493612872488","4"
"5 on Scale 1 to 10","1992","Rural Area","620","0.14487556544914","0.134499106160496","0.155252024737783","5"
"5 on Scale 1 to 10","1992","Urban Area","1161","0.139853961442413","0.13260907542635","0.147098847458475","5"
"6 on Scale 1 to 10","1992","Rural Area","401","0.0966776306301552","0.0879655609972977","0.105389700263013","6"
"6 on Scale 1 to 10","1992","Urban Area","764","0.0873678265783853","0.0814694604406038","0.0932661927161668","6"
"7 on Scale 1 to 10","1992","Rural Area","686","0.155848297456198","0.145155330178016","0.16654126473438","7"
"7 on Scale 1 to 10","1992","Urban Area","1326","0.1543184314917","0.146772368834424","0.161864494148976","7"
"8 on Scale 1 to 10","1992","Rural Area","1059","0.224995496941773","0.212684988723029","0.237306005160517","8"
"8 on Scale 1 to 10","1992","Urban Area","2188","0.243568827101669","0.234602725920812","0.252534928282525","8"
"9 on Scale 1 to 10","1992","Rural Area","575","0.118246574779866","0.108727279054312","0.12776587050542","9"
"9 on Scale 1 to 10","1992","Urban Area","1141","0.11403594677264","0.107396421764263","0.120675471781017","9"
"0 Completely dissatisfied","1993","Rural Area","74","0.0187266695115787","0.0147148715978812","0.0227384674252761","0"
"0 Completely dissatisfied","1993","Urban Area","154","0.0229407633781034","0.0198054193008139","0.0260761074553928","0"
"1 on Scale 1 to 10","1993","Urban Area","104","0.0141102447589626","0.0116402144732554","0.0165802750446699","1"
"1 on Scale 1 to 10","1993","Rural Area","49","0.0155545441445809","0.0118923762531697","0.019216712035992","1"
"10 Completely satisfied","1993","Rural Area","409","0.0881265077697962","0.079737041096901","0.0965159744426913","10"
"10 Completely satisfied","1993","Urban Area","863","0.0875022507507947","0.0815846407331531","0.0934198607684363","10"
"2 on Scale 1 to 10","1993","Rural Area","124","0.030204533295538","0.0251394112181104","0.0352696553729656","2"
"2 on Scale 1 to 10","1993","Urban Area","266","0.0337542847729616","0.0299722190336756","0.0375363505122476","2"
"3 on Scale 1 to 10","1993","Rural Area","201","0.0486266192246748","0.0422612102319025","0.054992028217447","3"
"3 on Scale 1 to 10","1993","Urban Area","404","0.0517107968616078","0.0470733190369816","0.056348274686234","3"
"4 on Scale 1 to 10","1993","Rural Area","243","0.0584076715516913","0.0514673406112489","0.0653480024921337","4"
"4 on Scale 1 to 10","1993","Urban Area","474","0.057846687606827","0.0529576782850679","0.062735696928586","4"
"5 on Scale 1 to 10","1993","Rural Area","701","0.165400815066839","0.154405148086182","0.176396482047495","5"
"5 on Scale 1 to 10","1993","Urban Area","1215","0.145749093406269","0.138359569082015","0.153138617730523","5"
"6 on Scale 1 to 10","1993","Rural Area","438","0.108232791098352","0.0990384850505495","0.117427097146154","6"
"6 on Scale 1 to 10","1993","Urban Area","941","0.105628766817659","0.0991919545396625","0.112065579095656","6"
"7 on Scale 1 to 10","1993","Rural Area","670","0.150118691960122","0.139547832425608","0.160689551494636","7"
"7 on Scale 1 to 10","1993","Urban Area","1357","0.156431817301769","0.148824290893867","0.164039343709672","7"
"8 on Scale 1 to 10","1993","Rural Area","1033","0.223909688075357","0.211572779371281","0.236246596779432","8"
"8 on Scale 1 to 10","1993","Urban Area","1962","0.224019343470889","0.215287839906925","0.232750847034852","8"
"9 on Scale 1 to 10","1993","Rural Area","444","0.0926914683014713","0.0841090207992682","0.101273915803674","9"
"9 on Scale 1 to 10","1993","Urban Area","1019","0.100305950874157","0.0940147782580403","0.106597123490273","9"
"0 Completely dissatisfied","1994","Rural Area","74","0.0199279151632519","0.0157527669002455","0.0241030634262583","0"
"0 Completely dissatisfied","1994","Urban Area","151","0.0224998567134377","0.0193666019311498","0.0256331114957255","0"
"1 on Scale 1 to 10","1994","Urban Area","88","0.0138418793633921","0.0113734640741052","0.0163102946526789","1"
"1 on Scale 1 to 10","1994","Rural Area","59","0.0189508435961788","0.0148773070433586","0.0230243801489991","1"
"10 Completely satisfied","1994","Rural Area","350","0.080525353162859","0.0723961466179423","0.0886545597077757","10"
"10 Completely satisfied","1994","Urban Area","731","0.0717628811118639","0.0663099900813451","0.0772157721423828","10"
"2 on Scale 1 to 10","1994","Rural Area","110","0.0326564818827994","0.0273465735881965","0.0379663901774024","2"
"2 on Scale 1 to 10","1994","Urban Area","257","0.0350575566418271","0.0311716805604245","0.0389434327232296","2"
"3 on Scale 1 to 10","1994","Rural Area","208","0.0549383906345759","0.0481310107509639","0.0617457705181878","3"
"3 on Scale 1 to 10","1994","Urban Area","500","0.0631193526144753","0.057981627999529","0.0682570772294215","3"
"4 on Scale 1 to 10","1994","Rural Area","247","0.0567601013934518","0.0498474505319067","0.0636727522549968","4"
"4 on Scale 1 to 10","1994","Urban Area","501","0.0600469019467229","0.0550275711956918","0.0650662326977541","4"
"5 on Scale 1 to 10","1994","Rural Area","684","0.162820040127634","0.151790045515206","0.173850034740062","5"
"5 on Scale 1 to 10","1994","Urban Area","1227","0.152945633414934","0.145341116956762","0.160550149873106","5"
"6 on Scale 1 to 10","1994","Rural Area","465","0.103292305917694","0.0942000553810787","0.112384556454309","6"
"6 on Scale 1 to 10","1994","Urban Area","880","0.100792007180096","0.0944315175871117","0.107152496773081","6"
"7 on Scale 1 to 10","1994","Rural Area","718","0.17218206536179","0.16090299432898","0.1834611363946","7"
"7 on Scale 1 to 10","1994","Urban Area","1342","0.157814030103404","0.150111662773416","0.165516397433393","7"
"8 on Scale 1 to 10","1994","Rural Area","908","0.196847705911766","0.184968809621429","0.208726602202103","8"
"8 on Scale 1 to 10","1994","Urban Area","1943","0.220568102790349","0.211808027045883","0.229328178534814","8"
"9 on Scale 1 to 10","1994","Urban Area","986","0.101551798119498","0.0951700780400349","0.10793351819896","9"
"9 on Scale 1 to 10","1994","Rural Area","481","0.101098796847999","0.0920926103882324","0.110104983307765","9"
"0 Completely dissatisfied","1995","Rural Area","52","0.0146871587018751","0.011155863500973","0.0182184539027771","0"
"0 Completely dissatisfied","1995","Urban Area","140","0.0216902532127636","0.0186565347831821","0.0247239716423451","0"
"1 on Scale 1 to 10","1995","Rural Area","34","0.00869274705836248","0.00596778335291299","0.011417710763812","1"
"1 on Scale 1 to 10","1995","Urban Area","98","0.0134200748989979","0.0110237352382426","0.0158164145597532","1"
"10 Completely satisfied","1995","Rural Area","328","0.0664817466540738","0.059168829110652","0.0737946641974956","10"
"10 Completely satisfied","1995","Urban Area","785","0.072602694638187","0.067198710651803","0.078006678624571","10"
"2 on Scale 1 to 10","1995","Rural Area","114","0.0332598660846548","0.0279961412105709","0.0385235909587387","2"
"2 on Scale 1 to 10","1995","Urban Area","242","0.0323204557817429","0.0286373915979844","0.0360035199655014","2"
"3 on Scale 1 to 10","1995","Rural Area","227","0.0613149626250616","0.0542725536792857","0.0683573715708375","3"
"3 on Scale 1 to 10","1995","Urban Area","475","0.0579861929655049","0.0531188079470391","0.0628535779839707","3"
"4 on Scale 1 to 10","1995","Rural Area","254","0.0536805530186538","0.0470644016597656","0.060296704377542","4"
"4 on Scale 1 to 10","1995","Urban Area","494","0.0622065879860577","0.0571764888094512","0.0672366871626642","4"
"5 on Scale 1 to 10","1995","Rural Area","701","0.169862783073405","0.15883972440209","0.180885841744721","5"
"5 on Scale 1 to 10","1995","Urban Area","1227","0.146682154943192","0.139314168408815","0.15405014147757","5"
"6 on Scale 1 to 10","1995","Rural Area","482","0.110987970018953","0.101767143910118","0.120208796127789","6"
"6 on Scale 1 to 10","1995","Urban Area","884","0.100261868702235","0.0940068195126737","0.106516917891796","6"
"7 on Scale 1 to 10","1995","Rural Area","729","0.158021711662537","0.147314241172492","0.168729182152583","7"
"7 on Scale 1 to 10","1995","Urban Area","1432","0.167496233413813","0.159719442998629","0.175273023828997","7"
"8 on Scale 1 to 10","1995","Rural Area","1024","0.221035848988764","0.208855263824848","0.23321643415268","8"
"8 on Scale 1 to 10","1995","Urban Area","2061","0.219772019086773","0.21114815847578","0.228395879697765","8"
"9 on Scale 1 to 10","1995","Urban Area","1019","0.105561464370734","0.099162160652844","0.111960768088623","9"
"9 on Scale 1 to 10","1995","Rural Area","513","0.101974652113658","0.0930914718987808","0.110857832328536","9"
"0 Completely dissatisfied","1996","Urban Area","134","0.0198095760399439","0.0168779669138401","0.0227411851660477","0"
"0 Completely dissatisfied","1996","Rural Area","58","0.0138523403919525","0.0104109830768937","0.0172936977070112","0"
"1 on Scale 1 to 10","1996","Urban Area","96","0.0128085558514173","0.0104428321476837","0.0151742795551509","1"
"1 on Scale 1 to 10","1996","Rural Area","43","0.0140537871801045","0.0105878513806497","0.0175197229795594","1"
"10 Completely satisfied","1996","Urban Area","709","0.0721967110220477","0.0667516856546964","0.0776417363893989","10"
"10 Completely satisfied","1996","Rural Area","296","0.0623214636478216","0.0552037088014605","0.0694392184941827","10"
"2 on Scale 1 to 10","1996","Urban Area","242","0.0345154409658471","0.0306748980167494","0.0383559839149449","2"
"2 on Scale 1 to 10","1996","Rural Area","130","0.0322100280657618","0.027011464885723","0.0374085912458006","2"
"3 on Scale 1 to 10","1996","Urban Area","411","0.0500389581434073","0.0454520475640555","0.0546258687227592","3"
"3 on Scale 1 to 10","1996","Rural Area","231","0.0567067183775043","0.0498968636972788","0.0635165730577298","3"
"4 on Scale 1 to 10","1996","Rural Area","226","0.0592273742765319","0.0522771184299075","0.0661776301231563","4"
"4 on Scale 1 to 10","1996","Urban Area","535","0.0666604567988908","0.0614127782679385","0.0719081353298431","4"
"5 on Scale 1 to 10","1996","Urban Area","1220","0.155554001193134","0.147929002365238","0.16317900002103","5"
"5 on Scale 1 to 10","1996","Rural Area","707","0.16769299244531","0.156692897114459","0.17869308777616","5"
"6 on Scale 1 to 10","1996","Urban Area","927","0.102699855262965","0.0963132947497799","0.109086415776149","6"
"6 on Scale 1 to 10","1996","Rural Area","498","0.112725062498961","0.103413199762014","0.122036925235907","6"
"7 on Scale 1 to 10","1996","Urban Area","1402","0.163995517366929","0.156205587664888","0.17178544706897","7"
"7 on Scale 1 to 10","1996","Rural Area","759","0.160736539366251","0.149922108201637","0.171550970530865","7"
"8 on Scale 1 to 10","1996","Urban Area","2028","0.221597264171441","0.212859554287785","0.230334974055098","8"
"8 on Scale 1 to 10","1996","Rural Area","1011","0.221886716479749","0.209652271211799","0.2341211617477","8"
