"m11125","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"10 Completely satisfied","1986","West Germany","1659","0.136066046255025","0.12954401628483","0.142588076225219","10"
"10 Completely satisfied","1986","East Germany","","","","","10"
"2 on Scale 1 to 10","1986","West Germany","249","0.0252176839845417","0.0222352279105399","0.0282001400585435","2"
"2 on Scale 1 to 10","1986","East Germany","","","","","2"
"3 on Scale 1 to 10","1986","West Germany","440","0.0440437215478131","0.0401404509950976","0.0479469921005287","3"
"3 on Scale 1 to 10","1986","East Germany","","","","","3"
"4 on Scale 1 to 10","1986","West Germany","539","0.0551553316586901","0.0508128139849568","0.0594978493324233","4"
"4 on Scale 1 to 10","1986","East Germany","","","","","4"
"5 on Scale 1 to 10","1986","West Germany","1545","0.156504286994806","0.149592788861087","0.163415785128524","5"
"5 on Scale 1 to 10","1986","East Germany","","","","","5"
"6 on Scale 1 to 10","1986","East Germany","","","","","6"
"6 on Scale 1 to 10","1986","West Germany","900","0.0885000384990337","0.0830972534021785","0.0939028235958889","6"
"7 on Scale 1 to 10","1986","West Germany","1410","0.134097554626714","0.127615502065794","0.140579607187635","7"
"7 on Scale 1 to 10","1986","East Germany","","","","","7"
"8 on Scale 1 to 10","1986","East Germany","","","","","8"
"8 on Scale 1 to 10","1986","West Germany","2205","0.20446222845269","0.196790299306534","0.212134157598846","8"
"9 on Scale 1 to 10","1986","West Germany","1312","0.116623931368528","0.110518247846763","0.122729614890293","9"
"9 on Scale 1 to 10","1986","East Germany","","","","","9"
"0 Completely dissatisfied","1987","West Germany","184","0.0211560807566061","0.0184029223409117","0.0239092391723004","0"
"0 Completely dissatisfied","1987","East Germany","","","","","0"
"1 on Scale 1 to 10","1987","East Germany","","","","","1"
"1 on Scale 1 to 10","1987","West Germany","141","0.0162724770008145","0.0138518876743668","0.0186930663272622","1"
"10 Completely satisfied","1987","West Germany","1475","0.119186748176733","0.11298787466006","0.125385621693406","10"
"10 Completely satisfied","1987","East Germany","","","","","10"
"2 on Scale 1 to 10","1987","West Germany","305","0.0315925689249508","0.0282461647217679","0.0349389731281337","2"
"2 on Scale 1 to 10","1987","East Germany","","","","","2"
"3 on Scale 1 to 10","1987","West Germany","424","0.042990963272584","0.0391103221903095","0.0468716043548585","3"
"3 on Scale 1 to 10","1987","East Germany","","","","","3"
"4 on Scale 1 to 10","1987","West Germany","468","0.0493126978340775","0.0451702686035193","0.0534551270646357","4"
"4 on Scale 1 to 10","1987","East Germany","","","","","4"
"5 on Scale 1 to 10","1987","West Germany","1494","0.156529540022952","0.149577856976857","0.163481223069046","5"
"5 on Scale 1 to 10","1987","East Germany","","","","","5"
"6 on Scale 1 to 10","1987","West Germany","935","0.0944433226589197","0.0888483197441384","0.100038325573701","6"
"6 on Scale 1 to 10","1987","East Germany","","","","","6"
"7 on Scale 1 to 10","1987","West Germany","1569","0.150130826958057","0.143296939125985","0.15696471479013","7"
"7 on Scale 1 to 10","1987","East Germany","","","","","7"
"8 on Scale 1 to 10","1987","East Germany","","","","","8"
"8 on Scale 1 to 10","1987","West Germany","2282","0.212492467880628","0.204666176773192","0.220318758988063","8"
"9 on Scale 1 to 10","1987","West Germany","1218","0.105892306513677","0.100005442692735","0.11177917033462","9"
"9 on Scale 1 to 10","1987","East Germany","","","","","9"
"0 Completely dissatisfied","1988","West Germany","189","0.0244152226798565","0.0213904744603322","0.0274399708993807","0"
"0 Completely dissatisfied","1988","East Germany","","","","","0"
"1 on Scale 1 to 10","1988","West Germany","138","0.0163743685390856","0.0138870948468793","0.0188616422312919","1"
"1 on Scale 1 to 10","1988","East Germany","","","","","1"
"10 Completely satisfied","1988","East Germany","","","","","10"
"10 Completely satisfied","1988","West Germany","1236","0.101346539237728","0.0954319176443403","0.107261160831117","10"
"2 on Scale 1 to 10","1988","West Germany","280","0.0331277869793798","0.0296202106596139","0.0366353632991458","2"
"2 on Scale 1 to 10","1988","East Germany","","","","","2"
"3 on Scale 1 to 10","1988","West Germany","451","0.0477737213306802","0.0435935797198719","0.0519538629414884","3"
"3 on Scale 1 to 10","1988","East Germany","","","","","3"
"4 on Scale 1 to 10","1988","West Germany","498","0.0541223931534404","0.049688018887969","0.0585567674189119","4"
"4 on Scale 1 to 10","1988","East Germany","","","","","4"
"5 on Scale 1 to 10","1988","West Germany","1438","0.154953666781532","0.147861685722164","0.1620456478409","5"
"5 on Scale 1 to 10","1988","East Germany","","","","","5"
"6 on Scale 1 to 10","1988","East Germany","","","","","6"
"6 on Scale 1 to 10","1988","West Germany","889","0.0933638380236369","0.0876617719656791","0.0990659040815948","6"
"7 on Scale 1 to 10","1988","West Germany","1429","0.144691599952734","0.137796994706366","0.151586205199102","7"
"7 on Scale 1 to 10","1988","East Germany","","","","","7"
"8 on Scale 1 to 10","1988","East Germany","","","","","8"
"8 on Scale 1 to 10","1988","West Germany","2238","0.219381377437585","0.211270913255039","0.227491841620131","8"
"9 on Scale 1 to 10","1988","West Germany","1215","0.110449485884341","0.104306301731988","0.116592670036695","9"
"9 on Scale 1 to 10","1988","East Germany","","","","","9"
"0 Completely dissatisfied","1989","West Germany","213","0.0254100005877923","0.0222754241500204","0.0285445770255642","0"
"0 Completely dissatisfied","1989","East Germany","","","","","0"
"1 on Scale 1 to 10","1989","West Germany","123","0.0146128697909661","0.0122226559770193","0.017003083604913","1"
"1 on Scale 1 to 10","1989","East Germany","","","","","1"
"10 Completely satisfied","1989","East Germany","","","","","10"
"10 Completely satisfied","1989","West Germany","1177","0.106551546166452","0.100405721293769","0.112697371039135","10"
"2 on Scale 1 to 10","1989","West Germany","285","0.0330709724287997","0.0295090346110104","0.0366329102465891","2"
"2 on Scale 1 to 10","1989","East Germany","","","","","2"
"3 on Scale 1 to 10","1989","West Germany","472","0.0527172143237725","0.048265968275575","0.0571684603719699","3"
"3 on Scale 1 to 10","1989","East Germany","","","","","3"
"4 on Scale 1 to 10","1989","West Germany","490","0.0546371217503353","0.0501101401356348","0.0591641033650359","4"
"4 on Scale 1 to 10","1989","East Germany","","","","","4"
"5 on Scale 1 to 10","1989","West Germany","1401","0.157542740980889","0.150286049008059","0.164799432953719","5"
"5 on Scale 1 to 10","1989","East Germany","","","","","5"
"6 on Scale 1 to 10","1989","West Germany","892","0.0966826762159981","0.0907961368439128","0.102569215588083","6"
"6 on Scale 1 to 10","1989","East Germany","","","","","6"
"7 on Scale 1 to 10","1989","West Germany","1340","0.13792491393802","0.13105645257163","0.14479337530441","7"
"7 on Scale 1 to 10","1989","East Germany","","","","","7"
"8 on Scale 1 to 10","1989","West Germany","2171","0.217796294975043","0.209574801243784","0.226017788706302","8"
"8 on Scale 1 to 10","1989","East Germany","","","","","8"
"9 on Scale 1 to 10","1989","West Germany","1118","0.103053648841933","0.0969977240595272","0.109109573624338","9"
"9 on Scale 1 to 10","1989","East Germany","","","","","9"
"0 Completely dissatisfied","1990","West Germany","164","0.0213447829494927","0.018438744827012","0.0242508210719735","0"
"0 Completely dissatisfied","1990","East Germany","180","0.0476662846585105","0.0413957942195609","0.0539367750974601","0"
"1 on Scale 1 to 10","1990","East Germany","44","0.0115049943885253","0.00836642507518954","0.0146435637018611","1"
"1 on Scale 1 to 10","1990","West Germany","125","0.0162942306455469","0.0137486309112881","0.0188398303798057","1"
"10 Completely satisfied","1990","East Germany","802","0.179046323902892","0.167762837517029","0.190329810288756","10"
"10 Completely satisfied","1990","West Germany","1051","0.0907266017118238","0.0849515597684564","0.0965016436551912","10"
"2 on Scale 1 to 10","1990","East Germany","109","0.0252362451792476","0.020620271390368","0.0298522189681272","2"
"2 on Scale 1 to 10","1990","West Germany","249","0.0276788468375352","0.0243803244104059","0.0309773692646644","2"
"3 on Scale 1 to 10","1990","East Germany","179","0.0433972753306369","0.0374007687110445","0.0493937819502294","3"
"3 on Scale 1 to 10","1990","West Germany","416","0.0487701011980952","0.0444393807295841","0.0531008216666064","3"
"4 on Scale 1 to 10","1990","West Germany","497","0.0551783369229826","0.0505874161033481","0.0597692577426171","4"
"4 on Scale 1 to 10","1990","East Germany","188","0.0455736383120915","0.0394356035638003","0.0517116730603828","4"
"5 on Scale 1 to 10","1990","West Germany","1343","0.154836075332697","0.147562513571364","0.162109637094029","5"
"5 on Scale 1 to 10","1990","East Germany","761","0.180175446139068","0.1688642237092","0.191486668568936","5"
"6 on Scale 1 to 10","1990","West Germany","908","0.0995739497710719","0.0935533817041707","0.105594517837973","6"
"6 on Scale 1 to 10","1990","East Germany","349","0.078397641230566","0.0704867654371104","0.0863085170240217","6"
"7 on Scale 1 to 10","1990","West Germany","1458","0.154581189607742","0.147312521253795","0.161849857961689","7"
"7 on Scale 1 to 10","1990","East Germany","541","0.117130609060738","0.107666391617861","0.126594826503616","7"
"8 on Scale 1 to 10","1990","East Germany","858","0.182420793821527","0.171054905924337","0.193786681718717","8"
"8 on Scale 1 to 10","1990","West Germany","2173","0.22407461008715","0.215690694746439","0.232458525427862","8"
"9 on Scale 1 to 10","1990","West Germany","1118","0.106941274935863","0.100727532240852","0.113155017630874","9"
"9 on Scale 1 to 10","1990","East Germany","424","0.0894507479761967","0.081051411330809","0.0978500846215845","9"
"0 Completely dissatisfied","1991","West Germany","171","0.0241304091131487","0.021042518723487","0.0272182995028105","0"
"0 Completely dissatisfied","1991","East Germany","93","0.027722656723034","0.0227306508980832","0.0327146625479847","0"
"1 on Scale 1 to 10","1991","East Germany","50","0.0149121966738664","0.0112269135415651","0.0185974798061677","1"
"1 on Scale 1 to 10","1991","West Germany","104","0.0123264190031889","0.0101061335045147","0.0145467045018631","1"
"10 Completely satisfied","1991","East Germany","510","0.121133867958091","0.111212838620639","0.131054897295544","10"
"10 Completely satisfied","1991","West Germany","949","0.0846049876705163","0.0790050151631617","0.0902049601778709","10"
"2 on Scale 1 to 10","1991","West Germany","227","0.0278457536485288","0.0245349706390433","0.0311565366580143","2"
"2 on Scale 1 to 10","1991","East Germany","89","0.0250303462785627","0.0202803687500245","0.0297803238071008","2"
"3 on Scale 1 to 10","1991","East Germany","189","0.0527207216970338","0.0459256777648781","0.0595157656291895","3"
"3 on Scale 1 to 10","1991","West Germany","456","0.0512954755680603","0.0468564396724131","0.0557345114637075","3"
"4 on Scale 1 to 10","1991","West Germany","480","0.0562463586682155","0.0516101799737389","0.060882537362692","4"
"4 on Scale 1 to 10","1991","East Germany","197","0.0501595207282968","0.0435226309831492","0.0567964104734444","4"
"5 on Scale 1 to 10","1991","West Germany","1328","0.153360193767332","0.146109337322507","0.160611050212158","5"
"5 on Scale 1 to 10","1991","East Germany","719","0.191255007717329","0.179296560612199","0.203213454822459","5"
"6 on Scale 1 to 10","1991","West Germany","900","0.0992293222574284","0.0932132814496189","0.105245363065238","6"
"6 on Scale 1 to 10","1991","East Germany","385","0.0952275739882934","0.0863024632071261","0.104152684769461","6"
"7 on Scale 1 to 10","1991","West Germany","1437","0.15244849457292","0.14521533143142","0.159681657714419","7"
"7 on Scale 1 to 10","1991","East Germany","522","0.116737396796995","0.106973740098265","0.126501053495725","7"
"8 on Scale 1 to 10","1991","East Germany","919","0.20021027520006","0.18804299054894","0.21237755985118","8"
"8 on Scale 1 to 10","1991","West Germany","2207","0.222031412931653","0.213668224486532","0.230394601376774","8"
"9 on Scale 1 to 10","1991","West Germany","1228","0.116481172799008","0.110025828473403","0.122936517124613","9"
"9 on Scale 1 to 10","1991","East Germany","482","0.104890436238438","0.0955735965788147","0.114207275898061","9"
"0 Completely dissatisfied","1992","West Germany","183","0.0244053763258807","0.0212813879832447","0.0275293646685168","0"
"0 Completely dissatisfied","1992","East Germany","65","0.0203597393445611","0.0159671807153445","0.0247522979737776","0"
"1 on Scale 1 to 10","1992","East Germany","34","0.0102533753609319","0.00712013587912036","0.0133866148427434","1"
"1 on Scale 1 to 10","1992","West Germany","121","0.0160961796811972","0.0135483541797433","0.0186440051826511","1"
"10 Completely satisfied","1992","West Germany","1034","0.093870781910452","0.0879661580662276","0.0997754057546765","10"
"10 Completely satisfied","1992","East Germany","337","0.0862700509479295","0.0775375809001685","0.0950025209956904","10"
"2 on Scale 1 to 10","1992","West Germany","232","0.0292569837730318","0.025845063582491","0.0326689039635726","2"
"2 on Scale 1 to 10","1992","East Germany","115","0.0317921897824292","0.0263353316962926","0.0372490478685659","2"
"3 on Scale 1 to 10","1992","West Germany","383","0.0451209145003052","0.0409185367512768","0.0493232922493336","3"
"3 on Scale 1 to 10","1992","East Germany","177","0.0530762721856922","0.0461034939443209","0.0600490504270635","3"
"4 on Scale 1 to 10","1992","West Germany","444","0.0516771412057868","0.0471952707367748","0.0561590116747988","4"
"4 on Scale 1 to 10","1992","East Germany","212","0.059455911456621","0.052100867930272","0.06681095498297","4"
"5 on Scale 1 to 10","1992","West Germany","1164","0.133638508864372","0.126749649294799","0.140527368433945","5"
"5 on Scale 1 to 10","1992","East Germany","630","0.171794838785297","0.160062835662484","0.183526841908111","5"
"6 on Scale 1 to 10","1992","West Germany","838","0.0914311073651286","0.0855958787907399","0.0972663359395173","6"
"6 on Scale 1 to 10","1992","East Germany","337","0.0852545783403595","0.0765688323379397","0.0939403243427794","6"
"7 on Scale 1 to 10","1992","West Germany","1412","0.15610733415977","0.148759028532376","0.163455639787165","7"
"7 on Scale 1 to 10","1992","East Germany","613","0.147491948881458","0.136463065382515","0.1585208323804","7"
"8 on Scale 1 to 10","1992","West Germany","2291","0.239230259596302","0.230593185965964","0.24786733322664","8"
"8 on Scale 1 to 10","1992","East Germany","984","0.233098798707541","0.219948431679517","0.246249165735565","8"
"9 on Scale 1 to 10","1992","West Germany","1270","0.119165412617774","0.112606161750467","0.12572466348508","9"
"9 on Scale 1 to 10","1992","East Germany","467","0.10115229620718","0.0917738891862931","0.110530703228066","9"
"0 Completely dissatisfied","1993","West Germany","169","0.0223272495973127","0.0193269057388644","0.025327593455761","0"
"0 Completely dissatisfied","1993","East Germany","59","0.0189839711482164","0.014662015674524","0.0233059266219088","0"
"1 on Scale 1 to 10","1993","East Germany","43","0.01260848440771","0.00907482374048046","0.0161421450749395","1"
"1 on Scale 1 to 10","1993","West Germany","110","0.0150272426982985","0.0125566086564606","0.0174978767401363","1"
"10 Completely satisfied","1993","West Germany","949","0.0882696341849507","0.0825086652345438","0.0940306031353577","10"
"10 Completely satisfied","1993","East Germany","323","0.0853527527293984","0.0765039546314733","0.0942015508273235","10"
"2 on Scale 1 to 10","1993","West Germany","279","0.0325045597770034","0.0289033097948668","0.03610580975914","2"
"2 on Scale 1 to 10","1993","East Germany","111","0.0333851038525267","0.0276958958583496","0.0390743118467037","2"
"3 on Scale 1 to 10","1993","West Germany","419","0.0505275327080571","0.0460795622396314","0.0549755031764827","3"
"3 on Scale 1 to 10","1993","East Germany","186","0.0517841019713277","0.0447663091169914","0.0588018948256641","3"
"4 on Scale 1 to 10","1993","West Germany","499","0.0572998020612871","0.0525800409082329","0.0620195632143413","4"
"4 on Scale 1 to 10","1993","East Germany","218","0.0609151855968084","0.0533405124258678","0.068489858767749","4"
"5 on Scale 1 to 10","1993","West Germany","1256","0.143494599932662","0.136375263885469","0.150613935979855","5"
"5 on Scale 1 to 10","1993","East Germany","660","0.184887099942856","0.172592599345166","0.197181600540546","5"
"6 on Scale 1 to 10","1993","West Germany","998","0.108159478595111","0.101852337386695","0.114466619803528","6"
"6 on Scale 1 to 10","1993","East Germany","381","0.0993731236314647","0.0898986383334749","0.108847608929454","6"
"7 on Scale 1 to 10","1993","West Germany","1423","0.155335965697815","0.147980085059793","0.162691846335836","7"
"7 on Scale 1 to 10","1993","East Germany","604","0.151218890105017","0.139872712435628","0.162565067774405","7"
"8 on Scale 1 to 10","1993","West Germany","2133","0.227557025715976","0.219042999179293","0.236071052252659","8"
"8 on Scale 1 to 10","1993","East Germany","862","0.209546106282812","0.196656882224876","0.222435330340748","8"
"9 on Scale 1 to 10","1993","West Germany","1080","0.0994969090315264","0.0934183021146352","0.105575515948418","9"
"9 on Scale 1 to 10","1993","East Germany","383","0.091945180331863","0.0827941662759539","0.101096194387772","9"
"0 Completely dissatisfied","1994","West Germany","167","0.0227912271816278","0.0197305403440333","0.0258519140192222","0"
"0 Completely dissatisfied","1994","East Germany","58","0.0173957620773222","0.0132262460781907","0.0215652780764536","0"
"1 on Scale 1 to 10","1994","West Germany","100","0.0148067272216202","0.0123296952118692","0.0172837592313713","1"
"1 on Scale 1 to 10","1994","East Germany","47","0.0176918375015217","0.013487622225423","0.0218960527776204","1"
"10 Completely satisfied","1994","East Germany","239","0.0641104527432022","0.0562986490901501","0.0719222563962543","10"
"10 Completely satisfied","1994","West Germany","842","0.0769167668589806","0.0714519916291528","0.0823815420888083","10"
"2 on Scale 1 to 10","1994","West Germany","262","0.033664001568802","0.0299649676761873","0.0373630354614168","2"
"2 on Scale 1 to 10","1994","East Germany","105","0.037078264585287","0.0310522553471081","0.0431042738234659","2"
"3 on Scale 1 to 10","1994","West Germany","507","0.0617395145434288","0.0568034062330631","0.0666756228537946","3"
"3 on Scale 1 to 10","1994","East Germany","201","0.0562815162991933","0.0489316621007567","0.0636313704976298","3"
"4 on Scale 1 to 10","1994","West Germany","507","0.0578797351905992","0.053090592215386","0.0626688781658123","4"
"4 on Scale 1 to 10","1994","East Germany","241","0.0638704469243924","0.0560722795186176","0.0716686143301672","4"
"5 on Scale 1 to 10","1994","West Germany","1256","0.147402747262324","0.140132216512127","0.154673278012522","5"
"5 on Scale 1 to 10","1994","East Germany","655","0.190566509309559","0.178041199614714","0.203091819004405","5"
"6 on Scale 1 to 10","1994","West Germany","895","0.0974517284580802","0.0913693791940896","0.103534077722071","6"
"6 on Scale 1 to 10","1994","East Germany","450","0.118208585405307","0.107912265164231","0.128504905646382","6"
"7 on Scale 1 to 10","1994","West Germany","1427","0.164256463612291","0.156657766920904","0.171855160303678","7"
"7 on Scale 1 to 10","1994","East Germany","633","0.15344908106281","0.141954760965325","0.164943401160294","7"
"8 on Scale 1 to 10","1994","West Germany","2084","0.219190720189011","0.210706246111535","0.227675194266486","8"
"8 on Scale 1 to 10","1994","East Germany","767","0.190053995195854","0.177541580371777","0.202566410019931","8"
"9 on Scale 1 to 10","1994","West Germany","1086","0.103900367913235","0.0976424760475924","0.110158259778878","9"
"9 on Scale 1 to 10","1994","East Germany","381","0.0912935488955514","0.0821079717454701","0.100479126045633","9"
"0 Completely dissatisfied","1995","East Germany","44","0.0141586562989568","0.010345136059799","0.0179721765381147","0"
"0 Completely dissatisfied","1995","West Germany","148","0.0208508990005235","0.0179968143014931","0.0237049836995538","0"
"1 on Scale 1 to 10","1995","East Germany","33","0.00959249449820283","0.00644630944832345","0.0127386795480822","1"
"1 on Scale 1 to 10","1995","West Germany","99","0.0125539809060342","0.0103300183867702","0.0147779434252982","1"
"10 Completely satisfied","1995","East Germany","207","0.051388902350873","0.0442621725505082","0.0585156321512378","10"
"10 Completely satisfied","1995","West Germany","906","0.0753565042018185","0.0700838707412376","0.0806291376623993","10"
"2 on Scale 1 to 10","1995","East Germany","92","0.0321789263717236","0.026482600391951","0.0378752523514961","2"
"2 on Scale 1 to 10","1995","West Germany","264","0.0327076005159876","0.0291546980925045","0.0362605029394706","2"
"3 on Scale 1 to 10","1995","East Germany","194","0.0599866166652053","0.0523217302316458","0.0676515030987647","3"
"3 on Scale 1 to 10","1995","West Germany","508","0.0587616663575971","0.05406405693681","0.0634592757783843","3"
"4 on Scale 1 to 10","1995","East Germany","243","0.0650561760250875","0.0570955257178906","0.0730168263322844","4"
"4 on Scale 1 to 10","1995","West Germany","505","0.0583198318863125","0.0536388183819428","0.0630008453906822","4"
"5 on Scale 1 to 10","1995","West Germany","1295","0.144315065666882","0.137295781434427","0.151334349899338","5"
"5 on Scale 1 to 10","1995","East Germany","633","0.193198763378843","0.180455021365242","0.205942505392444","5"
"6 on Scale 1 to 10","1995","East Germany","423","0.114110404827109","0.103847650193648","0.12437315946057","6"
"6 on Scale 1 to 10","1995","West Germany","943","0.100996122378339","0.094977277055089","0.10701496770159","6"
"7 on Scale 1 to 10","1995","East Germany","626","0.158710690131803","0.146915979309748","0.170505400953859","7"
"7 on Scale 1 to 10","1995","West Germany","1535","0.166026010436108","0.158593348685496","0.17345867218672","7"
"8 on Scale 1 to 10","1995","East Germany","813","0.210747748662731","0.197583353542364","0.223912143783097","8"
"8 on Scale 1 to 10","1995","West Germany","2272","0.22239850758418","0.214091884068345","0.230705131100014","8"
"9 on Scale 1 to 10","1995","East Germany","379","0.0908706207894647","0.0815930107100765","0.100148230868853","9"
"9 on Scale 1 to 10","1995","West Germany","1153","0.107713811066218","0.101521285165593","0.113906336966842","9"
"0 Completely dissatisfied","1996","East Germany","46","0.0144302346677318","0.0105834522025851","0.0182770171328785","0"
"0 Completely dissatisfied","1996","West Germany","146","0.0188721509624247","0.0161241353540436","0.0216201665708059","0"
"1 on Scale 1 to 10","1996","East Germany","30","0.00925373151655504","0.00616516531256894","0.0123422977205411","1"
"1 on Scale 1 to 10","1996","West Germany","109","0.0140964176364354","0.0117156484444084","0.0164771868284623","1"
"10 Completely satisfied","1996","East Germany","184","0.0475031597973886","0.0406417988542222","0.0543645207405551","10"
"10 Completely satisfied","1996","West Germany","821","0.0743267116104542","0.0690295037119502","0.0796239195089582","10"
"2 on Scale 1 to 10","1996","East Germany","99","0.0295310521106559","0.0240703620587269","0.0349917421625848","2"
"2 on Scale 1 to 10","1996","West Germany","273","0.0348276618926696","0.0311250321480506","0.0385302916372887","2"
"3 on Scale 1 to 10","1996","East Germany","202","0.057696309151293","0.0501751166048029","0.0652175016977831","3"
"3 on Scale 1 to 10","1996","West Germany","440","0.0506951750932591","0.0462648882049996","0.0551254619815187","3"
"4 on Scale 1 to 10","1996","East Germany","225","0.0689218737815991","0.0607506172550443","0.0770931303081538","4"
"4 on Scale 1 to 10","1996","West Germany","536","0.0633861973250326","0.0584655377710084","0.0683068568790568","4"
"5 on Scale 1 to 10","1996","West Germany","1269","0.151012730906912","0.143781652640342","0.158243809173482","5"
"5 on Scale 1 to 10","1996","East Germany","658","0.19398157265762","0.181226880878016","0.206736264437225","5"
"6 on Scale 1 to 10","1996","East Germany","428","0.113428003279847","0.103198974673346","0.123657031886347","6"
"6 on Scale 1 to 10","1996","West Germany","998","0.104008927646386","0.0978439310221313","0.110173924270641","6"
"7 on Scale 1 to 10","1996","East Germany","647","0.157778839495533","0.146020264378799","0.169537414612268","7"
"7 on Scale 1 to 10","1996","West Germany","1514","0.164226470711074","0.156744576237913","0.171708365184235","7"
"8 on Scale 1 to 10","1996","East Germany","830","0.223398082088426","0.209962509044315","0.236833655132537","8"
"8 on Scale 1 to 10","1996","West Germany","2209","0.221251007914741","0.212868247183957","0.229633768645524","8"
"9 on Scale 1 to 10","1996","East Germany","343","0.08407714145335","0.0751258507295591","0.0930284321771409","9"
"9 on Scale 1 to 10","1996","West Germany","1104","0.103296548300611","0.0971502587189431","0.10944283788228","9"
"0 Completely dissatisfied","1997","East Germany","37","0.0137947697860841","0.010006691030406","0.0175828485417622","0"
"0 Completely dissatisfied","1997","West Germany","106","0.0142199189949226","0.0118058443991919","0.0166339935906533","0"
"1 on Scale 1 to 10","1997","East Germany","40","0.0109464269367892","0.0075671466119836","0.0143257072615948","1"
"1 on Scale 1 to 10","1997","West Germany","113","0.0151548947533033","0.0126639016041258","0.0176458879024808","1"
"10 Completely satisfied","1997","East Germany","157","0.0428362687431413","0.0362600378260311","0.0494124996602515","10"
"10 Completely satisfied","1997","West Germany","781","0.0720668899862533","0.0667941260117057","0.0773396539608009","10"
"2 on Scale 1 to 10","1997","East Germany","95","0.0325204992784483","0.0267597681143904","0.0382812304425062","2"
"2 on Scale 1 to 10","1997","West Germany","255","0.0316704145148957","0.0280997374025301","0.0352410916272612","2"
"3 on Scale 1 to 10","1997","East Germany","225","0.0664368973771653","0.0583486461758705","0.0745251485784602","3"
