"m11125","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"8 on Scale 1 to 10","1985","general elemantary","Rural Area","120","0.174634968811616","0.146884374802489","0.202385562820743","8"
"8 on Scale 1 to 10","1985","middle vocational","Urban Area","844","0.195899436446785","0.183700100800303","0.208098772093268","8"
"8 on Scale 1 to 10","1985","middle vocational","Rural Area","238","0.205409686181334","0.181642996565601","0.229176375797068","8"
"8 on Scale 1 to 10","1985","vocational + Abi","Rural Area","10","","","","8"
"8 on Scale 1 to 10","1985","vocational + Abi","Urban Area","48","0.218789088842729","0.165704664695387","0.271873512990071","8"
"8 on Scale 1 to 10","1985","higher education","Urban Area","178","0.269490708594798","0.235115695343256","0.303865721846339","8"
"8 on Scale 1 to 10","1985","higher education","Rural Area","27","","","","8"
"9 on Scale 1 to 10","1985","general elemantary","Rural Area","73","0.0956065096490372","0.0741130616288823","0.117099957669192","9"
"9 on Scale 1 to 10","1985","middle vocational","Urban Area","457","0.103830585306808","0.0944544878273816","0.113206682786234","9"
"9 on Scale 1 to 10","1985","middle vocational","Rural Area","124","0.10293031726461","0.0850542760572814","0.120806358471939","9"
"9 on Scale 1 to 10","1985","in school","Urban Area","32","0.24042469578267","0.172037087220322","0.308812304345017","9"
"9 on Scale 1 to 10","1985","in school","Rural Area","5","","","","9"
"9 on Scale 1 to 10","1985","general elemantary","Urban Area","241","0.0951114373415397","0.0832376138304534","0.106985260852626","9"
"9 on Scale 1 to 10","1985","higher education","Urban Area","111","0.157260728741655","0.129056458834359","0.18546499864895","9"
"9 on Scale 1 to 10","1985","inadequately","Urban Area","61","0.0805771377270452","0.0609130976210435","0.100241177833047","9"
"9 on Scale 1 to 10","1985","inadequately","Rural Area","6","","","","9"
"9 on Scale 1 to 10","1985","vocational + Abi","Urban Area","26","","","","9"
"9 on Scale 1 to 10","1985","vocational + Abi","Rural Area","7","","","","9"
"9 on Scale 1 to 10","1985","higher vocational","Urban Area","44","0.0968511258554249","0.0706375860602084","0.123064665650641","9"
"9 on Scale 1 to 10","1985","higher vocational","Rural Area","21","","","","9"
"9 on Scale 1 to 10","1985","higher education","Rural Area","24","","","","9"
"0 Completely dissatisfied","1986","in school","Urban Area","","","","","0"
"0 Completely dissatisfied","1986","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","1986","inadequately","Urban Area","21","","","","0"
"0 Completely dissatisfied","1986","inadequately","Rural Area","7","","","","0"
"0 Completely dissatisfied","1986","general elemantary","Urban Area","51","0.0307101936382884","0.0235493571079534","0.0378710301686235","0"
"0 Completely dissatisfied","1986","general elemantary","Rural Area","20","","","","0"
"0 Completely dissatisfied","1986","middle vocational","Urban Area","83","0.025538312935838","0.02061186851999","0.030464757351686","0"
"0 Completely dissatisfied","1986","middle vocational","Rural Area","24","","","","0"
"0 Completely dissatisfied","1986","vocational + Abi","Urban Area","3","","","","0"
"0 Completely dissatisfied","1986","vocational + Abi","Rural Area","","","","","0"
"0 Completely dissatisfied","1986","higher vocational","Urban Area","8","","","","0"
"0 Completely dissatisfied","1986","higher vocational","Rural Area","1","","","","0"
"0 Completely dissatisfied","1986","higher education","Urban Area","4","","","","0"
"0 Completely dissatisfied","1986","higher education","Rural Area","1","","","","0"
"1 on Scale 1 to 10","1986","higher education","Urban Area","8","","","","1"
"1 on Scale 1 to 10","1986","in school","Urban Area","","","","","1"
"1 on Scale 1 to 10","1986","in school","Rural Area","","","","","1"
"1 on Scale 1 to 10","1986","inadequately","Urban Area","18","","","","1"
"1 on Scale 1 to 10","1986","inadequately","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1986","general elemantary","Urban Area","36","0.0241445482226233","0.0177736898934482","0.0305154065517984","1"
"1 on Scale 1 to 10","1986","middle vocational","Rural Area","7","","","","1"
"1 on Scale 1 to 10","1986","vocational + Abi","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1986","vocational + Abi","Rural Area","","","","","1"
"1 on Scale 1 to 10","1986","higher vocational","Urban Area","5","","","","1"
"1 on Scale 1 to 10","1986","higher vocational","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1986","higher education","Rural Area","","","","","1"
"1 on Scale 1 to 10","1986","general elemantary","Rural Area","10","","","","1"
"1 on Scale 1 to 10","1986","middle vocational","Urban Area","40","0.0110472788837273","0.00778312575444009","0.0143114320130145","1"
"10 Completely satisfied","1986","in school","Urban Area","45","0.239772426173019","0.174627957448367","0.304916894897671","10"
"10 Completely satisfied","1986","in school","Rural Area","11","","","","10"
"10 Completely satisfied","1986","inadequately","Rural Area","15","","","","10"
"10 Completely satisfied","1986","general elemantary","Urban Area","374","0.134481928701643","0.120321849124942","0.148642008278343","10"
"10 Completely satisfied","1986","general elemantary","Rural Area","116","0.136957413612991","0.111173631334422","0.16274119589156","10"
"10 Completely satisfied","1986","middle vocational","Urban Area","591","0.13445025825052","0.123797012719418","0.145103503781621","10"
"10 Completely satisfied","1986","middle vocational","Rural Area","168","0.147601120406582","0.126298180155281","0.168904060657884","10"
"10 Completely satisfied","1986","vocational + Abi","Urban Area","39","0.128550605520554","0.085481857416013","0.171619353625096","10"
"10 Completely satisfied","1986","vocational + Abi","Rural Area","6","","","","10"
"10 Completely satisfied","1986","higher vocational","Urban Area","48","0.100419654754429","0.0729832646458691","0.127856044862988","10"
"10 Completely satisfied","1986","higher vocational","Rural Area","17","","","","10"
"10 Completely satisfied","1986","higher education","Urban Area","90","0.131922719909313","0.105497609561619","0.158347830257007","10"
"10 Completely satisfied","1986","higher education","Rural Area","14","","","","10"
"10 Completely satisfied","1986","inadequately","Urban Area","99","0.137355006275633","0.111520854699689","0.163189157851576","10"
"2 on Scale 1 to 10","1986","in school","Urban Area","1","","","","2"
"2 on Scale 1 to 10","1986","in school","Rural Area","","","","","2"
"2 on Scale 1 to 10","1986","inadequately","Urban Area","29","","","","2"
"2 on Scale 1 to 10","1986","general elemantary","Urban Area","34","0.0188599986520334","0.0132141142821433","0.0245058830219234","2"
"2 on Scale 1 to 10","1986","general elemantary","Rural Area","20","","","","2"
"2 on Scale 1 to 10","1986","middle vocational","Urban Area","101","0.0279614901704104","0.0228130343243374","0.0331099460164834","2"
"2 on Scale 1 to 10","1986","middle vocational","Rural Area","23","","","","2"
"2 on Scale 1 to 10","1986","vocational + Abi","Urban Area","8","","","","2"
"2 on Scale 1 to 10","1986","vocational + Abi","Rural Area","","","","","2"
"2 on Scale 1 to 10","1986","higher education","Rural Area","1","","","","2"
"2 on Scale 1 to 10","1986","inadequately","Rural Area","4","","","","2"
"2 on Scale 1 to 10","1986","higher vocational","Urban Area","15","","","","2"
"2 on Scale 1 to 10","1986","higher vocational","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1986","higher education","Urban Area","7","","","","2"
"3 on Scale 1 to 10","1986","in school","Rural Area","1","","","","3"
"3 on Scale 1 to 10","1986","in school","Urban Area","2","","","","3"
"3 on Scale 1 to 10","1986","vocational + Abi","Rural Area","1","","","","3"
"3 on Scale 1 to 10","1986","higher vocational","Urban Area","19","","","","3"
"3 on Scale 1 to 10","1986","inadequately","Urban Area","44","0.0628940669776519","0.0446737852932091","0.0811143486620947","3"
"3 on Scale 1 to 10","1986","inadequately","Rural Area","5","","","","3"
"3 on Scale 1 to 10","1986","general elemantary","Rural Area","30","0.0507591561776733","0.034297135441158","0.0672211769141886","3"
"3 on Scale 1 to 10","1986","middle vocational","Urban Area","154","0.0417902657624806","0.0355410868822822","0.048039444642679","3"
"3 on Scale 1 to 10","1986","middle vocational","Rural Area","43","0.0456687619414777","0.0331306403802245","0.0582068835027309","3"
"3 on Scale 1 to 10","1986","vocational + Abi","Urban Area","6","","","","3"
"3 on Scale 1 to 10","1986","higher vocational","Rural Area","9","","","","3"
"3 on Scale 1 to 10","1986","general elemantary","Urban Area","102","0.0506436674133804","0.0415430080445396","0.0597443267822212","3"
"3 on Scale 1 to 10","1986","higher education","Urban Area","14","","","","3"
"3 on Scale 1 to 10","1986","higher education","Rural Area","8","","","","3"
"4 on Scale 1 to 10","1986","inadequately","Urban Area","47","0.048946927102052","0.0327541627339981","0.065139691470106","4"
"4 on Scale 1 to 10","1986","inadequately","Rural Area","11","","","","4"
"4 on Scale 1 to 10","1986","general elemantary","Urban Area","137","0.0711277499512259","0.0604594998376952","0.0817960000647566","4"
"4 on Scale 1 to 10","1986","general elemantary","Rural Area","31","0.049000787151422","0.0328114396125962","0.0651901346902478","4"
"4 on Scale 1 to 10","1986","vocational + Abi","Urban Area","8","","","","4"
"4 on Scale 1 to 10","1986","vocational + Abi","Rural Area","2","","","","4"
"4 on Scale 1 to 10","1986","higher vocational","Urban Area","21","","","","4"
"4 on Scale 1 to 10","1986","higher vocational","Rural Area","3","","","","4"
"4 on Scale 1 to 10","1986","higher education","Urban Area","29","","","","4"
"4 on Scale 1 to 10","1986","higher education","Rural Area","6","","","","4"
"4 on Scale 1 to 10","1986","in school","Rural Area","1","","","","4"
"4 on Scale 1 to 10","1986","middle vocational","Urban Area","186","0.0520670711622621","0.0451292119928611","0.0590049303316631","4"
"4 on Scale 1 to 10","1986","middle vocational","Rural Area","52","0.0555247452770764","0.0417712885133736","0.0692782020407792","4"
"4 on Scale 1 to 10","1986","in school","Urban Area","3","","","","4"
"5 on Scale 1 to 10","1986","middle vocational","Urban Area","574","0.158877766427111","0.147461707024599","0.170293825829622","5"
