"m11125","year","migback","n","percent","lower_confidence","upper_confidence"
"10 Completely satisfied","1984","indirect migration background","49","0.222050990288931","0.150048912446078","0.294053068131784"
"0 Completely dissatisfied","1985","no migration background","166","0.023361944640018","0.0200442909564159","0.02667959832362"
"0 Completely dissatisfied","1985","direct migration background","61","0.0259555199732368","0.020193305520892","0.0317177344255816"
"0 Completely dissatisfied","1985","indirect migration background","3","","",""
"1 on Scale 1 to 10","1985","no migration background","95","0.013781314275003","0.0112207147247091","0.0163419138252969"
"1 on Scale 1 to 10","1985","direct migration background","36","0.0111170877807259","0.00731735452872112","0.0149168210327307"
"1 on Scale 1 to 10","1985","indirect migration background","2","","",""
"2 on Scale 1 to 10","1985","no migration background","217","0.0307586816277837","0.0269663216781328","0.0345510415774346"
"2 on Scale 1 to 10","1985","direct migration background","86","0.0264034302830119","0.0205930460860137","0.0322138144800101"
"2 on Scale 1 to 10","1985","indirect migration background","1","","",""
"3 on Scale 1 to 10","1985","no migration background","301","0.0419353564967273","0.0375328773304674","0.0463378356629871"
"3 on Scale 1 to 10","1985","direct migration background","120","0.0428496396010849","0.0355104378539707","0.0501888413481991"
"3 on Scale 1 to 10","1985","indirect migration background","","","",""
"4 on Scale 1 to 10","1985","no migration background","393","0.0517042275196718","0.0468407751452014","0.0565676798941422"
"4 on Scale 1 to 10","1985","direct migration background","123","0.0454798749086642","0.0379291728948619","0.0530305769224665"
"4 on Scale 1 to 10","1985","indirect migration background","2","","",""
"5 on Scale 1 to 10","1985","no migration background","1231","0.159023965567162","0.150991796659352","0.167056134474973"
"5 on Scale 1 to 10","1985","direct migration background","413","0.155015754764751","0.14189987637616","0.168131633153342"
"5 on Scale 1 to 10","1985","indirect migration background","12","","",""
"6 on Scale 1 to 10","1985","no migration background","654","0.0843992625537824","0.0782936094491544","0.0905049156584104"
"6 on Scale 1 to 10","1985","direct migration background","212","0.0780682432044748","0.068345882121979","0.0877906042869706"
"6 on Scale 1 to 10","1985","indirect migration background","4","","",""
"7 on Scale 1 to 10","1985","no migration background","1094","0.136396850638245","0.128858627076213","0.143935074200277"
"7 on Scale 1 to 10","1985","direct migration background","355","0.131391172933692","0.119148383786862","0.143633962080521"
"7 on Scale 1 to 10","1985","indirect migration background","16","","",""
"8 on Scale 1 to 10","1985","no migration background","1633","0.196457773179478","0.187731100357679","0.205184446001277"
"8 on Scale 1 to 10","1985","direct migration background","598","0.192002585509397","0.177728651657285","0.206276519361509"
"8 on Scale 1 to 10","1985","indirect migration background","24","","",""
"9 on Scale 1 to 10","1985","no migration background","919","0.10807002190222","0.101250911317826","0.114889132486614"
"9 on Scale 1 to 10","1985","direct migration background","310","0.104818697135822","0.0937177499661215","0.115919644305522"
"9 on Scale 1 to 10","1985","indirect migration background","17","","",""
"10 Completely satisfied","1985","no migration background","1260","0.154110601599908","0.146180426403341","0.162040776796475"
"10 Completely satisfied","1985","direct migration background","611","0.18689799390514","0.172770667091117","0.201025320719163"
"10 Completely satisfied","1985","indirect migration background","63","0.30479536241179","0.229611029169575","0.379979695654004"
"0 Completely dissatisfied","1986","no migration background","165","0.0246942355771362","0.0212081474229254","0.0281803237313469"
"0 Completely dissatisfied","1986","direct migration background","59","0.0266451267028468","0.0207305645868279","0.0325596888188656"
"0 Completely dissatisfied","1986","indirect migration background","2","","",""
"1 on Scale 1 to 10","1986","no migration background","90","0.0137266149410373","0.0111129461117676","0.0163402837703069"
"1 on Scale 1 to 10","1986","direct migration background","40","0.0173586250784808","0.0125620275056865","0.0221552226512751"
"1 on Scale 1 to 10","1986","indirect migration background","1","","",""
"2 on Scale 1 to 10","1986","no migration background","173","0.0252171879218547","0.02169532510817","0.0287390507355395"
"2 on Scale 1 to 10","1986","direct migration background","73","0.0242629194311394","0.0186120401270891","0.0299137987351896"
"2 on Scale 1 to 10","1986","indirect migration background","3","","",""
"3 on Scale 1 to 10","1986","no migration background","310","0.0437353770063954","0.0391415391947935","0.0483292148179973"
"3 on Scale 1 to 10","1986","direct migration background","126","0.0467007916078595","0.0389516279002","0.0544499553155191"
"3 on Scale 1 to 10","1986","indirect migration background","4","","",""
"4 on Scale 1 to 10","1986","no migration background","403","0.056476743864553","0.0512913552998203","0.0616621324292857"
"4 on Scale 1 to 10","1986","direct migration background","132","0.0452018886367416","0.0375721060164056","0.0528316712570776"
"4 on Scale 1 to 10","1986","indirect migration background","4","","",""
"5 on Scale 1 to 10","1986","no migration background","1125","0.157901366661834","0.149710221889221","0.166092511434447"
"5 on Scale 1 to 10","1986","direct migration background","410","0.147394923081345","0.134375452694532","0.160414393468157"
"5 on Scale 1 to 10","1986","indirect migration background","10","","",""
"6 on Scale 1 to 10","1986","no migration background","670","0.0902964012513758","0.0838583363051843","0.0967344661975672"
"6 on Scale 1 to 10","1986","direct migration background","222","0.0735460702033139","0.0639593567074826","0.0831327836991453"
"6 on Scale 1 to 10","1986","indirect migration background","8","","",""
"7 on Scale 1 to 10","1986","no migration background","1057","0.133834347560426","0.126186231880912","0.141482463239941"
"7 on Scale 1 to 10","1986","direct migration background","340","0.138895508780916","0.126194151658617","0.151596865903215"
"7 on Scale 1 to 10","1986","indirect migration background","13","","",""
"8 on Scale 1 to 10","1986","no migration background","1613","0.2046020701204","0.195540208707255","0.213663931533545"
"8 on Scale 1 to 10","1986","direct migration background","558","0.202388778998077","0.187632836938671","0.217144721057482"
"8 on Scale 1 to 10","1986","indirect migration background","34","0.218285331569572","0.153254598605222","0.283316064533921"
"9 on Scale 1 to 10","1986","no migration background","933","0.1159657303362","0.108773401086707","0.123158059585693"
"9 on Scale 1 to 10","1986","direct migration background","351","0.123973900216951","0.111870657200022","0.13607714323388"
"9 on Scale 1 to 10","1986","indirect migration background","28","","",""
"10 Completely satisfied","1986","no migration background","1074","0.133549924758787","0.125908685965677","0.141191163551898"
"10 Completely satisfied","1986","direct migration background","537","0.153631467262329","0.140388114671881","0.166874819852777"
"10 Completely satisfied","1986","indirect migration background","48","0.220248239186338","0.155007834465931","0.285488643906745"
"0 Completely dissatisfied","1987","no migration background","140","0.0216834467342943","0.0183838865953349","0.0249830068732536"
"0 Completely dissatisfied","1987","direct migration background","41","0.0137441699616071","0.00945691951743399","0.0180314204057802"
"0 Completely dissatisfied","1987","indirect migration background","3","","",""
"1 on Scale 1 to 10","1987","no migration background","104","0.0168431639238794","0.0139279164478445","0.0197584113999144"
"1 on Scale 1 to 10","1987","direct migration background","37","0.0124050858461001","0.00832927413199292","0.0164808975602073"
"1 on Scale 1 to 10","1987","indirect migration background","","","",""
"2 on Scale 1 to 10","1987","no migration background","219","0.0325843078300105","0.0285621139349111","0.0366065017251099"
"2 on Scale 1 to 10","1987","direct migration background","84","0.0236645983407332","0.0180673588311641","0.0292618378503023"
"2 on Scale 1 to 10","1987","indirect migration background","2","","",""
"3 on Scale 1 to 10","1987","no migration background","302","0.042305981679646","0.0377459646495641","0.0468659987097279"
"3 on Scale 1 to 10","1987","direct migration background","115","0.0459075027518987","0.0382009194248205","0.053614086078977"
"3 on Scale 1 to 10","1987","indirect migration background","7","","",""
"4 on Scale 1 to 10","1987","no migration background","344","0.0485854158922837","0.0437147307837082","0.0534561010008592"
"4 on Scale 1 to 10","1987","direct migration background","119","0.0533033257776557","0.0450313856378634","0.0615752659174479"
"4 on Scale 1 to 10","1987","indirect migration background","5","","",""
"5 on Scale 1 to 10","1987","no migration background","1105","0.159097490803978","0.15081126663846","0.167383714969496"
"5 on Scale 1 to 10","1987","direct migration background","375","0.139919941044059","0.127145731091116","0.152694150997001"
"5 on Scale 1 to 10","1987","indirect migration background","14","","",""
"6 on Scale 1 to 10","1987","no migration background","678","0.0942403571518895","0.0876215895335029","0.100859124770276"
"6 on Scale 1 to 10","1987","direct migration background","251","0.100964763505664","0.0898705102196324","0.112059016791696"
"6 on Scale 1 to 10","1987","indirect migration background","6","","",""
"7 on Scale 1 to 10","1987","no migration background","1138","0.150130117808613","0.142037997688701","0.158222237928526"
"7 on Scale 1 to 10","1987","direct migration background","417","0.151579239009817","0.138373877085637","0.164784600933997"
"7 on Scale 1 to 10","1987","indirect migration background","14","","",""
"8 on Scale 1 to 10","1987","no migration background","1670","0.213579621280352","0.204295100893033","0.222864141667672"
"8 on Scale 1 to 10","1987","direct migration background","577","0.209466237925618","0.194481745678435","0.2244507301728"
"8 on Scale 1 to 10","1987","indirect migration background","35","0.111764012211209","0.0653470587565637","0.158180965665854"
"9 on Scale 1 to 10","1987","no migration background","873","0.106681184046625","0.099687607332552","0.113674760760698"
"9 on Scale 1 to 10","1987","direct migration background","308","0.0952528611403198","0.0844428179845321","0.106062904296108"
"9 on Scale 1 to 10","1987","indirect migration background","37","0.168424639587456","0.113291201263132","0.22355807791178"
"10 Completely satisfied","1987","no migration background","912","0.114268912848428","0.107061702785348","0.121476122911508"
"10 Completely satisfied","1987","direct migration background","509","0.153792274696528","0.140508223003486","0.16707632638957"
"10 Completely satisfied","1987","indirect migration background","54","0.238874147448165","0.176057570088278","0.301690724808053"
"0 Completely dissatisfied","1988","no migration background","150","0.0253033490763441","0.0216491211564053","0.0289575769962829"
"0 Completely dissatisfied","1988","direct migration background","37","0.0149430140380543","0.0103530781945433","0.0195329498815653"
"0 Completely dissatisfied","1988","indirect migration background","2","","",""
"1 on Scale 1 to 10","1988","no migration background","96","0.0168705538550577","0.0138738632007219","0.0198672445093934"
"1 on Scale 1 to 10","1988","direct migration background","42","0.013238190096174","0.00891427349998983","0.0175621066923582"
"1 on Scale 1 to 10","1988","indirect migration background","","","",""
"2 on Scale 1 to 10","1988","no migration background","197","0.0337910017896086","0.0295865636828145","0.0379954398964026"
"2 on Scale 1 to 10","1988","direct migration background","83","0.0297828623636423","0.0233519213916669","0.0362138033356176"
"2 on Scale 1 to 10","1988","indirect migration background","","","",""
"3 on Scale 1 to 10","1988","no migration background","309","0.0471773109169554","0.0422439313856926","0.0521106904482183"
"3 on Scale 1 to 10","1988","direct migration background","137","0.0534812818104321","0.0449694635437831","0.0619931000770811"
"3 on Scale 1 to 10","1988","indirect migration background","5","","",""
"4 on Scale 1 to 10","1988","no migration background","352","0.0532669700662812","0.0480416288810206","0.0584923112515417"
"4 on Scale 1 to 10","1988","direct migration background","140","0.0647200922962991","0.055412288895206","0.0740278956973922"
"4 on Scale 1 to 10","1988","indirect migration background","6","","",""
"5 on Scale 1 to 10","1988","no migration background","1050","0.154763101916206","0.146347313121704","0.163178890710709"
"5 on Scale 1 to 10","1988","direct migration background","368","0.155345403423044","0.14164145820628","0.169049348639807"
"5 on Scale 1 to 10","1988","indirect migration background","20","","",""
"6 on Scale 1 to 10","1988","no migration background","652","0.0944222945603377","0.0876181735771061","0.101226415543569"
"6 on Scale 1 to 10","1988","direct migration background","227","0.0867265847299415","0.0760794349069673","0.0973737345529158"
"6 on Scale 1 to 10","1988","indirect migration background","10","","",""
"7 on Scale 1 to 10","1988","no migration background","1057","0.144410982980358","0.136231900199838","0.152590065760878"
"7 on Scale 1 to 10","1988","direct migration background","352","0.147066807342437","0.13366782930201","0.160465785382864"
"7 on Scale 1 to 10","1988","indirect migration background","20","","",""
"8 on Scale 1 to 10","1988","no migration background","1630","0.221278139965241","0.211619136312035","0.230937143618446"
"8 on Scale 1 to 10","1988","direct migration background","560","0.206783583169024","0.19146175065893","0.222105415679119"
"8 on Scale 1 to 10","1988","indirect migration background","48","0.164872181650475","0.116060724649098","0.213683638651853"
"9 on Scale 1 to 10","1988","no migration background","846","0.109970281706773","0.102690609670065","0.11724995374348"
"9 on Scale 1 to 10","1988","direct migration background","324","0.109462367776454","0.0976505866021888","0.121274148950719"
"9 on Scale 1 to 10","1988","indirect migration background","45","0.179564705863842","0.12907483493373","0.230054576793953"
"10 Completely satisfied","1988","no migration background","756","0.098746013166837","0.0918044820364635","0.105687544297211"
"10 Completely satisfied","1988","direct migration background","414","0.118449812954498","0.106224850165731","0.130674775743264"
"10 Completely satisfied","1988","indirect migration background","66","0.178319966233961","0.12796724370693","0.228672688760992"
"0 Completely dissatisfied","1989","no migration background","152","0.025605747315213","0.0218594208594002","0.0293520737710257"
"0 Completely dissatisfied","1989","direct migration background","58","0.025378924002702","0.0193266635785975","0.0314311844268066"
"0 Completely dissatisfied","1989","indirect migration background","3","","",""
"1 on Scale 1 to 10","1989","no migration background","81","0.0145716901779745","0.0117296054797244","0.0174137748762246"
"1 on Scale 1 to 10","1989","direct migration background","42","0.0161820221597331","0.0113264895171667","0.0210375548022994"
"1 on Scale 1 to 10","1989","indirect migration background","","","",""
"2 on Scale 1 to 10","1989","no migration background","212","0.0340291068198996","0.0297290239040983","0.0383291897357009"
"2 on Scale 1 to 10","1989","direct migration background","69","0.025090342921535","0.019071699834911","0.0311089860081591"
"2 on Scale 1 to 10","1989","indirect migration background","4","","",""
"3 on Scale 1 to 10","1989","no migration background","336","0.0531844972074528","0.0478622536644984","0.0585067407504071"
"3 on Scale 1 to 10","1989","direct migration background","127","0.0492682553122046","0.040939584552168","0.0575969260722411"
"3 on Scale 1 to 10","1989","indirect migration background","9","","",""
"4 on Scale 1 to 10","1989","no migration background","334","0.0524727957406515","0.0471842960837749","0.057761295397528"
"4 on Scale 1 to 10","1989","direct migration background","152","0.0701750099726184","0.0603449774720563","0.0800050424731804"
"4 on Scale 1 to 10","1989","indirect migration background","4","","",""
"5 on Scale 1 to 10","1989","no migration background","1033","0.15894286802622","0.150271196751971","0.167614539300468"
"5 on Scale 1 to 10","1989","direct migration background","352","0.151069472128729","0.137288256226124","0.164850688031333"
"5 on Scale 1 to 10","1989","indirect migration background","16","","",""
"6 on Scale 1 to 10","1989","no migration background","632","0.0960368642878165","0.0890486875471467","0.103025041028486"
"6 on Scale 1 to 10","1989","direct migration background","248","0.103790676204161","0.0920539491529156","0.115527403255406"
"6 on Scale 1 to 10","1989","indirect migration background","12","","",""
"7 on Scale 1 to 10","1989","no migration background","950","0.137613017086099","0.129442484070448","0.14578355010175"
"7 on Scale 1 to 10","1989","direct migration background","357","0.143975699372734","0.130465842428295","0.157485556317173"
"7 on Scale 1 to 10","1989","indirect migration background","33","0.0964710486630927","0.0605153489107793","0.132426748415406"
"8 on Scale 1 to 10","1989","no migration background","1560","0.220001901836423","0.210176970494949","0.229826833177898"
"8 on Scale 1 to 10","1989","direct migration background","556","0.20421829598086","0.188704881206215","0.219731710755504"
"8 on Scale 1 to 10","1989","indirect migration background","55","0.164338021598911","0.11920623171818","0.209469811479643"
"9 on Scale 1 to 10","1989","no migration background","778","0.103566279712448","0.0963396165108668","0.110792942914029"
"9 on Scale 1 to 10","1989","direct migration background","283","0.0921461237323951","0.0810157533469446","0.103276494117845"
"9 on Scale 1 to 10","1989","indirect migration background","57","0.182607616628121","0.135556173717299","0.229659059538943"
"10 Completely satisfied","1989","no migration background","761","0.103975231789802","0.0967359665237684","0.111214497055836"
"10 Completely satisfied","1989","direct migration background","350","0.118705178212328","0.106258354272462","0.131152002152194"
"10 Completely satisfied","1989","indirect migration background","66","0.212974652874025","0.163114164468032","0.262835141280017"
"0 Completely dissatisfied","1990","no migration background","295","0.0275964087834701","0.0245288601145259","0.0306639574524144"
"0 Completely dissatisfied","1990","direct migration background","48","0.0175886189278711","0.0126174599832918","0.0225597778724505"
"0 Completely dissatisfied","1990","indirect migration background","1","","",""
"1 on Scale 1 to 10","1990","no migration background","136","0.015613953330986","0.0132923871795636","0.0179355194824084"
"1 on Scale 1 to 10","1990","direct migration background","32","0.0114969114292109","0.00746533687935066","0.0155284859790711"
"1 on Scale 1 to 10","1990","indirect migration background","1","","",""
"2 on Scale 1 to 10","1990","no migration background","268","0.0270329768696318","0.0239960250854712","0.0300699286537925"
"2 on Scale 1 to 10","1990","direct migration background","86","0.029206399792567","0.0228384804768702","0.0355743191082638"
"2 on Scale 1 to 10","1990","indirect migration background","4","","",""
"3 on Scale 1 to 10","1990","no migration background","466","0.0479920683264115","0.0439894247696291","0.051994711883194"
"3 on Scale 1 to 10","1990","direct migration background","126","0.0487895545181067","0.0406425713586937","0.0569365376775196"
"3 on Scale 1 to 10","1990","indirect migration background","3","","",""
"4 on Scale 1 to 10","1990","no migration background","533","0.0532408409633601","0.0490366337690568","0.0574450481576634"
"4 on Scale 1 to 10","1990","direct migration background","147","0.0561963959056966","0.0474869578571694","0.0649058339542237"
"4 on Scale 1 to 10","1990","indirect migration background","5","","",""
"5 on Scale 1 to 10","1990","no migration background","1706","0.159606315714071","0.152748144447932","0.16646448698021"
"5 on Scale 1 to 10","1990","direct migration background","376","0.168309628164549","0.154160476427077","0.182458779902021"
"5 on Scale 1 to 10","1990","indirect migration background","22","","",""
"6 on Scale 1 to 10","1990","no migration background","981","0.0949136009460244","0.089425132841992","0.100402069050057"
"6 on Scale 1 to 10","1990","direct migration background","260","0.100661126775379","0.0892825573538095","0.112039696196949"
"6 on Scale 1 to 10","1990","indirect migration background","16","","",""
"7 on Scale 1 to 10","1990","no migration background","1552","0.144833022525257","0.138242783627347","0.151423261423167"
"7 on Scale 1 to 10","1990","direct migration background","422","0.170106855468461","0.155897738688298","0.184315972248624"
"7 on Scale 1 to 10","1990","indirect migration background","25","","",""
"8 on Scale 1 to 10","1990","no migration background","2423","0.218633849800212","0.210894082605923","0.226373616994501"
"8 on Scale 1 to 10","1990","direct migration background","532","0.190396566327829","0.175548810616777","0.205244322038882"
"8 on Scale 1 to 10","1990","indirect migration background","76","0.22490892616373","0.177344534212498","0.272473318114962"
"9 on Scale 1 to 10","1990","no migration background","1182","0.103401446485578","0.0976997483064447","0.109103144664712"
"9 on Scale 1 to 10","1990","direct migration background","298","0.0981741632205629","0.0869215076023859","0.10942681883874"
"9 on Scale 1 to 10","1990","indirect migration background","62","0.178646420767727","0.135008457518391","0.222284384017062"
"10 Completely satisfied","1990","no migration background","1413","0.107135516254998","0.101343878275274","0.112927154234721"
"10 Completely satisfied","1990","direct migration background","359","0.109073779469766","0.0972848019873397","0.120862756952192"
"10 Completely satisfied","1990","indirect migration background","81","0.197327880428376","0.151989547202946","0.242666213653805"
"0 Completely dissatisfied","1991","no migration background","220","0.0259033232373606","0.0228867679777158","0.0289198784970055"
"0 Completely dissatisfied","1991","direct migration background","41","0.0169168454629134","0.0119985036416551","0.0218351872841717"
"0 Completely dissatisfied","1991","indirect migration background","3","","",""
"1 on Scale 1 to 10","1991","no migration background","122","0.0130033126915221","0.0108519315234601","0.0151546938595841"
"1 on Scale 1 to 10","1991","direct migration background","31","0.0124415718707261","0.00821407868112422","0.0166690650603279"
"1 on Scale 1 to 10","1991","indirect migration background","1","","",""
"2 on Scale 1 to 10","1991","no migration background","244","0.0270724942454365","0.0239904640595446","0.0301545244313285"
"2 on Scale 1 to 10","1991","direct migration background","69","0.0296416351246408","0.0231734707816715","0.0361097994676101"
"2 on Scale 1 to 10","1991","indirect migration background","3","","",""
"3 on Scale 1 to 10","1991","no migration background","492","0.0505465735082809","0.0463863639686995","0.0547067830478623"
"3 on Scale 1 to 10","1991","direct migration background","147","0.0605226072074274","0.0514283785076963","0.0696168359071584"
"3 on Scale 1 to 10","1991","indirect migration background","6","","",""
"4 on Scale 1 to 10","1991","no migration background","551","0.0561860055813563","0.0518129016652099","0.0605591094975027"
"4 on Scale 1 to 10","1991","direct migration background","115","0.0442739450003048","0.0364287324579532","0.0521191575426563"
"4 on Scale 1 to 10","1991","indirect migration background","11","","",""
"5 on Scale 1 to 10","1991","no migration background","1669","0.162173746270079","0.155173718397724","0.169173774142435"
"5 on Scale 1 to 10","1991","direct migration background","353","0.157736704287334","0.143835442904876","0.171637965669792"
"5 on Scale 1 to 10","1991","indirect migration background","25","","",""
"6 on Scale 1 to 10","1991","no migration background","1013","0.0989351472935135","0.0932651109926304","0.104605183594397"
"6 on Scale 1 to 10","1991","direct migration background","260","0.0995819743900926","0.0881617050376078","0.111002243742577"
"6 on Scale 1 to 10","1991","indirect migration background","12","","",""
"7 on Scale 1 to 10","1991","no migration background","1525","0.145122950422005","0.138434086038509","0.151811814805501"
"7 on Scale 1 to 10","1991","direct migration background","394","0.147713799940286","0.134181639010483","0.161245960870089"
"7 on Scale 1 to 10","1991","indirect migration background","40","0.123489651042395","0.0889729577652897","0.1580063443195"
"8 on Scale 1 to 10","1991","no migration background","2437","0.216547060020391","0.208725108581763","0.224369011459019"
"8 on Scale 1 to 10","1991","direct migration background","607","0.228262529132541","0.212255306082134","0.244269752182948"
"8 on Scale 1 to 10","1991","indirect migration background","82","0.198665490387021","0.156805076560412","0.240525904213629"
"9 on Scale 1 to 10","1991","no migration background","1309","0.114812219555114","0.10875819366913","0.120866245441099"
"9 on Scale 1 to 10","1991","direct migration background","323","0.101203386670897","0.0897008897131979","0.112705883628595"
"9 on Scale 1 to 10","1991","indirect migration background","78","0.187499189834716","0.146549843212822","0.228448536456609"
"10 Completely satisfied","1991","no migration background","1070","0.0896971671749404","0.0842707294548682","0.0951236048950125"
"10 Completely satisfied","1991","direct migration background","301","0.101705000912837","0.0901772512858841","0.113232750539791"
"10 Completely satisfied","1991","indirect migration background","88","0.19956465715833","0.157633164650765","0.241496149665894"
"0 Completely dissatisfied","1992","no migration background","198","0.0239710374963231","0.0210273506644723","0.0269147243281739"
"0 Completely dissatisfied","1992","direct migration background","46","0.021543977296049","0.0159230575487845","0.0271648970433135"
"0 Completely dissatisfied","1992","indirect migration background","4","","",""
"1 on Scale 1 to 10","1992","no migration background","120","0.0153362000500716","0.0129712623453302","0.017701137754813"
"1 on Scale 1 to 10","1992","direct migration background","34","0.0132934400005458","0.00885953396111672","0.0177273460399749"
"1 on Scale 1 to 10","1992","indirect migration background","1","","",""
"2 on Scale 1 to 10","1992","no migration background","273","0.0307159172708151","0.0273952594784261","0.034036575063204"
"2 on Scale 1 to 10","1992","direct migration background","70","0.0240685531339313","0.0181350874372579","0.0300020188306047"
"2 on Scale 1 to 10","1992","indirect migration background","4","","",""
"3 on Scale 1 to 10","1992","no migration background","434","0.0463177796126768","0.0422730215815275","0.050362537643826"
"3 on Scale 1 to 10","1992","direct migration background","118","0.0502356700899368","0.041779225351206","0.0586921148286676"
"3 on Scale 1 to 10","1992","indirect migration background","8","","",""
"4 on Scale 1 to 10","1992","no migration background","507","0.0520678052710294","0.0477922737783478","0.0563433367637111"
"4 on Scale 1 to 10","1992","direct migration background","145","0.0678646790348766","0.0581274548285758","0.0776019032411773"
"4 on Scale 1 to 10","1992","indirect migration background","4","","",""
"5 on Scale 1 to 10","1992","no migration background","1407","0.141376050414388","0.134670934989794","0.148081165838983"
"5 on Scale 1 to 10","1992","direct migration background","354","0.145334752500188","0.131690286354357","0.158979218646018"
"5 on Scale 1 to 10","1992","indirect migration background","33","0.0997306544411726","0.0706557313098433","0.128805577572502"
"6 on Scale 1 to 10","1992","no migration background","898","0.0883147911254882","0.082853994350203","0.0937755879007734"
"6 on Scale 1 to 10","1992","direct migration background","262","0.11182443657459","0.0996235452911899","0.124025327857991"
"6 on Scale 1 to 10","1992","indirect migration background","15","","",""
"7 on Scale 1 to 10","1992","no migration background","1629","0.157697559116265","0.150683598027693","0.164711520204837"
"7 on Scale 1 to 10","1992","direct migration background","350","0.133242751083539","0.120086131281803","0.146399370885276"
"7 on Scale 1 to 10","1992","indirect migration background","46","0.108412635485681","0.0782450943856073","0.138580176585755"
"8 on Scale 1 to 10","1992","no migration background","2621","0.240244019210671","0.232021967702149","0.248466070719192"
"8 on Scale 1 to 10","1992","direct migration background","558","0.220127006586654","0.204086340717552","0.236167672455756"
"8 on Scale 1 to 10","1992","indirect migration background","96","0.237053951193071","0.195788317108848","0.278319585277294"
"9 on Scale 1 to 10","1992","no migration background","1315","0.115414040845075","0.10926487535597","0.12156320633418"
"9 on Scale 1 to 10","1992","direct migration background","330","0.106834023001263","0.0948750285342817","0.118793017468243"
"9 on Scale 1 to 10","1992","indirect migration background","92","0.199081859467487","0.160335766255133","0.23782795267984"
"10 Completely satisfied","1992","no migration background","970","0.0885447995871966","0.0830775861328663","0.0940120130415269"
"10 Completely satisfied","1992","direct migration background","296","0.105630710698426","0.0937312486600301","0.117530172736823"
"10 Completely satisfied","1992","indirect migration background","105","0.237757463533754","0.19644970028331","0.279065226784198"
"0 Completely dissatisfied","1993","no migration background","172","0.0217545143109557","0.0189206906370055","0.0245883379849059"
"0 Completely dissatisfied","1993","direct migration background","52","0.0223028186104733","0.0165039497829415","0.0281016874380051"
"0 Completely dissatisfied","1993","indirect migration background","4","","",""
"1 on Scale 1 to 10","1993","no migration background","119","0.0146872816288796","0.0123504255955656","0.0170241376621936"
"1 on Scale 1 to 10","1993","direct migration background","34","0.0156806984911668","0.0108019106812692","0.0205594863010645"
"1 on Scale 1 to 10","1993","indirect migration background","","","",""
"2 on Scale 1 to 10","1993","no migration background","293","0.032225734764123","0.0287951934745284","0.0356562760537177"
"2 on Scale 1 to 10","1993","direct migration background","93","0.0398522973864511","0.0321706046429798","0.0475339901299225"
