"m11125","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"4 on Scale 1 to 10","1987","Rural Area","Female","58","0.059592983223728","0.0456476218000379","0.0735383446474182"
"4 on Scale 1 to 10","1987","Rural Area","Male","51","0.0502994852730468","0.0370669653419245","0.0635320052041692"
"4 on Scale 1 to 10","1987","Urban Area","Female","182","0.0483837560861544","0.0418873977252103","0.0548801144470985"
"4 on Scale 1 to 10","1987","Urban Area","Male","177","0.0466370653293479","0.0402209655034974","0.0530531651551984"
"5 on Scale 1 to 10","1987","Rural Area","Female","182","0.169324643324314","0.147231880582571","0.191417406066057"
"5 on Scale 1 to 10","1987","Rural Area","Male","138","0.155267714234605","0.133341301939421","0.177194126529789"
"5 on Scale 1 to 10","1987","Urban Area","Female","655","0.173952882047339","0.162476434264323","0.185429329830355"
"5 on Scale 1 to 10","1987","Urban Area","Male","519","0.133215222964535","0.122875499129157","0.143554946799912"
"6 on Scale 1 to 10","1987","Rural Area","Female","110","0.100638475776779","0.0829160380974049","0.118360913456153"
"6 on Scale 1 to 10","1987","Rural Area","Male","92","0.102931887057497","0.0845345431479099","0.121329230967084"
"6 on Scale 1 to 10","1987","Urban Area","Female","398","0.0958877991456467","0.0869736047451393","0.104801993546154"
"6 on Scale 1 to 10","1987","Urban Area","Male","335","0.0882412200868684","0.0796103992213573","0.0968720409523795"
"7 on Scale 1 to 10","1987","Rural Area","Female","147","0.131132446008016","0.111248336259444","0.151016555756588"
"7 on Scale 1 to 10","1987","Rural Area","Male","159","0.149003014865144","0.127443996207815","0.170562033522472"
"7 on Scale 1 to 10","1987","Urban Area","Female","605","0.142147355355741","0.131575164373534","0.152719546337949"
"7 on Scale 1 to 10","1987","Urban Area","Male","658","0.165689200548236","0.154375949944456","0.177002451152017"
"8 on Scale 1 to 10","1987","Rural Area","Female","215","0.194978604058389","0.171640183015571","0.218317025101206"
"8 on Scale 1 to 10","1987","Rural Area","Male","224","0.213732757215641","0.188913539703526","0.238551974727755"
"8 on Scale 1 to 10","1987","Urban Area","Female","885","0.203827760964906","0.191631563626818","0.216023958302994"
"8 on Scale 1 to 10","1987","Urban Area","Male","958","0.227611154147298","0.214852903182282","0.240369405112314"
"9 on Scale 1 to 10","1987","Rural Area","Female","119","0.0931981119187939","0.0760729752732117","0.110323248564376"
"9 on Scale 1 to 10","1987","Rural Area","Male","133","0.115503134548004","0.0961517303632251","0.134854538732783"
"9 on Scale 1 to 10","1987","Urban Area","Female","450","0.0943620451537475","0.0855115974394786","0.103212492868016"
"9 on Scale 1 to 10","1987","Urban Area","Male","516","0.120109472961582","0.1102175818904","0.130001364032764"
"0 Completely dissatisfied","1988","Rural Area","Female","23","","",""
"0 Completely dissatisfied","1988","Rural Area","Male","16","","",""
"0 Completely dissatisfied","1988","Urban Area","Female","84","0.0280905112387002","0.0229878575670024","0.0331931649103979"
"0 Completely dissatisfied","1988","Urban Area","Male","66","0.020846981105561","0.0163931724610819","0.02530078975004"
"1 on Scale 1 to 10","1988","Rural Area","Female","18","","",""
"1 on Scale 1 to 10","1988","Rural Area","Male","16","","",""
"1 on Scale 1 to 10","1988","Urban Area","Female","59","0.0175601752197733","0.0135039621310184","0.0216163883085282"
"1 on Scale 1 to 10","1988","Urban Area","Male","45","0.0132150533666459","0.00965521399226936","0.0167748927410225"
"10 Completely satisfied","1988","Rural Area","Female","133","0.10966484711834","0.090591397893199","0.128738296343482"
"10 Completely satisfied","1988","Rural Area","Male","144","0.113688029786494","0.0939046438783812","0.133471415694607"
"10 Completely satisfied","1988","Urban Area","Female","449","0.0975136319676623","0.0883523478601426","0.106674916075182"
"10 Completely satisfied","1988","Urban Area","Male","510","0.0992538885282248","0.0899329499311441","0.108574827125305"
"2 on Scale 1 to 10","1988","Rural Area","Female","25","","",""
"2 on Scale 1 to 10","1988","Rural Area","Male","24","","",""
"2 on Scale 1 to 10","1988","Urban Area","Female","128","0.0350234023849069","0.0293461144942424","0.0407006902755713"
"2 on Scale 1 to 10","1988","Urban Area","Male","103","0.0316769362095751","0.0262172660388611","0.037136606380289"
"3 on Scale 1 to 10","1988","Rural Area","Female","46","0.0470605877808308","0.0341341137949887","0.0599870617666729"
"3 on Scale 1 to 10","1988","Rural Area","Male","40","0.0411392574488268","0.028761101823304","0.0535174130743497"
"3 on Scale 1 to 10","1988","Urban Area","Female","192","0.0497648604130236","0.0430493303369204","0.0564803904891269"
"3 on Scale 1 to 10","1988","Urban Area","Male","173","0.0477595846357867","0.0411116267524874","0.054407542519086"
"4 on Scale 1 to 10","1988","Rural Area","Female","62","0.0680465443814913","0.0526749502999375","0.0834181384630451"
"4 on Scale 1 to 10","1988","Rural Area","Male","44","0.0495364041634981","0.036013189936028","0.0630596183909681"
"4 on Scale 1 to 10","1988","Urban Area","Female","214","0.0562070552330512","0.0490943118610926","0.0633197986050098"
"4 on Scale 1 to 10","1988","Urban Area","Male","178","0.0486626453484304","0.0419553131614784","0.0553699775353824"
"5 on Scale 1 to 10","1988","Rural Area","Female","178","0.179222243019965","0.155810836735023","0.202633649304907"
"5 on Scale 1 to 10","1988","Rural Area","Male","146","0.159395873107038","0.136582776446948","0.182208969767127"
"5 on Scale 1 to 10","1988","Urban Area","Female","611","0.162908411508174","0.151504296103323","0.174312526913024"
"5 on Scale 1 to 10","1988","Urban Area","Male","503","0.136963758918099","0.126246048128027","0.14768146970817"
"6 on Scale 1 to 10","1988","Rural Area","Female","95","0.0981859583960568","0.0800223576638554","0.116349559128258"
"6 on Scale 1 to 10","1988","Rural Area","Male","73","0.0814621456776003","0.0644140294643967","0.0985102618908038"
"6 on Scale 1 to 10","1988","Urban Area","Female","366","0.0933127277993419","0.0843301174242525","0.102295338174431"
"6 on Scale 1 to 10","1988","Urban Area","Male","355","0.0953832597373805","0.0862262626890682","0.104540256785693"
"7 on Scale 1 to 10","1988","Rural Area","Female","135","0.133468864300283","0.11271013206733","0.154227596533235"
"7 on Scale 1 to 10","1988","Rural Area","Male","148","0.159944505538069","0.137099640515077","0.18278937056106"
"7 on Scale 1 to 10","1988","Urban Area","Female","550","0.135164111874805","0.124605643844567","0.145722579905043"
"7 on Scale 1 to 10","1988","Urban Area","Male","596","0.154375750389619","0.143112520746028","0.16563898003321"
"8 on Scale 1 to 10","1988","Rural Area","Female","204","0.190890084595245","0.166900970761941","0.214879198428549"
"8 on Scale 1 to 10","1988","Rural Area","Male","208","0.211009590223908","0.185580143895219","0.236439036552598"
"8 on Scale 1 to 10","1988","Urban Area","Female","915","0.221116129659452","0.208300205544549","0.233932053774356"
"8 on Scale 1 to 10","1988","Urban Area","Male","911","0.229152818057582","0.216051004059889","0.242254632055275"
"9 on Scale 1 to 10","1988","Rural Area","Female","112","0.0909024632754128","0.0733551017113056","0.10844982483952"
"9 on Scale 1 to 10","1988","Rural Area","Male","130","0.11704161187747","0.097006572023382","0.137076651731558"
"9 on Scale 1 to 10","1988","Urban Area","Female","460","0.10333898270111","0.093938512099936","0.112739453302283"
"9 on Scale 1 to 10","1988","Urban Area","Male","513","0.122709323703096","0.112481217661166","0.132937429745025"
"0 Completely dissatisfied","1989","Rural Area","Female","31","0.0367500967344161","0.0248976191487843","0.0486025743200479"
"0 Completely dissatisfied","1989","Rural Area","Male","19","","",""
"0 Completely dissatisfied","1989","Urban Area","Female","97","0.0292835633288936","0.0240210542846484","0.0345460723731389"
"0 Completely dissatisfied","1989","Urban Area","Male","66","0.0176940858891231","0.0135144332069199","0.0218737385713263"
"1 on Scale 1 to 10","1989","Rural Area","Female","17","","",""
"1 on Scale 1 to 10","1989","Rural Area","Male","10","","",""
"1 on Scale 1 to 10","1989","Urban Area","Female","52","0.0162137392705627","0.0122716480338597","0.0201558305072657"
"1 on Scale 1 to 10","1989","Urban Area","Male","44","0.0126818611560466","0.00913435788436528","0.0162293644277279"
"10 Completely satisfied","1989","Rural Area","Female","110","0.0898627164040378","0.0718469129017735","0.107878519906302"
"10 Completely satisfied","1989","Rural Area","Male","140","0.119911993175359","0.0992434747124927","0.140580511638225"
"10 Completely satisfied","1989","Urban Area","Female","443","0.105750900652642","0.0961523426057873","0.115349458699497"
"10 Completely satisfied","1989","Urban Area","Male","484","0.108745153530329","0.0988753465991027","0.118614960461555"
"2 on Scale 1 to 10","1989","Rural Area","Female","26","","",""
"2 on Scale 1 to 10","1989","Rural Area","Male","23","","",""
"2 on Scale 1 to 10","1989","Urban Area","Female","132","0.0375928729713722","0.0316558753309546","0.0435298706117898"
"2 on Scale 1 to 10","1989","Urban Area","Male","104","0.0304795242848583","0.0250296644268015","0.0359293841429151"
"3 on Scale 1 to 10","1989","Rural Area","Female","56","0.068967533937866","0.0530045096742475","0.0849305582014846"
"3 on Scale 1 to 10","1989","Rural Area","Male","49","0.04967808071382","0.0358541113584903","0.0635020500691498"
"3 on Scale 1 to 10","1989","Urban Area","Female","200","0.0541619166939129","0.0470972754381368","0.0612265579496889"
"3 on Scale 1 to 10","1989","Urban Area","Male","167","0.0469345273687334","0.0402293488922024","0.0536397058452643"
"4 on Scale 1 to 10","1989","Rural Area","Female","47","0.0573330968217008","0.0426880001642316","0.0719781934791699"
"4 on Scale 1 to 10","1989","Rural Area","Male","54","0.0613536766381056","0.0460855317335258","0.0766218215426853"
"4 on Scale 1 to 10","1989","Urban Area","Female","206","0.0540279269776789","0.0469715298864982","0.0610843240688595"
"4 on Scale 1 to 10","1989","Urban Area","Male","183","0.0525166850960757","0.0454447675626519","0.0595886026294994"
"5 on Scale 1 to 10","1989","Rural Area","Female","166","0.190230338861034","0.165505637545307","0.214955040176762"
"5 on Scale 1 to 10","1989","Rural Area","Male","115","0.136432826351507","0.114594342420453","0.158271310282562"
"5 on Scale 1 to 10","1989","Urban Area","Female","642","0.176049488594121","0.164161656833756","0.187937320354485"
"5 on Scale 1 to 10","1989","Urban Area","Male","478","0.132930453811016","0.122167240193423","0.143693667428609"
"6 on Scale 1 to 10","1989","Rural Area","Female","96","0.101919274438319","0.0828604433150032","0.120978105561635"
"6 on Scale 1 to 10","1989","Rural Area","Male","71","0.0787320319541831","0.0615970480634438","0.0958670158449224"
"6 on Scale 1 to 10","1989","Urban Area","Female","369","0.0956130836379234","0.086434609250019","0.104791558025828"
"6 on Scale 1 to 10","1989","Urban Area","Male","356","0.101474930687712","0.0919019489445832","0.111047912430841"
"7 on Scale 1 to 10","1989","Rural Area","Female","127","0.121696989884358","0.101101481526174","0.142292498242543"
"7 on Scale 1 to 10","1989","Rural Area","Male","154","0.166031515418405","0.142356783482378","0.189706247354432"
"7 on Scale 1 to 10","1989","Urban Area","Female","526","0.128879406131916","0.1184209975143","0.139337814749533"
"7 on Scale 1 to 10","1989","Urban Area","Male","533","0.144846396249712","0.133688593950651","0.156004198548773"
"8 on Scale 1 to 10","1989","Rural Area","Female","191","0.195432416057924","0.17045255730642","0.220412274809427"
"8 on Scale 1 to 10","1989","Rural Area","Male","202","0.2150314129074","0.188892225780586","0.241170600034215"
"8 on Scale 1 to 10","1989","Urban Area","Female","853","0.208928879985261","0.196239461932153","0.221618298038369"
"8 on Scale 1 to 10","1989","Urban Area","Male","925","0.235431863089457","0.221981207055259","0.248882519123654"
"9 on Scale 1 to 10","1989","Rural Area","Female","101","0.0895413913046287","0.0715546522210565","0.107528130388201"
"9 on Scale 1 to 10","1989","Rural Area","Male","112","0.10863279043582","0.0888346783171781","0.128430902554462"
"9 on Scale 1 to 10","1989","Urban Area","Female","423","0.0934982217557157","0.0844112179860431","0.102585225525388"
"9 on Scale 1 to 10","1989","Urban Area","Male","482","0.116264518836938","0.106102324523258","0.126426713150617"
"0 Completely dissatisfied","1990","Rural Area","Female","89","0.0344713198911864","0.0272325507973695","0.0417100889850032"
"0 Completely dissatisfied","1990","Rural Area","Male","70","0.0304541386711405","0.0234163262282827","0.0374919511139984"
"0 Completely dissatisfied","1990","Urban Area","Female","114","0.0305397746773034","0.0255984173431508","0.0354811320114559"
"0 Completely dissatisfied","1990","Urban Area","Male","70","0.0168009472917014","0.013029822375","0.0205720722084027"
"1 on Scale 1 to 10","1990","Rural Area","Female","32","0.0216572050209942","0.0158815677901797","0.0274328422518086"
"1 on Scale 1 to 10","1990","Rural Area","Male","26","","",""
"1 on Scale 1 to 10","1990","Urban Area","Female","64","0.0177769783085486","0.0139822352545274","0.0215717213625698"
"1 on Scale 1 to 10","1990","Urban Area","Male","45","0.0105976027392636","0.00759309307722097","0.0136021124013061"
"10 Completely satisfied","1990","Rural Area","Female","374","0.124140932619998","0.111057316448883","0.137224548791113"
"10 Completely satisfied","1990","Rural Area","Male","380","0.135898609011769","0.121863357236868","0.14993386078667"
"10 Completely satisfied","1990","Urban Area","Female","498","0.0892604973710311","0.0810725491569762","0.0974484455850861"
"10 Completely satisfied","1990","Urban Area","Male","581","0.108051753275378","0.0989427880260098","0.117160718524747"
"2 on Scale 1 to 10","1990","Rural Area","Female","63","0.0264090429194486","0.0200466897214043","0.0327713961174929"
"2 on Scale 1 to 10","1990","Rural Area","Male","54","0.0242072071180999","0.017912413498628","0.0305020007375717"
"2 on Scale 1 to 10","1990","Urban Area","Female","127","0.0300281912615038","0.0251271033602347","0.0349292791627729"
"2 on Scale 1 to 10","1990","Urban Area","Male","111","0.0256835328577755","0.0210420076811157","0.0303250580344352"
"3 on Scale 1 to 10","1990","Rural Area","Female","111","0.050852929798987","0.0421357114740332","0.0595701481239408"
"3 on Scale 1 to 10","1990","Rural Area","Male","87","0.0421503394906913","0.0339207236433347","0.050379955338048"
"3 on Scale 1 to 10","1990","Urban Area","Female","218","0.053558009734898","0.0470924286298387","0.0600235908399573"
"3 on Scale 1 to 10","1990","Urban Area","Male","176","0.0423622133098707","0.0364524067396317","0.0482720198801096"
"4 on Scale 1 to 10","1990","Rural Area","Female","118","0.058093170926265","0.0488116383800246","0.0673747034725053"
"4 on Scale 1 to 10","1990","Rural Area","Male","98","0.0425127558173518","0.0342493995486406","0.0507761120860629"
"4 on Scale 1 to 10","1990","Urban Area","Female","240","0.0527303682275077","0.0463121340582017","0.0591486023968138"
"4 on Scale 1 to 10","1990","Urban Area","Male","227","0.0565775585901254","0.0497986697736283","0.0633564474066225"
"5 on Scale 1 to 10","1990","Rural Area","Female","422","0.179961965025497","0.164719312857054","0.19520461719394"
"5 on Scale 1 to 10","1990","Rural Area","Male","315","0.143033326456413","0.128693927902609","0.157372725010216"
"5 on Scale 1 to 10","1990","Urban Area","Female","765","0.175288394561009","0.164369567594894","0.186207221527124"
"5 on Scale 1 to 10","1990","Urban Area","Male","591","0.140953193744309","0.130743112870183","0.151163274618436"
"6 on Scale 1 to 10","1990","Rural Area","Female","204","0.0894917984648496","0.0781655332482845","0.100818063681415"
"6 on Scale 1 to 10","1990","Rural Area","Male","199","0.0972555872512603","0.0851197418669615","0.109391432635559"
"6 on Scale 1 to 10","1990","Urban Area","Female","449","0.0988169340443627","0.0902471367862163","0.107386731302509"
"6 on Scale 1 to 10","1990","Urban Area","Male","401","0.0940361039719358","0.0854719184396145","0.102600289504257"
"7 on Scale 1 to 10","1990","Rural Area","Female","327","0.136696515497367","0.123065957128021","0.150327073866714"
"7 on Scale 1 to 10","1990","Rural Area","Male","286","0.132641763463985","0.11874960441253","0.146533922515441"
"7 on Scale 1 to 10","1990","Urban Area","Female","669","0.144267118837843","0.134176887156874","0.154357350518812"
"7 on Scale 1 to 10","1990","Urban Area","Male","703","0.16182595841727","0.151019720992899","0.172632195841641"
"8 on Scale 1 to 10","1990","Rural Area","Female","451","0.183248443694764","0.167898092688274","0.198598794701254"
"8 on Scale 1 to 10","1990","Rural Area","Male","530","0.235632258803445","0.218250292720686","0.253014224886204"
"8 on Scale 1 to 10","1990","Urban Area","Female","1014","0.205989795929241","0.194375731139132","0.217603860719349"
"8 on Scale 1 to 10","1990","Urban Area","Male","1015","0.233191256612484","0.22078379421983","0.245598719005139"
"9 on Scale 1 to 10","1990","Rural Area","Female","249","0.0949766761406437","0.0833436809889431","0.106609671292344"
"9 on Scale 1 to 10","1990","Rural Area","Male","245","0.103473194335649","0.0909986147607753","0.115947773910523"
"9 on Scale 1 to 10","1990","Urban Area","Female","500","0.101743937046752","0.0930622785770124","0.110425595516491"
"9 on Scale 1 to 10","1990","Urban Area","Male","542","0.109919879189886","0.100742134333836","0.119097624045936"
"0 Completely dissatisfied","1991","Rural Area","Female","47","0.0208258175891841","0.0151007562038386","0.0265508789745297"
"0 Completely dissatisfied","1991","Rural Area","Male","47","0.0196531556517055","0.0139152161879095","0.0253910951155015"
"0 Completely dissatisfied","1991","Urban Area","Female","105","0.0327385792679051","0.0275713458432644","0.0379058126925458"
"0 Completely dissatisfied","1991","Urban Area","Male","63","0.0206440533673136","0.0164225003583894","0.0248656063762377"
"1 on Scale 1 to 10","1991","Rural Area","Female","29","","",""
"1 on Scale 1 to 10","1991","Rural Area","Male","17","","",""
