"m11125","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","21","","",""
"3 on Scale 1 to 10","1984","1-pers.-HH","Male","20","","",""
"3 on Scale 1 to 10","1984","1-pers.-HH","Female","60","0.0763116157363261","0.0578329945302597","0.0947902369423925"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","Male","66","0.0564816518264295","0.0441764535795359","0.068786850073323"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","Female","78","0.0593367769237676","0.0467434985401564","0.0719300553073788"
"3 on Scale 1 to 10","1984","Single parent ","Male","3","","",""
"3 on Scale 1 to 10","1984","Single parent ","Female","22","","",""
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","45","0.026930456150119","0.0188401730688475","0.0350207392313906"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","35","0.0181096516513193","0.0114409847202568","0.0247783185823818"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","37","0.0343844279494307","0.0235222159141607","0.0452466399847007"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","34","0.0344564133521206","0.0225729022144853","0.0463399244897558"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","23","","",""
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","29","","",""
"4 on Scale 1 to 10","1984","1-pers.-HH","Male","24","","",""
"4 on Scale 1 to 10","1984","1-pers.-HH","Female","53","0.0644483258481846","0.0473579659804365","0.0815386857159327"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","Male","60","0.0470660159761266","0.0357772915403675","0.0583547404118857"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","Female","70","0.0524315812010131","0.0405503482316744","0.0643128141703518"
"4 on Scale 1 to 10","1984","Single parent ","Male","5","","",""
"4 on Scale 1 to 10","1984","Single parent ","Female","22","","",""
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","48","0.0306172406552218","0.0220072913786664","0.0392271899317772"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","39","0.0220475439653488","0.0147042407250539","0.0293908472056436"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","38","0.0428886338151796","0.0308108406742487","0.0549664269561106"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","37","0.0398181746734374","0.0270790022513322","0.0525573470955426"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","35","0.0394701666712779","0.0269155916938393","0.0520247416487165"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","29","","",""
"5 on Scale 1 to 10","1984","1-pers.-HH","Male","75","0.149665347189933","0.119576414779877","0.17975427959999"
"5 on Scale 1 to 10","1984","1-pers.-HH","Female","145","0.187454521557707","0.16029117362248","0.214617869492934"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","Male","234","0.180058009965056","0.159576709349736","0.200539310580376"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","Female","258","0.197036105255044","0.175833918223927","0.218238292286161"
"5 on Scale 1 to 10","1984","Single parent ","Male","26","","",""
"5 on Scale 1 to 10","1984","Single parent ","Female","64","0.172590724992021","0.13464572804996","0.210535721934082"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","155","0.0981303146943318","0.0832626275550938","0.11299800183357"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","209","0.136322117086811","0.119162343891857","0.153481890281765"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","130","0.134056392993236","0.113745743377442","0.15436704260903"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","159","0.186947730132764","0.161547179406974","0.212348280858553"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","91","0.0967954399199638","0.0777306240493004","0.115860255790627"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","106","0.140274674427038","0.116104432790511","0.164444916063565"
"6 on Scale 1 to 10","1984","1-pers.-HH","Male","39","0.0704115306875144","0.0488331690168627","0.091989892358166"
"6 on Scale 1 to 10","1984","1-pers.-HH","Female","48","0.0639606135779143","0.0469306048852275","0.080990622270601"
"6 on Scale 1 to 10","1984","(Married) couple without C. ","Male","88","0.0706344997835937","0.056977306509829","0.0842916930573583"
"6 on Scale 1 to 10","1984","(Married) couple without C. ","Female","100","0.0745900789959847","0.060585587173064","0.0885945708189054"
"6 on Scale 1 to 10","1984","Single parent ","Male","12","","",""
"6 on Scale 1 to 10","1984","Single parent ","Female","22","","",""
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","97","0.0589293596846335","0.0471601609451715","0.0706985584240955"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","92","0.0530761919820392","0.0418647911636773","0.0642875928004011"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","69","0.0651750499485585","0.0504607000912509","0.0798893998058661"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","73","0.0856111320206834","0.0673824870559856","0.103839776985381"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","45","0.0413600326382404","0.0285210589872325","0.0541990062892483"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","54","0.0663469443144382","0.0490242787176496","0.0836696099112268"
"7 on Scale 1 to 10","1984","1-pers.-HH","Male","53","0.0835053443123608","0.0601721974238642","0.106838491200857"
"7 on Scale 1 to 10","1984","1-pers.-HH","Female","96","0.122395360356079","0.0995844073239834","0.145206313388174"
"7 on Scale 1 to 10","1984","(Married) couple without C. ","Male","176","0.129990256852782","0.112064512259078","0.147916001446485"
"7 on Scale 1 to 10","1984","(Married) couple without C. ","Female","174","0.126650077865859","0.108922205401334","0.144377950330383"
"7 on Scale 1 to 10","1984","Single parent ","Male","29","","",""
"7 on Scale 1 to 10","1984","Single parent ","Female","37","0.0992137628440651","0.0691957157323004","0.12923180995583"
"7 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","176","0.125873231485981","0.109295548739001","0.142450914232962"
"7 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","168","0.113193516586659","0.0973490475866489","0.129037985586668"
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","124","0.116954291448424","0.0977969642317531","0.136111618665094"
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","85","0.0924910107831939","0.0736154861231502","0.111366535443238"
"7 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","109","0.132768083685991","0.110889128679679","0.154647038692304"
"7 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","74","0.1122443109227","0.0902737877601272","0.134214834085272"
"8 on Scale 1 to 10","1984","1-pers.-HH","Male","92","0.177033353207747","0.144839728570618","0.209226977844875"
"8 on Scale 1 to 10","1984","1-pers.-HH","Female","114","0.136769289448185","0.112854352843174","0.160684226053195"
"8 on Scale 1 to 10","1984","(Married) couple without C. ","Male","220","0.156630170336764","0.137256741773528","0.1760035989"
"8 on Scale 1 to 10","1984","(Married) couple without C. ","Female","235","0.169330122338121","0.149338819997108","0.189321424679133"
"8 on Scale 1 to 10","1984","Single parent ","Male","24","","",""
"8 on Scale 1 to 10","1984","Single parent ","Female","72","0.187718711538593","0.148509093645238","0.226928329431948"
"8 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","323","0.22929590022759","0.208286584739018","0.250305215716161"
"8 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","285","0.204203043381425","0.18404331272943","0.22436277403342"
"8 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","204","0.193342896879444","0.169800870829012","0.216884922929876"
"8 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","140","0.15897378377975","0.135151065011992","0.182796502547509"
"8 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","180","0.209522408620949","0.183281907422141","0.235762909819757"
"8 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","143","0.179264339472784","0.152567484525959","0.205961194419609"
"9 on Scale 1 to 10","1984","1-pers.-HH","Male","69","0.130230455596219","0.101844103241388","0.158616807951049"
"9 on Scale 1 to 10","1984","1-pers.-HH","Female","59","0.0679875538916214","0.0504674344991176","0.0855076732841251"
"9 on Scale 1 to 10","1984","(Married) couple without C. ","Male","128","0.089727913857111","0.0744940825142084","0.104961745200014"
"9 on Scale 1 to 10","1984","(Married) couple without C. ","Female","112","0.0817942204698821","0.0671862102129568","0.0964022307268074"
"9 on Scale 1 to 10","1984","Single parent ","Male","29","","",""
"9 on Scale 1 to 10","1984","Single parent ","Female","35","0.0847464945136819","0.0567813430993262","0.112711645928038"
"9 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","212","0.138519535813816","0.121255268424593","0.155783803203039"
"9 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","198","0.131900637751629","0.114978288676467","0.14882298682679"
"9 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","144","0.133925636766242","0.113623362257199","0.154227911275284"
"9 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","103","0.102552621482028","0.0827874001809507","0.122317842783105"
"9 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","125","0.14565095219819","0.122905926106041","0.16839597829034"
"9 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","91","0.128385387440653","0.105102783703398","0.151667991177908"
"10 Completely satisfied","1984","1-pers.-HH","Male","128","0.213396077839761","0.178840156132386","0.247951999547136"
"10 Completely satisfied","1984","1-pers.-HH","Female","113","0.13729923023504","0.113345362824117","0.161253097645962"
"10 Completely satisfied","1984","(Married) couple without C. ","Male","249","0.166342674687181","0.146492909632741","0.186192439741621"
"10 Completely satisfied","1984","(Married) couple without C. ","Female","198","0.138893946190644","0.120459515707475","0.157328376673814"
"10 Completely satisfied","1984","Single parent ","Male","59","0.269990392237795","0.208152605270614","0.331828179204976"
"10 Completely satisfied","1984","Single parent ","Female","79","0.20157476087472","0.161291853444691","0.24185766830475"
"10 Completely satisfied","1984","Couple + C. LE 16 ","Male","404","0.238689140324928","0.217384840483104","0.259993440166751"
"10 Completely satisfied","1984","Couple + C. LE 16 ","Female","445","0.283842933722305","0.26129557536563","0.30639029207898"
"10 Completely satisfied","1984","Couple + C. GT 16 ","Male","258","0.210421982093351","0.18612354600824","0.234720418178461"
"10 Completely satisfied","1984","Couple + C. GT 16 ","Female","215","0.226703128568444","0.199424301995218","0.253981955141669"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","Male","267","0.264628742092886","0.236185183043289","0.293072301142483"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","Female","227","0.274441505005152","0.243383567684938","0.305499442325366"
"0 Completely dissatisfied","1985","1-pers.-HH","Male","12","","",""
"0 Completely dissatisfied","1985","1-pers.-HH","Female","21","","",""
"0 Completely dissatisfied","1985","(Married) couple without C. ","Male","37","0.0348236752223976","0.0244852294061329","0.0451621210386623"
"0 Completely dissatisfied","1985","(Married) couple without C. ","Female","36","0.0308117522586788","0.0210708943366311","0.0405526101807265"
"0 Completely dissatisfied","1985","Single parent ","Male","6","","",""
"0 Completely dissatisfied","1985","Single parent ","Female","10","","",""
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","Male","21","","",""
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","Female","15","","",""
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","Male","17","","",""
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","Female","17","","",""
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","Male","12","","",""
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","Female","10","","",""
"1 on Scale 1 to 10","1985","1-pers.-HH","Male","6","","",""
"1 on Scale 1 to 10","1985","1-pers.-HH","Female","14","","",""
"1 on Scale 1 to 10","1985","(Married) couple without C. ","Male","20","","",""
"1 on Scale 1 to 10","1985","(Married) couple without C. ","Female","20","","",""
"1 on Scale 1 to 10","1985","Single parent ","Male","1","","",""
"1 on Scale 1 to 10","1985","Single parent ","Female","4","","",""
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","12","","",""
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","11","","",""
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","12","","",""
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","5","","",""
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","8","","",""
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","8","","",""
"2 on Scale 1 to 10","1985","1-pers.-HH","Male","13","","",""
"2 on Scale 1 to 10","1985","1-pers.-HH","Female","36","0.051912989676382","0.0355482968036244","0.0682776825491396"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","Male","40","0.035632218276174","0.0251788223373226","0.0460856142150254"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","Female","46","0.0399968824643044","0.0289514090881429","0.0510423558404659"
"2 on Scale 1 to 10","1985","Single parent ","Male","9","","",""
"2 on Scale 1 to 10","1985","Single parent ","Female","10","","",""
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","25","","",""
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","12","","",""
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","22","","",""
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","21","","",""
"2 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","17","","",""
"2 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","17","","",""
"3 on Scale 1 to 10","1985","1-pers.-HH","Male","20","","",""
"3 on Scale 1 to 10","1985","1-pers.-HH","Female","40","0.0660012588889138","0.0476867618849545","0.0843157558928731"
"3 on Scale 1 to 10","1985","(Married) couple without C. ","Male","61","0.0543541670024312","0.0415693268437704","0.067139007161092"
"3 on Scale 1 to 10","1985","(Married) couple without C. ","Female","56","0.0468014889129438","0.0348957472965007","0.0587072305293869"
"3 on Scale 1 to 10","1985","Single parent ","Male","5","","",""
"3 on Scale 1 to 10","1985","Single parent ","Female","9","","",""
"3 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","31","0.0229009207499617","0.0148916778339319","0.0309101636659915"
"3 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","36","0.0240420362471154","0.0158220449801812","0.0322620275140496"
"3 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","37","0.0336694179157362","0.0230485776546752","0.0442902581767972"
"3 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","32","0.0354011852184296","0.023440785714141","0.0473615847227182"
"3 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","23","","",""
"3 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","29","","",""
"4 on Scale 1 to 10","1985","1-pers.-HH","Male","20","","",""
"4 on Scale 1 to 10","1985","1-pers.-HH","Female","48","0.0689956312214239","0.0503003330513757","0.0876909293914721"
"4 on Scale 1 to 10","1985","(Married) couple without C. ","Male","54","0.0483541981660944","0.0362574292366116","0.0604509670955771"
"4 on Scale 1 to 10","1985","(Married) couple without C. ","Female","70","0.0633204028393657","0.0495925597846002","0.0770482458941313"
"4 on Scale 1 to 10","1985","Single parent ","Male","7","","",""
"4 on Scale 1 to 10","1985","Single parent ","Female","25","","",""
"4 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","45","0.037776495196097","0.0275684048768926","0.0479845855153013"
"4 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","57","0.0376806750288033","0.0274621287295946","0.0478992213280121"
"4 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","47","0.0449824173738879","0.0327783305147052","0.0571865042330705"
"4 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","49","0.0499840054667141","0.0358799369378883","0.0640880739955399"
"4 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","32","0.0468327279387013","0.0322193839591007","0.061446071918302"
"4 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","20","","",""
"5 on Scale 1 to 10","1985","1-pers.-HH","Male","53","0.119874269605689","0.0904776755236948","0.149270863687683"
"5 on Scale 1 to 10","1985","1-pers.-HH","Female","132","0.192300026279535","0.163228994447608","0.221371058111462"
"5 on Scale 1 to 10","1985","(Married) couple without C. ","Male","206","0.174192824006797","0.152804877949932","0.195580770063662"
"5 on Scale 1 to 10","1985","(Married) couple without C. ","Female","240","0.198357141265923","0.175879573020027","0.220834709511818"
"5 on Scale 1 to 10","1985","Single parent ","Male","25","","",""
"5 on Scale 1 to 10","1985","Single parent ","Female","58","0.17180901690117","0.132514252854002","0.211103780948338"
"5 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","150","0.110120484031298","0.0933596605367482","0.126881307525849"
"5 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","192","0.142648197181736","0.123881715786417","0.161414678577055"
"5 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","140","0.135583901879114","0.115426075608273","0.155741728149955"
"5 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","170","0.19070121780323","0.16527424843561","0.21612818717085"
"5 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","85","0.107948211651494","0.0864850805455935","0.129411342757394"
"5 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","96","0.141283722611716","0.115084758727617","0.167482686495815"
"6 on Scale 1 to 10","1985","1-pers.-HH","Male","37","0.091790735277752","0.0656598539293043","0.1179216166262"
"6 on Scale 1 to 10","1985","1-pers.-HH","Female","58","0.0810983772551798","0.0609617685072566","0.101234986003103"
"6 on Scale 1 to 10","1985","(Married) couple without C. ","Male","112","0.0990683644729531","0.0822211525453539","0.115915576400552"
"6 on Scale 1 to 10","1985","(Married) couple without C. ","Female","118","0.0977012452261459","0.0809649175938729","0.114437572858419"
"6 on Scale 1 to 10","1985","Single parent ","Male","14","","",""
"6 on Scale 1 to 10","1985","Single parent ","Female","28","","",""
"6 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","99","0.0773507362913257","0.063047107274304","0.0916543653083474"
"6 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","107","0.0793280727252449","0.0648257996564035","0.0938303457940863"
"6 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","82","0.0769403512766596","0.0612486447783982","0.092632057774921"
"6 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","63","0.0687154508211634","0.0523423165978236","0.0850885850445032"
"6 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","50","0.064974976807147","0.0479269153709948","0.0820230382432992"
"6 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","44","0.0648749831572216","0.0463487693981243","0.0834011969163189"
"7 on Scale 1 to 10","1985","1-pers.-HH","Male","63","0.132689508953754","0.101987466849011","0.163391551058496"
"7 on Scale 1 to 10","1985","1-pers.-HH","Female","93","0.131970720909184","0.107004562472219","0.156936879346149"
"7 on Scale 1 to 10","1985","(Married) couple without C. ","Male","166","0.13839550102448","0.118922647861723","0.157868354187238"
"7 on Scale 1 to 10","1985","(Married) couple without C. ","Female","147","0.121711229441129","0.103281501241572","0.140140957640687"
"7 on Scale 1 to 10","1985","Single parent ","Male","26","","",""
"7 on Scale 1 to 10","1985","Single parent ","Female","50","0.126339874060048","0.0917309628044917","0.160948785315603"
"7 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","195","0.152816329097296","0.133551313653246","0.172081344541346"
"7 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","184","0.144345957486133","0.125486830174062","0.163205084798205"
"7 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","154","0.145615717588902","0.124847034313379","0.166384400864426"
"7 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","125","0.141693496532692","0.119122040074953","0.16426495299043"
"7 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","97","0.135892521305071","0.112191231611621","0.15959381099852"
"7 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","75","0.11697087062247","0.0927973681041521","0.141144373140788"
"8 on Scale 1 to 10","1985","1-pers.-HH","Male","97","0.206166182186198","0.169553193442353","0.242779170930043"
"8 on Scale 1 to 10","1985","1-pers.-HH","Female","113","0.148313842678448","0.122097242042038","0.174530443314859"
"8 on Scale 1 to 10","1985","(Married) couple without C. ","Male","229","0.183662607600055","0.161827273478827","0.205497941721283"
"8 on Scale 1 to 10","1985","(Married) couple without C. ","Female","213","0.163894892546199","0.143028465623214","0.184761319469185"
"8 on Scale 1 to 10","1985","Single parent ","Male","32","0.205334300242775","0.147282645437945","0.263385955047604"
"8 on Scale 1 to 10","1985","Single parent ","Female","67","0.183803359865654","0.143455492521344","0.224151227209963"
"8 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","331","0.258457195949049","0.235017168366089","0.281897223532008"
"8 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","284","0.213996600613913","0.191988334654316","0.23600486657351"
"8 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","255","0.225445565022429","0.200840470857035","0.250050659187822"
"8 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","171","0.182436625837856","0.157440071195488","0.207433180480225"
"8 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","171","0.207492157187554","0.179444735396176","0.235539578978932"
"8 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","163","0.252517188942227","0.219838901994158","0.285195475890297"
"9 on Scale 1 to 10","1985","1-pers.-HH","Male","57","0.109834460958103","0.0815357684699842","0.138133153446222"
"9 on Scale 1 to 10","1985","1-pers.-HH","Female","53","0.0703301063606736","0.0514684094835049","0.0891918032378424"
"9 on Scale 1 to 10","1985","(Married) couple without C. ","Male","114","0.0826485337633284","0.0671210858794127","0.098175981647244"
"9 on Scale 1 to 10","1985","(Married) couple without C. ","Female","116","0.0969507037666497","0.0802718518492358","0.113629555684064"
"9 on Scale 1 to 10","1985","Single parent ","Male","24","","",""
"9 on Scale 1 to 10","1985","Single parent ","Female","30","0.0850887154575345","0.056023607807904","0.114153823107165"
"9 on Scale 1 to 10","1985","Couple + C. LE 16 ","Male","191","0.144042759745245","0.125242344419007","0.162843175071483"
"9 on Scale 1 to 10","1985","Couple + C. LE 16 ","Female","165","0.135270051949223","0.116916874878679","0.153623229019767"
"9 on Scale 1 to 10","1985","Couple + C. GT 16 ","Male","124","0.112146195573216","0.0935663879299403","0.130726003216492"
"9 on Scale 1 to 10","1985","Couple + C. GT 16 ","Female","102","0.12282524918375","0.101580563443825","0.144069934923676"
"9 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Male","110","0.149322062080457","0.124671042164049","0.173973081996865"
"9 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Female","82","0.134335334446705","0.108685581890721","0.159985087002689"
"10 Completely satisfied","1985","1-pers.-HH","Male","91","0.174684928141004","0.140321279047121","0.209048577234888"
"10 Completely satisfied","1985","1-pers.-HH","Female","98","0.136333846964431","0.11102219238189","0.161645501546971"
"10 Completely satisfied","1985","(Married) couple without C. ","Male","169","0.130834859135032","0.111818493924862","0.149851224345202"
"10 Completely satisfied","1985","(Married) couple without C. ","Female","147","0.122598723939169","0.104111272494602","0.141086175383735"
"10 Completely satisfied","1985","Single parent ","Male","37","0.190679415238311","0.134224232443515","0.247134598033106"
"10 Completely satisfied","1985","Single parent ","Female","63","0.177283114230417","0.137499397717435","0.217066830743399"
"10 Completely satisfied","1985","Couple + C. LE 16 ","Male","240","0.155039812984748","0.135660631365492","0.174418994604003"
"10 Completely satisfied","1985","Couple + C. LE 16 ","Female","271","0.194873402633736","0.173617549176152","0.21612925609132"
"10 Completely satisfied","1985","Couple + C. GT 16 ","Male","218","0.178748220043703","0.156188316645315","0.20130812344209"
"10 Completely satisfied","1985","Couple + C. GT 16 ","Female","162","0.163841125600578","0.139884850790838","0.187797400410318"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","Male","198","0.217252284754749","0.188730059926056","0.245774509583442"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","Female","135","0.178882434922269","0.150055416606661","0.207709453237878"
"0 Completely dissatisfied","1986","1-pers.-HH","Male","10","","",""
"0 Completely dissatisfied","1986","1-pers.-HH","Female","26","","",""
"0 Completely dissatisfied","1986","(Married) couple without C. ","Male","31","0.0298598148811166","0.0201814793712662","0.0395381503909669"
"0 Completely dissatisfied","1986","(Married) couple without C. ","Female","38","0.0347490338451351","0.0243521916353142","0.045145876054956"
"0 Completely dissatisfied","1986","Single parent ","Male","6","","",""
"0 Completely dissatisfied","1986","Single parent ","Female","12","","",""
"0 Completely dissatisfied","1986","Couple + C. LE 16 ","Male","11","","",""
