"m11125","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"7 on Scale 1 to 10","1986","no migration background","Urban Area","817","0.134977088736958","0.126187049521525","0.143767127952392","7"
"7 on Scale 1 to 10","1986","direct migration background","Urban Area","297","0.137405129847056","0.123893592207041","0.150916667487072","7"
"7 on Scale 1 to 10","1986","direct migration background","Rural Area","43","0.147435383994583","0.110502691105104","0.184368076884063","7"
"7 on Scale 1 to 10","1986","indirect migration background","Urban Area","13","","","","7"
"7 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","7"
"8 on Scale 1 to 10","1986","no migration background","Rural Area","411","0.219143636420924","0.200075911108852","0.238211361732997","8"
"8 on Scale 1 to 10","1986","no migration background","Urban Area","1202","0.199922627914547","0.189634320113947","0.210210935715146","8"
"8 on Scale 1 to 10","1986","direct migration background","Urban Area","487","0.201912751168918","0.186158167693662","0.217667334644175","8"
"8 on Scale 1 to 10","1986","direct migration background","Rural Area","71","0.205116419712049","0.163053594762128","0.247179244661971","8"
"8 on Scale 1 to 10","1986","indirect migration background","Urban Area","30","0.237009984970513","0.165801695075097","0.308218274865928","8"
"8 on Scale 1 to 10","1986","indirect migration background","Rural Area","4","","","","8"
"9 on Scale 1 to 10","1986","no migration background","Urban Area","730","0.118787085666213","0.110464236591049","0.127109934741378","9"
"9 on Scale 1 to 10","1986","no migration background","Rural Area","203","0.107198248276606","0.0929382248457367","0.121458271707475","9"
"9 on Scale 1 to 10","1986","direct migration background","Urban Area","301","0.122828189550002","0.109945954326714","0.135710424773289","9"
"9 on Scale 1 to 10","1986","direct migration background","Rural Area","50","0.130538825354064","0.0954441356402736","0.165633515067854","9"
"9 on Scale 1 to 10","1986","indirect migration background","Urban Area","25","","","","9"
"9 on Scale 1 to 10","1986","indirect migration background","Rural Area","3","","","","9"
"0 Completely dissatisfied","1987","no migration background","Urban Area","103","0.0215450963700526","0.0177798047374704","0.0253103880026348","0"
"0 Completely dissatisfied","1987","no migration background","Rural Area","37","0.0221207564339241","0.015274765430027","0.0289667474378213","0"
"0 Completely dissatisfied","1987","direct migration background","Urban Area","35","0.0144825428172949","0.00977300347519147","0.0191920821593984","0"
"0 Completely dissatisfied","1987","direct migration background","Rural Area","6","","","","0"
"0 Completely dissatisfied","1987","indirect migration background","Urban Area","3","","","","0"
"0 Completely dissatisfied","1987","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1987","direct migration background","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1987","direct migration background","Urban Area","34","0.0112462930669676","0.00708936395581324","0.0154032221781219","1"
"1 on Scale 1 to 10","1987","no migration background","Urban Area","79","0.0168610224862491","0.0135221225590876","0.0201999224134105","1"
"1 on Scale 1 to 10","1987","no migration background","Rural Area","25","","","","1"
"1 on Scale 1 to 10","1987","indirect migration background","Rural Area","","","","","1"
"1 on Scale 1 to 10","1987","indirect migration background","Urban Area","","","","","1"
"10 Completely satisfied","1987","no migration background","Rural Area","235","0.124963437522694","0.109571322331403","0.140355552713986","10"
"10 Completely satisfied","1987","no migration background","Urban Area","677","0.110885518001872","0.102742783989458","0.119028252014286","10"
"10 Completely satisfied","1987","direct migration background","Urban Area","428","0.147148492918287","0.133183572097344","0.16111341373923","10"
"10 Completely satisfied","1987","direct migration background","Rural Area","81","0.193568852616598","0.152812447101067","0.234325258132129","10"
"10 Completely satisfied","1987","indirect migration background","Urban Area","47","0.243979884126727","0.176584604775137","0.311375163478316","10"
"10 Completely satisfied","1987","indirect migration background","Rural Area","7","","","","10"
"2 on Scale 1 to 10","1987","no migration background","Urban Area","178","0.0352003769023841","0.0304212758785451","0.0399794779262232","2"
"2 on Scale 1 to 10","1987","direct migration background","Urban Area","74","0.0227615710436257","0.0168822761577974","0.028640865929454","2"
"2 on Scale 1 to 10","1987","indirect migration background","Urban Area","1","","","","2"
"2 on Scale 1 to 10","1987","direct migration background","Rural Area","10","","","","2"
"2 on Scale 1 to 10","1987","no migration background","Rural Area","41","0.0243152122875354","0.0171457345106623","0.0314846900644085","2"
"2 on Scale 1 to 10","1987","indirect migration background","Rural Area","1","","","","2"
"3 on Scale 1 to 10","1987","no migration background","Urban Area","232","0.0427990574303381","0.0375501048087611","0.0480480100519151","3"
"3 on Scale 1 to 10","1987","no migration background","Rural Area","70","0.0407474255485379","0.0315448308038486","0.0499500202932272","3"
"3 on Scale 1 to 10","1987","direct migration background","Urban Area","104","0.0475602166854665","0.0391701669771548","0.0559502663937783","3"
"3 on Scale 1 to 10","1987","direct migration background","Rural Area","11","","","","3"
"3 on Scale 1 to 10","1987","indirect migration background","Urban Area","7","","","","3"
"3 on Scale 1 to 10","1987","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1987","direct migration background","Rural Area","20","","","","4"
"4 on Scale 1 to 10","1987","no migration background","Urban Area","255","0.0464580596609274","0.0409997970711735","0.0519163222506812","4"
"4 on Scale 1 to 10","1987","no migration background","Rural Area","89","0.0553097459628211","0.0446698036683791","0.0659496882572631","4"
"4 on Scale 1 to 10","1987","direct migration background","Urban Area","99","0.052650936280896","0.0438468980007179","0.0614549745610742","4"
"4 on Scale 1 to 10","1987","indirect migration background","Urban Area","5","","","","4"
"4 on Scale 1 to 10","1987","indirect migration background","Rural Area","","","","","4"
"5 on Scale 1 to 10","1987","no migration background","Rural Area","265","0.163208928800616","0.146007116712109","0.180410740889123","5"
"5 on Scale 1 to 10","1987","no migration background","Urban Area","840","0.157796767438195","0.148342856759678","0.167250678116713","5"
"5 on Scale 1 to 10","1987","direct migration background","Urban Area","322","0.135810792558699","0.122305766741005","0.149315818376393","5"
"5 on Scale 1 to 10","1987","direct migration background","Rural Area","53","0.164521571616629","0.126276671115761","0.202766472117497","5"
"5 on Scale 1 to 10","1987","indirect migration background","Urban Area","12","","","","5"
"5 on Scale 1 to 10","1987","indirect migration background","Rural Area","2","","","","5"
"6 on Scale 1 to 10","1987","no migration background","Urban Area","504","0.0914054873198567","0.0839319676714566","0.0988790069682568","6"
"6 on Scale 1 to 10","1987","direct migration background","Rural Area","28","","","","6"
"6 on Scale 1 to 10","1987","indirect migration background","Urban Area","6","","","","6"
"6 on Scale 1 to 10","1987","direct migration background","Urban Area","223","0.103274297837092","0.0912779294928939","0.115270666181291","6"
"6 on Scale 1 to 10","1987","indirect migration background","Rural Area","","","","","6"
"6 on Scale 1 to 10","1987","no migration background","Rural Area","174","0.103201056905237","0.0890404019856665","0.117361711824808","6"
"7 on Scale 1 to 10","1987","direct migration background","Urban Area","368","0.148736025373519","0.134709048823187","0.162763001923851","7"
"7 on Scale 1 to 10","1987","no migration background","Urban Area","882","0.154144683655118","0.144780577925024","0.163508789385212","7"
"7 on Scale 1 to 10","1987","no migration background","Rural Area","256","0.137440533692937","0.121413776308799","0.153467291077074","7"
"7 on Scale 1 to 10","1987","direct migration background","Rural Area","49","0.16860166878287","0.129980092159377","0.207223245406363","7"
"7 on Scale 1 to 10","1987","indirect migration background","Urban Area","13","","","","7"
"7 on Scale 1 to 10","1987","indirect migration background","Rural Area","1","","","","7"
"8 on Scale 1 to 10","1987","direct migration background","Urban Area","530","0.22267852169599","0.206277784992826","0.239079258399155","8"
"8 on Scale 1 to 10","1987","direct migration background","Rural Area","47","0.1303637850703","0.0956308264111752","0.165096743729425","8"
"8 on Scale 1 to 10","1987","no migration background","Urban Area","1281","0.214813702085863","0.204163169201226","0.2254642349705","8"
"8 on Scale 1 to 10","1987","no migration background","Rural Area","389","0.209678832805129","0.190730420534552","0.228627245075707","8"
"8 on Scale 1 to 10","1987","indirect migration background","Urban Area","32","0.123303638462567","0.0717097405597926","0.174897536365341","8"
"8 on Scale 1 to 10","1987","indirect migration background","Rural Area","3","","","","8"
"9 on Scale 1 to 10","1987","direct migration background","Rural Area","53","0.104847398330582","0.0732448678853894","0.136449928775775","9"
"9 on Scale 1 to 10","1987","no migration background","Urban Area","681","0.108090228649143","0.100038156264729","0.116142301033558","9"
"9 on Scale 1 to 10","1987","direct migration background","Urban Area","255","0.0936503097221608","0.0821654323576599","0.105135187086662","9"
"9 on Scale 1 to 10","1987","no migration background","Rural Area","192","0.102227354992616","0.0881260122199895","0.116328697765243","9"
"9 on Scale 1 to 10","1987","indirect migration background","Urban Area","30","0.123896958785324","0.0721965819170605","0.175597335653588","9"
"9 on Scale 1 to 10","1987","indirect migration background","Rural Area","7","","","","9"
"0 Completely dissatisfied","1988","no migration background","Rural Area","35","0.0249419718033104","0.0174400130816709","0.0324439305249499","0"
"0 Completely dissatisfied","1988","no migration background","Urban Area","115","0.0254160054769904","0.021231813504973","0.0296001974490078","0"
"0 Completely dissatisfied","1988","direct migration background","Urban Area","33","0.0165081504526139","0.011359757120462","0.0216565437847658","0"
"0 Completely dissatisfied","1988","direct migration background","Rural Area","4","","","","0"
"0 Completely dissatisfied","1988","indirect migration background","Urban Area","2","","","","0"
"0 Completely dissatisfied","1988","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1988","direct migration background","Urban Area","36","0.0138636825088322","0.00913930159709623","0.0185880634205682","1"
"1 on Scale 1 to 10","1988","no migration background","Urban Area","68","0.0158575822584933","0.0125363765273662","0.0191787879896204","1"
"1 on Scale 1 to 10","1988","direct migration background","Rural Area","6","","","","1"
"1 on Scale 1 to 10","1988","no migration background","Rural Area","28","","","","1"
"1 on Scale 1 to 10","1988","indirect migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1988","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1988","no migration background","Urban Area","558","0.095222670367346","0.0874191718870717","0.10302616884762","10"
"10 Completely satisfied","1988","direct migration background","Urban Area","342","0.115064355525107","0.10217107665005","0.127957634400163","10"
"10 Completely satisfied","1988","direct migration background","Rural Area","72","0.139379551342579","0.102068330838977","0.176690771846182","10"
"10 Completely satisfied","1988","no migration background","Rural Area","198","0.1100481318706","0.0949935518727437","0.125102711868455","10"
"10 Completely satisfied","1988","indirect migration background","Urban Area","59","0.200332643993813","0.143864959202042","0.256800328785585","10"
"10 Completely satisfied","1988","indirect migration background","Rural Area","7","","","","10"
"2 on Scale 1 to 10","1988","no migration background","Urban Area","156","0.0342501720822489","0.0294149991054144","0.0390853450590833","2"
"2 on Scale 1 to 10","1988","no migration background","Rural Area","41","0.0323180831870213","0.023810951472783","0.0408252149012596","2"
"2 on Scale 1 to 10","1988","direct migration background","Urban Area","75","0.0295773541734664","0.0227319790906261","0.0364227292563068","2"
"2 on Scale 1 to 10","1988","direct migration background","Rural Area","8","","","","2"
"2 on Scale 1 to 10","1988","indirect migration background","Urban Area","","","","","2"
"2 on Scale 1 to 10","1988","indirect migration background","Rural Area","","","","","2"
"3 on Scale 1 to 10","1988","no migration background","Urban Area","238","0.0482974445380427","0.0425976262459736","0.0539972628301117","3"
"3 on Scale 1 to 10","1988","no migration background","Rural Area","71","0.0435841654667223","0.0337625756349275","0.0534057552985171","3"
"3 on Scale 1 to 10","1988","direct migration background","Urban Area","122","0.0528186544969608","0.0437811742224631","0.0618561347714585","3"
"3 on Scale 1 to 10","1988","direct migration background","Rural Area","15","","","","3"
"3 on Scale 1 to 10","1988","indirect migration background","Urban Area","5","","","","3"
"3 on Scale 1 to 10","1988","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1988","direct migration background","Urban Area","127","0.0640300253126417","0.0541385761623809","0.0739214744629025","4"
"4 on Scale 1 to 10","1988","no migration background","Urban Area","260","0.0515268833749424","0.0456495846231451","0.0574041821267397","4"
"4 on Scale 1 to 10","1988","no migration background","Rural Area","92","0.0588487903601196","0.0475275888782074","0.0701699918420317","4"
"4 on Scale 1 to 10","1988","direct migration background","Rural Area","13","","","","4"
"4 on Scale 1 to 10","1988","indirect migration background","Urban Area","5","","","","4"
"4 on Scale 1 to 10","1988","indirect migration background","Rural Area","1","","","","4"
"5 on Scale 1 to 10","1988","no migration background","Urban Area","784","0.150995497304058","0.141476629138429","0.160514365469687","5"
"5 on Scale 1 to 10","1988","no migration background","Rural Area","266","0.166848759480238","0.148913095428845","0.18478442353163","5"
"5 on Scale 1 to 10","1988","direct migration background","Urban Area","314","0.147763106504429","0.133424719459678","0.162101493549181","5"
"5 on Scale 1 to 10","1988","direct migration background","Rural Area","54","0.202221045547394","0.15895087992101","0.245491211173778","5"
"5 on Scale 1 to 10","1988","indirect migration background","Urban Area","16","","","","5"
"5 on Scale 1 to 10","1988","indirect migration background","Rural Area","4","","","","5"
"6 on Scale 1 to 10","1988","no migration background","Urban Area","505","0.0948171979817696","0.0870285868268001","0.102605809136739","6"
"6 on Scale 1 to 10","1988","no migration background","Rural Area","147","0.0931555301268029","0.0791736758235124","0.107137384430093","6"
"6 on Scale 1 to 10","1988","direct migration background","Urban Area","208","0.0927157185851843","0.0809968548290577","0.104434582341311","6"
"6 on Scale 1 to 10","1988","direct migration background","Rural Area","19","","","","6"
"6 on Scale 1 to 10","1988","indirect migration background","Urban Area","8","","","","6"
"6 on Scale 1 to 10","1988","indirect migration background","Rural Area","2","","","","6"
"7 on Scale 1 to 10","1988","no migration background","Urban Area","813","0.143258653458787","0.133944709672173","0.152572597245401","7"
"7 on Scale 1 to 10","1988","direct migration background","Urban Area","315","0.152503074765558","0.137977093053563","0.167029056477553","7"
"7 on Scale 1 to 10","1988","no migration background","Rural Area","244","0.14810740588889","0.131020050346983","0.165194761430796","7"
"7 on Scale 1 to 10","1988","direct migration background","Rural Area","37","0.113458452386978","0.0792918283678497","0.147625076406106","7"
"7 on Scale 1 to 10","1988","indirect migration background","Urban Area","18","","","","7"
"7 on Scale 1 to 10","1988","indirect migration background","Rural Area","2","","","","7"
"8 on Scale 1 to 10","1988","direct migration background","Urban Area","502","0.210361823668929","0.193894058723286","0.226829588614572","8"
"8 on Scale 1 to 10","1988","no migration background","Rural Area","351","0.202185304672876","0.182864738176743","0.221505871169009","8"
"8 on Scale 1 to 10","1988","indirect migration background","Rural Area","3","","","","8"
"8 on Scale 1 to 10","1988","no migration background","Urban Area","1279","0.227230174757339","0.216089630818468","0.23837071869621","8"
"8 on Scale 1 to 10","1988","direct migration background","Rural Area","58","0.184662011973813","0.142860526592985","0.22646349735464","8"
"8 on Scale 1 to 10","1988","indirect migration background","Urban Area","45","0.179108564411559","0.125011901507768","0.23320522731535","8"
"9 on Scale 1 to 10","1988","no migration background","Urban Area","659","0.113127718399983","0.104706724132246","0.121548712667719","9"
"9 on Scale 1 to 10","1988","direct migration background","Urban Area","279","0.104794054006278","0.0924184350997466","0.11716967291281","9"
"9 on Scale 1 to 10","1988","no migration background","Rural Area","187","0.0998419103455118","0.0854204286706923","0.114263392020331","9"
"9 on Scale 1 to 10","1988","direct migration background","Rural Area","45","0.13832304257774","0.10113069426618","0.1755153908893","9"
"9 on Scale 1 to 10","1988","indirect migration background","Urban Area","35","0.153015143350292","0.102225581527158","0.203804705173426","9"
"9 on Scale 1 to 10","1988","indirect migration background","Rural Area","10","","","","9"
"0 Completely dissatisfied","1989","no migration background","Urban Area","109","0.0234292546543468","0.0193410973608844","0.0275174119478093","0"
"0 Completely dissatisfied","1989","no migration background","Rural Area","43","0.032810245610449","0.0239985629318035","0.0416219282890945","0"
"0 Completely dissatisfied","1989","direct migration background","Urban Area","51","0.0278483213268276","0.0210930553335003","0.0346035873201549","0"
"0 Completely dissatisfied","1989","direct migration background","Rural Area","7","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","Urban Area","3","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1989","no migration background","Urban Area","61","0.0146804539883512","0.0114299193543081","0.0179309886223943","1"
"1 on Scale 1 to 10","1989","no migration background","Rural Area","20","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","Urban Area","35","0.0147413777851862","0.00979348718516169","0.0196892683852108","1"
"1 on Scale 1 to 10","1989","indirect migration background","Rural Area","","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","Rural Area","7","","","","1"
"1 on Scale 1 to 10","1989","indirect migration background","Urban Area","","","","","1"
"10 Completely satisfied","1989","no migration background","Urban Area","578","0.104779107296121","0.0965016117217916","0.113056602870451","10"
"10 Completely satisfied","1989","no migration background","Rural Area","183","0.101314290258048","0.0863884930755221","0.116240087440575","10"
"10 Completely satisfied","1989","direct migration background","Urban Area","292","0.114705388970025","0.101622256170292","0.127788521769758","10"
