"year","e11103","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2009","Part Time","Female","6.22","6","3049","5","6","7","7","7","6.19","6.25","1","7","6","6"
"2009","Part Time","Male","5.91","6","1173","4","5","7","7","7","5.85","5.97","1","7","6","6"
"2010","Full Time","Female","","","","","","","","","","","","","",""
"2010","Full Time","Male","","","","","","","","","","","","","",""
"2010","Not Working","Female","","","","","","","","","","","","","",""
"2010","Not Working","Male","","","","","","","","","","","","","",""
"2010","Part Time","Female","","","","","","","","","","","","","",""
"2010","Part Time","Male","","","","","","","","","","","","","",""
"2011","Full Time","Female","","","","","","","","","","","","","",""
"2011","Full Time","Male","","","","","","","","","","","","","",""
"2011","Not Working","Female","","","","","","","","","","","","","",""
"2011","Not Working","Male","","","","","","","","","","","","","",""
"2011","Part Time","Female","","","","","","","","","","","","","",""
"2011","Part Time","Male","","","","","","","","","","","","","",""
"2012","Full Time","Female","6.35","7","694","5","6","7","7","7","6.29","6.41","1","7","6","7"
"2012","Full Time","Male","6.19","6","2108","5","6","7","7","7","6.15","6.23","1","7","6","6"
"2012","Not Working","Female","5.92","6","1388","4","5","7","7","7","5.86","5.98","1","7","6","6"
"2012","Not Working","Male","5.7","6","357","4","5","7","7","7","5.58","5.82","2","7","6","6"
"2012","Part Time","Female","6.27","6","2154","5","6","7","7","7","6.23","6.31","1","7","6","6"
"2012","Part Time","Male","6.16","6","427","5","6","7","7","7","6.06","6.26","1","7","6","6"
"2013","Full Time","Female","6.35","7","2571","5","6","7","7","7","6.32","6.38","1","7","7","7"
"2013","Full Time","Male","6.21","6","4407","5","6","7","7","7","6.18","6.24","1","7","6","6"
"2013","Not Working","Female","6.1","6","4121","5","6","7","7","7","6.07","6.13","1","7","6","6"
"2013","Not Working","Male","6","6","3155","4","5","7","7","7","5.96","6.04","1","7","6","6"
"2013","Part Time","Female","6.23","6","3327","5","6","7","7","7","6.2","6.26","1","7","6","6"
"2013","Part Time","Male","6.02","6","1262","5","6","7","7","7","5.96","6.08","1","7","6","6"
"2014","Full Time","Female","","","","","","","","","","","","","",""
"2014","Full Time","Male","","","","","","","","","","","","","",""
"2014","Not Working","Female","","","","","","","","","","","","","",""
"2014","Not Working","Male","","","","","","","","","","","","","",""
"2014","Part Time","Female","","","","","","","","","","","","","",""
"2014","Part Time","Male","","","","","","","","","","","","","",""
"2015","Full Time","Female","","","","","","","","","","","","","",""
"2015","Full Time","Male","","","","","","","","","","","","","",""
"2015","Not Working","Female","","","","","","","","","","","","","",""
"2015","Not Working","Male","","","","","","","","","","","","","",""
"2015","Part Time","Female","","","","","","","","","","","","","",""
"2015","Part Time","Male","","","","","","","","","","","","","",""
"2016","Full Time","Female","","","","","","","","","","","","","",""
"2016","Full Time","Male","","","","","","","","","","","","","",""
"2016","Not Working","Female","","","","","","","","","","","","","",""
"2016","Not Working","Male","","","","","","","","","","","","","",""
"2016","Part Time","Female","","","","","","","","","","","","","",""
"2016","Part Time","Male","","","","","","","","","","","","","",""
"2017","Full Time","Female","6.31","6","3733","5","6","7","7","7","6.28","6.34","1","7","6","7"
"2017","Full Time","Male","6.13","6","6735","5","6","7","7","7","6.11","6.15","1","7","6","6"
"2017","Not Working","Female","5.95","6","5905","4","5","7","7","7","5.92","5.98","1","7","6","6"
"2017","Not Working","Male","5.83","6","5000","4","5","7","7","7","5.8","5.86","1","7","6","6"
"2017","Part Time","Female","6.2","6","5627","5","6","7","7","7","6.18","6.22","1","7","6","6"
"2017","Part Time","Male","5.96","6","2209","5","5","7","7","7","5.92","6","2","7","6","6"
"2018","Full Time","Female","","","","","","","","","","","","","",""
"2018","Full Time","Male","","","","","","","","","","","","","",""
"2018","Not Working","Female","","","","","","","","","","","","","",""
"2018","Not Working","Male","","","","","","","","","","","","","",""
"2018","Part Time","Female","","","","","","","","","","","","","",""
"2018","Part Time","Male","","","","","","","","","","","","","",""
"2019","Full Time","Female","6.32","7","3702","5","6","7","7","7","6.29","6.35","1","7","6","7"
"2019","Full Time","Male","6.16","6","6800","5","6","7","7","7","6.14","6.18","1","7","6","6"
"2019","Not Working","Female","5.99","6","4539","4","5","7","7","7","5.96","6.02","1","7","6","6"
"2019","Not Working","Male","5.8","6","3484","4","5","7","7","7","5.76","5.84","1","7","6","6"
"2019","Part Time","Female","6.24","6","5202","5","6","7","7","7","6.22","6.26","1","7","6","6"
"2019","Part Time","Male","5.91","6","2011","5","5","7","7","7","5.86","5.96","1","7","6","6"
