"plb0219","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes, every week","2011","Not Employed","West Germany","21","","",""
"Yes, every week","2011","Not Employed","East Germany","5","","",""
"Yes, every week","2011","Employed","West Germany","924","0.0721345116234589","0.0676284840361128","0.076640539210805"
"Yes, every week","2011","Employed","East Germany","241","0.0691628548297045","0.0606115064899","0.077714203169509"
"Yes, every 2 weeks","2011","Not Employed","West Germany","24","","",""
"Yes, every 2 weeks","2011","Not Employed","East Germany","8","","",""
"Yes, every 2 weeks","2011","Employed","West Germany","1189","0.0916935112135543","0.086667015718321","0.0967200067087877"
"Yes, every 2 weeks","2011","Employed","East Germany","390","0.117079940634088","0.106244084556591","0.127915796711585"
"Yes, every 3-4 weeks","2011","Not Employed","West Germany","17","","",""
"Yes, every 3-4 weeks","2011","Not Employed","East Germany","4","","",""
"Yes, every 3-4 weeks","2011","Employed","West Germany","696","0.0516150441415688","0.0477615006289659","0.0554685876541717"
"Yes, every 3-4 weeks","2011","Employed","East Germany","245","0.061770309080148","0.0536568553686523","0.0698837627916437"
"Rarely","2011","Not Employed","West Germany","28","","",""
"Rarely","2011","Not Employed","East Germany","11","","",""
"Rarely","2011","Employed","West Germany","2147","0.173991820071218","0.167388894874992","0.180594745267445"
"Rarely","2011","Employed","East Germany","598","0.191518392255952","0.178256618784962","0.204780165726941"
"No, never","2012","Not Employed","West Germany","127","0.736822347694018","0.671579190990995","0.802065504397041"
"No, never","2012","Not Employed","East Germany","38","0.765148084094212","0.649931174944567","0.880364993243857"
"No, never","2012","Employed","West Germany","2480","0.63177399060971","0.616926798745226","0.646621182474194"
"No, never","2012","Employed","East Germany","526","0.592837017427282","0.560265036257741","0.625408998596823"
"Yes, every week","2012","Not Employed","West Germany","11","","",""
"Yes, every week","2012","Not Employed","East Germany","4","","",""
"Yes, every week","2012","Employed","West Germany","319","0.0723509289690046","0.0643761228815608","0.0803257350564484"
"Yes, every week","2012","Employed","East Germany","61","0.0648275893409259","0.048503906285993","0.0811512723958588"
"Yes, every 2 weeks","2012","Not Employed","West Germany","12","","",""
"Yes, every 2 weeks","2012","Not Employed","East Germany","7","","",""
"Yes, every 2 weeks","2012","Employed","West Germany","414","0.0995099929884802","0.0902953393508388","0.108724646626122"
"Yes, every 2 weeks","2012","Employed","East Germany","93","0.106215629594576","0.0857887059030279","0.126642553286124"
"Yes, every 3-4 weeks","2012","Not Employed","West Germany","6","","",""
"Yes, every 3-4 weeks","2012","Not Employed","East Germany","1","","",""
"Yes, every 3-4 weeks","2012","Employed","West Germany","234","0.0573564810199105","0.0501988186123199","0.0645141434275012"
"Yes, every 3-4 weeks","2012","Employed","East Germany","60","0.0726851814484746","0.0554732774884843","0.0898970854084649"
"Rarely","2012","Not Employed","West Germany","19","","",""
"Rarely","2012","Not Employed","East Germany","2","","",""
"Rarely","2012","Employed","West Germany","607","0.139008606412895","0.128359173825772","0.149658039000017"
"Rarely","2012","Employed","East Germany","134","0.163434582188741","0.138920575115397","0.187948589262086"
"No, never","2013","Not Employed","West Germany","186","0.586625180469256","0.528738579025209","0.644511781913304"
"No, never","2013","Not Employed","East Germany","64","0.694189193578625","0.604773583615856","0.783604803541394"
"No, never","2013","Employed","West Germany","7257","0.607977796080908","0.599162108205231","0.616793483956585"
"No, never","2013","Employed","East Germany","1805","0.548605255656271","0.53122168607777","0.565988825234773"
"Yes, every week","2013","Not Employed","West Germany","20","","",""
"Yes, every week","2013","Not Employed","East Germany","7","","",""
"Yes, every week","2013","Employed","West Germany","775","0.0613217486287928","0.0569894073958525","0.0656540898617331"
"Yes, every week","2013","Employed","East Germany","206","0.0603701582362143","0.0520502164646182","0.0686901000078104"
"Yes, every 2 weeks","2013","Not Employed","West Germany","24","","",""
"Yes, every 2 weeks","2013","Not Employed","East Germany","11","","",""
"Yes, every 2 weeks","2013","Employed","West Germany","1105","0.0926470667576083","0.0874115328844541","0.0978826006307624"
"Yes, every 2 weeks","2013","Employed","East Germany","360","0.12027775587122","0.10891467299684","0.131640838745599"
"Yes, every 3-4 weeks","2013","Not Employed","West Germany","14","","",""
"Yes, every 3-4 weeks","2013","Not Employed","East Germany","11","","",""
"Yes, every 3-4 weeks","2013","Employed","West Germany","594","0.0518604695655759","0.0478563101241082","0.0558646290070435"
"Yes, every 3-4 weeks","2013","Employed","East Germany","183","0.0608021997235927","0.0524544598322053","0.0691499396149801"
"Rarely","2013","Not Employed","West Germany","34","0.209926833438716","0.162053537713624","0.257800129163807"
"Rarely","2013","Not Employed","East Germany","9","","",""
"Rarely","2013","Employed","West Germany","2050","0.186192918967115","0.1791638253834","0.193222012550831"
"Rarely","2013","Employed","East Germany","594","0.209944630512702","0.195717678077091","0.224171582948313"
"No, never","2014","Not Employed","West Germany","","","",""
"No, never","2014","Not Employed","East Germany","","","",""
"No, never","2014","Employed","West Germany","","","",""
"No, never","2014","Employed","East Germany","","","",""
"Yes, every week","2014","Not Employed","West Germany","","","",""
"Yes, every week","2014","Not Employed","East Germany","","","",""
"Yes, every week","2014","Employed","West Germany","","","",""
"Yes, every week","2014","Employed","East Germany","","","",""
"Yes, every 2 weeks","2014","Not Employed","West Germany","","","",""
"Yes, every 2 weeks","2014","Not Employed","East Germany","","","",""
"Yes, every 2 weeks","2014","Employed","West Germany","","","",""
"Yes, every 2 weeks","2014","Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2014","Not Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2014","Not Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2014","Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2014","Employed","East Germany","","","",""
"Rarely","2014","Not Employed","West Germany","","","",""
"Rarely","2014","Not Employed","East Germany","","","",""
"Rarely","2014","Employed","West Germany","","","",""
"Rarely","2014","Employed","East Germany","","","",""
"No, never","2015","Not Employed","West Germany","202","0.687855697635273","0.635157441755839","0.740553953514707"
"No, never","2015","Not Employed","East Germany","44","0.610323427118181","0.494412119964276","0.726234734272086"
"No, never","2015","Employed","West Germany","7288","0.596673230300588","0.587856669994875","0.6054897906063"
"No, never","2015","Employed","East Germany","1664","0.57779557735481","0.559624093555127","0.595967061154492"
"Yes, every week","2015","Not Employed","West Germany","25","","",""
"Yes, every week","2015","Not Employed","East Germany","6","","",""
"Yes, every week","2015","Employed","West Germany","805","0.0658439928655971","0.0613867103006521","0.0703012754305421"
"Yes, every week","2015","Employed","East Germany","184","0.0569390821753291","0.0484136382893712","0.0654645260612871"
"Yes, every 2 weeks","2015","Not Employed","West Germany","31","0.089807209801789","0.0572915804991497","0.122322839104428"
"Yes, every 2 weeks","2015","Not Employed","East Germany","5","","",""
"Yes, every 2 weeks","2015","Employed","West Germany","1147","0.0962254575534945","0.0909254385599329","0.101525476547056"
"Yes, every 2 weeks","2015","Employed","East Germany","330","0.125315503087041","0.113134865801986","0.137496140372096"
"Yes, every 3-4 weeks","2015","Not Employed","West Germany","12","","",""
"Yes, every 3-4 weeks","2015","Not Employed","East Germany","6","","",""
"Yes, every 3-4 weeks","2015","Employed","West Germany","610","0.0558903338234649","0.0517619320547422","0.0600187355921876"
"Yes, every 3-4 weeks","2015","Employed","East Germany","181","0.0671372513012673","0.0579299458872423","0.0763445567152924"
"Rarely","2015","Not Employed","West Germany","27","","",""
"Rarely","2015","Not Employed","East Germany","7","","",""
"Rarely","2015","Employed","West Germany","2043","0.185366985456856","0.178383060268687","0.192350910645025"
"Rarely","2015","Employed","East Germany","479","0.172812586081553","0.158902444864563","0.186722727298543"
"No, never","2016","Not Employed","West Germany","","","",""
"No, never","2016","Not Employed","East Germany","","","",""
"No, never","2016","Employed","West Germany","","","",""
"No, never","2016","Employed","East Germany","","","",""
"Yes, every week","2016","Not Employed","West Germany","","","",""
"Yes, every week","2016","Not Employed","East Germany","","","",""
"Yes, every week","2016","Employed","West Germany","","","",""
"Yes, every week","2016","Employed","East Germany","","","",""
"Yes, every 2 weeks","2016","Not Employed","West Germany","","","",""
"Yes, every 2 weeks","2016","Not Employed","East Germany","","","",""
"Yes, every 2 weeks","2016","Employed","West Germany","","","",""
"Yes, every 2 weeks","2016","Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2016","Not Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2016","Not Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2016","Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2016","Employed","East Germany","","","",""
"Rarely","2016","Not Employed","West Germany","","","",""
"Rarely","2016","Not Employed","East Germany","","","",""
"Rarely","2016","Employed","West Germany","","","",""
"Rarely","2016","Employed","East Germany","","","",""
"No, never","2017","Not Employed","West Germany","252","0.759791766678358","0.714247787004101","0.805335746352615"
"No, never","2017","Not Employed","East Germany","41","0.86971433401919","0.781550450908029","0.957878217130351"
"No, never","2017","Employed","West Germany","8193","0.62360367410685","0.615269658507647","0.631937689706054"
"No, never","2017","Employed","East Germany","1982","0.616562791544549","0.599721584678492","0.633403998410605"
"Yes, every week","2017","Not Employed","West Germany","22","","",""
"Yes, every week","2017","Not Employed","East Germany","3","","",""
"Yes, every week","2017","Employed","West Germany","902","0.0658261430930361","0.0615604427091629","0.0700918434769093"
"Yes, every week","2017","Employed","East Germany","197","0.0632605943952724","0.0548289271984861","0.0716922615920587"
"Yes, every 2 weeks","2017","Not Employed","West Germany","27","","",""
"Yes, every 2 weeks","2017","Not Employed","East Germany","3","","",""
"Yes, every 2 weeks","2017","Employed","West Germany","1252","0.0950870708097599","0.0900411385050362","0.100133003114484"
"Yes, every 2 weeks","2017","Employed","East Germany","344","0.106312141141467","0.0956358160698183","0.116988466213117"
"Yes, every 3-4 weeks","2017","Not Employed","West Germany","16","","",""
"Yes, every 3-4 weeks","2017","Not Employed","East Germany","3","","",""
"Yes, every 3-4 weeks","2017","Employed","West Germany","799","0.058752291473789","0.0547070760035474","0.0627975069440305"
"Yes, every 3-4 weeks","2017","Employed","East Germany","219","0.061200032677197","0.0528977065869614","0.0695023587674327"
"Rarely","2017","Not Employed","West Germany","21","","",""
"Rarely","2017","Not Employed","East Germany","6","","",""
"Rarely","2017","Employed","West Germany","1836","0.156730820516565","0.150477112417423","0.162984528615707"
"Rarely","2017","Employed","East Germany","460","0.152664440241515","0.140206848664924","0.165122031818105"
"No, never","2018","Not Employed","West Germany","","","",""
"No, never","2018","Not Employed","East Germany","","","",""
"No, never","2018","Employed","West Germany","","","",""
"No, never","2018","Employed","East Germany","","","",""
"Yes, every week","2018","Not Employed","West Germany","","","",""
"Yes, every week","2018","Not Employed","East Germany","","","",""
"Yes, every week","2018","Employed","West Germany","","","",""
"Yes, every week","2018","Employed","East Germany","","","",""
"Yes, every 2 weeks","2018","Not Employed","West Germany","","","",""
"Yes, every 2 weeks","2018","Not Employed","East Germany","","","",""
"Yes, every 2 weeks","2018","Employed","West Germany","","","",""
"Yes, every 2 weeks","2018","Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2018","Not Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2018","Not Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2018","Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2018","Employed","East Germany","","","",""
"Rarely","2018","Not Employed","West Germany","","","",""
"Rarely","2018","Not Employed","East Germany","","","",""
"Rarely","2018","Employed","West Germany","","","",""
"Rarely","2018","Employed","East Germany","","","",""
"No, never","2019","Not Employed","West Germany","306","0.516555431486574","0.474210346495336","0.558900516477813"
"No, never","2019","Not Employed","East Germany","81","0.497338131826334","0.415956210324835","0.578720053327833"
"No, never","2019","Employed","West Germany","7825","0.634900360256909","0.626540060178168","0.643260660335649"
"No, never","2019","Employed","East Germany","1968","0.621546551615187","0.604815455579843","0.638277647650531"
"Yes, every week","2019","Not Employed","West Germany","48","0.0920641590164368","0.0675654005876323","0.116562917445241"
"Yes, every week","2019","Not Employed","East Germany","15","","",""
"Yes, every week","2019","Employed","West Germany","928","0.0648930458544041","0.0606155155023213","0.0691705762064868"
"Yes, every week","2019","Employed","East Germany","211","0.0629325109977487","0.0545552066538942","0.0713098153416031"
"Yes, every 2 weeks","2019","Not Employed","West Germany","48","0.113112129615163","0.0862735117236855","0.139950747506641"
"Yes, every 2 weeks","2019","Not Employed","East Germany","13","","",""
"Yes, every 2 weeks","2019","Employed","West Germany","1200","0.0933170929773193","0.0882661589991527","0.0983680269554859"
"Yes, every 2 weeks","2019","Employed","East Germany","358","0.114385751309498","0.103406073653435","0.125365428965562"
"Yes, every 3-4 weeks","2019","Not Employed","West Germany","52","0.084446952757655","0.0608853435979578","0.108008561917352"
"Yes, every 3-4 weeks","2019","Not Employed","East Germany","13","","",""
"Yes, every 3-4 weeks","2019","Employed","West Germany","772","0.0553632796380705","0.0513922174030538","0.0593343418730872"
"Yes, every 3-4 weeks","2019","Employed","East Germany","188","0.0527160191604311","0.0450071135489111","0.0604249247719512"
"Rarely","2019","Not Employed","West Germany","81","0.19382132712417","0.160325736974096","0.227316917274245"
"Rarely","2019","Not Employed","East Germany","23","","",""
"Rarely","2019","Employed","West Germany","2015","0.151526221273297","0.145299972255392","0.157752470291202"
"Rarely","2019","Employed","East Germany","503","0.148419166917135","0.136154965856506","0.160683367977764"
