"plb0219","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes, every 2 weeks","2005","Hesse","Couple + C. LE and GT 16","3","","",""
"Yes, every 2 weeks","2005","Rhineland-Palatinate,Saarland","1-pers.-HH","4","","",""
"Yes, every 2 weeks","2005","Rhineland-Palatinate,Saarland","(Married) couple without C. ","11","","",""
"Yes, every 2 weeks","2005","Rhineland-Palatinate,Saarland","Single parent ","3","","",""
"Yes, every 2 weeks","2005","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","16","","",""
"Yes, every 2 weeks","2005","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","10","","",""
"Yes, every 2 weeks","2005","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","5","","",""
"Yes, every 2 weeks","2005","Baden-Württemberg","1-pers.-HH","20","","",""
"Yes, every 2 weeks","2005","Baden-Württemberg","(Married) couple without C. ","17","","",""
"Yes, every 2 weeks","2005","Baden-Württemberg","Single parent ","6","","",""
"Yes, every 2 weeks","2005","Baden-Württemberg","Couple + C. LE 16 ","18","","",""
"Yes, every 2 weeks","2005","Baden-Württemberg","Couple + C. GT 16 ","13","","",""
"Yes, every 2 weeks","2005","Baden-Württemberg","Couple + C. LE and GT 16","12","","",""
"Yes, every 2 weeks","2005","Bavaria","1-pers.-HH","10","","",""
"Yes, every 2 weeks","2005","Bavaria","(Married) couple without C. ","31","0.0945416748672026","0.0663582479398737","0.122725101794531"
"Yes, every 2 weeks","2005","Bavaria","Single parent ","10","","",""
"Yes, every 2 weeks","2005","Bavaria","Couple + C. LE 16 ","34","0.0805865826684959","0.0552392061320006","0.105933959204991"
"Yes, every 2 weeks","2005","Bavaria","Couple + C. GT 16 ","14","","",""
"Yes, every 2 weeks","2005","Bavaria","Couple + C. LE and GT 16","14","","",""
"Yes, every 2 weeks","2005","Berlin","1-pers.-HH","8","","",""
"Yes, every 2 weeks","2005","Berlin","(Married) couple without C. ","13","","",""
"Yes, every 2 weeks","2005","Berlin","Single parent ","4","","",""
"Yes, every 2 weeks","2005","Berlin","Couple + C. LE 16 ","9","","",""
"Yes, every 2 weeks","2005","Berlin","Couple + C. GT 16 ","7","","",""
"Yes, every 2 weeks","2005","Berlin","Couple + C. LE and GT 16","2","","",""
"Yes, every 2 weeks","2005","Brandenburg","1-pers.-HH","6","","",""
"Yes, every 2 weeks","2005","Brandenburg","(Married) couple without C. ","10","","",""
"Yes, every 2 weeks","2005","Brandenburg","Single parent ","3","","",""
"Yes, every 2 weeks","2005","Brandenburg","Couple + C. LE 16 ","11","","",""
"Yes, every 2 weeks","2005","Brandenburg","Couple + C. GT 16 ","11","","",""
"Yes, every 2 weeks","2005","Brandenburg","Couple + C. LE and GT 16","3","","",""
"Yes, every 2 weeks","2005","Mecklenburg-Western Pomerania","1-pers.-HH","5","","",""
"Yes, every 2 weeks","2005","Mecklenburg-Western Pomerania","(Married) couple without C. ","6","","",""
"Yes, every 2 weeks","2005","Mecklenburg-Western Pomerania","Single parent ","4","","",""
"Yes, every 2 weeks","2005","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","5","","",""
"Yes, every 2 weeks","2005","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","5","","",""
"Yes, every 2 weeks","2005","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","1","","",""
"Yes, every 2 weeks","2005","Saxony","1-pers.-HH","11","","",""
"Yes, every 2 weeks","2005","Saxony","(Married) couple without C. ","14","","",""
"Yes, every 2 weeks","2005","Saxony","Single parent ","2","","",""
"Yes, every 2 weeks","2005","Saxony","Couple + C. LE 16 ","10","","",""
"Yes, every 2 weeks","2005","Saxony","Couple + C. GT 16 ","15","","",""
"Yes, every 2 weeks","2005","Saxony","Couple + C. LE and GT 16","9","","",""
"Yes, every 2 weeks","2005","Saxony-Anhalt","1-pers.-HH","6","","",""
"Yes, every 2 weeks","2005","Saxony-Anhalt","(Married) couple without C. ","12","","",""
"Yes, every 2 weeks","2005","Saxony-Anhalt","Single parent ","3","","",""
"Yes, every 2 weeks","2005","Saxony-Anhalt","Couple + C. LE 16 ","9","","",""
"Yes, every 2 weeks","2005","Saxony-Anhalt","Couple + C. GT 16 ","22","","",""
"Yes, every 2 weeks","2005","Saxony-Anhalt","Couple + C. LE and GT 16","5","","",""
"Yes, every 2 weeks","2005","Thuringia","1-pers.-HH","7","","",""
"Yes, every 2 weeks","2005","Thuringia","(Married) couple without C. ","12","","",""
"Yes, every 2 weeks","2005","Thuringia","Single parent ","3","","",""
"Yes, every 2 weeks","2005","Thuringia","Couple + C. LE 16 ","10","","",""
"Yes, every 2 weeks","2005","Thuringia","Couple + C. GT 16 ","6","","",""
"Yes, every 2 weeks","2005","Thuringia","Couple + C. LE and GT 16","4","","",""
"Yes, every 3-4 weeks","2005","Schleswig-Holstein","1-pers.-HH","2","","",""
"Yes, every 3-4 weeks","2005","Schleswig-Holstein","(Married) couple without C. ","6","","",""
"Yes, every 3-4 weeks","2005","Schleswig-Holstein","Single parent ","2","","",""
"Yes, every 3-4 weeks","2005","Schleswig-Holstein","Couple + C. LE 16 ","4","","",""
"Yes, every 3-4 weeks","2005","Schleswig-Holstein","Couple + C. GT 16 ","1","","",""
"Yes, every 3-4 weeks","2005","Schleswig-Holstein","Couple + C. LE and GT 16","2","","",""
"Yes, every 3-4 weeks","2005","Hamburg","1-pers.-HH","2","","",""
"Yes, every 3-4 weeks","2005","Hamburg","(Married) couple without C. ","3","","",""
"Yes, every 3-4 weeks","2005","Hamburg","Single parent ","","","",""
"Yes, every 3-4 weeks","2005","Hamburg","Couple + C. LE 16 ","1","","",""
"Yes, every 3-4 weeks","2005","Hamburg","Couple + C. GT 16 ","","","",""
"Yes, every 3-4 weeks","2005","Hamburg","Couple + C. LE and GT 16","1","","",""
"Yes, every 3-4 weeks","2005","Lower Saxony","1-pers.-HH","3","","",""
"Yes, every 3-4 weeks","2005","Lower Saxony","(Married) couple without C. ","13","","",""
"Yes, every 3-4 weeks","2005","Lower Saxony","Single parent ","1","","",""
"Yes, every 3-4 weeks","2005","Lower Saxony","Couple + C. LE 16 ","19","","",""
"Yes, every 3-4 weeks","2005","Lower Saxony","Couple + C. GT 16 ","8","","",""
"Yes, every 3-4 weeks","2005","Lower Saxony","Couple + C. LE and GT 16","6","","",""
"Yes, every 3-4 weeks","2005","Bremen","1-pers.-HH","1","","",""
"Yes, every 3-4 weeks","2005","Bremen","(Married) couple without C. ","2","","",""
"Yes, every 3-4 weeks","2005","Bremen","Single parent ","","","",""
"Yes, every 3-4 weeks","2005","Bremen","Couple + C. LE 16 ","2","","",""
"Yes, every 3-4 weeks","2005","Bremen","Couple + C. GT 16 ","","","",""
"Yes, every 3-4 weeks","2005","Bremen","Couple + C. LE and GT 16","","","",""
"Yes, every 3-4 weeks","2005","North Rhine-Westphalia","1-pers.-HH","17","","",""
"Yes, every 3-4 weeks","2005","North Rhine-Westphalia","(Married) couple without C. ","28","","",""
"Yes, every 3-4 weeks","2005","North Rhine-Westphalia","Single parent ","5","","",""
"Yes, every 3-4 weeks","2005","North Rhine-Westphalia","Couple + C. LE 16 ","42","0.0853264722051256","0.0629728752591944","0.107680069151057"
"Yes, every 3-4 weeks","2005","North Rhine-Westphalia","Couple + C. GT 16 ","22","","",""
"Yes, every 3-4 weeks","2005","North Rhine-Westphalia","Couple + C. LE and GT 16","11","","",""
"Yes, every 3-4 weeks","2005","Hesse","1-pers.-HH","9","","",""
"Yes, every 3-4 weeks","2005","Hesse","(Married) couple without C. ","10","","",""
"Yes, every 3-4 weeks","2005","Hesse","Single parent ","2","","",""
"Yes, every 3-4 weeks","2005","Hesse","Couple + C. LE 16 ","12","","",""
"Yes, every 3-4 weeks","2005","Hesse","Couple + C. GT 16 ","5","","",""
"Yes, every 3-4 weeks","2005","Hesse","Couple + C. LE and GT 16","6","","",""
"Yes, every 3-4 weeks","2005","Rhineland-Palatinate,Saarland","1-pers.-HH","3","","",""
"Yes, every 3-4 weeks","2005","Rhineland-Palatinate,Saarland","(Married) couple without C. ","4","","",""
"Yes, every 3-4 weeks","2005","Rhineland-Palatinate,Saarland","Single parent ","3","","",""
"Yes, every 3-4 weeks","2005","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","12","","",""
"Yes, every 3-4 weeks","2005","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","6","","",""
"Yes, every 3-4 weeks","2005","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","6","","",""
"Yes, every 3-4 weeks","2005","Baden-Württemberg","1-pers.-HH","11","","",""
"Yes, every 3-4 weeks","2005","Baden-Württemberg","(Married) couple without C. ","14","","",""
"Yes, every 3-4 weeks","2005","Baden-Württemberg","Single parent ","3","","",""
"Yes, every 3-4 weeks","2005","Baden-Württemberg","Couple + C. LE 16 ","13","","",""
"Yes, every 3-4 weeks","2005","Baden-Württemberg","Couple + C. GT 16 ","11","","",""
"Yes, every 3-4 weeks","2005","Baden-Württemberg","Couple + C. LE and GT 16","9","","",""
"Yes, every 3-4 weeks","2005","Bavaria","1-pers.-HH","17","","",""
"Yes, every 3-4 weeks","2005","Bavaria","(Married) couple without C. ","11","","",""
"Yes, every 3-4 weeks","2005","Bavaria","Single parent ","3","","",""
"Yes, every 3-4 weeks","2005","Bavaria","Couple + C. LE 16 ","25","","",""
"Yes, every 3-4 weeks","2005","Bavaria","Couple + C. GT 16 ","20","","",""
"Yes, every 3-4 weeks","2005","Bavaria","Couple + C. LE and GT 16","5","","",""
"Yes, every 3-4 weeks","2005","Berlin","1-pers.-HH","1","","",""
"Yes, every 3-4 weeks","2005","Berlin","(Married) couple without C. ","7","","",""
