"plb0219","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2006","(Married) couple without C. ","East Germany","","","",""
"No, never","2006","Single parent ","West Germany","","","",""
"No, never","2006","Single parent ","East Germany","","","",""
"No, never","2006","Couple + C. LE 16 ","West Germany","","","",""
"No, never","2006","Couple + C. LE 16 ","East Germany","","","",""
"No, never","2006","Couple + C. GT 16 ","West Germany","","","",""
"No, never","2006","Couple + C. GT 16 ","East Germany","","","",""
"No, never","2006","Couple + C. LE and GT 16","West Germany","","","",""
"No, never","2006","Couple + C. LE and GT 16","East Germany","","","",""
"Yes, every week","2006","1-pers.-HH","West Germany","","","",""
"Yes, every week","2006","1-pers.-HH","East Germany","","","",""
"Yes, every week","2006","(Married) couple without C. ","West Germany","","","",""
"Yes, every week","2006","(Married) couple without C. ","East Germany","","","",""
"Yes, every week","2006","Single parent ","West Germany","","","",""
"Yes, every week","2006","Single parent ","East Germany","","","",""
"Yes, every week","2006","Couple + C. LE 16 ","West Germany","","","",""
"Yes, every week","2006","Couple + C. LE 16 ","East Germany","","","",""
"Yes, every week","2006","Couple + C. GT 16 ","West Germany","","","",""
"Yes, every week","2006","Couple + C. GT 16 ","East Germany","","","",""
"Yes, every week","2006","Couple + C. LE and GT 16","West Germany","","","",""
"Yes, every week","2006","Couple + C. LE and GT 16","East Germany","","","",""
"Yes, every 2 weeks","2006","1-pers.-HH","West Germany","","","",""
"Yes, every 2 weeks","2006","1-pers.-HH","East Germany","","","",""
"Yes, every 2 weeks","2006","(Married) couple without C. ","West Germany","","","",""
"Yes, every 2 weeks","2006","(Married) couple without C. ","East Germany","","","",""
"Yes, every 2 weeks","2006","Single parent ","West Germany","","","",""
"Yes, every 2 weeks","2006","Single parent ","East Germany","","","",""
"Yes, every 2 weeks","2006","Couple + C. LE 16 ","West Germany","","","",""
"Yes, every 2 weeks","2006","Couple + C. LE 16 ","East Germany","","","",""
"Yes, every 2 weeks","2006","Couple + C. GT 16 ","West Germany","","","",""
"Yes, every 2 weeks","2006","Couple + C. GT 16 ","East Germany","","","",""
"Yes, every 2 weeks","2006","Couple + C. LE and GT 16","West Germany","","","",""
"Yes, every 2 weeks","2006","Couple + C. LE and GT 16","East Germany","","","",""
"Yes, every 3-4 weeks","2006","1-pers.-HH","West Germany","","","",""
"Yes, every 3-4 weeks","2006","1-pers.-HH","East Germany","","","",""
"Yes, every 3-4 weeks","2006","(Married) couple without C. ","West Germany","","","",""
"Yes, every 3-4 weeks","2006","(Married) couple without C. ","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Single parent ","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Single parent ","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Couple + C. LE 16 ","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Couple + C. LE 16 ","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Couple + C. GT 16 ","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Couple + C. GT 16 ","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Couple + C. LE and GT 16","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","2006","1-pers.-HH","West Germany","","","",""
"Rarely","2006","1-pers.-HH","East Germany","","","",""
"Rarely","2006","(Married) couple without C. ","West Germany","","","",""
"Rarely","2006","(Married) couple without C. ","East Germany","","","",""
"Rarely","2006","Single parent ","West Germany","","","",""
"Rarely","2006","Single parent ","East Germany","","","",""
"Rarely","2006","Couple + C. LE 16 ","West Germany","","","",""
"Rarely","2006","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","2006","Couple + C. GT 16 ","West Germany","","","",""
"Rarely","2006","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","2006","Couple + C. LE and GT 16","West Germany","","","",""
"Rarely","2006","Couple + C. LE and GT 16","East Germany","","","",""
"No, never","2007","1-pers.-HH","West Germany","633","0.574238190886429","0.544843919018696","0.603632462754162"
"No, never","2007","1-pers.-HH","East Germany","148","0.504675290575512","0.446831311513094","0.56251926963793"
"No, never","2007","(Married) couple without C. ","West Germany","1515","0.621493996451805","0.602113935680644","0.640874057222967"
"No, never","2007","(Married) couple without C. ","East Germany","403","0.557492421790629","0.520724513608483","0.594260329972776"
"No, never","2007","Single parent ","West Germany","293","0.630421469297616","0.586311369549231","0.674531569046001"
"No, never","2007","Single parent ","East Germany","100","0.568032012417681","0.490793885185631","0.645270139649731"
"No, never","2007","Couple + C. LE 16 ","West Germany","1301","0.580286905977602","0.55970212733792","0.600871684617284"
"No, never","2007","Couple + C. LE 16 ","East Germany","263","0.521969531772246","0.477650675337683","0.566288388206809"
"No, never","2007","Couple + C. GT 16 ","West Germany","994","0.656360898753494","0.632748222017112","0.679973575489875"
"No, never","2007","Couple + C. GT 16 ","East Germany","403","0.625092150117496","0.587847831603515","0.662336468631476"
"No, never","2007","Couple + C. LE and GT 16","West Germany","504","0.706996499127017","0.673911896563347","0.740081101690688"
"No, never","2007","Couple + C. LE and GT 16","East Germany","104","0.563845785951311","0.49037253225323","0.637319039649392"
"Yes, every week","2007","1-pers.-HH","West Germany","89","0.0805476326526308","0.0643696514296531","0.0967256138756084"
"Yes, every week","2007","1-pers.-HH","East Germany","23","","",""
"Yes, every week","2007","(Married) couple without C. ","West Germany","151","0.056429663367995","0.0472094462291384","0.0656498805068516"
"Yes, every week","2007","(Married) couple without C. ","East Germany","48","0.0636358227296311","0.0455656497919688","0.0817059956672934"
"Yes, every week","2007","Single parent ","West Germany","30","0.0586963678258121","0.0372161017712234","0.0801766338804008"
"Yes, every week","2007","Single parent ","East Germany","12","","",""
"Yes, every week","2007","Couple + C. LE 16 ","West Germany","144","0.0588516485055695","0.04903514297371","0.0686681540374291"
"Yes, every week","2007","Couple + C. LE 16 ","East Germany","26","","",""
"Yes, every week","2007","Couple + C. GT 16 ","West Germany","111","0.0635035279262743","0.0513787279380788","0.0756283279144698"
"Yes, every week","2007","Couple + C. GT 16 ","East Germany","32","0.0342746060986727","0.0202774822766382","0.0482717299207073"
"Yes, every week","2007","Couple + C. LE and GT 16","West Germany","37","0.0560032646820931","0.0392895569262842","0.0727169724379021"
"Yes, every week","2007","Couple + C. LE and GT 16","East Germany","10","","",""
"Yes, every 2 weeks","2007","1-pers.-HH","West Germany","96","0.0904750100938902","0.0734218465461099","0.107528173641671"
"Yes, every 2 weeks","2007","1-pers.-HH","East Germany","36","0.148043819585189","0.106956206507588","0.189131432662789"
"Yes, every 2 weeks","2007","(Married) couple without C. ","West Germany","179","0.0790075075500838","0.068228903830161","0.0897861112700066"
"Yes, every 2 weeks","2007","(Married) couple without C. ","East Germany","69","0.126398967219479","0.101799969391796","0.150997965047161"
"Yes, every 2 weeks","2007","Single parent ","West Germany","46","0.116053977127767","0.0867846955744168","0.145323258681118"
"Yes, every 2 weeks","2007","Single parent ","East Germany","15","","",""
"Yes, every 2 weeks","2007","Couple + C. LE 16 ","West Germany","181","0.0989824727976724","0.0865260217471314","0.111438923848213"
"Yes, every 2 weeks","2007","Couple + C. LE 16 ","East Germany","61","0.139215317870689","0.108501842848881","0.169928792892497"
"Yes, every 2 weeks","2007","Couple + C. GT 16 ","West Germany","104","0.0687968738806972","0.0562125713990834","0.0813811763623109"
"Yes, every 2 weeks","2007","Couple + C. GT 16 ","East Germany","71","0.0983413598262391","0.0754318961835267","0.121250823468952"
"Yes, every 2 weeks","2007","Couple + C. LE and GT 16","West Germany","43","0.0539400577224628","0.0375191970546011","0.0703609183903244"
"Yes, every 2 weeks","2007","Couple + C. LE and GT 16","East Germany","23","","",""
"Yes, every 3-4 weeks","2007","1-pers.-HH","West Germany","57","0.0495518350698207","0.036650715259083","0.0624529548805585"
"Yes, every 3-4 weeks","2007","1-pers.-HH","East Germany","18","","",""
"Yes, every 3-4 weeks","2007","(Married) couple without C. ","West Germany","112","0.0525712217787332","0.0436536297308524","0.061488813826614"
"Yes, every 3-4 weeks","2007","(Married) couple without C. ","East Germany","40","0.0719359969963835","0.052808806662033","0.0910631873307339"
"Yes, every 3-4 weeks","2007","Single parent ","West Germany","20","","",""
"Yes, every 3-4 weeks","2007","Single parent ","East Germany","6","","",""
"Yes, every 3-4 weeks","2007","Couple + C. LE 16 ","West Germany","133","0.0661710113866754","0.0558025069328378","0.076539515840513"
"Yes, every 3-4 weeks","2007","Couple + C. LE 16 ","East Germany","33","0.0670343625710015","0.0448462813902435","0.0892224437517595"
"Yes, every 3-4 weeks","2007","Couple + C. GT 16 ","West Germany","85","0.0610604409912322","0.0491556610879587","0.0729652208945057"
"Yes, every 3-4 weeks","2007","Couple + C. GT 16 ","East Germany","32","0.0461376361747974","0.0299979060215492","0.0622773663280456"
"Yes, every 3-4 weeks","2007","Couple + C. LE and GT 16","West Germany","37","0.0317762449100139","0.0190259555921736","0.0445265342278543"
"Yes, every 3-4 weeks","2007","Couple + C. LE and GT 16","East Germany","8","","",""
"Rarely","2007","1-pers.-HH","West Germany","212","0.205187331297229","0.181180160574572","0.229194502019886"
"Rarely","2007","1-pers.-HH","East Germany","62","0.212198160530669","0.16489540446907","0.259500916592269"
"Rarely","2007","(Married) couple without C. ","West Germany","449","0.190497610851383","0.174806484714721","0.206188736988044"
"Rarely","2007","(Married) couple without C. ","East Germany","141","0.180536791263877","0.152063565498631","0.209010017029124"
"Rarely","2007","Single parent ","West Germany","71","0.156666614594807","0.123449871219567","0.189883357970047"
"Rarely","2007","Single parent ","East Germany","25","","",""
"Rarely","2007","Couple + C. LE 16 ","West Germany","449","0.195707961332481","0.179159421185632","0.21225650147933"
