"plb0219","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes, every week","2005","Full Time","Female","151","0.0660026523125506","0.0561206321645072","0.0758846724605939","2"
"Yes, every week","2005","Part Time","Female","102","0.0440486875281459","0.0361807163667838","0.051916658689508","2"
"Yes, every week","2005","Not Working","Male","8","","","","2"
"Yes, every week","2005","Not Working","Female","3","","","","2"
"No, never","2006","Part Time","Male","","","","","1"
"No, never","2006","Part Time","Female","","","","","1"
"No, never","2006","Full Time","Male","","","","","1"
"No, never","2006","Full Time","Female","","","","","1"
"No, never","2006","Not Working","Male","","","","","1"
"No, never","2006","Not Working","Female","","","","","1"
"Rarely","2006","Full Time","Male","","","","","5"
"Rarely","2006","Full Time","Female","","","","","5"
"Rarely","2006","Part Time","Male","","","","","5"
"Rarely","2006","Part Time","Female","","","","","5"
"Rarely","2006","Not Working","Male","","","","","5"
"Rarely","2006","Not Working","Female","","","","","5"
"Yes, every 2 weeks","2006","Full Time","Female","","","","","3"
"Yes, every 2 weeks","2006","Part Time","Male","","","","","3"
"Yes, every 2 weeks","2006","Part Time","Female","","","","","3"
"Yes, every 2 weeks","2006","Not Working","Male","","","","","3"
"Yes, every 2 weeks","2006","Not Working","Female","","","","","3"
"Yes, every 2 weeks","2006","Full Time","Male","","","","","3"
"Yes, every 3-4 weeks","2006","Full Time","Male","","","","","4"
"Yes, every 3-4 weeks","2006","Full Time","Female","","","","","4"
"Yes, every 3-4 weeks","2006","Part Time","Male","","","","","4"
"Yes, every 3-4 weeks","2006","Part Time","Female","","","","","4"
"Yes, every 3-4 weeks","2006","Not Working","Male","","","","","4"
"Yes, every 3-4 weeks","2006","Not Working","Female","","","","","4"
"Yes, every week","2006","Full Time","Male","","","","","2"
"Yes, every week","2006","Full Time","Female","","","","","2"
"Yes, every week","2006","Part Time","Male","","","","","2"
"Yes, every week","2006","Part Time","Female","","","","","2"
"Yes, every week","2006","Not Working","Male","","","","","2"
"Yes, every week","2006","Not Working","Female","","","","","2"
"No, never","2007","Full Time","Male","2658","0.545625944070732","0.53171156121286","0.559540326928603","1"
"No, never","2007","Full Time","Female","1479","0.596348565248925","0.576881229574715","0.615815900923136","1"
"No, never","2007","Part Time","Male","580","0.638839739668101","0.606755447978584","0.670924031357618","1"
"No, never","2007","Part Time","Female","1911","0.710603483077255","0.693428230972185","0.727778735182325","1"
"No, never","2007","Not Working","Male","57","0.778967934825807","0.682450371806516","0.875485497845099","1"
"No, never","2007","Not Working","Female","98","0.680513185141971","0.601858255177208","0.759168115106733","1"
"Rarely","2007","Full Time","Male","1170","0.234989527034192","0.223140911063321","0.246838143005064","5"
"Rarely","2007","Part Time","Female","343","0.119109869122873","0.106841762252047","0.131377975993699","5"
"Rarely","2007","Full Time","Female","391","0.165419782522317","0.150676949603078","0.180162615441555","5"
"Rarely","2007","Part Time","Male","129","0.15471634287735","0.130560853135159","0.178871832619541","5"
"Rarely","2007","Not Working","Male","6","","","","5"
"Rarely","2007","Not Working","Female","14","","","","5"
"Yes, every 2 weeks","2007","Full Time","Male","402","0.0851403737552389","0.0773410906150768","0.0929396568954011","3"
"Yes, every 2 weeks","2007","Part Time","Male","60","0.0792723439262041","0.0612266760837016","0.0973180117687066","3"
"Yes, every 2 weeks","2007","Not Working","Male","2","","","","3"
"Yes, every 2 weeks","2007","Full Time","Female","269","0.117515836071537","0.10473807286677","0.130293599276305","3"
"Yes, every 2 weeks","2007","Part Time","Female","204","0.0868116387912393","0.0761478394148112","0.0974754381676673","3"
"Yes, every 2 weeks","2007","Not Working","Female","10","","","","3"
"Yes, every 3-4 weeks","2007","Full Time","Male","317","0.0665594243585707","0.059593836154101","0.0735250125630404","4"
"Yes, every 3-4 weeks","2007","Full Time","Female","123","0.051231226242302","0.0424833879832474","0.0599790645013566","4"
"Yes, every 3-4 weeks","2007","Part Time","Male","42","0.0660699118047481","0.0494776511189132","0.082662172490583","4"
"Yes, every 3-4 weeks","2007","Part Time","Female","107","0.0377176221684735","0.0305021256100925","0.0449331187268545","4"
"Yes, every 3-4 weeks","2007","Not Working","Male","1","","","","4"
"Yes, every 3-4 weeks","2007","Not Working","Female","4","","","","4"
"Yes, every week","2007","Full Time","Male","372","0.0676847307812662","0.0606647417882976","0.0747047197742347","2"
"Yes, every week","2007","Part Time","Male","50","0.061101661723597","0.045103049529289","0.0771002739179049","2"
"Yes, every week","2007","Full Time","Female","178","0.0694845899149184","0.0593953322804078","0.0795738475494291","2"
"Yes, every week","2007","Part Time","Female","113","0.0457573868401599","0.0378432634845495","0.0536715101957703","2"
"Yes, every week","2007","Not Working","Male","5","","","","2"
"Yes, every week","2007","Not Working","Female","9","","","","2"
"No, never","2008","Full Time","Male","","","","","1"
"No, never","2008","Full Time","Female","","","","","1"
"No, never","2008","Part Time","Male","","","","","1"
"No, never","2008","Part Time","Female","","","","","1"
"No, never","2008","Not Working","Male","","","","","1"
"No, never","2008","Not Working","Female","","","","","1"
"Rarely","2008","Full Time","Male","","","","","5"
"Rarely","2008","Part Time","Male","","","","","5"
"Rarely","2008","Full Time","Female","","","","","5"
"Rarely","2008","Part Time","Female","","","","","5"
"Rarely","2008","Not Working","Male","","","","","5"
"Rarely","2008","Not Working","Female","","","","","5"
"Yes, every 2 weeks","2008","Full Time","Male","","","","","3"
"Yes, every 2 weeks","2008","Full Time","Female","","","","","3"
"Yes, every 2 weeks","2008","Part Time","Male","","","","","3"
"Yes, every 2 weeks","2008","Not Working","Male","","","","","3"
"Yes, every 2 weeks","2008","Part Time","Female","","","","","3"
"Yes, every 2 weeks","2008","Not Working","Female","","","","","3"
"Yes, every 3-4 weeks","2008","Full Time","Male","","","","","4"
"Yes, every 3-4 weeks","2008","Full Time","Female","","","","","4"
"Yes, every 3-4 weeks","2008","Part Time","Male","","","","","4"
"Yes, every 3-4 weeks","2008","Part Time","Female","","","","","4"
"Yes, every 3-4 weeks","2008","Not Working","Male","","","","","4"
"Yes, every 3-4 weeks","2008","Not Working","Female","","","","","4"
"Yes, every week","2008","Full Time","Male","","","","","2"
"Yes, every week","2008","Full Time","Female","","","","","2"
"Yes, every week","2008","Part Time","Male","","","","","2"
"Yes, every week","2008","Not Working","Male","","","","","2"
"Yes, every week","2008","Part Time","Female","","","","","2"
"Yes, every week","2008","Not Working","Female","","","","","2"
"No, never","2009","Part Time","Male","514","0.615521493538803","0.581359987650033","0.649682999427572","1"
"No, never","2009","Not Working","Female","68","0.696171765601187","0.600622939549219","0.791720591653155","1"
"No, never","2009","Full Time","Male","2280","0.529441825390494","0.514455053098198","0.544428597682789","1"
"No, never","2009","Full Time","Female","1332","0.600768026012788","0.580409589450592","0.621126462574984","1"
"No, never","2009","Part Time","Female","1656","0.676208143211769","0.657626564542199","0.694789721881338","1"
"No, never","2009","Not Working","Male","25","","","","1"
"Rarely","2009","Full Time","Male","1031","0.240556650866159","0.227723044931712","0.253390256800606","5"
"Rarely","2009","Part Time","Male","128","0.18383743767517","0.15663644984753","0.211038425502809","5"
"Rarely","2009","Full Time","Female","365","0.178528884058567","0.162609408604539","0.194448359512596","5"
"Rarely","2009","Part Time","Female","330","0.135696649031107","0.122097018525902","0.149296279536312","5"
"Rarely","2009","Not Working","Male","6","","","","5"
"Rarely","2009","Not Working","Female","7","","","","5"
"Yes, every 2 weeks","2009","Full Time","Female","234","0.0993697110029953","0.0869337701634615","0.111805651842529","3"
"Yes, every 2 weeks","2009","Full Time","Male","341","0.0802249892743376","0.0720687875061423","0.0883811910425329","3"
"Yes, every 2 weeks","2009","Part Time","Male","54","0.0830708212148675","0.0636900296579463","0.102451612771789","3"
"Yes, every 2 weeks","2009","Not Working","Male","4","","","","3"
"Yes, every 2 weeks","2009","Part Time","Female","209","0.0797291284618242","0.068972509233648","0.0904857476900005","3"
"Yes, every 2 weeks","2009","Not Working","Female","8","","","","3"
"Yes, every 3-4 weeks","2009","Full Time","Male","283","0.0681659513410953","0.060598574498171","0.0757333281840195","4"
"Yes, every 3-4 weeks","2009","Full Time","Female","116","0.0529876116143492","0.0436756031513339","0.0622996200773645","4"
"Yes, every 3-4 weeks","2009","Part Time","Male","31","0.0478559999222088","0.0328660950351156","0.0628459048093021","4"
"Yes, every 3-4 weeks","2009","Part Time","Female","112","0.0521770844245766","0.0433460219910905","0.0610081468580627","4"
"Yes, every 3-4 weeks","2009","Not Working","Male","5","","","","4"
"Yes, every 3-4 weeks","2009","Not Working","Female","4","","","","4"
"Yes, every week","2009","Full Time","Female","176","0.0683457673112996","0.0578561039176804","0.0788354307049187","2"
"Yes, every week","2009","Full Time","Male","326","0.0816105831279145","0.0733904471891347","0.0898307190666942","2"
"Yes, every week","2009","Part Time","Male","52","0.0697142476489514","0.0518309205809228","0.0875975747169801","2"
"Yes, every week","2009","Part Time","Female","129","0.0561889948707238","0.0470441235411039","0.0653338662003436","2"
"Yes, every week","2009","Not Working","Male","6","","","","2"
"Yes, every week","2009","Not Working","Female","2","","","","2"
"No, never","2010","Full Time","Male","1061","0.526057737928255","0.504495496426046","0.547619979430464","1"
"No, never","2010","Full Time","Female","251","0.554037343208337","0.508711502384371","0.599363184032302","1"
"No, never","2010","Part Time","Male","214","0.619419458256017","0.570146414926687","0.668692501585346","1"
"No, never","2010","Not Working","Female","122","0.688205970262369","0.619769930092629","0.756642010432109","1"
"No, never","2010","Part Time","Female","867","0.62473402999655","0.59944315023489","0.65002490975821","1"
"No, never","2010","Not Working","Male","32","0.787011433871172","0.66319105980591","0.910831807936435","1"
"Rarely","2010","Full Time","Male","471","0.219004181789477","0.201144856858087","0.236863506720867","5"
"Rarely","2010","Full Time","Female","74","0.16415418101764","0.130377562814206","0.197930799221075","5"
"Rarely","2010","Part Time","Male","66","0.164671390733052","0.127032966784056","0.202309814682049","5"
"Rarely","2010","Part Time","Female","212","0.146991392091243","0.128495749609757","0.165487034572728","5"
"Rarely","2010","Not Working","Male","3","","","","5"
"Rarely","2010","Not Working","Female","23","","","","5"
"Yes, every 2 weeks","2010","Part Time","Male","34","0.0790517918112886","0.0516696674943949","0.106433916128182","3"
"Yes, every 2 weeks","2010","Not Working","Female","16","","","","3"
"Yes, every 2 weeks","2010","Full Time","Male","227","0.111588925995469","0.0979922730803462","0.125185578910593","3"
"Yes, every 2 weeks","2010","Full Time","Female","65","0.142663267375178","0.110772945539467","0.17455358921089","3"
"Yes, every 2 weeks","2010","Part Time","Female","165","0.115354715115238","0.0986688386996177","0.132040591530858","3"
"Yes, every 2 weeks","2010","Not Working","Male","4","","","","3"
"Yes, every 3-4 weeks","2010","Full Time","Female","28","","","","4"
"Yes, every 3-4 weeks","2010","Full Time","Male","165","0.0860272813980212","0.0739185346399218","0.0981360281561207","4"
"Yes, every 3-4 weeks","2010","Part Time","Male","21","","","","4"
"Yes, every 3-4 weeks","2010","Part Time","Female","74","0.0503610181567116","0.0389381995225123","0.0617838367909109","4"
"Yes, every 3-4 weeks","2010","Not Working","Male","2","","","","4"
"Yes, every 3-4 weeks","2010","Not Working","Female","5","","","","4"
"Yes, every week","2010","Full Time","Female","44","0.0942811297709229","0.0676348735045619","0.120927386037284","2"
"Yes, every week","2010","Full Time","Male","136","0.0573218728887777","0.0472836604630476","0.0673600853145077","2"
"Yes, every week","2010","Part Time","Male","38","0.0847378902702425","0.0564757374420407","0.113000043098444","2"
"Yes, every week","2010","Part Time","Female","90","0.0625588446402579","0.04990964254603","0.0752080467344858","2"
"Yes, every week","2010","Not Working","Male","1","","","","2"
"Yes, every week","2010","Not Working","Female","10","","","","2"
"No, never","2011","Full Time","Male","3754","0.543934788963446","0.532156336769021","0.555713241157872","1"
"No, never","2011","Part Time","Male","824","0.643761854869506","0.617719734272158","0.669803975466854","1"
"No, never","2011","Full Time","Female","1848","0.612112612396065","0.595184900261248","0.629040324530882","1"
"No, never","2011","Part Time","Female","3189","0.688960239328599","0.675717385591726","0.702203093065473","1"
"No, never","2011","Not Working","Female","245","0.737020755959146","0.690224702533919","0.783816809384373","1"
"No, never","2011","Not Working","Male","60","0.766307358813957","0.675267188529952","0.857347529097962","1"
"Rarely","2011","Part Time","Male","217","0.187290060281343","0.166073808246742","0.208506312315943","5"
"Rarely","2011","Part Time","Female","572","0.112281145893864","0.103249483639999","0.121312808147728","5"
"Rarely","2011","Full Time","Male","1481","0.226282390383049","0.216387341307865","0.236177439458233","5"
"Rarely","2011","Full Time","Female","475","0.141112788666654","0.129018480592255","0.153207096741054","5"
"Rarely","2011","Not Working","Male","10","","","","5"
"Rarely","2011","Not Working","Female","29","","","","5"
"Yes, every 2 weeks","2011","Full Time","Male","625","0.0919918743425368","0.085157151088066","0.0988265975970075","3"
"Yes, every 2 weeks","2011","Full Time","Female","398","0.115258316636657","0.104164674493895","0.12635195877942","3"
"Yes, every 2 weeks","2011","Part Time","Male","100","0.0675079813917253","0.0538639208397147","0.081152041943736","3"
"Yes, every 2 weeks","2011","Part Time","Female","456","0.0962280088976449","0.0877916171693951","0.104664400625895","3"
"Yes, every 2 weeks","2011","Not Working","Male","5","","","","3"
"Yes, every 2 weeks","2011","Not Working","Female","27","","","","3"
"Yes, every 3-4 weeks","2011","Full Time","Female","174","0.0513135608839531","0.0436486485027189","0.0589784732651874","4"
"Yes, every 3-4 weeks","2011","Full Time","Male","475","0.0611183558686661","0.0554534514261527","0.0667832603111796","4"
"Yes, every 3-4 weeks","2011","Part Time","Male","76","0.0489908354864598","0.0372528575323047","0.0607288134406148","4"
"Yes, every 3-4 weeks","2011","Part Time","Female","216","0.041980583859253","0.0362435430245971","0.047717624693909","4"
"Yes, every 3-4 weeks","2011","Not Working","Female","17","","","","4"
"Yes, every 3-4 weeks","2011","Not Working","Male","4","","","","4"
"Yes, every week","2011","Full Time","Male","534","0.0766725904423018","0.0703804375768333","0.0829647433077703","2"
"Yes, every week","2011","Full Time","Female","288","0.0802027214166701","0.0707671026758576","0.0896383401574826","2"
"Yes, every week","2011","Part Time","Male","82","0.0524492679709663","0.0403261462185641","0.0645723897233685","2"
"Yes, every week","2011","Part Time","Female","261","0.0605500220206393","0.0537270980575155","0.067372945983763","2"
"Yes, every week","2011","Not Working","Male","4","","","","2"
"Yes, every week","2011","Not Working","Female","22","","","","2"
"No, never","2012","Full Time","Male","1190","0.594356265908617","0.573137175955344","0.61557535586189","1"
"No, never","2012","Part Time","Male","214","0.638332401098741","0.588138031362556","0.688526770834926","1"
"No, never","2012","Not Working","Female","127","0.757770950853634","0.69411257480978","0.821429326897488","1"
"No, never","2012","Full Time","Female","364","0.560673225587723","0.523121009142224","0.598225442033223","1"
"No, never","2012","Part Time","Female","1238","0.6894975432959","0.668401743780663","0.710593342811136","1"
"No, never","2012","Not Working","Male","38","0.699392145428731","0.575947944276667","0.822836346580795","1"
"Rarely","2012","Full Time","Female","104","0.151464069502613","0.124338631477982","0.178589507527244","5"
"Rarely","2012","Part Time","Male","44","0.104039533880964","0.0721446972716422","0.135934370490285","5"
"Rarely","2012","Not Working","Male","7","","","","5"
"Rarely","2012","Full Time","Male","390","0.177264863668425","0.160761506525563","0.193768220811287","5"
"Rarely","2012","Part Time","Female","203","0.104069608432374","0.0901477824071447","0.117991434457603","5"
"Rarely","2012","Not Working","Female","14","","","","5"
"Yes, every 2 weeks","2012","Full Time","Male","187","0.0922642495015791","0.0797579912660583","0.1047705077371","3"
"Yes, every 2 weeks","2012","Full Time","Female","92","0.135076246285686","0.109214060048639","0.160938432522732","3"
"Yes, every 2 weeks","2012","Part Time","Male","38","0.0969378899463785","0.0660290752552717","0.127846704637485","3"
"Yes, every 2 weeks","2012","Part Time","Female","190","0.0980121717672701","0.0844559878488934","0.111568355685647","3"
"Yes, every 2 weeks","2012","Not Working","Male","5","","","","3"
"Yes, every 2 weeks","2012","Not Working","Female","14","","","","3"
"Yes, every 3-4 weeks","2012","Full Time","Male","137","0.0686444026038059","0.0577176458639208","0.079571159343691","4"
"Yes, every 3-4 weeks","2012","Full Time","Female","37","0.0547876228428483","0.0375692241543856","0.072006021531311","4"
"Yes, every 3-4 weeks","2012","Part Time","Male","27","","","","4"
"Yes, every 3-4 weeks","2012","Part Time","Female","93","0.0460597822256047","0.0365028473376606","0.0556167171135488","4"
"Yes, every 3-4 weeks","2012","Not Working","Male","2","","","","4"
"Yes, every 3-4 weeks","2012","Not Working","Female","5","","","","4"
"Yes, every week","2012","Full Time","Male","153","0.0674702183175733","0.0566304909787476","0.078309945656399","2"
"Yes, every week","2012","Full Time","Female","74","0.0979988357811296","0.0755030670721669","0.120494604490092","2"
"Yes, every week","2012","Part Time","Male","29","","","","2"
"Yes, every week","2012","Part Time","Female","124","0.0623608942788518","0.0513360838424225","0.0733857047152811","2"
"Yes, every week","2012","Not Working","Male","1","","","","2"
"Yes, every week","2012","Not Working","Female","14","","","","2"
"No, never","2013","Full Time","Male","3347","0.546118051806369","0.533577814973826","0.558658288638911","1"
"No, never","2013","Full Time","Female","1820","0.594310155556814","0.577055681361374","0.611564629752254","1"
"No, never","2013","Not Working","Male","85","0.587511453467034","0.503847884625651","0.671175022308417","1"
"No, never","2013","Not Working","Female","165","0.63766500344278","0.577720268100584","0.697609738784977","1"
"No, never","2013","Part Time","Male","788","0.644057447256713","0.617364832764429","0.670750061748997","1"
"No, never","2013","Part Time","Female","3107","0.673870571078332","0.660214490080974","0.68752665207569","1"
"Rarely","2013","Full Time","Female","486","0.163033886802357","0.150053400474399","0.176014373130314","5"
"Rarely","2013","Full Time","Male","1377","0.245581927063922","0.234740280114672","0.256423574013172","5"
"Rarely","2013","Part Time","Male","213","0.167661339429695","0.146835363842516","0.188487315016873","5"
"Rarely","2013","Not Working","Male","24","","","","5"
"Rarely","2013","Part Time","Female","568","0.126187110340945","0.116514146490571","0.13586007419132","5"
"Rarely","2013","Not Working","Female","19","","","","5"
"Yes, every 2 weeks","2013","Full Time","Male","545","0.0898744681173056","0.0826706982087402","0.0970782380258709","3"
"Yes, every 2 weeks","2013","Full Time","Female","369","0.10897075695429","0.0980211369396529","0.119920376968927","3"
"Yes, every 2 weeks","2013","Part Time","Male","103","0.0982008520927559","0.0816106607857227","0.114791043399789","3"
"Yes, every 2 weeks","2013","Part Time","Female","448","0.101016323888768","0.0922379408583955","0.109794706919141","3"
"Yes, every 2 weeks","2013","Not Working","Male","7","","","","3"
"Yes, every 2 weeks","2013","Not Working","Female","28","","","","3"
"Yes, every 3-4 weeks","2013","Full Time","Male","378","0.0610958983772075","0.0550632548541598","0.0671285419002552","4"
"Yes, every 3-4 weeks","2013","Full Time","Female","174","0.0558707298364794","0.0478001267580808","0.0639413329148781","4"
"Yes, every 3-4 weeks","2013","Part Time","Male","47","0.0358239690207251","0.0254629165892467","0.0461850214522035","4"
"Yes, every 3-4 weeks","2013","Part Time","Female","178","0.0441886654960427","0.0382020085157429","0.0501753224763425","4"
"Yes, every 3-4 weeks","2013","Not Working","Male","12","","","","4"
"Yes, every 3-4 weeks","2013","Not Working","Female","13","","","","4"
"Yes, every week","2013","Full Time","Female","262","0.0778144708500598","0.0684012679216181","0.0872276737785016","2"
"Yes, every week","2013","Full Time","Male","408","0.0573296546351962","0.0514742002428746","0.0631851090275179","2"
"Yes, every week","2013","Part Time","Male","85","0.0542563922001112","0.0416279140006264","0.066884870399596","2"
"Yes, every week","2013","Part Time","Female","226","0.0547373291959116","0.0481111847489266","0.0613634736428967","2"
"Yes, every week","2013","Not Working","Female","22","","","","2"
"Yes, every week","2013","Not Working","Male","5","","","","2"
"No, never","2014","Full Time","Male","","","","","1"
"No, never","2014","Full Time","Female","","","","","1"
"No, never","2014","Part Time","Male","","","","","1"
"No, never","2014","Part Time","Female","","","","","1"
"No, never","2014","Not Working","Male","","","","","1"
"No, never","2014","Not Working","Female","","","","","1"
"Rarely","2014","Full Time","Female","","","","","5"
"Rarely","2014","Part Time","Male","","","","","5"
"Rarely","2014","Full Time","Male","","","","","5"
"Rarely","2014","Part Time","Female","","","","","5"
"Rarely","2014","Not Working","Male","","","","","5"
"Rarely","2014","Not Working","Female","","","","","5"
"Yes, every 2 weeks","2014","Full Time","Female","","","","","3"
"Yes, every 2 weeks","2014","Part Time","Male","","","","","3"
"Yes, every 2 weeks","2014","Not Working","Male","","","","","3"
"Yes, every 2 weeks","2014","Not Working","Female","","","","","3"
"Yes, every 2 weeks","2014","Full Time","Male","","","","","3"
"Yes, every 2 weeks","2014","Part Time","Female","","","","","3"
"Yes, every 3-4 weeks","2014","Full Time","Male","","","","","4"
"Yes, every 3-4 weeks","2014","Full Time","Female","","","","","4"
"Yes, every 3-4 weeks","2014","Part Time","Male","","","","","4"
"Yes, every 3-4 weeks","2014","Part Time","Female","","","","","4"
"Yes, every 3-4 weeks","2014","Not Working","Female","","","","","4"
"Yes, every 3-4 weeks","2014","Not Working","Male","","","","","4"
"Yes, every week","2014","Full Time","Male","","","","","2"
"Yes, every week","2014","Full Time","Female","","","","","2"
"Yes, every week","2014","Part Time","Male","","","","","2"
"Yes, every week","2014","Part Time","Female","","","","","2"
"Yes, every week","2014","Not Working","Female","","","","","2"
"Yes, every week","2014","Not Working","Male","","","","","2"
"No, never","2015","Full Time","Male","3367","0.553727342909","0.541125958510647","0.566328727307353","1"
"No, never","2015","Full Time","Female","1808","0.582316213762237","0.564850841674184","0.59978158585029","1"
"No, never","2015","Part Time","Male","809","0.629120230290313","0.602574912246147","0.655665548334479","1"
"No, never","2015","Not Working","Male","89","0.623689898039116","0.541663623879785","0.705716172198447","1"
"No, never","2015","Part Time","Female","2968","0.658730479702407","0.644749491614402","0.672711467790412","1"
"No, never","2015","Not Working","Female","157","0.713479231806852","0.655173557474317","0.771784906139387","1"
"Rarely","2015","Full Time","Female","454","0.156305110692942","0.143444728039446","0.169165493346438","5"
"Rarely","2015","Part Time","Male","202","0.16212847756261","0.141873913395143","0.182383041730078","5"
"Rarely","2015","Not Working","Male","16","","","","5"
"Rarely","2015","Not Working","Female","18","","","","5"
"Rarely","2015","Full Time","Male","1283","0.228659876066284","0.218013836419387","0.239305915713182","5"
"Rarely","2015","Part Time","Female","583","0.135634900918029","0.125538430575727","0.145731371260332","5"
"Yes, every 2 weeks","2015","Full Time","Male","515","0.0816762818284379","0.0747337797918872","0.0886187838649886","3"
"Yes, every 2 weeks","2015","Part Time","Male","123","0.106628295979436","0.089667084615303","0.123589507343569","3"
"Yes, every 2 weeks","2015","Full Time","Female","399","0.130259082332845","0.118339156562688","0.142179008103002","3"
"Yes, every 2 weeks","2015","Part Time","Female","440","0.107733241049839","0.0985908992320424","0.116875582867636","3"
"Yes, every 2 weeks","2015","Not Working","Female","23","","","","3"
"Yes, every 2 weeks","2015","Not Working","Male","13","","","","3"
"Yes, every 3-4 weeks","2015","Full Time","Male","405","0.0703007712202694","0.0638200787136102","0.0767814637269286","4"
"Yes, every 3-4 weeks","2015","Full Time","Female","160","0.0543373157272591","0.0463096032571623","0.0623650281973559","4"
"Yes, every 3-4 weeks","2015","Part Time","Male","52","0.0455880718831888","0.0341250775743525","0.0570510661920251","4"
"Yes, every 3-4 weeks","2015","Part Time","Female","174","0.0437576791940977","0.0377258872139752","0.0497894711742201","4"
"Yes, every 3-4 weeks","2015","Not Working","Female","14","","","","4"
"Yes, every 3-4 weeks","2015","Not Working","Male","4","","","","4"
"Yes, every week","2015","Full Time","Male","408","0.0656357279760084","0.0593580591552111","0.0719133967968057","2"
"Yes, every week","2015","Full Time","Female","242","0.0767822774847171","0.0673534616318272","0.086211093337607","2"
"Yes, every week","2015","Part Time","Male","86","0.0565349242844516","0.0438430472128102","0.069226801356093","2"
"Yes, every week","2015","Part Time","Female","253","0.0541436991356272","0.0474706891035728","0.0608167091676816","2"
"Yes, every week","2015","Not Working","Male","12","","","","2"
"Yes, every week","2015","Not Working","Female","19","","","","2"
"No, never","2016","Full Time","Male","","","","","1"
"No, never","2016","Full Time","Female","","","","","1"
"No, never","2016","Part Time","Male","","","","","1"
"No, never","2016","Not Working","Male","","","","","1"
"No, never","2016","Part Time","Female","","","","","1"
"No, never","2016","Not Working","Female","","","","","1"
"Rarely","2016","Full Time","Male","","","","","5"
"Rarely","2016","Full Time","Female","","","","","5"
"Rarely","2016","Part Time","Male","","","","","5"
"Rarely","2016","Part Time","Female","","","","","5"
"Rarely","2016","Not Working","Male","","","","","5"
"Rarely","2016","Not Working","Female","","","","","5"
"Yes, every 2 weeks","2016","Full Time","Male","","","","","3"
"Yes, every 2 weeks","2016","Part Time","Male","","","","","3"
"Yes, every 2 weeks","2016","Full Time","Female","","","","","3"
"Yes, every 2 weeks","2016","Part Time","Female","","","","","3"
"Yes, every 2 weeks","2016","Not Working","Male","","","","","3"
"Yes, every 2 weeks","2016","Not Working","Female","","","","","3"
"Yes, every 3-4 weeks","2016","Full Time","Male","","","","","4"
"Yes, every 3-4 weeks","2016","Part Time","Male","","","","","4"
"Yes, every 3-4 weeks","2016","Full Time","Female","","","","","4"
"Yes, every 3-4 weeks","2016","Part Time","Female","","","","","4"
"Yes, every 3-4 weeks","2016","Not Working","Male","","","","","4"
"Yes, every 3-4 weeks","2016","Not Working","Female","","","","","4"
"Yes, every week","2016","Full Time","Male","","","","","2"
"Yes, every week","2016","Full Time","Female","","","","","2"
"Yes, every week","2016","Part Time","Male","","","","","2"
"Yes, every week","2016","Part Time","Female","","","","","2"
"Yes, every week","2016","Not Working","Male","","","","","2"
