"plb0219","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Yes, every 3-4 weeks","2012","16-34 y.","indirect migration background","5","","","","4"
"Yes, every 3-4 weeks","2012","35-65 y.","no migration background","184","0.0573301036159578","0.0493266071403048","0.0653336000916108","4"
"Yes, every 3-4 weeks","2012","35-65 y.","direct migration background","35","0.0569925933262036","0.0366925955874302","0.077292591064977","4"
"Yes, every 3-4 weeks","2012","66 and older","no migration background","1","","","","4"
"Yes, every 3-4 weeks","2012","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2012","35-65 y.","indirect migration background","12","","","","4"
"Yes, every 3-4 weeks","2012","66 and older","indirect migration background","","","","","4"
"Yes, every week","2012","16-34 y.","no migration background","55","0.0621085546430018","0.0461894096670676","0.078027699618936","2"
"Yes, every week","2012","35-65 y.","no migration background","270","0.0775127923652275","0.068306697561272","0.086718887169183","2"
"Yes, every week","2012","16-34 y.","direct migration background","18","","","","2"
"Yes, every week","2012","16-34 y.","indirect migration background","8","","","","2"
"Yes, every week","2012","35-65 y.","direct migration background","34","0.0697552898579877","0.0474495616298278","0.0920610180861476","2"
"Yes, every week","2012","35-65 y.","indirect migration background","10","","","","2"
"Yes, every week","2012","66 and older","no migration background","","","","","2"
"Yes, every week","2012","66 and older","direct migration background","","","","","2"
"Yes, every week","2012","66 and older","indirect migration background","","","","","2"
"No, never","2013","16-34 y.","no migration background","1848","0.621321742332193","0.603603496647143","0.639039988017242","1"
"No, never","2013","16-34 y.","direct migration background","210","0.674341965007603","0.624748777393119","0.723935152622088","1"
"No, never","2013","16-34 y.","indirect migration background","249","0.673981348480168","0.626218261114204","0.721744435846132","1"
"No, never","2013","35-65 y.","no migration background","5818","0.577732774928726","0.567962792846902","0.587502757010549","1"
"No, never","2013","35-65 y.","direct migration background","770","0.624951884611437","0.597514084620652","0.652389684602221","1"
"No, never","2013","35-65 y.","indirect migration background","243","0.62017356547852","0.574139071647356","0.666208059309684","1"
"No, never","2013","66 and older","no migration background","163","0.67141166106579","0.614428262085942","0.728395060045637","1"
"No, never","2013","66 and older","direct migration background","11","","","","1"
"No, never","2013","66 and older","indirect migration background","","","","","1"
"Rarely","2013","16-34 y.","no migration background","388","0.162265321606329","0.148797623803738","0.175733019408919","5"
"Rarely","2013","16-34 y.","direct migration background","44","0.166031230792321","0.126651674509515","0.205410787075127","5"
"Rarely","2013","16-34 y.","indirect migration background","40","0.125099492005437","0.0913898347830206","0.158809149227853","5"
"Rarely","2013","35-65 y.","no migration background","1936","0.212634939728062","0.20454133555768","0.220728543898445","5"
"Rarely","2013","35-65 y.","direct migration background","151","0.121022455989075","0.102538097947071","0.13950681403108","5"
"Rarely","2013","35-65 y.","indirect migration background","67","0.124662473493112","0.0933303523462174","0.155994594640006","5"
"Rarely","2013","66 and older","no migration background","60","0.194813161034059","0.146764054351952","0.242862267716165","5"
"Rarely","2013","66 and older","direct migration background","1","","","","5"
"Rarely","2013","66 and older","indirect migration background","","","","","5"
"Yes, every 2 weeks","2013","16-34 y.","direct migration background","51","0.0873055398474348","0.0574321408625777","0.117178938832292","3"
"Yes, every 2 weeks","2013","16-34 y.","no migration background","307","0.107684840116094","0.0963617835191051","0.119007896713082","3"
"Yes, every 2 weeks","2013","16-34 y.","indirect migration background","37","0.103811488540551","0.0727323033491205","0.134890673731982","3"
"Yes, every 2 weeks","2013","35-65 y.","indirect migration background","56","0.109536355999669","0.0799138774043034","0.139158834595035","3"
"Yes, every 2 weeks","2013","66 and older","no migration background","11","","","","3"
"Yes, every 2 weeks","2013","66 and older","direct migration background","1","","","","3"
"Yes, every 2 weeks","2013","35-65 y.","no migration background","909","0.0930127557134321","0.0872675124454476","0.0987579989814167","3"
"Yes, every 2 weeks","2013","35-65 y.","direct migration background","128","0.113796594554124","0.0957990258002482","0.131794163308","3"
"Yes, every 2 weeks","2013","66 and older","indirect migration background","","","","","3"
"Yes, every 3-4 weeks","2013","16-34 y.","no migration background","170","0.0590824865215016","0.050469923417886","0.0676950496251172","4"
"Yes, every 3-4 weeks","2013","35-65 y.","no migration background","506","0.0543079538745882","0.0498252178470638","0.0587906899021125","4"
"Yes, every 3-4 weeks","2013","16-34 y.","direct migration background","16","","","","4"
"Yes, every 3-4 weeks","2013","16-34 y.","indirect migration background","15","","","","4"
"Yes, every 3-4 weeks","2013","35-65 y.","indirect migration background","25","","","","4"
"Yes, every 3-4 weeks","2013","66 and older","no migration background","9","","","","4"
"Yes, every 3-4 weeks","2013","35-65 y.","direct migration background","61","0.0579498539044098","0.0447080947497788","0.0711916130590407","4"
"Yes, every 3-4 weeks","2013","66 and older","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2013","66 and older","direct migration background","","","","","4"
"Yes, every week","2013","16-34 y.","no migration background","166","0.0496456094238834","0.0417112754959427","0.0575799433518242","2"
"Yes, every week","2013","16-34 y.","direct migration background","22","","","","2"
"Yes, every week","2013","16-34 y.","indirect migration background","29","","","","2"
"Yes, every week","2013","35-65 y.","no migration background","649","0.0623115757551917","0.0575302292146044","0.067092922295779","2"
"Yes, every week","2013","35-65 y.","direct migration background","86","0.082279210940954","0.0667058322168755","0.0978525896650326","2"
"Yes, every week","2013","66 and older","direct migration background","2","","","","2"
"Yes, every week","2013","66 and older","no migration background","18","","","","2"
"Yes, every week","2013","35-65 y.","indirect migration background","36","0.0566231185232935","0.0347014472832552","0.0785447897633319","2"
"Yes, every week","2013","66 and older","indirect migration background","","","","","2"
"No, never","2014","16-34 y.","no migration background","","","","","1"
"No, never","2014","16-34 y.","direct migration background","","","","","1"
"No, never","2014","16-34 y.","indirect migration background","","","","","1"
"No, never","2014","66 and older","direct migration background","","","","","1"
"No, never","2014","66 and older","no migration background","","","","","1"
"No, never","2014","35-65 y.","indirect migration background","","","","","1"
"No, never","2014","66 and older","indirect migration background","","","","","1"
"No, never","2014","35-65 y.","no migration background","","","","","1"
"No, never","2014","35-65 y.","direct migration background","","","","","1"
"Rarely","2014","35-65 y.","indirect migration background","","","","","5"
"Rarely","2014","66 and older","no migration background","","","","","5"
"Rarely","2014","66 and older","direct migration background","","","","","5"
"Rarely","2014","16-34 y.","no migration background","","","","","5"
"Rarely","2014","16-34 y.","direct migration background","","","","","5"
"Rarely","2014","16-34 y.","indirect migration background","","","","","5"
"Rarely","2014","35-65 y.","no migration background","","","","","5"
"Rarely","2014","35-65 y.","direct migration background","","","","","5"
"Rarely","2014","66 and older","indirect migration background","","","","","5"
"Yes, every 2 weeks","2014","35-65 y.","indirect migration background","","","","","3"
"Yes, every 2 weeks","2014","66 and older","direct migration background","","","","","3"
"Yes, every 2 weeks","2014","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2014","35-65 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2014","66 and older","no migration background","","","","","3"
"Yes, every 2 weeks","2014","16-34 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2014","35-65 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2014","16-34 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2014","16-34 y.","indirect migration background","","","","","3"
"Yes, every 3-4 weeks","2014","16-34 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2014","16-34 y.","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2014","16-34 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2014","35-65 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2014","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2014","66 and older","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2014","66 and older","no migration background","","","","","4"
"Yes, every 3-4 weeks","2014","35-65 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2014","35-65 y.","direct migration background","","","","","4"
"Yes, every week","2014","35-65 y.","direct migration background","","","","","2"
"Yes, every week","2014","16-34 y.","no migration background","","","","","2"
"Yes, every week","2014","16-34 y.","direct migration background","","","","","2"
"Yes, every week","2014","16-34 y.","indirect migration background","","","","","2"
"Yes, every week","2014","35-65 y.","no migration background","","","","","2"
"Yes, every week","2014","66 and older","direct migration background","","","","","2"
"Yes, every week","2014","66 and older","indirect migration background","","","","","2"
"Yes, every week","2014","35-65 y.","indirect migration background","","","","","2"
"Yes, every week","2014","66 and older","no migration background","","","","","2"
"No, never","2015","16-34 y.","indirect migration background","361","0.604940778858046","0.56397304325248","0.645908514463613","1"
"No, never","2015","16-34 y.","no migration background","1516","0.609450197167353","0.590024406416002","0.628875987918704","1"
"No, never","2015","16-34 y.","direct migration background","435","0.592068217691875","0.554827788465551","0.629308646918199","1"
"No, never","2015","66 and older","no migration background","174","0.658827697336443","0.603394779560958","0.714260615111927","1"
"No, never","2015","35-65 y.","indirect migration background","313","0.592090687195768","0.550211699005249","0.633969675386287","1"
"No, never","2015","35-65 y.","direct migration background","1288","0.605331167180321","0.584000321427759","0.626662012932883","1"
"No, never","2015","66 and older","direct migration background","24","","","","1"
"No, never","2015","35-65 y.","no migration background","5087","0.584483513749248","0.574065614565517","0.594901412932978","1"
"No, never","2015","66 and older","indirect migration background","","","","","1"
"Rarely","2015","16-34 y.","no migration background","343","0.164070467481971","0.149324562672119","0.178816372291823","5"
"Rarely","2015","16-34 y.","direct migration background","63","0.106259119022535","0.0829071261505434","0.129611111894527","5"
"Rarely","2015","16-34 y.","indirect migration background","58","0.119758021418983","0.0925493226822195","0.146966720155747","5"
"Rarely","2015","35-65 y.","indirect migration background","88","0.16844573626148","0.136552722254588","0.200338750268371","5"
"Rarely","2015","66 and older","no migration background","62","0.200976430376906","0.154122363794102","0.24783049695971","5"
"Rarely","2015","66 and older","direct migration background","5","","","","5"
"Rarely","2015","66 and older","indirect migration background","","","","","5"
"Rarely","2015","35-65 y.","no migration background","1687","0.204038509353561","0.195519247112328","0.212557771594794","5"
"Rarely","2015","35-65 y.","direct migration background","250","0.135253772655805","0.120328778360571","0.150178766951039","5"
"Yes, every 2 weeks","2015","35-65 y.","direct migration background","221","0.114437889989606","0.100545096635051","0.128330683344161","3"
"Yes, every 2 weeks","2015","16-34 y.","indirect migration background","69","0.152374794724258","0.122257710331664","0.182491879116852","3"
"Yes, every 2 weeks","2015","66 and older","direct migration background","","","","","3"
"Yes, every 2 weeks","2015","66 and older","no migration background","10","","","","3"
"Yes, every 2 weeks","2015","16-34 y.","direct migration background","75","0.116952125296653","0.0926003170055305","0.141303933587776","3"
"Yes, every 2 weeks","2015","35-65 y.","no migration background","793","0.0929007546039893","0.0867640260823615","0.0990374831256172","3"
"Yes, every 2 weeks","2015","16-34 y.","no migration background","284","0.113793742934746","0.101149350062913","0.126438135806579","3"
"Yes, every 2 weeks","2015","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2015","35-65 y.","indirect migration background","61","0.127687146477442","0.0992471209609426","0.156127171993941","3"
"Yes, every 3-4 weeks","2015","16-34 y.","no migration background","125","0.0582717599249854","0.0489443030798083","0.0675992167701625","4"
"Yes, every 3-4 weeks","2015","16-34 y.","direct migration background","49","0.0858020943202204","0.0645792256097202","0.107024963030721","4"
"Yes, every 3-4 weeks","2015","16-34 y.","indirect migration background","21","","","","4"
"Yes, every 3-4 weeks","2015","35-65 y.","no migration background","470","0.0574855735654213","0.052564913934977","0.0624062331958656","4"
"Yes, every 3-4 weeks","2015","66 and older","no migration background","14","","","","4"
"Yes, every 3-4 weeks","2015","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2015","35-65 y.","direct migration background","103","0.0623916458327849","0.051836381903847","0.0729469097617227","4"
"Yes, every 3-4 weeks","2015","35-65 y.","indirect migration background","27","","","","4"
"Yes, every 3-4 weeks","2015","66 and older","indirect migration background","","","","","4"
"Yes, every week","2015","16-34 y.","direct migration background","47","0.098918443668716","0.0762951559005978","0.121541731436834","2"
"Yes, every week","2015","16-34 y.","indirect migration background","38","0.0806157079263186","0.0578011108277236","0.103430305024913","2"
"Yes, every week","2015","16-34 y.","no migration background","155","0.0544138324909442","0.0453819849736927","0.0634456800081957","2"
"Yes, every week","2015","35-65 y.","no migration background","559","0.0610916487277807","0.056028713030742","0.0661545844248193","2"
"Yes, every week","2015","35-65 y.","direct migration background","155","0.0825855243414833","0.0705731211303741","0.0945979275525924","2"
"Yes, every week","2015","35-65 y.","indirect migration background","40","0.0581930882374043","0.038243364117128","0.0781428123576806","2"
"Yes, every week","2015","66 and older","direct migration background","5","","","","2"
"Yes, every week","2015","66 and older","no migration background","21","","","","2"
"Yes, every week","2015","66 and older","indirect migration background","","","","","2"
"No, never","2016","16-34 y.","no migration background","","","","","1"
"No, never","2016","16-34 y.","direct migration background","","","","","1"
"No, never","2016","16-34 y.","indirect migration background","","","","","1"
"No, never","2016","35-65 y.","no migration background","","","","","1"
"No, never","2016","66 and older","direct migration background","","","","","1"
"No, never","2016","66 and older","indirect migration background","","","","","1"
"No, never","2016","35-65 y.","indirect migration background","","","","","1"
"No, never","2016","66 and older","no migration background","","","","","1"
"No, never","2016","35-65 y.","direct migration background","","","","","1"
"Rarely","2016","16-34 y.","no migration background","","","","","5"
"Rarely","2016","16-34 y.","direct migration background","","","","","5"
"Rarely","2016","16-34 y.","indirect migration background","","","","","5"
"Rarely","2016","35-65 y.","no migration background","","","","","5"
"Rarely","2016","35-65 y.","direct migration background","","","","","5"
"Rarely","2016","35-65 y.","indirect migration background","","","","","5"
"Rarely","2016","66 and older","no migration background","","","","","5"
"Rarely","2016","66 and older","direct migration background","","","","","5"
"Rarely","2016","66 and older","indirect migration background","","","","","5"
"Yes, every 2 weeks","2016","16-34 y.","indirect migration background","","","","","3"
"Yes, every 2 weeks","2016","66 and older","direct migration background","","","","","3"
"Yes, every 2 weeks","2016","16-34 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2016","16-34 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2016","35-65 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2016","35-65 y.","indirect migration background","","","","","3"
"Yes, every 2 weeks","2016","66 and older","no migration background","","","","","3"
"Yes, every 2 weeks","2016","35-65 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2016","66 and older","indirect migration background","","","","","3"
"Yes, every 3-4 weeks","2016","16-34 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2016","16-34 y.","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2016","16-34 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2016","35-65 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2016","35-65 y.","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2016","35-65 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2016","66 and older","no migration background","","","","","4"
"Yes, every 3-4 weeks","2016","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2016","66 and older","indirect migration background","","","","","4"
"Yes, every week","2016","16-34 y.","no migration background","","","","","2"
"Yes, every week","2016","16-34 y.","direct migration background","","","","","2"
"Yes, every week","2016","16-34 y.","indirect migration background","","","","","2"
"Yes, every week","2016","35-65 y.","no migration background","","","","","2"
"Yes, every week","2016","35-65 y.","direct migration background","","","","","2"
"Yes, every week","2016","66 and older","no migration background","","","","","2"
"Yes, every week","2016","35-65 y.","indirect migration background","","","","","2"
"Yes, every week","2016","66 and older","direct migration background","","","","","2"
"Yes, every week","2016","66 and older","indirect migration background","","","","","2"
"No, never","2017","16-34 y.","no migration background","1781","0.646404164846794","0.628516169180199","0.664292160513388","1"
"No, never","2017","16-34 y.","direct migration background","496","0.674475307204969","0.640530953307213","0.708419661102724","1"
"No, never","2017","16-34 y.","indirect migration background","382","0.688142322026706","0.64994426947701","0.726340374576403","1"
"No, never","2017","66 and older","no migration background","233","0.653828717166667","0.603333712574306","0.704323721759028","1"
"No, never","2017","35-65 y.","indirect migration background","356","0.602829049268955","0.56327916179091","0.642378936747","1"
"No, never","2017","66 and older","direct migration background","29","","","","1"
"No, never","2017","35-65 y.","direct migration background","1454","0.63810208053415","0.617883235316175","0.658320925752125","1"
"No, never","2017","66 and older","indirect migration background","1","","","","1"
"No, never","2017","35-65 y.","no migration background","5736","0.608074771028243","0.598202296254553","0.617947245801933","1"
"Rarely","2017","16-34 y.","no migration background","338","0.138619219799201","0.125690207422853","0.151548232175549","5"
"Rarely","2017","16-34 y.","direct migration background","68","0.0957197698684097","0.0744067548254931","0.117032784911326","5"
"Rarely","2017","16-34 y.","indirect migration background","43","0.0636996190762596","0.0435623819202183","0.083836856232301","5"
"Rarely","2017","35-65 y.","indirect migration background","84","0.131208955538825","0.10391925091893","0.158498660158719","5"
"Rarely","2017","66 and older","no migration background","53","0.17761044702476","0.137046150610635","0.218174743438884","5"
"Rarely","2017","66 and older","direct migration background","8","","","","5"
"Rarely","2017","35-65 y.","no migration background","1505","0.17587276434468","0.168173621838635","0.183571906850725","5"
"Rarely","2017","35-65 y.","direct migration background","224","0.119914598993494","0.106246231016144","0.133582966970845","5"
"Rarely","2017","66 and older","indirect migration background","","","","","5"
"Yes, every 2 weeks","2017","66 and older","direct migration background","1","","","","3"
"Yes, every 2 weeks","2017","16-34 y.","no migration background","282","0.0972590780539406","0.086172368334969","0.108345787772912","3"
"Yes, every 2 weeks","2017","16-34 y.","direct migration background","88","0.106414746410729","0.0840758633694772","0.128753629451981","3"
"Yes, every 2 weeks","2017","16-34 y.","indirect migration background","70","0.113136181247102","0.0870173888385696","0.139254973655634","3"
"Yes, every 2 weeks","2017","35-65 y.","no migration background","868","0.094076103683922","0.0881723062398413","0.0999799011280026","3"
"Yes, every 2 weeks","2017","66 and older","no migration background","20","","","","3"
"Yes, every 2 weeks","2017","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2017","35-65 y.","indirect migration background","56","0.105257793263774","0.0804530052095141","0.130062581318034","3"
"Yes, every 2 weeks","2017","35-65 y.","direct migration background","241","0.103575532695184","0.0907550710782625","0.116395994312106","3"
"Yes, every 3-4 weeks","2017","35-65 y.","no migration background","652","0.0609174109300061","0.056080494959479","0.0657543269005332","4"
"Yes, every 3-4 weeks","2017","16-34 y.","direct migration background","32","0.0577437722114466","0.0408459928728826","0.0746415515500106","4"
"Yes, every 3-4 weeks","2017","16-34 y.","no migration background","157","0.0560808199457011","0.0474722577743978","0.0646893821170044","4"
"Yes, every 3-4 weeks","2017","16-34 y.","indirect migration background","25","","","","4"
"Yes, every 3-4 weeks","2017","35-65 y.","direct migration background","113","0.0586083993072073","0.0487255240479813","0.0684912745664333","4"
"Yes, every 3-4 weeks","2017","35-65 y.","indirect migration background","46","0.0820720271920005","0.0598869312774914","0.10425712310651","4"
"Yes, every 3-4 weeks","2017","66 and older","no migration background","11","","","","4"
"Yes, every 3-4 weeks","2017","66 and older","direct migration background","1","","","","4"
"Yes, every 3-4 weeks","2017","66 and older","indirect migration background","","","","","4"
"Yes, every week","2017","35-65 y.","indirect migration background","46","0.0786321747364457","0.0568763228876039","0.100388026585287","2"
"Yes, every week","2017","66 and older","no migration background","24","","","","2"
"Yes, every week","2017","66 and older","direct migration background","5","","","","2"
"Yes, every week","2017","35-65 y.","no migration background","632","0.0610589500131491","0.0562167830641727","0.0659011169621255","2"
"Yes, every week","2017","16-34 y.","no migration background","186","0.0616367173543637","0.052638400309352","0.0706350343993754","2"
"Yes, every week","2017","16-34 y.","direct migration background","48","0.065646404304446","0.0477051148590209","0.0835876937498712","2"
"Yes, every week","2017","16-34 y.","indirect migration background","45","0.0805879702880877","0.0581432567515502","0.103032683824625","2"
"Yes, every week","2017","35-65 y.","direct migration background","138","0.0797993884699641","0.0683979600644028","0.0912008168755254","2"
"Yes, every week","2017","66 and older","indirect migration background","","","","","2"
"No, never","2018","16-34 y.","indirect migration background","","","","","1"
"No, never","2018","16-34 y.","no migration background","","","","","1"
"No, never","2018","16-34 y.","direct migration background","","","","","1"
"No, never","2018","66 and older","no migration background","","","","","1"
"No, never","2018","35-65 y.","indirect migration background","","","","","1"
"No, never","2018","35-65 y.","direct migration background","","","","","1"
"No, never","2018","66 and older","indirect migration background","","","","","1"
"No, never","2018","35-65 y.","no migration background","","","","","1"
"No, never","2018","66 and older","direct migration background","","","","","1"
"Rarely","2018","16-34 y.","no migration background","","","","","5"
"Rarely","2018","16-34 y.","direct migration background","","","","","5"
"Rarely","2018","16-34 y.","indirect migration background","","","","","5"
"Rarely","2018","35-65 y.","indirect migration background","","","","","5"
"Rarely","2018","66 and older","no migration background","","","","","5"
"Rarely","2018","66 and older","direct migration background","","","","","5"
"Rarely","2018","66 and older","indirect migration background","","","","","5"
"Rarely","2018","35-65 y.","no migration background","","","","","5"
"Rarely","2018","35-65 y.","direct migration background","","","","","5"
"Yes, every 2 weeks","2018","66 and older","no migration background","","","","","3"
"Yes, every 2 weeks","2018","16-34 y.","indirect migration background","","","","","3"
"Yes, every 2 weeks","2018","35-65 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2018","35-65 y.","indirect migration background","","","","","3"
"Yes, every 2 weeks","2018","66 and older","direct migration background","","","","","3"
"Yes, every 2 weeks","2018","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2018","16-34 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2018","16-34 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2018","35-65 y.","no migration background","","","","","3"
"Yes, every 3-4 weeks","2018","16-34 y.","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2018","16-34 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2018","35-65 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2018","16-34 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2018","35-65 y.","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2018","35-65 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2018","66 and older","no migration background","","","","","4"
"Yes, every 3-4 weeks","2018","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2018","66 and older","indirect migration background","","","","","4"
"Yes, every week","2018","66 and older","direct migration background","","","","","2"
"Yes, every week","2018","16-34 y.","no migration background","","","","","2"
"Yes, every week","2018","16-34 y.","direct migration background","","","","","2"
"Yes, every week","2018","16-34 y.","indirect migration background","","","","","2"
"Yes, every week","2018","35-65 y.","no migration background","","","","","2"
"Yes, every week","2018","35-65 y.","direct migration background","","","","","2"
"Yes, every week","2018","35-65 y.","indirect migration background","","","","","2"
"Yes, every week","2018","66 and older","no migration background","","","","","2"
"Yes, every week","2018","66 and older","indirect migration background","","","","","2"
"No, never","2019","16-34 y.","no migration background","1672","0.63946806133447","0.620979816422062","0.657956306246879","1"
"No, never","2019","16-34 y.","direct migration background","350","0.680970146376283","0.640985566397925","0.720954726354641","1"
"No, never","2019","16-34 y.","indirect migration background","363","0.66812642937993","0.628483648903372","0.707769209856489","1"
"No, never","2019","35-65 y.","no migration background","5772","0.615993218196399","0.606353634454417","0.625632801938381","1"
"No, never","2019","35-65 y.","direct migration background","1279","0.639510321179105","0.618264731676391","0.660755910681819","1"
"No, never","2019","35-65 y.","indirect migration background","387","0.602784379018","0.565760579535565","0.639808178500434","1"
"No, never","2019","66 and older","no migration background","353","0.629621138540793","0.590046876696526","0.669195400385061","1"
"No, never","2019","66 and older","direct migration background","33","0.77447455473372","0.664023950121702","0.884925159345737","1"
"No, never","2019","66 and older","indirect migration background","5","","","","1"
"Rarely","2019","16-34 y.","no migration background","318","0.13092768132573","0.1179392087564","0.143916153895059","5"
"Rarely","2019","16-34 y.","direct migration background","52","0.109158490157037","0.0824073792322461","0.135909601081829","5"
"Rarely","2019","16-34 y.","indirect migration background","44","0.0855886231404507","0.0620366510435436","0.109140595237358","5"
"Rarely","2019","35-65 y.","no migration background","1727","0.173002344644729","0.165505491533929","0.18049919775553","5"
"Rarely","2019","35-65 y.","direct migration background","238","0.114746789789119","0.100644078444213","0.128849501134024","5"
"Rarely","2019","35-65 y.","indirect migration background","115","0.167014176573418","0.138792532884693","0.195235820262144","5"
"Rarely","2019","66 and older","no migration background","125","0.229466133786091","0.195006929753672","0.26392533781851","5"
"Rarely","2019","66 and older","direct migration background","10","","","","5"
"Rarely","2019","66 and older","indirect migration background","2","","","","5"
"Yes, every 2 weeks","2019","16-34 y.","direct migration background","56","0.105154259687266","0.0788394422033025","0.13146907717123","3"
"Yes, every 2 weeks","2019","16-34 y.","no migration background","259","0.109224911903076","0.0972144622376584","0.121235361568494","3"
"Yes, every 2 weeks","2019","35-65 y.","direct migration background","229","0.117232755002785","0.102998125094514","0.131467384911057","3"
"Yes, every 2 weeks","2019","35-65 y.","indirect migration background","68","0.101822301003091","0.0789405414127344","0.124704060593448","3"
"Yes, every 2 weeks","2019","66 and older","no migration background","30","0.0503869045027082","0.0324609510906322","0.0683128579147841","3"
"Yes, every 2 weeks","2019","16-34 y.","indirect migration background","79","0.147425812673663","0.117578770251466","0.177272855095859","3"
"Yes, every 2 weeks","2019","35-65 y.","no migration background","901","0.0865357962044735","0.0809633673610163","0.0921082250479308","3"
"Yes, every 2 weeks","2019","66 and older","direct migration background","3","","","","3"
"Yes, every 2 weeks","2019","66 and older","indirect migration background","","","","","3"
"Yes, every 3-4 weeks","2019","16-34 y.","no migration background","164","0.0578305949057989","0.0488427056386264","0.0668184841729715","4"
"Yes, every 3-4 weeks","2019","35-65 y.","no migration background","656","0.0608031801015291","0.0560668460899637","0.0655395141130945","4"
"Yes, every 3-4 weeks","2019","16-34 y.","direct migration background","19","","","","4"
"Yes, every 3-4 weeks","2019","16-34 y.","indirect migration background","20","","","","4"
"Yes, every 3-4 weeks","2019","66 and older","no migration background","26","","","","4"
"Yes, every 3-4 weeks","2019","35-65 y.","direct migration background","94","0.0521814749555492","0.0423409252085735","0.0620220247025249","4"
"Yes, every 3-4 weeks","2019","35-65 y.","indirect migration background","45","0.0539302207001772","0.0368393371675589","0.0710211042327955","4"
"Yes, every 3-4 weeks","2019","66 and older","indirect migration background","1","","","","4"
"Yes, every 3-4 weeks","2019","66 and older","direct migration background","5","","","","4"
"Yes, every week","2019","16-34 y.","no migration background","178","0.0625487505309246","0.0532248410204485","0.0718726600414007","2"
"Yes, every week","2019","16-34 y.","direct migration background","45","0.0742681833274633","0.0517746937925521","0.0967616728623746","2"
"Yes, every week","2019","16-34 y.","indirect migration background","36","0.0649830287411769","0.0442311142516148","0.085734943230739","2"
"Yes, every week","2019","35-65 y.","indirect migration background","56","0.0744489227053137","0.0545872310596536","0.0943106143509738","2"
"Yes, every week","2019","66 and older","no migration background","38","0.0509795316241287","0.0329540952682234","0.069004967980034","2"
"Yes, every week","2019","66 and older","direct migration background","4","","","","2"
"Yes, every week","2019","35-65 y.","no migration background","723","0.0636654608528689","0.058826319218836","0.0685046024869018","2"
"Yes, every week","2019","35-65 y.","direct migration background","122","0.0763286590734419","0.0645796526744787","0.0880776654724051","2"
"Yes, every week","2019","66 and older","indirect migration background","1","","","","2"
