"plb0219","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Yes, every 3-4 weeks","2007","indirect migration background","Female","14","","",""
"Rarely","2007","no migration background","Male","1192","0.235648106628596","0.223919599161712","0.24737661409548"
"Rarely","2007","no migration background","Female","669","0.144948972043067","0.134706154612954","0.155191789473181"
"Rarely","2007","direct migration background","Male","76","0.140654572806899","0.112113422259441","0.169195723354357"
"Rarely","2007","direct migration background","Female","53","0.121054997288309","0.0920547188160686","0.15005527576055"
"Rarely","2007","indirect migration background","Male","37","0.160736902281984","0.115299019034475","0.206174785529493"
"Rarely","2007","indirect migration background","Female","26","","",""
"No, never","2008","no migration background","Male","","","",""
"No, never","2008","no migration background","Female","","","",""
"No, never","2008","direct migration background","Male","","","",""
"No, never","2008","direct migration background","Female","","","",""
"No, never","2008","indirect migration background","Male","","","",""
"No, never","2008","indirect migration background","Female","","","",""
"Yes, every week","2008","no migration background","Male","","","",""
"Yes, every week","2008","no migration background","Female","","","",""
"Yes, every week","2008","direct migration background","Male","","","",""
"Yes, every week","2008","direct migration background","Female","","","",""
"Yes, every week","2008","indirect migration background","Male","","","",""
"Yes, every week","2008","indirect migration background","Female","","","",""
"Yes, every 2 weeks","2008","no migration background","Male","","","",""
"Yes, every 2 weeks","2008","no migration background","Female","","","",""
"Yes, every 2 weeks","2008","direct migration background","Male","","","",""
"Yes, every 2 weeks","2008","direct migration background","Female","","","",""
"Yes, every 2 weeks","2008","indirect migration background","Male","","","",""
"Yes, every 2 weeks","2008","indirect migration background","Female","","","",""
"Yes, every 3-4 weeks","2008","no migration background","Male","","","",""
"Yes, every 3-4 weeks","2008","no migration background","Female","","","",""
"Yes, every 3-4 weeks","2008","direct migration background","Male","","","",""
"Yes, every 3-4 weeks","2008","direct migration background","Female","","","",""
"Yes, every 3-4 weeks","2008","indirect migration background","Male","","","",""
"Yes, every 3-4 weeks","2008","indirect migration background","Female","","","",""
"Rarely","2008","no migration background","Male","","","",""
"Rarely","2008","no migration background","Female","","","",""
"Rarely","2008","direct migration background","Male","","","",""
"Rarely","2008","direct migration background","Female","","","",""
"Rarely","2008","indirect migration background","Male","","","",""
"Rarely","2008","indirect migration background","Female","","","",""
"No, never","2009","no migration background","Male","2391","0.527968695326842","0.513253117471264","0.54268427318242"
"No, never","2009","no migration background","Female","2626","0.635322825765144","0.620614356841644","0.650031294688644"
"No, never","2009","direct migration background","Male","274","0.604203767880016","0.557928708222767","0.650478827537266"
"No, never","2009","direct migration background","Female","291","0.68101242649983","0.63675280534042","0.725272047659241"
"No, never","2009","indirect migration background","Male","154","0.649764444724991","0.588901890091888","0.710626999358094"
"No, never","2009","indirect migration background","Female","139","0.642947847342667","0.57783448461471","0.708061210070624"
"Yes, every week","2009","no migration background","Male","324","0.0775469161619177","0.0696629955404207","0.0854308367834146"
"Yes, every week","2009","no migration background","Female","279","0.0630472081763373","0.055620305511314","0.0704741108413606"
"Yes, every week","2009","direct migration background","Male","38","0.0921211947112246","0.0647550786501358","0.119487310772313"
"Yes, every week","2009","direct migration background","Female","20","","",""
"Yes, every week","2009","indirect migration background","Male","22","","",""
"Yes, every week","2009","indirect migration background","Female","8","","",""
"Yes, every 2 weeks","2009","no migration background","Male","366","0.0876666240686746","0.0793301624228239","0.0960030857145254"
"Yes, every 2 weeks","2009","no migration background","Female","379","0.0853401678666564","0.0768028294439097","0.0938775062894031"
"Yes, every 2 weeks","2009","direct migration background","Male","23","","",""
"Yes, every 2 weeks","2009","direct migration background","Female","46","0.103082975459668","0.074208580137549","0.131957370781787"
"Yes, every 2 weeks","2009","indirect migration background","Male","10","","",""
"Yes, every 2 weeks","2009","indirect migration background","Female","26","","",""
"Yes, every 3-4 weeks","2009","no migration background","Male","272","0.0610827148231187","0.0540234306272878","0.0681419990189495"
"Yes, every 3-4 weeks","2009","no migration background","Female","205","0.0552279941320531","0.0482479351805599","0.0622080530835463"
"Yes, every 3-4 weeks","2009","direct migration background","Male","32","0.0939581556815507","0.0663485112068746","0.121567800156227"
"Yes, every 3-4 weeks","2009","direct migration background","Female","16","","",""
"Yes, every 3-4 weeks","2009","indirect migration background","Male","15","","",""
"Yes, every 3-4 weeks","2009","indirect migration background","Female","11","","",""
"Rarely","2009","no migration background","Male","1068","0.245735049619447","0.233044414727893","0.258425684511001"
"Rarely","2009","no migration background","Female","625","0.16106180405981","0.149829283791821","0.172294324327798"
"Rarely","2009","direct migration background","Male","62","0.148624989375178","0.11496408248196","0.182285896268396"
"Rarely","2009","direct migration background","Female","53","0.116629341834179","0.0861490803266884","0.147109603341669"
"Rarely","2009","indirect migration background","Male","35","0.148956103469046","0.103530864383623","0.194381342554469"
"Rarely","2009","indirect migration background","Female","24","","",""
"No, never","2010","no migration background","Male","966","0.549063590403527","0.526303146565753","0.571824034241301"
"No, never","2010","no migration background","Female","1048","0.625524344039244","0.602598247648946","0.648450440429541"
"No, never","2010","direct migration background","Male","262","0.550073057659216","0.505979529696265","0.594166585622168"
"No, never","2010","direct migration background","Female","130","0.570311439518907","0.505771759371445","0.634851119666369"
"No, never","2010","indirect migration background","Male","79","0.51252197504651","0.432531877118836","0.592512072974185"
"No, never","2010","indirect migration background","Female","62","0.593034213540475","0.500382162466158","0.685686264614791"
"Yes, every week","2010","no migration background","Male","124","0.0598260935157191","0.0489778063688639","0.0706743806625744"
"Yes, every week","2010","no migration background","Female","109","0.0616988429306871","0.0503014414570802","0.0730962444042939"
"Yes, every week","2010","direct migration background","Male","39","0.059817732782943","0.03879860630451","0.0808368592613759"
"Yes, every week","2010","direct migration background","Female","25","","",""
"Yes, every week","2010","indirect migration background","Male","12","","",""
"Yes, every week","2010","indirect migration background","Female","10","","",""
"Yes, every 2 weeks","2010","no migration background","Male","185","0.101962380072635","0.0881210125646868","0.115803747580583"
"Yes, every 2 weeks","2010","no migration background","Female","201","0.117999114136274","0.102717469545385","0.133280758727163"
"Yes, every 2 weeks","2010","direct migration background","Male","59","0.115595592470688","0.0872562513909567","0.143934933550419"
"Yes, every 2 weeks","2010","direct migration background","Female","27","","",""
"Yes, every 2 weeks","2010","indirect migration background","Male","21","","",""
"Yes, every 2 weeks","2010","indirect migration background","Female","18","","",""
"Yes, every 3-4 weeks","2010","no migration background","Male","139","0.0711565491933419","0.0593970059516952","0.0829160924349886"
"Yes, every 3-4 weeks","2010","no migration background","Female","87","0.0426969082406646","0.0331201360719992","0.0522736804093299"
"Yes, every 3-4 weeks","2010","direct migration background","Male","39","0.0946344555483831","0.0686908527458801","0.120578058350886"
"Yes, every 3-4 weeks","2010","direct migration background","Female","14","","",""
"Yes, every 3-4 weeks","2010","indirect migration background","Male","10","","",""
"Yes, every 3-4 weeks","2010","indirect migration background","Female","6","","",""
"Rarely","2010","no migration background","Male","422","0.217991386814777","0.199105508462999","0.236877265166555"
"Rarely","2010","no migration background","Female","267","0.15208079065313","0.135070543304559","0.169091038001702"
"Rarely","2010","direct migration background","Male","90","0.17987916153877","0.145836538777644","0.213921784299896"
"Rarely","2010","direct migration background","Female","30","0.14220562095271","0.0966707771657024","0.187740464739717"
"Rarely","2010","indirect migration background","Male","28","","",""
"Rarely","2010","indirect migration background","Female","12","","",""
"No, never","2011","no migration background","Male","3820","0.551240253862121","0.539503070080031","0.56297743764421"
"No, never","2011","no migration background","Female","4472","0.644652568622188","0.633450825208035","0.655854312036341"
"No, never","2011","direct migration background","Male","589","0.641659435835514","0.611005627097843","0.672313244573185"
"No, never","2011","direct migration background","Female","560","0.70885079200789","0.677507360286927","0.740194223728854"
"No, never","2011","indirect migration background","Male","229","0.56695625306674","0.51916881745043","0.614743688683051"
"No, never","2011","indirect migration background","Female","250","0.640784585950999","0.5935906338055","0.687978538096497"
"Yes, every week","2011","no migration background","Male","519","0.0726120930567254","0.0664882833334638","0.0787359027799869"
"Yes, every week","2011","no migration background","Female","484","0.0699673689091571","0.0639971117757756","0.0759376260425385"
"Yes, every week","2011","direct migration background","Male","72","0.0664196825776231","0.0505009529843383","0.0823384121709079"
"Yes, every week","2011","direct migration background","Female","59","0.0812936365109844","0.0624385746508617","0.100148698371107"
"Yes, every week","2011","indirect migration background","Male","29","","",""
"Yes, every week","2011","indirect migration background","Female","28","","",""
"Yes, every 2 weeks","2011","no migration background","Male","598","0.0830525694336082","0.0765402566490656","0.0895648822181508"
"Yes, every 2 weeks","2011","no migration background","Female","753","0.105620803437312","0.0984274442028701","0.112814162671754"
"Yes, every 2 weeks","2011","direct migration background","Male","82","0.0998347861701141","0.0806707834758944","0.118998788864334"
"Yes, every 2 weeks","2011","direct migration background","Female","89","0.0981861965426301","0.0776559113941515","0.118716481691109"
"Yes, every 2 weeks","2011","indirect migration background","Male","50","0.12819004591515","0.0959488510538294","0.160431240776471"
"Yes, every 2 weeks","2011","indirect migration background","Female","39","0.126281237348437","0.0936068026198602","0.158955672077015"
"Yes, every 3-4 weeks","2011","no migration background","Male","457","0.0552071260810155","0.0498175777565062","0.0605966744055249"
"Yes, every 3-4 weeks","2011","no migration background","Female","355","0.0480864353319881","0.0430791052463789","0.0530937654175974"
"Yes, every 3-4 weeks","2011","direct migration background","Male","63","0.0645960535703829","0.0488820533044581","0.0803100538363077"
"Yes, every 3-4 weeks","2011","direct migration background","Female","28","","",""
"Yes, every 3-4 weeks","2011","indirect migration background","Male","35","0.0998411355936934","0.0709285186417019","0.128753752545685"
"Yes, every 3-4 weeks","2011","indirect migration background","Female","24","","",""
"Rarely","2011","no migration background","Male","1504","0.23788795756653","0.227839899482791","0.247936015650269"
"Rarely","2011","no migration background","Female","949","0.131672823699355","0.123759007802616","0.139586639596093"
"Rarely","2011","direct migration background","Male","134","0.127490041846366","0.106169045672007","0.148811038020724"
"Rarely","2011","direct migration background","Female","71","0.0819961475974659","0.0630670330300065","0.100925262164925"
"Rarely","2011","indirect migration background","Male","70","0.127812604750087","0.0956119419538622","0.160013267546312"
"Rarely","2011","indirect migration background","Female","56","0.134112058364224","0.100591009620379","0.16763310710807"
"No, never","2012","no migration background","Male","1104","0.599383934011259","0.577321155061301","0.621446712961217"
"No, never","2012","no migration background","Female","1435","0.64675668213345","0.626927334081411","0.66658603018549"
"No, never","2012","direct migration background","Male","249","0.606224456699423","0.559217174894871","0.653231738503975"
"No, never","2012","direct migration background","Female","201","0.71258195914841","0.661625270221656","0.763538648075165"
"No, never","2012","indirect migration background","Male","89","0.634467351796942","0.55790874474242","0.711025958851464"
"No, never","2012","indirect migration background","Female","93","0.654538248606904","0.580392364538783","0.728684132675025"
"Yes, every week","2012","no migration background","Male","145","0.0722664756538391","0.0606084891904968","0.0839244621171814"
"Yes, every week","2012","no migration background","Female","180","0.0748004666082006","0.063886795749221","0.0857141374671802"
"Yes, every week","2012","direct migration background","Male","30","0.0715863021304968","0.0467829843839471","0.0963896198770465"
"Yes, every week","2012","direct migration background","Female","22","","",""
"Yes, every week","2012","indirect migration background","Male","8","","",""
"Yes, every week","2012","indirect migration background","Female","10","","",""
"Yes, every 2 weeks","2012","no migration background","Male","161","0.0766614057802173","0.0646826318786328","0.0886401796818019"
"Yes, every 2 weeks","2012","no migration background","Female","241","0.102056138533327","0.0894974249817484","0.114614852084905"
"Yes, every 2 weeks","2012","direct migration background","Male","44","0.119977064290511","0.0887148199060413","0.15123930867498"
"Yes, every 2 weeks","2012","direct migration background","Female","32","0.114668419898894","0.0787926137421371","0.150544226055651"
"Yes, every 2 weeks","2012","indirect migration background","Male","25","","",""
"Yes, every 2 weeks","2012","indirect migration background","Female","23","","",""
"Yes, every 3-4 weeks","2012","no migration background","Male","132","0.068494799307165","0.0571220641767962","0.0798675344375338"
"Yes, every 3-4 weeks","2012","no migration background","Female","101","0.0453665867532049","0.0367330773934719","0.0540000961129378"
"Yes, every 3-4 weeks","2012","direct migration background","Male","28","","",""
"Yes, every 3-4 weeks","2012","direct migration background","Female","23","","",""
"Yes, every 3-4 weeks","2012","indirect migration background","Male","6","","",""
"Yes, every 3-4 weeks","2012","indirect migration background","Female","11","","",""
"Rarely","2012","no migration background","Male","353","0.18319338524752","0.165777000869111","0.200609769625928"
"Rarely","2012","no migration background","Female","275","0.131020125971818","0.117021840007317","0.145018411936319"
"Rarely","2012","direct migration background","Male","64","0.125513721348087","0.0936390184477579","0.157388424248416"
"Rarely","2012","direct migration background","Female","25","","",""
"Rarely","2012","indirect migration background","Male","24","","",""
"Rarely","2012","indirect migration background","Female","21","","",""
"No, never","2013","no migration background","Male","3484","0.549735805379962","0.537382592260251","0.562089018499672"
"No, never","2013","no migration background","Female","4345","0.637542069400758","0.626054699539603","0.649029439261914"
"No, never","2013","direct migration background","Male","489","0.663618861533074","0.630713953687255","0.696523769378894"
"No, never","2013","direct migration background","Female","502","0.603369039911173","0.568634990169304","0.638103089653043"
"No, never","2013","indirect migration background","Male","247","0.640433062280739","0.593464998997701","0.687401125563777"
"No, never","2013","indirect migration background","Female","245","0.658097782766433","0.611378445827023","0.704817119705843"
"Yes, every week","2013","no migration background","Male","405","0.053657097258382","0.0480620073798281","0.0592521871369359"
"Yes, every week","2013","no migration background","Female","428","0.065835563588027","0.0599093224228206","0.0717618047532334"
"Yes, every week","2013","direct migration background","Male","58","0.0716438814675273","0.0536828052576761","0.0896049576773786"
"Yes, every week","2013","direct migration background","Female","52","0.0832161630418877","0.0636047935118241","0.102827532571951"
"Yes, every week","2013","indirect migration background","Male","35","0.078227540142329","0.0519449836864409","0.104510096598217"
"Yes, every week","2013","indirect migration background","Female","30","0.050424005864431","0.0288721817646578","0.0719758299642042"
"Yes, every 2 weeks","2013","no migration background","Male","528","0.0902557107214388","0.0831408528379361","0.0973705686049415"
"Yes, every 2 weeks","2013","no migration background","Female","699","0.101136761438922","0.09393168308402","0.108341839793824"
"Yes, every 2 weeks","2013","direct migration background","Male","83","0.0802162715713769","0.0612989521283991","0.0991335910143547"
"Yes, every 2 weeks","2013","direct migration background","Female","97","0.140753271745706","0.116061127904398","0.165445415587014"
"Yes, every 2 weeks","2013","indirect migration background","Male","44","0.106018604231349","0.075886380295106","0.136150828167591"
"Yes, every 2 weeks","2013","indirect migration background","Female","49","0.107080265306573","0.0766250672537372","0.137535463359409"
"Yes, every 3-4 weeks","2013","no migration background","Male","369","0.0574747600294659","0.0516957387550202","0.0632537813039117"
"Yes, every 3-4 weeks","2013","no migration background","Female","316","0.0513758068608794","0.0461003047252723","0.0566513089964866"
"Yes, every 3-4 weeks","2013","direct migration background","Male","47","0.0580528028572165","0.0417669549085528","0.0743386508058801"
"Yes, every 3-4 weeks","2013","direct migration background","Female","30","0.0393366458808014","0.0255342372605797","0.0531390545010232"
"Yes, every 3-4 weeks","2013","indirect migration background","Male","21","","",""
"Yes, every 3-4 weeks","2013","indirect migration background","Female","19","","",""
"Rarely","2013","no migration background","Male","1445","0.248876626610752","0.238141259275443","0.25961199394606"
"Rarely","2013","no migration background","Female","939","0.144109798711413","0.135717263729811","0.152502333693016"
"Rarely","2013","direct migration background","Male","115","0.126468182570805","0.103320074400853","0.149616290740757"
"Rarely","2013","direct migration background","Female","81","0.133324879420431","0.109189486696643","0.15746027214422"
"Rarely","2013","indirect migration background","Male","54","0.115897297445842","0.0845670432679076","0.147227551623776"
"Rarely","2013","indirect migration background","Female","53","0.135320060293797","0.101629418735358","0.169010701852237"
"No, never","2014","no migration background","Male","","","",""
"No, never","2014","no migration background","Female","","","",""
"No, never","2014","direct migration background","Male","","","",""
"No, never","2014","direct migration background","Female","","","",""
"No, never","2014","indirect migration background","Male","","","",""
"No, never","2014","indirect migration background","Female","","","",""
"Yes, every week","2014","no migration background","Male","","","",""
"Yes, every week","2014","no migration background","Female","","","",""
"Yes, every week","2014","direct migration background","Male","","","",""
"Yes, every week","2014","direct migration background","Female","","","",""
"Yes, every week","2014","indirect migration background","Male","","","",""
"Yes, every week","2014","indirect migration background","Female","","","",""
"Yes, every 2 weeks","2014","no migration background","Male","","","",""
"Yes, every 2 weeks","2014","no migration background","Female","","","",""
"Yes, every 2 weeks","2014","direct migration background","Male","","","",""
"Yes, every 2 weeks","2014","direct migration background","Female","","","",""
"Yes, every 2 weeks","2014","indirect migration background","Male","","","",""
"Yes, every 2 weeks","2014","indirect migration background","Female","","","",""
"Yes, every 3-4 weeks","2014","no migration background","Male","","","",""
"Yes, every 3-4 weeks","2014","no migration background","Female","","","",""
"Yes, every 3-4 weeks","2014","direct migration background","Male","","","",""
"Yes, every 3-4 weeks","2014","direct migration background","Female","","","",""
"Yes, every 3-4 weeks","2014","indirect migration background","Male","","","",""
"Yes, every 3-4 weeks","2014","indirect migration background","Female","","","",""
"Rarely","2014","no migration background","Male","","","",""
"Rarely","2014","no migration background","Female","","","",""
"Rarely","2014","direct migration background","Male","","","",""
"Rarely","2014","direct migration background","Female","","","",""
"Rarely","2014","indirect migration background","Male","","","",""
"Rarely","2014","indirect migration background","Female","","","",""
"No, never","2015","no migration background","Male","3067","0.563383553390583","0.550203997719551","0.576563109061615"
"No, never","2015","no migration background","Female","3710","0.626359357635101","0.613973156643304","0.638745558626898"
"No, never","2015","direct migration background","Male","865","0.591944894264494","0.566126542059204","0.617763246469784"
"No, never","2015","direct migration background","Female","882","0.619038677981891","0.59292016854061","0.645157187423172"
"No, never","2015","indirect migration background","Male","333","0.579444185958968","0.538263253357881","0.620625118560055"
"No, never","2015","indirect migration background","Female","341","0.626735552116441","0.585322911214143","0.668148193018738"
"Yes, every week","2015","no migration background","Male","339","0.0568868077601928","0.0507316904728812","0.0630419250475045"
"Yes, every week","2015","no migration background","Female","396","0.0642833445647721","0.0580039077457831","0.0705627813837611"
"Yes, every week","2015","direct migration background","Male","119","0.0926495687798226","0.077418243271458","0.107880894288187"
"Yes, every week","2015","direct migration background","Female","88","0.0811703244043077","0.0664822385985415","0.095858410210074"
"Yes, every week","2015","indirect migration background","Male","48","0.0968940254357346","0.0722167954108048","0.121571255460664"
"Yes, every week","2015","indirect migration background","Female","30","0.0397195182869777","0.0229977005764777","0.0564413359974777"
"Yes, every 2 weeks","2015","no migration background","Male","464","0.0841697039740809","0.0767917822363217","0.0915476257118402"
"Yes, every 2 weeks","2015","no migration background","Female","623","0.109234355515576","0.101247779351978","0.117220931679173"
"Yes, every 2 weeks","2015","direct migration background","Male","130","0.0892902363357551","0.074309938226781","0.104270534444729"
"Yes, every 2 weeks","2015","direct migration background","Female","166","0.137649037081875","0.119118941109574","0.156179133054176"
"Yes, every 2 weeks","2015","indirect migration background","Male","57","0.11812528645113","0.0912004276468541","0.145050145255405"
"Yes, every 2 weeks","2015","indirect migration background","Female","73","0.175109431447346","0.142568094966629","0.207650767928063"
"Yes, every 3-4 weeks","2015","no migration background","Male","338","0.0638697145659289","0.057371945434002","0.0703674836978559"
"Yes, every 3-4 weeks","2015","no migration background","Female","271","0.0488391123292026","0.0433207507197403","0.0543574739386648"
"Yes, every 3-4 weeks","2015","direct migration background","Male","97","0.0842869931599126","0.0696925192180387","0.0988814671017865"
"Yes, every 3-4 weeks","2015","direct migration background","Female","55","0.0478156877494837","0.0363395760185487","0.0592917994804187"
"Yes, every 3-4 weeks","2015","indirect migration background","Male","26","","",""
"Yes, every 3-4 weeks","2015","indirect migration background","Female","22","","",""
"Rarely","2015","no migration background","Male","1232","0.231690220309214","0.220478540843695","0.242901899774733"
"Rarely","2015","no migration background","Female","860","0.151283829955349","0.142109448853513","0.160458211057185"
"Rarely","2015","direct migration background","Male","181","0.141828307460016","0.123501069197483","0.160155545722548"
"Rarely","2015","direct migration background","Female","137","0.114326272782443","0.0972119800173335","0.131440565547552"
"Rarely","2015","indirect migration background","Male","88","0.164720265103793","0.133776864427621","0.195663665779965"
"Rarely","2015","indirect migration background","Female","58","0.104252900198594","0.0780879913821667","0.130417809015021"
"No, never","2016","no migration background","Male","","","",""
"No, never","2016","no migration background","Female","","","",""
"No, never","2016","direct migration background","Male","","","",""
"No, never","2016","direct migration background","Female","","","",""
"No, never","2016","indirect migration background","Male","","","",""
"No, never","2016","indirect migration background","Female","","","",""
"Yes, every week","2016","no migration background","Male","","","",""
"Yes, every week","2016","no migration background","Female","","","",""
"Yes, every week","2016","direct migration background","Male","","","",""
"Yes, every week","2016","direct migration background","Female","","","",""
"Yes, every week","2016","indirect migration background","Male","","","",""
"Yes, every week","2016","indirect migration background","Female","","","",""
"Yes, every 2 weeks","2016","no migration background","Male","","","",""
"Yes, every 2 weeks","2016","no migration background","Female","","","",""
"Yes, every 2 weeks","2016","direct migration background","Male","","","",""
"Yes, every 2 weeks","2016","direct migration background","Female","","","",""
"Yes, every 2 weeks","2016","indirect migration background","Male","","","",""
"Yes, every 2 weeks","2016","indirect migration background","Female","","","",""
"Yes, every 3-4 weeks","2016","no migration background","Male","","","",""
"Yes, every 3-4 weeks","2016","no migration background","Female","","","",""
"Yes, every 3-4 weeks","2016","direct migration background","Male","","","",""
"Yes, every 3-4 weeks","2016","direct migration background","Female","","","",""
"Yes, every 3-4 weeks","2016","indirect migration background","Male","","","",""
"Yes, every 3-4 weeks","2016","indirect migration background","Female","","","",""
"Rarely","2016","no migration background","Male","","","",""
"Rarely","2016","no migration background","Female","","","",""
"Rarely","2016","direct migration background","Male","","","",""
"Rarely","2016","direct migration background","Female","","","",""
"Rarely","2016","indirect migration background","Male","","","",""
"Rarely","2016","indirect migration background","Female","","","",""
"No, never","2017","no migration background","Male","3536","0.59179255353907","0.579399368329771","0.60418573874837"
"No, never","2017","no migration background","Female","4214","0.65168518129429","0.640045395935208","0.663324966653373"
"No, never","2017","direct migration background","Male","951","0.606423066840084","0.581431830703117","0.63141430297705"
"No, never","2017","direct migration background","Female","1028","0.688136266804587","0.664518951147766","0.711753582461407"
