"plb0219","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes, every week","2005","Not Working","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2005","Full Time","(0) in school","","","",""
"Yes, every 2 weeks","2005","Full Time","(1a) inadequately completed","4","","",""
"Yes, every 2 weeks","2005","Full Time","(1b) general elementary school","27","","",""
"Yes, every 2 weeks","2005","Full Time","(1c) basic vocational qualification","140","0.0912830357162774","0.0772537996905069","0.105312271742048"
"Yes, every 2 weeks","2005","Full Time","(2b) intermediate general qualification","14","","",""
"Yes, every 2 weeks","2005","Full Time","(2a) intermediate vocational","222","0.115280923936472","0.101660753125453","0.128901094747491"
"Yes, every 2 weeks","2005","Full Time","(2c_gen) general maturity certificate","8","","",""
"Yes, every 2 weeks","2005","Full Time","(2c_voc) vocational maturity certificate","44","0.0700853325271114","0.0508264394221326","0.0893442256320902"
"Yes, every 2 weeks","2005","Full Time","(3a) lower tertiary education","47","0.0726926686212501","0.054553479125574","0.0908318581169263"
"Yes, every 2 weeks","2005","Full Time","(3b) higher tertiary education","102","0.0872332658801366","0.0719819898082942","0.102484541951979"
"Yes, every 2 weeks","2005","Part Time","(0) in school","4","","",""
"Yes, every 2 weeks","2005","Part Time","(1a) inadequately completed","1","","",""
"Yes, every 2 weeks","2005","Part Time","(1b) general elementary school","16","","",""
"Yes, every 2 weeks","2005","Part Time","(1c) basic vocational qualification","60","0.0756707430191394","0.0567683617115215","0.0945731243267574"
"Yes, every 2 weeks","2005","Part Time","(2b) intermediate general qualification","14","","",""
"Yes, every 2 weeks","2005","Part Time","(2a) intermediate vocational","88","0.0913155782906019","0.0732344819009945","0.109396674680209"
"Yes, every 2 weeks","2005","Part Time","(2c_gen) general maturity certificate","22","","",""
"Yes, every 2 weeks","2005","Part Time","(2c_voc) vocational maturity certificate","32","0.113253721465903","0.078477797505861","0.148029645425944"
"Yes, every 2 weeks","2005","Part Time","(3a) lower tertiary education","20","","",""
"Yes, every 2 weeks","2005","Part Time","(3b) higher tertiary education","27","","",""
"Yes, every 2 weeks","2005","Not Working","(0) in school","","","",""
"Yes, every 2 weeks","2005","Not Working","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2005","Not Working","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2005","Not Working","(1c) basic vocational qualification","3","","",""
"Yes, every 2 weeks","2005","Not Working","(2b) intermediate general qualification","2","","",""
"Yes, every 2 weeks","2005","Not Working","(2a) intermediate vocational","2","","",""
"Yes, every 2 weeks","2005","Not Working","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2005","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2005","Not Working","(3a) lower tertiary education","","","",""
"Yes, every 2 weeks","2005","Not Working","(3b) higher tertiary education","2","","",""
"Yes, every 3-4 weeks","2005","Full Time","(0) in school","","","",""
"Yes, every 3-4 weeks","2005","Full Time","(1a) inadequately completed","3","","",""
"Yes, every 3-4 weeks","2005","Full Time","(1b) general elementary school","17","","",""
"Yes, every 3-4 weeks","2005","Full Time","(1c) basic vocational qualification","91","0.0592588996600379","0.0477578754561523","0.0707599238639235"
"Yes, every 3-4 weeks","2005","Full Time","(2b) intermediate general qualification","8","","",""
"Yes, every 3-4 weeks","2005","Full Time","(2a) intermediate vocational","120","0.0690493371110157","0.0582363863922197","0.0798622878298117"
"Yes, every 3-4 weeks","2005","Full Time","(2c_gen) general maturity certificate","13","","",""
"Yes, every 3-4 weeks","2005","Full Time","(2c_voc) vocational maturity certificate","35","0.0466998232639681","0.0307825504524191","0.0626170960755172"
"Yes, every 3-4 weeks","2005","Full Time","(3a) lower tertiary education","40","0.0585306778589914","0.0421302345136673","0.0749311212043154"
"Yes, every 3-4 weeks","2005","Full Time","(3b) higher tertiary education","98","0.0799357406075911","0.0652780754487369","0.0945934057664454"
"Yes, every 3-4 weeks","2005","Part Time","(0) in school","2","","",""
"Yes, every 3-4 weeks","2005","Part Time","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2005","Part Time","(1b) general elementary school","7","","",""
"Yes, every 3-4 weeks","2005","Part Time","(1c) basic vocational qualification","19","","",""
"Yes, every 3-4 weeks","2005","Part Time","(2b) intermediate general qualification","3","","",""
"Yes, every 3-4 weeks","2005","Part Time","(2a) intermediate vocational","43","0.0497538834578764","0.0361056222034467","0.0634021447123062"
"Yes, every 3-4 weeks","2005","Part Time","(2c_gen) general maturity certificate","11","","",""
"Yes, every 3-4 weeks","2005","Part Time","(2c_voc) vocational maturity certificate","15","","",""
"Yes, every 3-4 weeks","2005","Part Time","(3a) lower tertiary education","6","","",""
"Yes, every 3-4 weeks","2005","Part Time","(3b) higher tertiary education","21","","",""
"Yes, every 3-4 weeks","2005","Not Working","(0) in school","1","","",""
"Yes, every 3-4 weeks","2005","Not Working","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2005","Not Working","(1b) general elementary school","2","","",""
"Yes, every 3-4 weeks","2005","Not Working","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2005","Not Working","(2b) intermediate general qualification","1","","",""
"Yes, every 3-4 weeks","2005","Not Working","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2005","Not Working","(2c_gen) general maturity certificate","","","",""
"Yes, every 3-4 weeks","2005","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 3-4 weeks","2005","Not Working","(3a) lower tertiary education","","","",""
"Yes, every 3-4 weeks","2005","Not Working","(3b) higher tertiary education","2","","",""
"Rarely","2005","Full Time","(0) in school","","","",""
"Rarely","2005","Full Time","(1a) inadequately completed","6","","",""
"Rarely","2005","Full Time","(1b) general elementary school","33","0.105581017636627","0.0713727824191025","0.139789252854153"
"Rarely","2005","Full Time","(1c) basic vocational qualification","287","0.172390964234514","0.153991951167116","0.190789977301913"
"Rarely","2005","Full Time","(2b) intermediate general qualification","16","","",""
"Rarely","2005","Full Time","(2a) intermediate vocational","452","0.215197551036529","0.197670858372489","0.232724243700568"
"Rarely","2005","Full Time","(2c_gen) general maturity certificate","23","","",""
"Rarely","2005","Full Time","(2c_voc) vocational maturity certificate","144","0.216353266075762","0.185290645176767","0.247415886974758"
"Rarely","2005","Full Time","(3a) lower tertiary education","217","0.278325681969842","0.247013885091806","0.309637478847877"
"Rarely","2005","Full Time","(3b) higher tertiary education","335","0.276590047914076","0.25241341986997","0.300766675958182"
"Rarely","2005","Part Time","(0) in school","5","","",""
"Rarely","2005","Part Time","(1a) inadequately completed","2","","",""
"Rarely","2005","Part Time","(1b) general elementary school","18","","",""
"Rarely","2005","Part Time","(1c) basic vocational qualification","83","0.101033917221782","0.0794939806693189","0.122573853774246"
"Rarely","2005","Part Time","(2b) intermediate general qualification","7","","",""
"Rarely","2005","Part Time","(2a) intermediate vocational","116","0.105841759691872","0.0865317940682531","0.125151725315491"
"Rarely","2005","Part Time","(2c_gen) general maturity certificate","21","","",""
"Rarely","2005","Part Time","(2c_voc) vocational maturity certificate","51","0.126442103201673","0.0899713735532506","0.162912832850095"
"Rarely","2005","Part Time","(3a) lower tertiary education","42","0.171275820386273","0.126000627824352","0.216551012948193"
"Rarely","2005","Part Time","(3b) higher tertiary education","88","0.225683832272124","0.186445166289706","0.264922498254543"
"Rarely","2005","Not Working","(0) in school","","","",""
"Rarely","2005","Not Working","(1a) inadequately completed","","","",""
"Rarely","2005","Not Working","(1b) general elementary school","1","","",""
"Rarely","2005","Not Working","(1c) basic vocational qualification","2","","",""
"Rarely","2005","Not Working","(2b) intermediate general qualification","2","","",""
"Rarely","2005","Not Working","(2a) intermediate vocational","2","","",""
"Rarely","2005","Not Working","(2c_gen) general maturity certificate","1","","",""
"Rarely","2005","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2005","Not Working","(3a) lower tertiary education","","","",""
"Rarely","2005","Not Working","(3b) higher tertiary education","4","","",""
"No, never","2006","Full Time","(0) in school","","","",""
"No, never","2006","Full Time","(1a) inadequately completed","","","",""
"No, never","2006","Full Time","(1b) general elementary school","","","",""
"No, never","2006","Full Time","(1c) basic vocational qualification","","","",""
"No, never","2006","Full Time","(2b) intermediate general qualification","","","",""
"No, never","2006","Full Time","(2a) intermediate vocational","","","",""
"No, never","2006","Full Time","(2c_gen) general maturity certificate","","","",""
"No, never","2006","Full Time","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","Full Time","(3a) lower tertiary education","","","",""
"No, never","2006","Full Time","(3b) higher tertiary education","","","",""
"No, never","2006","Part Time","(0) in school","","","",""
"No, never","2006","Part Time","(1a) inadequately completed","","","",""
"No, never","2006","Part Time","(1b) general elementary school","","","",""
"No, never","2006","Part Time","(1c) basic vocational qualification","","","",""
"No, never","2006","Part Time","(2b) intermediate general qualification","","","",""
"No, never","2006","Part Time","(2a) intermediate vocational","","","",""
"No, never","2006","Part Time","(2c_gen) general maturity certificate","","","",""
"No, never","2006","Part Time","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","Part Time","(3a) lower tertiary education","","","",""
"No, never","2006","Part Time","(3b) higher tertiary education","","","",""
"No, never","2006","Not Working","(0) in school","","","",""
"No, never","2006","Not Working","(1a) inadequately completed","","","",""
"No, never","2006","Not Working","(1b) general elementary school","","","",""
"No, never","2006","Not Working","(1c) basic vocational qualification","","","",""
"No, never","2006","Not Working","(2b) intermediate general qualification","","","",""
"No, never","2006","Not Working","(2a) intermediate vocational","","","",""
"No, never","2006","Not Working","(2c_gen) general maturity certificate","","","",""
"No, never","2006","Not Working","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","Not Working","(3a) lower tertiary education","","","",""
"No, never","2006","Not Working","(3b) higher tertiary education","","","",""
"Yes, every week","2006","Full Time","(0) in school","","","",""
"Yes, every week","2006","Full Time","(1a) inadequately completed","","","",""
"Yes, every week","2006","Full Time","(1b) general elementary school","","","",""
"Yes, every week","2006","Full Time","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","Full Time","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","Full Time","(2a) intermediate vocational","","","",""
"Yes, every week","2006","Full Time","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","Full Time","(3a) lower tertiary education","","","",""
"Yes, every week","2006","Full Time","(3b) higher tertiary education","","","",""
"Yes, every week","2006","Part Time","(0) in school","","","",""
"Yes, every week","2006","Part Time","(1a) inadequately completed","","","",""
"Yes, every week","2006","Part Time","(1b) general elementary school","","","",""
"Yes, every week","2006","Part Time","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","Part Time","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","Part Time","(2a) intermediate vocational","","","",""
"Yes, every week","2006","Part Time","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","Part Time","(3a) lower tertiary education","","","",""
"Yes, every week","2006","Part Time","(3b) higher tertiary education","","","",""
"Yes, every week","2006","Not Working","(0) in school","","","",""
"Yes, every week","2006","Not Working","(1a) inadequately completed","","","",""
"Yes, every week","2006","Not Working","(1b) general elementary school","","","",""
"Yes, every week","2006","Not Working","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","Not Working","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","Not Working","(2a) intermediate vocational","","","",""
"Yes, every week","2006","Not Working","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","Not Working","(3a) lower tertiary education","","","",""
"Yes, every week","2006","Not Working","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2006","Full Time","(0) in school","","","",""
"Yes, every 2 weeks","2006","Full Time","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2006","Full Time","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2006","Full Time","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2006","Full Time","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2006","Full Time","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2006","Full Time","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2006","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2006","Full Time","(3a) lower tertiary education","","","",""
"Yes, every 2 weeks","2006","Full Time","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2006","Part Time","(0) in school","","","",""
"Yes, every 2 weeks","2006","Part Time","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2006","Part Time","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2006","Part Time","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2006","Part Time","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2006","Part Time","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2006","Part Time","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2006","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2006","Part Time","(3a) lower tertiary education","","","",""
"Yes, every 2 weeks","2006","Part Time","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2006","Not Working","(0) in school","","","",""
"Yes, every 2 weeks","2006","Not Working","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2006","Not Working","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2006","Not Working","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2006","Not Working","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2006","Not Working","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2006","Not Working","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2006","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2006","Not Working","(3a) lower tertiary education","","","",""
"Yes, every 2 weeks","2006","Not Working","(3b) higher tertiary education","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(0) in school","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(1b) general elementary school","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(2b) intermediate general qualification","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(2c_gen) general maturity certificate","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(3a) lower tertiary education","","","",""
"Yes, every 3-4 weeks","2006","Full Time","(3b) higher tertiary education","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(0) in school","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(1b) general elementary school","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(2b) intermediate general qualification","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(2c_gen) general maturity certificate","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(3a) lower tertiary education","","","",""
"Yes, every 3-4 weeks","2006","Part Time","(3b) higher tertiary education","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(0) in school","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(1b) general elementary school","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(2b) intermediate general qualification","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(2c_gen) general maturity certificate","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(3a) lower tertiary education","","","",""
"Yes, every 3-4 weeks","2006","Not Working","(3b) higher tertiary education","","","",""
"Rarely","2006","Full Time","(0) in school","","","",""
"Rarely","2006","Full Time","(1a) inadequately completed","","","",""
"Rarely","2006","Full Time","(1b) general elementary school","","","",""
"Rarely","2006","Full Time","(1c) basic vocational qualification","","","",""
"Rarely","2006","Full Time","(2b) intermediate general qualification","","","",""
"Rarely","2006","Full Time","(2a) intermediate vocational","","","",""
"Rarely","2006","Full Time","(2c_gen) general maturity certificate","","","",""
"Rarely","2006","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2006","Full Time","(3a) lower tertiary education","","","",""
"Rarely","2006","Full Time","(3b) higher tertiary education","","","",""
"Rarely","2006","Part Time","(0) in school","","","",""
"Rarely","2006","Part Time","(1a) inadequately completed","","","",""
"Rarely","2006","Part Time","(1b) general elementary school","","","",""
"Rarely","2006","Part Time","(1c) basic vocational qualification","","","",""
"Rarely","2006","Part Time","(2b) intermediate general qualification","","","",""
"Rarely","2006","Part Time","(2a) intermediate vocational","","","",""
"Rarely","2006","Part Time","(2c_gen) general maturity certificate","","","",""
"Rarely","2006","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2006","Part Time","(3a) lower tertiary education","","","",""
"Rarely","2006","Part Time","(3b) higher tertiary education","","","",""
"Rarely","2006","Not Working","(0) in school","","","",""
"Rarely","2006","Not Working","(1a) inadequately completed","","","",""
"Rarely","2006","Not Working","(1b) general elementary school","","","",""
"Rarely","2006","Not Working","(1c) basic vocational qualification","","","",""
"Rarely","2006","Not Working","(2b) intermediate general qualification","","","",""
"Rarely","2006","Not Working","(2a) intermediate vocational","","","",""
"Rarely","2006","Not Working","(2c_gen) general maturity certificate","","","",""
"Rarely","2006","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2006","Not Working","(3a) lower tertiary education","","","",""
"Rarely","2006","Not Working","(3b) higher tertiary education","","","",""
"No, never","2007","Full Time","(0) in school","","","",""
"No, never","2007","Full Time","(1a) inadequately completed","26","","",""
"No, never","2007","Full Time","(1b) general elementary school","168","0.674829071253791","0.616761878035444","0.732896264472138"
"No, never","2007","Full Time","(1c) basic vocational qualification","996","0.629888628041","0.606340308183993","0.653436947898006"
"No, never","2007","Full Time","(2b) intermediate general qualification","97","0.640149809633467","0.56384920565039","0.716450413616545"
"No, never","2007","Full Time","(2a) intermediate vocational","1220","0.550655771984115","0.529560887648039","0.57175065632019"
"No, never","2007","Full Time","(2c_gen) general maturity certificate","85","0.543597011526761","0.464150947243551","0.623043075809972"
"No, never","2007","Full Time","(2c_voc) vocational maturity certificate","436","0.613677879864571","0.577812413306986","0.649543346422156"
"No, never","2007","Full Time","(3a) lower tertiary education","443","0.52859222411896","0.494108917258435","0.563075530979484"
"No, never","2007","Full Time","(3b) higher tertiary education","576","0.384090495731456","0.358354186352055","0.409826805110857"
"No, never","2007","Part Time","(0) in school","15","","",""
"No, never","2007","Part Time","(1a) inadequately completed","14","","",""
"No, never","2007","Part Time","(1b) general elementary school","179","0.786230932129074","0.733248527169903","0.839213337088246"
"No, never","2007","Part Time","(1c) basic vocational qualification","578","0.738232529279753","0.706708464053211","0.769756594506296"
"No, never","2007","Part Time","(2b) intermediate general qualification","64","0.541923452883503","0.446623772690016","0.637223133076991"
"No, never","2007","Part Time","(2a) intermediate vocational","741","0.703178964821734","0.675265054647289","0.731092874996179"
"No, never","2007","Part Time","(2c_gen) general maturity certificate","143","0.690331257605207","0.626728268492507","0.753934246717907"
"No, never","2007","Part Time","(2c_voc) vocational maturity certificate","215","0.631713547201474","0.580292287922273","0.683134806480675"
"No, never","2007","Part Time","(3a) lower tertiary education","199","0.689745138082912","0.63516970736772","0.744320568798104"
"No, never","2007","Part Time","(3b) higher tertiary education","267","0.539955553805131","0.494848904005566","0.585062203604696"
"No, never","2007","Not Working","(0) in school","1","","",""
"No, never","2007","Not Working","(1a) inadequately completed","1","","",""
"No, never","2007","Not Working","(1b) general elementary school","13","","",""
"No, never","2007","Not Working","(1c) basic vocational qualification","34","0.869943082193264","0.765704080464121","0.974182083922406"
"No, never","2007","Not Working","(2b) intermediate general qualification","7","","",""
"No, never","2007","Not Working","(2a) intermediate vocational","43","0.799757447151089","0.694945350028653","0.904569544273524"
"No, never","2007","Not Working","(2c_gen) general maturity certificate","13","","",""
"No, never","2007","Not Working","(2c_voc) vocational maturity certificate","11","","",""
"No, never","2007","Not Working","(3a) lower tertiary education","7","","",""
"No, never","2007","Not Working","(3b) higher tertiary education","12","","",""
"Yes, every week","2007","Full Time","(0) in school","","","",""
"Yes, every week","2007","Full Time","(1a) inadequately completed","2","","",""
"Yes, every week","2007","Full Time","(1b) general elementary school","13","","",""
"Yes, every week","2007","Full Time","(1c) basic vocational qualification","108","0.064289672611736","0.0523276905676228","0.0762516546558492"
"Yes, every week","2007","Full Time","(2b) intermediate general qualification","12","","",""
"Yes, every week","2007","Full Time","(2a) intermediate vocational","119","0.0532706369257851","0.043746966999731","0.0627943068518393"
"Yes, every week","2007","Full Time","(2c_gen) general maturity certificate","13","","",""
"Yes, every week","2007","Full Time","(2c_voc) vocational maturity certificate","35","0.0429038712367615","0.0279773885259636","0.0578303539475594"
"Yes, every week","2007","Full Time","(3a) lower tertiary education","46","0.0575572233876194","0.041468278522827","0.0736461682524118"
"Yes, every week","2007","Full Time","(3b) higher tertiary education","193","0.131337692570579","0.113464949386657","0.1492104357545"
"Yes, every week","2007","Part Time","(0) in school","2","","",""
"Yes, every week","2007","Part Time","(1a) inadequately completed","1","","",""
"Yes, every week","2007","Part Time","(1b) general elementary school","13","","",""
"Yes, every week","2007","Part Time","(1c) basic vocational qualification","22","","",""
"Yes, every week","2007","Part Time","(2b) intermediate general qualification","4","","",""
"Yes, every week","2007","Part Time","(2a) intermediate vocational","36","0.0518082520385368","0.0382660914589729","0.0653504126181007"
"Yes, every week","2007","Part Time","(2c_gen) general maturity certificate","11","","",""
"Yes, every week","2007","Part Time","(2c_voc) vocational maturity certificate","16","","",""
"Yes, every week","2007","Part Time","(3a) lower tertiary education","4","","",""
"Yes, every week","2007","Part Time","(3b) higher tertiary education","51","0.109794443439571","0.0815002706866042","0.138088616192538"
"Yes, every week","2007","Not Working","(0) in school","","","",""
"Yes, every week","2007","Not Working","(1a) inadequately completed","","","",""
"Yes, every week","2007","Not Working","(1b) general elementary school","2","","",""
"Yes, every week","2007","Not Working","(1c) basic vocational qualification","","","",""
"Yes, every week","2007","Not Working","(2b) intermediate general qualification","","","",""
"Yes, every week","2007","Not Working","(2a) intermediate vocational","4","","",""
"Yes, every week","2007","Not Working","(2c_gen) general maturity certificate","2","","",""
"Yes, every week","2007","Not Working","(2c_voc) vocational maturity certificate","2","","",""
