"plb0219","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes, every 3-4 weeks","2008","Part Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","Not Working","Urban Area","","","",""
"Yes, every 3-4 weeks","2008","Not Working","Rural Area","","","",""
"Rarely","2008","Full Time","Urban Area","","","",""
"Rarely","2008","Full Time","Rural Area","","","",""
"Rarely","2008","Part Time","Urban Area","","","",""
"Rarely","2008","Part Time","Rural Area","","","",""
"Rarely","2008","Not Working","Urban Area","","","",""
"Rarely","2008","Not Working","Rural Area","","","",""
"No, never","2009","Full Time","Urban Area","2399","0.56175097619405","0.546830309341993","0.576671643046108"
"No, never","2009","Full Time","Rural Area","1213","0.531342853605347","0.510659200984737","0.552026506225956"
"No, never","2009","Part Time","Urban Area","1472","0.665485685733585","0.645666053620296","0.685305317846874"
"No, never","2009","Part Time","Rural Area","698","0.646375927905373","0.617291340194954","0.675460515615792"
"No, never","2009","Not Working","Urban Area","55","0.530323081345508","0.424224762623098","0.636421400067919"
"No, never","2009","Not Working","Rural Area","38","0.802352985777199","0.691972842261128","0.91273312929327"
"Yes, every week","2009","Full Time","Urban Area","312","0.0794136475749204","0.0712828027038808","0.0875444924459599"
"Yes, every week","2009","Full Time","Rural Area","190","0.0729296779612083","0.0621521122727945","0.083707243649622"
"Yes, every week","2009","Part Time","Urban Area","132","0.0576685662735602","0.0478761403978841","0.0674609921492363"
"Yes, every week","2009","Part Time","Rural Area","49","0.0649039602315536","0.0499170149539716","0.0798909055091356"
"Yes, every week","2009","Not Working","Urban Area","5","","",""
"Yes, every week","2009","Not Working","Rural Area","3","","",""
"Yes, every 2 weeks","2009","Full Time","Urban Area","351","0.0766021169249333","0.0686043147054115","0.0845999191444551"
"Yes, every 2 weeks","2009","Full Time","Rural Area","224","0.107595763169545","0.0947520502915082","0.120439476047581"
"Yes, every 2 weeks","2009","Part Time","Urban Area","178","0.083644448913499","0.0720147238939498","0.0952741739330482"
"Yes, every 2 weeks","2009","Part Time","Rural Area","85","0.0738235289229464","0.0579163309192163","0.0897307269266766"
"Yes, every 2 weeks","2009","Not Working","Urban Area","9","","",""
"Yes, every 2 weeks","2009","Not Working","Rural Area","3","","",""
"Yes, every 3-4 weeks","2009","Full Time","Urban Area","261","0.0633327549365122","0.0560085127968003","0.0706569970762242"
"Yes, every 3-4 weeks","2009","Full Time","Rural Area","138","0.063299772063332","0.0532069276725092","0.0733926164541547"
"Yes, every 3-4 weeks","2009","Part Time","Urban Area","83","0.0442554950412219","0.0356162979304185","0.0528946921520254"
"Yes, every 3-4 weeks","2009","Part Time","Rural Area","60","0.0663035765472677","0.0511672412437052","0.0814399118508302"
"Yes, every 3-4 weeks","2009","Not Working","Urban Area","5","","",""
"Yes, every 3-4 weeks","2009","Not Working","Rural Area","4","","",""
"Rarely","2009","Full Time","Urban Area","925","0.218900504369584","0.206465887835569","0.231335120903599"
"Rarely","2009","Full Time","Rural Area","471","0.224831933200568","0.207528227280714","0.242135639120423"
"Rarely","2009","Part Time","Urban Area","312","0.148945804038134","0.133989936096921","0.163901671979348"
"Rarely","2009","Part Time","Rural Area","146","0.148593006392859","0.126955001947371","0.170231010838347"
"Rarely","2009","Not Working","Urban Area","11","","",""
"Rarely","2009","Not Working","Rural Area","2","","",""
"No, never","2010","Full Time","Urban Area","829","0.518486753100705","0.494311738071819","0.542661768129591"
"No, never","2010","Full Time","Rural Area","483","0.558987770267743","0.526201908269379","0.591773632266107"
"No, never","2010","Part Time","Urban Area","674","0.612851038581815","0.584349508522489","0.64135256864114"
"No, never","2010","Part Time","Rural Area","407","0.645852406464743","0.60933800616615","0.682366806763336"
"No, never","2010","Not Working","Urban Area","83","0.678115904265775","0.595884260254048","0.760347548277502"
"No, never","2010","Not Working","Rural Area","71","0.773233852338738","0.688583512692196","0.857884191985279"
"Yes, every week","2010","Full Time","Urban Area","107","0.0580253353838072","0.0467137822141741","0.0693368885534403"
"Yes, every week","2010","Full Time","Rural Area","73","0.077056814032282","0.0594470658708742","0.0946665621936899"
"Yes, every week","2010","Part Time","Urban Area","77","0.0670003499737422","0.0523708009501574","0.0816298989973271"
"Yes, every week","2010","Part Time","Rural Area","51","0.0688114450193252","0.0494848859927885","0.0881380040458618"
"Yes, every week","2010","Not Working","Urban Area","9","","",""
"Yes, every week","2010","Not Working","Rural Area","2","","",""
"Yes, every 2 weeks","2010","Full Time","Urban Area","199","0.125501429547248","0.109472752124606","0.141530106969889"
"Yes, every 2 weeks","2010","Full Time","Rural Area","93","0.0986086896213293","0.0789219220378287","0.11829545720483"
"Yes, every 2 weeks","2010","Part Time","Urban Area","129","0.108406889074768","0.090215600825079","0.126598177324457"
"Yes, every 2 weeks","2010","Part Time","Rural Area","70","0.104447068771971","0.0810964097688439","0.127797727775098"
"Yes, every 2 weeks","2010","Not Working","Urban Area","11","","",""
"Yes, every 2 weeks","2010","Not Working","Rural Area","9","","",""
"Yes, every 3-4 weeks","2010","Full Time","Urban Area","121","0.075836134564898","0.0630273952592721","0.0886448738705238"
"Yes, every 3-4 weeks","2010","Full Time","Rural Area","72","0.0849326806065136","0.0665239401317899","0.103341421081237"
"Yes, every 3-4 weeks","2010","Part Time","Urban Area","64","0.056170167454555","0.0426975688122123","0.0696427660968977"
"Yes, every 3-4 weeks","2010","Part Time","Rural Area","31","0.0394488191637691","0.0245866348554086","0.0543110034721296"
"Yes, every 3-4 weeks","2010","Not Working","Urban Area","2","","",""
"Yes, every 3-4 weeks","2010","Not Working","Rural Area","5","","",""
"Rarely","2010","Full Time","Urban Area","385","0.222150347403342","0.202037890342802","0.242262804463882"
"Rarely","2010","Full Time","Rural Area","160","0.180414045472132","0.155022299601747","0.205805791342518"
"Rarely","2010","Part Time","Urban Area","178","0.15557155491512","0.134363629569541","0.176779480260699"
"Rarely","2010","Part Time","Rural Area","100","0.141440260580192","0.11483440880705","0.168046112353333"
"Rarely","2010","Not Working","Urban Area","19","","",""
"Rarely","2010","Not Working","Rural Area","7","","",""
"No, never","2011","Full Time","Urban Area","3634","0.573048535157326","0.560985671863567","0.585111398451085"
"No, never","2011","Full Time","Rural Area","1968","0.553861987737737","0.537608189052899","0.570115786422575"
"No, never","2011","Part Time","Urban Area","2622","0.682819374414488","0.668215558186748","0.697423190642228"
"No, never","2011","Part Time","Rural Area","1391","0.662629523295058","0.642368742435392","0.682890304154723"
"No, never","2011","Not Working","Urban Area","198","0.751843158535436","0.70003248801715","0.803653829053723"
"No, never","2011","Not Working","Rural Area","107","0.743989040772723","0.675503586726626","0.81247449481882"
"Yes, every week","2011","Full Time","Urban Area","552","0.0850279871551601","0.078225772966422","0.0918302013438983"
"Yes, every week","2011","Full Time","Rural Area","270","0.0628802152705824","0.0549428924162124","0.0708175381249524"
"Yes, every week","2011","Part Time","Urban Area","228","0.0580020002333645","0.0506668909010763","0.0653371095656527"
"Yes, every week","2011","Part Time","Rural Area","115","0.058957162261266","0.0488636983713419","0.0690506261511901"
"Yes, every week","2011","Not Working","Urban Area","14","","",""
"Yes, every week","2011","Not Working","Rural Area","12","","",""
"Yes, every 2 weeks","2011","Full Time","Urban Area","625","0.0954822796008027","0.0883153130419755","0.10264924615963"
"Yes, every 2 weeks","2011","Full Time","Rural Area","398","0.108844202552215","0.0986606583755313","0.119027746728898"
"Yes, every 2 weeks","2011","Part Time","Urban Area","345","0.088996210544724","0.0800609758346411","0.0979314452548069"
"Yes, every 2 weeks","2011","Part Time","Rural Area","211","0.0866889310438235","0.0746313987058829","0.0987464633817641"
"Yes, every 2 weeks","2011","Not Working","Urban Area","16","","",""
"Yes, every 2 weeks","2011","Not Working","Rural Area","16","","",""
"Yes, every 3-4 weeks","2011","Full Time","Urban Area","393","0.0548771459132604","0.0493231527686799","0.060431139057841"
"Yes, every 3-4 weeks","2011","Full Time","Rural Area","256","0.0639824548859689","0.0559805768669464","0.0719843329049914"
"Yes, every 3-4 weeks","2011","Part Time","Urban Area","184","0.0446466700412574","0.0381657500041587","0.051127590078356"
"Yes, every 3-4 weeks","2011","Part Time","Rural Area","108","0.042363135935481","0.0337321237553857","0.0509941481155762"
"Yes, every 3-4 weeks","2011","Not Working","Urban Area","14","","",""
"Yes, every 3-4 weeks","2011","Not Working","Rural Area","7","","",""
"Rarely","2011","Full Time","Urban Area","1255","0.191564052173451","0.18196683627891","0.201161268067992"
"Rarely","2011","Full Time","Rural Area","701","0.210431139553497","0.197103001211304","0.223759277895689"
"Rarely","2011","Part Time","Urban Area","522","0.125535744766166","0.115138581863877","0.135932907668455"
"Rarely","2011","Part Time","Rural Area","267","0.149361247464372","0.134087035996939","0.164635458931805"
"Rarely","2011","Not Working","Urban Area","25","","",""
"Rarely","2011","Not Working","Rural Area","14","","",""
"No, never","2012","Full Time","Urban Area","940","0.575695482293711","0.55209703780414","0.599293926783281"
"No, never","2012","Full Time","Rural Area","614","0.605971010518368","0.576316145721904","0.635625875314831"
"No, never","2012","Part Time","Urban Area","909","0.672600388409601","0.64793100313095","0.697269773688251"
"No, never","2012","Part Time","Rural Area","543","0.69447122422698","0.66274935509352","0.72619309336044"
"No, never","2012","Not Working","Urban Area","93","0.722069437241125","0.646501278287156","0.797637596195094"
"No, never","2012","Not Working","Rural Area","72","0.779414531617662","0.69468654702146","0.864142516213864"
"Yes, every week","2012","Full Time","Urban Area","139","0.0764610423028933","0.0637729638472228","0.0891491207585637"
"Yes, every week","2012","Full Time","Rural Area","88","0.0717007079699741","0.0560435956040821","0.0873578203358661"
"Yes, every week","2012","Part Time","Urban Area","100","0.0722476046008877","0.0586372807454629","0.0858579284563125"
"Yes, every week","2012","Part Time","Rural Area","53","0.0540942070343817","0.0385164507987468","0.0696719632700165"
"Yes, every week","2012","Not Working","Urban Area","9","","",""
"Yes, every week","2012","Not Working","Rural Area","6","","",""
"Yes, every 2 weeks","2012","Full Time","Urban Area","181","0.106901315420173","0.0921480081419226","0.121654622698424"
"Yes, every 2 weeks","2012","Full Time","Rural Area","98","0.0944178620468429","0.0766720065078899","0.112163717585796"
"Yes, every 2 weeks","2012","Part Time","Urban Area","136","0.0934048650585575","0.0781069539987463","0.108702776118369"
"Yes, every 2 weeks","2012","Part Time","Rural Area","92","0.106764841371307","0.0854980184145794","0.128031664328034"
"Yes, every 2 weeks","2012","Not Working","Urban Area","11","","",""
"Yes, every 2 weeks","2012","Not Working","Rural Area","8","","",""
"Yes, every 3-4 weeks","2012","Full Time","Urban Area","102","0.0673919147984396","0.0554217087938135","0.0793621208030657"
"Yes, every 3-4 weeks","2012","Full Time","Rural Area","72","0.0614555640012754","0.0468803828613474","0.0760307451412034"
"Yes, every 3-4 weeks","2012","Part Time","Urban Area","74","0.0503291354151937","0.0388360407737783","0.0618222300566091"
"Yes, every 3-4 weeks","2012","Part Time","Rural Area","46","0.0555616139718445","0.0397862341989907","0.0713369937446982"
"Yes, every 3-4 weeks","2012","Not Working","Urban Area","5","","",""
"Yes, every 3-4 weeks","2012","Not Working","Rural Area","2","","",""
"Rarely","2012","Full Time","Urban Area","323","0.173550245184783","0.15546730766284","0.191633182706727"
"Rarely","2012","Full Time","Rural Area","171","0.16645485546354","0.143849115173633","0.189060595753447"
"Rarely","2012","Part Time","Urban Area","171","0.11141800651576","0.0948768017846621","0.127959211246858"
"Rarely","2012","Part Time","Rural Area","76","0.089108113395487","0.069488175745765","0.108728051045209"
"Rarely","2012","Not Working","Urban Area","17","","",""
"Rarely","2012","Not Working","Rural Area","4","","",""
"No, never","2013","Full Time","Urban Area","3351","0.561363064329645","0.548685104423492","0.574041024235798"
"No, never","2013","Full Time","Rural Area","1816","0.565709225366074","0.548748988692056","0.582669462040091"
"No, never","2013","Part Time","Urban Area","2557","0.680686081628654","0.66574056946724","0.695631593790068"
"No, never","2013","Part Time","Rural Area","1338","0.636802582509957","0.615856184032884","0.657748980987029"
"No, never","2013","Not Working","Urban Area","175","0.607134380415669","0.547190834969626","0.667077925861713"
"No, never","2013","Not Working","Rural Area","75","0.632680284351903","0.548170429691338","0.717190139012469"
"Yes, every week","2013","Full Time","Urban Area","435","0.0667994218776619","0.060420479061647","0.0731783646936769"
"Yes, every week","2013","Full Time","Rural Area","235","0.0594401725061817","0.0513496192836707","0.0675307257286926"
"Yes, every week","2013","Part Time","Urban Area","217","0.0604224534356308","0.0527842022664271","0.0680607046048345"
"Yes, every week","2013","Part Time","Rural Area","94","0.0433254355828294","0.0344581813610656","0.0521926898045931"
"Yes, every week","2013","Not Working","Urban Area","14","","",""
"Yes, every week","2013","Not Working","Rural Area","13","","",""
"Yes, every 2 weeks","2013","Full Time","Urban Area","540","0.0880391999313227","0.0807998263849803","0.0952785734776651"
"Yes, every 2 weeks","2013","Full Time","Rural Area","374","0.11401621284371","0.103140914774939","0.124891510912481"
"Yes, every 2 weeks","2013","Part Time","Urban Area","333","0.0907322287629366","0.0815244445908422","0.0999400129350309"
"Yes, every 2 weeks","2013","Part Time","Rural Area","218","0.118711756702567","0.104624013342669","0.132799500062466"
"Yes, every 2 weeks","2013","Not Working","Urban Area","22","","",""
"Yes, every 2 weeks","2013","Not Working","Rural Area","13","","",""
"Yes, every 3-4 weeks","2013","Full Time","Urban Area","347","0.0601470362866303","0.0540725167753973","0.0662215557978634"
"Yes, every 3-4 weeks","2013","Full Time","Rural Area","205","0.0575076402680441","0.0495415234883958","0.0654737570476924"
"Yes, every 3-4 weeks","2013","Part Time","Urban Area","131","0.0395895812504384","0.0333386124981639","0.0458405500027129"
"Yes, every 3-4 weeks","2013","Part Time","Rural Area","94","0.0464181770003963","0.037254735758946","0.0555816182418465"
"Yes, every 3-4 weeks","2013","Not Working","Urban Area","12","","",""
"Yes, every 3-4 weeks","2013","Not Working","Rural Area","13","","",""
"Rarely","2013","Full Time","Urban Area","1212","0.22365127757474","0.213005216080402","0.234297339069077"
"Rarely","2013","Full Time","Rural Area","651","0.20332674901599","0.189555213958386","0.217098284073595"
"Rarely","2013","Part Time","Urban Area","500","0.12856965492234","0.117839301631588","0.139300008213093"
"Rarely","2013","Part Time","Rural Area","281","0.15474204820425","0.138990096184053","0.170494000224447"
"Rarely","2013","Not Working","Urban Area","32","0.190935281953877","0.142694679195761","0.239175884711993"
"Rarely","2013","Not Working","Rural Area","11","","",""
"No, never","2014","Full Time","Urban Area","","","",""
"No, never","2014","Full Time","Rural Area","","","",""
"No, never","2014","Part Time","Urban Area","","","",""
"No, never","2014","Part Time","Rural Area","","","",""
"No, never","2014","Not Working","Urban Area","","","",""
"No, never","2014","Not Working","Rural Area","","","",""
"Yes, every week","2014","Full Time","Urban Area","","","",""
"Yes, every week","2014","Full Time","Rural Area","","","",""
"Yes, every week","2014","Part Time","Urban Area","","","",""
"Yes, every week","2014","Part Time","Rural Area","","","",""
"Yes, every week","2014","Not Working","Urban Area","","","",""
"Yes, every week","2014","Not Working","Rural Area","","","",""
"Yes, every 2 weeks","2014","Full Time","Urban Area","","","",""
"Yes, every 2 weeks","2014","Full Time","Rural Area","","","",""
"Yes, every 2 weeks","2014","Part Time","Urban Area","","","",""
"Yes, every 2 weeks","2014","Part Time","Rural Area","","","",""
"Yes, every 2 weeks","2014","Not Working","Urban Area","","","",""
"Yes, every 2 weeks","2014","Not Working","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","Full Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","Full Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","Part Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","Part Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2014","Not Working","Urban Area","","","",""
"Yes, every 3-4 weeks","2014","Not Working","Rural Area","","","",""
"Rarely","2014","Full Time","Urban Area","","","",""
"Rarely","2014","Full Time","Rural Area","","","",""
"Rarely","2014","Part Time","Urban Area","","","",""
"Rarely","2014","Part Time","Rural Area","","","",""
"Rarely","2014","Not Working","Urban Area","","","",""
"Rarely","2014","Not Working","Rural Area","","","",""
"No, never","2015","Full Time","Urban Area","3380","0.55795408440378","0.545296805423037","0.570611363384522"
"No, never","2015","Full Time","Rural Area","1795","0.574732110894139","0.557404121347251","0.592060100441026"
"No, never","2015","Part Time","Urban Area","2506","0.638641597063802","0.623261963780383","0.65402123034722"
"No, never","2015","Part Time","Rural Area","1271","0.676764958444487","0.655963124360654","0.69756679252832"
"No, never","2015","Not Working","Urban Area","161","0.674682157612237","0.615162124152464","0.73420219107201"
"No, never","2015","Not Working","Rural Area","85","0.669884769736923","0.588098751832406","0.75167078764144"
"Yes, every week","2015","Full Time","Urban Area","448","0.0713137015714054","0.0647548403823825","0.0778725627604284"
"Yes, every week","2015","Full Time","Rural Area","202","0.0651371018395585","0.0564879737610754","0.0737862299180416"
"Yes, every week","2015","Part Time","Urban Area","218","0.0557783922878001","0.0484312531674469","0.0631255314081534"
"Yes, every week","2015","Part Time","Rural Area","121","0.0526599782425725","0.0427261474440475","0.0625938090410974"
"Yes, every week","2015","Not Working","Urban Area","20","","",""
"Yes, every week","2015","Not Working","Rural Area","11","","",""
"Yes, every 2 weeks","2015","Full Time","Urban Area","566","0.0920572807026139","0.0846890073847778","0.09942555402045"
"Yes, every 2 weeks","2015","Full Time","Rural Area","348","0.11047593702128","0.0994884886408708","0.121463385401689"
"Yes, every 2 weeks","2015","Part Time","Urban Area","358","0.111702762011782","0.101618144948213","0.12178737907535"
"Yes, every 2 weeks","2015","Part Time","Rural Area","205","0.0979949792827168","0.0847719832266152","0.111217975338818"
"Yes, every 2 weeks","2015","Not Working","Urban Area","23","","",""
"Yes, every 2 weeks","2015","Not Working","Rural Area","13","","",""
"Yes, every 3-4 weeks","2015","Full Time","Urban Area","349","0.063535728497311","0.057318997948918","0.069752459045704"
"Yes, every 3-4 weeks","2015","Full Time","Rural Area","216","0.0680685893305953","0.059240850003699","0.0768963286574916"
"Yes, every 3-4 weeks","2015","Part Time","Urban Area","142","0.0439106677173727","0.0373509891827529","0.0504703462519926"
"Yes, every 3-4 weeks","2015","Part Time","Rural Area","84","0.0450449914112581","0.0358205901203799","0.0542693927021363"
"Yes, every 3-4 weeks","2015","Not Working","Urban Area","12","","",""
"Yes, every 3-4 weeks","2015","Not Working","Rural Area","6","","",""
"Rarely","2015","Full Time","Urban Area","1171","0.21513920482489","0.204666387495098","0.225612022154682"
"Rarely","2015","Full Time","Rural Area","566","0.181586260914428","0.168074495419962","0.195098026408893"
"Rarely","2015","Part Time","Urban Area","524","0.149966580919244","0.138536125211002","0.161397036627486"
"Rarely","2015","Part Time","Rural Area","261","0.127535092618966","0.112699246741744","0.142370938496188"
"Rarely","2015","Not Working","Urban Area","22","","",""
"Rarely","2015","Not Working","Rural Area","12","","",""
"No, never","2016","Full Time","Urban Area","","","",""
"No, never","2016","Full Time","Rural Area","","","",""
"No, never","2016","Part Time","Urban Area","","","",""
"No, never","2016","Part Time","Rural Area","","","",""
"No, never","2016","Not Working","Urban Area","","","",""
"No, never","2016","Not Working","Rural Area","","","",""
"Yes, every week","2016","Full Time","Urban Area","","","",""
"Yes, every week","2016","Full Time","Rural Area","","","",""
"Yes, every week","2016","Part Time","Urban Area","","","",""
"Yes, every week","2016","Part Time","Rural Area","","","",""
"Yes, every week","2016","Not Working","Urban Area","","","",""
"Yes, every week","2016","Not Working","Rural Area","","","",""
"Yes, every 2 weeks","2016","Full Time","Urban Area","","","",""
