"year","pgcasmin","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2011","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2012","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2012","(0) in school","Westdeutschland, alte Bundeslaender","5.23","5.33","170","5.06","5.4","3.66666674613953","4.66666650772095","6","6.66666650772095"
"2012","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2012","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","4.92","5","142","4.71","5.13","3.66666674613953","4","5.66666650772095","6.33333349227905"
"2012","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","5.48","5.42","44","5.16","5.8","4","5","6.33333349227905","6.66666650772095"
"2012","(1b) general elementary school","Westdeutschland, alte Bundeslaender","4.96","5","532","4.86","5.06","3.66666674613953","4.33333349227905","5.66666650772095","6.66666650772095"
"2012","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","4.81","4.67","137","4.59","5.03","3","4","5.66666650772095","6.66666650772095"
"2012","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","5.06","5","996","4.99","5.13","3.66666674613953","4.33333349227905","5.66666650772095","6.33333349227905"
"2012","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","5.16","5.33","601","5.07","5.25","3.66666674613953","4.33333349227905","6","6.66666650772095"
"2012","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","5.22","5.33","1466","5.16","5.28","3.66666674613953","4.66666650772095","6","6.66666650772095"
"2012","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","5.14","5.54","55","4.81","5.47","3.66666674613953","4.33333349227905","6","6.33333349227905"
"2012","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","5.07","5","176","4.9","5.24","3.66666674613953","4.33333349227905","6","6.33333349227905"
"2012","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","5.31","5.33","36","4.97","5.65","4","4.66666650772095","6","6.33333349227905"
"2012","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","5.11","5","211","4.96","5.26","3.66666674613953","4.33333349227905","5.66666650772095","6.66666650772095"
"2012","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","4.93","5","126","4.73","5.13","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2012","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","5.01","5","751","4.93","5.09","3.66666674613953","4.33333349227905","5.66666650772095","6.66666650772095"
"2012","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","4.75","4.67","86","4.51","4.99","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2012","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","5.04","5","367","4.93","5.15","3.66666674613953","4.33333349227905","6","6.66666650772095"
"2012","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","5.12","5","186","4.97","5.27","4","4.33333349227905","6","6.66666650772095"
"2012","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","4.99","5","857","4.92","5.06","3.66666674613953","4.33333349227905","6","6.33333349227905"
"2013","(0) in school","Ostdeutschland, neue Bundeslaender","4.99","5","33","4.59","5.39","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2013","(0) in school","Westdeutschland, alte Bundeslaender","4.89","5","229","4.74","5.04","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2013","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","4.87","5","34","4.45","5.29","3","4.33333349227905","5.66666650772095","6.33333349227905"
"2013","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","4.77","4.67","188","4.58","4.96","3","4","5.33333349227905","7"
"2013","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","4.82","4.91","176","4.65","4.99","3.33333325386047","4","5.66666650772095","6"
"2013","(1b) general elementary school","Westdeutschland, alte Bundeslaender","4.73","4.67","1235","4.67","4.79","3.33333325386047","4","5.66666650772095","6"
"2013","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","4.67","4.67","910","4.6","4.74","3.33333325386047","4","5.33333349227905","6"
"2013","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","4.74","4.67","3904","4.71","4.77","3.33333325386047","4","5.33333349227905","6"
"2013","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","4.82","5","1601","4.77","4.87","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2013","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","4.9","5","2973","4.86","4.94","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2013","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","4.97","5","82","4.72","5.22","3.66666674613953","4.33333349227905","5.66666650772095","6.33333349227905"
