"year","age_gr","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2010","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2012","16-34 y.","Ostdeutschland, neue Bundeslaender","5.15","5.33","496","5.05","5.25","3.66666674613953","4.33333349227905","6","6.66666650772095"
"2012","16-34 y.","Westdeutschland, alte Bundeslaender","5.14","5","1706","5.09","5.19","3.66666674613953","4.33333349227905","6","6.66666650772095"
"2012","35-65 y.","Ostdeutschland, neue Bundeslaender","5.01","5","836","4.93","5.09","3.66666674613953","4.33333349227905","5.66666650772095","6.66666650772095"
"2012","35-65 y.","Westdeutschland, alte Bundeslaender","5.04","5","4069","5.01","5.07","3.66666674613953","4.33333349227905","6","6.66666650772095"
"2012","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2012","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2013","16-34 y.","Ostdeutschland, neue Bundeslaender","5.02","5","777","4.94","5.1","3.33333325386047","4.33333349227905","6","6.33333349227905"
"2013","16-34 y.","Westdeutschland, alte Bundeslaender","4.99","5","2922","4.95","5.03","3.33333325386047","4.33333349227905","6","6.33333349227905"
"2013","35-65 y.","Ostdeutschland, neue Bundeslaender","4.76","4.67","2458","4.72","4.8","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2013","35-65 y.","Westdeutschland, alte Bundeslaender","4.81","5","7779","4.78","4.84","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2013","66 and older","Ostdeutschland, neue Bundeslaender","4.71","4.67","1234","4.65","4.77","3.33333325386047","4","5.33333349227905","6"
"2013","66 and older","Westdeutschland, alte Bundeslaender","4.73","4.67","3726","4.7","4.76","3.33333325386047","4","5.33333349227905","6"
"2014","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2017","16-34 y.","Ostdeutschland, neue Bundeslaender","4.92","5","1362","4.86","4.98","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2017","16-34 y.","Westdeutschland, alte Bundeslaender","4.99","5","6224","4.96","5.02","3.33333325386047","4.33333349227905","6","6.66666650772095"
"2017","35-65 y.","Ostdeutschland, neue Bundeslaender","4.85","5","3505","4.81","4.89","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","35-65 y.","Westdeutschland, alte Bundeslaender","4.89","5","13197","4.87","4.91","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","66 and older","Ostdeutschland, neue Bundeslaender","4.74","4.67","1239","4.68","4.8","3.33333325386047","4","5.33333349227905","6"
"2017","66 and older","Westdeutschland, alte Bundeslaender","4.7","4.67","3800","4.67","4.73","3.33333325386047","4","5.33333349227905","6"
"2018","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2019","16-34 y.","Ostdeutschland, neue Bundeslaender","4.84","5","960","4.76","4.92","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2019","16-34 y.","Westdeutschland, alte Bundeslaender","4.99","5","4458","4.95","5.03","3.33333325386047","4","6","6.66666650772095"
"2019","35-65 y.","Ostdeutschland, neue Bundeslaender","4.87","5","3299","4.83","4.91","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2019","35-65 y.","Westdeutschland, alte Bundeslaender","4.87","5","11808","4.85","4.89","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2019","66 and older","Ostdeutschland, neue Bundeslaender","4.74","4.67","1315","4.68","4.8","3.33333325386047","4","5.33333349227905","6"
"2019","66 and older","Westdeutschland, alte Bundeslaender","4.75","4.67","3899","4.72","4.78","3.33333325386047","4","5.66666650772095","6.33333349227905"
