"pli0096_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","North Rhine-Westphalia","Rural Area","10","","",""
"Min 1x per week","1985","Hesse","Urban Area","82","0.110405008036149","0.0906421350569624","0.130167881015335"
"Min 1x per week","1985","Hesse","Rural Area","7","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Urban Area","56","0.0960528373787567","0.0728773480274638","0.11922832673005"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Rural Area","6","","",""
"Min 1x per week","1985","Baden-Württemberg","Urban Area","133","0.0924612372832426","0.0788503665597296","0.106072108006756"
"Min 1x per week","1985","Baden-Württemberg","Rural Area","18","","",""
"Min 1x per week","1985","Bavaria","Urban Area","69","0.0743787726073039","0.0581405391452431","0.0906170060693646"
"Min 1x per week","1985","Bavaria","Rural Area","97","0.107702183082552","0.0872780503556801","0.128126315809424"
"Min 1x per week","1985","Berlin","Urban Area","23","","",""
"Min 1x per week","1985","Berlin","Rural Area","","","",""
"Min 1x per week","1985","Brandenburg","Urban Area","","","",""
"Min 1x per week","1985","Brandenburg","Rural Area","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Min 1x per week","1985","Saxony","Urban Area","","","",""
"Min 1x per week","1985","Saxony","Rural Area","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Urban Area","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Rural Area","","","",""
"Min 1x per week","1985","Thuringia","Urban Area","","","",""
"Min 1x per week","1985","Thuringia","Rural Area","","","",""
"Min 1x per month","1985","Schleswig-Holstein","Urban Area","11","","",""
"Min 1x per month","1985","Schleswig-Holstein","Rural Area","11","","",""
"Min 1x per month","1985","Hamburg","Urban Area","10","","",""
"Min 1x per month","1985","Hamburg","Rural Area","","","",""
"Min 1x per month","1985","Lower Saxony","Urban Area","32","0.0495439099458317","0.0317138367717634","0.0673739831199001"
"Min 1x per month","1985","Lower Saxony","Rural Area","31","0.057728471067802","0.0376243133961783","0.0778326287394256"
"Min 1x per month","1985","Bremen","Urban Area","4","","",""
"Min 1x per month","1985","Bremen","Rural Area","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Urban Area","152","0.0576819223670504","0.0491404665140045","0.0662233782200964"
"Min 1x per month","1985","North Rhine-Westphalia","Rural Area","8","","",""
"Min 1x per month","1985","Hesse","Urban Area","55","0.0687861052766963","0.0528260418997879","0.0847461686536047"
"Min 1x per month","1985","Hesse","Rural Area","8","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Urban Area","34","0.0594723228427426","0.0408709271322333","0.078073718553252"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Rural Area","18","","",""
"Min 1x per month","1985","Baden-Württemberg","Urban Area","75","0.0551648234741884","0.044437716534089","0.0658919304142878"
"Min 1x per month","1985","Baden-Württemberg","Rural Area","16","","",""
"Min 1x per month","1985","Bavaria","Urban Area","67","0.0701462138607944","0.0543407562677625","0.0859516714538264"
"Min 1x per month","1985","Bavaria","Rural Area","68","0.0800922798172238","0.0622091340939366","0.097975425540511"
"Min 1x per month","1985","Berlin","Urban Area","23","","",""
"Min 1x per month","1985","Berlin","Rural Area","","","",""
"Min 1x per month","1985","Brandenburg","Urban Area","","","",""
"Min 1x per month","1985","Brandenburg","Rural Area","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Min 1x per month","1985","Saxony","Urban Area","","","",""
"Min 1x per month","1985","Saxony","Rural Area","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Urban Area","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Rural Area","","","",""
"Min 1x per month","1985","Thuringia","Urban Area","","","",""
"Min 1x per month","1985","Thuringia","Rural Area","","","",""
"Rarely","1985","Schleswig-Holstein","Urban Area","10","","",""
"Rarely","1985","Schleswig-Holstein","Rural Area","13","","",""
"Rarely","1985","Hamburg","Urban Area","13","","",""
"Rarely","1985","Hamburg","Rural Area","1","","",""
"Rarely","1985","Lower Saxony","Urban Area","48","0.0812324720777774","0.0587854046285712","0.103679539526984"
"Rarely","1985","Lower Saxony","Rural Area","29","","",""
"Rarely","1985","Bremen","Urban Area","13","","",""
"Rarely","1985","Bremen","Rural Area","","","",""
"Rarely","1985","North Rhine-Westphalia","Urban Area","230","0.0837315752806253","0.0735838367720698","0.0938793137891808"
"Rarely","1985","North Rhine-Westphalia","Rural Area","2","","",""
"Rarely","1985","Hesse","Urban Area","67","0.08291819266522","0.0655286371815127","0.100307748148927"
"Rarely","1985","Hesse","Rural Area","11","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","Urban Area","50","0.0909696449129028","0.0683523982959296","0.113586891529876"
"Rarely","1985","Rhineland-Palatinate,Saarland","Rural Area","23","","",""
"Rarely","1985","Baden-Württemberg","Urban Area","133","0.092662676175041","0.0790384992624251","0.106286853087657"
"Rarely","1985","Baden-Württemberg","Rural Area","26","","",""
"Rarely","1985","Bavaria","Urban Area","55","0.0548854246383381","0.0407903178931122","0.068980531383564"
"Rarely","1985","Bavaria","Rural Area","104","0.120036857844109","0.0986244253964439","0.141449290291774"
"Rarely","1985","Berlin","Urban Area","21","","",""
"Rarely","1985","Berlin","Rural Area","","","",""
"Rarely","1985","Brandenburg","Urban Area","","","",""
"Rarely","1985","Brandenburg","Rural Area","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Rarely","1985","Saxony","Urban Area","","","",""
"Rarely","1985","Saxony","Rural Area","","","",""
"Rarely","1985","Saxony-Anhalt","Urban Area","","","",""
"Rarely","1985","Saxony-Anhalt","Rural Area","","","",""
"Rarely","1985","Thuringia","Urban Area","","","",""
"Rarely","1985","Thuringia","Rural Area","","","",""
"Never","1985","Schleswig-Holstein","Urban Area","131","0.80588298450368","0.744977222714972","0.866788746292388"
"Never","1985","Schleswig-Holstein","Rural Area","149","0.820061202243866","0.764557146390804","0.875565258096928"
"Never","1985","Hamburg","Urban Area","235","0.874629176512787","0.835057707704475","0.914200645321099"
"Never","1985","Hamburg","Rural Area","5","","",""
"Never","1985","Lower Saxony","Urban Area","438","0.776506131754873","0.742276895516658","0.810735367993088"
"Never","1985","Lower Saxony","Rural Area","412","0.797762266962704","0.763138791541094","0.832385742384315"
"Never","1985","Bremen","Urban Area","95","0.831500287941449","0.763088655398285","0.899911920484612"
"Never","1985","Bremen","Rural Area","","","",""
"Never","1985","North Rhine-Westphalia","Urban Area","2294","0.782879327223446","0.767774655989372","0.797983998457519"
"Never","1985","North Rhine-Westphalia","Rural Area","53","0.754501797409666","0.655773656600289","0.853229938219044"
"Never","1985","Hesse","Urban Area","762","0.737890694021935","0.710157699576155","0.765623688467715"
"Never","1985","Hesse","Rural Area","128","0.818131702601288","0.757209185001812","0.879054220200763"
"Never","1985","Rhineland-Palatinate,Saarland","Urban Area","481","0.753505194865598","0.719609128459746","0.78740126127145"
"Never","1985","Rhineland-Palatinate,Saarland","Rural Area","91","0.669532340877099","0.591052374227321","0.748012307526877"
"Never","1985","Baden-Württemberg","Urban Area","1399","0.759711263067528","0.739635851539207","0.779786674595849"
"Never","1985","Baden-Württemberg","Rural Area","237","0.773205417456071","0.725580564404975","0.820830270507168"
"Never","1985","Bavaria","Urban Area","812","0.800589588893564","0.775862299705364","0.825316878081763"
"Never","1985","Bavaria","Rural Area","616","0.692168679256115","0.661757110023342","0.722580248488888"
"Never","1985","Berlin","Urban Area","299","0.806202036752884","0.765706785485551","0.846697288020216"
"Never","1985","Berlin","Rural Area","","","",""
"Never","1985","Brandenburg","Urban Area","","","",""
"Never","1985","Brandenburg","Rural Area","","","",""
"Never","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Never","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Never","1985","Saxony","Urban Area","","","",""
"Never","1985","Saxony","Rural Area","","","",""
"Never","1985","Saxony-Anhalt","Urban Area","","","",""
"Never","1985","Saxony-Anhalt","Rural Area","","","",""
"Never","1985","Thuringia","Urban Area","","","",""
"Never","1985","Thuringia","Rural Area","","","",""
"Daily","1986","Schleswig-Holstein","Urban Area","","","",""
"Daily","1986","Schleswig-Holstein","Rural Area","","","",""
"Daily","1986","Hamburg","Urban Area","","","",""
"Daily","1986","Hamburg","Rural Area","","","",""
"Daily","1986","Lower Saxony","Urban Area","","","",""
"Daily","1986","Lower Saxony","Rural Area","","","",""
"Daily","1986","Bremen","Urban Area","","","",""
"Daily","1986","Bremen","Rural Area","","","",""
"Daily","1986","North Rhine-Westphalia","Urban Area","","","",""
"Daily","1986","North Rhine-Westphalia","Rural Area","","","",""
"Daily","1986","Hesse","Urban Area","","","",""
"Daily","1986","Hesse","Rural Area","","","",""
"Daily","1986","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Daily","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Daily","1986","Baden-Württemberg","Urban Area","","","",""
"Daily","1986","Baden-Württemberg","Rural Area","","","",""
"Daily","1986","Bavaria","Urban Area","","","",""
"Daily","1986","Bavaria","Rural Area","","","",""
"Daily","1986","Berlin","Urban Area","","","",""
"Daily","1986","Berlin","Rural Area","","","",""
"Daily","1986","Brandenburg","Urban Area","","","",""
"Daily","1986","Brandenburg","Rural Area","","","",""
"Daily","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Daily","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Daily","1986","Saxony","Urban Area","","","",""
"Daily","1986","Saxony","Rural Area","","","",""
"Daily","1986","Saxony-Anhalt","Urban Area","","","",""
"Daily","1986","Saxony-Anhalt","Rural Area","","","",""
"Daily","1986","Thuringia","Urban Area","","","",""
"Daily","1986","Thuringia","Rural Area","","","",""
"Min 1x per week","1986","Schleswig-Holstein","Urban Area","8","","",""
"Min 1x per week","1986","Schleswig-Holstein","Rural Area","8","","",""
"Min 1x per week","1986","Hamburg","Urban Area","13","","",""
"Min 1x per week","1986","Hamburg","Rural Area","","","",""
"Min 1x per week","1986","Lower Saxony","Urban Area","45","0.0813247664537327","0.0591563799836333","0.103493152923832"
"Min 1x per week","1986","Lower Saxony","Rural Area","46","0.0924263226109518","0.0673879951941875","0.117464650027716"
"Min 1x per week","1986","Bremen","Urban Area","1","","",""
"Min 1x per week","1986","Bremen","Rural Area","","","",""
"Min 1x per week","1986","North Rhine-Westphalia","Urban Area","188","0.0775607370047193","0.0675908467705223","0.0875306272389162"
"Min 1x per week","1986","North Rhine-Westphalia","Rural Area","6","","",""
"Min 1x per week","1986","Hesse","Urban Area","69","0.0894721924351669","0.0708248269549614","0.108119557915372"
"Min 1x per week","1986","Hesse","Rural Area","14","","",""
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","Urban Area","48","0.083080310165744","0.0613374100615002","0.104823210269988"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","Rural Area","6","","",""
"Min 1x per week","1986","Baden-Württemberg","Urban Area","128","0.0904045652541409","0.076728770218286","0.104080360289996"
"Min 1x per week","1986","Baden-Württemberg","Rural Area","16","","",""
"Min 1x per week","1986","Bavaria","Urban Area","73","0.0809532160322941","0.0635808502641076","0.0983255818004805"
"Min 1x per week","1986","Bavaria","Rural Area","84","0.103240499773348","0.0823635977092185","0.124117401837478"
"Min 1x per week","1986","Berlin","Urban Area","22","","",""
"Min 1x per week","1986","Berlin","Rural Area","","","",""
"Min 1x per week","1986","Brandenburg","Urban Area","","","",""
"Min 1x per week","1986","Brandenburg","Rural Area","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Min 1x per week","1986","Saxony","Urban Area","","","",""
"Min 1x per week","1986","Saxony","Rural Area","","","",""
"Min 1x per week","1986","Saxony-Anhalt","Urban Area","","","",""
"Min 1x per week","1986","Saxony-Anhalt","Rural Area","","","",""
"Min 1x per week","1986","Thuringia","Urban Area","","","",""
"Min 1x per week","1986","Thuringia","Rural Area","","","",""
"Min 1x per month","1986","Schleswig-Holstein","Urban Area","3","","",""
"Min 1x per month","1986","Schleswig-Holstein","Rural Area","15","","",""
"Min 1x per month","1986","Hamburg","Urban Area","9","","",""
"Min 1x per month","1986","Hamburg","Rural Area","","","",""
"Min 1x per month","1986","Lower Saxony","Urban Area","24","","",""
"Min 1x per month","1986","Lower Saxony","Rural Area","35","0.0594730816504008","0.0390268928087467","0.0799192704920548"
"Min 1x per month","1986","Bremen","Urban Area","7","","",""
"Min 1x per month","1986","Bremen","Rural Area","","","",""
"Min 1x per month","1986","North Rhine-Westphalia","Urban Area","153","0.0582744961806966","0.0495427329082287","0.0670062594531644"
"Min 1x per month","1986","North Rhine-Westphalia","Rural Area","9","","",""
"Min 1x per month","1986","Hesse","Urban Area","45","0.0629476289604694","0.0470804961680609","0.078814761752878"
"Min 1x per month","1986","Hesse","Rural Area","2","","",""
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","Urban Area","32","0.0539864138620772","0.0361833933127145","0.07178943441144"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","Rural Area","10","","",""
"Min 1x per month","1986","Baden-Württemberg","Urban Area","96","0.0666570306975654","0.0547616901926591","0.0785523712024717"
"Min 1x per month","1986","Baden-Württemberg","Rural Area","16","","",""
"Min 1x per month","1986","Bavaria","Urban Area","74","0.0870025747756868","0.0690521830447302","0.104952966506643"
"Min 1x per month","1986","Bavaria","Rural Area","68","0.0943187063100838","0.074265231899821","0.114372180720347"
"Min 1x per month","1986","Berlin","Urban Area","21","","",""
"Min 1x per month","1986","Berlin","Rural Area","","","",""
"Min 1x per month","1986","Brandenburg","Urban Area","","","",""
"Min 1x per month","1986","Brandenburg","Rural Area","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Min 1x per month","1986","Saxony","Urban Area","","","",""
"Min 1x per month","1986","Saxony","Rural Area","","","",""
"Min 1x per month","1986","Saxony-Anhalt","Urban Area","","","",""
"Min 1x per month","1986","Saxony-Anhalt","Rural Area","","","",""
"Min 1x per month","1986","Thuringia","Urban Area","","","",""
"Min 1x per month","1986","Thuringia","Rural Area","","","",""
"Rarely","1986","Schleswig-Holstein","Urban Area","11","","",""
"Rarely","1986","Schleswig-Holstein","Rural Area","10","","",""
"Rarely","1986","Hamburg","Urban Area","6","","",""
"Rarely","1986","Hamburg","Rural Area","1","","",""
"Rarely","1986","Lower Saxony","Urban Area","36","0.0637620052769701","0.0439460149384762","0.0835779956154641"
"Rarely","1986","Lower Saxony","Rural Area","36","0.0681726437665827","0.0463835419718394","0.0899617455613261"
"Rarely","1986","Bremen","Urban Area","4","","",""
"Rarely","1986","Bremen","Rural Area","","","",""
"Rarely","1986","North Rhine-Westphalia","Urban Area","199","0.0729720621658894","0.0632775659768156","0.0826665583549632"
"Rarely","1986","North Rhine-Westphalia","Rural Area","3","","",""
"Rarely","1986","Hesse","Urban Area","59","0.0817252456437445","0.0638277907754278","0.0996227005120613"
"Rarely","1986","Hesse","Rural Area","8","","",""
"Rarely","1986","Rhineland-Palatinate,Saarland","Urban Area","46","0.0757664598195339","0.0549200089437139","0.0966129106953539"
"Rarely","1986","Rhineland-Palatinate,Saarland","Rural Area","16","","",""
"Rarely","1986","Baden-Württemberg","Urban Area","135","0.093488095692582","0.0796046208134519","0.107371570571712"
"Rarely","1986","Baden-Württemberg","Rural Area","49","0.171560412007039","0.128899864398577","0.214220959615502"
"Rarely","1986","Bavaria","Urban Area","55","0.0600210980519366","0.0448930072483571","0.075149188855516"
"Rarely","1986","Bavaria","Rural Area","75","0.0905444435026923","0.0708553983962815","0.110233488609103"
"Rarely","1986","Berlin","Urban Area","18","","",""
"Rarely","1986","Berlin","Rural Area","","","",""
"Rarely","1986","Brandenburg","Urban Area","","","",""
"Rarely","1986","Brandenburg","Rural Area","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Rarely","1986","Saxony","Urban Area","","","",""
"Rarely","1986","Saxony","Rural Area","","","",""
"Rarely","1986","Saxony-Anhalt","Urban Area","","","",""
"Rarely","1986","Saxony-Anhalt","Rural Area","","","",""
"Rarely","1986","Thuringia","Urban Area","","","",""
"Rarely","1986","Thuringia","Rural Area","","","",""
"Never","1986","Schleswig-Holstein","Urban Area","127","0.833862781849126","0.774099323766154","0.893626239932097"
"Never","1986","Schleswig-Holstein","Rural Area","133","0.819094055049891","0.760535904297144","0.877652205802637"
"Never","1986","Hamburg","Urban Area","214","0.871896053321752","0.829789080609204","0.9140030260343"
"Never","1986","Hamburg","Rural Area","5","","",""
"Never","1986","Lower Saxony","Urban Area","479","0.81248883984639","0.780832264530119","0.84414541516266"
"Never","1986","Lower Saxony","Rural Area","397","0.779927951972065","0.744112023276795","0.815743880667334"
"Never","1986","Bremen","Urban Area","96","0.880743273019709","0.819620602104246","0.941865943935172"
"Never","1986","Bremen","Rural Area","","","",""
"Never","1986","North Rhine-Westphalia","Urban Area","2225","0.791192704648695","0.776042639713528","0.806342769583861"
"Never","1986","North Rhine-Westphalia","Rural Area","51","0.752104588990744","0.650222718780129","0.85398645920136"
"Never","1986","Hesse","Urban Area","727","0.765854932960619","0.73818917331376","0.793520692607478"
"Never","1986","Hesse","Rural Area","117","0.825091049410359","0.762387014241659","0.887795084579058"
"Never","1986","Rhineland-Palatinate,Saarland","Urban Area","493","0.787166816152645","0.754922302837541","0.819411329467749"
"Never","1986","Rhineland-Palatinate,Saarland","Rural Area","113","0.778391752486017","0.710790278968798","0.845993226003237"
"Never","1986","Baden-Württemberg","Urban Area","1330","0.749450308355712","0.728784536821267","0.770116079890156"
"Never","1986","Baden-Württemberg","Rural Area","219","0.704992031340461","0.653386477743531","0.756597584937392"
"Never","1986","Bavaria","Urban Area","745","0.772023111140083","0.745303282807398","0.798742939472767"
"Never","1986","Bavaria","Rural Area","589","0.711896350413876","0.680823165121318","0.742969535706433"
"Never","1986","Berlin","Urban Area","287","0.799517423786762","0.757453405980856","0.841581441592668"
"Never","1986","Berlin","Rural Area","","","",""
"Never","1986","Brandenburg","Urban Area","","","",""
"Never","1986","Brandenburg","Rural Area","","","",""
"Never","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Never","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Never","1986","Saxony","Urban Area","","","",""
"Never","1986","Saxony","Rural Area","","","",""
"Never","1986","Saxony-Anhalt","Urban Area","","","",""
"Never","1986","Saxony-Anhalt","Rural Area","","","",""
"Never","1986","Thuringia","Urban Area","","","",""
"Never","1986","Thuringia","Rural Area","","","",""
"Daily","1987","Schleswig-Holstein","Urban Area","","","",""
"Daily","1987","Schleswig-Holstein","Rural Area","","","",""
"Daily","1987","Hamburg","Urban Area","","","",""
"Daily","1987","Hamburg","Rural Area","","","",""
"Daily","1987","Lower Saxony","Urban Area","","","",""
"Daily","1987","Lower Saxony","Rural Area","","","",""
"Daily","1987","Bremen","Urban Area","","","",""
"Daily","1987","Bremen","Rural Area","","","",""
"Daily","1987","North Rhine-Westphalia","Urban Area","","","",""
"Daily","1987","North Rhine-Westphalia","Rural Area","","","",""
"Daily","1987","Hesse","Urban Area","","","",""
"Daily","1987","Hesse","Rural Area","","","",""
"Daily","1987","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Daily","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Daily","1987","Baden-Württemberg","Urban Area","","","",""
"Daily","1987","Baden-Württemberg","Rural Area","","","",""
"Daily","1987","Bavaria","Urban Area","","","",""
"Daily","1987","Bavaria","Rural Area","","","",""
"Daily","1987","Berlin","Urban Area","","","",""
"Daily","1987","Berlin","Rural Area","","","",""
"Daily","1987","Brandenburg","Urban Area","","","",""
"Daily","1987","Brandenburg","Rural Area","","","",""
"Daily","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Daily","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Daily","1987","Saxony","Urban Area","","","",""
"Daily","1987","Saxony","Rural Area","","","",""
"Daily","1987","Saxony-Anhalt","Urban Area","","","",""
"Daily","1987","Saxony-Anhalt","Rural Area","","","",""
"Daily","1987","Thuringia","Urban Area","","","",""
"Daily","1987","Thuringia","Rural Area","","","",""
"Min 1x per week","1987","Schleswig-Holstein","Urban Area","","","",""
"Min 1x per week","1987","Schleswig-Holstein","Rural Area","","","",""
"Min 1x per week","1987","Hamburg","Urban Area","","","",""
"Min 1x per week","1987","Hamburg","Rural Area","","","",""
"Min 1x per week","1987","Lower Saxony","Urban Area","","","",""
"Min 1x per week","1987","Lower Saxony","Rural Area","","","",""
"Min 1x per week","1987","Bremen","Urban Area","","","",""
"Min 1x per week","1987","Bremen","Rural Area","","","",""
"Min 1x per week","1987","North Rhine-Westphalia","Urban Area","","","",""
"Min 1x per week","1987","North Rhine-Westphalia","Rural Area","","","",""
"Min 1x per week","1987","Hesse","Urban Area","","","",""
"Min 1x per week","1987","Hesse","Rural Area","","","",""
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Min 1x per week","1987","Baden-Württemberg","Urban Area","","","",""
"Min 1x per week","1987","Baden-Württemberg","Rural Area","","","",""
"Min 1x per week","1987","Bavaria","Urban Area","","","",""
"Min 1x per week","1987","Bavaria","Rural Area","","","",""
"Min 1x per week","1987","Berlin","Urban Area","","","",""
"Min 1x per week","1987","Berlin","Rural Area","","","",""
"Min 1x per week","1987","Brandenburg","Urban Area","","","",""
"Min 1x per week","1987","Brandenburg","Rural Area","","","",""
"Min 1x per week","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Min 1x per week","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Min 1x per week","1987","Saxony","Urban Area","","","",""
"Min 1x per week","1987","Saxony","Rural Area","","","",""
"Min 1x per week","1987","Saxony-Anhalt","Urban Area","","","",""
"Min 1x per week","1987","Saxony-Anhalt","Rural Area","","","",""
"Min 1x per week","1987","Thuringia","Urban Area","","","",""
"Min 1x per week","1987","Thuringia","Rural Area","","","",""
"Min 1x per month","1987","Schleswig-Holstein","Urban Area","","","",""
"Min 1x per month","1987","Schleswig-Holstein","Rural Area","","","",""
"Min 1x per month","1987","Hamburg","Urban Area","","","",""
"Min 1x per month","1987","Hamburg","Rural Area","","","",""
"Min 1x per month","1987","Lower Saxony","Urban Area","","","",""
"Min 1x per month","1987","Lower Saxony","Rural Area","","","",""
"Min 1x per month","1987","Bremen","Urban Area","","","",""
"Min 1x per month","1987","Bremen","Rural Area","","","",""
"Min 1x per month","1987","North Rhine-Westphalia","Urban Area","","","",""
"Min 1x per month","1987","North Rhine-Westphalia","Rural Area","","","",""
"Min 1x per month","1987","Hesse","Urban Area","","","",""
"Min 1x per month","1987","Hesse","Rural Area","","","",""
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Min 1x per month","1987","Baden-Württemberg","Urban Area","","","",""
"Min 1x per month","1987","Baden-Württemberg","Rural Area","","","",""
"Min 1x per month","1987","Bavaria","Urban Area","","","",""
"Min 1x per month","1987","Bavaria","Rural Area","","","",""
"Min 1x per month","1987","Berlin","Urban Area","","","",""
"Min 1x per month","1987","Berlin","Rural Area","","","",""
"Min 1x per month","1987","Brandenburg","Urban Area","","","",""
"Min 1x per month","1987","Brandenburg","Rural Area","","","",""
"Min 1x per month","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Min 1x per month","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Min 1x per month","1987","Saxony","Urban Area","","","",""
"Min 1x per month","1987","Saxony","Rural Area","","","",""
"Min 1x per month","1987","Saxony-Anhalt","Urban Area","","","",""
"Min 1x per month","1987","Saxony-Anhalt","Rural Area","","","",""
"Min 1x per month","1987","Thuringia","Urban Area","","","",""
"Min 1x per month","1987","Thuringia","Rural Area","","","",""
"Rarely","1987","Schleswig-Holstein","Urban Area","","","",""
"Rarely","1987","Schleswig-Holstein","Rural Area","","","",""
"Rarely","1987","Hamburg","Urban Area","","","",""
"Rarely","1987","Hamburg","Rural Area","","","",""
"Rarely","1987","Lower Saxony","Urban Area","","","",""
"Rarely","1987","Lower Saxony","Rural Area","","","",""
"Rarely","1987","Bremen","Urban Area","","","",""
"Rarely","1987","Bremen","Rural Area","","","",""
"Rarely","1987","North Rhine-Westphalia","Urban Area","","","",""
"Rarely","1987","North Rhine-Westphalia","Rural Area","","","",""
"Rarely","1987","Hesse","Urban Area","","","",""
"Rarely","1987","Hesse","Rural Area","","","",""
"Rarely","1987","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Rarely","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Rarely","1987","Baden-Württemberg","Urban Area","","","",""
