"pli0096_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","1986","no migration background","Female","3214","0.832583197226447","0.820883839758794","0.844282554694101","5"
"Never","1986","direct migration background","Male","1319","0.843645515966528","0.825399168687544","0.861891863245512","5"
"Never","1986","indirect migration background","Male","54","0.702171141866723","0.596541278176714","0.807801005556732","5"
"Never","1986","direct migration background","Female","1205","0.889040115475223","0.872012494512578","0.906067736437869","5"
"Never","1986","indirect migration background","Female","72","0.947456810537131","0.899456176758385","0.995457444315877","5"
"Rarely","1986","no migration background","Male","349","0.0932160085958239","0.0837346320656275","0.10269738512602","4"
"Rarely","1986","no migration background","Female","291","0.0683228699422537","0.0604167311179485","0.0762290087665588","4"
"Rarely","1986","direct migration background","Male","65","0.0494218448099892","0.0385326904055772","0.0603109992144011","4"
"Rarely","1986","indirect migration background","Male","6","","","","4"
"Rarely","1986","direct migration background","Female","51","0.0442498788663573","0.0331008119734498","0.0553989457592647","4"
"Rarely","1986","indirect migration background","Female","5","","","","4"
"Daily","1987","no migration background","Male","","","","","1"
"Daily","1987","no migration background","Female","","","","","1"
"Daily","1987","direct migration background","Male","","","","","1"
"Daily","1987","direct migration background","Female","","","","","1"
"Daily","1987","indirect migration background","Male","","","","","1"
"Daily","1987","indirect migration background","Female","","","","","1"
"Min 1x per month","1987","direct migration background","Male","","","","","3"
"Min 1x per month","1987","no migration background","Male","","","","","3"
"Min 1x per month","1987","no migration background","Female","","","","","3"
"Min 1x per month","1987","indirect migration background","Male","","","","","3"
"Min 1x per month","1987","direct migration background","Female","","","","","3"
"Min 1x per month","1987","indirect migration background","Female","","","","","3"
"Min 1x per week","1987","no migration background","Male","","","","","2"
"Min 1x per week","1987","no migration background","Female","","","","","2"
"Min 1x per week","1987","direct migration background","Male","","","","","2"
"Min 1x per week","1987","indirect migration background","Male","","","","","2"
"Min 1x per week","1987","direct migration background","Female","","","","","2"
"Min 1x per week","1987","indirect migration background","Female","","","","","2"
"Never","1987","no migration background","Male","","","","","5"
"Never","1987","no migration background","Female","","","","","5"
"Never","1987","direct migration background","Male","","","","","5"
"Never","1987","direct migration background","Female","","","","","5"
"Never","1987","indirect migration background","Male","","","","","5"
"Never","1987","indirect migration background","Female","","","","","5"
"Rarely","1987","no migration background","Male","","","","","4"
"Rarely","1987","direct migration background","Male","","","","","4"
"Rarely","1987","no migration background","Female","","","","","4"
"Rarely","1987","indirect migration background","Male","","","","","4"
"Rarely","1987","direct migration background","Female","","","","","4"
"Rarely","1987","indirect migration background","Female","","","","","4"
"Daily","1988","no migration background","Male","","","","","1"
"Daily","1988","no migration background","Female","","","","","1"
"Daily","1988","direct migration background","Male","","","","","1"
"Daily","1988","direct migration background","Female","","","","","1"
"Daily","1988","indirect migration background","Male","","","","","1"
"Daily","1988","indirect migration background","Female","","","","","1"
"Min 1x per month","1988","direct migration background","Male","42","0.035869696794638","0.0261561355442435","0.0455832580450324","3"
"Min 1x per month","1988","no migration background","Male","330","0.0924163439985209","0.0826585726107402","0.102174115386302","3"
"Min 1x per month","1988","no migration background","Female","201","0.0505292755725475","0.0434107710440252","0.0576477801010698","3"
"Min 1x per month","1988","indirect migration background","Male","3","","","","3"
"Min 1x per month","1988","direct migration background","Female","19","","","","3"
"Min 1x per month","1988","indirect migration background","Female","5","","","","3"
"Min 1x per week","1988","no migration background","Male","439","0.126549694017928","0.115348029435762","0.137751358600093","2"
"Min 1x per week","1988","direct migration background","Male","80","0.0680910211333422","0.0549333679368828","0.0812486743298017","2"
"Min 1x per week","1988","no migration background","Female","241","0.0636961633960423","0.0557594357196223","0.0716328910724624","2"
"Min 1x per week","1988","indirect migration background","Male","10","","","","2"
"Min 1x per week","1988","direct migration background","Female","35","0.0499063412421188","0.0378350379934916","0.0619776444907461","2"
"Min 1x per week","1988","indirect migration background","Female","4","","","","2"
"Never","1988","no migration background","Male","2248","0.673963181651098","0.658169465701258","0.689756897600938","5"
"Never","1988","no migration background","Female","2861","0.799979391107902","0.786979095954575","0.812979686261228","5"
"Never","1988","direct migration background","Male","1211","0.831189152284706","0.811623385512634","0.850754919056778","5"
"Never","1988","direct migration background","Female","1146","0.876819422239281","0.858600642577943","0.895038201900619","5"
"Never","1988","indirect migration background","Male","85","0.713943660920004","0.62791306772127","0.799974254118738","5"
"Never","1988","indirect migration background","Female","99","0.814702720815082","0.743997220296098","0.885408221334066","5"
"Rarely","1988","no migration background","Male","367","0.107070780332453","0.0966529587550485","0.117488601909858","4"
"Rarely","1988","direct migration background","Male","75","0.0648501297873141","0.0519871141567345","0.0777131454178937","4"
"Rarely","1988","no migration background","Female","334","0.0857951699235084","0.0766933211470277","0.0948970186999891","4"
"Rarely","1988","direct migration background","Female","50","0.059767306434357","0.0466258772071791","0.0729087356615349","4"
"Rarely","1988","indirect migration background","Male","8","","","","4"
"Rarely","1988","indirect migration background","Female","8","","","","4"
"Daily","1989","no migration background","Male","","","","","1"
"Daily","1989","no migration background","Female","","","","","1"
"Daily","1989","direct migration background","Male","","","","","1"
"Daily","1989","direct migration background","Female","","","","","1"
"Daily","1989","indirect migration background","Male","","","","","1"
"Daily","1989","indirect migration background","Female","","","","","1"
"Min 1x per month","1989","no migration background","Male","","","","","3"
"Min 1x per month","1989","direct migration background","Male","","","","","3"
"Min 1x per month","1989","no migration background","Female","","","","","3"
"Min 1x per month","1989","indirect migration background","Male","","","","","3"
"Min 1x per month","1989","direct migration background","Female","","","","","3"
"Min 1x per month","1989","indirect migration background","Female","","","","","3"
"Min 1x per week","1989","no migration background","Female","","","","","2"
"Min 1x per week","1989","no migration background","Male","","","","","2"
"Min 1x per week","1989","direct migration background","Male","","","","","2"
"Min 1x per week","1989","direct migration background","Female","","","","","2"
"Min 1x per week","1989","indirect migration background","Male","","","","","2"
"Min 1x per week","1989","indirect migration background","Female","","","","","2"
"Never","1989","no migration background","Male","","","","","5"
"Never","1989","no migration background","Female","","","","","5"
"Never","1989","direct migration background","Male","","","","","5"
"Never","1989","direct migration background","Female","","","","","5"
"Never","1989","indirect migration background","Male","","","","","5"
"Never","1989","indirect migration background","Female","","","","","5"
"Rarely","1989","no migration background","Male","","","","","4"
"Rarely","1989","direct migration background","Male","","","","","4"
"Rarely","1989","no migration background","Female","","","","","4"
"Rarely","1989","indirect migration background","Male","","","","","4"
"Rarely","1989","direct migration background","Female","","","","","4"
"Rarely","1989","indirect migration background","Female","","","","","4"
"Daily","1990","no migration background","Male","57","0.0149859011596797","0.0116814328975979","0.0182903694217615","1"
"Daily","1990","no migration background","Female","23","","","","1"
"Daily","1990","direct migration background","Male","8","","","","1"
"Daily","1990","direct migration background","Female","3","","","","1"
"Daily","1990","indirect migration background","Male","5","","","","1"
"Daily","1990","indirect migration background","Female","","","","","1"
"Min 1x per month","1990","no migration background","Male","596","0.105786764724781","0.0974215875422789","0.114151941907283","3"
"Min 1x per month","1990","no migration background","Female","401","0.0596902713755436","0.053510059570124","0.0658704831809633","3"
"Min 1x per month","1990","direct migration background","Male","52","0.0434288123951922","0.0327369587253379","0.0541206660650465","3"
"Min 1x per month","1990","direct migration background","Female","36","0.0482222733722107","0.0364582741795887","0.0599862725648327","3"
"Min 1x per month","1990","indirect migration background","Male","1","","","","3"
"Min 1x per month","1990","indirect migration background","Female","2","","","","3"
"Min 1x per week","1990","no migration background","Male","509","0.0936705038551272","0.0857457931885683","0.101595214521686","2"
"Min 1x per week","1990","no migration background","Female","296","0.0539562346338058","0.0480624732468076","0.0598499960208041","2"
"Min 1x per week","1990","direct migration background","Male","64","0.0570075291143392","0.0448449520977701","0.0691701061309084","2"
"Min 1x per week","1990","direct migration background","Female","25","","","","2"
"Min 1x per week","1990","indirect migration background","Male","5","","","","2"
"Min 1x per week","1990","indirect migration background","Female","1","","","","2"
"Never","1990","no migration background","Male","3305","0.645961815189369","0.632955106737322","0.658968523641416","5"
"Never","1990","no migration background","Female","4333","0.780006124593133","0.769199988831906","0.790812260354361","5"
"Never","1990","direct migration background","Male","1164","0.795943790065155","0.774802986580712","0.817084593549598","5"
"Never","1990","direct migration background","Female","1133","0.826751233262592","0.805969303215818","0.847533163309366","5"
"Never","1990","indirect migration background","Male","124","0.752060172513891","0.682016145723435","0.822104199304346","5"
"Never","1990","indirect migration background","Female","135","0.926698404106931","0.885127876174339","0.968268932039523","5"
"Rarely","1990","no migration background","Male","726","0.139595015071043","0.130169060471394","0.149020969670692","4"
"Rarely","1990","no migration background","Female","592","0.100638725795665","0.0927906032777368","0.108486848313594","4"
"Rarely","1990","direct migration background","Male","108","0.095845290945988","0.0804029852257961","0.11128759666618","4"
"Rarely","1990","indirect migration background","Male","11","","","","4"
"Rarely","1990","direct migration background","Female","77","0.0780667429884195","0.0633352708699697","0.0927982151068694","4"
"Rarely","1990","indirect migration background","Female","13","","","","4"
"Daily","1991","no migration background","Male","","","","","1"
"Daily","1991","no migration background","Female","","","","","1"
"Daily","1991","direct migration background","Male","","","","","1"
"Daily","1991","direct migration background","Female","","","","","1"
"Daily","1991","indirect migration background","Male","","","","","1"
"Daily","1991","indirect migration background","Female","","","","","1"
"Min 1x per month","1991","no migration background","Male","","","","","3"
"Min 1x per month","1991","direct migration background","Male","","","","","3"
"Min 1x per month","1991","no migration background","Female","","","","","3"
"Min 1x per month","1991","direct migration background","Female","","","","","3"
"Min 1x per month","1991","indirect migration background","Male","","","","","3"
"Min 1x per month","1991","indirect migration background","Female","","","","","3"
"Min 1x per week","1991","no migration background","Female","","","","","2"
"Min 1x per week","1991","no migration background","Male","","","","","2"
"Min 1x per week","1991","direct migration background","Male","","","","","2"
"Min 1x per week","1991","direct migration background","Female","","","","","2"
"Min 1x per week","1991","indirect migration background","Male","","","","","2"
"Min 1x per week","1991","indirect migration background","Female","","","","","2"
"Never","1991","no migration background","Male","","","","","5"
"Never","1991","no migration background","Female","","","","","5"
"Never","1991","direct migration background","Male","","","","","5"
"Never","1991","direct migration background","Female","","","","","5"
"Never","1991","indirect migration background","Male","","","","","5"
"Never","1991","indirect migration background","Female","","","","","5"
"Rarely","1991","no migration background","Male","","","","","4"
"Rarely","1991","no migration background","Female","","","","","4"
"Rarely","1991","direct migration background","Male","","","","","4"
"Rarely","1991","indirect migration background","Male","","","","","4"
"Rarely","1991","direct migration background","Female","","","","","4"
"Rarely","1991","indirect migration background","Female","","","","","4"
"Daily","1992","no migration background","Male","","","","","1"
"Daily","1992","no migration background","Female","","","","","1"
"Daily","1992","direct migration background","Male","","","","","1"
"Daily","1992","direct migration background","Female","","","","","1"
"Daily","1992","indirect migration background","Male","","","","","1"
"Daily","1992","indirect migration background","Female","","","","","1"
"Min 1x per month","1992","no migration background","Male","432","0.0846127680931258","0.0768187918544103","0.0924067443318413","3"
"Min 1x per month","1992","direct migration background","Male","51","0.0521513931584568","0.0401254769568021","0.0641773093601114","3"
"Min 1x per month","1992","no migration background","Female","257","0.0502545512050692","0.0444178487499898","0.0560912536601487","3"
"Min 1x per month","1992","indirect migration background","Male","1","","","","3"
"Min 1x per month","1992","direct migration background","Female","40","0.0444049867058657","0.0328317293292037","0.0559782440825276","3"
"Min 1x per month","1992","indirect migration background","Female","5","","","","3"
"Min 1x per week","1992","no migration background","Female","239","0.0479978986642509","0.0422869755931259","0.0537088217353758","2"
"Min 1x per week","1992","no migration background","Male","435","0.090680897867787","0.0826390701725132","0.0987227255630607","2"
"Min 1x per week","1992","direct migration background","Male","62","0.0465401601309808","0.0351460380815051","0.0579342821804565","2"
"Min 1x per week","1992","direct migration background","Female","26","","","","2"
"Min 1x per week","1992","indirect migration background","Male","11","","","","2"
"Min 1x per week","1992","indirect migration background","Female","7","","","","2"
"Never","1992","no migration background","Male","3432","0.702936138182515","0.690138743992139","0.715733532372892","5"
"Never","1992","no migration background","Female","4326","0.799696529649433","0.789003935404243","0.810389123894623","5"
"Never","1992","direct migration background","Male","1089","0.796023551946561","0.774227958463525","0.817819145429598","5"
"Never","1992","direct migration background","Female","1095","0.867584883607824","0.848542225355744","0.886627541859905","5"
"Never","1992","indirect migration background","Male","174","0.856178940784824","0.808143180082165","0.904214701487483","5"
"Never","1992","indirect migration background","Female","168","0.859687197864129","0.811553195846812","0.907821199881446","5"
"Rarely","1992","no migration background","Male","599","0.121770195856572","0.112611929112465","0.130928462600679","4"
"Rarely","1992","direct migration background","Male","111","0.105284894764001","0.0886836311289353","0.121886158399067","4"
"Rarely","1992","no migration background","Female","560","0.102051020481247","0.0939635864557035","0.110138454506791","4"
"Rarely","1992","indirect migration background","Male","19","","","","4"
"Rarely","1992","direct migration background","Female","56","0.0576956008818332","0.044595647155147","0.0707955546085194","4"
"Rarely","1992","indirect migration background","Female","20","","","","4"
"Daily","1993","no migration background","Male","","","","","1"
"Daily","1993","no migration background","Female","","","","","1"
"Daily","1993","direct migration background","Male","","","","","1"
"Daily","1993","direct migration background","Female","","","","","1"
"Daily","1993","indirect migration background","Male","","","","","1"
"Daily","1993","indirect migration background","Female","","","","","1"
"Min 1x per month","1993","no migration background","Male","","","","","3"
"Min 1x per month","1993","no migration background","Female","","","","","3"
"Min 1x per month","1993","direct migration background","Male","","","","","3"
"Min 1x per month","1993","direct migration background","Female","","","","","3"
"Min 1x per month","1993","indirect migration background","Male","","","","","3"
"Min 1x per month","1993","indirect migration background","Female","","","","","3"
"Min 1x per week","1993","no migration background","Male","","","","","2"
"Min 1x per week","1993","no migration background","Female","","","","","2"
"Min 1x per week","1993","direct migration background","Male","","","","","2"
"Min 1x per week","1993","direct migration background","Female","","","","","2"
"Min 1x per week","1993","indirect migration background","Male","","","","","2"
"Min 1x per week","1993","indirect migration background","Female","","","","","2"
"Never","1993","no migration background","Male","","","","","5"
"Never","1993","no migration background","Female","","","","","5"
"Never","1993","direct migration background","Male","","","","","5"
"Never","1993","direct migration background","Female","","","","","5"
"Never","1993","indirect migration background","Male","","","","","5"
"Never","1993","indirect migration background","Female","","","","","5"
"Rarely","1993","no migration background","Male","","","","","4"
"Rarely","1993","no migration background","Female","","","","","4"
"Rarely","1993","direct migration background","Male","","","","","4"
"Rarely","1993","indirect migration background","Male","","","","","4"
"Rarely","1993","direct migration background","Female","","","","","4"
"Rarely","1993","indirect migration background","Female","","","","","4"
"Daily","1994","no migration background","Male","","","","","1"
"Daily","1994","no migration background","Female","","","","","1"
"Daily","1994","direct migration background","Male","","","","","1"
"Daily","1994","direct migration background","Female","","","","","1"
"Daily","1994","indirect migration background","Male","","","","","1"
"Daily","1994","indirect migration background","Female","","","","","1"
"Min 1x per month","1994","no migration background","Male","438","0.0950692201648952","0.0867156929839064","0.103422747345884","3"
"Min 1x per month","1994","no migration background","Female","259","0.0479436537419699","0.0421644856090497","0.05372282187489","3"
"Min 1x per month","1994","direct migration background","Male","49","0.0489886575537919","0.0367865043122957","0.0611908107952882","3"
"Min 1x per month","1994","indirect migration background","Male","6","","","","3"
"Min 1x per month","1994","direct migration background","Female","31","0.0369504406309756","0.0260335109890195","0.0478673702729316","3"
"Min 1x per month","1994","indirect migration background","Female","12","","","","3"
"Min 1x per week","1994","no migration background","Male","432","0.0937248406366843","0.0854244288649634","0.102025252408405","2"
"Min 1x per week","1994","direct migration background","Male","60","0.0573670626971216","0.0442209161458017","0.0705132092484414","2"
"Min 1x per week","1994","no migration background","Female","233","0.0505994300455343","0.0446706410270308","0.0565282190640378","2"
"Min 1x per week","1994","indirect migration background","Male","13","","","","2"
"Min 1x per week","1994","direct migration background","Female","26","","","","2"
"Min 1x per week","1994","indirect migration background","Female","9","","","","2"
"Never","1994","no migration background","Male","3245","0.676255628993578","0.662929659837872","0.689581598149284","5"
"Never","1994","no migration background","Female","4211","0.799053126962307","0.788213935361371","0.809892318563244","5"
"Never","1994","direct migration background","Male","981","0.803632811927655","0.781175428810346","0.826090195044965","5"
"Never","1994","direct migration background","Female","1002","0.857753834061938","0.837539101467655","0.877968566656221","5"
"Never","1994","indirect migration background","Male","196","0.763225656641814","0.710318301486346","0.816133011797283","5"
"Never","1994","indirect migration background","Female","199","0.853780366987078","0.809356037566564","0.898204696407593","5"
"Rarely","1994","no migration background","Male","621","0.134950310204843","0.125219484019908","0.144681136389777","4"
"Rarely","1994","no migration background","Female","547","0.102403789250189","0.0942027864883993","0.110604792011978","4"
"Rarely","1994","direct migration background","Male","112","0.0900114678214311","0.0738320556527799","0.106190879990082","4"
"Rarely","1994","direct migration background","Female","88","0.0723760089217081","0.0573808979673776","0.0873711198760387","4"
"Rarely","1994","indirect migration background","Male","33","0.130072790695346","0.0882072275850706","0.171938353805621","4"
"Rarely","1994","indirect migration background","Female","23","","","","4"
"Daily","1995","no migration background","Male","81","0.0194650398203229","0.015527104790053","0.0234029748505928","1"
"Daily","1995","no migration background","Female","36","0.00764250000180548","0.00528387658492445","0.0100011234186865","1"
"Daily","1995","direct migration background","Male","13","","","","1"
"Daily","1995","direct migration background","Female","5","","","","1"
"Daily","1995","indirect migration background","Male","3","","","","1"
"Daily","1995","indirect migration background","Female","","","","","1"
"Min 1x per month","1995","no migration background","Male","372","0.075329614641983","0.0678067074469565","0.0828525218370096","3"
"Min 1x per month","1995","no migration background","Female","250","0.0487269912835937","0.0428959758721342","0.0545580066950532","3"
"Min 1x per month","1995","direct migration background","Male","54","0.0429497200853161","0.0323672736017539","0.0535321665688782","3"
"Min 1x per month","1995","direct migration background","Female","31","0.0316011261113879","0.0223580337769658","0.04084421844581","3"
"Min 1x per month","1995","indirect migration background","Male","6","","","","3"
"Min 1x per month","1995","indirect migration background","Female","7","","","","3"
"Min 1x per week","1995","no migration background","Male","417","0.0858269460652265","0.0778426727566222","0.0938112193738308","2"
"Min 1x per week","1995","direct migration background","Male","57","0.0514388512688513","0.0399091824741668","0.0629685200635358","2"
"Min 1x per week","1995","no migration background","Female","251","0.0504771747089685","0.0445478255122182","0.0564065239057187","2"
"Min 1x per week","1995","direct migration background","Female","31","0.0336616574048004","0.024132132973187","0.0431911818364138","2"
"Min 1x per week","1995","indirect migration background","Male","7","","","","2"
"Min 1x per week","1995","indirect migration background","Female","8","","","","2"
"Never","1995","no migration background","Male","3381","0.715679540868719","0.702821561810843","0.728537519926594","5"
"Never","1995","no migration background","Female","4287","0.814125380355433","0.803589702145985","0.824661058564881","5"
"Never","1995","direct migration background","Male","1190","0.824167875128689","0.804297983974481","0.844037766282897","5"
"Never","1995","direct migration background","Female","1242","0.870049079479399","0.852282638802016","0.887815520156782","5"
"Never","1995","indirect migration background","Male","222","0.769570639626076","0.717884850291646","0.821256428960506","5"
"Never","1995","indirect migration background","Female","229","0.860234642665311","0.817759353708935","0.902709931621688","5"
"Rarely","1995","no migration background","Male","477","0.103698858603749","0.0950087877003851","0.112388929507112","4"
"Rarely","1995","no migration background","Female","413","0.0790279536501997","0.071721268451938","0.0863346388484614","4"
"Rarely","1995","direct migration background","Male","96","0.0728824780327929","0.0593144261871821","0.0864505298784038","4"
"Rarely","1995","direct migration background","Female","67","0.0617932023057685","0.0490711108637443","0.0745152937477927","4"
"Rarely","1995","indirect migration background","Male","17","","","","4"
"Rarely","1995","indirect migration background","Female","12","","","","4"
"Daily","1996","no migration background","Male","","","","","1"
"Daily","1996","no migration background","Female","","","","","1"
"Daily","1996","direct migration background","Male","","","","","1"
"Daily","1996","direct migration background","Female","","","","","1"
"Daily","1996","indirect migration background","Male","","","","","1"
"Daily","1996","indirect migration background","Female","","","","","1"
"Min 1x per month","1996","no migration background","Male","442","0.0949735097436436","0.0865989544692057","0.103348065018082","3"
"Min 1x per month","1996","no migration background","Female","292","0.0589798132093727","0.0525753738209322","0.0653842525978132","3"
"Min 1x per month","1996","direct migration background","Male","71","0.062506226326232","0.0494125511139941","0.0755999015384698","3"
"Min 1x per month","1996","direct migration background","Female","42","0.0568696933371384","0.0442658093645314","0.0694735773097455","3"
"Min 1x per month","1996","indirect migration background","Male","8","","","","3"
"Min 1x per month","1996","indirect migration background","Female","9","","","","3"
"Min 1x per week","1996","no migration background","Male","489","0.104412112237438","0.0956771826110395","0.113147041863836","2"
"Min 1x per week","1996","no migration background","Female","270","0.0568685185091717","0.0505727024422372","0.0631643345761062","2"
"Min 1x per week","1996","direct migration background","Male","66","0.054371139465607","0.0421063441571538","0.0666359347740602","2"
"Min 1x per week","1996","direct migration background","Female","27","","","","2"
"Min 1x per week","1996","indirect migration background","Male","14","","","","2"
"Min 1x per week","1996","indirect migration background","Female","9","","","","2"
"Never","1996","no migration background","Male","3030","0.627727059879828","0.613918575156502","0.641535544603154","5"
"Never","1996","no migration background","Female","3937","0.75184730718067","0.74010497738367","0.76358963697767","5"
"Never","1996","direct migration background","Male","1031","0.782015545081349","0.75968310471251","0.804347985450189","5"
"Never","1996","direct migration background","Female","1111","0.810745865029843","0.78942802677796","0.832063703281727","5"
"Never","1996","indirect migration background","Male","210","0.698413167116652","0.643568507111021","0.753257827122284","5"
"Never","1996","indirect migration background","Female","214","0.764751260389648","0.714801666700566","0.81470085407873","5"
"Rarely","1996","no migration background","Female","699","0.132304361100786","0.123093489236387","0.141515232965184","4"
"Rarely","1996","no migration background","Male","747","0.172887318139091","0.162085576819551","0.183689059458631","4"
"Rarely","1996","direct migration background","Male","145","0.101107089126812","0.0848005983454157","0.117413579908208","4"
"Rarely","1996","direct migration background","Female","117","0.0957508736770596","0.0797371059641597","0.111764641389959","4"
"Rarely","1996","indirect migration background","Male","37","0.173511423044157","0.128257689582891","0.218765156505424","4"
"Rarely","1996","indirect migration background","Female","45","0.153555487244113","0.11109938469211","0.196011589796116","4"
"Daily","1997","no migration background","Male","","","","","1"
"Daily","1997","no migration background","Female","","","","","1"
"Daily","1997","direct migration background","Male","","","","","1"
"Daily","1997","indirect migration background","Male","","","","","1"
"Daily","1997","direct migration background","Female","","","","","1"
"Daily","1997","indirect migration background","Female","","","","","1"
"Min 1x per month","1997","no migration background","Male","433","0.0968005691362799","0.0883109947955903","0.105290143476969","3"
"Min 1x per month","1997","no migration background","Female","307","0.0646791236154258","0.0579334155944132","0.0714248316364384","3"
"Min 1x per month","1997","direct migration background","Male","53","0.0474979618835392","0.0356971675223168","0.0592987562447616","3"
"Min 1x per month","1997","indirect migration background","Male","12","","","","3"
"Min 1x per month","1997","direct migration background","Female","33","0.0589185113461832","0.0457323148029007","0.0721047078894657","3"
"Min 1x per month","1997","indirect migration background","Female","8","","","","3"
"Min 1x per week","1997","no migration background","Male","479","0.105214673376809","0.0964051438579354","0.114024202895682","2"
"Min 1x per week","1997","direct migration background","Male","70","0.0660185729482992","0.0522419432689638","0.0797952026276347","2"
"Min 1x per week","1997","no migration background","Female","287","0.0595907676133778","0.053098250634478","0.0660832845922776","2"
"Min 1x per week","1997","indirect migration background","Male","19","","","","2"
"Min 1x per week","1997","direct migration background","Female","30","0.0298210222604402","0.0202959727871414","0.0393460717337391","2"
"Min 1x per week","1997","indirect migration background","Female","12","","","","2"
"Never","1997","no migration background","Male","3098","0.658403877979485","0.644787619452095","0.672020136506875","5"
"Never","1997","no migration background","Female","3882","0.749913139398955","0.73803588439075","0.761790394407159","5"
"Never","1997","direct migration background","Male","1007","0.800566587147283","0.778397975822954","0.822735198471611","5"
"Never","1997","direct migration background","Female","1051","0.822038937047494","0.800620452628406","0.843457421466581","5"
"Never","1997","indirect migration background","Male","217","0.710470711170583","0.65845003335845","0.762491388982716","5"
"Never","1997","indirect migration background","Female","235","0.855323739847532","0.814193728333658","0.896453751361406","5"
"Rarely","1997","no migration background","Male","650","0.139580879507426","0.129630878508313","0.14953088050654","4"
"Rarely","1997","no migration background","Female","631","0.125816969372242","0.116721272928442","0.134912665816041","4"
"Rarely","1997","direct migration background","Male","118","0.0859168780208789","0.0703689369057952","0.101464819135963","4"
"Rarely","1997","direct migration background","Female","111","0.0892215293458827","0.0732582815100327","0.105184777181733","4"
"Rarely","1997","indirect migration background","Male","44","0.185616991755462","0.141022637237099","0.230211346273824","4"
"Rarely","1997","indirect migration background","Female","26","","","","4"
"Daily","1998","no migration background","Male","74","0.0124251957228111","0.00945828161703473","0.0153921098285874","1"
"Daily","1998","no migration background","Female","26","","","","1"
