"pli0082","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Rarely","1990","Schleswig-Holstein","East Germany","","","",""
"Rarely","1990","Hamburg","West Germany","60","0.386884999014604","0.313237947125944","0.460532050903264"
"Rarely","1990","Hamburg","East Germany","","","",""
"Rarely","1990","Lower Saxony","West Germany","476","0.472957157492282","0.441634612394565","0.504279702589999"
"Rarely","1990","Lower Saxony","East Germany","","","",""
"Rarely","1990","Bremen","West Germany","34","0.325953923245926","0.235432290736013","0.416475555755839"
"Rarely","1990","Bremen","East Germany","","","",""
"Rarely","1990","North Rhine-Westphalia","West Germany","1365","0.535689477508184","0.516400402488588","0.55497855252778"
"Rarely","1990","North Rhine-Westphalia","East Germany","","","",""
"Rarely","1990","Hesse","West Germany","436","0.449636378031523","0.418538775203545","0.480733980859501"
"Rarely","1990","Hesse","East Germany","","","",""
"Rarely","1990","Rhineland-Palatinate,Saarland","West Germany","315","0.439284271351114","0.401704434892954","0.476864107809274"
"Rarely","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","1990","Baden-Württemberg","West Germany","883","0.481472244935449","0.458331788002493","0.504612701868405"
"Rarely","1990","Baden-Württemberg","East Germany","","","",""
"Rarely","1990","Bavaria","West Germany","753","0.469003800472388","0.444520749607169","0.493486851337607"
"Rarely","1990","Bavaria","East Germany","","","",""
"Rarely","1990","Berlin","West Germany","136","0.411738441358379","0.358719623906787","0.46475725880997"
"Rarely","1990","Berlin","East Germany","","","",""
"Rarely","1990","Brandenburg","West Germany","","","",""
"Rarely","1990","Brandenburg","East Germany","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","East Germany","","","",""
"Rarely","1990","Saxony","West Germany","","","",""
"Rarely","1990","Saxony","East Germany","","","",""
"Rarely","1990","Saxony-Anhalt","West Germany","","","",""
"Rarely","1990","Saxony-Anhalt","East Germany","","","",""
"Rarely","1990","Thuringia","West Germany","","","",""
"Rarely","1990","Thuringia","East Germany","","","",""
"Never","1990","Schleswig-Holstein","West Germany","24","","",""
"Never","1990","Schleswig-Holstein","East Germany","","","",""
"Never","1990","Hamburg","West Germany","24","","",""
"Never","1990","Hamburg","East Germany","","","",""
"Never","1990","Lower Saxony","West Germany","106","0.110846101583969","0.0911503815404837","0.130541821627454"
"Never","1990","Lower Saxony","East Germany","","","",""
"Never","1990","Bremen","West Germany","18","","",""
"Never","1990","Bremen","East Germany","","","",""
"Never","1990","North Rhine-Westphalia","West Germany","308","0.101514110109719","0.0898333953724493","0.113194824846989"
"Never","1990","North Rhine-Westphalia","East Germany","","","",""
"Never","1990","Hesse","West Germany","166","0.120534652161758","0.100181266691162","0.140888037632355"
"Never","1990","Hesse","East Germany","","","",""
"Never","1990","Rhineland-Palatinate,Saarland","West Germany","91","0.140543041065401","0.114226583485228","0.166859498645573"
"Never","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Never","1990","Baden-Württemberg","West Germany","222","0.105120967176533","0.0909164283438006","0.119325506009265"
"Never","1990","Baden-Württemberg","East Germany","","","",""
"Never","1990","Bavaria","West Germany","128","0.075203796473298","0.0622655759441797","0.0881420170024163"
"Never","1990","Bavaria","East Germany","","","",""
"Never","1990","Berlin","West Germany","73","0.145198692364764","0.107245524120697","0.18315186060883"
"Never","1990","Berlin","East Germany","","","",""
"Never","1990","Brandenburg","West Germany","","","",""
"Never","1990","Brandenburg","East Germany","","","",""
"Never","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"Never","1990","Mecklenburg-Western Pomerania","East Germany","","","",""
"Never","1990","Saxony","West Germany","","","",""
"Never","1990","Saxony","East Germany","","","",""
"Never","1990","Saxony-Anhalt","West Germany","","","",""
"Never","1990","Saxony-Anhalt","East Germany","","","",""
"Never","1990","Thuringia","West Germany","","","",""
"Never","1990","Thuringia","East Germany","","","",""
"Daily","1991","Schleswig-Holstein","West Germany","","","",""
"Daily","1991","Schleswig-Holstein","East Germany","","","",""
"Daily","1991","Hamburg","West Germany","","","",""
"Daily","1991","Hamburg","East Germany","","","",""
"Daily","1991","Lower Saxony","West Germany","","","",""
"Daily","1991","Lower Saxony","East Germany","","","",""
"Daily","1991","Bremen","West Germany","","","",""
"Daily","1991","Bremen","East Germany","","","",""
"Daily","1991","North Rhine-Westphalia","West Germany","","","",""
"Daily","1991","North Rhine-Westphalia","East Germany","","","",""
"Daily","1991","Hesse","West Germany","","","",""
"Daily","1991","Hesse","East Germany","","","",""
"Daily","1991","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Daily","1991","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Daily","1991","Baden-Württemberg","West Germany","","","",""
"Daily","1991","Baden-Württemberg","East Germany","","","",""
"Daily","1991","Bavaria","West Germany","","","",""
"Daily","1991","Bavaria","East Germany","","","",""
"Daily","1991","Berlin","West Germany","","","",""
"Daily","1991","Berlin","East Germany","","","",""
"Daily","1991","Brandenburg","West Germany","","","",""
"Daily","1991","Brandenburg","East Germany","","","",""
"Daily","1991","Mecklenburg-Western Pomerania","West Germany","","","",""
"Daily","1991","Mecklenburg-Western Pomerania","East Germany","","","",""
"Daily","1991","Saxony","West Germany","","","",""
"Daily","1991","Saxony","East Germany","","","",""
"Daily","1991","Saxony-Anhalt","West Germany","","","",""
"Daily","1991","Saxony-Anhalt","East Germany","","","",""
"Daily","1991","Thuringia","West Germany","","","",""
"Daily","1991","Thuringia","East Germany","","","",""
"Min 1x per week","1991","Schleswig-Holstein","West Germany","","","",""
"Min 1x per week","1991","Schleswig-Holstein","East Germany","","","",""
"Min 1x per week","1991","Hamburg","West Germany","","","",""
"Min 1x per week","1991","Hamburg","East Germany","","","",""
"Min 1x per week","1991","Lower Saxony","West Germany","","","",""
"Min 1x per week","1991","Lower Saxony","East Germany","","","",""
"Min 1x per week","1991","Bremen","West Germany","","","",""
"Min 1x per week","1991","Bremen","East Germany","","","",""
"Min 1x per week","1991","North Rhine-Westphalia","West Germany","","","",""
"Min 1x per week","1991","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per week","1991","Hesse","West Germany","","","",""
"Min 1x per week","1991","Hesse","East Germany","","","",""
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per week","1991","Baden-Württemberg","West Germany","","","",""
"Min 1x per week","1991","Baden-Württemberg","East Germany","","","",""
"Min 1x per week","1991","Bavaria","West Germany","","","",""
"Min 1x per week","1991","Bavaria","East Germany","","","",""
"Min 1x per week","1991","Berlin","West Germany","","","",""
"Min 1x per week","1991","Berlin","East Germany","","","",""
"Min 1x per week","1991","Brandenburg","West Germany","","","",""
"Min 1x per week","1991","Brandenburg","East Germany","","","",""
"Min 1x per week","1991","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per week","1991","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per week","1991","Saxony","West Germany","","","",""
"Min 1x per week","1991","Saxony","East Germany","","","",""
"Min 1x per week","1991","Saxony-Anhalt","West Germany","","","",""
"Min 1x per week","1991","Saxony-Anhalt","East Germany","","","",""
"Min 1x per week","1991","Thuringia","West Germany","","","",""
"Min 1x per week","1991","Thuringia","East Germany","","","",""
"Min 1x per month","1991","Schleswig-Holstein","West Germany","","","",""
"Min 1x per month","1991","Schleswig-Holstein","East Germany","","","",""
"Min 1x per month","1991","Hamburg","West Germany","","","",""
"Min 1x per month","1991","Hamburg","East Germany","","","",""
"Min 1x per month","1991","Lower Saxony","West Germany","","","",""
"Min 1x per month","1991","Lower Saxony","East Germany","","","",""
"Min 1x per month","1991","Bremen","West Germany","","","",""
"Min 1x per month","1991","Bremen","East Germany","","","",""
"Min 1x per month","1991","North Rhine-Westphalia","West Germany","","","",""
"Min 1x per month","1991","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per month","1991","Hesse","West Germany","","","",""
"Min 1x per month","1991","Hesse","East Germany","","","",""
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per month","1991","Baden-Württemberg","West Germany","","","",""
"Min 1x per month","1991","Baden-Württemberg","East Germany","","","",""
"Min 1x per month","1991","Bavaria","West Germany","","","",""
"Min 1x per month","1991","Bavaria","East Germany","","","",""
"Min 1x per month","1991","Berlin","West Germany","","","",""
"Min 1x per month","1991","Berlin","East Germany","","","",""
"Min 1x per month","1991","Brandenburg","West Germany","","","",""
"Min 1x per month","1991","Brandenburg","East Germany","","","",""
"Min 1x per month","1991","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per month","1991","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per month","1991","Saxony","West Germany","","","",""
"Min 1x per month","1991","Saxony","East Germany","","","",""
"Min 1x per month","1991","Saxony-Anhalt","West Germany","","","",""
"Min 1x per month","1991","Saxony-Anhalt","East Germany","","","",""
"Min 1x per month","1991","Thuringia","West Germany","","","",""
"Min 1x per month","1991","Thuringia","East Germany","","","",""
"Rarely","1991","Schleswig-Holstein","West Germany","","","",""
"Rarely","1991","Schleswig-Holstein","East Germany","","","",""
"Rarely","1991","Hamburg","West Germany","","","",""
"Rarely","1991","Hamburg","East Germany","","","",""
"Rarely","1991","Lower Saxony","West Germany","","","",""
"Rarely","1991","Lower Saxony","East Germany","","","",""
"Rarely","1991","Bremen","West Germany","","","",""
"Rarely","1991","Bremen","East Germany","","","",""
"Rarely","1991","North Rhine-Westphalia","West Germany","","","",""
"Rarely","1991","North Rhine-Westphalia","East Germany","","","",""
"Rarely","1991","Hesse","West Germany","","","",""
"Rarely","1991","Hesse","East Germany","","","",""
"Rarely","1991","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Rarely","1991","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","1991","Baden-Württemberg","West Germany","","","",""
"Rarely","1991","Baden-Württemberg","East Germany","","","",""
"Rarely","1991","Bavaria","West Germany","","","",""
"Rarely","1991","Bavaria","East Germany","","","",""
"Rarely","1991","Berlin","West Germany","","","",""
"Rarely","1991","Berlin","East Germany","","","",""
"Rarely","1991","Brandenburg","West Germany","","","",""
"Rarely","1991","Brandenburg","East Germany","","","",""
"Rarely","1991","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","1991","Mecklenburg-Western Pomerania","East Germany","","","",""
"Rarely","1991","Saxony","West Germany","","","",""
"Rarely","1991","Saxony","East Germany","","","",""
"Rarely","1991","Saxony-Anhalt","West Germany","","","",""
"Rarely","1991","Saxony-Anhalt","East Germany","","","",""
"Rarely","1991","Thuringia","West Germany","","","",""
"Rarely","1991","Thuringia","East Germany","","","",""
"Never","1991","Schleswig-Holstein","West Germany","","","",""
"Never","1991","Schleswig-Holstein","East Germany","","","",""
"Never","1991","Hamburg","West Germany","","","",""
"Never","1991","Hamburg","East Germany","","","",""
"Never","1991","Lower Saxony","West Germany","","","",""
"Never","1991","Lower Saxony","East Germany","","","",""
"Never","1991","Bremen","West Germany","","","",""
"Never","1991","Bremen","East Germany","","","",""
"Never","1991","North Rhine-Westphalia","West Germany","","","",""
"Never","1991","North Rhine-Westphalia","East Germany","","","",""
"Never","1991","Hesse","West Germany","","","",""
"Never","1991","Hesse","East Germany","","","",""
"Never","1991","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Never","1991","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Never","1991","Baden-Württemberg","West Germany","","","",""
"Never","1991","Baden-Württemberg","East Germany","","","",""
"Never","1991","Bavaria","West Germany","","","",""
"Never","1991","Bavaria","East Germany","","","",""
"Never","1991","Berlin","West Germany","","","",""
"Never","1991","Berlin","East Germany","","","",""
"Never","1991","Brandenburg","West Germany","","","",""
"Never","1991","Brandenburg","East Germany","","","",""
"Never","1991","Mecklenburg-Western Pomerania","West Germany","","","",""
"Never","1991","Mecklenburg-Western Pomerania","East Germany","","","",""
"Never","1991","Saxony","West Germany","","","",""
"Never","1991","Saxony","East Germany","","","",""
"Never","1991","Saxony-Anhalt","West Germany","","","",""
"Never","1991","Saxony-Anhalt","East Germany","","","",""
"Never","1991","Thuringia","West Germany","","","",""
"Never","1991","Thuringia","East Germany","","","",""
"Daily","1992","Schleswig-Holstein","West Germany","","","",""
"Daily","1992","Schleswig-Holstein","East Germany","","","",""
"Daily","1992","Hamburg","West Germany","","","",""
"Daily","1992","Hamburg","East Germany","","","",""
"Daily","1992","Lower Saxony","West Germany","","","",""
"Daily","1992","Lower Saxony","East Germany","","","",""
"Daily","1992","Bremen","West Germany","","","",""
"Daily","1992","Bremen","East Germany","","","",""
"Daily","1992","North Rhine-Westphalia","West Germany","","","",""
"Daily","1992","North Rhine-Westphalia","East Germany","","","",""
"Daily","1992","Hesse","West Germany","","","",""
"Daily","1992","Hesse","East Germany","","","",""
"Daily","1992","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Daily","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Daily","1992","Baden-Württemberg","West Germany","","","",""
"Daily","1992","Baden-Württemberg","East Germany","","","",""
"Daily","1992","Bavaria","West Germany","","","",""
"Daily","1992","Bavaria","East Germany","","","",""
"Daily","1992","Berlin","West Germany","","","",""
"Daily","1992","Berlin","East Germany","","","",""
"Daily","1992","Brandenburg","West Germany","","","",""
"Daily","1992","Brandenburg","East Germany","","","",""
"Daily","1992","Mecklenburg-Western Pomerania","West Germany","","","",""
"Daily","1992","Mecklenburg-Western Pomerania","East Germany","","","",""
"Daily","1992","Saxony","West Germany","","","",""
"Daily","1992","Saxony","East Germany","","","",""
"Daily","1992","Saxony-Anhalt","West Germany","","","",""
"Daily","1992","Saxony-Anhalt","East Germany","","","",""
"Daily","1992","Thuringia","West Germany","","","",""
"Daily","1992","Thuringia","East Germany","","","",""
"Min 1x per week","1992","Schleswig-Holstein","West Germany","","","",""
"Min 1x per week","1992","Schleswig-Holstein","East Germany","","","",""
"Min 1x per week","1992","Hamburg","West Germany","","","",""
"Min 1x per week","1992","Hamburg","East Germany","","","",""
"Min 1x per week","1992","Lower Saxony","West Germany","","","",""
"Min 1x per week","1992","Lower Saxony","East Germany","","","",""
"Min 1x per week","1992","Bremen","West Germany","","","",""
"Min 1x per week","1992","Bremen","East Germany","","","",""
"Min 1x per week","1992","North Rhine-Westphalia","West Germany","","","",""
"Min 1x per week","1992","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per week","1992","Hesse","West Germany","","","",""
"Min 1x per week","1992","Hesse","East Germany","","","",""
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per week","1992","Baden-Württemberg","West Germany","","","",""
"Min 1x per week","1992","Baden-Württemberg","East Germany","","","",""
"Min 1x per week","1992","Bavaria","West Germany","","","",""
"Min 1x per week","1992","Bavaria","East Germany","","","",""
"Min 1x per week","1992","Berlin","West Germany","","","",""
"Min 1x per week","1992","Berlin","East Germany","","","",""
"Min 1x per week","1992","Brandenburg","West Germany","","","",""
"Min 1x per week","1992","Brandenburg","East Germany","","","",""
"Min 1x per week","1992","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per week","1992","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per week","1992","Saxony","West Germany","","","",""
"Min 1x per week","1992","Saxony","East Germany","","","",""
"Min 1x per week","1992","Saxony-Anhalt","West Germany","","","",""
"Min 1x per week","1992","Saxony-Anhalt","East Germany","","","",""
"Min 1x per week","1992","Thuringia","West Germany","","","",""
"Min 1x per week","1992","Thuringia","East Germany","","","",""
"Min 1x per month","1992","Schleswig-Holstein","West Germany","","","",""
"Min 1x per month","1992","Schleswig-Holstein","East Germany","","","",""
"Min 1x per month","1992","Hamburg","West Germany","","","",""
"Min 1x per month","1992","Hamburg","East Germany","","","",""
"Min 1x per month","1992","Lower Saxony","West Germany","","","",""
"Min 1x per month","1992","Lower Saxony","East Germany","","","",""
"Min 1x per month","1992","Bremen","West Germany","","","",""
"Min 1x per month","1992","Bremen","East Germany","","","",""
"Min 1x per month","1992","North Rhine-Westphalia","West Germany","","","",""
"Min 1x per month","1992","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per month","1992","Hesse","West Germany","","","",""
"Min 1x per month","1992","Hesse","East Germany","","","",""
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per month","1992","Baden-Württemberg","West Germany","","","",""
"Min 1x per month","1992","Baden-Württemberg","East Germany","","","",""
"Min 1x per month","1992","Bavaria","West Germany","","","",""
"Min 1x per month","1992","Bavaria","East Germany","","","",""
"Min 1x per month","1992","Berlin","West Germany","","","",""
"Min 1x per month","1992","Berlin","East Germany","","","",""
"Min 1x per month","1992","Brandenburg","West Germany","","","",""
"Min 1x per month","1992","Brandenburg","East Germany","","","",""
"Min 1x per month","1992","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per month","1992","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per month","1992","Saxony","West Germany","","","",""
"Min 1x per month","1992","Saxony","East Germany","","","",""
"Min 1x per month","1992","Saxony-Anhalt","West Germany","","","",""
"Min 1x per month","1992","Saxony-Anhalt","East Germany","","","",""
"Min 1x per month","1992","Thuringia","West Germany","","","",""
"Min 1x per month","1992","Thuringia","East Germany","","","",""
"Rarely","1992","Schleswig-Holstein","West Germany","","","",""
"Rarely","1992","Schleswig-Holstein","East Germany","","","",""
"Rarely","1992","Hamburg","West Germany","","","",""
"Rarely","1992","Hamburg","East Germany","","","",""
"Rarely","1992","Lower Saxony","West Germany","","","",""
"Rarely","1992","Lower Saxony","East Germany","","","",""
"Rarely","1992","Bremen","West Germany","","","",""
"Rarely","1992","Bremen","East Germany","","","",""
"Rarely","1992","North Rhine-Westphalia","West Germany","","","",""
"Rarely","1992","North Rhine-Westphalia","East Germany","","","",""
"Rarely","1992","Hesse","West Germany","","","",""
"Rarely","1992","Hesse","East Germany","","","",""
"Rarely","1992","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Rarely","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","1992","Baden-Württemberg","West Germany","","","",""
"Rarely","1992","Baden-Württemberg","East Germany","","","",""
"Rarely","1992","Bavaria","West Germany","","","",""
"Rarely","1992","Bavaria","East Germany","","","",""
"Rarely","1992","Berlin","West Germany","","","",""
"Rarely","1992","Berlin","East Germany","","","",""
"Rarely","1992","Brandenburg","West Germany","","","",""
"Rarely","1992","Brandenburg","East Germany","","","",""
"Rarely","1992","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","1992","Mecklenburg-Western Pomerania","East Germany","","","",""
"Rarely","1992","Saxony","West Germany","","","",""
"Rarely","1992","Saxony","East Germany","","","",""
"Rarely","1992","Saxony-Anhalt","West Germany","","","",""
"Rarely","1992","Saxony-Anhalt","East Germany","","","",""
"Rarely","1992","Thuringia","West Germany","","","",""
"Rarely","1992","Thuringia","East Germany","","","",""
"Never","1992","Schleswig-Holstein","West Germany","","","",""
"Never","1992","Schleswig-Holstein","East Germany","","","",""
"Never","1992","Hamburg","West Germany","","","",""
"Never","1992","Hamburg","East Germany","","","",""
"Never","1992","Lower Saxony","West Germany","","","",""
"Never","1992","Lower Saxony","East Germany","","","",""
"Never","1992","Bremen","West Germany","","","",""
"Never","1992","Bremen","East Germany","","","",""
"Never","1992","North Rhine-Westphalia","West Germany","","","",""
"Never","1992","North Rhine-Westphalia","East Germany","","","",""
"Never","1992","Hesse","West Germany","","","",""
"Never","1992","Hesse","East Germany","","","",""
"Never","1992","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Never","1992","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Never","1992","Baden-Württemberg","West Germany","","","",""
"Never","1992","Baden-Württemberg","East Germany","","","",""
"Never","1992","Bavaria","West Germany","","","",""
"Never","1992","Bavaria","East Germany","","","",""
"Never","1992","Berlin","West Germany","","","",""
"Never","1992","Berlin","East Germany","","","",""
"Never","1992","Brandenburg","West Germany","","","",""
"Never","1992","Brandenburg","East Germany","","","",""
"Never","1992","Mecklenburg-Western Pomerania","West Germany","","","",""
"Never","1992","Mecklenburg-Western Pomerania","East Germany","","","",""
"Never","1992","Saxony","West Germany","","","",""
"Never","1992","Saxony","East Germany","","","",""
"Never","1992","Saxony-Anhalt","West Germany","","","",""
"Never","1992","Saxony-Anhalt","East Germany","","","",""
"Never","1992","Thuringia","West Germany","","","",""
"Never","1992","Thuringia","East Germany","","","",""
"Daily","1993","Schleswig-Holstein","West Germany","","","",""
"Daily","1993","Schleswig-Holstein","East Germany","","","",""
"Daily","1993","Hamburg","West Germany","","","",""
"Daily","1993","Hamburg","East Germany","","","",""
"Daily","1993","Lower Saxony","West Germany","","","",""
"Daily","1993","Lower Saxony","East Germany","","","",""
"Daily","1993","Bremen","West Germany","","","",""
"Daily","1993","Bremen","East Germany","","","",""
"Daily","1993","North Rhine-Westphalia","West Germany","","","",""
"Daily","1993","North Rhine-Westphalia","East Germany","","","",""
"Daily","1993","Hesse","West Germany","","","",""
"Daily","1993","Hesse","East Germany","","","",""
"Daily","1993","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Daily","1993","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Daily","1993","Baden-Württemberg","West Germany","","","",""
"Daily","1993","Baden-Württemberg","East Germany","","","",""
