"pli0082","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1994","Part Time","Urban Area","","","","","1"
"Daily","1994","Part Time","Rural Area","","","","","1"
"Daily","1994","Not Working","Urban Area","","","","","1"
"Daily","1994","Not Working","Rural Area","","","","","1"
"Min 1x per month","1994","Full Time","Rural Area","","","","","3"
"Min 1x per month","1994","Full Time","Urban Area","","","","","3"
"Min 1x per month","1994","Part Time","Urban Area","","","","","3"
"Min 1x per month","1994","Part Time","Rural Area","","","","","3"
"Min 1x per month","1994","Not Working","Rural Area","","","","","3"
"Min 1x per month","1994","Not Working","Urban Area","","","","","3"
"Min 1x per week","1994","Full Time","Urban Area","","","","","2"
"Min 1x per week","1994","Full Time","Rural Area","","","","","2"
"Min 1x per week","1994","Part Time","Urban Area","","","","","2"
"Min 1x per week","1994","Part Time","Rural Area","","","","","2"
"Min 1x per week","1994","Not Working","Rural Area","","","","","2"
"Min 1x per week","1994","Not Working","Urban Area","","","","","2"
"Never","1994","Full Time","Urban Area","","","","","5"
"Never","1994","Full Time","Rural Area","","","","","5"
"Never","1994","Part Time","Urban Area","","","","","5"
"Never","1994","Part Time","Rural Area","","","","","5"
"Never","1994","Not Working","Urban Area","","","","","5"
"Never","1994","Not Working","Rural Area","","","","","5"
"Rarely","1994","Full Time","Rural Area","","","","","4"
"Rarely","1994","Full Time","Urban Area","","","","","4"
"Rarely","1994","Part Time","Rural Area","","","","","4"
"Rarely","1994","Part Time","Urban Area","","","","","4"
"Rarely","1994","Not Working","Urban Area","","","","","4"
"Rarely","1994","Not Working","Rural Area","","","","","4"
"Daily","1995","Full Time","Urban Area","1","","","","1"
"Daily","1995","Full Time","Rural Area","4","","","","1"
"Daily","1995","Part Time","Urban Area","2","","","","1"
"Daily","1995","Part Time","Rural Area","","","","","1"
"Daily","1995","Not Working","Urban Area","9","","","","1"
"Daily","1995","Not Working","Rural Area","4","","","","1"
"Min 1x per month","1995","Full Time","Urban Area","1111","0.312044084124673","0.297343581311704","0.326744586937641","3"
"Min 1x per month","1995","Full Time","Rural Area","646","0.31195839020697","0.292009951878966","0.331906828534974","3"
"Min 1x per month","1995","Part Time","Urban Area","497","0.307969220522826","0.286522818030708","0.329415623014945","3"
"Min 1x per month","1995","Part Time","Rural Area","224","0.260036301497296","0.229920703998084","0.290151898996507","3"
"Min 1x per month","1995","Not Working","Urban Area","723","0.234099478389389","0.219508065250475","0.248690891528303","3"
"Min 1x per month","1995","Not Working","Rural Area","417","0.260904940713717","0.239148781853686","0.282661099573749","3"
"Min 1x per week","1995","Full Time","Urban Area","202","0.0592277692475527","0.0517383379597707","0.0667172005353347","2"
"Min 1x per week","1995","Full Time","Rural Area","94","0.0511225618311961","0.041639150671419","0.0606059729909732","2"
"Min 1x per week","1995","Part Time","Urban Area","116","0.0793670794367966","0.066809627058756","0.0919245318148372","2"
"Min 1x per week","1995","Part Time","Rural Area","57","0.0803090316496713","0.0616507157346001","0.0989673475647426","2"
"Min 1x per week","1995","Not Working","Urban Area","185","0.0603527714435626","0.052146573733651","0.0685589691534742","2"
"Min 1x per week","1995","Not Working","Rural Area","63","0.0475482479682427","0.0370048725178642","0.0580916234186211","2"
"Never","1995","Full Time","Urban Area","341","0.0687764188324877","0.0607468787619485","0.0768059589030269","5"
"Never","1995","Full Time","Rural Area","113","0.0569475454862094","0.0469691975015483","0.0669258934708706","5"
"Never","1995","Part Time","Urban Area","223","0.0974977840835593","0.0837174546195867","0.111278113547532","5"
"Never","1995","Part Time","Rural Area","73","0.0845753530265486","0.0654723125059303","0.103678393547167","5"
"Never","1995","Not Working","Urban Area","646","0.211659211516015","0.197582975689604","0.225735447342426","5"
"Never","1995","Not Working","Rural Area","258","0.192065443982142","0.172548867890264","0.211582020074019","5"
"Rarely","1995","Full Time","Rural Area","1215","0.578174914354613","0.556910714787217","0.59943911392201","4"
"Rarely","1995","Full Time","Urban Area","2161","0.559878839110183","0.544128965985217","0.575628712235149","4"
"Rarely","1995","Part Time","Urban Area","942","0.514080473142705","0.490861884374507","0.537299061910902","4"
"Rarely","1995","Part Time","Rural Area","461","0.575079313826484","0.541141247300293","0.609017380352675","4"
"Rarely","1995","Not Working","Urban Area","1672","0.490246504562981","0.473019954616364","0.507473054509597","4"
"Rarely","1995","Not Working","Rural Area","823","0.496315035900803","0.471543717046137","0.521086354755469","4"
"Daily","1996","Full Time","Urban Area","","","","","1"
"Daily","1996","Full Time","Rural Area","","","","","1"
"Daily","1996","Part Time","Urban Area","","","","","1"
"Daily","1996","Part Time","Rural Area","","","","","1"
"Daily","1996","Not Working","Urban Area","","","","","1"
"Daily","1996","Not Working","Rural Area","","","","","1"
"Min 1x per month","1996","Full Time","Urban Area","","","","","3"
"Min 1x per month","1996","Full Time","Rural Area","","","","","3"
"Min 1x per month","1996","Part Time","Urban Area","","","","","3"
"Min 1x per month","1996","Part Time","Rural Area","","","","","3"
"Min 1x per month","1996","Not Working","Urban Area","","","","","3"
"Min 1x per month","1996","Not Working","Rural Area","","","","","3"
"Min 1x per week","1996","Full Time","Urban Area","","","","","2"
"Min 1x per week","1996","Full Time","Rural Area","","","","","2"
"Min 1x per week","1996","Part Time","Urban Area","","","","","2"
"Min 1x per week","1996","Not Working","Urban Area","","","","","2"
"Min 1x per week","1996","Part Time","Rural Area","","","","","2"
"Min 1x per week","1996","Not Working","Rural Area","","","","","2"
"Never","1996","Full Time","Urban Area","","","","","5"
"Never","1996","Full Time","Rural Area","","","","","5"
"Never","1996","Part Time","Urban Area","","","","","5"
"Never","1996","Part Time","Rural Area","","","","","5"
"Never","1996","Not Working","Urban Area","","","","","5"
"Never","1996","Not Working","Rural Area","","","","","5"
"Rarely","1996","Full Time","Rural Area","","","","","4"
"Rarely","1996","Full Time","Urban Area","","","","","4"
"Rarely","1996","Part Time","Urban Area","","","","","4"
"Rarely","1996","Part Time","Rural Area","","","","","4"
"Rarely","1996","Not Working","Urban Area","","","","","4"
"Rarely","1996","Not Working","Rural Area","","","","","4"
"Daily","1997","Full Time","Urban Area","","","","","1"
"Daily","1997","Full Time","Rural Area","","","","","1"
"Daily","1997","Part Time","Urban Area","","","","","1"
"Daily","1997","Part Time","Rural Area","","","","","1"
"Daily","1997","Not Working","Urban Area","","","","","1"
"Daily","1997","Not Working","Rural Area","","","","","1"
"Min 1x per month","1997","Full Time","Urban Area","","","","","3"
"Min 1x per month","1997","Full Time","Rural Area","","","","","3"
"Min 1x per month","1997","Part Time","Urban Area","","","","","3"
"Min 1x per month","1997","Part Time","Rural Area","","","","","3"
"Min 1x per month","1997","Not Working","Urban Area","","","","","3"
"Min 1x per month","1997","Not Working","Rural Area","","","","","3"
"Min 1x per week","1997","Full Time","Urban Area","","","","","2"
"Min 1x per week","1997","Full Time","Rural Area","","","","","2"
"Min 1x per week","1997","Part Time","Urban Area","","","","","2"
"Min 1x per week","1997","Part Time","Rural Area","","","","","2"
"Min 1x per week","1997","Not Working","Rural Area","","","","","2"
"Min 1x per week","1997","Not Working","Urban Area","","","","","2"
"Never","1997","Full Time","Urban Area","","","","","5"
"Never","1997","Full Time","Rural Area","","","","","5"
"Never","1997","Part Time","Urban Area","","","","","5"
"Never","1997","Part Time","Rural Area","","","","","5"
"Never","1997","Not Working","Urban Area","","","","","5"
"Never","1997","Not Working","Rural Area","","","","","5"
"Rarely","1997","Full Time","Urban Area","","","","","4"
"Rarely","1997","Part Time","Urban Area","","","","","4"
"Rarely","1997","Full Time","Rural Area","","","","","4"
"Rarely","1997","Part Time","Rural Area","","","","","4"
"Rarely","1997","Not Working","Urban Area","","","","","4"
"Rarely","1997","Not Working","Rural Area","","","","","4"
"Daily","1998","Full Time","Urban Area","4","","","","1"
"Daily","1998","Full Time","Rural Area","1","","","","1"
"Daily","1998","Part Time","Urban Area","1","","","","1"
"Daily","1998","Part Time","Rural Area","","","","","1"
"Daily","1998","Not Working","Rural Area","2","","","","1"
"Daily","1998","Not Working","Urban Area","6","","","","1"
"Min 1x per month","1998","Full Time","Urban Area","1083","0.294631271772913","0.280290654459979","0.308971889085847","3"
"Min 1x per month","1998","Full Time","Rural Area","496","0.237606993117101","0.219416372517599","0.255797613716603","3"
"Min 1x per month","1998","Part Time","Urban Area","441","0.245084315145897","0.225758595261251","0.264410035030544","3"
"Min 1x per month","1998","Part Time","Rural Area","251","0.2665894441907","0.238501194986649","0.294677693394751","3"
"Min 1x per month","1998","Not Working","Rural Area","417","0.22997768256526","0.210558795888468","0.249396569242053","3"
"Min 1x per month","1998","Not Working","Urban Area","794","0.232458403973169","0.218614042750892","0.246302765195445","3"
"Min 1x per week","1998","Full Time","Urban Area","180","0.0484957416814755","0.0417383748386636","0.0552531085242874","2"
"Min 1x per week","1998","Full Time","Rural Area","97","0.0419912991502855","0.0334190884534119","0.0505635098471591","2"
"Min 1x per week","1998","Part Time","Urban Area","89","0.0486480335376283","0.0389823637986437","0.058313703276613","2"
"Min 1x per week","1998","Part Time","Rural Area","32","0.0335335777349839","0.0220978726328919","0.0449692828370759","2"
"Min 1x per week","1998","Not Working","Urban Area","179","0.0533911671666408","0.0460228328970577","0.060759501436224","2"
"Min 1x per week","1998","Not Working","Rural Area","98","0.0628707549639022","0.051669829487741","0.0740716804400634","2"
"Never","1998","Full Time","Urban Area","268","0.0620826680001635","0.0544918637446163","0.0696734722557106","5"
"Never","1998","Full Time","Rural Area","123","0.0611577679384557","0.050916574326146","0.0713989615507654","5"
"Never","1998","Part Time","Urban Area","177","0.0848406486496813","0.0723213774373064","0.0973599198620561","5"
"Never","1998","Part Time","Rural Area","66","0.0706984937331585","0.0544162962505545","0.0869806912157626","5"
"Never","1998","Not Working","Urban Area","584","0.168903171915824","0.156623293944935","0.181183049886714","5"
"Never","1998","Not Working","Rural Area","288","0.166705666205125","0.149506625691755","0.183904706718494","5"
"Rarely","1998","Full Time","Urban Area","2347","0.594324155956427","0.578877958197858","0.609770353714996","4"
"Rarely","1998","Full Time","Rural Area","1386","0.658970890714991","0.638710057788312","0.679231723641671","4"
"Rarely","1998","Part Time","Urban Area","1195","0.621313528673287","0.599520178504308","0.643106878842266","4"
"Rarely","1998","Part Time","Rural Area","603","0.629178484341158","0.598495400229422","0.659861568452893","4"
"Rarely","1998","Not Working","Rural Area","999","0.539564112307903","0.516563683352584","0.562564541263223","4"
"Rarely","1998","Not Working","Urban Area","2013","0.54368255426233","0.527357464753117","0.560007643771543","4"
"Daily","1999","Full Time","Urban Area","","","","","1"
"Daily","1999","Full Time","Rural Area","","","","","1"
"Daily","1999","Part Time","Urban Area","","","","","1"
"Daily","1999","Part Time","Rural Area","","","","","1"
"Daily","1999","Not Working","Rural Area","","","","","1"
"Daily","1999","Not Working","Urban Area","","","","","1"
"Min 1x per month","1999","Full Time","Urban Area","","","","","3"
"Min 1x per month","1999","Full Time","Rural Area","","","","","3"
"Min 1x per month","1999","Part Time","Urban Area","","","","","3"
"Min 1x per month","1999","Part Time","Rural Area","","","","","3"
"Min 1x per month","1999","Not Working","Rural Area","","","","","3"
"Min 1x per month","1999","Not Working","Urban Area","","","","","3"
"Min 1x per week","1999","Full Time","Urban Area","","","","","2"
"Min 1x per week","1999","Full Time","Rural Area","","","","","2"
"Min 1x per week","1999","Part Time","Urban Area","","","","","2"
"Min 1x per week","1999","Part Time","Rural Area","","","","","2"
"Min 1x per week","1999","Not Working","Rural Area","","","","","2"
"Min 1x per week","1999","Not Working","Urban Area","","","","","2"
"Never","1999","Full Time","Rural Area","","","","","5"
"Never","1999","Full Time","Urban Area","","","","","5"
"Never","1999","Part Time","Urban Area","","","","","5"
"Never","1999","Part Time","Rural Area","","","","","5"
"Never","1999","Not Working","Urban Area","","","","","5"
"Never","1999","Not Working","Rural Area","","","","","5"
"Rarely","1999","Full Time","Urban Area","","","","","4"
"Rarely","1999","Full Time","Rural Area","","","","","4"
"Rarely","1999","Part Time","Urban Area","","","","","4"
"Rarely","1999","Part Time","Rural Area","","","","","4"
"Rarely","1999","Not Working","Urban Area","","","","","4"
"Rarely","1999","Not Working","Rural Area","","","","","4"
"Daily","2000","Full Time","Urban Area","","","","","1"
"Daily","2000","Full Time","Rural Area","","","","","1"
"Daily","2000","Part Time","Urban Area","","","","","1"
"Daily","2000","Part Time","Rural Area","","","","","1"
"Daily","2000","Not Working","Urban Area","","","","","1"
"Daily","2000","Not Working","Rural Area","","","","","1"
"Min 1x per month","2000","Full Time","Urban Area","","","","","3"
"Min 1x per month","2000","Full Time","Rural Area","","","","","3"
"Min 1x per month","2000","Part Time","Urban Area","","","","","3"
"Min 1x per month","2000","Part Time","Rural Area","","","","","3"
"Min 1x per month","2000","Not Working","Urban Area","","","","","3"
"Min 1x per month","2000","Not Working","Rural Area","","","","","3"
"Min 1x per week","2000","Full Time","Urban Area","","","","","2"
"Min 1x per week","2000","Full Time","Rural Area","","","","","2"
"Min 1x per week","2000","Part Time","Urban Area","","","","","2"
"Min 1x per week","2000","Part Time","Rural Area","","","","","2"
"Min 1x per week","2000","Not Working","Urban Area","","","","","2"
"Min 1x per week","2000","Not Working","Rural Area","","","","","2"
"Never","2000","Full Time","Urban Area","","","","","5"
"Never","2000","Full Time","Rural Area","","","","","5"
"Never","2000","Part Time","Urban Area","","","","","5"
"Never","2000","Part Time","Rural Area","","","","","5"
"Never","2000","Not Working","Urban Area","","","","","5"
"Never","2000","Not Working","Rural Area","","","","","5"
"Rarely","2000","Full Time","Urban Area","","","","","4"
"Rarely","2000","Full Time","Rural Area","","","","","4"
"Rarely","2000","Part Time","Urban Area","","","","","4"
"Rarely","2000","Part Time","Rural Area","","","","","4"
"Rarely","2000","Not Working","Urban Area","","","","","4"
"Rarely","2000","Not Working","Rural Area","","","","","4"
"Daily","2001","Full Time","Urban Area","","","","","1"
"Daily","2001","Full Time","Rural Area","","","","","1"
"Daily","2001","Part Time","Urban Area","","","","","1"
"Daily","2001","Part Time","Rural Area","","","","","1"
"Daily","2001","Not Working","Rural Area","","","","","1"
"Daily","2001","Not Working","Urban Area","","","","","1"
"Min 1x per month","2001","Full Time","Urban Area","","","","","3"
"Min 1x per month","2001","Full Time","Rural Area","","","","","3"
"Min 1x per month","2001","Part Time","Urban Area","","","","","3"
"Min 1x per month","2001","Part Time","Rural Area","","","","","3"
"Min 1x per month","2001","Not Working","Urban Area","","","","","3"
"Min 1x per month","2001","Not Working","Rural Area","","","","","3"
"Min 1x per week","2001","Full Time","Rural Area","","","","","2"
"Min 1x per week","2001","Full Time","Urban Area","","","","","2"
"Min 1x per week","2001","Part Time","Urban Area","","","","","2"
"Min 1x per week","2001","Part Time","Rural Area","","","","","2"
"Min 1x per week","2001","Not Working","Urban Area","","","","","2"
"Min 1x per week","2001","Not Working","Rural Area","","","","","2"
"Never","2001","Full Time","Rural Area","","","","","5"
"Never","2001","Full Time","Urban Area","","","","","5"
"Never","2001","Part Time","Urban Area","","","","","5"
"Never","2001","Part Time","Rural Area","","","","","5"
"Never","2001","Not Working","Urban Area","","","","","5"
"Never","2001","Not Working","Rural Area","","","","","5"
"Rarely","2001","Full Time","Urban Area","","","","","4"
"Rarely","2001","Full Time","Rural Area","","","","","4"
"Rarely","2001","Part Time","Urban Area","","","","","4"
"Rarely","2001","Not Working","Urban Area","","","","","4"
"Rarely","2001","Part Time","Rural Area","","","","","4"
"Rarely","2001","Not Working","Rural Area","","","","","4"
"Daily","2002","Full Time","Urban Area","","","","","1"
"Daily","2002","Full Time","Rural Area","","","","","1"
"Daily","2002","Part Time","Urban Area","","","","","1"
"Daily","2002","Part Time","Rural Area","","","","","1"
"Daily","2002","Not Working","Rural Area","","","","","1"
"Daily","2002","Not Working","Urban Area","","","","","1"
"Min 1x per month","2002","Full Time","Urban Area","","","","","3"
"Min 1x per month","2002","Full Time","Rural Area","","","","","3"
"Min 1x per month","2002","Part Time","Urban Area","","","","","3"
"Min 1x per month","2002","Part Time","Rural Area","","","","","3"
"Min 1x per month","2002","Not Working","Urban Area","","","","","3"
"Min 1x per month","2002","Not Working","Rural Area","","","","","3"
"Min 1x per week","2002","Full Time","Urban Area","","","","","2"
"Min 1x per week","2002","Full Time","Rural Area","","","","","2"
"Min 1x per week","2002","Part Time","Urban Area","","","","","2"
"Min 1x per week","2002","Part Time","Rural Area","","","","","2"
"Min 1x per week","2002","Not Working","Rural Area","","","","","2"
"Min 1x per week","2002","Not Working","Urban Area","","","","","2"
"Never","2002","Full Time","Urban Area","","","","","5"
"Never","2002","Full Time","Rural Area","","","","","5"
"Never","2002","Part Time","Urban Area","","","","","5"
"Never","2002","Part Time","Rural Area","","","","","5"
"Never","2002","Not Working","Urban Area","","","","","5"
"Never","2002","Not Working","Rural Area","","","","","5"
"Rarely","2002","Full Time","Urban Area","","","","","4"
"Rarely","2002","Full Time","Rural Area","","","","","4"
"Rarely","2002","Part Time","Urban Area","","","","","4"
"Rarely","2002","Part Time","Rural Area","","","","","4"
"Rarely","2002","Not Working","Urban Area","","","","","4"
"Rarely","2002","Not Working","Rural Area","","","","","4"
"Daily","2003","Full Time","Urban Area","2","","","","1"
"Daily","2003","Full Time","Rural Area","","","","","1"
"Daily","2003","Part Time","Urban Area","1","","","","1"
"Daily","2003","Part Time","Rural Area","1","","","","1"
"Daily","2003","Not Working","Urban Area","12","","","","1"
"Daily","2003","Not Working","Rural Area","3","","","","1"
"Min 1x per month","2003","Full Time","Urban Area","1686","0.273353009159818","0.261985591703108","0.284720426616527","3"
"Min 1x per month","2003","Full Time","Rural Area","811","0.262680414099519","0.246898044448978","0.278462783750061","3"
"Min 1x per month","2003","Part Time","Urban Area","968","0.260620750756921","0.246154077061215","0.275087424452627","3"
"Min 1x per month","2003","Part Time","Rural Area","391","0.237797998030184","0.216819036284482","0.258776959775886","3"
"Min 1x per month","2003","Not Working","Urban Area","1216","0.210029196270254","0.199174068096197","0.220884324444311","3"
"Min 1x per month","2003","Not Working","Rural Area","582","0.195428585913912","0.180608248612","0.210248923215824","3"
"Min 1x per week","2003","Full Time","Rural Area","139","0.04601704313252","0.0385032342852009","0.0535308519798391","2"
"Min 1x per week","2003","Full Time","Urban Area","297","0.0497023158351647","0.0441591702138425","0.0552454614564869","2"
"Min 1x per week","2003","Part Time","Urban Area","154","0.0411700942756287","0.0346223414383096","0.0477178471129478","2"
"Min 1x per week","2003","Part Time","Rural Area","66","0.0342670359954068","0.0253028336798416","0.0432312383109719","2"
"Min 1x per week","2003","Not Working","Rural Area","136","0.0458293464705422","0.0380136694536158","0.0536450234874685","2"
"Min 1x per week","2003","Not Working","Urban Area","288","0.0492169078810317","0.0434520648325239","0.0549817509295396","2"
"Never","2003","Full Time","Urban Area","445","0.0902267304307545","0.0829191713325969","0.097534289528912","5"
"Never","2003","Full Time","Rural Area","154","0.0607363572710987","0.0521709383950118","0.0693017761471856","5"
"Never","2003","Part Time","Urban Area","345","0.112186188649912","0.101785521296992","0.122586856002831","5"
"Never","2003","Part Time","Rural Area","162","0.115279790490311","0.0995427009938943","0.131016879986729","5"
"Never","2003","Not Working","Urban Area","1028","0.210846842647526","0.199976235513842","0.22171744978121","5"
"Never","2003","Not Working","Rural Area","497","0.203760963622163","0.188706545646749","0.218815381597576","5"
"Rarely","2003","Full Time","Urban Area","3475","0.586383941969413","0.573822836273118","0.598945047665707","4"
"Rarely","2003","Full Time","Rural Area","1883","0.630566185496862","0.613257497851673","0.647874873142051","4"
"Rarely","2003","Part Time","Urban Area","2069","0.585389745861115","0.569153966681708","0.601625525040522","4"
"Rarely","2003","Part Time","Rural Area","962","0.612067193176526","0.588055507105382","0.63607887924767","4"
"Rarely","2003","Not Working","Rural Area","1532","0.553940455468825","0.535361995787867","0.572518915149783","4"
"Rarely","2003","Not Working","Urban Area","2865","0.527408748677963","0.514104017503945","0.540713479851981","4"
"Daily","2004","Full Time","Urban Area","","","","","1"
"Daily","2004","Full Time","Rural Area","","","","","1"
"Daily","2004","Part Time","Urban Area","","","","","1"
"Daily","2004","Not Working","Urban Area","","","","","1"
