"pli0082","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Daily","1998","Not Employed","8","","","","1"
"Min 1x per month","1998","Not Employed","1211","0.231686865263539","0.220412897495531","0.242960833031546","3"
"Min 1x per month","1998","Employed","2271","0.268943470424722","0.259700151431832","0.278186789417613","3"
"Min 1x per week","1998","Employed","398","0.0458290582611902","0.0414698710753255","0.0501882454470548","2"
"Min 1x per week","1998","Not Employed","277","0.0563394502401082","0.0501781672671325","0.0625007332130838","2"
"Never","1998","Employed","634","0.0680067058121083","0.0627585801956765","0.0732548314285402","5"
"Never","1998","Not Employed","872","0.168219717209853","0.158224327922824","0.178215106496882","5"
"Rarely","1998","Employed","5531","0.616919183417144","0.60678517412211","0.627053192712178","4"
"Rarely","1998","Not Employed","3012","0.54240166178441","0.52908916002381","0.555714163545009","4"
"Daily","1999","Employed","","","","","1"
"Daily","1999","Not Employed","","","","","1"
"Min 1x per month","1999","Not Employed","","","","","3"
"Min 1x per month","1999","Employed","","","","","3"
"Min 1x per week","1999","Employed","","","","","2"
"Min 1x per week","1999","Not Employed","","","","","2"
"Never","1999","Employed","","","","","5"
"Never","1999","Not Employed","","","","","5"
"Rarely","1999","Employed","","","","","4"
"Rarely","1999","Not Employed","","","","","4"
"Daily","2000","Not Employed","","","","","1"
"Daily","2000","Employed","","","","","1"
"Min 1x per month","2000","Employed","","","","","3"
"Min 1x per month","2000","Not Employed","","","","","3"
"Min 1x per week","2000","Employed","","","","","2"
"Min 1x per week","2000","Not Employed","","","","","2"
"Never","2000","Employed","","","","","5"
"Never","2000","Not Employed","","","","","5"
"Rarely","2000","Employed","","","","","4"
"Rarely","2000","Not Employed","","","","","4"
"Daily","2001","Not Employed","","","","","1"
"Daily","2001","Employed","","","","","1"
"Min 1x per month","2001","Employed","","","","","3"
"Min 1x per month","2001","Not Employed","","","","","3"
"Min 1x per week","2001","Employed","","","","","2"
"Min 1x per week","2001","Not Employed","","","","","2"
"Never","2001","Employed","","","","","5"
"Never","2001","Not Employed","","","","","5"
"Rarely","2001","Employed","","","","","4"
"Rarely","2001","Not Employed","","","","","4"
"Daily","2002","Not Employed","","","","","1"
"Daily","2002","Employed","","","","","1"
"Min 1x per month","2002","Employed","","","","","3"
"Min 1x per month","2002","Not Employed","","","","","3"
"Min 1x per week","2002","Employed","","","","","2"
"Min 1x per week","2002","Not Employed","","","","","2"
"Never","2002","Employed","","","","","5"
"Never","2002","Not Employed","","","","","5"
"Rarely","2002","Not Employed","","","","","4"
"Rarely","2002","Employed","","","","","4"
"Daily","2003","Not Employed","15","","","","1"
"Daily","2003","Employed","4","","","","1"
"Min 1x per month","2003","Not Employed","1798","0.205475098452841","0.196707856751574","0.214242340154107","3"
"Min 1x per month","2003","Employed","3856","0.264021533890248","0.256722493730122","0.271320574050374","3"
"Min 1x per week","2003","Not Employed","424","0.0481602886268125","0.0435145360665872","0.0528060411870378","2"
"Min 1x per week","2003","Employed","656","0.0450680044586918","0.041632947749327","0.0485030611680566","2"
"Never","2003","Not Employed","1525","0.208636675715029","0.199819836700585","0.217453514729473","5"
"Never","2003","Employed","1106","0.0928077519251888","0.088003173174315","0.0976123306760626","5"
"Rarely","2003","Not Employed","4397","0.535684292305222","0.524862709962385","0.546505874648058","4"
"Rarely","2003","Employed","8389","0.59772982456754","0.589610406476629","0.605849242658451","4"
"Daily","2004","Not Employed","","","","","1"
"Daily","2004","Employed","","","","","1"
"Min 1x per month","2004","Not Employed","","","","","3"
"Min 1x per month","2004","Employed","","","","","3"
"Min 1x per week","2004","Not Employed","","","","","2"
"Min 1x per week","2004","Employed","","","","","2"
"Never","2004","Not Employed","","","","","5"
"Never","2004","Employed","","","","","5"
"Rarely","2004","Not Employed","","","","","4"
"Rarely","2004","Employed","","","","","4"
"Daily","2005","Not Employed","","","","","1"
"Daily","2005","Employed","","","","","1"
"Min 1x per month","2005","Not Employed","","","","","3"
"Min 1x per month","2005","Employed","","","","","3"
"Min 1x per week","2005","Not Employed","","","","","2"
"Min 1x per week","2005","Employed","","","","","2"
"Never","2005","Not Employed","","","","","5"
"Never","2005","Employed","","","","","5"
"Rarely","2005","Not Employed","","","","","4"
"Rarely","2005","Employed","","","","","4"
"Daily","2006","Not Employed","","","","","1"
"Daily","2006","Employed","","","","","1"
"Min 1x per month","2006","Not Employed","","","","","3"
"Min 1x per month","2006","Employed","","","","","3"
"Min 1x per week","2006","Not Employed","","","","","2"
"Min 1x per week","2006","Employed","","","","","2"
"Never","2006","Not Employed","","","","","5"
"Never","2006","Employed","","","","","5"
"Rarely","2006","Not Employed","","","","","4"
"Rarely","2006","Employed","","","","","4"
"Daily","2007","Employed","","","","","1"
"Daily","2007","Not Employed","","","","","1"
"Min 1x per month","2007","Employed","","","","","3"
"Min 1x per month","2007","Not Employed","","","","","3"
"Min 1x per week","2007","Not Employed","","","","","2"
"Min 1x per week","2007","Employed","","","","","2"
"Never","2007","Not Employed","","","","","5"
"Never","2007","Employed","","","","","5"
"Rarely","2007","Employed","","","","","4"
"Rarely","2007","Not Employed","","","","","4"
"Daily","2008","Employed","7","","","","1"
"Daily","2008","Not Employed","7","","","","1"
"Min 1x per month","2008","Employed","2686","0.208112441473704","0.20081738941854","0.215407493528868","3"
"Min 1x per month","2008","Not Employed","1515","0.186931989280586","0.178080488357039","0.195783490204133","3"
"Min 1x per week","2008","Employed","313","0.0264036681256382","0.0235224959604869","0.0292848402907895","2"
"Min 1x per week","2008","Not Employed","242","0.0291069885770427","0.0252902185493813","0.0329237586047041","2"
"Never","2008","Not Employed","1676","0.253719480102686","0.243839874061525","0.263599086143847","5"
"Never","2008","Employed","1304","0.12758576530042","0.121590476667295","0.133581053933544","5"
"Rarely","2008","Employed","7586","0.637095744954556","0.628455103274636","0.645736386634476","4"
"Rarely","2008","Not Employed","4012","0.529155401972522","0.517822475241284","0.54048832870376","4"
"Daily","2009","Employed","","","","","1"
"Daily","2009","Not Employed","","","","","1"
"Min 1x per month","2009","Employed","","","","","3"
"Min 1x per month","2009","Not Employed","","","","","3"
"Min 1x per week","2009","Employed","","","","","2"
"Min 1x per week","2009","Not Employed","","","","","2"
"Never","2009","Not Employed","","","","","5"
"Never","2009","Employed","","","","","5"
"Rarely","2009","Employed","","","","","4"
"Rarely","2009","Not Employed","","","","","4"
"Daily","2010","Employed","","","","","1"
"Daily","2010","Not Employed","","","","","1"
"Min 1x per month","2010","Not Employed","","","","","3"
"Min 1x per month","2010","Employed","","","","","3"
"Min 1x per week","2010","Employed","","","","","2"
"Min 1x per week","2010","Not Employed","","","","","2"
"Never","2010","Employed","","","","","5"
"Never","2010","Not Employed","","","","","5"
"Rarely","2010","Employed","","","","","4"
"Rarely","2010","Not Employed","","","","","4"
"Daily","2011","Employed","","","","","1"
"Daily","2011","Not Employed","","","","","1"
"Min 1x per month","2011","Not Employed","","","","","3"
"Min 1x per month","2011","Employed","","","","","3"
"Min 1x per week","2011","Employed","","","","","2"
"Min 1x per week","2011","Not Employed","","","","","2"
"Never","2011","Employed","","","","","5"
"Never","2011","Not Employed","","","","","5"
"Rarely","2011","Employed","","","","","4"
"Rarely","2011","Not Employed","","","","","4"
"Daily","2012","Employed","","","","","1"
"Daily","2012","Not Employed","","","","","1"
"Min 1x per month","2012","Not Employed","","","","","3"
"Min 1x per month","2012","Employed","","","","","3"
"Min 1x per week","2012","Employed","","","","","2"
"Min 1x per week","2012","Not Employed","","","","","2"
"Never","2012","Employed","","","","","5"
"Never","2012","Not Employed","","","","","5"
"Rarely","2012","Employed","","","","","4"
"Rarely","2012","Not Employed","","","","","4"
"Daily","2013","Not Employed","17","","","","1"
"Daily","2013","Employed","18","","","","1"
"Min 1x per month","2013","Employed","5040","0.290606276015134","0.283732312076716","0.297480239953551","3"
"Min 1x per month","2013","Not Employed","2109","0.222925036941432","0.214224624658214","0.231625449224651","3"
"Min 1x per week","2013","Employed","754","0.0389731901747887","0.0360432293481424","0.0419031510014349","2"
"Min 1x per week","2013","Not Employed","396","0.0379009313527413","0.0339091771685589","0.0418926855369237","2"
"Never","2013","Employed","1446","0.0882063672835001","0.0839128884165617","0.0924998461504385","5"
"Never","2013","Not Employed","1871","0.237858537672645","0.22895820750172","0.246758867843569","5"
"Rarely","2013","Employed","9502","0.581417013884721","0.573948301455514","0.588885726313927","4"
"Rarely","2013","Not Employed","4398","0.498680549734354","0.488228596854299","0.509132502614409","4"
"Daily","2014","Not Employed","","","","","1"
"Daily","2014","Employed","","","","","1"
"Min 1x per month","2014","Employed","","","","","3"
"Min 1x per month","2014","Not Employed","","","","","3"
"Min 1x per week","2014","Employed","","","","","2"
"Min 1x per week","2014","Not Employed","","","","","2"
"Never","2014","Employed","","","","","5"
"Never","2014","Not Employed","","","","","5"
"Rarely","2014","Employed","","","","","4"
"Rarely","2014","Not Employed","","","","","4"
"Daily","2015","Not Employed","","","","","1"
"Daily","2015","Employed","","","","","1"
"Min 1x per month","2015","Employed","","","","","3"
"Min 1x per month","2015","Not Employed","","","","","3"
"Min 1x per week","2015","Employed","","","","","2"
"Min 1x per week","2015","Not Employed","","","","","2"
"Never","2015","Employed","","","","","5"
"Never","2015","Not Employed","","","","","5"
"Rarely","2015","Not Employed","","","","","4"
"Rarely","2015","Employed","","","","","4"
"Daily","2016","Not Employed","","","","","1"
"Daily","2016","Employed","","","","","1"
"Min 1x per month","2016","Not Employed","","","","","3"
"Min 1x per month","2016","Employed","","","","","3"
"Min 1x per week","2016","Not Employed","","","","","2"
"Min 1x per week","2016","Employed","","","","","2"
"Never","2016","Not Employed","","","","","5"
"Never","2016","Employed","","","","","5"
"Rarely","2016","Not Employed","","","","","4"
"Rarely","2016","Employed","","","","","4"
"Daily","2017","Not Employed","68","0.01580483765528","0.0124464738037897","0.0191632015067702","1"
"Daily","2017","Employed","1","","","","1"
"Min 1x per month","2017","Not Employed","817","0.147445455884026","0.137898412478175","0.156992499289877","3"
"Min 1x per month","2017","Employed","59","0.207364455943927","0.155308064371417","0.259420847516438","3"
"Min 1x per week","2017","Not Employed","451","0.0924248428795125","0.0846260430364635","0.100223642722562","2"
"Min 1x per week","2017","Employed","16","","","","2"
"Never","2017","Not Employed","2241","0.440481320114285","0.427113421071828","0.453849219156742","5"
"Never","2017","Employed","58","0.263024488307782","0.206492436100305","0.319556540515259","5"
"Rarely","2017","Not Employed","1721","0.303843543466897","0.291459269589431","0.316227817344362","4"
"Rarely","2017","Employed","99","0.440808622972832","0.377059325354139","0.504557920591525","4"
"Daily","2018","Not Employed","81","0.0300326301956514","0.0242547127473553","0.0358105476439475","1"
"Daily","2018","Employed","5","","","","1"
"Min 1x per month","2018","Not Employed","803","0.22724387625686","0.21305776348028","0.24142998903344","3"
"Min 1x per month","2018","Employed","149","0.304055758339899","0.264014478482086","0.344097038197711","3"
"Min 1x per week","2018","Not Employed","541","0.166974051052806","0.154348514516414","0.179599587589198","2"
"Min 1x per week","2018","Employed","92","0.199695084275036","0.164896983558426","0.234493184991647","2"
"Never","2018","Not Employed","732","0.243884549556976","0.229347298648375","0.258421800465576","5"
"Never","2018","Employed","89","0.161471260694142","0.129441720406965","0.193500800981319","5"
"Rarely","2018","Not Employed","1195","0.331864892937707","0.315924137892825","0.34780564798259","4"
"Rarely","2018","Employed","172","0.318855140653636","0.278289292133089","0.359420989174182","4"
"Daily","2019","Not Employed","110","0.00301149928138105","0.00197794569842209","0.00404505286434","1"
"Daily","2019","Employed","48","0.00110135748347812","0.000624804230860714","0.00157791073609552","1"
"Min 1x per month","2019","Not Employed","3024","0.245951827973131","0.23782874080922","0.254074915137042","3"
"Min 1x per month","2019","Employed","6982","0.356860182106945","0.349977014915848","0.363743349298042","3"
"Min 1x per week","2019","Not Employed","819","0.0466563577108707","0.0426782485727712","0.0506344668489703","2"
"Min 1x per week","2019","Employed","1090","0.048246458692231","0.0451676582198103","0.0513252591646518","2"
"Never","2019","Not Employed","2014","0.212602602296992","0.204885081367493","0.22032012322649","5"
"Never","2019","Employed","1183","0.068349094523573","0.0647234972548244","0.0719746917923217","5"
"Rarely","2019","Not Employed","4830","0.491777712737626","0.482347796938277","0.501207628536975","4"
"Rarely","2019","Employed","9306","0.525442907193773","0.51826837523505","0.532617439152496","4"
