"pli0082","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Rarely","1990","middle vocational","West Germany","2284","0.495026544987309","0.480492654153176","0.509560435821441"
"Rarely","1990","middle vocational","East Germany","","","",""
"Rarely","1990","vocational + Abi","West Germany","125","0.412707749804947","0.356335842658639","0.469079656951256"
"Rarely","1990","vocational + Abi","East Germany","","","",""
"Rarely","1990","higher vocational","West Germany","239","0.45792156763881","0.41480779550258","0.50103533977504"
"Rarely","1990","higher vocational","East Germany","","","",""
"Rarely","1990","higher education","West Germany","261","0.383998369768463","0.347891709219719","0.420105030317208"
"Rarely","1990","higher education","East Germany","","","",""
"Never","1990","in school","West Germany","11","","",""
"Never","1990","in school","East Germany","","","",""
"Never","1990","inadequately","West Germany","198","0.29107373581506","0.25565838118059","0.32648909044953"
"Never","1990","inadequately","East Germany","","","",""
"Never","1990","general elemantary","West Germany","466","0.186412968941196","0.171054791368292","0.2017711465141"
"Never","1990","general elemantary","East Germany","","","",""
"Never","1990","middle vocational","West Germany","397","0.0848219703994036","0.0767228035376703","0.0929211372611369"
"Never","1990","middle vocational","East Germany","","","",""
"Never","1990","vocational + Abi","West Germany","26","","",""
"Never","1990","vocational + Abi","East Germany","","","",""
"Never","1990","higher vocational","West Germany","21","","",""
"Never","1990","higher vocational","East Germany","","","",""
"Never","1990","higher education","West Germany","15","","",""
"Never","1990","higher education","East Germany","","","",""
"Daily","1991","in school","West Germany","","","",""
"Daily","1991","in school","East Germany","","","",""
"Daily","1991","inadequately","West Germany","","","",""
"Daily","1991","inadequately","East Germany","","","",""
"Daily","1991","general elemantary","West Germany","","","",""
"Daily","1991","general elemantary","East Germany","","","",""
"Daily","1991","middle vocational","West Germany","","","",""
"Daily","1991","middle vocational","East Germany","","","",""
"Daily","1991","vocational + Abi","West Germany","","","",""
"Daily","1991","vocational + Abi","East Germany","","","",""
"Daily","1991","higher vocational","West Germany","","","",""
"Daily","1991","higher vocational","East Germany","","","",""
"Daily","1991","higher education","West Germany","","","",""
"Daily","1991","higher education","East Germany","","","",""
"Min 1x per week","1991","in school","West Germany","","","",""
"Min 1x per week","1991","in school","East Germany","","","",""
"Min 1x per week","1991","inadequately","West Germany","","","",""
"Min 1x per week","1991","inadequately","East Germany","","","",""
"Min 1x per week","1991","general elemantary","West Germany","","","",""
"Min 1x per week","1991","general elemantary","East Germany","","","",""
"Min 1x per week","1991","middle vocational","West Germany","","","",""
"Min 1x per week","1991","middle vocational","East Germany","","","",""
"Min 1x per week","1991","vocational + Abi","West Germany","","","",""
"Min 1x per week","1991","vocational + Abi","East Germany","","","",""
"Min 1x per week","1991","higher vocational","West Germany","","","",""
"Min 1x per week","1991","higher vocational","East Germany","","","",""
"Min 1x per week","1991","higher education","West Germany","","","",""
"Min 1x per week","1991","higher education","East Germany","","","",""
"Min 1x per month","1991","in school","West Germany","","","",""
"Min 1x per month","1991","in school","East Germany","","","",""
"Min 1x per month","1991","inadequately","West Germany","","","",""
"Min 1x per month","1991","inadequately","East Germany","","","",""
"Min 1x per month","1991","general elemantary","West Germany","","","",""
"Min 1x per month","1991","general elemantary","East Germany","","","",""
"Min 1x per month","1991","middle vocational","West Germany","","","",""
"Min 1x per month","1991","middle vocational","East Germany","","","",""
"Min 1x per month","1991","vocational + Abi","West Germany","","","",""
"Min 1x per month","1991","vocational + Abi","East Germany","","","",""
"Min 1x per month","1991","higher vocational","West Germany","","","",""
"Min 1x per month","1991","higher vocational","East Germany","","","",""
"Min 1x per month","1991","higher education","West Germany","","","",""
"Min 1x per month","1991","higher education","East Germany","","","",""
"Rarely","1991","in school","West Germany","","","",""
"Rarely","1991","in school","East Germany","","","",""
"Rarely","1991","inadequately","West Germany","","","",""
"Rarely","1991","inadequately","East Germany","","","",""
"Rarely","1991","general elemantary","West Germany","","","",""
"Rarely","1991","general elemantary","East Germany","","","",""
"Rarely","1991","middle vocational","West Germany","","","",""
"Rarely","1991","middle vocational","East Germany","","","",""
"Rarely","1991","vocational + Abi","West Germany","","","",""
"Rarely","1991","vocational + Abi","East Germany","","","",""
"Rarely","1991","higher vocational","West Germany","","","",""
"Rarely","1991","higher vocational","East Germany","","","",""
"Rarely","1991","higher education","West Germany","","","",""
"Rarely","1991","higher education","East Germany","","","",""
"Never","1991","in school","West Germany","","","",""
"Never","1991","in school","East Germany","","","",""
"Never","1991","inadequately","West Germany","","","",""
"Never","1991","inadequately","East Germany","","","",""
"Never","1991","general elemantary","West Germany","","","",""
"Never","1991","general elemantary","East Germany","","","",""
"Never","1991","middle vocational","West Germany","","","",""
"Never","1991","middle vocational","East Germany","","","",""
"Never","1991","vocational + Abi","West Germany","","","",""
"Never","1991","vocational + Abi","East Germany","","","",""
"Never","1991","higher vocational","West Germany","","","",""
"Never","1991","higher vocational","East Germany","","","",""
"Never","1991","higher education","West Germany","","","",""
"Never","1991","higher education","East Germany","","","",""
"Daily","1992","in school","West Germany","","","",""
"Daily","1992","in school","East Germany","","","",""
"Daily","1992","inadequately","West Germany","","","",""
"Daily","1992","inadequately","East Germany","","","",""
"Daily","1992","general elemantary","West Germany","","","",""
"Daily","1992","general elemantary","East Germany","","","",""
"Daily","1992","middle vocational","West Germany","","","",""
"Daily","1992","middle vocational","East Germany","","","",""
"Daily","1992","vocational + Abi","West Germany","","","",""
"Daily","1992","vocational + Abi","East Germany","","","",""
"Daily","1992","higher vocational","West Germany","","","",""
"Daily","1992","higher vocational","East Germany","","","",""
"Daily","1992","higher education","West Germany","","","",""
"Daily","1992","higher education","East Germany","","","",""
"Min 1x per week","1992","in school","West Germany","","","",""
"Min 1x per week","1992","in school","East Germany","","","",""
"Min 1x per week","1992","inadequately","West Germany","","","",""
"Min 1x per week","1992","inadequately","East Germany","","","",""
"Min 1x per week","1992","general elemantary","West Germany","","","",""
"Min 1x per week","1992","general elemantary","East Germany","","","",""
"Min 1x per week","1992","middle vocational","West Germany","","","",""
"Min 1x per week","1992","middle vocational","East Germany","","","",""
"Min 1x per week","1992","vocational + Abi","West Germany","","","",""
"Min 1x per week","1992","vocational + Abi","East Germany","","","",""
"Min 1x per week","1992","higher vocational","West Germany","","","",""
"Min 1x per week","1992","higher vocational","East Germany","","","",""
"Min 1x per week","1992","higher education","West Germany","","","",""
"Min 1x per week","1992","higher education","East Germany","","","",""
"Min 1x per month","1992","in school","West Germany","","","",""
"Min 1x per month","1992","in school","East Germany","","","",""
"Min 1x per month","1992","inadequately","West Germany","","","",""
"Min 1x per month","1992","inadequately","East Germany","","","",""
"Min 1x per month","1992","general elemantary","West Germany","","","",""
"Min 1x per month","1992","general elemantary","East Germany","","","",""
"Min 1x per month","1992","middle vocational","West Germany","","","",""
"Min 1x per month","1992","middle vocational","East Germany","","","",""
"Min 1x per month","1992","vocational + Abi","West Germany","","","",""
"Min 1x per month","1992","vocational + Abi","East Germany","","","",""
"Min 1x per month","1992","higher vocational","West Germany","","","",""
"Min 1x per month","1992","higher vocational","East Germany","","","",""
"Min 1x per month","1992","higher education","West Germany","","","",""
"Min 1x per month","1992","higher education","East Germany","","","",""
"Rarely","1992","in school","West Germany","","","",""
"Rarely","1992","in school","East Germany","","","",""
"Rarely","1992","inadequately","West Germany","","","",""
"Rarely","1992","inadequately","East Germany","","","",""
"Rarely","1992","general elemantary","West Germany","","","",""
"Rarely","1992","general elemantary","East Germany","","","",""
"Rarely","1992","middle vocational","West Germany","","","",""
"Rarely","1992","middle vocational","East Germany","","","",""
"Rarely","1992","vocational + Abi","West Germany","","","",""
"Rarely","1992","vocational + Abi","East Germany","","","",""
"Rarely","1992","higher vocational","West Germany","","","",""
"Rarely","1992","higher vocational","East Germany","","","",""
"Rarely","1992","higher education","West Germany","","","",""
"Rarely","1992","higher education","East Germany","","","",""
"Never","1992","in school","West Germany","","","",""
"Never","1992","in school","East Germany","","","",""
"Never","1992","inadequately","West Germany","","","",""
"Never","1992","inadequately","East Germany","","","",""
"Never","1992","general elemantary","West Germany","","","",""
"Never","1992","general elemantary","East Germany","","","",""
"Never","1992","middle vocational","West Germany","","","",""
"Never","1992","middle vocational","East Germany","","","",""
"Never","1992","vocational + Abi","West Germany","","","",""
"Never","1992","vocational + Abi","East Germany","","","",""
"Never","1992","higher vocational","West Germany","","","",""
"Never","1992","higher vocational","East Germany","","","",""
"Never","1992","higher education","West Germany","","","",""
"Never","1992","higher education","East Germany","","","",""
"Daily","1993","in school","West Germany","","","",""
"Daily","1993","in school","East Germany","","","",""
"Daily","1993","inadequately","West Germany","","","",""
"Daily","1993","inadequately","East Germany","","","",""
"Daily","1993","general elemantary","West Germany","","","",""
"Daily","1993","general elemantary","East Germany","","","",""
"Daily","1993","middle vocational","West Germany","","","",""
"Daily","1993","middle vocational","East Germany","","","",""
"Daily","1993","vocational + Abi","West Germany","","","",""
"Daily","1993","vocational + Abi","East Germany","","","",""
"Daily","1993","higher vocational","West Germany","","","",""
"Daily","1993","higher vocational","East Germany","","","",""
"Daily","1993","higher education","West Germany","","","",""
"Daily","1993","higher education","East Germany","","","",""
"Min 1x per week","1993","in school","West Germany","","","",""
"Min 1x per week","1993","in school","East Germany","","","",""
"Min 1x per week","1993","inadequately","West Germany","","","",""
"Min 1x per week","1993","inadequately","East Germany","","","",""
"Min 1x per week","1993","general elemantary","West Germany","","","",""
"Min 1x per week","1993","general elemantary","East Germany","","","",""
"Min 1x per week","1993","middle vocational","West Germany","","","",""
"Min 1x per week","1993","middle vocational","East Germany","","","",""
"Min 1x per week","1993","vocational + Abi","West Germany","","","",""
"Min 1x per week","1993","vocational + Abi","East Germany","","","",""
"Min 1x per week","1993","higher vocational","West Germany","","","",""
"Min 1x per week","1993","higher vocational","East Germany","","","",""
"Min 1x per week","1993","higher education","West Germany","","","",""
"Min 1x per week","1993","higher education","East Germany","","","",""
"Min 1x per month","1993","in school","West Germany","","","",""
"Min 1x per month","1993","in school","East Germany","","","",""
"Min 1x per month","1993","inadequately","West Germany","","","",""
"Min 1x per month","1993","inadequately","East Germany","","","",""
"Min 1x per month","1993","general elemantary","West Germany","","","",""
"Min 1x per month","1993","general elemantary","East Germany","","","",""
"Min 1x per month","1993","middle vocational","West Germany","","","",""
"Min 1x per month","1993","middle vocational","East Germany","","","",""
"Min 1x per month","1993","vocational + Abi","West Germany","","","",""
"Min 1x per month","1993","vocational + Abi","East Germany","","","",""
"Min 1x per month","1993","higher vocational","West Germany","","","",""
"Min 1x per month","1993","higher vocational","East Germany","","","",""
"Min 1x per month","1993","higher education","West Germany","","","",""
"Min 1x per month","1993","higher education","East Germany","","","",""
"Rarely","1993","in school","West Germany","","","",""
"Rarely","1993","in school","East Germany","","","",""
"Rarely","1993","inadequately","West Germany","","","",""
"Rarely","1993","inadequately","East Germany","","","",""
"Rarely","1993","general elemantary","West Germany","","","",""
"Rarely","1993","general elemantary","East Germany","","","",""
"Rarely","1993","middle vocational","West Germany","","","",""
"Rarely","1993","middle vocational","East Germany","","","",""
"Rarely","1993","vocational + Abi","West Germany","","","",""
"Rarely","1993","vocational + Abi","East Germany","","","",""
"Rarely","1993","higher vocational","West Germany","","","",""
"Rarely","1993","higher vocational","East Germany","","","",""
"Rarely","1993","higher education","West Germany","","","",""
"Rarely","1993","higher education","East Germany","","","",""
"Never","1993","in school","West Germany","","","",""
"Never","1993","in school","East Germany","","","",""
"Never","1993","inadequately","West Germany","","","",""
"Never","1993","inadequately","East Germany","","","",""
"Never","1993","general elemantary","West Germany","","","",""
"Never","1993","general elemantary","East Germany","","","",""
"Never","1993","middle vocational","West Germany","","","",""
"Never","1993","middle vocational","East Germany","","","",""
"Never","1993","vocational + Abi","West Germany","","","",""
"Never","1993","vocational + Abi","East Germany","","","",""
"Never","1993","higher vocational","West Germany","","","",""
"Never","1993","higher vocational","East Germany","","","",""
"Never","1993","higher education","West Germany","","","",""
"Never","1993","higher education","East Germany","","","",""
"Daily","1994","in school","West Germany","","","",""
"Daily","1994","in school","East Germany","","","",""
"Daily","1994","inadequately","West Germany","","","",""
"Daily","1994","inadequately","East Germany","","","",""
"Daily","1994","general elemantary","West Germany","","","",""
"Daily","1994","general elemantary","East Germany","","","",""
"Daily","1994","middle vocational","West Germany","","","",""
"Daily","1994","middle vocational","East Germany","","","",""
"Daily","1994","vocational + Abi","West Germany","","","",""
"Daily","1994","vocational + Abi","East Germany","","","",""
"Daily","1994","higher vocational","West Germany","","","",""
"Daily","1994","higher vocational","East Germany","","","",""
"Daily","1994","higher education","West Germany","","","",""
"Daily","1994","higher education","East Germany","","","",""
"Min 1x per week","1994","in school","West Germany","","","",""
"Min 1x per week","1994","in school","East Germany","","","",""
"Min 1x per week","1994","inadequately","West Germany","","","",""
"Min 1x per week","1994","inadequately","East Germany","","","",""
"Min 1x per week","1994","general elemantary","West Germany","","","",""
"Min 1x per week","1994","general elemantary","East Germany","","","",""
"Min 1x per week","1994","middle vocational","West Germany","","","",""
"Min 1x per week","1994","middle vocational","East Germany","","","",""
"Min 1x per week","1994","vocational + Abi","West Germany","","","",""
"Min 1x per week","1994","vocational + Abi","East Germany","","","",""
"Min 1x per week","1994","higher vocational","West Germany","","","",""
"Min 1x per week","1994","higher vocational","East Germany","","","",""
"Min 1x per week","1994","higher education","West Germany","","","",""
"Min 1x per week","1994","higher education","East Germany","","","",""
"Min 1x per month","1994","in school","West Germany","","","",""
"Min 1x per month","1994","in school","East Germany","","","",""
"Min 1x per month","1994","inadequately","West Germany","","","",""
"Min 1x per month","1994","inadequately","East Germany","","","",""
"Min 1x per month","1994","general elemantary","West Germany","","","",""
"Min 1x per month","1994","general elemantary","East Germany","","","",""
"Min 1x per month","1994","middle vocational","West Germany","","","",""
"Min 1x per month","1994","middle vocational","East Germany","","","",""
"Min 1x per month","1994","vocational + Abi","West Germany","","","",""
"Min 1x per month","1994","vocational + Abi","East Germany","","","",""
"Min 1x per month","1994","higher vocational","West Germany","","","",""
"Min 1x per month","1994","higher vocational","East Germany","","","",""
"Min 1x per month","1994","higher education","West Germany","","","",""
"Min 1x per month","1994","higher education","East Germany","","","",""
"Rarely","1994","in school","West Germany","","","",""
"Rarely","1994","in school","East Germany","","","",""
"Rarely","1994","inadequately","West Germany","","","",""
"Rarely","1994","inadequately","East Germany","","","",""
"Rarely","1994","general elemantary","West Germany","","","",""
"Rarely","1994","general elemantary","East Germany","","","",""
"Rarely","1994","middle vocational","West Germany","","","",""
"Rarely","1994","middle vocational","East Germany","","","",""
"Rarely","1994","vocational + Abi","West Germany","","","",""
"Rarely","1994","vocational + Abi","East Germany","","","",""
"Rarely","1994","higher vocational","West Germany","","","",""
"Rarely","1994","higher vocational","East Germany","","","",""
"Rarely","1994","higher education","West Germany","","","",""
"Rarely","1994","higher education","East Germany","","","",""
"Never","1994","in school","West Germany","","","",""
"Never","1994","in school","East Germany","","","",""
"Never","1994","inadequately","West Germany","","","",""
"Never","1994","inadequately","East Germany","","","",""
"Never","1994","general elemantary","West Germany","","","",""
"Never","1994","general elemantary","East Germany","","","",""
"Never","1994","middle vocational","West Germany","","","",""
"Never","1994","middle vocational","East Germany","","","",""
"Never","1994","vocational + Abi","West Germany","","","",""
"Never","1994","vocational + Abi","East Germany","","","",""
"Never","1994","higher vocational","West Germany","","","",""
"Never","1994","higher vocational","East Germany","","","",""
"Never","1994","higher education","West Germany","","","",""
"Never","1994","higher education","East Germany","","","",""
"Daily","1995","in school","West Germany","","","",""
"Daily","1995","in school","East Germany","","","",""
"Daily","1995","inadequately","West Germany","1","","",""
"Daily","1995","inadequately","East Germany","","","",""
"Daily","1995","general elemantary","West Germany","3","","",""
"Daily","1995","general elemantary","East Germany","1","","",""
"Daily","1995","middle vocational","West Germany","8","","",""
"Daily","1995","middle vocational","East Germany","5","","",""
"Daily","1995","vocational + Abi","West Germany","","","",""
"Daily","1995","vocational + Abi","East Germany","","","",""
"Daily","1995","higher vocational","West Germany","","","",""
"Daily","1995","higher vocational","East Germany","1","","",""
"Daily","1995","higher education","West Germany","","","",""
"Daily","1995","higher education","East Germany","1","","",""
"Min 1x per week","1995","in school","West Germany","4","","",""
"Min 1x per week","1995","in school","East Germany","10","","",""
"Min 1x per week","1995","inadequately","West Germany","10","","",""
"Min 1x per week","1995","inadequately","East Germany","","","",""
"Min 1x per week","1995","general elemantary","West Germany","96","0.0412986382015294","0.0328144971483539","0.049782779254705"
"Min 1x per week","1995","general elemantary","East Germany","10","","",""
"Min 1x per week","1995","middle vocational","West Germany","256","0.0612386533749161","0.054361953564758","0.0681153531850742"
"Min 1x per week","1995","middle vocational","East Germany","104","0.0553399537629281","0.0454302971746154","0.0652496103512408"
"Min 1x per week","1995","vocational + Abi","West Germany","22","","",""
"Min 1x per week","1995","vocational + Abi","East Germany","4","","",""
"Min 1x per week","1995","higher vocational","West Germany","34","0.0849160274727169","0.0611839659740635","0.10864808897137"
"Min 1x per week","1995","higher vocational","East Germany","13","","",""
"Min 1x per week","1995","higher education","West Germany","75","0.098371263277483","0.0791686603225786","0.117573866232387"
"Min 1x per week","1995","higher education","East Germany","63","0.0826456961774712","0.0639697107723071","0.101321681582635"
"Min 1x per month","1995","in school","West Germany","40","0.204306456591508","0.146824551701486","0.26178836148153"
"Min 1x per month","1995","in school","East Germany","27","","",""
"Min 1x per month","1995","inadequately","West Germany","57","0.108669632348202","0.0818682828805578","0.135470981815846"
"Min 1x per month","1995","inadequately","East Germany","4","","",""
"Min 1x per month","1995","general elemantary","West Germany","396","0.201660375025269","0.184552247825935","0.218768502224603"
"Min 1x per month","1995","general elemantary","East Germany","87","0.15746593904902","0.1209398261791","0.193992051918941"
"Min 1x per month","1995","middle vocational","West Germany","1254","0.273059935685478","0.260281786769605","0.28583808460135"
"Min 1x per month","1995","middle vocational","East Germany","588","0.267966983938914","0.248771131030333","0.287162836847495"
"Min 1x per month","1995","vocational + Abi","West Germany","138","0.34361612391908","0.297533868278325","0.389698379559835"
"Min 1x per month","1995","vocational + Abi","East Germany","29","","",""
"Min 1x per month","1995","higher vocational","West Germany","173","0.340302425154252","0.299964354526855","0.380640495781648"
"Min 1x per month","1995","higher vocational","East Germany","70","0.257439928513336","0.201178876576166","0.313700980450506"
"Min 1x per month","1995","higher education","West Germany","390","0.443205949994555","0.411175562747518","0.475236337241592"
"Min 1x per month","1995","higher education","East Germany","309","0.35897962531991","0.326442762962963","0.391516487676857"
"Rarely","1995","in school","West Germany","128","0.673385239437845","0.606525159881177","0.740245318994512"
"Rarely","1995","in school","East Germany","57","0.574134960162118","0.475221483819778","0.673048436504458"
"Rarely","1995","inadequately","West Germany","284","0.520462749386297","0.477440886538525","0.56348461223407"
"Rarely","1995","inadequately","East Germany","4","","",""
"Rarely","1995","general elemantary","West Germany","1178","0.542099753563792","0.520856384899929","0.563343122227655"
"Rarely","1995","general elemantary","East Germany","201","0.511969622790303","0.461843751587529","0.562095493993076"
"Rarely","1995","middle vocational","West Germany","2635","0.547605426342272","0.533330225875496","0.561880626809047"
"Rarely","1995","middle vocational","East Germany","1128","0.542629205584413","0.521037485975728","0.564220925193097"
"Rarely","1995","vocational + Abi","West Germany","215","0.527297212662196","0.47885323124446","0.575741194079933"
"Rarely","1995","vocational + Abi","East Germany","30","0.379838346023627","0.26531991127778","0.494356780769474"
"Rarely","1995","higher vocational","West Germany","285","0.484058560393442","0.441512503724589","0.526604617062296"
"Rarely","1995","higher vocational","East Germany","132","0.530295360089904","0.46607460059922","0.594516119580587"
"Rarely","1995","higher education","West Germany","421","0.419276749468324","0.387460637787363","0.451092861149286"
"Rarely","1995","higher education","East Germany","438","0.516360403614854","0.482464888048946","0.550255919180763"
"Never","1995","in school","West Germany","17","","",""
"Never","1995","in school","East Germany","2","","",""
"Never","1995","inadequately","West Germany","166","0.342199977319202","0.301342632355517","0.383057322282887"
"Never","1995","inadequately","East Germany","2","","",""
"Never","1995","general elemantary","West Germany","440","0.21431245753163","0.196816126608259","0.231808788455001"
"Never","1995","general elemantary","East Germany","83","0.305196523474559","0.259018303088657","0.351374743860461"
"Never","1995","middle vocational","West Germany","517","0.116099021586794","0.106911344182415","0.125286698991173"
"Never","1995","middle vocational","East Germany","220","0.129120195398104","0.114586447190525","0.143653943605683"
"Never","1995","vocational + Abi","West Germany","33","0.0780190641883962","0.0519947467095613","0.104043381667231"
"Never","1995","vocational + Abi","East Germany","6","","",""
"Never","1995","higher vocational","West Germany","38","0.0907229869795894","0.0662708436654433","0.115175130293736"
"Never","1995","higher vocational","East Germany","16","","",""
"Never","1995","higher education","West Germany","38","0.0391460372596381","0.0266410083302758","0.0516510661890003"
"Never","1995","higher education","East Germany","24","","",""
"Daily","1996","in school","West Germany","","","",""
"Daily","1996","in school","East Germany","","","",""
"Daily","1996","inadequately","West Germany","","","",""
"Daily","1996","inadequately","East Germany","","","",""
"Daily","1996","general elemantary","West Germany","","","",""
"Daily","1996","general elemantary","East Germany","","","",""
"Daily","1996","middle vocational","West Germany","","","",""
"Daily","1996","middle vocational","East Germany","","","",""
"Daily","1996","vocational + Abi","West Germany","","","",""
"Daily","1996","vocational + Abi","East Germany","","","",""
"Daily","1996","higher vocational","West Germany","","","",""
"Daily","1996","higher vocational","East Germany","","","",""
"Daily","1996","higher education","West Germany","","","",""
"Daily","1996","higher education","East Germany","","","",""
"Min 1x per week","1996","in school","West Germany","","","",""
"Min 1x per week","1996","in school","East Germany","","","",""
"Min 1x per week","1996","inadequately","West Germany","","","",""
"Min 1x per week","1996","inadequately","East Germany","","","",""
"Min 1x per week","1996","general elemantary","West Germany","","","",""
"Min 1x per week","1996","general elemantary","East Germany","","","",""
"Min 1x per week","1996","middle vocational","West Germany","","","",""
"Min 1x per week","1996","middle vocational","East Germany","","","",""
"Min 1x per week","1996","vocational + Abi","West Germany","","","",""
"Min 1x per week","1996","vocational + Abi","East Germany","","","",""
"Min 1x per week","1996","higher vocational","West Germany","","","",""
"Min 1x per week","1996","higher vocational","East Germany","","","",""
"Min 1x per week","1996","higher education","West Germany","","","",""
"Min 1x per week","1996","higher education","East Germany","","","",""
"Min 1x per month","1996","in school","West Germany","","","",""
"Min 1x per month","1996","in school","East Germany","","","",""
"Min 1x per month","1996","inadequately","West Germany","","","",""
"Min 1x per month","1996","inadequately","East Germany","","","",""
"Min 1x per month","1996","general elemantary","West Germany","","","",""
"Min 1x per month","1996","general elemantary","East Germany","","","",""
"Min 1x per month","1996","middle vocational","West Germany","","","",""
"Min 1x per month","1996","middle vocational","East Germany","","","",""
"Min 1x per month","1996","vocational + Abi","West Germany","","","",""
"Min 1x per month","1996","vocational + Abi","East Germany","","","",""
"Min 1x per month","1996","higher vocational","West Germany","","","",""
"Min 1x per month","1996","higher vocational","East Germany","","","",""
"Min 1x per month","1996","higher education","West Germany","","","",""
"Min 1x per month","1996","higher education","East Germany","","","",""
"Rarely","1996","in school","West Germany","","","",""
"Rarely","1996","in school","East Germany","","","",""
"Rarely","1996","inadequately","West Germany","","","",""
"Rarely","1996","inadequately","East Germany","","","",""
"Rarely","1996","general elemantary","West Germany","","","",""
"Rarely","1996","general elemantary","East Germany","","","",""
"Rarely","1996","middle vocational","West Germany","","","",""
"Rarely","1996","middle vocational","East Germany","","","",""
"Rarely","1996","vocational + Abi","West Germany","","","",""
"Rarely","1996","vocational + Abi","East Germany","","","",""
"Rarely","1996","higher vocational","West Germany","","","",""
"Rarely","1996","higher vocational","East Germany","","","",""
"Rarely","1996","higher education","West Germany","","","",""
"Rarely","1996","higher education","East Germany","","","",""
"Never","1996","in school","West Germany","","","",""
"Never","1996","in school","East Germany","","","",""
"Never","1996","inadequately","West Germany","","","",""
"Never","1996","inadequately","East Germany","","","",""
"Never","1996","general elemantary","West Germany","","","",""
"Never","1996","general elemantary","East Germany","","","",""
"Never","1996","middle vocational","West Germany","","","",""
"Never","1996","middle vocational","East Germany","","","",""
"Never","1996","vocational + Abi","West Germany","","","",""
"Never","1996","vocational + Abi","East Germany","","","",""
"Never","1996","higher vocational","West Germany","","","",""
"Never","1996","higher vocational","East Germany","","","",""
"Never","1996","higher education","West Germany","","","",""
"Never","1996","higher education","East Germany","","","",""
"Daily","1997","in school","West Germany","","","",""
"Daily","1997","in school","East Germany","","","",""
"Daily","1997","inadequately","West Germany","","","",""
"Daily","1997","inadequately","East Germany","","","",""
"Daily","1997","general elemantary","West Germany","","","",""
"Daily","1997","general elemantary","East Germany","","","",""
"Daily","1997","middle vocational","West Germany","","","",""
"Daily","1997","middle vocational","East Germany","","","",""
"Daily","1997","vocational + Abi","West Germany","","","",""
"Daily","1997","vocational + Abi","East Germany","","","",""
"Daily","1997","higher vocational","West Germany","","","",""
