"year","education","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1996","lower secondary degree","Female","","","","","","","","",""
"1996","lower secondary degree","Male","","","","","","","","",""
"1996","no degree/no degree yet","Female","","","","","","","","",""
"1996","no degree/no degree yet","Male","","","","","","","","",""
"1996","Other degree","Female","","","","","","","","",""
"1996","Other degree","Male","","","","","","","","",""
"1996","secondary school degree","Female","","","","","","","","",""
"1996","secondary school degree","Male","","","","","","","","",""
"1997","college entrance qualification","Female","6.5","7","230","6.19","6.81","3","5","8","9"
"1997","college entrance qualification","Male","6.5","7","266","6.25","6.75","4","5","8","9"
"1997","lower secondary degree","Female","6.31","7","534","6.1","6.52","3","5","8","9"
"1997","lower secondary degree","Male","6.34","7","578","6.14","6.54","3","5","8","10"
"1997","no degree/no degree yet","Female","6.65","7","88","6.16","7.14","4","5","8","10"
"1997","no degree/no degree yet","Male","5.39","5","57","4.76","6.02","3","3","8","8"
"1997","Other degree","Female","6.43","7","197","6.12","6.74","3","5","8","10"
"1997","Other degree","Male","6.33","7","203","5.98","6.68","3","5","8","10"
"1997","secondary school degree","Female","6.38","7","704","6.2","6.56","3","5","8","10"
"1997","secondary school degree","Male","6.44","7","477","6.23","6.65","3","5","8","9"
"1998","college entrance qualification","Female","6.72","7","268","6.44","7","3","5","9","10"
"1998","college entrance qualification","Male","6.8","7","302","6.54","7.06","3","5","8","10"
"1998","lower secondary degree","Female","6.42","7","537","6.21","6.63","3","5","8","10"
"1998","lower secondary degree","Male","6.28","7","621","6.08","6.48","3","5","8","9"
"1998","no degree/no degree yet","Female","6.4","7","87","5.92","6.88","3","5","8","9"
"1998","no degree/no degree yet","Male","5.75","6","53","5.07","6.43","2","3","8","9"
"1998","Other degree","Female","6.66","7","179","6.32","7","2","5","8","10"
"1998","Other degree","Male","6.03","6","174","5.67","6.39","3","4","8","10"
"1998","secondary school degree","Female","6.71","7","771","6.53","6.89","3","5","9","10"
"1998","secondary school degree","Male","6.8","7","502","6.6","7","3","5","8","9"
"1999","college entrance qualification","Female","6.61","7","272","6.32","6.9","3","5","9","9"
"1999","college entrance qualification","Male","6.61","7","312","6.35","6.87","3","5","8","9"
"1999","lower secondary degree","Female","6.52","7","572","6.32","6.72","3","5","8","10"
"1999","lower secondary degree","Male","6.38","7","621","6.19","6.57","3","5","8","9"
"1999","no degree/no degree yet","Female","6.67","7","73","6.15","7.19","3","5","9","10"
"1999","no degree/no degree yet","Male","5.74","6","60","5.09","6.39","2","5","8","9"
"1999","Other degree","Female","6.89","7","167","6.56","7.22","5","5","8","10"
"1999","Other degree","Male","6.52","7","164","6.16","6.88","3","5","9","10"
"1999","secondary school degree","Female","6.56","7","740","6.38","6.74","3","5","8","10"
"1999","secondary school degree","Male","6.72","7","489","6.51","6.93","3","5","8","10"
"2000","college entrance qualification","Female","6.38","7","585","6.16","6.6","2","5","8","10"
"2000","college entrance qualification","Male","6.41","7","624","6.22","6.6","3","5","8","9"
"2000","lower secondary degree","Female","6.43","7","946","6.25","6.61","2","5","8","10"
"2000","lower secondary degree","Male","6.51","7","1020","6.35","6.67","3","5","8","10"
"2000","no degree/no degree yet","Female","6.47","7","73","5.82","7.12","3","5","8","10"
"2000","no degree/no degree yet","Male","6.59","8","59","5.86","7.32","1","5","9","10"
"2000","Other degree","Female","6.84","7","292","6.54","7.14","3","6","9","10"
"2000","Other degree","Male","6.61","7","265","6.3","6.92","3","5","8","10"
"2000","secondary school degree","Female","6.69","7","1250","6.55","6.83","3","5","9","10"
"2000","secondary school degree","Male","6.44","7","813","6.27","6.61","3","5","8","10"
"2001","college entrance qualification","Female","6.23","7","467","5.97","6.49","2","4","8","9"
"2001","college entrance qualification","Male","6.34","7","498","6.12","6.56","2","5","8","9"
"2001","lower secondary degree","Female","6.35","7","691","6.14","6.56","0","5","8","10"
"2001","lower secondary degree","Male","6.18","7","782","5.98","6.38","0","5","8","10"
"2001","no degree/no degree yet","Female","7.45","8","45","6.84","8.06","5","7","9","9"
"2001","no degree/no degree yet","Male","6.47","7","41","5.7","7.24","2","5","8","10"
"2001","Other degree","Female","6.93","8","190","6.56","7.3","3","5","9","10"
"2001","Other degree","Male","6.83","8","167","6.42","7.24","4","5","9","10"
"2001","secondary school degree","Female","6.64","7","886","6.46","6.82","3","5","9","10"
"2001","secondary school degree","Male","6.49","7","609","6.29","6.69","3","5","8","9"
"2002","college entrance qualification","Female","6.26","7","524","6.03","6.49","3","5","8","10"
"2002","college entrance qualification","Male","6.64","7","569","6.45","6.83","3","5","8","9"
"2002","lower secondary degree","Female","6.35","7","558","6.13","6.57","2","5","8","10"
"2002","lower secondary degree","Male","6.13","7","637","5.92","6.34","2","5","8","9"
"2002","no degree/no degree yet","Female","6.44","6","30","5.5","7.38","3","5","8","10"
"2002","no degree/no degree yet","Male","5.9","5.19","33","4.91","6.89","3","5","8","9"
"2002","Other degree","Female","6.87","7","157","6.5","7.24","4","5","9","10"
"2002","Other degree","Male","6.54","7","157","6.15","6.93","4","5","8","10"
"2002","secondary school degree","Female","6.49","7","834","6.31","6.67","2","5","9","10"
"2002","secondary school degree","Male","6.44","7","585","6.24","6.64","3","5","8","9"
"2003","college entrance qualification","Female","6.05","6","1176","5.91","6.19","3","5","8","9"
"2003","college entrance qualification","Male","6.1","6","1348","5.98","6.22","3","5","8","9"
"2003","lower secondary degree","Female","6.29","7","1304","6.15","6.43","2","5","8","10"
"2003","lower secondary degree","Male","6.27","7","1365","6.14","6.4","3","5","8","10"
"2003","no degree/no degree yet","Female","5.45","5","145","5.02","5.88","1","4","8","9"
"2003","no degree/no degree yet","Male","6.44","7","146","6.07","6.81","4","5","8","10"
"2003","Other degree","Female","6.67","7","278","6.37","6.97","3","5","9","10"
"2003","Other degree","Male","6.6","7","247","6.27","6.93","3","5","8","10"
"2003","secondary school degree","Female","6.29","7","1832","6.17","6.41","3","5","8","10"
"2003","secondary school degree","Male","6.28","7","1320","6.15","6.41","3","5","8","9"
"2004","college entrance qualification","Female","6.2","7","527","5.98","6.42","2","5","8","9"
"2004","college entrance qualification","Male","6.48","7","534","6.28","6.68","3","5","8","9"
"2004","lower secondary degree","Female","6.16","7","503","5.91","6.41","1","5","8","10"
"2004","lower secondary degree","Male","6.14","7","595","5.92","6.36","2","5","8","9"
"2004","no degree/no degree yet","Female","6.12","6","36","5.23","7.01","4","5","7","9"
"2004","no degree/no degree yet","Male","5.89","7","48","4.98","6.8","0","3","8","10"
"2004","Other degree","Female","6.63","7","140","6.19","7.07","3","6","8","10"
"2004","Other degree","Male","6.09","6","121","5.65","6.53","3","5","8","9"
"2004","secondary school degree","Female","6.37","7","818","6.2","6.54","3","5","8","10"
"2004","secondary school degree","Male","6.37","7","551","6.17","6.57","3","5","8","9"
"2005","college entrance qualification","Female","5.94","7","515","5.69","6.19","1","4","8","9"
"2005","college entrance qualification","Male","6.31","7","498","6.09","6.53","2","5","8","9"
"2005","lower secondary degree","Female","6.37","7","488","6.11","6.63","1","5","9","10"
"2005","lower secondary degree","Male","6","7","561","5.77","6.23","0","5","8","9"
"2005","no degree/no degree yet","Female","5.06","4","36","4.22","5.9","3","3","7","9"
"2005","no degree/no degree yet","Male","6.49","8","35","5.35","7.63","0","5","9","10"
"2005","Other degree","Female","6.33","7","118","5.81","6.85","2","4","8","10"
"2005","Other degree","Male","5.97","6","127","5.48","6.46","0","4","8","10"
"2005","secondary school degree","Female","6.17","7","772","5.98","6.36","2","5","8","10"
"2005","secondary school degree","Male","6.13","7","531","5.91","6.35","2","5","8","9"
"2006","college entrance qualification","Female","6.08","7","554","5.85","6.31","2","4","8","9"
"2006","college entrance qualification","Male","6.56","7","497","6.33","6.79","3","5","8","9"
"2006","lower secondary degree","Female","5.69","6","436","5.41","5.97","0","4","8","10"
"2006","lower secondary degree","Male","6","7","517","5.76","6.24","0","4","8","10"
"2006","no degree/no degree yet","Female","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","",""
"2006","Other degree","Female","6.64","7","124","6.15","7.13","3","5","9","10"
"2006","Other degree","Male","6.01","6.85","107","5.51","6.51","1","5","8","9"
"2006","secondary school degree","Female","6.38","7","738","6.19","6.57","2","5","8","9"
"2006","secondary school degree","Male","6.01","6","533","5.8","6.22","2","5","8","9"
"2007","college entrance qualification","Female","6.09","7","547","5.87","6.31","2","5","8","9"
"2007","college entrance qualification","Male","6.54","7","492","6.32","6.76","3","5","8","9"
"2007","lower secondary degree","Female","5.71","6","393","5.4","6.02","0","4","8","10"
"2007","lower secondary degree","Male","5.93","7","483","5.68","6.18","0","5","8","9"
"2007","no degree/no degree yet","Female","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","",""
"2007","Other degree","Female","6.74","7","110","6.24","7.24","2","5","9","10"
"2007","Other degree","Male","5.87","6","101","5.38","6.36","2","5","8","9"
"2007","secondary school degree","Female","6.29","7","718","6.1","6.48","2","5","8","10"
"2007","secondary school degree","Male","6.54","7","499","6.32","6.76","3","5","8","9"
"2008","college entrance qualification","Female","6.72","8","459","6.49","6.95","3","5","9","10"
"2008","college entrance qualification","Male","7.1","8","425","6.89","7.31","4","6","9","10"
"2008","lower secondary degree","Female","6.34","7","313","6.03","6.65","1","5","9","10"
"2008","lower secondary degree","Male","6.13","7","389","5.86","6.4","2","5","8","9"
"2008","no degree/no degree yet","Female","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","",""
"2008","Other degree","Female","7.07","7","82","6.58","7.56","5","6","8","10"
"2008","Other degree","Male","6.42","7","78","5.82","7.02","2","5","8","10"
"2008","secondary school degree","Female","6.77","8","590","6.58","6.96","3","5","9","10"
"2008","secondary school degree","Male","6.54","7","451","6.32","6.76","3","5","8","9"
"2009","college entrance qualification","Female","7.17","8","451","6.94","7.4","3","5","9","10"
"2009","college entrance qualification","Male","7.22","8","397","7","7.44","4","6","9","10"
"2009","lower secondary degree","Female","6.14","7","281","5.78","6.5","0","4","9","10"
"2009","lower secondary degree","Male","5.83","6","369","5.55","6.11","0","4","8","9"
"2009","no degree/no degree yet","Female","","","","","","","","",""
"2009","no degree/no degree yet","Male","","","","","","","","",""
"2009","Other degree","Female","6.39","8","73","5.7","7.08","0","5","9","10"
"2009","Other degree","Male","6.1","7","65","5.4","6.8","1","3","8","10"
"2009","secondary school degree","Female","6.74","8","555","6.52","6.96","3","5","9","10"
"2009","secondary school degree","Male","6.76","7","407","6.52","7","3","5","8","9"
"2010","college entrance qualification","Female","6.99","8","1228","6.84","7.14","3","5","9","10"
"2010","college entrance qualification","Male","6.93","7","969","6.78","7.08","4","6","9","10"
"2010","lower secondary degree","Female","6.3","7","676","6.08","6.52","0","5","9","10"
"2010","lower secondary degree","Male","6.24","7","763","6.05","6.43","0","5","9","10"
"2010","no degree/no degree yet","Female","6.3","7","102","5.75","6.85","0","4","9","10"
"2010","no degree/no degree yet","Male","6.12","8","78","5.36","6.88","0","2","9","10"
"2010","Other degree","Female","6.75","8","384","6.47","7.03","0","5","9","10"
"2010","Other degree","Male","6.56","7","348","6.28","6.84","0","5","9","10"
"2010","secondary school degree","Female","7.07","8","1357","6.93","7.21","3","5","9","10"
"2010","secondary school degree","Male","6.94","7","876","6.78","7.1","4","5","9","10"
"2011","college entrance qualification","Female","7.04","8","1344","6.91","7.17","3","5","9","10"
"2011","college entrance qualification","Male","6.95","8","1044","6.81","7.09","3","6","9","10"
"2011","lower secondary degree","Female","6.58","8","699","6.39","6.77","0","5","9","10"
"2011","lower secondary degree","Male","6.48","7","761","6.3","6.66","2","5","9","10"
"2011","no degree/no degree yet","Female","7.34","8","83","6.84","7.84","4","7","9","10"
"2011","no degree/no degree yet","Male","7.68","9","70","7.13","8.23","5","7","9","10"
"2011","Other degree","Female","7.32","8","362","7.07","7.57","4","6","9","10"
"2011","Other degree","Male","6.89","8","317","6.65","7.13","3","6","9","10"
"2011","secondary school degree","Female","7.16","8","1432","7.03","7.29","4","6","9","10"
"2011","secondary school degree","Male","7.12","8","936","6.98","7.26","5","6","9","10"
"2012","college entrance qualification","Female","7.42","8","1243","7.3","7.54","4","6","9","10"
"2012","college entrance qualification","Male","7.59","8","997","7.47","7.71","5","7","9","10"
"2012","lower secondary degree","Female","6.7","8","645","6.49","6.91","1","5","9","10"
"2012","lower secondary degree","Male","6.77","8","728","6.6","6.94","3","5","9","10"
"2012","no degree/no degree yet","Female","6.92","7","91","6.33","7.51","4","5","9","10"
"2012","no degree/no degree yet","Male","7.04","8","71","6.42","7.66","0","6","9","10"
"2012","Other degree","Female","7.36","8","349","7.11","7.61","5","6","9","10"
"2012","Other degree","Male","7.47","8","311","7.25","7.69","5","6","9","10"
"2012","secondary school degree","Female","7.45","8","1292","7.33","7.57","5","6","9","10"
"2012","secondary school degree","Male","6.81","7","894","6.67","6.95","4","5","9","9"
"2013","college entrance qualification","Female","7.49","8","1157","7.37","7.61","4","7","9","10"
"2013","college entrance qualification","Male","7.38","8","910","7.24","7.52","4","6","9","10"
"2013","lower secondary degree","Female","6.89","8","579","6.69","7.09","3","5","9","10"
"2013","lower secondary degree","Male","6.74","7","620","6.55","6.93","4","5","8","10"
"2013","no degree/no degree yet","Female","6.96","7.13","81","6.29","7.63","1","5","9","10"
"2013","no degree/no degree yet","Male","7.34","8","62","6.75","7.93","0","7","10","10"
"2013","Other degree","Female","7.02","8","321","6.77","7.27","4","5","9","10"
"2013","Other degree","Male","7.4","8","277","7.17","7.63","5","6","9","10"
"2013","secondary school degree","Female","7.12","8","1168","6.99","7.25","3","6","9","10"
"2013","secondary school degree","Male","7.04","7.98","807","6.89","7.19","4","6","9","10"
"2014","college entrance qualification","Female","7.47","8","1060","7.34","7.6","4","6","9","10"
"2014","college entrance qualification","Male","7.19","8","879","7.05","7.33","4","6","9","10"
"2014","lower secondary degree","Female","6.4","7","561","6.18","6.62","1","5","9","10"
"2014","lower secondary degree","Male","6.85","8","607","6.66","7.04","3","5","9","10"
"2014","no degree/no degree yet","Female","6.64","7","115","6.18","7.1","2","5","9","10"
"2014","no degree/no degree yet","Male","6.48","7","82","5.96","7","0","6","8","9"
"2014","Other degree","Female","6.97","8","568","6.77","7.17","3","5","9","10"
"2014","Other degree","Male","7.28","8","513","7.09","7.47","5","6","9","10"
"2014","secondary school degree","Female","7.28","8","1062","7.15","7.41","5","6","9","10"
"2014","secondary school degree","Male","7.08","8","749","6.93","7.23","4","6","9","9"
"2015","college entrance qualification","Female","7.64","8","896","7.5","7.78","5","7","9","10"
"2015","college entrance qualification","Male","7.61","8","731","7.47","7.75","5","7","9","9"
"2015","lower secondary degree","Female","6.98","8","475","6.74","7.22","2","5","9","10"
"2015","lower secondary degree","Male","6.93","8","505","6.72","7.14","3","5","9","10"
"2015","no degree/no degree yet","Female","7.32","8","100","6.88","7.76","4","6","9","10"
"2015","no degree/no degree yet","Male","6.1","6","73","5.46","6.74","3","5","8","9"
"2015","Other degree","Female","7.07","8","452","6.87","7.27","4","6","9","10"
"2015","Other degree","Male","7.63","8","377","7.42","7.84","5","7","9","10"
"2015","secondary school degree","Female","7.19","8","901","7.04","7.34","4","6","9","10"
"2015","secondary school degree","Male","7.16","8","624","7.01","7.31","4","6","9","9"
"2016","college entrance qualification","Female","7.71","8","793","7.57","7.85","5","7","9","10"
"2016","college entrance qualification","Male","7.67","8","667","7.53","7.81","5","7","9","10"
"2016","lower secondary degree","Female","6.99","8","371","6.72","7.26","3","5","9","10"
"2016","lower secondary degree","Male","6.9","8","448","6.69","7.11","4","5","8","10"
"2016","no degree/no degree yet","Female","6.48","7","92","5.96","7","3","5","8","9"
"2016","no degree/no degree yet","Male","6.9","8","73","6.39","7.41","4","7","8","10"
"2016","Other degree","Female","7.47","8","516","7.29","7.65","5","6","9","10"
"2016","Other degree","Male","7.52","8","435","7.32","7.72","5","7","9","10"
"2016","secondary school degree","Female","7.17","8","775","7.01","7.33","4","6","9","9"
"2016","secondary school degree","Male","7.21","8","518","7.04","7.38","5","6","9","9"
"2017","college entrance qualification","Female","7.84","8","763","7.7","7.98","5","7","9","10"
"2017","college entrance qualification","Male","7.52","8","676","7.37","7.67","5","7","9","10"
"2017","lower secondary degree","Female","7.17","8","329","6.88","7.46","3","6","9","10"
"2017","lower secondary degree","Male","6.97","7","411","6.73","7.21","4","6","9","10"
"2017","no degree/no degree yet","Female","7.66","8","89","7.12","8.2","5","6","10","10"
"2017","no degree/no degree yet","Male","7.49","8","67","7","7.98","5","6","9","10"
"2017","Other degree","Female","7.04","8","443","6.83","7.25","3","6","9","10"
"2017","Other degree","Male","7.81","8","367","7.6","8.02","5","7","9","10"
"2017","secondary school degree","Female","6.91","8","702","6.74","7.08","3","5","9","10"
"2017","secondary school degree","Male","7.04","8","486","6.85","7.23","4","6","8","9"
"2018","college entrance qualification","Female","7.51","8","695","7.35","7.67","5","6","9","10"
"2018","college entrance qualification","Male","7.26","8","631","7.1","7.42","5","6","9","9"
"2018","lower secondary degree","Female","6.78","8","310","6.46","7.1","1","5","9","10"
"2018","lower secondary degree","Male","7.03","8","350","6.78","7.28","4","6","9","10"
"2018","no degree/no degree yet","Female","7.06","8","106","6.54","7.58","2","6","10","10"
"2018","no degree/no degree yet","Male","6.73","6","66","6.11","7.35","2","5","9","10"
"2018","Other degree","Female","7.13","8","406","6.92","7.34","3","6","9","10"
"2018","Other degree","Male","7.24","8","323","6.99","7.49","5","7","9","10"
"2018","secondary school degree","Female","6.83","7","684","6.66","7","3","5","9","10"
"2018","secondary school degree","Male","7.01","8","466","6.81","7.21","4","6","8","9"
"2019","college entrance qualification","Female","7.46","8","737","7.31","7.61","4","7","9","10"
"2019","college entrance qualification","Male","7.56","8","730","7.42","7.7","5","7","9","10"
"2019","lower secondary degree","Female","6.58","7","272","6.24","6.92","2","5","9","10"
"2019","lower secondary degree","Male","7.12","8","322","6.86","7.38","5","6","9","10"
"2019","no degree/no degree yet","Female","7.07","8","75","6.42","7.72","1","6","9","10"
"2019","no degree/no degree yet","Male","7.04","8","52","6.32","7.76","3","5","9","10"
"2019","Other degree","Female","6.88","7","332","6.64","7.12","3","6","9","10"
"2019","Other degree","Male","7.59","8","265","7.35","7.83","5","7","9","10"
"2019","secondary school degree","Female","7.27","8","614","7.09","7.45","4","6","9","10"
"2019","secondary school degree","Male","7.15","8","450","6.95","7.35","4","6","9","10"
