"pgoeffd","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","1991","Schleswig-Holstein","52","0.279113010144675","0.214123063524967","0.344102956764384"
"Yes","1991","Hamburg","","","",""
"Yes","1991","Lower Saxony","139","0.266132879648149","0.229916247801782","0.302349511494517"
"Yes","1991","Bremen","","","",""
"Yes","1991","North Rhine-Westphalia","347","0.253757684390947","0.231830737519118","0.275684631262777"
"Yes","1991","Hesse","140","0.279729179956855","0.244224900609177","0.315233459304534"
"Yes","1991","Rhineland-Palatinate,Saarland","81","0.254068977594759","0.210640001200226","0.297497953989292"
"Yes","1991","Baden-Württemberg","222","0.224317415865594","0.200794663270845","0.247840168460344"
"Yes","1991","Bavaria","214","0.240760099401797","0.214725554994703","0.266794643808891"
"Yes","1991","Berlin","151","0.386506133877005","0.338786027502824","0.434226240251186"
"Yes","1991","Brandenburg","152","0.325513266456371","0.282364335268805","0.368662197643938"
"Yes","1991","Mecklenburg-Western Pomerania","111","0.341021055358419","0.289242906297044","0.392799204419795"
"Yes","1991","Saxony","254","0.293327776947318","0.262353965465715","0.324301588428921"
"Yes","1991","Saxony-Anhalt","173","0.320957453061368","0.282082897709743","0.359832008412993"
"Yes","1991","Thuringia","132","0.305168774617741","0.263582755588106","0.346754793647377"
"No","1991","Schleswig-Holstein","131","0.720886989855325","0.655897043235616","0.785876936475034"
"No","1991","Hamburg","78","0.827313997651079","0.752095270856883","0.902532724445275"
"No","1991","Lower Saxony","433","0.733867120351851","0.697650488505483","0.770083752198218"
"No","1991","Bremen","34","0.740827767794916","0.611356138425854","0.870299397163979"
"No","1991","North Rhine-Westphalia","1166","0.746242315609053","0.724315368737223","0.768169262480882"
"No","1991","Hesse","474","0.720270820043145","0.684766540695466","0.755775099390823"
"No","1991","Rhineland-Palatinate,Saarland","305","0.745931022405241","0.702502046010708","0.789359998799774"
"No","1991","Baden-Württemberg","986","0.775682584134406","0.752159831539656","0.799205336729155"
"No","1991","Bavaria","822","0.759239900598203","0.733205356191109","0.785274445005297"
"No","1991","Berlin","249","0.613493866122995","0.565773759748813","0.661213972497176"
"No","1991","Brandenburg","301","0.674486733543629","0.631337802356062","0.717635664731195"
"No","1991","Mecklenburg-Western Pomerania","211","0.658978944641581","0.607200795580205","0.710757093702956"
"No","1991","Saxony","576","0.706672223052682","0.675698411571079","0.737646034534285"
"No","1991","Saxony-Anhalt","381","0.679042546938632","0.640167991587007","0.717917102290257"
"No","1991","Thuringia","339","0.694831225382258","0.653245206352623","0.736417244411894"
"Yes","1992","Schleswig-Holstein","46","0.301933380979338","0.231237422930256","0.37262933902842"
"Yes","1992","Hamburg","","","",""
"Yes","1992","Lower Saxony","141","0.278284095140364","0.240762167403593","0.315806022877134"
"Yes","1992","Bremen","","","",""
"Yes","1992","North Rhine-Westphalia","356","0.267545796874551","0.245000297156586","0.290091296592517"
"Yes","1992","Hesse","145","0.290811840197333","0.253660120173385","0.32796356022128"
"Yes","1992","Rhineland-Palatinate,Saarland","78","0.245584260955406","0.201058997075029","0.290109524835783"
"Yes","1992","Baden-Württemberg","206","0.227369987736382","0.202964612338193","0.251775363134571"
"Yes","1992","Bavaria","221","0.252094809559111","0.225590042972521","0.278599576145702"
"Yes","1992","Berlin","136","0.375328761261505","0.326255607677228","0.424401914845781"
"Yes","1992","Brandenburg","147","0.36215483141976","0.315403944855783","0.408905717983736"
"Yes","1992","Mecklenburg-Western Pomerania","108","0.399249224383828","0.33913915746564","0.459359291302017"
"Yes","1992","Saxony","237","0.337563606791145","0.302073622679311","0.373053590902979"
"Yes","1992","Saxony-Anhalt","174","0.362143602986933","0.319147475782857","0.405139730191009"
"Yes","1992","Thuringia","131","0.348373544977939","0.302366809198286","0.394380280757592"
"No","1992","Schleswig-Holstein","116","0.698066619020662","0.62737066097158","0.768762577069744"
"No","1992","Hamburg","70","0.837739850073262","0.759817975975059","0.915661724171466"
"No","1992","Lower Saxony","407","0.721715904859636","0.684193977122866","0.759237832596407"
"No","1992","Bremen","","","",""
"No","1992","North Rhine-Westphalia","1125","0.732454203125449","0.709908703407483","0.754999702843414"
"No","1992","Hesse","429","0.709188159802667","0.67203643977872","0.746339879826615"
"No","1992","Rhineland-Palatinate,Saarland","281","0.754415739044594","0.709890475164217","0.798941002924971"
"No","1992","Baden-Württemberg","927","0.772630012263618","0.748224636865429","0.797035387661807"
"No","1992","Bavaria","810","0.747905190440889","0.721400423854298","0.774409957027479"
"No","1992","Berlin","238","0.624671238738496","0.575598085154219","0.673744392322772"
"No","1992","Brandenburg","259","0.63784516858024","0.591094282016264","0.684596055144217"
"No","1992","Mecklenburg-Western Pomerania","147","0.600750775616172","0.540640708697983","0.660860842534361"
"No","1992","Saxony","445","0.662436393208855","0.626946409097021","0.697926377320689"
"No","1992","Saxony-Anhalt","306","0.637856397013067","0.594860269808991","0.680852524217143"
"No","1992","Thuringia","281","0.651626455022061","0.605619719242408","0.697633190801714"
"Yes","1993","Schleswig-Holstein","46","0.296085514836816","0.227256227882623","0.364914801791009"
"Yes","1993","Hamburg","","","",""
"Yes","1993","Lower Saxony","145","0.273408666171504","0.237072808416881","0.309744523926127"
"Yes","1993","Bremen","","","",""
"Yes","1993","North Rhine-Westphalia","350","0.262394054511456","0.239965562557473","0.284822546465439"
"Yes","1993","Hesse","140","0.280949613910646","0.244339364221435","0.317559863599858"
"Yes","1993","Rhineland-Palatinate,Saarland","79","0.249490899396498","0.204092482022074","0.294889316770921"
"Yes","1993","Baden-Württemberg","195","0.201610455304963","0.178310763594995","0.224910147014931"
"Yes","1993","Bavaria","227","0.251667882742767","0.225242012177064","0.27809375330847"
"Yes","1993","Berlin","119","0.340224440482661","0.29114637409019","0.389302506875132"
"Yes","1993","Brandenburg","136","0.374011101973137","0.324906834408766","0.423115369537508"
"Yes","1993","Mecklenburg-Western Pomerania","93","0.366682478513454","0.30385498958725","0.429509967439659"
"Yes","1993","Saxony","239","0.352853499268439","0.316061015577773","0.389645982959105"
"Yes","1993","Saxony-Anhalt","150","0.336103571225229","0.291610654926994","0.380596487523465"
"Yes","1993","Thuringia","117","0.30920416350301","0.2630389074678","0.355369419538221"
"No","1993","Schleswig-Holstein","123","0.703914485163184","0.635085198208991","0.772743772117377"
"No","1993","Hamburg","64","0.769678183304255","0.678547780094235","0.860808586514274"
"No","1993","Lower Saxony","433","0.726591333828496","0.690255476073873","0.762927191583119"
"No","1993","Bremen","31","0.724140095913679","0.587332015045122","0.860948176782237"
"No","1993","North Rhine-Westphalia","1128","0.737605945488544","0.715177453534561","0.760034437442527"
"No","1993","Hesse","439","0.719050386089354","0.682440136400142","0.755660635778565"
"No","1993","Rhineland-Palatinate,Saarland","270","0.750509100603502","0.705110683229079","0.795907517977926"
"No","1993","Baden-Württemberg","944","0.798389544695037","0.775089852985069","0.821689236405005"
"No","1993","Bavaria","809","0.748332117257233","0.72190624669153","0.774757987822936"
"No","1993","Berlin","239","0.659775559517339","0.610697493124868","0.70885362590981"
"No","1993","Brandenburg","237","0.625988898026863","0.576884630462492","0.675093165591234"
"No","1993","Mecklenburg-Western Pomerania","133","0.633317521486546","0.570490032560341","0.69614501041275"
"No","1993","Saxony","409","0.647146500731561","0.610354017040895","0.683938984422227"
"No","1993","Saxony-Anhalt","283","0.663896428774771","0.619403512476535","0.708389345073006"
"No","1993","Thuringia","268","0.69079583649699","0.644630580461779","0.7369610925322"
"Yes","1994","Schleswig-Holstein","54","0.329441589350757","0.258788501100217","0.400094677601297"
"Yes","1994","Hamburg","","","",""
"Yes","1994","Lower Saxony","141","0.280742743534736","0.243458323886372","0.318027163183099"
"Yes","1994","Bremen","","","",""
"Yes","1994","North Rhine-Westphalia","335","0.256437987548214","0.233539876087365","0.279336099009063"
"Yes","1994","Hesse","138","0.285995129591982","0.247667905295934","0.324322353888031"
"Yes","1994","Rhineland-Palatinate,Saarland","77","0.272037938333077","0.224313154694905","0.31976272197125"
"Yes","1994","Baden-Württemberg","184","0.213658099114964","0.188565159156163","0.238751039073766"
"Yes","1994","Bavaria","222","0.266676592154512","0.238496478188697","0.294856706120327"
"Yes","1994","Berlin","112","0.346227726722271","0.294896068706426","0.397559384738116"
"Yes","1994","Brandenburg","120","0.354813230073405","0.304471749664636","0.405154710482175"
"Yes","1994","Mecklenburg-Western Pomerania","90","0.333644812938556","0.272708067817356","0.394581558059756"
"Yes","1994","Saxony","218","0.329505509551731","0.29262603342308","0.366384985680383"
"Yes","1994","Saxony-Anhalt","137","0.331305187700155","0.285689467912979","0.37692090748733"
"Yes","1994","Thuringia","106","0.308046358058432","0.261318164066375","0.354774552050488"
"No","1994","Schleswig-Holstein","116","0.670558410649243","0.599905322398703","0.741211498899783"
"No","1994","Hamburg","67","0.80287298419782","0.71458587727038","0.891160091125261"
"No","1994","Lower Saxony","417","0.719257256465264","0.681972836816901","0.756541676113628"
"No","1994","Bremen","","","",""
"No","1994","North Rhine-Westphalia","1062","0.743562012451786","0.720663900990937","0.766460123912635"
"No","1994","Hesse","396","0.714004870408018","0.675677646111969","0.752332094704066"
"No","1994","Rhineland-Palatinate,Saarland","257","0.727962061666923","0.68023727802875","0.775686845305095"
"No","1994","Baden-Württemberg","841","0.786341900885035","0.761248960926233","0.811434840843837"
"No","1994","Bavaria","724","0.733323407845488","0.705143293879673","0.761503521811303"
"No","1994","Berlin","218","0.653772273277729","0.602440615261884","0.705103931293574"
"No","1994","Brandenburg","227","0.645186769926595","0.594845289517825","0.695528250335364"
"No","1994","Mecklenburg-Western Pomerania","140","0.666355187061444","0.605418441940244","0.727291932182644"
"No","1994","Saxony","406","0.670494490448269","0.633615014319617","0.70737396657692"
"No","1994","Saxony-Anhalt","272","0.668694812299845","0.62307909251267","0.714310532087021"
"No","1994","Thuringia","269","0.691953641941568","0.645225447949512","0.738681835933625"
"Yes","1995","Schleswig-Holstein","48","0.310963093047597","0.239902315558206","0.382023870536988"
"Yes","1995","Hamburg","","","",""
"Yes","1995","Lower Saxony","147","0.273678974365524","0.238004507560272","0.309353441170776"
"Yes","1995","Bremen","","","",""
"Yes","1995","North Rhine-Westphalia","369","0.25712203786585","0.235150791935858","0.279093283795842"
"Yes","1995","Hesse","137","0.279317200722427","0.242223441202491","0.316410960242362"
"Yes","1995","Rhineland-Palatinate,Saarland","84","0.2433505768487","0.200653733221255","0.286047420476145"
"Yes","1995","Baden-Württemberg","200","0.221759573660541","0.197085989924159","0.246433157396923"
"Yes","1995","Bavaria","237","0.264823551757647","0.238006840416654","0.29164026309864"
"Yes","1995","Berlin","112","0.361858294145235","0.310245923847386","0.413470664443084"
"Yes","1995","Brandenburg","110","0.307824473644379","0.259875116980833","0.355773830307925"
"Yes","1995","Mecklenburg-Western Pomerania","97","0.349581191332785","0.290590728296479","0.408571654369091"
"Yes","1995","Saxony","213","0.32336352781227","0.287180592491232","0.359546463133307"
"Yes","1995","Saxony-Anhalt","127","0.298796481323856","0.254272411307781","0.343320551339932"
"Yes","1995","Thuringia","98","0.274998720468533","0.23062682170658","0.319370619230486"
"No","1995","Schleswig-Holstein","115","0.689036906952403","0.617976129463012","0.760097684441794"
"No","1995","Hamburg","57","0.699906395839696","0.597541492833261","0.802271298846132"
"No","1995","Lower Saxony","453","0.726321025634476","0.690646558829224","0.761995492439728"
"No","1995","Bremen","","","",""
"No","1995","North Rhine-Westphalia","1151","0.74287796213415","0.720906716204158","0.764849208064142"
"No","1995","Hesse","425","0.720682799277574","0.683589039757638","0.757776558797509"
"No","1995","Rhineland-Palatinate,Saarland","304","0.7566494231513","0.713952579523855","0.799346266778745"
"No","1995","Baden-Württemberg","889","0.778240426339459","0.753566842603077","0.802914010075841"
"No","1995","Bavaria","803","0.735176448242353","0.70835973690136","0.761993159583346"
"No","1995","Berlin","221","0.638141705854765","0.586529335556916","0.689754076152614"
"No","1995","Brandenburg","246","0.692175526355621","0.644226169692075","0.740124883019167"
"No","1995","Mecklenburg-Western Pomerania","154","0.650418808667215","0.591428345630909","0.709409271703521"
"No","1995","Saxony","429","0.67663647218773","0.640453536866693","0.712819407508768"
"No","1995","Saxony-Anhalt","279","0.701203518676144","0.656679448660068","0.745727588692219"
"No","1995","Thuringia","291","0.725001279531467","0.680629380769514","0.76937317829342"
"Yes","1996","Schleswig-Holstein","49","0.334984249260825","0.263399910956512","0.406568587565137"
"Yes","1996","Hamburg","","","",""
"Yes","1996","Lower Saxony","140","0.26302829070878","0.227710984964203","0.298345596453357"
"Yes","1996","Bremen","","","",""
"Yes","1996","North Rhine-Westphalia","366","0.271683348038739","0.248920601416502","0.294446094660976"
"Yes","1996","Hesse","137","0.306406439934286","0.26670697241952","0.346105907449052"
"Yes","1996","Rhineland-Palatinate,Saarland","86","0.242867272971241","0.199809049158924","0.285925496783558"
"Yes","1996","Baden-Württemberg","185","0.224081521469192","0.198146623937811","0.250016419000573"
"Yes","1996","Bavaria","220","0.237095067819055","0.210602322480473","0.263587813157637"
