"pgoeffd","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1988","(Married) couple without C. ","Male","506","0.729933647982014","0.69631442894554","0.763552867018488","2"
"No","1988","Couple + C. GT 16 ","Female","361","0.698917930106023","0.658829445835874","0.739006414376172","2"
"No","1988","Couple + C. GT 16 ","Male","671","0.777243707652491","0.748901966949933","0.805585448355049","2"
"No","1988","Couple + C. LE 16 ","Female","339","0.731868401676644","0.690802172503549","0.772934630849739","2"
"No","1988","Couple + C. LE 16 ","Male","821","0.77000037598432","0.744072504437818","0.795928247530823","2"
"No","1988","Couple + C. LE and GT 16","Female","171","0.786676896218276","0.732172018597566","0.841181773838986","2"
"No","1988","Couple + C. LE and GT 16","Male","365","0.794727823482302","0.756462934372667","0.832992712591937","2"
"No","1988","1-pers.-HH","Female","132","0.624602906927506","0.557826990108445","0.691378823746566","2"
"No","1988","1-pers.-HH","Male","208","0.714502776744871","0.660828457644459","0.768177095845283","2"
"No","1988","Single parent ","Female","140","0.740137038686581","0.676422189756805","0.803851887616357","2"
"No","1988","Single parent ","Male","99","0.843787776172543","0.778002412115016","0.90957314023007","2"
"Yes","1988","(Married) couple without C. ","Female","128","0.263294833649686","0.226113776394426","0.300475890904947","1"
"Yes","1988","(Married) couple without C. ","Male","164","0.270066352017986","0.236447132981512","0.30368557105446","1"
"Yes","1988","1-pers.-HH","Female","70","0.375397093072494","0.308621176253433","0.442173009891555","1"
"Yes","1988","1-pers.-HH","Male","64","0.285497223255129","0.231822904154717","0.339171542355541","1"
"Yes","1988","Couple + C. GT 16 ","Female","142","0.301082069893977","0.260993585623828","0.341170554164126","1"
"Yes","1988","Couple + C. GT 16 ","Male","157","0.222756292347509","0.194414551644951","0.251098033050067","1"
"Yes","1988","Couple + C. LE 16 ","Male","191","0.22999962401568","0.204071752469177","0.255927495562182","1"
"Yes","1988","Couple + C. LE 16 ","Female","108","0.268131598323356","0.227065369150261","0.309197827496451","1"
"Yes","1988","Couple + C. LE and GT 16","Female","46","0.213323103781724","0.158818226161014","0.267827981402434","1"
"Yes","1988","Couple + C. LE and GT 16","Male","63","0.205272176517698","0.167007287408063","0.243537065627333","1"
"Yes","1988","Single parent ","Female","42","0.259862961313419","0.196148112383643","0.323577810243195","1"
"Yes","1988","Single parent ","Male","18","","","","1"
"No","1989","(Married) couple without C. ","Female","437","0.736477088842831","0.700500029750065","0.772454147935597","2"
"No","1989","(Married) couple without C. ","Male","522","0.756549015501813","0.724292463874795","0.788805567128832","2"
"No","1989","Couple + C. GT 16 ","Female","373","0.701340545639668","0.661697618192371","0.740983473086965","2"
"No","1989","Couple + C. GT 16 ","Male","678","0.779367340820324","0.751207409489875","0.807527272150774","2"
"No","1989","Couple + C. LE 16 ","Female","365","0.735454343028416","0.696076425195367","0.774832260861465","2"
"No","1989","Couple + C. LE 16 ","Male","805","0.772310130223378","0.746188624114956","0.7984316363318","2"
"No","1989","Couple + C. LE and GT 16","Female","195","0.807344007418908","0.756920304654361","0.857767710183455","2"
"No","1989","Couple + C. LE and GT 16","Male","335","0.812275010262443","0.773668156849493","0.850881863675392","2"
"No","1989","1-pers.-HH","Female","150","0.651361851331234","0.589370118599573","0.713353584062896","2"
"No","1989","1-pers.-HH","Male","225","0.7156262635886","0.664663529328751","0.766588997848449","2"
"No","1989","Single parent ","Female","128","0.7338126245239","0.667375634682673","0.800249614365126","2"
"No","1989","Single parent ","Male","100","0.84245932878685","0.776446859605004","0.908471797968695","2"
"Yes","1989","(Married) couple without C. ","Male","158","0.243450984498187","0.211194432871168","0.275707536125205","1"
"Yes","1989","(Married) couple without C. ","Female","139","0.263522911157169","0.227545852064403","0.299499970249935","1"
"Yes","1989","Couple + C. LE 16 ","Male","185","0.227689869776622","0.2015683636682","0.253811375885044","1"
"Yes","1989","1-pers.-HH","Male","76","0.2843737364114","0.233411002151551","0.335336470671249","1"
"Yes","1989","1-pers.-HH","Female","77","0.348638148668765","0.286646415937104","0.410629881400426","1"
"Yes","1989","Couple + C. GT 16 ","Female","139","0.298659454360332","0.259016526913035","0.338302381807629","1"
"Yes","1989","Couple + C. GT 16 ","Male","155","0.220632659179676","0.192472727849226","0.248792590510125","1"
"Yes","1989","Couple + C. LE 16 ","Female","117","0.264545656971584","0.225167739138535","0.303923574804633","1"
"Yes","1989","Couple + C. LE and GT 16","Female","40","0.192655992581092","0.142232289816545","0.243079695345638","1"
"Yes","1989","Couple + C. LE and GT 16","Male","58","0.187724989737557","0.149118136324608","0.226331843150507","1"
"Yes","1989","Single parent ","Female","42","0.2661873754761","0.199750385634874","0.332624365317327","1"
"Yes","1989","Single parent ","Male","17","","","","1"
"No","1990","(Married) couple without C. ","Female","605","0.686552426651733","0.655691601237413","0.717413252066053","2"
"No","1990","(Married) couple without C. ","Male","758","0.746031670092544","0.719093627318826","0.772969712866263","2"
"No","1990","Couple + C. GT 16 ","Female","518","0.670110528410955","0.636879608063871","0.703341448758039","2"
"No","1990","Couple + C. GT 16 ","Male","911","0.774411055064117","0.750148287152596","0.798673822975639","2"
"No","1990","Couple + C. LE 16 ","Female","686","0.650411913707354","0.622129965176781","0.678693862237928","2"
"No","1990","Couple + C. LE 16 ","Male","1303","0.770144464621342","0.749941077986148","0.790347851256536","2"
"No","1990","Couple + C. LE and GT 16","Female","240","0.714829017102247","0.666408590587319","0.763249443617175","2"
"No","1990","Couple + C. LE and GT 16","Male","396","0.774359898248196","0.737273235883203","0.811446560613188","2"
"No","1990","1-pers.-HH","Female","180","0.662336941179261","0.60623885675494","0.718435025603583","2"
"No","1990","1-pers.-HH","Male","269","0.750194078722536","0.705161989648083","0.795226167796988","2"
"No","1990","Single parent ","Female","194","0.692447113194302","0.638199716493784","0.74669450989482","2"
"No","1990","Single parent ","Male","114","0.753162551099599","0.683461503237616","0.822863598961581","2"
"Yes","1990","(Married) couple without C. ","Female","263","0.313447573348267","0.282586747933947","0.344308398762587","1"
"Yes","1990","(Married) couple without C. ","Male","245","0.253968329907456","0.227030287133737","0.280906372681174","1"
"Yes","1990","Couple + C. LE 16 ","Male","363","0.229855535378658","0.209652148743464","0.250058922013852","1"
"Yes","1990","1-pers.-HH","Male","86","0.249805921277464","0.204773832203012","0.294838010351917","1"
"Yes","1990","1-pers.-HH","Female","93","0.337663058820739","0.281564974396417","0.39376114324506","1"
"Yes","1990","Couple + C. GT 16 ","Female","251","0.329889471589045","0.296658551241961","0.363120391936129","1"
"Yes","1990","Couple + C. GT 16 ","Male","229","0.225588944935883","0.201326177024361","0.249851712847404","1"
"Yes","1990","Couple + C. LE 16 ","Female","406","0.349588086292646","0.321306137762072","0.377870034823219","1"
"Yes","1990","Couple + C. LE and GT 16","Female","94","0.285170982897753","0.236750556382825","0.333591409412681","1"
"Yes","1990","Couple + C. LE and GT 16","Male","92","0.225640101751804","0.188553439386812","0.262726764116797","1"
"Yes","1990","Single parent ","Female","84","0.307552886805698","0.25330549010518","0.361800283506215","1"
"Yes","1990","Single parent ","Male","33","0.246837448900401","0.177136401038419","0.316538496762384","1"
"No","1991","(Married) couple without C. ","Female","547","0.653234226081195","0.620417519862012","0.686050932300379","2"
"No","1991","Couple + C. GT 16 ","Female","504","0.683948066340499","0.650517443106881","0.717378689574117","2"
"No","1991","Couple + C. GT 16 ","Male","909","0.801663692373395","0.778216638526236","0.825110746220553","2"
"No","1991","Couple + C. LE 16 ","Female","658","0.645456881388941","0.616397198274582","0.6745165645033","2"
"No","1991","Couple + C. LE 16 ","Male","1292","0.771550716918127","0.75107500705731","0.792026426778945","2"
"No","1991","Couple + C. LE and GT 16","Female","266","0.76166799548566","0.717347158735014","0.805988832236306","2"
"No","1991","Couple + C. LE and GT 16","Male","409","0.784337727216711","0.748466928785549","0.820208525647873","2"
"No","1991","(Married) couple without C. ","Male","698","0.74255801233742","0.714366589882135","0.770749434792705","2"
"No","1991","Single parent ","Female","185","0.698934077502813","0.643911444547539","0.753956710458086","2"
"No","1991","Single parent ","Male","130","0.778820901451275","0.714710869401137","0.842930933501412","2"
"No","1991","1-pers.-HH","Female","189","0.687857955298631","0.633191732424335","0.742524178172928","2"
"No","1991","1-pers.-HH","Male","259","0.728324199281738","0.681521467628335","0.775126930935141","2"
"Yes","1991","(Married) couple without C. ","Male","226","0.25744198766258","0.229250565207295","0.285633410117865","1"
"Yes","1991","(Married) couple without C. ","Female","261","0.346765773918805","0.313949067699621","0.379582480137988","1"
"Yes","1991","Couple + C. LE 16 ","Male","323","0.228449283081873","0.207973573221055","0.24892499294269","1"
"Yes","1991","1-pers.-HH","Male","88","0.271675800718262","0.224873069064859","0.318478532371665","1"
"Yes","1991","1-pers.-HH","Female","87","0.312142044701368","0.257475821827072","0.366808267575665","1"
"Yes","1991","Couple + C. GT 16 ","Female","239","0.316051933659501","0.282621310425883","0.349482556893119","1"
"Yes","1991","Couple + C. GT 16 ","Male","202","0.198336307626606","0.174889253779447","0.221783361473764","1"
"Yes","1991","Couple + C. LE 16 ","Female","383","0.354543118611059","0.3254834354967","0.383602801725418","1"
"Yes","1991","Couple + C. LE and GT 16","Female","89","0.23833200451434","0.194011167763694","0.282652841264986","1"
"Yes","1991","Couple + C. LE and GT 16","Male","96","0.215662272783289","0.179791474352127","0.251533071214451","1"
"Yes","1991","Single parent ","Female","82","0.301065922497187","0.246043289541914","0.356088555452461","1"
"Yes","1991","Single parent ","Male","31","0.221179098548726","0.157069066498588","0.285289130598863","1"
"No","1992","(Married) couple without C. ","Female","519","0.640797889466351","0.606954845583975","0.674640933348727","2"
"No","1992","Couple + C. GT 16 ","Female","452","0.662113489725292","0.626770318338954","0.697456661111631","2"
"No","1992","Couple + C. GT 16 ","Male","829","0.785555547400238","0.760526530691528","0.810584564108949","2"
"No","1992","Couple + C. LE 16 ","Female","545","0.625153768829248","0.593527581611952","0.656779956046543","2"
"No","1992","Couple + C. LE 16 ","Male","1194","0.7701424335912","0.748921008444886","0.791363858737515","2"
"No","1992","Couple + C. LE and GT 16","Female","226","0.728932173846206","0.679844171302803","0.77802017638961","2"
"No","1992","Couple + C. LE and GT 16","Male","376","0.765962352425601","0.727765843963433","0.804158860887769","2"
"No","1992","(Married) couple without C. ","Male","654","0.739454786022343","0.710220902849257","0.768688669195429","2"
"No","1992","Single parent ","Female","164","0.628960178639783","0.569433772048836","0.688486585230731","2"
"No","1992","Single parent ","Male","114","0.783742782714587","0.715547213981489","0.851938351447686","2"
"No","1992","1-pers.-HH","Female","176","0.660880145280997","0.604516197139947","0.717244093422046","2"
"No","1992","1-pers.-HH","Male","239","0.731070019854611","0.682564108142663","0.779575931566559","2"
"Yes","1992","(Married) couple without C. ","Female","253","0.359202110533649","0.325359066651273","0.393045154416025","1"
"Yes","1992","(Married) couple without C. ","Male","212","0.260545213977657","0.231311330804571","0.289779097150743","1"
"Yes","1992","Couple + C. LE 16 ","Male","316","0.2298575664088","0.208636141262485","0.251078991555114","1"
"Yes","1992","1-pers.-HH","Male","82","0.268929980145389","0.220424068433441","0.317435891857337","1"
"Yes","1992","1-pers.-HH","Female","95","0.339119854719003","0.282755906577954","0.395483802860053","1"
"Yes","1992","Couple + C. GT 16 ","Female","236","0.337886510274708","0.302543338888369","0.373229681661046","1"
"Yes","1992","Couple + C. GT 16 ","Male","204","0.214444452599762","0.189415435891051","0.239473469308472","1"
"Yes","1992","Couple + C. LE 16 ","Female","355","0.374846231170752","0.343220043953457","0.406472418388048","1"
"Yes","1992","Couple + C. LE and GT 16","Female","89","0.271067826153794","0.22197982361039","0.320155828697197","1"
"Yes","1992","Couple + C. LE and GT 16","Male","96","0.234037647574399","0.195841139112231","0.272234156036567","1"
"Yes","1992","Single parent ","Female","89","0.371039821360217","0.311513414769269","0.430566227951164","1"
"Yes","1992","Single parent ","Male","26","","","","1"
"No","1993","(Married) couple without C. ","Female","551","0.670893283022118","0.638413347260628","0.703373218783608","2"
"No","1993","(Married) couple without C. ","Male","638","0.739634442541185","0.710271148310662","0.768997736771708","2"
"No","1993","Couple + C. GT 16 ","Female","440","0.711862508617358","0.67693804234848","0.746786974886237","2"
"No","1993","Couple + C. GT 16 ","Male","789","0.800577087729862","0.775340882369392","0.825813293090332","2"
"No","1993","Couple + C. LE 16 ","Female","543","0.651488475127497","0.619679007626589","0.683297942628406","2"
"No","1993","Couple + C. LE 16 ","Male","1146","0.782848854024161","0.761531184277033","0.80416652377129","2"
"No","1993","Couple + C. LE and GT 16","Female","222","0.669582769719686","0.618987195739196","0.720178343700176","2"
"No","1993","Couple + C. LE and GT 16","Male","385","0.774217500792349","0.736931040572942","0.811503961011756","2"
"No","1993","1-pers.-HH","Female","189","0.63258366200403","0.577097164731795","0.688070159276264","2"
"No","1993","1-pers.-HH","Male","265","0.72843529873006","0.681972120894826","0.774898476565295","2"
"No","1993","Single parent ","Female","158","0.649087167341868","0.588707098076404","0.709467236607333","2"
"No","1993","Single parent ","Male","98","0.816826442870208","0.748468053861016","0.8851848318794","2"
"Yes","1993","(Married) couple without C. ","Male","220","0.260365557458815","0.231002263228292","0.289728851689338","1"
"Yes","1993","(Married) couple without C. ","Female","253","0.329106716977882","0.296626781216392","0.361586652739372","1"
"Yes","1993","1-pers.-HH","Male","87","0.27156470126994","0.225101523434705","0.318027879105174","1"
"Yes","1993","Couple + C. LE 16 ","Male","291","0.217151145975839","0.19583347622871","0.238468815722967","1"
"Yes","1993","1-pers.-HH","Female","101","0.36741633799597","0.311929840723736","0.422902835268205","1"
"Yes","1993","Couple + C. GT 16 ","Female","206","0.288137491382642","0.253213025113763","0.32306195765152","1"
"Yes","1993","Couple + C. GT 16 ","Male","174","0.199422912270138","0.174186706909668","0.224659117630608","1"
"Yes","1993","Couple + C. LE 16 ","Female","319","0.348511524872503","0.316702057371594","0.380320992373411","1"
"Yes","1993","Couple + C. LE and GT 16","Female","110","0.330417230280314","0.279821656299824","0.381012804260804","1"
"Yes","1993","Couple + C. LE and GT 16","Male","98","0.225782499207651","0.188496038988244","0.263068959427058","1"
"Yes","1993","Single parent ","Female","82","0.350912832658132","0.290532763392667","0.411292901923596","1"
"Yes","1993","Single parent ","Male","25","","","","1"
"No","1994","(Married) couple without C. ","Female","534","0.676319155216952","0.643651397516134","0.70898691291777","2"
"No","1994","(Married) couple without C. ","Male","648","0.731372143500278","0.701901953653255","0.7608423333473","2"
"No","1994","Couple + C. GT 16 ","Female","402","0.693642851901549","0.656788156888438","0.730497546914661","2"
"No","1994","Couple + C. GT 16 ","Male","712","0.791610820422319","0.764591048932731","0.818630591911907","2"
"No","1994","Couple + C. LE 16 ","Female","501","0.648802177667025","0.615324553408234","0.682279801925816","2"
"No","1994","Couple + C. LE 16 ","Male","1080","0.792475391291159","0.770754107145601","0.814196675436717","2"
"No","1994","Couple + C. LE and GT 16","Female","204","0.649023990102318","0.596149643516838","0.701898336687798","2"
"No","1994","Couple + C. LE and GT 16","Male","357","0.782963109904149","0.744790969454221","0.821135250354077","2"
"No","1994","1-pers.-HH","Female","180","0.639960486631954","0.583124360077052","0.696796613186856","2"
"No","1994","1-pers.-HH","Male","242","0.717766428298816","0.669783621643984","0.765749234953647","2"
"No","1994","Single parent ","Female","138","0.634345892322779","0.570118615354773","0.698573169290786","2"
"No","1994","Single parent ","Male","90","0.821173048419811","0.749561085419975","0.892785011419646","2"
"Yes","1994","(Married) couple without C. ","Female","254","0.323680844783048","0.29101308708223","0.356348602483866","1"
"Yes","1994","(Married) couple without C. ","Male","221","0.268627856499722","0.2391576666527","0.298098046346745","1"
"Yes","1994","1-pers.-HH","Male","96","0.282233571701184","0.234250765046353","0.330216378356016","1"
"Yes","1994","1-pers.-HH","Female","94","0.360039513368046","0.303203386813144","0.416875639922948","1"
"Yes","1994","Couple + C. LE and GT 16","Female","109","0.350976009897682","0.298101663312202","0.403850356483162","1"
"Yes","1994","Couple + C. GT 16 ","Female","199","0.306357148098451","0.269502453085339","0.343211843111562","1"
"Yes","1994","Couple + C. GT 16 ","Male","156","0.208389179577681","0.181369408088093","0.235408951067269","1"
"Yes","1994","Couple + C. LE 16 ","Female","280","0.351197822332975","0.317720198074184","0.384675446591766","1"
"Yes","1994","Couple + C. LE 16 ","Male","259","0.207524608708841","0.185803324563283","0.229245892854399","1"
"Yes","1994","Couple + C. LE and GT 16","Male","91","0.217036890095851","0.178864749645923","0.255209030545779","1"
"Yes","1994","Single parent ","Female","78","0.365654107677221","0.301426830709214","0.429881384645227","1"
"Yes","1994","Single parent ","Male","20","","","","1"
"No","1995","(Married) couple without C. ","Female","576","0.672631751469876","0.641233070317789","0.704030432621962","2"
"No","1995","(Married) couple without C. ","Male","725","0.75312949969651","0.725594056711173","0.780664942681846","2"
"No","1995","Couple + C. GT 16 ","Female","409","0.642595185421693","0.60511366477971","0.680076706063675","2"
"No","1995","Couple + C. GT 16 ","Male","750","0.805761609372039","0.779986849809463","0.831536368934614","2"
"No","1995","Couple + C. LE 16 ","Female","549","0.667598303565314","0.635492424591991","0.699704182538637","2"
"No","1995","Couple + C. LE 16 ","Male","1160","0.79284529293391","0.771699391028097","0.813991194839723","2"
"No","1995","Couple + C. LE and GT 16","Female","219","0.621258683799984","0.569392292703838","0.673125074896129","2"
"No","1995","Couple + C. LE and GT 16","Male","386","0.802450196700606","0.766569169677356","0.838331223723856","2"
"No","1995","1-pers.-HH","Female","200","0.647539213999944","0.593206886987398","0.70187154101249","2"
"No","1995","1-pers.-HH","Male","276","0.732866679796063","0.687287099153072","0.778446260439054","2"
"No","1995","Single parent ","Female","149","0.648299876250294","0.587378975016379","0.709220777484208","2"
"No","1995","Single parent ","Male","99","0.822464810031756","0.754658663641533","0.89027095642198","2"
"Yes","1995","(Married) couple without C. ","Male","217","0.24687050030349","0.219335057318154","0.274405943288827","1"
"Yes","1995","(Married) couple without C. ","Female","282","0.327368248530124","0.295969567378038","0.358766929682211","1"
"Yes","1995","1-pers.-HH","Male","86","0.267133320203937","0.221553739560946","0.312712900846928","1"
"Yes","1995","Couple + C. LE and GT 16","Female","117","0.378741316200016","0.326874925103871","0.430607707296162","1"
"Yes","1995","1-pers.-HH","Female","97","0.352460786000056","0.29812845898751","0.406793113012602","1"
