"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2005","Couple + C. LE and GT 16","(1c) basic vocational qualification","170","0.818393041594001","0.766374991346191","0.87041109184181"
"No","2005","Couple + C. LE and GT 16","(2b) intermediate general qualification","37","0.793656758628919","0.676712027726151","0.910601489531687"
"No","2005","Couple + C. LE and GT 16","(2a) intermediate vocational","192","0.758587913640647","0.706268364418991","0.810907462862303"
"No","2005","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","26","","",""
"No","2005","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","40","0.786679627442014","0.681253267300536","0.892105987583492"
"No","2005","Couple + C. LE and GT 16","(3a) lower tertiary education","66","0.721168825178542","0.630517678739577","0.811819971617507"
"No","2005","Couple + C. LE and GT 16","(3b) higher tertiary education","93","0.742088246265841","0.671605863590893","0.812570628940789"
"Yes","2006","1-pers.-HH","(0) in school","","","",""
"Yes","2006","1-pers.-HH","(1a) inadequately completed","1","","",""
"Yes","2006","1-pers.-HH","(1b) general elementary school","12","","",""
"Yes","2006","1-pers.-HH","(1c) basic vocational qualification","50","0.176698265928128","0.130862664792563","0.222533867063692"
"Yes","2006","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Yes","2006","1-pers.-HH","(2a) intermediate vocational","114","0.283979699249989","0.239567036358347","0.328392362141631"
"Yes","2006","1-pers.-HH","(2c_gen) general maturity certificate","9","","",""
"Yes","2006","1-pers.-HH","(2c_voc) vocational maturity certificate","47","0.331321971507443","0.257460248066608","0.405183694948278"
"Yes","2006","1-pers.-HH","(3a) lower tertiary education","40","0.213874819012046","0.148902546530526","0.278847091493567"
"Yes","2006","1-pers.-HH","(3b) higher tertiary education","102","0.376685852940657","0.315761896191487","0.437609809689828"
"Yes","2006","(Married) couple without C. ","(0) in school","","","",""
"Yes","2006","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"Yes","2006","(Married) couple without C. ","(1b) general elementary school","22","","",""
"Yes","2006","(Married) couple without C. ","(1c) basic vocational qualification","136","0.185735656249876","0.157921974974305","0.213549337525446"
"Yes","2006","(Married) couple without C. ","(2b) intermediate general qualification","7","","",""
"Yes","2006","(Married) couple without C. ","(2a) intermediate vocational","236","0.246561882156671","0.218277126833252","0.274846637480091"
"Yes","2006","(Married) couple without C. ","(2c_gen) general maturity certificate","13","","",""
"Yes","2006","(Married) couple without C. ","(2c_voc) vocational maturity certificate","70","0.206859215645016","0.160715260820086","0.253003170469946"
"Yes","2006","(Married) couple without C. ","(3a) lower tertiary education","139","0.320142134484541","0.273048967524133","0.367235301444949"
"Yes","2006","(Married) couple without C. ","(3b) higher tertiary education","263","0.386178213256656","0.347699054651489","0.424657371861823"
"Yes","2006","Single parent ","(0) in school","","","",""
"Yes","2006","Single parent ","(1a) inadequately completed","","","",""
"Yes","2006","Single parent ","(1b) general elementary school","3","","",""
"Yes","2006","Single parent ","(1c) basic vocational qualification","23","","",""
"Yes","2006","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","2006","Single parent ","(2a) intermediate vocational","56","0.286576490728659","0.222618992864944","0.350533988592374"
"Yes","2006","Single parent ","(2c_gen) general maturity certificate","5","","",""
"Yes","2006","Single parent ","(2c_voc) vocational maturity certificate","11","","",""
"Yes","2006","Single parent ","(3a) lower tertiary education","24","","",""
"Yes","2006","Single parent ","(3b) higher tertiary education","32","0.445104628212703","0.325206409891533","0.565002846533873"
"Yes","2006","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2006","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Yes","2006","Couple + C. LE 16 ","(1b) general elementary school","12","","",""
"Yes","2006","Couple + C. LE 16 ","(1c) basic vocational qualification","88","0.157561979044312","0.128385735671132","0.186738222417491"
"Yes","2006","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"Yes","2006","Couple + C. LE 16 ","(2a) intermediate vocational","187","0.214898569123434","0.187187293750136","0.242609844496732"
"Yes","2006","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Yes","2006","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","86","0.258793181202368","0.210955923804812","0.306630438599925"
"Yes","2006","Couple + C. LE 16 ","(3a) lower tertiary education","89","0.364425307839683","0.304886683921655","0.423963931757711"
"Yes","2006","Couple + C. LE 16 ","(3b) higher tertiary education","164","0.350521175132656","0.307293210039797","0.393749140225515"
"Yes","2006","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","2006","Couple + C. GT 16 ","(1a) inadequately completed","3","","",""
"Yes","2006","Couple + C. GT 16 ","(1b) general elementary school","21","","",""
"Yes","2006","Couple + C. GT 16 ","(1c) basic vocational qualification","76","0.157809656625544","0.125331054697565","0.190288258553523"
"Yes","2006","Couple + C. GT 16 ","(2b) intermediate general qualification","20","","",""
"Yes","2006","Couple + C. GT 16 ","(2a) intermediate vocational","168","0.259551545704421","0.225427329311703","0.293675762097139"
"Yes","2006","Couple + C. GT 16 ","(2c_gen) general maturity certificate","19","","",""
"Yes","2006","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","33","0.198049012114313","0.134058555318142","0.262039468910485"
"Yes","2006","Couple + C. GT 16 ","(3a) lower tertiary education","72","0.310434900847513","0.246313057315743","0.374556744379282"
"Yes","2006","Couple + C. GT 16 ","(3b) higher tertiary education","160","0.449439496499433","0.39552415522296","0.503354837775906"
"Yes","2006","Couple + C. LE and GT 16","(0) in school","1","","",""
"Yes","2006","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Yes","2006","Couple + C. LE and GT 16","(1b) general elementary school","14","","",""
"Yes","2006","Couple + C. LE and GT 16","(1c) basic vocational qualification","39","0.182339204814723","0.128959437294828","0.235718972334618"
"Yes","2006","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"Yes","2006","Couple + C. LE and GT 16","(2a) intermediate vocational","56","0.187520319717481","0.137401532646154","0.237639106788808"
"Yes","2006","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"Yes","2006","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","21","","",""
"Yes","2006","Couple + C. LE and GT 16","(3a) lower tertiary education","26","","",""
"Yes","2006","Couple + C. LE and GT 16","(3b) higher tertiary education","50","0.289930757751069","0.213107417254402","0.366754098247736"
"No","2006","1-pers.-HH","(0) in school","1","","",""
"No","2006","1-pers.-HH","(1a) inadequately completed","6","","",""
"No","2006","1-pers.-HH","(1b) general elementary school","35","0.683916195941803","0.550992708228031","0.816839683655574"
"No","2006","1-pers.-HH","(1c) basic vocational qualification","216","0.823301734071872","0.777466132936308","0.869137335207437"
"No","2006","1-pers.-HH","(2b) intermediate general qualification","22","","",""
"No","2006","1-pers.-HH","(2a) intermediate vocational","282","0.716020300750011","0.671607637858369","0.760432963641653"
"No","2006","1-pers.-HH","(2c_gen) general maturity certificate","63","0.795537576653116","0.702379836710705","0.888695316595527"
"No","2006","1-pers.-HH","(2c_voc) vocational maturity certificate","109","0.668678028492557","0.594816305051722","0.742539751933392"
"No","2006","1-pers.-HH","(3a) lower tertiary education","113","0.786125180987953","0.721152908506433","0.851097453469474"
"No","2006","1-pers.-HH","(3b) higher tertiary education","141","0.623314147059342","0.562390190310172","0.684238103808512"
"No","2006","(Married) couple without C. ","(0) in school","","","",""
"No","2006","(Married) couple without C. ","(1a) inadequately completed","16","","",""
"No","2006","(Married) couple without C. ","(1b) general elementary school","100","0.801161685342146","0.730338036461697","0.871985334222594"
"No","2006","(Married) couple without C. ","(1c) basic vocational qualification","615","0.814264343750124","0.786450662474554","0.842078025025695"
"No","2006","(Married) couple without C. ","(2b) intermediate general qualification","35","0.889935888398183","0.795284786880494","0.984586989915872"
"No","2006","(Married) couple without C. ","(2a) intermediate vocational","656","0.753438117843329","0.725153362519909","0.781722873166748"
"No","2006","(Married) couple without C. ","(2c_gen) general maturity certificate","45","0.701686259925903","0.583941331780021","0.819431188071784"
"No","2006","(Married) couple without C. ","(2c_voc) vocational maturity certificate","226","0.793140784354984","0.746996829530054","0.839284739179914"
"No","2006","(Married) couple without C. ","(3a) lower tertiary education","238","0.679857865515459","0.632764698555051","0.726951032475867"
"No","2006","(Married) couple without C. ","(3b) higher tertiary education","352","0.613821786743344","0.575342628138177","0.652300945348511"
"No","2006","Single parent ","(0) in school","5","","",""
"No","2006","Single parent ","(1a) inadequately completed","7","","",""
"No","2006","Single parent ","(1b) general elementary school","44","0.955497083568025","0.89654378887125","1.0144503782648"
"No","2006","Single parent ","(1c) basic vocational qualification","104","0.80485134124631","0.735924741919313","0.873777940573307"
"No","2006","Single parent ","(2b) intermediate general qualification","33","0.89670927427371","0.79864660194238","0.994771946605039"
"No","2006","Single parent ","(2a) intermediate vocational","136","0.713423509271341","0.649466011407626","0.777381007135056"
"No","2006","Single parent ","(2c_gen) general maturity certificate","19","","",""
"No","2006","Single parent ","(2c_voc) vocational maturity certificate","27","","",""
"No","2006","Single parent ","(3a) lower tertiary education","15","","",""
"No","2006","Single parent ","(3b) higher tertiary education","34","0.554895371787297","0.434997153466127","0.674793590108468"
"No","2006","Couple + C. LE 16 ","(0) in school","","","",""
"No","2006","Couple + C. LE 16 ","(1a) inadequately completed","10","","",""
"No","2006","Couple + C. LE 16 ","(1b) general elementary school","92","0.849879855127466","0.781231572591517","0.918528137663416"
"No","2006","Couple + C. LE 16 ","(1c) basic vocational qualification","511","0.842438020955688","0.813261777582509","0.871614264328868"
"No","2006","Couple + C. LE 16 ","(2b) intermediate general qualification","21","","",""
"No","2006","Couple + C. LE 16 ","(2a) intermediate vocational","657","0.785101430876566","0.757390155503268","0.812812706249864"
"No","2006","Couple + C. LE 16 ","(2c_gen) general maturity certificate","32","0.996241630921468","0.975364386427076","1.01711887541586"
"No","2006","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","236","0.741206818797632","0.693369561400075","0.789044076195188"
"No","2006","Couple + C. LE 16 ","(3a) lower tertiary education","162","0.635574692160317","0.576036068242289","0.695113316078345"
"No","2006","Couple + C. LE 16 ","(3b) higher tertiary education","304","0.649478824867344","0.606250859774485","0.692706789960203"
"No","2006","Couple + C. GT 16 ","(0) in school","8","","",""
"No","2006","Couple + C. GT 16 ","(1a) inadequately completed","7","","",""
"No","2006","Couple + C. GT 16 ","(1b) general elementary school","98","0.795220195938878","0.722716211719059","0.867724180158698"
"No","2006","Couple + C. GT 16 ","(1c) basic vocational qualification","408","0.842190343374456","0.809711741446477","0.874668945302435"
"No","2006","Couple + C. GT 16 ","(2b) intermediate general qualification","78","0.842445714108687","0.770314851391222","0.914576576826151"
"No","2006","Couple + C. GT 16 ","(2a) intermediate vocational","466","0.740448454295579","0.706324237902861","0.774572670688297"
"No","2006","Couple + C. GT 16 ","(2c_gen) general maturity certificate","66","0.763729832927982","0.67342459315704","0.854035072698925"
"No","2006","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","116","0.801950987885687","0.737960531089515","0.865941444681859"
"No","2006","Couple + C. GT 16 ","(3a) lower tertiary education","128","0.689565099152487","0.625443255620718","0.753686942684257"
"No","2006","Couple + C. GT 16 ","(3b) higher tertiary education","167","0.550560503500567","0.496645162224095","0.60447584477704"
"No","2006","Couple + C. LE and GT 16","(0) in school","12","","",""
"No","2006","Couple + C. LE and GT 16","(1a) inadequately completed","5","","",""
"No","2006","Couple + C. LE and GT 16","(1b) general elementary school","58","0.733839368661347","0.631756173401067","0.835922563921627"
"No","2006","Couple + C. LE and GT 16","(1c) basic vocational qualification","162","0.817660795185277","0.764281027665382","0.871040562705172"
"No","2006","Couple + C. LE and GT 16","(2b) intermediate general qualification","38","0.911006132968484","0.827813949357034","0.994198316579934"
"No","2006","Couple + C. LE and GT 16","(2a) intermediate vocational","177","0.812479680282519","0.762360893211192","0.862598467353846"
"No","2006","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","23","","",""
"No","2006","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","44","0.715684266371184","0.606023167268275","0.825345365474093"
"No","2006","Couple + C. LE and GT 16","(3a) lower tertiary education","59","0.645030419105317","0.543306216286292","0.746754621924342"
"No","2006","Couple + C. LE and GT 16","(3b) higher tertiary education","84","0.710069242248931","0.633245901752264","0.786892582745598"
"Yes","2007","1-pers.-HH","(0) in school","","","",""
"Yes","2007","1-pers.-HH","(1a) inadequately completed","1","","",""
"Yes","2007","1-pers.-HH","(1b) general elementary school","6","","",""
"Yes","2007","1-pers.-HH","(1c) basic vocational qualification","48","0.12593242940381","0.0877476411560281","0.164117217651592"
"Yes","2007","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Yes","2007","1-pers.-HH","(2a) intermediate vocational","104","0.261934487454077","0.21900661490666","0.304862360001493"
"Yes","2007","1-pers.-HH","(2c_gen) general maturity certificate","21","","",""
"Yes","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","34","0.283405555414977","0.212460335378119","0.354350775451835"
"Yes","2007","1-pers.-HH","(3a) lower tertiary education","40","0.222737403170138","0.155245430222491","0.290229376117785"
"Yes","2007","1-pers.-HH","(3b) higher tertiary education","111","0.425393659260881","0.363611760621247","0.487175557900515"
"Yes","2007","(Married) couple without C. ","(0) in school","","","",""
"Yes","2007","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"Yes","2007","(Married) couple without C. ","(1b) general elementary school","23","","",""
"Yes","2007","(Married) couple without C. ","(1c) basic vocational qualification","114","0.16911078228267","0.141992806287914","0.196228758277425"
"Yes","2007","(Married) couple without C. ","(2b) intermediate general qualification","10","","",""
"Yes","2007","(Married) couple without C. ","(2a) intermediate vocational","220","0.245996818146714","0.218060830086308","0.27393280620712"
"Yes","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","25","","",""
"Yes","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","63","0.172307244238549","0.128991776275708","0.215622712201389"
"Yes","2007","(Married) couple without C. ","(3a) lower tertiary education","132","0.32033673879867","0.273483903682738","0.367189573914601"
"Yes","2007","(Married) couple without C. ","(3b) higher tertiary education","257","0.391390173489792","0.352435113822405","0.43034523315718"
"Yes","2007","Single parent ","(0) in school","","","",""
"Yes","2007","Single parent ","(1a) inadequately completed","1","","",""
"Yes","2007","Single parent ","(1b) general elementary school","10","","",""
"Yes","2007","Single parent ","(1c) basic vocational qualification","21","","",""
"Yes","2007","Single parent ","(2b) intermediate general qualification","9","","",""
"Yes","2007","Single parent ","(2a) intermediate vocational","51","0.241876760301675","0.181618831146741","0.302134689456609"
"Yes","2007","Single parent ","(2c_gen) general maturity certificate","5","","",""
"Yes","2007","Single parent ","(2c_voc) vocational maturity certificate","10","","",""
"Yes","2007","Single parent ","(3a) lower tertiary education","26","","",""
"Yes","2007","Single parent ","(3b) higher tertiary education","37","0.503652034782444","0.388163130176982","0.619140939387905"
"Yes","2007","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2007","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"Yes","2007","Couple + C. LE 16 ","(1b) general elementary school","14","","",""
"Yes","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","80","0.119337802338041","0.0932673501623904","0.145408254513691"
"Yes","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","8","","",""
"Yes","2007","Couple + C. LE 16 ","(2a) intermediate vocational","166","0.18499862198155","0.159473923016209","0.21052332094689"
"Yes","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"Yes","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","87","0.271143795487365","0.224504053349238","0.317783537625493"
"Yes","2007","Couple + C. LE 16 ","(3a) lower tertiary education","89","0.335467202511245","0.277742092012017","0.393192313010473"
"Yes","2007","Couple + C. LE 16 ","(3b) higher tertiary education","170","0.366798110632123","0.323818827084265","0.40977739417998"
"Yes","2007","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","2007","Couple + C. GT 16 ","(1a) inadequately completed","3","","",""
"Yes","2007","Couple + C. GT 16 ","(1b) general elementary school","21","","",""
"Yes","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","93","0.177989347241979","0.144259036310311","0.211719658173647"
"Yes","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","15","","",""
"Yes","2007","Couple + C. GT 16 ","(2a) intermediate vocational","167","0.237734346699931","0.205257394621243","0.270211298778619"
"Yes","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","25","","",""
"Yes","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","34","0.18642470744537","0.12430774247164","0.2485416724191"
"Yes","2007","Couple + C. GT 16 ","(3a) lower tertiary education","58","0.232112416612012","0.173008254556885","0.291216578667138"
"Yes","2007","Couple + C. GT 16 ","(3b) higher tertiary education","163","0.431119380179943","0.379819550855535","0.482419209504352"
"Yes","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","2007","Couple + C. LE and GT 16","(1a) inadequately completed","2","","",""
"Yes","2007","Couple + C. LE and GT 16","(1b) general elementary school","9","","",""
"Yes","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","30","0.166273172149095","0.114672415184777","0.217873929113413"
"Yes","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","10","","",""
"Yes","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","63","0.208917408194337","0.15950231194616","0.258332504442514"
"Yes","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"Yes","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","21","","",""
"Yes","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","27","","",""
"Yes","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","44","0.337432265629623","0.254208819755271","0.420655711503975"
"No","2007","1-pers.-HH","(0) in school","1","","",""
"No","2007","1-pers.-HH","(1a) inadequately completed","7","","",""
"No","2007","1-pers.-HH","(1b) general elementary school","40","0.833895851920674","0.726344636909519","0.94144706693183"
"No","2007","1-pers.-HH","(1c) basic vocational qualification","242","0.87406757059619","0.835882782348408","0.912252358843972"
"No","2007","1-pers.-HH","(2b) intermediate general qualification","19","","",""
"No","2007","1-pers.-HH","(2a) intermediate vocational","299","0.738065512545923","0.695137639998507","0.78099338509334"
"No","2007","1-pers.-HH","(2c_gen) general maturity certificate","62","0.714485925654361","0.61731873536962","0.811653115939102"
"No","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","121","0.716594444585023","0.645649224548165","0.787539664621881"
"No","2007","1-pers.-HH","(3a) lower tertiary education","106","0.777262596829862","0.709770623882215","0.844754569777509"
"No","2007","1-pers.-HH","(3b) higher tertiary education","135","0.574606340739119","0.512824442099486","0.636388239378753"
"No","2007","(Married) couple without C. ","(0) in school","","","",""
"No","2007","(Married) couple without C. ","(1a) inadequately completed","16","","",""
"No","2007","(Married) couple without C. ","(1b) general elementary school","96","0.80948372127468","0.738925972595911","0.880041469953449"
"No","2007","(Married) couple without C. ","(1c) basic vocational qualification","620","0.83088921771733","0.803771241722575","0.858007193712086"
"No","2007","(Married) couple without C. ","(2b) intermediate general qualification","36","0.804905763418303","0.690390358351282","0.919421168485323"
"No","2007","(Married) couple without C. ","(2a) intermediate vocational","693","0.754003181853286","0.72606719379288","0.781939169913692"
"No","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","53","0.617619659538013","0.509772397674264","0.725466921401762"
"No","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","229","0.827692755761451","0.784377287798611","0.871008223724292"
"No","2007","(Married) couple without C. ","(3a) lower tertiary education","249","0.67966326120133","0.632810426085399","0.726516096317262"
"No","2007","(Married) couple without C. ","(3b) higher tertiary education","346","0.608609826510208","0.56965476684282","0.647564886177595"
"No","2007","Single parent ","(0) in school","7","","",""
"No","2007","Single parent ","(1a) inadequately completed","4","","",""
"No","2007","Single parent ","(1b) general elementary school","48","0.90938791273336","0.835512188710617","0.983263636756104"
"No","2007","Single parent ","(1c) basic vocational qualification","104","0.817013684908853","0.749231267151289","0.884796102666417"
"No","2007","Single parent ","(2b) intermediate general qualification","23","","",""
"No","2007","Single parent ","(2a) intermediate vocational","143","0.758123239698325","0.697865310543391","0.818381168853259"
"No","2007","Single parent ","(2c_gen) general maturity certificate","22","","",""
"No","2007","Single parent ","(2c_voc) vocational maturity certificate","33","0.667626012428017","0.526828817757389","0.808423207098645"
"No","2007","Single parent ","(3a) lower tertiary education","20","","",""
"No","2007","Single parent ","(3b) higher tertiary education","35","0.496347965217556","0.380859060612095","0.611836869823018"
"No","2007","Couple + C. LE 16 ","(0) in school","","","",""
"No","2007","Couple + C. LE 16 ","(1a) inadequately completed","12","","",""
"No","2007","Couple + C. LE 16 ","(1b) general elementary school","85","0.867618700771781","0.800859940149513","0.934377461394049"
"No","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","514","0.880662197661959","0.854591745486309","0.90673264983761"
"No","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","24","","",""
"No","2007","Couple + C. LE 16 ","(2a) intermediate vocational","723","0.81500137801845","0.78947667905311","0.840526076983791"
"No","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","40","0.885950551842212","0.79307676160378","0.978824342080643"
"No","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","262","0.728856204512635","0.682216462374507","0.775495946650763"
"No","2007","Couple + C. LE 16 ","(3a) lower tertiary education","168","0.664532797488755","0.606807686989527","0.722257907987983"
"No","2007","Couple + C. LE 16 ","(3b) higher tertiary education","313","0.633201889367877","0.59022260582002","0.676181172915735"
"No","2007","Couple + C. GT 16 ","(0) in school","11","","",""
"No","2007","Couple + C. GT 16 ","(1a) inadequately completed","7","","",""
"No","2007","Couple + C. GT 16 ","(1b) general elementary school","105","0.814040137159471","0.746104862363286","0.881975411955656"
"No","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","401","0.822010652758021","0.788280341826353","0.855740963689689"
"No","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","78","0.906586097022344","0.847441251333463","0.965730942711225"
"No","2007","Couple + C. GT 16 ","(2a) intermediate vocational","493","0.762265653300069","0.729788701221381","0.794742605378757"
"No","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","86","0.760381774129348","0.680974118383539","0.839789429875158"
"No","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","117","0.81357529255463","0.7514583275809","0.87569225752836"
"No","2007","Couple + C. GT 16 ","(3a) lower tertiary education","138","0.767887583387988","0.708783421332862","0.826991745443115"
"No","2007","Couple + C. GT 16 ","(3b) higher tertiary education","195","0.568880619820057","0.517580790495649","0.620180449144465"
"No","2007","Couple + C. LE and GT 16","(0) in school","10","","",""
"No","2007","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"No","2007","Couple + C. LE and GT 16","(1b) general elementary school","54","0.83652575414259","0.745210749477925","0.927840758807256"
"No","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","170","0.833726827850905","0.782126070886587","0.885327584815223"
"No","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","39","0.901681224374438","0.818314105059857","0.985048343689019"
"No","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","197","0.791082591805663","0.741667495557486","0.84049768805384"
"No","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","21","","",""
"No","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","53","0.783386824933253","0.689530661642236","0.877242988224269"
"No","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","52","0.677204563540308","0.574104679570404","0.780304447510213"
"No","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","80","0.662567734370377","0.579344288496025","0.745791180244729"
"Yes","2008","1-pers.-HH","(0) in school","","","",""
"Yes","2008","1-pers.-HH","(1a) inadequately completed","1","","",""
"Yes","2008","1-pers.-HH","(1b) general elementary school","7","","",""
"Yes","2008","1-pers.-HH","(1c) basic vocational qualification","44","0.127966510751659","0.0881208571650277","0.16781216433829"
"Yes","2008","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Yes","2008","1-pers.-HH","(2a) intermediate vocational","100","0.265764279392047","0.221408352205156","0.310120206578938"
"Yes","2008","1-pers.-HH","(2c_gen) general maturity certificate","18","","",""
"Yes","2008","1-pers.-HH","(2c_voc) vocational maturity certificate","32","0.254384236833213","0.182752322532745","0.32601615113368"
"Yes","2008","1-pers.-HH","(3a) lower tertiary education","42","0.254176852846844","0.181533735010887","0.326819970682802"
"Yes","2008","1-pers.-HH","(3b) higher tertiary education","100","0.38240812877134","0.320008145422366","0.444808112120314"
"Yes","2008","(Married) couple without C. ","(0) in school","","","",""
"Yes","2008","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Yes","2008","(Married) couple without C. ","(1b) general elementary school","19","","",""
"Yes","2008","(Married) couple without C. ","(1c) basic vocational qualification","105","0.178244765984758","0.148845449788756","0.207644082180761"
"Yes","2008","(Married) couple without C. ","(2b) intermediate general qualification","8","","",""
"Yes","2008","(Married) couple without C. ","(2a) intermediate vocational","217","0.261870212173026","0.232755972425576","0.290984451920477"
"Yes","2008","(Married) couple without C. ","(2c_gen) general maturity certificate","21","","",""
"Yes","2008","(Married) couple without C. ","(2c_voc) vocational maturity certificate","59","0.190436962101465","0.14280167407652","0.23807225012641"
"Yes","2008","(Married) couple without C. ","(3a) lower tertiary education","124","0.348034847888284","0.298828583285974","0.397241112490593"
"Yes","2008","(Married) couple without C. ","(3b) higher tertiary education","233","0.372622784651641","0.333171671743049","0.412073897560234"
"Yes","2008","Single parent ","(0) in school","","","",""
"Yes","2008","Single parent ","(1a) inadequately completed","","","",""
"Yes","2008","Single parent ","(1b) general elementary school","8","","",""
"Yes","2008","Single parent ","(1c) basic vocational qualification","16","","",""
"Yes","2008","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","2008","Single parent ","(2a) intermediate vocational","50","0.294363002273947","0.227409951085981","0.361316053461913"
"Yes","2008","Single parent ","(2c_gen) general maturity certificate","4","","",""
"Yes","2008","Single parent ","(2c_voc) vocational maturity certificate","13","","",""
"Yes","2008","Single parent ","(3a) lower tertiary education","28","","",""
"Yes","2008","Single parent ","(3b) higher tertiary education","32","0.548682297210897","0.423804614227793","0.673559980194002"
"Yes","2008","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2008","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"Yes","2008","Couple + C. LE 16 ","(1b) general elementary school","10","","",""
"Yes","2008","Couple + C. LE 16 ","(1c) basic vocational qualification","63","0.101264712666227","0.0749531061184497","0.127576319214004"
"Yes","2008","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
"Yes","2008","Couple + C. LE 16 ","(2a) intermediate vocational","156","0.188806725778409","0.161271532363291","0.216341919193526"
"Yes","2008","Couple + C. LE 16 ","(2c_gen) general maturity certificate","6","","",""
"Yes","2008","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","79","0.273059291543769","0.223383267820853","0.322735315266685"
"Yes","2008","Couple + C. LE 16 ","(3a) lower tertiary education","75","0.340092758464981","0.277634180291943","0.40255133663802"
"Yes","2008","Couple + C. LE 16 ","(3b) higher tertiary education","137","0.309336221195598","0.265183673199826","0.35348876919137"
"Yes","2008","Couple + C. GT 16 ","(0) in school","1","","",""
"Yes","2008","Couple + C. GT 16 ","(1a) inadequately completed","4","","",""
"Yes","2008","Couple + C. GT 16 ","(1b) general elementary school","22","","",""
"Yes","2008","Couple + C. GT 16 ","(1c) basic vocational qualification","89","0.144850644570642","0.113099579785861","0.176601709355422"
"Yes","2008","Couple + C. GT 16 ","(2b) intermediate general qualification","15","","",""
"Yes","2008","Couple + C. GT 16 ","(2a) intermediate vocational","157","0.244441858172366","0.210365810351358","0.278517905993374"
