"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1985","(Married) couple without C. ","(2c_voc) vocational maturity certificate","44","0.747482908591707","0.634696521312977","0.860269295870438"
"No","1985","(Married) couple without C. ","(3a) lower tertiary education","37","0.68525850078463","0.561391554330077","0.809125447239184"
"No","1985","(Married) couple without C. ","(3b) higher tertiary education","31","0.421913700557021","0.310881372130567","0.532946028983475"
"No","1985","Single parent ","(0) in school","","","",""
"No","1985","Single parent ","(1a) inadequately completed","21","","",""
"No","1985","Single parent ","(1b) general elementary school","66","0.852899724358904","0.773784792434694","0.932014656283114"
"No","1985","Single parent ","(1c) basic vocational qualification","87","0.8377283498533","0.767539505634456","0.907917194072143"
"No","1985","Single parent ","(2b) intermediate general qualification","13","","",""
"No","1985","Single parent ","(2a) intermediate vocational","27","","",""
"No","1985","Single parent ","(2c_gen) general maturity certificate","9","","",""
"No","1985","Single parent ","(2c_voc) vocational maturity certificate","8","","",""
"No","1985","Single parent ","(3a) lower tertiary education","1","","",""
"No","1985","Single parent ","(3b) higher tertiary education","3","","",""
"No","1985","Couple + C. LE 16 ","(0) in school","","","",""
"No","1985","Couple + C. LE 16 ","(1a) inadequately completed","159","0.907561437228054","0.864148952337622","0.950973922118486"
"No","1985","Couple + C. LE 16 ","(1b) general elementary school","257","0.862013473459371","0.822250895106355","0.901776051812387"
"No","1985","Couple + C. LE 16 ","(1c) basic vocational qualification","562","0.804297370669539","0.774543436763847","0.834051304575232"
"No","1985","Couple + C. LE 16 ","(2b) intermediate general qualification","12","","",""
"No","1985","Couple + C. LE 16 ","(2a) intermediate vocational","177","0.735893692326648","0.680118715671418","0.791668668981879"
"No","1985","Couple + C. LE 16 ","(2c_gen) general maturity certificate","18","","",""
"No","1985","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","62","0.74390403337308","0.645774186557013","0.842033880189147"
"No","1985","Couple + C. LE 16 ","(3a) lower tertiary education","40","0.69907315592878","0.578944710853135","0.819201601004424"
"No","1985","Couple + C. LE 16 ","(3b) higher tertiary education","61","0.418805249466372","0.338502393772922","0.499108105159822"
"No","1985","Couple + C. GT 16 ","(0) in school","2","","",""
"No","1985","Couple + C. GT 16 ","(1a) inadequately completed","70","0.911420832076167","0.846683096440292","0.976158567712043"
