"pgoeffd","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1984","Part Time","(1c) basic vocational qualification","396","0.833869127791134","0.800255780880816","0.867482474701452"
"No","1984","Part Time","(2b) intermediate general qualification","72","0.75527098290603","0.667419659097066","0.843122306714995"
"No","1984","Part Time","(2a) intermediate vocational","144","0.733679639974115","0.671477884112288","0.795881395835941"
"No","1984","Part Time","(2c_gen) general maturity certificate","55","0.757212550614562","0.656769223687074","0.857655877542049"
"No","1984","Part Time","(2c_voc) vocational maturity certificate","37","0.689684765443534","0.567422169883031","0.811947361004037"
"No","1984","Part Time","(3a) lower tertiary education","22","","",""
"No","1984","Part Time","(3b) higher tertiary education","37","0.308123957801357","0.222614144202246","0.393633771400467"
"No","1984","Not Working","(0) in school","1","","",""
"No","1984","Not Working","(1a) inadequately completed","10","","",""
"No","1984","Not Working","(1b) general elementary school","43","0.878858046851","0.786551155615183","0.971164938086818"
"No","1984","Not Working","(1c) basic vocational qualification","48","0.951772182841617","0.892386959308073","1.01115740637516"
"No","1984","Not Working","(2b) intermediate general qualification","11","","",""
"No","1984","Not Working","(2a) intermediate vocational","11","","",""
"No","1984","Not Working","(2c_gen) general maturity certificate","11","","",""
"No","1984","Not Working","(2c_voc) vocational maturity certificate","13","","",""
"No","1984","Not Working","(3a) lower tertiary education","4","","",""
"No","1984","Not Working","(3b) higher tertiary education","3","","",""
"Yes","1985","Full Time","(0) in school","","","",""
"Yes","1985","Full Time","(1a) inadequately completed","40","0.0938828230696923","0.0663791010819027","0.121386545057482"
"Yes","1985","Full Time","(1b) general elementary school","95","0.1515539839023","0.126980472146544","0.176127495658056"
"Yes","1985","Full Time","(1c) basic vocational qualification","366","0.215855874026058","0.197405240198963","0.234306507853154"
"Yes","1985","Full Time","(2b) intermediate general qualification","29","","",""
"Yes","1985","Full Time","(2a) intermediate vocational","232","0.325107800298319","0.290207758834066","0.360007841762572"
"Yes","1985","Full Time","(2c_gen) general maturity certificate","13","","",""
"Yes","1985","Full Time","(2c_voc) vocational maturity certificate","57","0.356459679106761","0.290573676467178","0.422345681746345"
"Yes","1985","Full Time","(3a) lower tertiary education","45","0.311143659767145","0.238494499343391","0.383792820190899"
"Yes","1985","Full Time","(3b) higher tertiary education","167","0.588067636176591","0.531615125467249","0.644520146885933"
"Yes","1985","Part Time","(0) in school","","","",""
"Yes","1985","Part Time","(1a) inadequately completed","5","","",""
"Yes","1985","Part Time","(1b) general elementary school","64","0.205624214707309","0.161885975430684","0.249362453983935"
"Yes","1985","Part Time","(1c) basic vocational qualification","78","0.180171884866535","0.144096600652548","0.216247169080523"
"Yes","1985","Part Time","(2b) intermediate general qualification","14","","",""
"Yes","1985","Part Time","(2a) intermediate vocational","48","0.281951976743986","0.215665371919179","0.348238581568793"
"Yes","1985","Part Time","(2c_gen) general maturity certificate","7","","",""
"Yes","1985","Part Time","(2c_voc) vocational maturity certificate","17","","",""
"Yes","1985","Part Time","(3a) lower tertiary education","8","","",""
"Yes","1985","Part Time","(3b) higher tertiary education","58","0.612394550807494","0.513375852563862","0.711413249051126"
"Yes","1985","Not Working","(0) in school","","","",""
"Yes","1985","Not Working","(1a) inadequately completed","2","","",""
"Yes","1985","Not Working","(1b) general elementary school","2","","",""
"Yes","1985","Not Working","(1c) basic vocational qualification","","","",""
"Yes","1985","Not Working","(2b) intermediate general qualification","5","","",""
"Yes","1985","Not Working","(2a) intermediate vocational","2","","",""
"Yes","1985","Not Working","(2c_gen) general maturity certificate","3","","",""
"Yes","1985","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","Not Working","(3a) lower tertiary education","1","","",""
"Yes","1985","Not Working","(3b) higher tertiary education","4","","",""
"No","1985","Full Time","(0) in school","","","",""
"No","1985","Full Time","(1a) inadequately completed","392","0.906117176930308","0.878613454942518","0.933620898918097"
"No","1985","Full Time","(1b) general elementary school","723","0.8484460160977","0.823872504341944","0.873019527853456"
"No","1985","Full Time","(1c) basic vocational qualification","1544","0.784144125973942","0.765693492146846","0.802594759801037"
"No","1985","Full Time","(2b) intermediate general qualification","98","0.764984001653628","0.691240947491928","0.838727055815329"
"No","1985","Full Time","(2a) intermediate vocational","460","0.674892199701681","0.639992158237428","0.709792241165934"
"No","1985","Full Time","(2c_gen) general maturity certificate","50","0.743368491175885","0.635514833164352","0.851222149187417"
"No","1985","Full Time","(2c_voc) vocational maturity certificate","146","0.643540320893239","0.577654318253655","0.709426323532822"
"No","1985","Full Time","(3a) lower tertiary education","111","0.688856340232855","0.616207179809101","0.761505500656609"
"No","1985","Full Time","(3b) higher tertiary education","125","0.411932363823409","0.355479853114067","0.468384874532751"
"No","1985","Part Time","(0) in school","1","","",""
"No","1985","Part Time","(1a) inadequately completed","62","0.898334992511278","0.825972153596217","0.970697831426339"
"No","1985","Part Time","(1b) general elementary school","264","0.794375785292691","0.750637546016065","0.838114024569316"
"No","1985","Part Time","(1c) basic vocational qualification","358","0.819828115133465","0.783752830919477","0.855903399347452"
"No","1985","Part Time","(2b) intermediate general qualification","56","0.796325783062287","0.701982173697773","0.890669392426801"
"No","1985","Part Time","(2a) intermediate vocational","129","0.718048023256014","0.651761418431207","0.784334628080821"
"No","1985","Part Time","(2c_gen) general maturity certificate","41","0.829146890889992","0.722670173469669","0.935623608310316"
"No","1985","Part Time","(2c_voc) vocational maturity certificate","36","0.69396160772822","0.569891878514471","0.818031336941968"
"No","1985","Part Time","(3a) lower tertiary education","12","","",""
"No","1985","Part Time","(3b) higher tertiary education","35","0.387605449192506","0.288586750948874","0.486624147436138"
"No","1985","Not Working","(0) in school","1","","",""
"No","1985","Not Working","(1a) inadequately completed","5","","",""
"No","1985","Not Working","(1b) general elementary school","21","","",""
"No","1985","Not Working","(1c) basic vocational qualification","23","","",""
"No","1985","Not Working","(2b) intermediate general qualification","5","","",""
"No","1985","Not Working","(2a) intermediate vocational","8","","",""
"No","1985","Not Working","(2c_gen) general maturity certificate","6","","",""
"No","1985","Not Working","(2c_voc) vocational maturity certificate","","","",""
"No","1985","Not Working","(3a) lower tertiary education","1","","",""
"No","1985","Not Working","(3b) higher tertiary education","3","","",""
"Yes","1986","Full Time","(0) in school","","","",""
"Yes","1986","Full Time","(1a) inadequately completed","33","0.0845278497514602","0.0563352731477808","0.11272042635514"
"Yes","1986","Full Time","(1b) general elementary school","82","0.130612609883535","0.107334411074582","0.153890808692487"
"Yes","1986","Full Time","(1c) basic vocational qualification","349","0.220726484392747","0.201630538489083","0.239822430296411"
"Yes","1986","Full Time","(2b) intermediate general qualification","38","0.309623408880049","0.229528847265882","0.389717970494217"
"Yes","1986","Full Time","(2a) intermediate vocational","215","0.316646127515833","0.281130842508075","0.35216141252359"
"Yes","1986","Full Time","(2c_gen) general maturity certificate","11","","",""
"Yes","1986","Full Time","(2c_voc) vocational maturity certificate","58","0.35067525839771","0.285826754348577","0.415523762446844"
"Yes","1986","Full Time","(3a) lower tertiary education","40","0.290564643950615","0.216918593448776","0.364210694452455"
"Yes","1986","Full Time","(3b) higher tertiary education","171","0.579322149424725","0.523919177578838","0.634725121270613"
"Yes","1986","Part Time","(0) in school","","","",""
"Yes","1986","Part Time","(1a) inadequately completed","8","","",""
"Yes","1986","Part Time","(1b) general elementary school","56","0.241633679309399","0.190947324210983","0.292320034407816"
"Yes","1986","Part Time","(1c) basic vocational qualification","70","0.185439500965811","0.146767644062872","0.22411135786875"
"Yes","1986","Part Time","(2b) intermediate general qualification","20","","",""
"Yes","1986","Part Time","(2a) intermediate vocational","43","0.253366489454962","0.186596299017225","0.320136679892699"
"Yes","1986","Part Time","(2c_gen) general maturity certificate","13","","",""
"Yes","1986","Part Time","(2c_voc) vocational maturity certificate","13","","",""
"Yes","1986","Part Time","(3a) lower tertiary education","9","","",""
"Yes","1986","Part Time","(3b) higher tertiary education","50","0.662695987167883","0.555695591484558","0.769696382851208"
"Yes","1986","Not Working","(0) in school","","","",""
"Yes","1986","Not Working","(1a) inadequately completed","2","","",""
"Yes","1986","Not Working","(1b) general elementary school","2","","",""
"Yes","1986","Not Working","(1c) basic vocational qualification","2","","",""
"Yes","1986","Not Working","(2b) intermediate general qualification","1","","",""
"Yes","1986","Not Working","(2a) intermediate vocational","3","","",""
"Yes","1986","Not Working","(2c_gen) general maturity certificate","2","","",""
"Yes","1986","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1986","Not Working","(3a) lower tertiary education","","","",""
"Yes","1986","Not Working","(3b) higher tertiary education","3","","",""
"No","1986","Full Time","(0) in school","","","",""
"No","1986","Full Time","(1a) inadequately completed","341","0.91547215024854","0.887279573644861","0.943664726852219"
"No","1986","Full Time","(1b) general elementary school","723","0.869387390116465","0.846109191307513","0.892665588925418"
"No","1986","Full Time","(1c) basic vocational qualification","1463","0.779273515607253","0.760177569703589","0.798369461510916"
"No","1986","Full Time","(2b) intermediate general qualification","90","0.690376591119951","0.610282029505783","0.770471152734119"
"No","1986","Full Time","(2a) intermediate vocational","444","0.683353872484167","0.64783858747641","0.718869157491924"
"No","1986","Full Time","(2c_gen) general maturity certificate","54","0.805751658686094","0.709574780463901","0.901928536908288"
"No","1986","Full Time","(2c_voc) vocational maturity certificate","150","0.64932474160229","0.584476237553156","0.714173245651423"
"No","1986","Full Time","(3a) lower tertiary education","106","0.709435356049385","0.635789305547545","0.783081406551224"
"No","1986","Full Time","(3b) higher tertiary education","134","0.420677850575275","0.365274878729387","0.476080822421163"
"No","1986","Part Time","(0) in school","","","",""
"No","1986","Part Time","(1a) inadequately completed","46","0.718665928203858","0.59873646085779","0.838595395549925"
"No","1986","Part Time","(1b) general elementary school","218","0.758366320690601","0.707679965592184","0.809052675789017"
"No","1986","Part Time","(1c) basic vocational qualification","318","0.814560499034189","0.77588864213125","0.853232355937128"
"No","1986","Part Time","(2b) intermediate general qualification","53","0.730929989784262","0.629198079600567","0.832661899967958"
"No","1986","Part Time","(2a) intermediate vocational","120","0.746633510545038","0.679863320107301","0.813403700982775"
"No","1986","Part Time","(2c_gen) general maturity certificate","34","0.652845355517585","0.516742946776763","0.788947764258406"
"No","1986","Part Time","(2c_voc) vocational maturity certificate","28","","",""
"No","1986","Part Time","(3a) lower tertiary education","11","","",""
"No","1986","Part Time","(3b) higher tertiary education","25","","",""
"No","1986","Not Working","(0) in school","2","","",""
"No","1986","Not Working","(1a) inadequately completed","3","","",""
"No","1986","Not Working","(1b) general elementary school","14","","",""
"No","1986","Not Working","(1c) basic vocational qualification","12","","",""
"No","1986","Not Working","(2b) intermediate general qualification","2","","",""
"No","1986","Not Working","(2a) intermediate vocational","5","","",""
"No","1986","Not Working","(2c_gen) general maturity certificate","5","","",""
"No","1986","Not Working","(2c_voc) vocational maturity certificate","2","","",""
"No","1986","Not Working","(3a) lower tertiary education","1","","",""
"No","1986","Not Working","(3b) higher tertiary education","3","","",""
"Yes","1987","Full Time","(0) in school","","","",""
"Yes","1987","Full Time","(1a) inadequately completed","31","0.0917842017640118","0.0620420558838868","0.121526347644137"
"Yes","1987","Full Time","(1b) general elementary school","83","0.131704065651561","0.108062823434556","0.155345307868566"
"Yes","1987","Full Time","(1c) basic vocational qualification","343","0.216547238785003","0.19759274533464","0.235501732235367"
"Yes","1987","Full Time","(2b) intermediate general qualification","47","0.369797039222891","0.287129620391837","0.452464458053945"
"Yes","1987","Full Time","(2a) intermediate vocational","208","0.301473358782345","0.266880161786443","0.336066555778246"
"Yes","1987","Full Time","(2c_gen) general maturity certificate","18","","",""
"Yes","1987","Full Time","(2c_voc) vocational maturity certificate","56","0.348194488277052","0.282170302581148","0.414218673972956"
"Yes","1987","Full Time","(3a) lower tertiary education","35","0.283273148794845","0.206406018453757","0.360140279135933"
"Yes","1987","Full Time","(3b) higher tertiary education","159","0.546291294563857","0.489766283626639","0.602816305501075"
"Yes","1987","Part Time","(0) in school","","","",""
"Yes","1987","Part Time","(1a) inadequately completed","10","","",""
"Yes","1987","Part Time","(1b) general elementary school","57","0.213417305309266","0.167435588639382","0.259399021979149"
"Yes","1987","Part Time","(1c) basic vocational qualification","65","0.174433726399797","0.13627907470203","0.212588378097564"
"Yes","1987","Part Time","(2b) intermediate general qualification","18","","",""
"Yes","1987","Part Time","(2a) intermediate vocational","59","0.343831648341909","0.272219730758423","0.415443565925394"
"Yes","1987","Part Time","(2c_gen) general maturity certificate","11","","",""
"Yes","1987","Part Time","(2c_voc) vocational maturity certificate","17","","",""
"Yes","1987","Part Time","(3a) lower tertiary education","13","","",""
"Yes","1987","Part Time","(3b) higher tertiary education","56","0.639671403992487","0.537608843123073","0.741733964861901"
"Yes","1987","Not Working","(0) in school","","","",""
"Yes","1987","Not Working","(1a) inadequately completed","","","",""
"Yes","1987","Not Working","(1b) general elementary school","2","","",""
"Yes","1987","Not Working","(1c) basic vocational qualification","7","","",""
"Yes","1987","Not Working","(2b) intermediate general qualification","1","","",""
"Yes","1987","Not Working","(2a) intermediate vocational","2","","",""
"Yes","1987","Not Working","(2c_gen) general maturity certificate","4","","",""
"Yes","1987","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1987","Not Working","(3a) lower tertiary education","","","",""
"Yes","1987","Not Working","(3b) higher tertiary education","4","","",""
"No","1987","Full Time","(0) in school","","","",""
"No","1987","Full Time","(1a) inadequately completed","331","0.908215798235988","0.878473652355863","0.937957944116113"
"No","1987","Full Time","(1b) general elementary school","703","0.868295934348439","0.844654692131434","0.891937176565444"
"No","1987","Full Time","(1c) basic vocational qualification","1471","0.783452761214997","0.764498267764633","0.80240725466536"
"No","1987","Full Time","(2b) intermediate general qualification","84","0.630202960777109","0.547535541946055","0.712870379608163"
"No","1987","Full Time","(2a) intermediate vocational","468","0.698526641217655","0.663933444221754","0.733119838213557"
"No","1987","Full Time","(2c_gen) general maturity certificate","61","0.691449346323938","0.589595375231537","0.793303317416338"
"No","1987","Full Time","(2c_voc) vocational maturity certificate","144","0.651805511722948","0.585781326027044","0.717829697418852"
"No","1987","Full Time","(3a) lower tertiary education","97","0.716726851205155","0.639859720864067","0.793593981546243"
"No","1987","Full Time","(3b) higher tertiary education","139","0.453708705436143","0.397183694498925","0.510233716373361"
"No","1987","Part Time","(0) in school","1","","",""
"No","1987","Part Time","(1a) inadequately completed","55","0.794532001995035","0.696307642723791","0.892756361266279"
"No","1987","Part Time","(1b) general elementary school","248","0.786582694690734","0.740600978020851","0.832564411360618"
"No","1987","Part Time","(1c) basic vocational qualification","315","0.825566273600203","0.787411621902436","0.86372092529797"
"No","1987","Part Time","(2b) intermediate general qualification","61","0.730887803364795","0.633090564521127","0.828685042208463"
"No","1987","Part Time","(2a) intermediate vocational","110","0.656168351658091","0.584556434074606","0.727780269241577"
"No","1987","Part Time","(2c_gen) general maturity certificate","37","0.693569469218422","0.563151187886321","0.823987750550524"
"No","1987","Part Time","(2c_voc) vocational maturity certificate","35","0.682894564724004","0.556413623071142","0.809375506376867"
"No","1987","Part Time","(3a) lower tertiary education","17","","",""
"No","1987","Part Time","(3b) higher tertiary education","29","","",""
"No","1987","Not Working","(0) in school","4","","",""
"No","1987","Not Working","(1a) inadequately completed","1","","",""
"No","1987","Not Working","(1b) general elementary school","16","","",""
"No","1987","Not Working","(1c) basic vocational qualification","18","","",""
"No","1987","Not Working","(2b) intermediate general qualification","5","","",""
"No","1987","Not Working","(2a) intermediate vocational","6","","",""
"No","1987","Not Working","(2c_gen) general maturity certificate","2","","",""
"No","1987","Not Working","(2c_voc) vocational maturity certificate","4","","",""
"No","1987","Not Working","(3a) lower tertiary education","4","","",""
"No","1987","Not Working","(3b) higher tertiary education","1","","",""
"Yes","1988","Full Time","(0) in school","","","",""
"Yes","1988","Full Time","(1a) inadequately completed","30","0.0782980939523585","0.0489560074595793","0.107640180445138"
"Yes","1988","Full Time","(1b) general elementary school","74","0.132140325429106","0.107984768455185","0.156295882403028"
"Yes","1988","Full Time","(1c) basic vocational qualification","324","0.217160259819715","0.197775973620137","0.236544546019292"
"Yes","1988","Full Time","(2b) intermediate general qualification","45","0.322017052415457","0.247490945030652","0.396543159800262"
"Yes","1988","Full Time","(2a) intermediate vocational","193","0.307992473590972","0.271971215898384","0.344013731283561"
"Yes","1988","Full Time","(2c_gen) general maturity certificate","19","","",""
"Yes","1988","Full Time","(2c_voc) vocational maturity certificate","54","0.343469379982734","0.276300364503043","0.410638395462425"
"Yes","1988","Full Time","(3a) lower tertiary education","30","0.259994071345571","0.183707946812898","0.336280195878244"
"Yes","1988","Full Time","(3b) higher tertiary education","146","0.511826938275034","0.453895601553026","0.569758274997042"
"Yes","1988","Part Time","(0) in school","","","",""
"Yes","1988","Part Time","(1a) inadequately completed","7","","",""
"Yes","1988","Part Time","(1b) general elementary school","59","0.195450701850488","0.152338385454284","0.238563018246691"
"Yes","1988","Part Time","(1c) basic vocational qualification","57","0.171014886948934","0.132701419281216","0.209328354616653"
"Yes","1988","Part Time","(2b) intermediate general qualification","15","","",""
"Yes","1988","Part Time","(2a) intermediate vocational","62","0.296882448610222","0.232756025454852","0.361008871765592"
"Yes","1988","Part Time","(2c_gen) general maturity certificate","15","","",""
"Yes","1988","Part Time","(2c_voc) vocational maturity certificate","14","","",""
"Yes","1988","Part Time","(3a) lower tertiary education","14","","",""
"Yes","1988","Part Time","(3b) higher tertiary education","56","0.701956569214013","0.602347133484859","0.801566004943167"
"Yes","1988","Not Working","(0) in school","","","",""
"Yes","1988","Not Working","(1a) inadequately completed","2","","",""
"Yes","1988","Not Working","(1b) general elementary school","6","","",""
"Yes","1988","Not Working","(1c) basic vocational qualification","8","","",""
"Yes","1988","Not Working","(2b) intermediate general qualification","3","","",""
"Yes","1988","Not Working","(2a) intermediate vocational","2","","",""
"Yes","1988","Not Working","(2c_gen) general maturity certificate","","","",""
"Yes","1988","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1988","Not Working","(3a) lower tertiary education","","","",""
"Yes","1988","Not Working","(3b) higher tertiary education","1","","",""
"No","1988","Full Time","(0) in school","","","",""
"No","1988","Full Time","(1a) inadequately completed","292","0.921701906047641","0.892359819554862","0.951043992540421"
"No","1988","Full Time","(1b) general elementary school","681","0.867859674570894","0.843704117596972","0.892015231544815"
"No","1988","Full Time","(1c) basic vocational qualification","1414","0.782839740180285","0.763455453980708","0.802224026379863"
"No","1988","Full Time","(2b) intermediate general qualification","106","0.677982947584543","0.603456840199738","0.752509054969347"
"No","1988","Full Time","(2a) intermediate vocational","438","0.692007526409028","0.655986268716439","0.728028784101616"
"No","1988","Full Time","(2c_gen) general maturity certificate","54","0.628239377460672","0.51737783128354","0.739100923637805"
"No","1988","Full Time","(2c_voc) vocational maturity certificate","138","0.656530620017266","0.589361604537575","0.723699635496957"
"No","1988","Full Time","(3a) lower tertiary education","97","0.740005928654429","0.663719804121756","0.816292053187102"
"No","1988","Full Time","(3b) higher tertiary education","140","0.488173061724966","0.430241725002958","0.546104398446974"
"No","1988","Part Time","(0) in school","4","","",""
"No","1988","Part Time","(1a) inadequately completed","57","0.880045885178667","0.800444919300536","0.959646851056798"
"No","1988","Part Time","(1b) general elementary school","266","0.804549298149512","0.761436981753309","0.847661614545716"
"No","1988","Part Time","(1c) basic vocational qualification","314","0.828985113051066","0.790671645383347","0.867298580718784"
"No","1988","Part Time","(2b) intermediate general qualification","63","0.806437892609323","0.718758723897592","0.894117061321054"
"No","1988","Part Time","(2a) intermediate vocational","133","0.703117551389778","0.638991128234408","0.767243974545148"
"No","1988","Part Time","(2c_gen) general maturity certificate","43","0.700480547503284","0.582599319736013","0.818361775270556"
"No","1988","Part Time","(2c_voc) vocational maturity certificate","34","0.719749919362993","0.592695095666998","0.846804743058988"
"No","1988","Part Time","(3a) lower tertiary education","20","","",""
"No","1988","Part Time","(3b) higher tertiary education","25","","",""
"No","1988","Not Working","(0) in school","2","","",""
"No","1988","Not Working","(1a) inadequately completed","6","","",""
"No","1988","Not Working","(1b) general elementary school","16","","",""
"No","1988","Not Working","(1c) basic vocational qualification","21","","",""
"No","1988","Not Working","(2b) intermediate general qualification","5","","",""
"No","1988","Not Working","(2a) intermediate vocational","8","","",""
"No","1988","Not Working","(2c_gen) general maturity certificate","3","","",""
"No","1988","Not Working","(2c_voc) vocational maturity certificate","5","","",""
"No","1988","Not Working","(3a) lower tertiary education","3","","",""
"No","1988","Not Working","(3b) higher tertiary education","5","","",""
"Yes","1989","Full Time","(0) in school","","","",""
"Yes","1989","Full Time","(1a) inadequately completed","25","","",""
"Yes","1989","Full Time","(1b) general elementary school","78","0.130060026602296","0.106499566208614","0.153620486995977"
"Yes","1989","Full Time","(1c) basic vocational qualification","311","0.209047332818248","0.189819334558653","0.228275331077843"
"Yes","1989","Full Time","(2b) intermediate general qualification","42","0.312111225005846","0.237960352265942","0.386262097745751"
"Yes","1989","Full Time","(2a) intermediate vocational","202","0.301839797447877","0.266897044178235","0.336782550717518"
"Yes","1989","Full Time","(2c_gen) general maturity certificate","23","","",""
"Yes","1989","Full Time","(2c_voc) vocational maturity certificate","47","0.265888087653276","0.20683271192359","0.324943463382962"
"Yes","1989","Full Time","(3a) lower tertiary education","36","0.294091512144185","0.216945916076025","0.371237108212344"
"Yes","1989","Full Time","(3b) higher tertiary education","141","0.494783903616684","0.437339467948661","0.552228339284708"
"Yes","1989","Part Time","(0) in school","1","","",""
"Yes","1989","Part Time","(1a) inadequately completed","14","","",""
"Yes","1989","Part Time","(1b) general elementary school","61","0.231310065578164","0.184445913949062","0.278174217207267"
"Yes","1989","Part Time","(1c) basic vocational qualification","67","0.16422060521166","0.127546062144399","0.200895148278921"
"Yes","1989","Part Time","(2b) intermediate general qualification","17","","",""
"Yes","1989","Part Time","(2a) intermediate vocational","59","0.319749958566444","0.252905282249083","0.386594634883805"
"Yes","1989","Part Time","(2c_gen) general maturity certificate","18","","",""
"Yes","1989","Part Time","(2c_voc) vocational maturity certificate","12","","",""
"Yes","1989","Part Time","(3a) lower tertiary education","12","","",""
"Yes","1989","Part Time","(3b) higher tertiary education","52","0.639298528393202","0.536607085175458","0.741989971610945"
"Yes","1989","Not Working","(0) in school","1","","",""
"Yes","1989","Not Working","(1a) inadequately completed","4","","",""
"Yes","1989","Not Working","(1b) general elementary school","4","","",""
"Yes","1989","Not Working","(1c) basic vocational qualification","6","","",""
"Yes","1989","Not Working","(2b) intermediate general qualification","1","","",""
"Yes","1989","Not Working","(2a) intermediate vocational","4","","",""
"Yes","1989","Not Working","(2c_gen) general maturity certificate","2","","",""
"Yes","1989","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","Not Working","(3a) lower tertiary education","","","",""
"Yes","1989","Not Working","(3b) higher tertiary education","2","","",""
"No","1989","Full Time","(0) in school","","","",""
"No","1989","Full Time","(1a) inadequately completed","274","0.909068435973407","0.876479654898778","0.941657217048037"
"No","1989","Full Time","(1b) general elementary school","705","0.869939973397704","0.846379513004023","0.893500433791386"
"No","1989","Full Time","(1c) basic vocational qualification","1407","0.790952667181752","0.771724668922158","0.810180665441347"
"No","1989","Full Time","(2b) intermediate general qualification","108","0.687888774994154","0.613737902254249","0.762039647734058"
"No","1989","Full Time","(2a) intermediate vocational","461","0.698160202552123","0.663217449282482","0.733102955821765"
"No","1989","Full Time","(2c_gen) general maturity certificate","64","0.657457189108347","0.557737794645366","0.757176583571329"
"No","1989","Full Time","(2c_voc) vocational maturity certificate","168","0.734111912346724","0.675056536617038","0.79316728807641"
"No","1989","Full Time","(3a) lower tertiary education","98","0.705908487855815","0.628762891787656","0.783054083923975"
"No","1989","Full Time","(3b) higher tertiary education","150","0.505216096383316","0.447771660715292","0.562660532051339"
"No","1989","Part Time","(0) in school","8","","",""
"No","1989","Part Time","(1a) inadequately completed","66","0.906079074374601","0.842154575834194","0.970003572915008"
"No","1989","Part Time","(1b) general elementary school","250","0.768689934421835","0.721825782792733","0.815554086050937"
"No","1989","Part Time","(1c) basic vocational qualification","325","0.83577939478834","0.799104851721079","0.872453937855601"
"No","1989","Part Time","(2b) intermediate general qualification","59","0.762685578208932","0.667037526586755","0.85833362983111"
"No","1989","Part Time","(2a) intermediate vocational","128","0.680250041433556","0.613405365116195","0.747094717750917"
