"pgoeffd","year","age_gr","n","percent","lower_confidence","upper_confidence"
"No","1997","35-65 y.","3144","0.713654987755019","0.700216752647605","0.727093222862433"
"No","1997","66 and older","34","0.950273772047241","0.879264678259482","1.021282865835"
"Yes","1997","16-34 y.","686","0.241872380745144","0.226551653096948","0.257193108393341"
"Yes","1997","35-65 y.","1203","0.286345012244981","0.272906777137567","0.299783247352395"
"Yes","1997","66 and older","2","","",""
"No","1998","16-34 y.","2453","0.760950969711113","0.74602840564995","0.775873533772276"
"No","1998","35-65 y.","3555","0.716007464786836","0.703427693278513","0.728587236295159"
"No","1998","66 and older","36","0.873468187346839","0.771707607367923","0.975228767325754"
"Yes","1998","16-34 y.","685","0.239049030288887","0.224126466227724","0.25397159435005"
"Yes","1998","35-65 y.","1381","0.283992535213164","0.271412763704841","0.296572306721487"
"Yes","1998","66 and older","5","","",""
"No","1999","16-34 y.","2194","0.769172316531724","0.753500623360235","0.784844009703213"
"No","1999","35-65 y.","3384","0.721187004070593","0.708334395170283","0.734039612970903"
"No","1999","66 and older","29","","",""
"Yes","1999","16-34 y.","583","0.230827683468276","0.215155990296787","0.246499376639765"
"Yes","1999","35-65 y.","1292","0.278812995929407","0.265960387029097","0.291665604829717"
"Yes","1999","66 and older","2","","",""
"No","2000","16-34 y.","3740","0.793991456162685","0.782417924468483","0.805564987856886"
"No","2000","35-65 y.","6656","0.746499445279037","0.737525061698102","0.755473828859972"
"No","2000","66 and older","84","0.90941338209377","0.850442165452604","0.968384598734936"
"Yes","2000","16-34 y.","951","0.206008543837315","0.194435012143114","0.217582075531517"
"Yes","2000","35-65 y.","2370","0.253500554720963","0.244526171140028","0.262474938301898"
"Yes","2000","66 and older","7","","",""
"No","2001","16-34 y.","2985","0.795002225401795","0.782074475255764","0.807929975547826"
"No","2001","35-65 y.","5924","0.745942775151831","0.736426530306095","0.755459019997566"
"No","2001","66 and older","64","0.851340354330692","0.771358871515659","0.931321837145724"
"Yes","2001","16-34 y.","761","0.204997774598205","0.192070024452174","0.217925524744236"
"Yes","2001","35-65 y.","2115","0.254057224848169","0.244540980002434","0.263573469693905"
"Yes","2001","66 and older","12","","",""
"No","2002","16-34 y.","3125","0.802457946105391","0.789992684921405","0.814923207289378"
"No","2002","35-65 y.","6720","0.746788500382783","0.73796202158921","0.755614979176356"
"No","2002","66 and older","101","0.837874564323791","0.771654485755458","0.904094642892124"
"Yes","2002","16-34 y.","794","0.197542053894609","0.185076792710622","0.210007315078595"
"Yes","2002","35-65 y.","2604","0.253211499617217","0.244385020823644","0.26203797841079"
"Yes","2002","66 and older","18","","",""
"No","2003","16-34 y.","2577","0.781164983354783","0.766991701538443","0.795338265171123"
"No","2003","35-65 y.","6053","0.737107818202403","0.727726397871733","0.746489238533074"
"No","2003","66 and older","87","0.897823004751616","0.838459433591825","0.957186575911408"
"Yes","2003","16-34 y.","692","0.218835016645218","0.204661734828877","0.233008298461558"
"Yes","2003","35-65 y.","2405","0.262892181797597","0.253510761466926","0.272273602128267"
"Yes","2003","66 and older","13","","",""
"No","2004","16-34 y.","2699","0.783968129110575","0.770169570622409","0.797766687598741"
"No","2004","35-65 y.","6214","0.744542355578074","0.735326677710318","0.753758033445829"
"No","2004","66 and older","142","0.968205277340382","0.940127436702814","0.99628311797795"
"Yes","2004","16-34 y.","718","0.216031870889425","0.202233312401259","0.229830429377591"
"Yes","2004","35-65 y.","2389","0.255457644421926","0.24624196655417","0.264673322289682"
"Yes","2004","66 and older","8","","",""
"No","2005","16-34 y.","2250","0.787228220605703","0.772133569309503","0.802322871901904"
"No","2005","35-65 y.","5689","0.74160821286006","0.73197715749056","0.751239268229559"
"No","2005","66 and older","105","0.950950745897722","0.910591135627667","0.991310356167776"
"Yes","2005","16-34 y.","574","0.212771779394297","0.197677128098096","0.227866430690497"
"Yes","2005","35-65 y.","2247","0.258391787139941","0.248760731770441","0.26802284250944"
"Yes","2005","66 and older","5","","",""
"No","2006","16-34 y.","2146","0.785909873298984","0.770443442218476","0.801376304379492"
"No","2006","35-65 y.","5949","0.74141598323998","0.73201261441208","0.750819352067881"
"No","2006","66 and older","129","0.926405325400455","0.882840872539042","0.969969778261868"
"Yes","2006","16-34 y.","556","0.214090126701016","0.198623695620508","0.229556557781524"
"Yes","2006","35-65 y.","2380","0.25858401676002","0.249180647932119","0.26798738558792"
"Yes","2006","66 and older","9","","",""
"No","2007","16-34 y.","2410","0.809213067611676","0.79515281187646","0.823273323346892"
"No","2007","35-65 y.","6045","0.746898501377125","0.737561018631258","0.756235984122992"
"No","2007","66 and older","165","0.905755156732776","0.863073030650425","0.948437282815127"
"Yes","2007","16-34 y.","590","0.190786932388324","0.176726676653108","0.20484718812354"
"Yes","2007","35-65 y.","2284","0.253101498622875","0.243764015877008","0.262438981368742"
"Yes","2007","66 and older","15","","",""
"No","2008","16-34 y.","2092","0.825585880286739","0.810985930622191","0.840185829951287"
"No","2008","35-65 y.","5577","0.745166747274892","0.735429711131389","0.754903783418394"
"No","2008","66 and older","149","0.940219676380493","0.903369181246305","0.977070171514681"
"Yes","2008","16-34 y.","503","0.174414119713261","0.159814170048713","0.189014069377809"
"Yes","2008","35-65 y.","2117","0.254833252725108","0.245096216581606","0.264570288868611"
"Yes","2008","66 and older","10","","",""
"No","2009","16-34 y.","2059","0.818975207391922","0.804129317232648","0.833821097551195"
"No","2009","35-65 y.","5407","0.750193397490943","0.740341440058591","0.760045354923295"
"No","2009","66 and older","206","0.916213124683092","0.880010247784086","0.952416001582097"
"Yes","2009","16-34 y.","525","0.181024792608078","0.166178902448805","0.195870682767351"
"Yes","2009","35-65 y.","2010","0.249806602509057","0.239954645076705","0.259658559941409"
"Yes","2009","66 and older","19","","",""
"No","2010","16-34 y.","2861","0.810337842471088","0.797407124606497","0.823268560335678"
"No","2010","35-65 y.","7265","0.744866762816044","0.736226565002165","0.753506960629923"
"No","2010","66 and older","169","0.899058126999432","0.855880690633252","0.942235563365612"
"Yes","2010","16-34 y.","670","0.189662157528912","0.176731439664322","0.202592875393503"
"Yes","2010","35-65 y.","2514","0.255133237183956","0.246493039370077","0.263773434997835"
"Yes","2010","66 and older","18","","",""
"No","2011","16-34 y.","3182","0.804756498297129","0.79239659376222","0.817116402832038"
"No","2011","35-65 y.","8828","0.740927044864724","0.733081911693786","0.748772178035662"
"No","2011","66 and older","174","0.88230831165463","0.837423585728867","0.927193037580393"
"Yes","2011","16-34 y.","769","0.195243501702871","0.182883597167962","0.20760340623778"
"Yes","2011","35-65 y.","3153","0.259072955135276","0.251227821964338","0.266918088306214"
"Yes","2011","66 and older","24","","",""
"No","2012","16-34 y.","3001","0.795587501495311","0.782610963717225","0.808564039273396"
"No","2012","35-65 y.","8742","0.741888697723429","0.734016175150777","0.749761220296081"
"No","2012","66 and older","166","0.864676251678338","0.816037203729544","0.913315299627131"
"Yes","2012","16-34 y.","709","0.204412498504689","0.191435960726603","0.217389036282775"
"Yes","2012","35-65 y.","3127","0.258111302276571","0.250238779703919","0.265983824849223"
"Yes","2012","66 and older","24","","",""
"No","2013","16-34 y.","3863","0.78745783436227","0.775840715862745","0.799074952861794"
"No","2013","35-65 y.","9274","0.734708568312072","0.726954799918402","0.742462336705742"
"No","2013","66 and older","127","0.807556298275014","0.745293879815799","0.869818716734229"
"Yes","2013","16-34 y.","901","0.21254216563773","0.200925047138206","0.224159284137255"
"Yes","2013","35-65 y.","3180","0.265291431687928","0.257537663294258","0.273045200081598"
"Yes","2013","66 and older","27","","",""
"No","2014","16-34 y.","3276","0.770484630813606","0.757562161922836","0.783407099704376"
"No","2014","35-65 y.","8215","0.730936880870979","0.722703189891538","0.73917057185042"
"No","2014","66 and older","164","0.818871990466246","0.765092610186165","0.872651370746326"
"Yes","2014","16-34 y.","792","0.229515369186394","0.216592900295624","0.242437838077164"
"Yes","2014","35-65 y.","2929","0.269063119129021","0.26082942814958","0.277296810108462"
"Yes","2014","66 and older","33","0.181128009533754","0.127348629253674","0.234907389813835"
"No","2015","16-34 y.","3385","0.789793452233785","0.777390835408917","0.802196069058652"
"No","2015","35-65 y.","8086","0.732000521093471","0.723700447372873","0.74030059481407"
"No","2015","66 and older","168","0.833196591384531","0.782288046511398","0.884105136257665"
"Yes","2015","16-34 y.","761","0.210206547766215","0.197803930941348","0.222609164591083"
"Yes","2015","35-65 y.","2853","0.267999478906529","0.25969940518593","0.276299552627127"
"Yes","2015","66 and older","38","0.166803408615469","0.115894863742335","0.217711953488602"
"No","2016","16-34 y.","3067","0.776684476974047","0.763462074098672","0.789906879849421"
"No","2016","35-65 y.","7663","0.73440046967324","0.725904175544909","0.742896763801571"
"No","2016","66 and older","174","0.827612973980972","0.776887720831817","0.878338227130127"
"Yes","2016","16-34 y.","744","0.223315523025953","0.210093120150579","0.236537925901328"
"Yes","2016","35-65 y.","2717","0.26559953032676","0.257103236198429","0.274095824455091"
"Yes","2016","66 and older","39","0.172387026019028","0.121661772869873","0.223112279168183"
"No","2017","16-34 y.","3655","0.781323114944683","0.76928352604675","0.793362703842617"
"No","2017","35-65 y.","8632","0.73278287044166","0.724777013189176","0.740788727694144"
"No","2017","66 and older","209","0.8442557508457","0.799923012991122","0.888588488700278"
"Yes","2017","16-34 y.","873","0.218676885055317","0.206637296157383","0.230716473953251"
"Yes","2017","35-65 y.","3104","0.26721712955834","0.259211272305856","0.275222986810824"
"Yes","2017","66 and older","48","0.1557442491543","0.111411511299722","0.200076987008878"
"No","2018","16-34 y.","3648","0.774962724184919","0.762785659435116","0.787139788934722"
"No","2018","35-65 y.","8061","0.723815275156987","0.71546560076521","0.732164949548764"
"No","2018","66 and older","210","0.844470748468855","0.800334384198323","0.888607112739387"
"Yes","2018","16-34 y.","870","0.225037275815081","0.212860211065278","0.237214340564884"
"Yes","2018","35-65 y.","2954","0.276184724843013","0.267835050451236","0.28453439923479"
"Yes","2018","66 and older","49","0.155529251531145","0.111392887260613","0.199665615801677"
"No","2019","16-34 y.","3389","0.76513623261923","0.752358376390558","0.777914088847903"
"No","2019","35-65 y.","7899","0.72842405373651","0.720012745994268","0.736835361478752"
"No","2019","66 and older","254","0.796567860477458","0.751684018518547","0.841451702436368"
"Yes","2019","16-34 y.","839","0.23486376738077","0.222085911152097","0.247641623609443"
"Yes","2019","35-65 y.","2842","0.27157594626349","0.263164638521248","0.279987254005732"
"Yes","2019","66 and older","55","0.203432139522542","0.158548297563632","0.248315981481453"
