"pgoeffd","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","North Rhine-Westphalia","(0) in school","","","",""
"Yes","1984","North Rhine-Westphalia","(1a) inadequately completed","","","",""
"Yes","1984","North Rhine-Westphalia","(1b) general elementary school","50","0.193665744652393","0.152324981168862","0.235006508135924"
"Yes","1984","North Rhine-Westphalia","(1c) basic vocational qualification","112","0.178059865363784","0.149221020753052","0.206898709974515"
"Yes","1984","North Rhine-Westphalia","(2b) intermediate general qualification","","","",""
"Yes","1984","North Rhine-Westphalia","(2a) intermediate vocational","72","0.325143983237725","0.263524929200459","0.38676303727499"
"Yes","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","","","",""
"Yes","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Yes","1984","North Rhine-Westphalia","(3b) higher tertiary education","82","0.696767123439562","0.6165079308075","0.777026316071624"
"Yes","1984","Hesse","(0) in school","","","",""
"Yes","1984","Hesse","(1a) inadequately completed","","","",""
"Yes","1984","Hesse","(1b) general elementary school","","","",""
"Yes","1984","Hesse","(1c) basic vocational qualification","50","0.213239909708654","0.163163067481802","0.263316751935507"
"Yes","1984","Hesse","(2b) intermediate general qualification","","","",""
"Yes","1984","Hesse","(2a) intermediate vocational","35","0.325455789372034","0.23496993549795","0.415941643246119"
"Yes","1984","Hesse","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Hesse","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Hesse","(3a) lower tertiary education","","","",""
"Yes","1984","Hesse","(3b) higher tertiary education","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","39","0.208654791451295","0.15289383982229","0.264415743080301"
"Yes","1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"Yes","1984","Baden-Württemberg","(0) in school","","","",""
"Yes","1984","Baden-Württemberg","(1a) inadequately completed","","","",""
"Yes","1984","Baden-Württemberg","(1b) general elementary school","42","0.157401799250147","0.11874854962443","0.196055048875865"
"Yes","1984","Baden-Württemberg","(1c) basic vocational qualification","80","0.18111191447162","0.148478915529651","0.213744913413588"
"Yes","1984","Baden-Württemberg","(2b) intermediate general qualification","","","",""
"Yes","1984","Baden-Württemberg","(2a) intermediate vocational","31","0.240516500592344","0.167327797281673","0.313705203903014"
"Yes","1984","Baden-Württemberg","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Baden-Württemberg","(3a) lower tertiary education","","","",""
"Yes","1984","Baden-Württemberg","(3b) higher tertiary education","37","0.564273530437075","0.445542974720351","0.683004086153799"
"Yes","1984","Bavaria","(0) in school","","","",""
"Yes","1984","Bavaria","(1a) inadequately completed","","","",""
"Yes","1984","Bavaria","(1b) general elementary school","","","",""
"Yes","1984","Bavaria","(1c) basic vocational qualification","88","0.18184805509966","0.148790665179699","0.214905445019621"
"Yes","1984","Bavaria","(2b) intermediate general qualification","","","",""
"Yes","1984","Bavaria","(2a) intermediate vocational","49","0.253994437449614","0.19126875971028","0.316720115188949"
"Yes","1984","Bavaria","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Bavaria","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Bavaria","(3a) lower tertiary education","","","",""
"Yes","1984","Bavaria","(3b) higher tertiary education","38","0.520334890448124","0.408747976439426","0.631921804456822"
"Yes","1984","Berlin","(0) in school","","","",""
"Yes","1984","Berlin","(1a) inadequately completed","","","",""
"Yes","1984","Berlin","(1b) general elementary school","","","",""
"Yes","1984","Berlin","(1c) basic vocational qualification","","","",""
"Yes","1984","Berlin","(2b) intermediate general qualification","","","",""
"Yes","1984","Berlin","(2a) intermediate vocational","","","",""
"Yes","1984","Berlin","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Berlin","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Berlin","(3a) lower tertiary education","","","",""
"Yes","1984","Berlin","(3b) higher tertiary education","","","",""
"Yes","1984","Brandenburg","(0) in school","","","",""
"Yes","1984","Brandenburg","(1a) inadequately completed","","","",""
"Yes","1984","Brandenburg","(1b) general elementary school","","","",""
"Yes","1984","Brandenburg","(1c) basic vocational qualification","","","",""
"Yes","1984","Brandenburg","(2b) intermediate general qualification","","","",""
"Yes","1984","Brandenburg","(2a) intermediate vocational","","","",""
"Yes","1984","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Brandenburg","(3a) lower tertiary education","","","",""
"Yes","1984","Brandenburg","(3b) higher tertiary education","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Yes","1984","Saxony","(0) in school","","","",""
"Yes","1984","Saxony","(1a) inadequately completed","","","",""
"Yes","1984","Saxony","(1b) general elementary school","","","",""
"Yes","1984","Saxony","(1c) basic vocational qualification","","","",""
"Yes","1984","Saxony","(2b) intermediate general qualification","","","",""
"Yes","1984","Saxony","(2a) intermediate vocational","","","",""
"Yes","1984","Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Saxony","(3a) lower tertiary education","","","",""
"Yes","1984","Saxony","(3b) higher tertiary education","","","",""
"Yes","1984","Saxony-Anhalt","(0) in school","","","",""
"Yes","1984","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Yes","1984","Saxony-Anhalt","(1b) general elementary school","","","",""
"Yes","1984","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Yes","1984","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Yes","1984","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Yes","1984","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Yes","1984","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Yes","1984","Thuringia","(0) in school","","","",""
"Yes","1984","Thuringia","(1a) inadequately completed","","","",""
"Yes","1984","Thuringia","(1b) general elementary school","","","",""
"Yes","1984","Thuringia","(1c) basic vocational qualification","","","",""
"Yes","1984","Thuringia","(2b) intermediate general qualification","","","",""
"Yes","1984","Thuringia","(2a) intermediate vocational","","","",""
"Yes","1984","Thuringia","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Thuringia","(3a) lower tertiary education","","","",""
"Yes","1984","Thuringia","(3b) higher tertiary education","","","",""
"No","1984","Schleswig-Holstein","(0) in school","","","",""
"No","1984","Schleswig-Holstein","(1a) inadequately completed","","","",""
"No","1984","Schleswig-Holstein","(1b) general elementary school","","","",""
"No","1984","Schleswig-Holstein","(1c) basic vocational qualification","77","0.808704673439233","0.729612511867982","0.887796835010485"
"No","1984","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"No","1984","Schleswig-Holstein","(2a) intermediate vocational","38","0.617230724024055","0.494242149165621","0.740219298882489"
"No","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"No","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"No","1984","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"No","1984","Hamburg","(0) in school","","","",""
"No","1984","Hamburg","(1a) inadequately completed","","","",""
"No","1984","Hamburg","(1b) general elementary school","","","",""
"No","1984","Hamburg","(1c) basic vocational qualification","43","0.763016689963206","0.651643674903716","0.874389705022697"
"No","1984","Hamburg","(2b) intermediate general qualification","","","",""
"No","1984","Hamburg","(2a) intermediate vocational","","","",""
"No","1984","Hamburg","(2c_gen) general maturity certificate","","","",""
"No","1984","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Hamburg","(3a) lower tertiary education","","","",""
"No","1984","Hamburg","(3b) higher tertiary education","","","",""
"No","1984","Lower Saxony","(0) in school","","","",""
"No","1984","Lower Saxony","(1a) inadequately completed","30","0.98956402576962","0.953790998591959","1.02533705294728"
"No","1984","Lower Saxony","(1b) general elementary school","100","0.825770741935516","0.756745269842365","0.894796214028667"
"No","1984","Lower Saxony","(1c) basic vocational qualification","229","0.785747047064503","0.738194929509323","0.833299164619683"
"No","1984","Lower Saxony","(2b) intermediate general qualification","","","",""
"No","1984","Lower Saxony","(2a) intermediate vocational","78","0.720371922852587","0.635331584579573","0.805412261125601"
"No","1984","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"No","1984","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Lower Saxony","(3a) lower tertiary education","","","",""
"No","1984","Lower Saxony","(3b) higher tertiary education","","","",""
"No","1984","Bremen","(0) in school","","","",""
"No","1984","Bremen","(1a) inadequately completed","","","",""
"No","1984","Bremen","(1b) general elementary school","","","",""
"No","1984","Bremen","(1c) basic vocational qualification","","","",""
"No","1984","Bremen","(2b) intermediate general qualification","","","",""
"No","1984","Bremen","(2a) intermediate vocational","","","",""
"No","1984","Bremen","(2c_gen) general maturity certificate","","","",""
"No","1984","Bremen","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Bremen","(3a) lower tertiary education","","","",""
"No","1984","Bremen","(3b) higher tertiary education","","","",""
"No","1984","North Rhine-Westphalia","(0) in school","","","",""
"No","1984","North Rhine-Westphalia","(1a) inadequately completed","170","0.911888677629467","0.870820132560516","0.952957222698418"
"No","1984","North Rhine-Westphalia","(1b) general elementary school","301","0.806334255347607","0.764993491864076","0.847675018831138"
"No","1984","North Rhine-Westphalia","(1c) basic vocational qualification","564","0.821940134636217","0.793101290025485","0.850778979246948"
"No","1984","North Rhine-Westphalia","(2b) intermediate general qualification","45","0.787405808461938","0.67927691699272","0.895534699931155"
"No","1984","North Rhine-Westphalia","(2a) intermediate vocational","150","0.674856016762275","0.61323696272501","0.736475070799541"
"No","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","36","0.811709909438411","0.696195567360145","0.927224251516676"
"No","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","62","0.682888046249406","0.585103657194079","0.780672435304734"
"No","1984","North Rhine-Westphalia","(3a) lower tertiary education","44","0.749477688821381","0.638910913281962","0.860044464360799"
"No","1984","North Rhine-Westphalia","(3b) higher tertiary education","44","0.303232876560438","0.222973683928376","0.3834920691925"
"No","1984","Hesse","(0) in school","","","",""
"No","1984","Hesse","(1a) inadequately completed","75","0.911625717710051","0.850926976849011","0.972324458571091"
"No","1984","Hesse","(1b) general elementary school","128","0.772429842956545","0.705995972935638","0.838863712977452"
"No","1984","Hesse","(1c) basic vocational qualification","207","0.786760090291346","0.736683248064493","0.836836932518198"
"No","1984","Hesse","(2b) intermediate general qualification","","","",""
"No","1984","Hesse","(2a) intermediate vocational","68","0.674544210627966","0.584058356753881","0.76503006450205"
"No","1984","Hesse","(2c_gen) general maturity certificate","","","",""
"No","1984","Hesse","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Hesse","(3a) lower tertiary education","","","",""
"No","1984","Hesse","(3b) higher tertiary education","","","",""
"No","1984","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"No","1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","40","0.857530492567459","0.756522690135224","0.958538294999695"
"No","1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","85","0.891385033214937","0.828815373346663","0.953954693083212"
"No","1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","165","0.791345208548705","0.735584256919699","0.84710616017771"
"No","1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"No","1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","32","0.644220939538072","0.511521007867403","0.776920871208741"
"No","1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"No","1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"No","1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"No","1984","Baden-Württemberg","(0) in school","","","",""
"No","1984","Baden-Württemberg","(1a) inadequately completed","188","0.90768253093203","0.86786182035969","0.94750324150437"
"No","1984","Baden-Württemberg","(1b) general elementary school","299","0.842598200749853","0.803944951124135","0.88125145037557"
"No","1984","Baden-Württemberg","(1c) basic vocational qualification","455","0.81888808552838","0.786255086586412","0.851521084470349"
"No","1984","Baden-Württemberg","(2b) intermediate general qualification","30","0.812275086890997","0.684716598735293","0.939833575046702"
"No","1984","Baden-Württemberg","(2a) intermediate vocational","100","0.759483499407656","0.686294796096986","0.832672202718327"
"No","1984","Baden-Württemberg","(2c_gen) general maturity certificate","","","",""
"No","1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","43","0.681504862644941","0.558378052365042","0.804631672924841"
"No","1984","Baden-Württemberg","(3a) lower tertiary education","","","",""
"No","1984","Baden-Württemberg","(3b) higher tertiary education","30","0.435726469562925","0.316995913846201","0.554457025279649"
"No","1984","Bavaria","(0) in school","","","",""
"No","1984","Bavaria","(1a) inadequately completed","73","0.945686557549324","0.895065641357737","0.996307473740911"
"No","1984","Bavaria","(1b) general elementary school","226","0.936971544927313","0.906290432528072","0.967652657326555"
"No","1984","Bavaria","(1c) basic vocational qualification","435","0.81815194490034","0.785094554980379","0.851209334820301"
"No","1984","Bavaria","(2b) intermediate general qualification","31","0.602741485000853","0.468444843399671","0.737038126602035"
"No","1984","Bavaria","(2a) intermediate vocational","136","0.746005562550386","0.683279884811051","0.80873124028972"
"No","1984","Bavaria","(2c_gen) general maturity certificate","","","",""
"No","1984","Bavaria","(2c_voc) vocational maturity certificate","34","0.608369061460142","0.473073002712881","0.743665120207403"
"No","1984","Bavaria","(3a) lower tertiary education","","","",""
"No","1984","Bavaria","(3b) higher tertiary education","39","0.479665109551876","0.368078195543178","0.591252023560574"
"No","1984","Berlin","(0) in school","","","",""
"No","1984","Berlin","(1a) inadequately completed","","","",""
"No","1984","Berlin","(1b) general elementary school","41","0.685938865120152","0.562144460846943","0.809733269393361"
"No","1984","Berlin","(1c) basic vocational qualification","57","0.633758850706374","0.530112352730641","0.737405348682108"
"No","1984","Berlin","(2b) intermediate general qualification","","","",""
"No","1984","Berlin","(2a) intermediate vocational","","","",""
"No","1984","Berlin","(2c_gen) general maturity certificate","","","",""
"No","1984","Berlin","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Berlin","(3a) lower tertiary education","","","",""
"No","1984","Berlin","(3b) higher tertiary education","","","",""
"No","1984","Brandenburg","(0) in school","","","",""
"No","1984","Brandenburg","(1a) inadequately completed","","","",""
"No","1984","Brandenburg","(1b) general elementary school","","","",""
"No","1984","Brandenburg","(1c) basic vocational qualification","","","",""
"No","1984","Brandenburg","(2b) intermediate general qualification","","","",""
"No","1984","Brandenburg","(2a) intermediate vocational","","","",""
"No","1984","Brandenburg","(2c_gen) general maturity certificate","","","",""
"No","1984","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Brandenburg","(3a) lower tertiary education","","","",""
"No","1984","Brandenburg","(3b) higher tertiary education","","","",""
"No","1984","Mecklenburg-Western Pomerania","(0) in school","","","",""
"No","1984","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"No","1984","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"No","1984","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"No","1984","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"No","1984","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"No","1984","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"No","1984","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"No","1984","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"No","1984","Saxony","(0) in school","","","",""
"No","1984","Saxony","(1a) inadequately completed","","","",""
"No","1984","Saxony","(1b) general elementary school","","","",""
"No","1984","Saxony","(1c) basic vocational qualification","","","",""
"No","1984","Saxony","(2b) intermediate general qualification","","","",""
"No","1984","Saxony","(2a) intermediate vocational","","","",""
"No","1984","Saxony","(2c_gen) general maturity certificate","","","",""
"No","1984","Saxony","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Saxony","(3a) lower tertiary education","","","",""
"No","1984","Saxony","(3b) higher tertiary education","","","",""
"No","1984","Saxony-Anhalt","(0) in school","","","",""
"No","1984","Saxony-Anhalt","(1a) inadequately completed","","","",""
"No","1984","Saxony-Anhalt","(1b) general elementary school","","","",""
"No","1984","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"No","1984","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"No","1984","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"No","1984","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"No","1984","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"No","1984","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"No","1984","Thuringia","(0) in school","","","",""
"No","1984","Thuringia","(1a) inadequately completed","","","",""
"No","1984","Thuringia","(1b) general elementary school","","","",""
"No","1984","Thuringia","(1c) basic vocational qualification","","","",""
"No","1984","Thuringia","(2b) intermediate general qualification","","","",""
"No","1984","Thuringia","(2a) intermediate vocational","","","",""
"No","1984","Thuringia","(2c_gen) general maturity certificate","","","",""
"No","1984","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"No","1984","Thuringia","(3a) lower tertiary education","","","",""
"No","1984","Thuringia","(3b) higher tertiary education","","","",""
"Yes","1985","Schleswig-Holstein","(0) in school","","","",""
"Yes","1985","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Yes","1985","Schleswig-Holstein","(1b) general elementary school","","","",""
"Yes","1985","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Yes","1985","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Yes","1985","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Yes","1985","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Yes","1985","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Yes","1985","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Yes","1985","Hamburg","(0) in school","","","",""
"Yes","1985","Hamburg","(1a) inadequately completed","","","",""
"Yes","1985","Hamburg","(1b) general elementary school","","","",""
"Yes","1985","Hamburg","(1c) basic vocational qualification","","","",""
"Yes","1985","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","1985","Hamburg","(2a) intermediate vocational","","","",""
"Yes","1985","Hamburg","(2c_gen) general maturity certificate","","","",""
"Yes","1985","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","Hamburg","(3a) lower tertiary education","","","",""
"Yes","1985","Hamburg","(3b) higher tertiary education","","","",""
"Yes","1985","Lower Saxony","(0) in school","","","",""
"Yes","1985","Lower Saxony","(1a) inadequately completed","","","",""
"Yes","1985","Lower Saxony","(1b) general elementary school","","","",""
"Yes","1985","Lower Saxony","(1c) basic vocational qualification","51","0.23330045272944","0.178878453384992","0.287722452073888"
"Yes","1985","Lower Saxony","(2b) intermediate general qualification","","","",""
"Yes","1985","Lower Saxony","(2a) intermediate vocational","30","0.29306916478862","0.205589935661868","0.380548393915371"
"Yes","1985","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","1985","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","Lower Saxony","(3a) lower tertiary education","","","",""
"Yes","1985","Lower Saxony","(3b) higher tertiary education","32","0.703083279087492","0.57104803039821","0.835118527776774"
"Yes","1985","Bremen","(0) in school","","","",""
"Yes","1985","Bremen","(1a) inadequately completed","","","",""
"Yes","1985","Bremen","(1b) general elementary school","","","",""
"Yes","1985","Bremen","(1c) basic vocational qualification","","","",""
"Yes","1985","Bremen","(2b) intermediate general qualification","","","",""
"Yes","1985","Bremen","(2a) intermediate vocational","","","",""
"Yes","1985","Bremen","(2c_gen) general maturity certificate","","","",""
"Yes","1985","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","Bremen","(3a) lower tertiary education","","","",""
"Yes","1985","Bremen","(3b) higher tertiary education","","","",""
"Yes","1985","North Rhine-Westphalia","(0) in school","","","",""
"Yes","1985","North Rhine-Westphalia","(1a) inadequately completed","","","",""
"Yes","1985","North Rhine-Westphalia","(1b) general elementary school","41","0.19934669333848","0.152384057748341","0.246309328928619"
"Yes","1985","North Rhine-Westphalia","(1c) basic vocational qualification","101","0.185318264232009","0.153885531319967","0.216750997144051"
"Yes","1985","North Rhine-Westphalia","(2b) intermediate general qualification","","","",""
"Yes","1985","North Rhine-Westphalia","(2a) intermediate vocational","73","0.329362600361083","0.266246622478945","0.392478578243221"
"Yes","1985","North Rhine-Westphalia","(2c_gen) general maturity certificate","","","",""
"Yes","1985","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Yes","1985","North Rhine-Westphalia","(3b) higher tertiary education","83","0.678609199763205","0.59738735999566","0.75983103953075"
"Yes","1985","Hesse","(0) in school","","","",""
"Yes","1985","Hesse","(1a) inadequately completed","","","",""
"Yes","1985","Hesse","(1b) general elementary school","","","",""
"Yes","1985","Hesse","(1c) basic vocational qualification","46","0.23237683773629","0.176312035024211","0.288441640448369"
"Yes","1985","Hesse","(2b) intermediate general qualification","","","",""
"Yes","1985","Hesse","(2a) intermediate vocational","33","0.34427816518781","0.248227864932841","0.44032846544278"
"Yes","1985","Hesse","(2c_gen) general maturity certificate","","","",""
"Yes","1985","Hesse","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","Hesse","(3a) lower tertiary education","","","",""
"Yes","1985","Hesse","(3b) higher tertiary education","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(1b) general elementary school","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","39","0.240424151025648","0.178167834284576","0.302680467766721"
"Yes","1985","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"Yes","1985","Baden-Württemberg","(0) in school","","","",""
"Yes","1985","Baden-Württemberg","(1a) inadequately completed","","","",""
"Yes","1985","Baden-Württemberg","(1b) general elementary school","37","0.16018867538718","0.11775468134371","0.20262266943065"
"Yes","1985","Baden-Württemberg","(1c) basic vocational qualification","74","0.188108042160214","0.15318369036488","0.223032393955548"
"Yes","1985","Baden-Württemberg","(2b) intermediate general qualification","","","",""
