"pgoeffd","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","1992","66 and older","general elemantary","","","","","1"
"Yes","1992","66 and older","middle vocational","1","","","","1"
"Yes","1992","66 and older","vocational + Abi","","","","","1"
"Yes","1992","66 and older","higher vocational","1","","","","1"
"Yes","1992","66 and older","higher education","","","","","1"
"No","1993","16-34 y.","higher education","175","0.56960850463593","0.51658776760457","0.622629241667289","2"
"No","1993","16-34 y.","higher vocational","100","0.561872157671264","0.486846012577084","0.636898302765444","2"
"No","1993","16-34 y.","middle vocational","1414","0.784855233935508","0.765971324302091","0.803739143568925","2"
"No","1993","16-34 y.","in school","7","","","","2"
"No","1993","16-34 y.","inadequately","63","0.865807838239715","0.786522433442107","0.945093243037323","2"
"No","1993","16-34 y.","general elemantary","558","0.801867505160547","0.772040119163149","0.831694891157944","2"
"No","1993","16-34 y.","vocational + Abi","115","0.764115102273514","0.695249694556087","0.832980509990941","2"
"No","1993","66 and older","inadequately","","","","","2"
"No","1993","66 and older","general elemantary","5","","","","2"
"No","1993","66 and older","in school","","","","","2"
"No","1993","66 and older","higher vocational","3","","","","2"
"No","1993","66 and older","higher education","6","","","","2"
"No","1993","66 and older","middle vocational","8","","","","2"
"No","1993","66 and older","vocational + Abi","2","","","","2"
"No","1993","35-65 y.","in school","","","","","2"
"No","1993","35-65 y.","inadequately","200","0.816137897083028","0.766398786586912","0.865877007579144","2"
"No","1993","35-65 y.","general elemantary","515","0.791059355755672","0.75916074298697","0.822957968524374","2"
"No","1993","35-65 y.","middle vocational","1718","0.751646760198588","0.733916003999682","0.769377516397495","2"
"No","1993","35-65 y.","vocational + Abi","87","0.79131461355169","0.715026749745248","0.867602477358131","2"
"No","1993","35-65 y.","higher vocational","254","0.700979207540501","0.652808101764453","0.749150313316548","2"
"No","1993","35-65 y.","higher education","480","0.535806824467905","0.503060486855971","0.568553162079839","2"
"Yes","1993","35-65 y.","in school","","","","","1"
"Yes","1993","35-65 y.","inadequately","33","0.183862102916972","0.134122992420856","0.233601213413088","1"
"Yes","1993","35-65 y.","general elemantary","109","0.208940644244328","0.177042031475626","0.24083925701303","1"
"Yes","1993","35-65 y.","middle vocational","563","0.248353239801412","0.230622483602505","0.266083996000318","1"
"Yes","1993","35-65 y.","vocational + Abi","22","","","","1"
"Yes","1993","35-65 y.","higher vocational","93","0.299020792459499","0.250849686683452","0.347191898235547","1"
"Yes","1993","35-65 y.","higher education","411","0.464193175532095","0.431446837920161","0.496939513144029","1"
"Yes","1993","66 and older","in school","","","","","1"
"Yes","1993","66 and older","inadequately","","","","","1"
"Yes","1993","66 and older","general elemantary","1","","","","1"
"Yes","1993","66 and older","middle vocational","1","","","","1"
"Yes","1993","66 and older","vocational + Abi","","","","","1"
"Yes","1993","66 and older","higher vocational","","","","","1"
"Yes","1993","66 and older","higher education","1","","","","1"
"Yes","1993","16-34 y.","in school","4","","","","1"
"Yes","1993","16-34 y.","inadequately","8","","","","1"
"Yes","1993","16-34 y.","general elemantary","128","0.198132494839453","0.168305108842056","0.227959880836851","1"
"Yes","1993","16-34 y.","middle vocational","405","0.215144766064492","0.196260856431074","0.234028675697909","1"
"Yes","1993","16-34 y.","vocational + Abi","31","0.235884897726486","0.167019490009059","0.304750305443913","1"
"Yes","1993","16-34 y.","higher vocational","68","0.438127842328736","0.363101697234556","0.513153987422916","1"
"Yes","1993","16-34 y.","higher education","160","0.43039149536407","0.377370758332711","0.48341223239543","1"
"No","1994","16-34 y.","middle vocational","1328","0.789197457466909","0.769745467929958","0.80864944700386","2"
"No","1994","16-34 y.","in school","8","","","","2"
"No","1994","16-34 y.","general elemantary","445","0.786064403262672","0.751604089096487","0.820524717428857","2"
"No","1994","16-34 y.","vocational + Abi","120","0.731334046741224","0.661551557875631","0.801116535606816","2"
"No","1994","16-34 y.","higher vocational","105","0.546339706287613","0.473203091087039","0.619476321488186","2"
"No","1994","16-34 y.","higher education","186","0.569151963219041","0.516515728996166","0.621788197441917","2"
"No","1994","16-34 y.","inadequately","60","0.930218233769345","0.866799779998166","0.993636687540523","2"
"No","1994","66 and older","in school","","","","","2"
"No","1994","66 and older","inadequately","","","","","2"
"No","1994","66 and older","general elemantary","4","","","","2"
"No","1994","66 and older","higher vocational","2","","","","2"
"No","1994","66 and older","higher education","7","","","","2"
"No","1994","66 and older","middle vocational","7","","","","2"
"No","1994","66 and older","vocational + Abi","2","","","","2"
"No","1994","35-65 y.","in school","","","","","2"
"No","1994","35-65 y.","inadequately","169","0.82514397908973","0.772632382205648","0.877655575973813","2"
"No","1994","35-65 y.","general elemantary","457","0.81070197113663","0.777872938310347","0.843531003962913","2"
"No","1994","35-65 y.","middle vocational","1635","0.741682049472964","0.723345762913561","0.760018336032368","2"
"No","1994","35-65 y.","vocational + Abi","80","0.834237620648601","0.759459566519833","0.909015674777369","2"
"No","1994","35-65 y.","higher vocational","239","0.703592052065283","0.654616398252059","0.752567705878507","2"
"No","1994","35-65 y.","higher education","478","0.54149991103682","0.508745777334935","0.574254044738705","2"
"Yes","1994","35-65 y.","in school","","","","","1"
"Yes","1994","35-65 y.","inadequately","32","0.174856020910269","0.122344424026187","0.227367617794352","1"
"Yes","1994","35-65 y.","general elemantary","90","0.18929802886337","0.156468996037087","0.222127061689653","1"
"Yes","1994","35-65 y.","middle vocational","554","0.258317950527036","0.239981663967632","0.276654237086439","1"
"Yes","1994","35-65 y.","vocational + Abi","15","","","","1"
"Yes","1994","35-65 y.","higher vocational","95","0.296407947934717","0.247432294121493","0.345383601747941","1"
"Yes","1994","35-65 y.","higher education","411","0.45850008896318","0.425745955261295","0.491254222665065","1"
"Yes","1994","66 and older","in school","","","","","1"
"Yes","1994","66 and older","inadequately","","","","","1"
"Yes","1994","66 and older","general elemantary","","","","","1"
"Yes","1994","66 and older","middle vocational","","","","","1"
"Yes","1994","66 and older","vocational + Abi","","","","","1"
"Yes","1994","66 and older","higher vocational","","","","","1"
"Yes","1994","66 and older","higher education","1","","","","1"
"Yes","1994","16-34 y.","in school","3","","","","1"
"Yes","1994","16-34 y.","inadequately","2","","","","1"
"Yes","1994","16-34 y.","general elemantary","99","0.213935596737328","0.179475282571143","0.248395910903513","1"
"Yes","1994","16-34 y.","middle vocational","361","0.210802542533091","0.19135055299614","0.230254532070042","1"
"Yes","1994","16-34 y.","vocational + Abi","35","0.268665953258776","0.198883464393184","0.338448442124369","1"
"Yes","1994","16-34 y.","higher vocational","73","0.453660293712387","0.380523678511814","0.526796908912961","1"
"Yes","1994","16-34 y.","higher education","154","0.430848036780959","0.378211802558083","0.483484271003834","1"
"No","1995","16-34 y.","in school","9","","","","2"
"No","1995","16-34 y.","inadequately","50","0.879612126098046","0.795864776704554","0.963359475491537","2"
"No","1995","16-34 y.","general elemantary","511","0.856191239142907","0.827877309594145","0.88450516869167","2"
"No","1995","16-34 y.","middle vocational","1429","0.792495427744479","0.773746075407202","0.811244780081755","2"
"No","1995","16-34 y.","vocational + Abi","129","0.693834523734407","0.625547980576896","0.762121066891918","2"
"No","1995","16-34 y.","higher vocational","108","0.532705583613279","0.462132938240897","0.603278228985662","2"
"No","1995","16-34 y.","higher education","214","0.62911915233727","0.579152008732963","0.679086295941577","2"
"No","1995","66 and older","in school","","","","","2"
"No","1995","66 and older","inadequately","","","","","2"
"No","1995","66 and older","general elemantary","5","","","","2"
"No","1995","66 and older","higher vocational","4","","","","2"
"No","1995","66 and older","higher education","7","","","","2"
"No","1995","66 and older","middle vocational","11","","","","2"
"No","1995","66 and older","vocational + Abi","2","","","","2"
"No","1995","35-65 y.","in school","1","","","","2"
"No","1995","35-65 y.","inadequately","148","0.788544652332684","0.72872497620464","0.848364328460729","2"
"No","1995","35-65 y.","general elemantary","464","0.808728951153238","0.77600786477355","0.841450037532926","2"
"No","1995","35-65 y.","middle vocational","1719","0.737991441349718","0.720004987372568","0.755977895326867","2"
"No","1995","35-65 y.","vocational + Abi","113","0.837895478124641","0.775494962266447","0.900295993982835","2"
"No","1995","35-65 y.","higher vocational","248","0.690033777250062","0.64151300124106","0.738554553259063","2"
"No","1995","35-65 y.","higher education","554","0.560231025245654","0.529138741906173","0.591323308585134","2"
"Yes","1995","35-65 y.","in school","","","","","1"
"Yes","1995","35-65 y.","inadequately","31","0.211455347667316","0.151635671539271","0.27127502379536","1"
"Yes","1995","35-65 y.","general elemantary","91","0.191271048846762","0.158549962467074","0.22399213522645","1"
"Yes","1995","35-65 y.","middle vocational","577","0.262008558650282","0.244022104673133","0.279995012627432","1"
"Yes","1995","35-65 y.","vocational + Abi","21","","","","1"
"Yes","1995","35-65 y.","higher vocational","101","0.309966222749938","0.261445446740937","0.35848699875894","1"
"Yes","1995","35-65 y.","higher education","425","0.439768974754346","0.408676691414866","0.470861258093827","1"
"Yes","1995","66 and older","in school","","","","","1"
"Yes","1995","66 and older","inadequately","","","","","1"
"Yes","1995","66 and older","general elemantary","1","","","","1"
"Yes","1995","66 and older","middle vocational","1","","","","1"
"Yes","1995","66 and older","vocational + Abi","","","","","1"
"Yes","1995","66 and older","higher vocational","","","","","1"
"Yes","1995","66 and older","higher education","","","","","1"
"Yes","1995","16-34 y.","in school","3","","","","1"
"Yes","1995","16-34 y.","inadequately","8","","","","1"
"Yes","1995","16-34 y.","general elemantary","79","0.143808760857093","0.11549483130833","0.172122690405855","1"
"Yes","1995","16-34 y.","middle vocational","368","0.207504572255521","0.188755219918245","0.226253924592798","1"
"Yes","1995","16-34 y.","vocational + Abi","46","0.306165476265593","0.237878933108082","0.374452019423104","1"
"Yes","1995","16-34 y.","higher vocational","84","0.467294416386721","0.396721771014338","0.537867061759103","1"
"Yes","1995","16-34 y.","higher education","145","0.37088084766273","0.320913704058423","0.420847991267037","1"
"No","1996","16-34 y.","in school","8","","","","2"
"No","1996","16-34 y.","inadequately","39","0.80830890869883","0.695773599209317","0.920844218188342","2"
"No","1996","16-34 y.","general elemantary","463","0.880301069711173","0.852717337730784","0.907884801691561","2"
"No","1996","16-34 y.","middle vocational","1291","0.785449144046108","0.76545905425512","0.805439233837096","2"
"No","1996","16-34 y.","vocational + Abi","126","0.723688286044971","0.656665040291343","0.790711531798599","2"
"No","1996","16-34 y.","higher vocational","110","0.515358492990159","0.445570613907759","0.585146372072559","2"
"No","1996","16-34 y.","higher education","208","0.60707968875628","0.555617869786779","0.658541507725781","2"
"No","1996","66 and older","higher vocational","1","","","","2"
"No","1996","66 and older","higher education","10","","","","2"
"No","1996","66 and older","in school","","","","","2"
"No","1996","66 and older","inadequately","","","","","2"
"No","1996","66 and older","general elemantary","3","","","","2"
"No","1996","66 and older","middle vocational","10","","","","2"
"No","1996","66 and older","vocational + Abi","5","","","","2"
"No","1996","35-65 y.","in school","","","","","2"
"No","1996","35-65 y.","inadequately","134","0.775102066665533","0.711396365710005","0.838807767621061","2"
"No","1996","35-65 y.","general elemantary","435","0.818550199079046","0.785135423534202","0.85196497462389","2"
"No","1996","35-65 y.","middle vocational","1700","0.742492374638806","0.72448878173413","0.760495967543482","2"
"No","1996","35-65 y.","vocational + Abi","113","0.831395616640288","0.768003684690277","0.8947875485903","2"
"No","1996","35-65 y.","higher vocational","243","0.682112690713141","0.633118113585639","0.731107267840642","2"
"No","1996","35-65 y.","higher education","539","0.564498621012004","0.533002590191938","0.59599465183207","2"
"Yes","1996","35-65 y.","in school","","","","","1"
"Yes","1996","35-65 y.","inadequately","31","0.224897933334467","0.161192232378939","0.288603634289995","1"
"Yes","1996","35-65 y.","general elemantary","76","0.181449800920954","0.14803502537611","0.214864576465798","1"
"Yes","1996","35-65 y.","middle vocational","566","0.257507625361194","0.239504032456518","0.27551121826587","1"
"Yes","1996","35-65 y.","vocational + Abi","21","","","","1"
"Yes","1996","35-65 y.","higher vocational","104","0.317887309286859","0.268892732159358","0.366881886414361","1"
"Yes","1996","35-65 y.","higher education","413","0.435501378987996","0.404005348167931","0.466997409808062","1"
"Yes","1996","66 and older","in school","","","","","1"
"Yes","1996","66 and older","inadequately","","","","","1"
"Yes","1996","66 and older","general elemantary","","","","","1"
"Yes","1996","66 and older","middle vocational","2","","","","1"
"Yes","1996","66 and older","vocational + Abi","","","","","1"
"Yes","1996","66 and older","higher vocational","","","","","1"
"Yes","1996","66 and older","higher education","","","","","1"
"Yes","1996","16-34 y.","in school","2","","","","1"
"Yes","1996","16-34 y.","inadequately","8","","","","1"
"Yes","1996","16-34 y.","general elemantary","69","0.119698930288827","0.092115198308439","0.147282662269216","1"
"Yes","1996","16-34 y.","middle vocational","329","0.214550855953892","0.194560766162904","0.23454094574488","1"
"Yes","1996","16-34 y.","vocational + Abi","45","0.276311713955029","0.209288468201401","0.343334959708657","1"
"Yes","1996","16-34 y.","higher vocational","87","0.484641507009841","0.414853627927441","0.554429386092241","1"
"Yes","1996","16-34 y.","higher education","138","0.39292031124372","0.341458492274219","0.444382130213221","1"
"No","1997","16-34 y.","in school","10","","","","2"
"No","1997","16-34 y.","vocational + Abi","138","0.777986260184715","0.717440366576066","0.838532153793365","2"
"No","1997","16-34 y.","inadequately","32","0.832835250492745","0.715732340372625","0.949938160612865","2"
"No","1997","16-34 y.","general elemantary","479","0.846453942034424","0.816379363234807","0.876528520834042","2"
"No","1997","16-34 y.","middle vocational","1241","0.784442667731114","0.764082769781842","0.804802565680386","2"
"No","1997","16-34 y.","higher vocational","105","0.538565122354008","0.466535108084123","0.610595136623893","2"
"No","1997","16-34 y.","higher education","208","0.606931730902556","0.555834372644397","0.658029089160716","2"
"No","1997","66 and older","higher education","13","","","","2"
"No","1997","66 and older","higher vocational","1","","","","2"
"No","1997","66 and older","in school","","","","","2"
"No","1997","66 and older","inadequately","","","","","2"
"No","1997","66 and older","general elemantary","5","","","","2"
"No","1997","66 and older","middle vocational","9","","","","2"
"No","1997","66 and older","vocational + Abi","5","","","","2"
"No","1997","35-65 y.","in school","","","","","2"
"No","1997","35-65 y.","inadequately","125","0.829086046757479","0.76904501035688","0.889127083158078","2"
"No","1997","35-65 y.","general elemantary","396","0.81226675973335","0.776811957987823","0.847721561478877","2"
"No","1997","35-65 y.","middle vocational","1695","0.753136706725755","0.735252532331448","0.771020881120062","2"
"No","1997","35-65 y.","vocational + Abi","103","0.766645973194001","0.692793014669597","0.840498931718405","2"
"No","1997","35-65 y.","higher vocational","246","0.676639679629018","0.627912805229463","0.725366554028573","2"
"No","1997","35-65 y.","higher education","552","0.571308725727165","0.540324346199747","0.602293105254583","2"
"Yes","1997","35-65 y.","in school","","","","","1"
"Yes","1997","35-65 y.","inadequately","26","","","","1"
"Yes","1997","35-65 y.","general elemantary","70","0.18773324026665","0.152278438521123","0.223188042012177","1"
"Yes","1997","35-65 y.","middle vocational","538","0.246863293274245","0.228979118879938","0.264747467668552","1"
"Yes","1997","35-65 y.","vocational + Abi","23","","","","1"
"Yes","1997","35-65 y.","higher vocational","108","0.323360320370982","0.274633445971427","0.372087194770537","1"
"Yes","1997","35-65 y.","higher education","428","0.428691274272835","0.397706894745417","0.459675653800253","1"
"Yes","1997","66 and older","in school","","","","","1"
"Yes","1997","66 and older","inadequately","","","","","1"
"Yes","1997","66 and older","general elemantary","1","","","","1"
"Yes","1997","66 and older","middle vocational","1","","","","1"
"Yes","1997","66 and older","vocational + Abi","","","","","1"
"Yes","1997","66 and older","higher vocational","","","","","1"
"Yes","1997","66 and older","higher education","","","","","1"
"Yes","1997","16-34 y.","general elemantary","73","0.153546057965576","0.123471479165959","0.183620636765193","1"
"Yes","1997","16-34 y.","middle vocational","326","0.215557332268886","0.195197434319614","0.235917230218158","1"
"Yes","1997","16-34 y.","vocational + Abi","43","0.222013739815285","0.161467846206635","0.282559633423934","1"
"Yes","1997","16-34 y.","higher vocational","79","0.461434877645992","0.389404863376106","0.533464891915877","1"
"Yes","1997","16-34 y.","higher education","143","0.393068269097444","0.341970910839284","0.444165627355603","1"
"Yes","1997","16-34 y.","in school","2","","","","1"
"Yes","1997","16-34 y.","inadequately","7","","","","1"
"No","1998","16-34 y.","in school","12","","","","2"
"No","1998","16-34 y.","inadequately","30","0.836169000638593","0.713549613684856","0.95878838759233","2"
"No","1998","16-34 y.","general elemantary","488","0.847021508061745","0.81728730517624","0.87675571094725","2"
"No","1998","16-34 y.","middle vocational","1283","0.787966997362599","0.767888449270188","0.808045545455011","2"
"No","1998","16-34 y.","vocational + Abi","152","0.747642246339892","0.686986741570102","0.808297751109682","2"
"No","1998","16-34 y.","higher vocational","123","0.53651070062824","0.46874257501994","0.604278826236539","2"
"No","1998","16-34 y.","higher education","226","0.626405010903454","0.576708541968244","0.676101479838663","2"
"No","1998","66 and older","higher vocational","1","","","","2"
"No","1998","66 and older","higher education","10","","","","2"
"No","1998","66 and older","in school","","","","","2"
"No","1998","66 and older","inadequately","","","","","2"
"No","1998","66 and older","general elemantary","5","","","","2"
"No","1998","66 and older","middle vocational","12","","","","2"
"No","1998","66 and older","vocational + Abi","6","","","","2"
"No","1998","35-65 y.","in school","1","","","","2"
"No","1998","35-65 y.","inadequately","118","0.8237888215009","0.761123309274402","0.886454333727397","2"
"No","1998","35-65 y.","general elemantary","410","0.80912315278088","0.774502963952113","0.843743341609647","2"
"No","1998","35-65 y.","middle vocational","1914","0.758484300382078","0.741753703473385","0.775214897290771","2"
"No","1998","35-65 y.","vocational + Abi","122","0.756992598508226","0.690115855392018","0.823869341624435","2"
"No","1998","35-65 y.","higher vocational","269","0.701522413356948","0.655392904685948","0.747651922027949","2"
"No","1998","35-65 y.","higher education","609","0.557740024847348","0.528296301091468","0.587183748603228","2"
"Yes","1998","35-65 y.","in school","","","","","1"
"Yes","1998","35-65 y.","inadequately","24","","","","1"
"Yes","1998","35-65 y.","general elemantary","85","0.19087684721912","0.156256658390353","0.225497036047887","1"
"Yes","1998","35-65 y.","middle vocational","600","0.241515699617922","0.224785102709229","0.258246296526615","1"
"Yes","1998","35-65 y.","vocational + Abi","36","0.243007401491774","0.176130658375565","0.309884144607982","1"
"Yes","1998","35-65 y.","higher vocational","109","0.298477586643052","0.252348077972051","0.344607095314052","1"
"Yes","1998","35-65 y.","higher education","484","0.442259975152652","0.412816251396772","0.471703698908532","1"
"Yes","1998","66 and older","in school","","","","","1"
"Yes","1998","66 and older","inadequately","","","","","1"
"Yes","1998","66 and older","general elemantary","2","","","","1"
"Yes","1998","66 and older","middle vocational","3","","","","1"
"Yes","1998","66 and older","vocational + Abi","","","","","1"
"Yes","1998","66 and older","higher vocational","","","","","1"
"Yes","1998","66 and older","higher education","","","","","1"
"Yes","1998","16-34 y.","general elemantary","75","0.152978491938255","0.12324428905275","0.18271269482376","1"
"Yes","1998","16-34 y.","middle vocational","309","0.212033002637401","0.191954454544989","0.232111550729812","1"
"Yes","1998","16-34 y.","vocational + Abi","45","0.252357753660108","0.191702248890318","0.313013258429898","1"
"Yes","1998","16-34 y.","higher vocational","85","0.46348929937176","0.395721173763461","0.53125742498006","1"
"Yes","1998","16-34 y.","higher education","138","0.373594989096546","0.323898520161337","0.423291458031756","1"
"Yes","1998","16-34 y.","in school","1","","","","1"
"Yes","1998","16-34 y.","inadequately","5","","","","1"
"No","1999","16-34 y.","in school","19","","","","2"
"No","1999","16-34 y.","inadequately","30","0.800959473327748","0.670530862741641","0.931388083913856","2"
"No","1999","16-34 y.","general elemantary","451","0.890152648570662","0.862825700113023","0.917479597028301","2"
"No","1999","16-34 y.","middle vocational","1169","0.789752748893044","0.768684402836597","0.81082109494949","2"
"No","1999","16-34 y.","vocational + Abi","144","0.767506409422407","0.704559916649922","0.830452902194892","2"
"No","1999","16-34 y.","higher vocational","95","0.439461475942702","0.367354790132762","0.511568161752643","2"
"No","1999","16-34 y.","higher education","202","0.663963646551555","0.612845340771631","0.71508195233148","2"
"No","1999","66 and older","in school","","","","","2"
"No","1999","66 and older","inadequately","1","","","","2"
"No","1999","66 and older","general elemantary","6","","","","2"
"No","1999","66 and older","middle vocational","11","","","","2"
"No","1999","66 and older","vocational + Abi","3","","","","2"
"No","1999","66 and older","higher vocational","","","","","2"
"No","1999","66 and older","higher education","8","","","","2"
"No","1999","35-65 y.","in school","1","","","","2"
"No","1999","35-65 y.","inadequately","107","0.83531658924259","0.770555626221687","0.900077552263493","2"
"No","1999","35-65 y.","general elemantary","365","0.791840480273572","0.75416162931703","0.829519331230113","2"
"No","1999","35-65 y.","middle vocational","1867","0.769787193590728","0.753042630109595","0.786531757071862","2"
"No","1999","35-65 y.","vocational + Abi","122","0.769614490145379","0.703748312209147","0.835480668081611","2"
"No","1999","35-65 y.","higher vocational","266","0.695255063424939","0.648729193947986","0.741780932901892","2"
"No","1999","35-65 y.","higher education","620","0.562737195843354","0.533356294811364","0.592118096875344","2"
"Yes","1999","35-65 y.","in school","","","","","1"
"Yes","1999","35-65 y.","inadequately","19","","","","1"
"Yes","1999","35-65 y.","general elemantary","81","0.208159519726428","0.170480668769887","0.24583837068297","1"
"Yes","1999","35-65 y.","middle vocational","561","0.230212806409272","0.213468242928138","0.246957369890405","1"
"Yes","1999","35-65 y.","vocational + Abi","35","0.230385509854621","0.164519331918389","0.296251687790853","1"
"Yes","1999","35-65 y.","higher vocational","110","0.304744936575061","0.258219067098108","0.351270806052014","1"
"Yes","1999","35-65 y.","higher education","475","0.437262804156646","0.407881903124656","0.466643705188635","1"
"Yes","1999","66 and older","in school","","","","","1"
"Yes","1999","66 and older","inadequately","","","","","1"
"Yes","1999","66 and older","general elemantary","","","","","1"
"Yes","1999","66 and older","middle vocational","1","","","","1"
"Yes","1999","66 and older","vocational + Abi","","","","","1"
"Yes","1999","66 and older","higher vocational","","","","","1"
"Yes","1999","66 and older","higher education","1","","","","1"
"Yes","1999","16-34 y.","general elemantary","52","0.109847351429338","0.082520402971699","0.137174299886977","1"
"Yes","1999","16-34 y.","middle vocational","268","0.210247251106956","0.18917890505051","0.231315597163403","1"
"Yes","1999","16-34 y.","vocational + Abi","29","","","","1"
"Yes","1999","16-34 y.","higher vocational","87","0.560538524057297","0.488431838247357","0.632645209867238","1"
"Yes","1999","16-34 y.","higher education","126","0.336036353448445","0.28491804766852","0.387154659228369","1"
"Yes","1999","16-34 y.","in school","2","","","","1"
"Yes","1999","16-34 y.","inadequately","6","","","","1"
"No","2000","16-34 y.","in school","41","0.917569624637001","0.838094296808283","0.99704495246572","2"
"No","2000","16-34 y.","inadequately","42","0.865761340421777","0.770308699437288","0.961213981406267","2"
"No","2000","16-34 y.","general elemantary","680","0.881352323397607","0.858452185257449","0.904252461537766","2"
"No","2000","16-34 y.","middle vocational","2037","0.810033203663517","0.794594440303225","0.82547196702381","2"
"No","2000","16-34 y.","vocational + Abi","317","0.833512984420805","0.796009220604963","0.871016748236647","2"
"No","2000","16-34 y.","higher vocational","213","0.644740765936079","0.593719057827296","0.695762474044862","2"
"No","2000","16-34 y.","higher education","407","0.681746570522243","0.64534494350725","0.718148197537236","2"
"No","2000","66 and older","in school","","","","","2"
"No","2000","66 and older","inadequately","1","","","","2"
"No","2000","66 and older","general elemantary","8","","","","2"
"No","2000","66 and older","middle vocational","39","0.889769224796234","0.795055358153508","0.98448309143896","2"
"No","2000","66 and older","vocational + Abi","5","","","","2"
"No","2000","66 and older","higher vocational","7","","","","2"
"No","2000","66 and older","higher education","24","","","","2"
"No","2000","35-65 y.","in school","1","","","","2"
"No","2000","35-65 y.","inadequately","77","0.863540499078706","0.793773529185426","0.933307468971986","2"
"No","2000","35-65 y.","general elemantary","561","0.840171765958649","0.812320299926261","0.868023231991037","2"
"No","2000","35-65 y.","middle vocational","3785","0.792656563517705","0.781204527000138","0.804108600035272","2"
"No","2000","35-65 y.","vocational + Abi","302","0.752861729440929","0.709605961996612","0.796117496885246","2"
"No","2000","35-65 y.","higher vocational","645","0.698987121143267","0.669363005012378","0.728611237274155","2"
"No","2000","35-65 y.","higher education","1277","0.619787200306644","0.599224770845959","0.640349629767329","2"
"Yes","2000","35-65 y.","in school","","","","","1"
"Yes","2000","35-65 y.","inadequately","16","","","","1"
"Yes","2000","35-65 y.","general elemantary","104","0.159828234041351","0.131976768008963","0.187679700073739","1"
"Yes","2000","35-65 y.","middle vocational","1029","0.207343436482295","0.195891399964728","0.218795472999862","1"
"Yes","2000","35-65 y.","vocational + Abi","80","0.247138270559071","0.203882503114754","0.290394038003388","1"
"Yes","2000","35-65 y.","higher vocational","276","0.301012878856733","0.271388762725845","0.330636994987622","1"
"Yes","2000","35-65 y.","higher education","864","0.380212799693356","0.359650370232671","0.400775229154041","1"
"Yes","2000","66 and older","in school","","","","","1"
"Yes","2000","66 and older","inadequately","","","","","1"
"Yes","2000","66 and older","general elemantary","1","","","","1"
"Yes","2000","66 and older","middle vocational","3","","","","1"
"Yes","2000","66 and older","vocational + Abi","","","","","1"
"Yes","2000","66 and older","higher vocational","1","","","","1"
"Yes","2000","66 and older","higher education","2","","","","1"
"Yes","2000","16-34 y.","general elemantary","86","0.118647676602392","0.0957475384622344","0.141547814742551","1"
"Yes","2000","16-34 y.","middle vocational","443","0.189966796336483","0.17452803297619","0.205405559696775","1"
"Yes","2000","16-34 y.","in school","5","","","","1"
"Yes","2000","16-34 y.","inadequately","7","","","","1"
"Yes","2000","16-34 y.","vocational + Abi","62","0.166487015579195","0.128983251763353","0.203990779395037","1"
"Yes","2000","16-34 y.","higher vocational","125","0.355259234063921","0.304237525955138","0.406280942172704","1"
"Yes","2000","16-34 y.","higher education","222","0.318253429477757","0.281851802462764","0.35465505649275","1"
"No","2001","16-34 y.","in school","51","0.98139099199222","0.945008469937631","1.01777351404681","2"
"No","2001","16-34 y.","inadequately","28","","","","2"
"No","2001","16-34 y.","general elemantary","547","0.852004176493082","0.824098118635216","0.879910234350948","2"
"No","2001","16-34 y.","middle vocational","1615","0.815544371418019","0.798438929665358","0.832649813170679","2"
"No","2001","16-34 y.","vocational + Abi","239","0.822880018240277","0.779166443947528","0.866593592533026","2"
"No","2001","16-34 y.","higher vocational","155","0.648667537429076","0.588521000070949","0.708814074787203","2"
"No","2001","16-34 y.","higher education","329","0.687777252973032","0.647280493481044","0.728274012465021","2"
"No","2001","66 and older","in school","","","","","2"
"No","2001","66 and older","inadequately","","","","","2"
"No","2001","66 and older","general elemantary","5","","","","2"
"No","2001","66 and older","middle vocational","33","0.85654019157407","0.74508628665269","0.96799409649545","2"
"No","2001","66 and older","vocational + Abi","4","","","","2"
"No","2001","66 and older","higher vocational","3","","","","2"
"No","2001","66 and older","higher education","19","","","","2"
"No","2001","35-65 y.","in school","","","","","2"
"No","2001","35-65 y.","inadequately","54","0.887186253873119","0.810861654083698","0.963510853662539","2"
"No","2001","35-65 y.","general elemantary","446","0.816099504991738","0.783394312110228","0.848804697873248","2"
"No","2001","35-65 y.","middle vocational","3359","0.792783645779936","0.780623879119243","0.804943412440629","2"
"No","2001","35-65 y.","vocational + Abi","294","0.78022735258397","0.73797680776494","0.822477897403","2"
"No","2001","35-65 y.","higher vocational","580","0.700691030606183","0.669479254627407","0.731902806584959","2"
"No","2001","35-65 y.","higher education","1187","0.624804609427783","0.603402469763162","0.646206749092404","2"
"Yes","2001","35-65 y.","in school","","","","","1"
"Yes","2001","35-65 y.","inadequately","12","","","","1"
"Yes","2001","35-65 y.","general elemantary","93","0.183900495008262","0.151195302126752","0.216605687889772","1"
"Yes","2001","35-65 y.","middle vocational","909","0.207216354220064","0.195056587559371","0.219376120880757","1"
"Yes","2001","35-65 y.","vocational + Abi","75","0.21977264741603","0.177522102597","0.26202319223506","1"
"Yes","2001","35-65 y.","higher vocational","247","0.299308969393817","0.268097193415041","0.330520745372593","1"
"Yes","2001","35-65 y.","higher education","779","0.375195390572217","0.353793250907596","0.396597530236838","1"
"Yes","2001","66 and older","in school","","","","","1"
"Yes","2001","66 and older","inadequately","","","","","1"
