"pgoeffd","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1990","35-65 y.","Employed","2401","0.720843948674566","0.705168756147223","0.736519141201908","2"
"No","1990","66 and older","Not Employed","2","","","","2"
"No","1990","66 and older","Employed","22","","","","2"
"Yes","1990","16-34 y.","Not Employed","14","","","","1"
"Yes","1990","16-34 y.","Employed","458","0.215347750970712","0.198833138210418","0.231862363731007","1"
"Yes","1990","35-65 y.","Not Employed","4","","","","1"
"Yes","1990","35-65 y.","Employed","745","0.279156051325434","0.263480858798092","0.294831243852777","1"
"Yes","1990","66 and older","Not Employed","","","","","1"
"Yes","1990","66 and older","Employed","4","","","","1"
"No","1991","16-34 y.","Not Employed","76","0.811902460977727","0.731165885961707","0.892639035993746","2"
"No","1991","16-34 y.","Employed","1909","0.766798756808751","0.74992990244298","0.783667611174523","2"
"No","1991","35-65 y.","Not Employed","30","0.845058878451684","0.731494371524438","0.95862338537893","2"
"No","1991","35-65 y.","Employed","2490","0.725810926409026","0.710485611137056","0.741136241680997","2"
"No","1991","66 and older","Not Employed","3","","","","2"
"No","1991","66 and older","Employed","27","","","","2"
"Yes","1991","16-34 y.","Not Employed","14","","","","1"
"Yes","1991","35-65 y.","Not Employed","9","","","","1"
"Yes","1991","35-65 y.","Employed","765","0.274189073590973","0.258863758319003","0.289514388862944","1"
"Yes","1991","66 and older","Not Employed","","","","","1"
"Yes","1991","16-34 y.","Employed","505","0.233201243191249","0.216332388825477","0.25007009755702","1"
"Yes","1991","66 and older","Employed","1","","","","1"
"No","1992","16-34 y.","Not Employed","65","0.684218788842101","0.587101310830431","0.78133626685377","2"
"No","1992","16-34 y.","Employed","2430","0.73663258259058","0.721517427854144","0.751747737327015","2"
"No","1992","35-65 y.","Not Employed","23","","","","2"
"No","1992","35-65 y.","Employed","3328","0.705555322084497","0.692406629205448","0.718704014963547","2"
"No","1992","66 and older","Not Employed","1","","","","2"
"No","1992","66 and older","Employed","22","","","","2"
"Yes","1992","16-34 y.","Not Employed","23","","","","1"
"Yes","1992","35-65 y.","Not Employed","10","","","","1"
"Yes","1992","35-65 y.","Employed","1288","0.294444677915502","0.281295985036453","0.307593370794552","1"
"Yes","1992","66 and older","Not Employed","","","","","1"
"Yes","1992","16-34 y.","Employed","832","0.26336741740942","0.248252262672985","0.278482572145856","1"
"Yes","1992","66 and older","Employed","2","","","","1"
"No","1993","16-34 y.","Not Employed","92","0.723813088994499","0.646052240087925","0.801573937901073","2"
"No","1993","16-34 y.","Employed","2418","0.749666158335661","0.734670688857115","0.764661627814206","2"
"No","1993","35-65 y.","Not Employed","35","0.655370719980391","0.519502224708897","0.791239215251885","2"
"No","1993","35-65 y.","Employed","3241","0.713466438077606","0.700207319996986","0.726725556158226","2"
"No","1993","66 and older","Not Employed","1","","","","2"
"No","1993","66 and older","Employed","23","","","","2"
"Yes","1993","16-34 y.","Not Employed","35","0.276186911005501","0.198426062098927","0.353947759912075","1"
"Yes","1993","16-34 y.","Employed","788","0.250333841664339","0.235338372185794","0.265329311142885","1"
"Yes","1993","35-65 y.","Not Employed","12","","","","1"
"Yes","1993","35-65 y.","Employed","1226","0.286533561922394","0.273274443841774","0.299792680003014","1"
"Yes","1993","66 and older","Not Employed","","","","","1"
"Yes","1993","66 and older","Employed","3","","","","1"
"No","1994","16-34 y.","Not Employed","67","0.763527704130674","0.673195800612205","0.853859607649142","2"
"No","1994","16-34 y.","Employed","2264","0.742560619787062","0.72689678189183","0.758224457682293","2"
"No","1994","35-65 y.","Not Employed","38","0.844043375446856","0.739196987921717","0.948889762971996","2"
"No","1994","35-65 y.","Employed","3048","0.708529152988989","0.69486183231847","0.722196473659508","2"
"No","1994","66 and older","Not Employed","1","","","","2"
"No","1994","66 and older","Employed","21","","","","2"
"Yes","1994","16-34 y.","Not Employed","18","","","","1"
"Yes","1994","16-34 y.","Employed","729","0.257439380212938","0.241775542317707","0.27310321810817","1"
"Yes","1994","35-65 y.","Not Employed","8","","","","1"
"Yes","1994","35-65 y.","Employed","1199","0.291470847011011","0.277803526340492","0.30513816768153","1"
"Yes","1994","66 and older","Not Employed","","","","","1"
"Yes","1994","66 and older","Employed","1","","","","1"
"No","1995","16-34 y.","Not Employed","103","0.774326324100157","0.701044622019535","0.847608026180779","2"
"No","1995","16-34 y.","Employed","2438","0.759400320052715","0.744513327541514","0.774287312563916","2"
"No","1995","35-65 y.","Not Employed","47","0.865757948667333","0.778022191590786","0.95349370574388","2"
"No","1995","35-65 y.","Employed","3229","0.703790696655893","0.690414761328941","0.717166631982845","2"
"No","1995","66 and older","Not Employed","4","","","","2"
"No","1995","66 and older","Employed","25","","","","2"
"Yes","1995","16-34 y.","Not Employed","22","","","","1"
"Yes","1995","16-34 y.","Employed","729","0.240599679947285","0.225712687436084","0.255486672458486","1"
"Yes","1995","35-65 y.","Not Employed","11","","","","1"
"Yes","1995","35-65 y.","Employed","1247","0.296209303344107","0.282833368017155","0.309585238671059","1"
"Yes","1995","66 and older","Not Employed","","","","","1"
"Yes","1995","66 and older","Employed","2","","","","1"
"No","1996","16-34 y.","Not Employed","73","0.84457918199385","0.768881682054372","0.920276681933327","2"
"No","1996","16-34 y.","Employed","2254","0.751187135102269","0.735535826001213","0.766838444203325","2"
"No","1996","35-65 y.","Not Employed","26","","","","2"
"No","1996","35-65 y.","Employed","3168","0.710438132139726","0.697004469580696","0.723871794698757","2"
"No","1996","66 and older","Not Employed","1","","","","2"
"No","1996","66 and older","Employed","29","","","","2"
"Yes","1996","16-34 y.","Not Employed","15","","","","1"
"Yes","1996","16-34 y.","Employed","677","0.248812864897731","0.233161555796674","0.264464173998787","1"
"Yes","1996","35-65 y.","Not Employed","10","","","","1"
"Yes","1996","35-65 y.","Employed","1211","0.289561867860274","0.276128205301243","0.302995530419304","1"
"Yes","1996","66 and older","Not Employed","","","","","1"
"Yes","1996","66 and older","Employed","2","","","","1"
"No","1997","16-34 y.","Not Employed","66","0.856379183268392","0.780004868173071","0.932753498363713","2"
"No","1997","16-34 y.","Employed","2249","0.755371942551568","0.739780359107814","0.770963525995322","2"
"No","1997","35-65 y.","Not Employed","30","0.856452189680451","0.744969833022578","0.967934546338324","2"
"No","1997","35-65 y.","Employed","3114","0.712412268215346","0.698897434188269","0.725927102242422","2"
"No","1997","66 and older","Not Employed","","","","","2"
"No","1997","66 and older","Employed","34","0.950273772047241","0.879264678259482","1.021282865835","2"
"Yes","1997","16-34 y.","Not Employed","15","","","","1"
"Yes","1997","16-34 y.","Employed","671","0.244628057448432","0.229036474004678","0.260219640892186","1"
"Yes","1997","35-65 y.","Not Employed","8","","","","1"
"Yes","1997","35-65 y.","Employed","1195","0.287587731784654","0.274072897757578","0.301102565811731","1"
"Yes","1997","66 and older","Not Employed","","","","","1"
"Yes","1997","66 and older","Employed","2","","","","1"
"No","1998","16-34 y.","Not Employed","56","0.552251835097248","0.44396115712326","0.660542513071236","2"
"No","1998","16-34 y.","Employed","2397","0.767818824300885","0.752851531582498","0.782786117019272","2"
"No","1998","35-65 y.","Not Employed","38","0.708505735250977","0.583781831571796","0.833229638930158","2"
"No","1998","35-65 y.","Employed","3517","0.716089167496225","0.703444997078515","0.728733337913935","2"
"No","1998","66 and older","Not Employed","1","","","","2"
"No","1998","66 and older","Employed","35","0.869087102804605","0.764557099290244","0.973617106318966","2"
"Yes","1998","16-34 y.","Not Employed","25","","","","1"
"Yes","1998","35-65 y.","Not Employed","13","","","","1"
"Yes","1998","16-34 y.","Employed","660","0.232181175699115","0.217213882980727","0.247148468417502","1"
"Yes","1998","35-65 y.","Employed","1368","0.283910832503775","0.271266662086065","0.296555002921485","1"
"Yes","1998","66 and older","Not Employed","","","","","1"
"Yes","1998","66 and older","Employed","5","","","","1"
"No","1999","16-34 y.","Not Employed","48","0.703301627806234","0.589596345871251","0.817006909741218","2"
"No","1999","16-34 y.","Employed","2146","0.770692931292266","0.754879992742332","0.786505869842201","2"
"No","1999","66 and older","Not Employed","1","","","","2"
"No","1999","35-65 y.","Not Employed","33","0.744607640856856","0.609467057433884","0.879748224279828","2"
"No","1999","35-65 y.","Employed","3351","0.72098385437488","0.708073034725695","0.733894674024065","2"
"No","1999","66 and older","Employed","28","","","","2"
"Yes","1999","16-34 y.","Not Employed","14","","","","1"
"Yes","1999","35-65 y.","Not Employed","7","","","","1"
"Yes","1999","16-34 y.","Employed","569","0.229307068707734","0.213494130157799","0.245120007257668","1"
"Yes","1999","35-65 y.","Employed","1285","0.27901614562512","0.266105325975935","0.291926965274305","1"
"Yes","1999","66 and older","Not Employed","","","","","1"
"Yes","1999","66 and older","Employed","2","","","","1"
"No","2000","16-34 y.","Not Employed","115","0.80719054822169","0.743416847777242","0.870964248666138","2"
"No","2000","16-34 y.","Employed","3625","0.793537718165163","0.78176889389028","0.805306542440047","2"
"No","2000","66 and older","Not Employed","2","","","","2"
"No","2000","35-65 y.","Not Employed","92","0.824209362879444","0.754640354544825","0.893778371214064","2"
"No","2000","35-65 y.","Employed","6564","0.745423667843696","0.736378940683411","0.754468395003981","2"
"No","2000","66 and older","Employed","82","0.906808251575741","0.846413451312569","0.967203051838913","2"
"Yes","2000","16-34 y.","Not Employed","32","0.19280945177831","0.129035751333861","0.256583152222758","1"
"Yes","2000","35-65 y.","Not Employed","23","","","","1"
"Yes","2000","16-34 y.","Employed","919","0.206462281834837","0.194693457559953","0.21823110610972","1"
"Yes","2000","35-65 y.","Employed","2347","0.254576332156304","0.245531604996019","0.263621059316589","1"
"Yes","2000","66 and older","Not Employed","","","","","1"
"Yes","2000","66 and older","Employed","7","","","","1"
"No","2001","16-34 y.","Not Employed","84","0.83866193778675","0.768636304803447","0.908687570770054","2"
"No","2001","66 and older","Not Employed","5","","","","2"
"No","2001","16-34 y.","Employed","2901","0.793728981895785","0.780584223005599","0.806873740785971","2"
"No","2001","35-65 y.","Not Employed","65","0.830595385351013","0.747350383962477","0.913840386739548","2"
"No","2001","35-65 y.","Employed","5859","0.745200157281351","0.73562820938779","0.754772105174913","2"
"No","2001","66 and older","Employed","59","0.839700400895387","0.754361446967981","0.925039354822792","2"
"Yes","2001","16-34 y.","Not Employed","22","","","","1"
"Yes","2001","35-65 y.","Not Employed","13","","","","1"
"Yes","2001","35-65 y.","Employed","2102","0.254799842718649","0.245227894825087","0.26437179061221","1"
"Yes","2001","66 and older","Not Employed","","","","","1"
"Yes","2001","16-34 y.","Employed","739","0.206271018104215","0.193126259214029","0.219415776994401","1"
"Yes","2001","66 and older","Employed","12","","","","1"
"No","2002","16-34 y.","Not Employed","101","0.837782277409909","0.772896130888882","0.902668423930936","2"
"No","2002","66 and older","Not Employed","3","","","","2"
"No","2002","16-34 y.","Employed","3024","0.80127537104509","0.788579603990473","0.813971138099707","2"
"No","2002","35-65 y.","Not Employed","66","0.884832954864939","0.815314463588319","0.95435144614156","2"
"No","2002","35-65 y.","Employed","6654","0.745426988932644","0.736546224494336","0.754307753370952","2"
"No","2002","66 and older","Employed","98","0.831143060760929","0.762969426798909","0.89931669472295","2"
"Yes","2002","16-34 y.","Not Employed","23","","","","1"
"Yes","2002","35-65 y.","Not Employed","15","","","","1"
"Yes","2002","35-65 y.","Employed","2589","0.254573011067356","0.245692246629048","0.263453775505664","1"
"Yes","2002","66 and older","Not Employed","","","","","1"
"Yes","2002","16-34 y.","Employed","771","0.19872462895491","0.186028861900293","0.211420396009527","1"
"Yes","2002","66 and older","Employed","18","","","","1"
"No","2003","16-34 y.","Not Employed","72","0.832725569936101","0.752912470272092","0.912538669600109","2"
"No","2003","16-34 y.","Employed","2505","0.779834876610156","0.765444605987995","0.794225147232318","2"
"No","2003","35-65 y.","Not Employed","46","0.771899640137553","0.665726204627894","0.878073075647211","2"
"No","2003","66 and older","Not Employed","3","","","","2"
"No","2003","35-65 y.","Employed","6007","0.736820026676419","0.727401840182459","0.746238213170378","2"
"No","2003","66 and older","Employed","84","0.894549285077736","0.833428471766054","0.955670098389419","2"
"Yes","2003","16-34 y.","Not Employed","12","","","","1"
"Yes","2003","35-65 y.","Not Employed","14","","","","1"
"Yes","2003","35-65 y.","Employed","2391","0.263179973323581","0.253761786829622","0.272598159817541","1"
"Yes","2003","16-34 y.","Employed","680","0.220165123389844","0.205774852767682","0.234555394012005","1"
"Yes","2003","66 and older","Not Employed","","","","","1"
"Yes","2003","66 and older","Employed","13","","","","1"
"No","2004","16-34 y.","Not Employed","88","0.803043650221009","0.729059077286464","0.877028223155553","2"
"No","2004","16-34 y.","Employed","2611","0.783354643575099","0.769311945128356","0.797397342021842","2"
"No","2004","35-65 y.","Not Employed","53","0.754352904397206","0.649704041690306","0.859001767104107","2"
"No","2004","66 and older","Not Employed","2","","","","2"
"No","2004","35-65 y.","Employed","6161","0.744464813993467","0.73521320097875","0.753716427008183","2"
"No","2004","66 and older","Employed","140","0.967336043409868","0.938698199789933","0.995973887029803","2"
"Yes","2004","16-34 y.","Not Employed","23","","","","1"
"Yes","2004","35-65 y.","Not Employed","12","","","","1"
"Yes","2004","35-65 y.","Employed","2377","0.255535186006533","0.246283572991817","0.26478679902125","1"
"Yes","2004","16-34 y.","Employed","695","0.216645356424901","0.202602657978158","0.230688054871645","1"
"Yes","2004","66 and older","Not Employed","","","","","1"
"Yes","2004","66 and older","Employed","8","","","","1"
"No","2005","16-34 y.","Not Employed","73","0.890131949024483","0.824037989496473","0.956225908552493","2"
"No","2005","16-34 y.","Employed","2177","0.784855948065282","0.769464091132894","0.80024780499767","2"
"No","2005","35-65 y.","Not Employed","47","0.848819892950734","0.755823573209901","0.941816212691568","2"
"No","2005","66 and older","Not Employed","3","","","","2"
"No","2005","35-65 y.","Employed","5642","0.740805576998367","0.731129986291114","0.75048116770562","2"
"No","2005","66 and older","Employed","102","0.949634469038982","0.908196243916915","0.991072694161048","2"
"Yes","2005","16-34 y.","Not Employed","13","","","","1"
"Yes","2005","16-34 y.","Employed","561","0.215144051934718","0.19975219500233","0.230535908867105","1"
"Yes","2005","35-65 y.","Not Employed","10","","","","1"
"Yes","2005","35-65 y.","Employed","2237","0.259194423001633","0.24951883229438","0.268870013708886","1"
"Yes","2005","66 and older","Not Employed","","","","","1"
"Yes","2005","66 and older","Employed","5","","","","1"
"No","2006","16-34 y.","Not Employed","79","0.76760680064026","0.685641673010671","0.84957192826985","2"
"No","2006","16-34 y.","Employed","2067","0.786670028330877","0.770923542129809","0.802416514531944","2"
"No","2006","35-65 y.","Not Employed","75","0.781757609698601","0.700800740510681","0.862714478886521","2"
"No","2006","35-65 y.","Employed","5874","0.740852973551348","0.731385944954103","0.750320002148593","2"
"No","2006","66 and older","Not Employed","2","","","","2"
"No","2006","66 and older","Employed","127","0.923087005597361","0.87830538404515","0.967868627149571","2"
"Yes","2006","16-34 y.","Not Employed","23","","","","1"
"Yes","2006","16-34 y.","Employed","533","0.213329971669123","0.197583485468056","0.229076457870191","1"
"Yes","2006","35-65 y.","Not Employed","25","","","","1"
"Yes","2006","35-65 y.","Employed","2355","0.259147026448652","0.249679997851407","0.268614055045897","1"
"Yes","2006","66 and older","Not Employed","","","","","1"
"Yes","2006","66 and older","Employed","9","","","","1"
"No","2007","16-34 y.","Not Employed","92","0.844113749502452","0.777525122818865","0.91070237618604","2"
"No","2007","16-34 y.","Employed","2318","0.807644084608588","0.79326395802172","0.822024211195456","2"
"No","2007","35-65 y.","Not Employed","69","0.784893205258956","0.700002686891515","0.869783723626398","2"
"No","2007","35-65 y.","Employed","5976","0.74648900129094","0.737095641673013","0.755882360908867","2"
"No","2007","66 and older","Not Employed","7","","","","2"
"No","2007","66 and older","Employed","158","0.902363953390144","0.858133539675162","0.946594367105126","2"
"Yes","2007","16-34 y.","Not Employed","22","","","","1"
"Yes","2007","16-34 y.","Employed","568","0.192355915391412","0.177975788804544","0.20673604197828","1"
"Yes","2007","35-65 y.","Not Employed","21","","","","1"
"Yes","2007","35-65 y.","Employed","2263","0.25351099870906","0.244117639091133","0.262904358326987","1"
"Yes","2007","66 and older","Not Employed","","","","","1"
"Yes","2007","66 and older","Employed","15","","","","1"
"No","2008","16-34 y.","Not Employed","71","0.869204497643307","0.799544376745362","0.938864618541252","2"
"No","2008","16-34 y.","Employed","2021","0.823877941970021","0.808960905913503","0.838794978026539","2"
"No","2008","35-65 y.","Not Employed","67","0.855360369731496","0.777302085037903","0.933418654425089","2"
"No","2008","35-65 y.","Employed","5510","0.74377418895325","0.733969888469525","0.753578489436975","2"
"No","2008","66 and older","Not Employed","4","","","","2"
"No","2008","66 and older","Employed","145","0.940769765987126","0.903487600422915","0.978051931551336","2"
"Yes","2008","16-34 y.","Not Employed","19","","","","1"
"Yes","2008","16-34 y.","Employed","484","0.176122058029979","0.161205021973461","0.191039094086497","1"
"Yes","2008","35-65 y.","Not Employed","11","","","","1"
"Yes","2008","35-65 y.","Employed","2106","0.25622581104675","0.246421510563025","0.266030111530475","1"
"Yes","2008","66 and older","Not Employed","1","","","","1"
"Yes","2008","66 and older","Employed","9","","","","1"
"No","2009","16-34 y.","Not Employed","60","0.746541410271877","0.649382376565897","0.843700443977856","2"
"No","2009","16-34 y.","Employed","1999","0.821232692477498","0.806234183459862","0.836231201495133","2"
"No","2009","35-65 y.","Not Employed","49","0.829461208963709","0.733492044141584","0.925430373785833","2"
"No","2009","35-65 y.","Employed","5358","0.749547458542781","0.739647565814362","0.759447351271199","2"
"No","2009","66 and older","Not Employed","3","","","","2"
"No","2009","66 and older","Employed","203","0.920953813918323","0.885381563598891","0.956526064237756","2"
"Yes","2009","16-34 y.","Not Employed","17","","","","1"
"Yes","2009","16-34 y.","Employed","508","0.178767307522503","0.163768798504867","0.193765816540138","1"
"Yes","2009","35-65 y.","Not Employed","10","","","","1"
"Yes","2009","35-65 y.","Employed","2000","0.250452541457219","0.240552648728801","0.260352434185638","1"
"Yes","2009","66 and older","Not Employed","1","","","","1"
"Yes","2009","66 and older","Employed","18","","","","1"
"No","2010","16-34 y.","Not Employed","153","0.795506635909283","0.737698521880369","0.853314749938198","2"
"No","2010","16-34 y.","Employed","2708","0.810879416638741","0.797606618351754","0.824152214925728","2"
"No","2010","35-65 y.","Not Employed","99","0.797382666548364","0.729071144228847","0.865694188867881","2"
"No","2010","35-65 y.","Employed","7166","0.744427267204573","0.735722786703081","0.753131747706065","2"
"No","2010","66 and older","Not Employed","1","","","","2"
"No","2010","66 and older","Employed","168","0.898978315296246","0.855669776581101","0.942286854011391","2"
"Yes","2010","16-34 y.","Not Employed","34","0.204493364090717","0.146685250061802","0.262301478119631","1"
"Yes","2010","16-34 y.","Employed","636","0.189120583361259","0.175847785074272","0.202393381648246","1"
"Yes","2010","35-65 y.","Not Employed","34","0.202617333451636","0.134305811132119","0.270928855771153","1"
"Yes","2010","35-65 y.","Employed","2480","0.255572732795427","0.246868252293935","0.264277213296919","1"
"Yes","2010","66 and older","Not Employed","","","","","1"
"Yes","2010","66 and older","Employed","18","","","","1"
"No","2011","16-34 y.","Not Employed","162","0.82090415661498","0.76652651250949","0.87528180072047","2"
"No","2011","66 and older","Not Employed","4","","","","2"
"No","2011","16-34 y.","Employed","3020","0.804112943518488","0.791427210556648","0.816798676480328","2"
"No","2011","35-65 y.","Not Employed","142","0.708574840331441","0.641439971851425","0.775709708811456","2"
"No","2011","35-65 y.","Employed","8686","0.741263030402836","0.733362968227242","0.74916309257843","2"
"No","2011","66 and older","Employed","170","0.88036692497687","0.834699689908174","0.926034160045565","2"
"Yes","2011","16-34 y.","Not Employed","29","","","","1"
"Yes","2011","16-34 y.","Employed","740","0.195887056481512","0.183201323519672","0.208572789443352","1"
"Yes","2011","35-65 y.","Not Employed","34","0.291425159668559","0.224290291188544","0.358560028148575","1"
"Yes","2011","35-65 y.","Employed","3119","0.258736969597164","0.25083690742157","0.266637031772758","1"
"Yes","2011","66 and older","Not Employed","","","","","1"
"Yes","2011","66 and older","Employed","24","","","","1"
"No","2012","16-34 y.","Not Employed","144","0.812282783992764","0.754095147628893","0.870470420356635","2"
"No","2012","66 and older","Not Employed","","","","","2"
"No","2012","16-34 y.","Employed","2857","0.795003977781455","0.781699803391681","0.808308152171229","2"
"No","2012","35-65 y.","Not Employed","206","0.813773468814442","0.765709419030261","0.861837518598623","2"
"No","2012","35-65 y.","Employed","8536","0.740745965628026","0.732777063271061","0.74871486798499","2"
"No","2012","66 and older","Employed","166","0.869520046873464","0.82149930286339","0.917540790883538","2"
"Yes","2012","16-34 y.","Not Employed","29","","","","1"
"Yes","2012","16-34 y.","Employed","680","0.204996022218545","0.191691847828771","0.218300196608319","1"
"Yes","2012","35-65 y.","Not Employed","46","0.186226531185558","0.138162481401377","0.234290580969739","1"
"Yes","2012","35-65 y.","Employed","3081","0.259254034371975","0.25128513201501","0.267222936728939","1"
"Yes","2012","66 and older","Not Employed","1","","","","1"
"Yes","2012","66 and older","Employed","23","","","","1"
"No","2013","16-34 y.","Not Employed","1193","0.849310935024832","0.830544593798464","0.868077276251201","2"
"No","2013","16-34 y.","Employed","2670","0.773556732017331","0.759421991455983","0.78769147257868","2"
"No","2013","35-65 y.","Not Employed","1661","0.842502635724461","0.82634304103994","0.858662230408981","2"
"No","2013","35-65 y.","Employed","7613","0.725323442957439","0.716786768133033","0.733860117781846","2"
"No","2013","66 and older","Not Employed","11","","","","2"
"No","2013","66 and older","Employed","116","0.805261248841505","0.739898076047877","0.870624421635132","2"
"Yes","2013","16-34 y.","Not Employed","203","0.150689064975168","0.131922723748799","0.169455406201536","1"
"Yes","2013","16-34 y.","Employed","698","0.226443267982669","0.21230852742132","0.240578008544017","1"
"Yes","2013","35-65 y.","Not Employed","291","0.157497364275539","0.141337769591019","0.17365695896006","1"
"Yes","2013","35-65 y.","Employed","2889","0.274676557042561","0.266139882218154","0.283213231866967","1"
"Yes","2013","66 and older","Not Employed","2","","","","1"
"Yes","2013","66 and older","Employed","25","","","","1"
"No","2014","16-34 y.","Not Employed","242","0.788907347440201","0.742339448685097","0.835475246195305","2"
"No","2014","16-34 y.","Employed","3034","0.769500116375885","0.756061814630375","0.782938418121394","2"
"No","2014","35-65 y.","Not Employed","220","0.770405329568131","0.72105540082326","0.819755258313003","2"
"No","2014","35-65 y.","Employed","7995","0.730064844152317","0.721717589390974","0.73841209891366","2"
"No","2014","66 and older","Not Employed","6","","","","2"
