"pgoeffd","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Not Working","1-pers.-HH","1","","",""
"Yes","1986","Not Working","(Married) couple without C. ","3","","",""
"Yes","1986","Not Working","Single parent ","","","",""
"Yes","1986","Not Working","Couple + C. LE 16 ","1","","",""
"Yes","1986","Not Working","Couple + C. GT 16 ","4","","",""
"Yes","1986","Not Working","Couple + C. LE and GT 16","6","","",""
"No","1986","Full Time","1-pers.-HH","287","0.630059149317364","0.583996525538845","0.676121773095884"
"No","1986","Full Time","(Married) couple without C. ","729","0.718876257602818","0.690830618077472","0.746921897128164"
"No","1986","Full Time","Single parent ","159","0.775179820743771","0.717031875855659","0.833327765631884"
"No","1986","Full Time","Couple + C. LE 16 ","966","0.759318941823757","0.735111284943086","0.783526598704428"
"No","1986","Full Time","Couple + C. GT 16 ","737","0.783990192029865","0.757355022008634","0.810625362051095"
"No","1986","Full Time","Couple + C. LE and GT 16","477","0.768516899537917","0.734483256338218","0.802550542737617"
"No","1986","Part Time","1-pers.-HH","51","0.728624651750411","0.624456202646691","0.832793100854132"
"No","1986","Part Time","(Married) couple without C. ","158","0.737822508528809","0.678618131938597","0.79702688511902"
"No","1986","Part Time","Single parent ","46","0.694103896359941","0.583769759110067","0.804438033609815"
"No","1986","Part Time","Couple + C. LE 16 ","224","0.71274874892275","0.662051245402289","0.763446252443211"
"No","1986","Part Time","Couple + C. GT 16 ","213","0.753733883937328","0.703088829387687","0.804378938486969"
"No","1986","Part Time","Couple + C. LE and GT 16","131","0.764941357027158","0.699845031902157","0.83003768215216"
"No","1986","Not Working","1-pers.-HH","3","","",""
"No","1986","Not Working","(Married) couple without C. ","3","","",""
"No","1986","Not Working","Single parent ","6","","",""
"No","1986","Not Working","Couple + C. LE 16 ","7","","",""
"No","1986","Not Working","Couple + C. GT 16 ","12","","",""
"No","1986","Not Working","Couple + C. LE and GT 16","13","","",""
"Yes","1987","Full Time","1-pers.-HH","122","0.339771449710397","0.294582478154554","0.384960421266239"
"Yes","1987","Full Time","(Married) couple without C. ","253","0.281301530323605","0.253377517468516","0.309225543178694"
"Yes","1987","Full Time","Single parent ","36","0.219396341998024","0.161011592832762","0.277781091163286"
"Yes","1987","Full Time","Couple + C. LE 16 ","208","0.218176592174284","0.194264686231888","0.242088498116681"
"Yes","1987","Full Time","Couple + C. GT 16 ","207","0.237942681561504","0.211089884929939","0.264795478193069"
"Yes","1987","Full Time","Couple + C. LE and GT 16","106","0.245523874455853","0.209256253037056","0.281791495874649"
"Yes","1987","Part Time","1-pers.-HH","22","","",""
"Yes","1987","Part Time","(Married) couple without C. ","52","0.247605225994446","0.187935663869908","0.307274788118984"
"Yes","1987","Part Time","Single parent ","20","","",""
"Yes","1987","Part Time","Couple + C. LE 16 ","92","0.310021382373491","0.259738513200018","0.360304251546963"
"Yes","1987","Part Time","Couple + C. GT 16 ","70","0.256841976529077","0.207486149856561","0.306197803201593"
"Yes","1987","Part Time","Couple + C. LE and GT 16","34","0.198458041270154","0.140672388015459","0.256243694524849"
"Yes","1987","Not Working","1-pers.-HH","4","","",""
"Yes","1987","Not Working","(Married) couple without C. ","6","","",""
"Yes","1987","Not Working","Single parent ","1","","",""
"Yes","1987","Not Working","Couple + C. LE 16 ","3","","",""
"Yes","1987","Not Working","Couple + C. GT 16 ","8","","",""
"Yes","1987","Not Working","Couple + C. LE and GT 16","1","","",""
"No","1987","Full Time","1-pers.-HH","300","0.660228550289603","0.61503957873376","0.705417521845446"
"No","1987","Full Time","(Married) couple without C. ","743","0.718698469676395","0.690774456821306","0.746622482531484"
"No","1987","Full Time","Single parent ","157","0.780603658001976","0.722218908836714","0.838988407167238"
"No","1987","Full Time","Couple + C. LE 16 ","938","0.781823407825716","0.757911501883319","0.805735313768112"
"No","1987","Full Time","Couple + C. GT 16 ","759","0.762057318438496","0.735204521806931","0.788910115070061"
"No","1987","Full Time","Couple + C. LE and GT 16","435","0.754476125544147","0.718208504125351","0.790743746962944"
"No","1987","Part Time","1-pers.-HH","57","0.68198963888168","0.579295875704543","0.784683402058817"
"No","1987","Part Time","(Married) couple without C. ","149","0.752394774005554","0.692725211881016","0.812064336130091"
"No","1987","Part Time","Single parent ","58","0.754967318912988","0.659517112521726","0.850417525304251"
"No","1987","Part Time","Couple + C. LE 16 ","233","0.689978617626509","0.639695748453036","0.740261486799982"
"No","1987","Part Time","Couple + C. GT 16 ","231","0.743158023470923","0.693802196798408","0.792513850143439"
"No","1987","Part Time","Couple + C. LE and GT 16","149","0.801541958729846","0.743756305475151","0.859327611984541"
"No","1987","Not Working","1-pers.-HH","4","","",""
"No","1987","Not Working","(Married) couple without C. ","4","","",""
"No","1987","Not Working","Single parent ","7","","",""
"No","1987","Not Working","Couple + C. LE 16 ","19","","",""
"No","1987","Not Working","Couple + C. GT 16 ","9","","",""
"No","1987","Not Working","Couple + C. LE and GT 16","15","","",""
"Yes","1988","Full Time","1-pers.-HH","115","0.341616110084365","0.294847085478933","0.388385134689797"
"Yes","1988","Full Time","(Married) couple without C. ","233","0.270678194697122","0.242645124202519","0.298711265191726"
"Yes","1988","Full Time","Single parent ","31","0.180414973102196","0.126718189234265","0.234111756970128"
"Yes","1988","Full Time","Couple + C. LE 16 ","207","0.231285797033056","0.206265489098126","0.256306104967987"
"Yes","1988","Full Time","Couple + C. GT 16 ","224","0.2550175253683","0.227948260380681","0.282086790355918"
"Yes","1988","Full Time","Couple + C. LE and GT 16","72","0.197966184502167","0.161513157743201","0.234419211261132"
"Yes","1988","Part Time","1-pers.-HH","17","","",""
"Yes","1988","Part Time","(Married) couple without C. ","56","0.25763137280308","0.200614545107003","0.314648200499158"
"Yes","1988","Part Time","Single parent ","25","","",""
"Yes","1988","Part Time","Couple + C. LE 16 ","87","0.275998206961917","0.228552835331397","0.323443578592436"
"Yes","1988","Part Time","Couple + C. GT 16 ","70","0.240857834060067","0.193636879744553","0.288078788375582"
"Yes","1988","Part Time","Couple + C. LE and GT 16","35","0.240851347933189","0.177316584075747","0.304386111790631"
"Yes","1988","Not Working","1-pers.-HH","2","","",""
"Yes","1988","Not Working","(Married) couple without C. ","3","","",""
"Yes","1988","Not Working","Single parent ","4","","",""
"Yes","1988","Not Working","Couple + C. LE 16 ","5","","",""
"Yes","1988","Not Working","Couple + C. GT 16 ","5","","",""
"Yes","1988","Not Working","Couple + C. LE and GT 16","2","","",""
"No","1988","Full Time","1-pers.-HH","280","0.658383889915635","0.611614865310203","0.705152914521067"
"No","1988","Full Time","(Married) couple without C. ","732","0.729321805302877","0.701288734808274","0.757354875797481"
"No","1988","Full Time","Single parent ","166","0.819585026897804","0.765888243029872","0.873281810765735"
"No","1988","Full Time","Couple + C. LE 16 ","884","0.768714202966944","0.743693895032013","0.793734510901874"
"No","1988","Full Time","Couple + C. GT 16 ","772","0.744982474631701","0.717913209644082","0.772051739619319"
"No","1988","Full Time","Couple + C. LE and GT 16","387","0.802033815497833","0.765580788738868","0.838486842256799"
"No","1988","Part Time","1-pers.-HH","55","0.746510825051713","0.646030829627776","0.846990820475651"
"No","1988","Part Time","(Married) couple without C. ","170","0.74236862719692","0.685351799500842","0.799385454892997"
"No","1988","Part Time","Single parent ","69","0.721858467880394","0.63127621596816","0.812440719792627"
"No","1988","Part Time","Couple + C. LE 16 ","254","0.724001793038083","0.676556421407564","0.771447164668603"
"No","1988","Part Time","Couple + C. GT 16 ","245","0.759142165939933","0.711921211624418","0.806363120255447"
"No","1988","Part Time","Couple + C. LE and GT 16","139","0.759148652066811","0.695613888209369","0.822683415924253"
"No","1988","Not Working","1-pers.-HH","5","","",""
"No","1988","Not Working","(Married) couple without C. ","15","","",""
"No","1988","Not Working","Single parent ","4","","",""
"No","1988","Not Working","Couple + C. LE 16 ","22","","",""
"No","1988","Not Working","Couple + C. GT 16 ","15","","",""
"No","1988","Not Working","Couple + C. LE and GT 16","10","","",""
"Yes","1989","Full Time","1-pers.-HH","121","0.310679252994854","0.266734189876584","0.354624316113124"
"Yes","1989","Full Time","(Married) couple without C. ","228","0.242902689970093","0.216546682116304","0.269258697823883"
"Yes","1989","Full Time","Single parent ","40","0.222857505865117","0.164296141370008","0.281418870360227"
"Yes","1989","Full Time","Couple + C. LE 16 ","195","0.224334629919165","0.199328608460848","0.249340651377481"
"Yes","1989","Full Time","Couple + C. GT 16 ","222","0.260611452947709","0.233499146535351","0.287723759360068"
"Yes","1989","Full Time","Couple + C. LE and GT 16","67","0.183420314941247","0.148168571673529","0.218672058208964"
"Yes","1989","Part Time","1-pers.-HH","27","","",""
"Yes","1989","Part Time","(Married) couple without C. ","67","0.288883927729734","0.230052064234361","0.347715791225107"
"Yes","1989","Part Time","Single parent ","16","","",""
"Yes","1989","Part Time","Couple + C. LE 16 ","100","0.281200651498975","0.235452543795299","0.32694875920265"
"Yes","1989","Part Time","Couple + C. GT 16 ","68","0.218269852553285","0.172063231481633","0.264476473624937"
"Yes","1989","Part Time","Couple + C. LE and GT 16","29","","",""
"Yes","1989","Not Working","1-pers.-HH","5","","",""
"Yes","1989","Not Working","(Married) couple without C. ","2","","",""
"Yes","1989","Not Working","Single parent ","3","","",""
"Yes","1989","Not Working","Couple + C. LE 16 ","7","","",""
"Yes","1989","Not Working","Couple + C. GT 16 ","4","","",""
"Yes","1989","Not Working","Couple + C. LE and GT 16","2","","",""
"No","1989","Full Time","1-pers.-HH","305","0.689320747005146","0.645375683886876","0.733265810123416"
"No","1989","Full Time","(Married) couple without C. ","789","0.757097310029907","0.730741302176118","0.783453317883696"
"No","1989","Full Time","Single parent ","154","0.777142494134883","0.718581129639773","0.835703858629992"
"No","1989","Full Time","Couple + C. LE 16 ","874","0.775665370080835","0.750659348622519","0.800671391539151"
"No","1989","Full Time","Couple + C. GT 16 ","785","0.73938854705229","0.712276240639932","0.766500853464648"
"No","1989","Full Time","Couple + C. LE and GT 16","396","0.816579685058753","0.781327941791036","0.851831428326471"
"No","1989","Part Time","1-pers.-HH","59","0.670320142481391","0.570965947878536","0.769674337084246"
"No","1989","Part Time","(Married) couple without C. ","161","0.711116072270266","0.652284208774893","0.769947935765639"
"No","1989","Part Time","Single parent ","65","0.77533135612015","0.684440438587197","0.866222273653103"
"No","1989","Part Time","Couple + C. LE 16 ","271","0.718799348501025","0.67305124079735","0.764547456204701"
"No","1989","Part Time","Couple + C. GT 16 ","239","0.781730147446715","0.735523526375063","0.827936768518367"
"No","1989","Part Time","Couple + C. LE and GT 16","126","0.795785765173634","0.732322365836347","0.85924916451092"
"No","1989","Not Working","1-pers.-HH","11","","",""
"No","1989","Not Working","(Married) couple without C. ","9","","",""
"No","1989","Not Working","Single parent ","9","","",""
"No","1989","Not Working","Couple + C. LE 16 ","25","","",""
"No","1989","Not Working","Couple + C. GT 16 ","27","","",""
"No","1989","Not Working","Couple + C. LE and GT 16","8","","",""
"Yes","1990","Full Time","1-pers.-HH","106","0.28202490916985","0.238468247626543","0.325581570713157"
"Yes","1990","Full Time","(Married) couple without C. ","233","0.261282343883845","0.23430772792449","0.288256959843201"
"Yes","1990","Full Time","Single parent ","45","0.260655481152981","0.199966908685806","0.321344053620155"
"Yes","1990","Full Time","Couple + C. LE 16 ","192","0.224556903640882","0.199220066253223","0.249893741028541"
"Yes","1990","Full Time","Couple + C. GT 16 ","213","0.257721835299511","0.229938232142534","0.285505438456488"
"Yes","1990","Full Time","Couple + C. LE and GT 16","63","0.218542850466442","0.177580902796305","0.259504798136578"
"Yes","1990","Part Time","1-pers.-HH","26","","",""
"Yes","1990","Part Time","(Married) couple without C. ","68","0.284175000913858","0.22601311679315","0.342336885034566"
"Yes","1990","Part Time","Single parent ","21","","",""
"Yes","1990","Part Time","Couple + C. LE 16 ","94","0.271014279732805","0.225601322918161","0.316427236547449"
"Yes","1990","Part Time","Couple + C. GT 16 ","66","0.23220690498087","0.184266728884499","0.280147081077241"
"Yes","1990","Part Time","Couple + C. LE and GT 16","34","0.238499273572017","0.170071304866368","0.306927242277665"
"Yes","1990","Not Working","1-pers.-HH","2","","",""
"Yes","1990","Not Working","(Married) couple without C. ","1","","",""
"Yes","1990","Not Working","Single parent ","","","",""
"Yes","1990","Not Working","Couple + C. LE 16 ","5","","",""
"Yes","1990","Not Working","Couple + C. GT 16 ","4","","",""
"Yes","1990","Not Working","Couple + C. LE and GT 16","5","","",""
"No","1990","Full Time","1-pers.-HH","304","0.71797509083015","0.674418429286843","0.761531752373457"
"No","1990","Full Time","(Married) couple without C. ","786","0.738717656116155","0.711743040156799","0.76569227207551"
"No","1990","Full Time","Single parent ","156","0.739344518847019","0.678655946379845","0.800033091314194"
"No","1990","Full Time","Couple + C. LE 16 ","850","0.775443096359118","0.750106258971459","0.800779933746777"
"No","1990","Full Time","Couple + C. GT 16 ","739","0.742278164700489","0.714494561543512","0.770061767857466"
"No","1990","Full Time","Couple + C. LE and GT 16","328","0.781457149533558","0.740495201863422","0.822419097203695"
"No","1990","Part Time","1-pers.-HH","57","0.733711493251564","0.638618631569537","0.82880435493359"
"No","1990","Part Time","(Married) couple without C. ","163","0.715824999086142","0.657663114965434","0.773986883206849"
"No","1990","Part Time","Single parent ","49","0.690757237757712","0.582486383091733","0.799028092423692"
"No","1990","Part Time","Couple + C. LE 16 ","274","0.728985720267195","0.683572763452551","0.774398677081839"
"No","1990","Part Time","Couple + C. GT 16 ","232","0.76779309501913","0.719852918922759","0.815733271115501"
"No","1990","Part Time","Couple + C. LE and GT 16","115","0.761500726427983","0.693072757722335","0.829928695133632"
"No","1990","Not Working","1-pers.-HH","1","","",""
"No","1990","Not Working","(Married) couple without C. ","10","","",""
"No","1990","Not Working","Single parent ","2","","",""
"No","1990","Not Working","Couple + C. LE 16 ","27","","",""
"No","1990","Not Working","Couple + C. GT 16 ","12","","",""
"No","1990","Not Working","Couple + C. LE and GT 16","10","","",""
"Yes","1991","Full Time","1-pers.-HH","119","0.276689643772353","0.235031010110487","0.318348277434219"
"Yes","1991","Full Time","(Married) couple without C. ","259","0.275441578756582","0.248212103294444","0.302671054218719"
"Yes","1991","Full Time","Single parent ","53","0.280322685030208","0.219135433271149","0.341509936789267"
"Yes","1991","Full Time","Couple + C. LE 16 ","203","0.232421690948198","0.206958649769306","0.25788473212709"
"Yes","1991","Full Time","Couple + C. GT 16 ","195","0.242491777231616","0.214614692780212","0.270368861683019"
"Yes","1991","Full Time","Couple + C. LE and GT 16","76","0.221203739953715","0.181556295032537","0.260851184874893"
"Yes","1991","Part Time","1-pers.-HH","25","","",""
"Yes","1991","Part Time","(Married) couple without C. ","77","0.367324257195258","0.303766677525835","0.430881836864681"
"Yes","1991","Part Time","Single parent ","18","","",""
"Yes","1991","Part Time","Couple + C. LE 16 ","108","0.294970677922331","0.250612051748337","0.339329304096326"
"Yes","1991","Part Time","Couple + C. GT 16 ","57","0.185118415937088","0.142227543689134","0.228009288185042"
"Yes","1991","Part Time","Couple + C. LE and GT 16","29","","",""
"Yes","1991","Not Working","1-pers.-HH","1","","",""
"Yes","1991","Not Working","(Married) couple without C. ","3","","",""
"Yes","1991","Not Working","Single parent ","1","","",""
"Yes","1991","Not Working","Couple + C. LE 16 ","8","","",""
"Yes","1991","Not Working","Couple + C. GT 16 ","7","","",""
"Yes","1991","Not Working","Couple + C. LE and GT 16","1","","",""
"No","1991","Full Time","1-pers.-HH","324","0.723310356227647","0.681651722565781","0.764968989889513"
"No","1991","Full Time","(Married) couple without C. ","775","0.724558421243418","0.697328945781281","0.751787896705555"
"No","1991","Full Time","Single parent ","154","0.719677314969792","0.658490063210732","0.780864566728851"
"No","1991","Full Time","Couple + C. LE 16 ","854","0.767578309051802","0.74211526787291","0.793041350230694"
"No","1991","Full Time","Couple + C. GT 16 ","713","0.757508222768384","0.729631138316981","0.785385307219787"
"No","1991","Full Time","Couple + C. LE and GT 16","345","0.778796260046285","0.739148815125107","0.818443704967462"
"No","1991","Part Time","1-pers.-HH","57","0.66122616136491","0.558785797728893","0.763666525000926"
"No","1991","Part Time","(Married) couple without C. ","144","0.632675742804742","0.569118163135319","0.696233322474165"
"No","1991","Part Time","Single parent ","66","0.763496904527655","0.672624817388982","0.854368991666329"
"No","1991","Part Time","Couple + C. LE 16 ","298","0.705029322077669","0.660670695903674","0.749387948251663"
"No","1991","Part Time","Couple + C. GT 16 ","258","0.814881584062912","0.771990711814958","0.857772456310866"
"No","1991","Part Time","Couple + C. LE and GT 16","141","0.83224721610532","0.776079770429168","0.888414661781473"
"No","1991","Not Working","1-pers.-HH","3","","",""
"No","1991","Not Working","(Married) couple without C. ","19","","",""
"No","1991","Not Working","Single parent ","9","","",""
"No","1991","Not Working","Couple + C. LE 16 ","27","","",""
"No","1991","Not Working","Couple + C. GT 16 ","25","","",""
"No","1991","Not Working","Couple + C. LE and GT 16","15","","",""
"Yes","1992","Full Time","1-pers.-HH","148","0.27927210510761","0.240411231858047","0.318132978357172"
"Yes","1992","Full Time","(Married) couple without C. ","380","0.308237542276943","0.283568810544207","0.332906274009678"
"Yes","1992","Full Time","Single parent ","78","0.33174561759786","0.2754796934976","0.38801154169812"
"Yes","1992","Full Time","Couple + C. LE 16 ","454","0.251150972937562","0.231133244417886","0.271168701457238"
"Yes","1992","Full Time","Couple + C. GT 16 ","327","0.265282789952275","0.241293130256322","0.289272449648227"
"Yes","1992","Full Time","Couple + C. LE and GT 16","132","0.247850541647105","0.212952067594935","0.282749015699276"
"Yes","1992","Part Time","1-pers.-HH","26","","",""
"Yes","1992","Part Time","(Married) couple without C. ","83","0.294195465488246","0.240436146396887","0.347954784579604"
"Yes","1992","Part Time","Single parent ","35","0.286500623040247","0.203504988468027","0.369496257612467"
"Yes","1992","Part Time","Couple + C. LE 16 ","208","0.362017893972435","0.32263393735731","0.40140185058756"
"Yes","1992","Part Time","Couple + C. GT 16 ","100","0.237496110318276","0.194988468876144","0.280003751760409"
"Yes","1992","Part Time","Couple + C. LE and GT 16","50","0.253716582485454","0.19118233311041","0.316250831860499"
"Yes","1992","Not Working","1-pers.-HH","3","","",""
"Yes","1992","Not Working","(Married) couple without C. ","2","","",""
"Yes","1992","Not Working","Single parent ","2","","",""
"Yes","1992","Not Working","Couple + C. LE 16 ","9","","",""
"Yes","1992","Not Working","Couple + C. GT 16 ","13","","",""
"Yes","1992","Not Working","Couple + C. LE and GT 16","3","","",""
"No","1992","Full Time","1-pers.-HH","364","0.72072789489239","0.681867021642827","0.759588768141953"
"No","1992","Full Time","(Married) couple without C. ","966","0.691762457723057","0.667093725990322","0.716431189455793"
"No","1992","Full Time","Single parent ","191","0.66825438240214","0.61198845830188","0.7245203065024"
"No","1992","Full Time","Couple + C. LE 16 ","1349","0.748849027062438","0.728831298542762","0.768866755582114"
"No","1992","Full Time","Couple + C. GT 16 ","974","0.734717210047725","0.710727550351773","0.758706869743678"
"No","1992","Full Time","Couple + C. LE and GT 16","456","0.752149458352895","0.717250984300724","0.787047932405065"
"No","1992","Part Time","1-pers.-HH","49","0.589689430950906","0.478366281810905","0.701012580090907"
"No","1992","Part Time","(Married) couple without C. ","193","0.705804534511754","0.652045215420396","0.759563853603113"
"No","1992","Part Time","Single parent ","79","0.713499376959753","0.630503742387533","0.796495011531973"
"No","1992","Part Time","Couple + C. LE 16 ","364","0.637982106027565","0.59859814941244","0.67736606264269"
"No","1992","Part Time","Couple + C. GT 16 ","285","0.762503889681724","0.719996248239591","0.805011531123856"
"No","1992","Part Time","Couple + C. LE and GT 16","136","0.746283417514546","0.683749168139501","0.80881766688959"
"No","1992","Not Working","1-pers.-HH","2","","",""
"No","1992","Not Working","(Married) couple without C. ","14","","",""
"No","1992","Not Working","Single parent ","8","","",""
"No","1992","Not Working","Couple + C. LE 16 ","26","","",""
"No","1992","Not Working","Couple + C. GT 16 ","22","","",""
"No","1992","Not Working","Couple + C. LE and GT 16","10","","",""
"Yes","1993","Full Time","1-pers.-HH","156","0.311251357066984","0.271907378050225","0.350595336083743"
"Yes","1993","Full Time","(Married) couple without C. ","388","0.290241935129337","0.266093254067851","0.314390616190823"
"Yes","1993","Full Time","Single parent ","66","0.293881353568565","0.235762512538003","0.352000194599127"
"Yes","1993","Full Time","Couple + C. LE 16 ","429","0.245631312610821","0.225335337899362","0.265927287322281"
"Yes","1993","Full Time","Couple + C. GT 16 ","283","0.238250286262145","0.214196833122413","0.262303739401877"
"Yes","1993","Full Time","Couple + C. LE and GT 16","140","0.249981191973946","0.214802770890095","0.285159613057796"
