"pgoeffd","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Couple + C. LE 16 ","general elemantary","338","0.836546386907298","0.799513209093102","0.873579564721495","2"
"No","1984","Couple + C. LE 16 ","middle vocational","862","0.801153289719593","0.776860593004567","0.825445986434618","2"
"No","1984","Couple + C. LE 16 ","vocational + Abi","59","0.89499537620385","0.821036427243267","0.968954325164434","2"
"No","1984","Couple + C. LE 16 ","higher vocational","103","0.640589752042601","0.566472318199901","0.714707185885301","2"
"No","1984","Couple + C. LE 16 ","higher education","111","0.48497218868668","0.419377387921783","0.550566989451576","2"
"Yes","1984","1-pers.-HH","in school","","","","","1"
"Yes","1984","1-pers.-HH","inadequately","2","","","","1"
"Yes","1984","1-pers.-HH","general elemantary","13","","","","1"
"Yes","1984","1-pers.-HH","middle vocational","76","0.255392419463261","0.20669112995009","0.304093708976431","1"
"Yes","1984","1-pers.-HH","vocational + Abi","7","","","","1"
"Yes","1984","1-pers.-HH","higher vocational","22","","","","1"
"Yes","1984","1-pers.-HH","higher education","48","0.575458938071258","0.469123979610093","0.681793896532422","1"
"Yes","1984","(Married) couple without C. ","in school","1","","","","1"
"Yes","1984","(Married) couple without C. ","inadequately","9","","","","1"
"Yes","1984","(Married) couple without C. ","general elemantary","42","0.18850659252468","0.139730682156166","0.237282502893195","1"
"Yes","1984","(Married) couple without C. ","middle vocational","191","0.269134658022566","0.237456924520991","0.30081239152414","1"
"Yes","1984","(Married) couple without C. ","vocational + Abi","7","","","","1"
"Yes","1984","(Married) couple without C. ","higher vocational","34","0.355063620543798","0.257280092285634","0.452847148801963","1"
"Yes","1984","(Married) couple without C. ","higher education","66","0.456614138825269","0.37525699576577","0.537971281884769","1"
"Yes","1984","Single parent ","in school","","","","","1"
"Yes","1984","Single parent ","inadequately","4","","","","1"
"Yes","1984","Single parent ","general elemantary","19","","","","1"
"Yes","1984","Single parent ","middle vocational","31","0.201451927851475","0.140066906152956","0.262836949549994","1"
"Yes","1984","Single parent ","vocational + Abi","","","","","1"
"Yes","1984","Single parent ","higher vocational","6","","","","1"
"Yes","1984","Single parent ","higher education","6","","","","1"
"Yes","1984","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1984","Couple + C. LE 16 ","inadequately","16","","","","1"
"Yes","1984","Couple + C. LE 16 ","general elemantary","45","0.163453613092702","0.126420435278505","0.200486790906898","1"
"Yes","1984","Couple + C. LE 16 ","middle vocational","175","0.198846710280407","0.174554013565382","0.223139406995433","1"
"Yes","1984","Couple + C. LE 16 ","vocational + Abi","7","","","","1"
"Yes","1984","Couple + C. LE 16 ","higher vocational","58","0.359410247957399","0.285292814114699","0.433527681800099","1"
"Yes","1984","Couple + C. LE 16 ","higher education","112","0.51502781131332","0.449433010548424","0.580622612078217","1"
"Yes","1984","Couple + C. GT 16 ","in school","","","","","1"
"Yes","1984","Couple + C. GT 16 ","inadequately","7","","","","1"
"Yes","1984","Couple + C. GT 16 ","general elemantary","64","0.243837170360818","0.196037504403929","0.291636836317706","1"
"Yes","1984","Couple + C. GT 16 ","middle vocational","112","0.186424402342801","0.156576792884014","0.216272011801589","1"
"Yes","1984","Couple + C. GT 16 ","vocational + Abi","5","","","","1"
"Yes","1984","Couple + C. GT 16 ","higher vocational","21","","","","1"
"Yes","1984","Couple + C. GT 16 ","higher education","31","0.400424179507636","0.293718439013772","0.507129920001499","1"
"Yes","1984","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","1984","Couple + C. LE and GT 16","inadequately","16","","","","1"
"Yes","1984","Couple + C. LE and GT 16","general elemantary","44","0.158064119457251","0.119845919699296","0.196282319215205","1"
"Yes","1984","Couple + C. LE and GT 16","middle vocational","86","0.195800879312444","0.160448835558598","0.23115292306629","1"
"Yes","1984","Couple + C. LE and GT 16","vocational + Abi","4","","","","1"
"Yes","1984","Couple + C. LE and GT 16","higher vocational","8","","","","1"
"Yes","1984","Couple + C. LE and GT 16","higher education","28","","","","1"
"No","1985","(Married) couple without C. ","higher vocational","53","0.626725794291719","0.524502083967885","0.728949504615554","2"
"No","1985","1-pers.-HH","middle vocational","196","0.731266465405879","0.677792192430459","0.784740738381299","2"
"No","1985","1-pers.-HH","general elemantary","71","0.774206535043527","0.685322711467093","0.863090358619962","2"
"No","1985","(Married) couple without C. ","higher education","68","0.538656416346214","0.452963568511826","0.624349264180601","2"
"No","1985","1-pers.-HH","inadequately","36","0.949920216015779","0.881467517068938","1.01837291496262","2"
"No","1985","1-pers.-HH","vocational + Abi","18","","","","2"
"No","1985","Couple + C. GT 16 ","inadequately","65","0.91186903574633","0.844980137758568","0.978757933734092","2"
"No","1985","Couple + C. GT 16 ","vocational + Abi","19","","","","2"
"No","1985","(Married) couple without C. ","vocational + Abi","33","0.83429088004605","0.716071617404921","0.952510142687179","2"
"No","1985","Couple + C. LE and GT 16","higher education","24","","","","2"
"No","1985","Couple + C. GT 16 ","general elemantary","246","0.776234167968628","0.729914956170575","0.822553379766681","2"
"No","1985","1-pers.-HH","higher education","32","0.404772940015817","0.293685610083276","0.515860269948358","2"
"No","1985","Couple + C. LE and GT 16","vocational + Abi","6","","","","2"
"No","1985","Couple + C. LE and GT 16","higher vocational","23","","","","2"
"No","1985","1-pers.-HH","higher vocational","17","","","","2"
"No","1985","Couple + C. GT 16 ","middle vocational","496","0.79034894630374","0.758229838499544","0.822468054107935","2"
"No","1985","1-pers.-HH","in school","","","","","2"
"No","1985","(Married) couple without C. ","in school","","","","","2"
"No","1985","(Married) couple without C. ","middle vocational","501","0.719657490632206","0.68597182430254","0.753343156961873","2"
"No","1985","Couple + C. GT 16 ","in school","2","","","","2"
"No","1985","Couple + C. GT 16 ","higher vocational","58","0.747969463158303","0.651615561392451","0.844323364924155","2"
"No","1985","Couple + C. LE and GT 16","middle vocational","322","0.785610794771324","0.745138789636962","0.826082799905685","2"
"No","1985","(Married) couple without C. ","inadequately","57","0.936649380854775","0.876015383099812","0.997283378609737","2"
"No","1985","(Married) couple without C. ","general elemantary","167","0.79766792112521","0.742403769507693","0.852932072742727","2"
"No","1985","Couple + C. GT 16 ","higher education","49","0.546710424372316","0.443286829089734","0.650134019654897","2"
"No","1985","Couple + C. LE and GT 16","in school","","","","","2"
"No","1985","Couple + C. LE and GT 16","inadequately","81","0.877599588692612","0.812376423907709","0.942822753477516","2"
"No","1985","Couple + C. LE and GT 16","general elemantary","240","0.857660795810519","0.81621439586202","0.899107195759018","2"
"No","1985","Single parent ","higher vocational","13","","","","2"
"No","1985","Single parent ","higher education","4","","","","2"
"No","1985","Couple + C. LE 16 ","in school","","","","","2"
"No","1985","Couple + C. LE 16 ","inadequately","138","0.914244611229508","0.869285587564607","0.959203634894409","2"
"No","1985","Couple + C. LE 16 ","general elemantary","268","0.862747957647251","0.82387333190566","0.901622583388843","2"
"No","1985","Couple + C. LE 16 ","middle vocational","704","0.802859699558274","0.776192797246592","0.829526601869957","2"
"No","1985","Couple + C. LE 16 ","vocational + Abi","52","0.908060672233604","0.831699103499196","0.984422240968012","2"
"No","1985","Couple + C. LE 16 ","higher vocational","92","0.657991440191623","0.580239957051851","0.735742923331395","2"
"No","1985","Couple + C. LE 16 ","higher education","101","0.503929274689892","0.434808808931283","0.5730497404485","2"
"No","1985","Single parent ","in school","","","","","2"
"No","1985","Single parent ","inadequately","22","","","","2"
"No","1985","Single parent ","general elemantary","76","0.828837464648999","0.751450745112213","0.906224184185785","2"
"No","1985","Single parent ","middle vocational","116","0.791944600442053","0.726101759716289","0.857787441167817","2"
"No","1985","Single parent ","vocational + Abi","5","","","","2"
"Yes","1985","1-pers.-HH","in school","","","","","1"
"Yes","1985","1-pers.-HH","inadequately","3","","","","1"
"Yes","1985","1-pers.-HH","general elemantary","14","","","","1"
"Yes","1985","1-pers.-HH","middle vocational","68","0.268733534594121","0.215259261618702","0.322207807569541","1"
"Yes","1985","1-pers.-HH","vocational + Abi","7","","","","1"
"Yes","1985","1-pers.-HH","higher vocational","26","","","","1"
"Yes","1985","1-pers.-HH","higher education","43","0.595227059984183","0.484139730051642","0.706314389916723","1"
"Yes","1985","(Married) couple without C. ","in school","","","","","1"
"Yes","1985","(Married) couple without C. ","inadequately","5","","","","1"
"Yes","1985","(Married) couple without C. ","general elemantary","36","0.20233207887479","0.147067927257273","0.257596230492307","1"
"Yes","1985","(Married) couple without C. ","middle vocational","182","0.280342509367794","0.246656843038127","0.31402817569746","1"
"Yes","1985","(Married) couple without C. ","vocational + Abi","5","","","","1"
"Yes","1985","(Married) couple without C. ","higher vocational","33","0.373274205708281","0.271050495384446","0.475497916032115","1"
"Yes","1985","(Married) couple without C. ","higher education","62","0.461343583653787","0.375650735819399","0.547036431488174","1"
"Yes","1985","Single parent ","in school","","","","","1"
"Yes","1985","Single parent ","inadequately","1","","","","1"
"Yes","1985","Single parent ","general elemantary","15","","","","1"
"Yes","1985","Single parent ","middle vocational","30","0.208055399557947","0.142212558832183","0.273898240283711","1"
"Yes","1985","Single parent ","vocational + Abi","","","","","1"
"Yes","1985","Single parent ","higher vocational","5","","","","1"
"Yes","1985","Single parent ","higher education","6","","","","1"
"Yes","1985","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1985","Couple + C. LE 16 ","inadequately","11","","","","1"
"Yes","1985","Couple + C. LE 16 ","general elemantary","33","0.137252042352749","0.0983774166111574","0.17612666809434","1"
"Yes","1985","Couple + C. LE 16 ","middle vocational","151","0.197140300441726","0.170473398130043","0.223807202753408","1"
"Yes","1985","Couple + C. LE 16 ","vocational + Abi","3","","","","1"
"Yes","1985","Couple + C. LE 16 ","higher vocational","51","0.342008559808377","0.264257076668605","0.419760042948149","1"
"Yes","1985","Couple + C. LE 16 ","higher education","100","0.496070725310108","0.4269502595515","0.565191191068717","1"
"Yes","1985","Couple + C. GT 16 ","in school","","","","","1"
"Yes","1985","Couple + C. GT 16 ","inadequately","4","","","","1"
"Yes","1985","Couple + C. GT 16 ","general elemantary","65","0.223765832031372","0.177446620233319","0.270085043829425","1"
"Yes","1985","Couple + C. GT 16 ","middle vocational","121","0.20965105369626","0.177531945892065","0.241770161500456","1"
"Yes","1985","Couple + C. GT 16 ","vocational + Abi","4","","","","1"
"Yes","1985","Couple + C. GT 16 ","higher vocational","20","","","","1"
"Yes","1985","Couple + C. GT 16 ","higher education","40","0.453289575627684","0.349865980345103","0.556713170910266","1"
"Yes","1985","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","1985","Couple + C. LE and GT 16","inadequately","16","","","","1"
"Yes","1985","Couple + C. LE and GT 16","general elemantary","33","0.142339204189481","0.100892804240982","0.18378560413798","1"
"Yes","1985","Couple + C. LE and GT 16","middle vocational","73","0.214389205228676","0.173917200094315","0.254861210363038","1"
"Yes","1985","Couple + C. LE and GT 16","vocational + Abi","4","","","","1"
"Yes","1985","Couple + C. LE and GT 16","higher vocational","7","","","","1"
"Yes","1985","Couple + C. LE and GT 16","higher education","19","","","","1"
"No","1986","1-pers.-HH","general elemantary","66","0.737536943369781","0.641722371742874","0.833351514996689","2"
"No","1986","1-pers.-HH","higher vocational","17","","","","2"
"No","1986","Couple + C. GT 16 ","inadequately","63","0.840516448498449","0.752848317639521","0.928184579357377","2"
"No","1986","Couple + C. GT 16 ","middle vocational","495","0.782473350673722","0.750128950978445","0.814817750369","2"
"No","1986","Couple + C. GT 16 ","vocational + Abi","21","","","","2"
"No","1986","1-pers.-HH","middle vocational","185","0.712371878821195","0.656594656061141","0.76814910158125","2"
"No","1986","Couple + C. GT 16 ","general elemantary","277","0.820556289784152","0.779280313077976","0.861832266490328","2"
"No","1986","(Married) couple without C. ","higher vocational","52","0.589968093466158","0.48835494104813","0.691581245884187","2"
"No","1986","(Married) couple without C. ","higher education","65","0.554129930664874","0.466287266387455","0.641972594942293","2"
"No","1986","1-pers.-HH","inadequately","27","","","","2"
"No","1986","1-pers.-HH","vocational + Abi","12","","","","2"
"No","1986","Couple + C. GT 16 ","in school","1","","","","2"
"No","1986","Couple + C. LE and GT 16","higher vocational","19","","","","2"
"No","1986","1-pers.-HH","higher education","32","0.404238657383104","0.293907956757277","0.514569358008931","2"
"No","1986","(Married) couple without C. ","vocational + Abi","33","0.815628733082691","0.695454606684165","0.935802859481217","2"
"No","1986","Couple + C. GT 16 ","higher vocational","49","0.746748748552626","0.64261925852256","0.850878238582692","2"
"No","1986","Couple + C. LE and GT 16","middle vocational","296","0.787590209663277","0.74557226364586","0.829608155680694","2"
"No","1986","Couple + C. LE and GT 16","vocational + Abi","8","","","","2"
"No","1986","Couple + C. LE and GT 16","higher education","24","","","","2"
"No","1986","1-pers.-HH","in school","","","","","2"
"No","1986","(Married) couple without C. ","in school","","","","","2"
"No","1986","(Married) couple without C. ","middle vocational","507","0.743743869445259","0.710711809163715","0.776775929726803","2"
"No","1986","Couple + C. GT 16 ","higher education","49","0.558301425962597","0.45395301694092","0.662649834984274","2"
"No","1986","Couple + C. LE and GT 16","in school","","","","","2"
"No","1986","Couple + C. LE and GT 16","inadequately","64","0.874990914153143","0.802060764167598","0.947921064138688","2"
"No","1986","Couple + C. LE and GT 16","general elemantary","202","0.768277113448959","0.714896214509697","0.821658012388221","2"
"No","1986","(Married) couple without C. ","inadequately","51","0.940632821320786","0.878180294342812","1.00308534829876","2"
"No","1986","(Married) couple without C. ","general elemantary","172","0.786399431160639","0.73135909380863","0.841439768512648","2"
"No","1986","Single parent ","higher vocational","12","","","","2"
"No","1986","Single parent ","higher education","5","","","","2"
"No","1986","Couple + C. LE 16 ","in school","","","","","2"
"No","1986","Couple + C. LE 16 ","inadequately","111","0.916727196174872","0.867292812987002","0.966161579362742","2"
"No","1986","Couple + C. LE 16 ","general elemantary","243","0.881937113957494","0.843304312582569","0.920569915332418","2"
"No","1986","Couple + C. LE 16 ","middle vocational","597","0.779173850876497","0.749287377895994","0.809060323857001","2"
"No","1986","Couple + C. LE 16 ","vocational + Abi","53","0.893500817003815","0.813419486842462","0.973582147165167","2"
"No","1986","Couple + C. LE 16 ","higher vocational","80","0.685071966119069","0.601264859667367","0.768879072570771","2"
"No","1986","Couple + C. LE 16 ","higher education","99","0.513618296229035","0.443285791537729","0.583950800920341","2"
"No","1986","Single parent ","in school","1","","","","2"
"No","1986","Single parent ","inadequately","16","","","","2"
"No","1986","Single parent ","general elemantary","63","0.826472801229766","0.741886353009536","0.911059249449995","2"
"No","1986","Single parent ","middle vocational","109","0.778932445126492","0.709190984667244","0.848673905585739","2"
"No","1986","Single parent ","vocational + Abi","4","","","","2"
"Yes","1986","1-pers.-HH","in school","","","","","1"
"Yes","1986","1-pers.-HH","inadequately","2","","","","1"
"Yes","1986","1-pers.-HH","general elemantary","15","","","","1"
"Yes","1986","1-pers.-HH","middle vocational","68","0.287628121178805","0.23185089841875","0.343405343938859","1"
"Yes","1986","1-pers.-HH","vocational + Abi","7","","","","1"
"Yes","1986","1-pers.-HH","higher vocational","19","","","","1"
"Yes","1986","1-pers.-HH","higher education","44","0.595761342616896","0.485430641991069","0.706092043242723","1"
"Yes","1986","(Married) couple without C. ","in school","","","","","1"
"Yes","1986","(Married) couple without C. ","inadequately","4","","","","1"
"Yes","1986","(Married) couple without C. ","general elemantary","41","0.213600568839361","0.158560231487352","0.26864090619137","1"
"Yes","1986","(Married) couple without C. ","middle vocational","164","0.256256130554741","0.223224070273197","0.289288190836285","1"
"Yes","1986","(Married) couple without C. ","vocational + Abi","7","","","","1"
"Yes","1986","(Married) couple without C. ","higher vocational","38","0.410031906533842","0.308418754115813","0.51164505895187","1"
"Yes","1986","(Married) couple without C. ","higher education","58","0.445870069335126","0.358027405057707","0.533712733612545","1"
"Yes","1986","Single parent ","in school","","","","","1"
"Yes","1986","Single parent ","inadequately","2","","","","1"
"Yes","1986","Single parent ","general elemantary","14","","","","1"
"Yes","1986","Single parent ","middle vocational","27","","","","1"
"Yes","1986","Single parent ","vocational + Abi","2","","","","1"
"Yes","1986","Single parent ","higher vocational","5","","","","1"
"Yes","1986","Single parent ","higher education","9","","","","1"
"Yes","1986","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1986","Couple + C. LE 16 ","inadequately","9","","","","1"
"Yes","1986","Couple + C. LE 16 ","general elemantary","25","","","","1"
"Yes","1986","Couple + C. LE 16 ","middle vocational","143","0.220826149123502","0.190939676142999","0.250712622104006","1"
"Yes","1986","Couple + C. LE 16 ","vocational + Abi","4","","","","1"
"Yes","1986","Couple + C. LE 16 ","higher vocational","38","0.314928033880931","0.231120927429228","0.398735140332633","1"
"Yes","1986","Couple + C. LE 16 ","higher education","95","0.486381703770965","0.416049199079659","0.556714208462271","1"
"Yes","1986","Couple + C. GT 16 ","in school","","","","","1"
"Yes","1986","Couple + C. GT 16 ","inadequately","4","","","","1"
"Yes","1986","Couple + C. GT 16 ","general elemantary","55","0.179443710215848","0.138167733509672","0.220719686922025","1"
"Yes","1986","Couple + C. GT 16 ","middle vocational","130","0.217526649326277","0.185182249631","0.249871049021555","1"
"Yes","1986","Couple + C. GT 16 ","vocational + Abi","2","","","","1"
"Yes","1986","Couple + C. GT 16 ","higher vocational","18","","","","1"
"Yes","1986","Couple + C. GT 16 ","higher education","38","0.441698574037403","0.337350165015726","0.54604698305908","1"
"Yes","1986","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","1986","Couple + C. LE and GT 16","inadequately","15","","","","1"
"Yes","1986","Couple + C. LE and GT 16","general elemantary","38","0.231722886551041","0.178341987611779","0.285103785490303","1"
"Yes","1986","Couple + C. LE and GT 16","middle vocational","68","0.212409790336723","0.170391844319306","0.25442773635414","1"
"Yes","1986","Couple + C. LE and GT 16","vocational + Abi","2","","","","1"
"Yes","1986","Couple + C. LE and GT 16","higher vocational","10","","","","1"
"Yes","1986","Couple + C. LE and GT 16","higher education","17","","","","1"
"No","1987","1-pers.-HH","general elemantary","75","0.745588714601512","0.655608984671231","0.835568444531794","2"
"No","1987","1-pers.-HH","inadequately","29","","","","2"
"No","1987","1-pers.-HH","middle vocational","187","0.716011079402384","0.660225519018537","0.77179663978623","2"
"No","1987","1-pers.-HH","vocational + Abi","13","","","","2"
"No","1987","(Married) couple without C. ","higher vocational","49","0.57282544786932","0.469473041458558","0.676177854280082","2"
"No","1987","(Married) couple without C. ","higher education","72","0.587054775082044","0.500741296208279","0.67336825395581","2"
"No","1987","1-pers.-HH","higher vocational","13","","","","2"
"No","1987","(Married) couple without C. ","vocational + Abi","41","0.836267727121737","0.731586866102228","0.940948588141247","2"
"No","1987","Couple + C. GT 16 ","inadequately","62","0.894179570967363","0.819399040180872","0.968960101753854","2"
"No","1987","Couple + C. GT 16 ","middle vocational","527","0.772186149008705","0.740568774068773","0.803803523948638","2"
"No","1987","Couple + C. GT 16 ","vocational + Abi","22","","","","2"
"No","1987","Couple + C. GT 16 ","general elemantary","278","0.792859447822435","0.749783057835173","0.835935837809698","2"
"No","1987","1-pers.-HH","in school","","","","","2"
"No","1987","(Married) couple without C. ","middle vocational","515","0.741482063931322","0.708623273785947","0.774340854076697","2"
"No","1987","Couple + C. GT 16 ","in school","2","","","","2"
"No","1987","Couple + C. GT 16 ","higher vocational","49","0.702913226125441","0.597359307897045","0.808467144353837","2"
"No","1987","Couple + C. LE and GT 16","middle vocational","269","0.791366582796799","0.747392989184125","0.835340176409473","2"
"No","1987","Couple + C. LE and GT 16","vocational + Abi","10","","","","2"
"No","1987","Couple + C. LE and GT 16","higher vocational","18","","","","2"
"No","1987","Couple + C. LE and GT 16","higher education","20","","","","2"
"No","1987","1-pers.-HH","higher education","42","0.47353278293192","0.36675789115882","0.580307674705019","2"
"No","1987","(Married) couple without C. ","in school","","","","","2"
"No","1987","(Married) couple without C. ","inadequately","52","0.948119860665778","0.889506187925626","1.00673353340593","2"
"No","1987","(Married) couple without C. ","general elemantary","157","0.780724201040975","0.722799443135623","0.838648958946327","2"
"No","1987","Couple + C. GT 16 ","higher education","47","0.530837235144641","0.425364229270675","0.636310241018608","2"
"No","1987","Couple + C. LE and GT 16","in school","2","","","","2"
"No","1987","Couple + C. LE and GT 16","inadequately","57","0.878584646289436","0.802613701729395","0.954555590849476","2"
"No","1987","Couple + C. LE and GT 16","general elemantary","210","0.806029104954446","0.75651730719201","0.855540902716881","2"
"No","1987","Single parent ","in school","1","","","","2"
"No","1987","Single parent ","inadequately","11","","","","2"
"No","1987","Single parent ","general elemantary","73","0.834140487693554","0.755528521590285","0.912752453796823","2"
"No","1987","Single parent ","middle vocational","117","0.787294763223217","0.720687458162766","0.853902068283669","2"
"No","1987","Single parent ","vocational + Abi","5","","","","2"
"No","1987","Single parent ","higher vocational","11","","","","2"
"No","1987","Single parent ","higher education","3","","","","2"
"No","1987","Couple + C. LE 16 ","in school","","","","","2"
"No","1987","Couple + C. LE 16 ","inadequately","108","0.937384948472356","0.892912194451899","0.981857702492813","2"
"No","1987","Couple + C. LE 16 ","general elemantary","232","0.871433763432199","0.830748037062301","0.912119489802097","2"
"No","1987","Couple + C. LE 16 ","middle vocational","620","0.795439130981924","0.76666585103399","0.824212410929859","2"
"No","1987","Couple + C. LE 16 ","vocational + Abi","46","0.806463881060023","0.702054331805133","0.910873430314912","2"
"No","1987","Couple + C. LE 16 ","higher vocational","77","0.696933213091486","0.612568580682312","0.78129784550066","2"
"No","1987","Couple + C. LE 16 ","higher education","95","0.537662842235879","0.465028298171148","0.61029738630061","2"
"Yes","1987","1-pers.-HH","in school","","","","","1"
"Yes","1987","1-pers.-HH","inadequately","3","","","","1"
"Yes","1987","1-pers.-HH","general elemantary","15","","","","1"
"Yes","1987","1-pers.-HH","middle vocational","64","0.283988920597616","0.22820336021377","0.339774480981463","1"
"Yes","1987","1-pers.-HH","vocational + Abi","8","","","","1"
"Yes","1987","1-pers.-HH","higher vocational","16","","","","1"
"Yes","1987","1-pers.-HH","higher education","42","0.52646721706808","0.419692325294981","0.63324210884118","1"
"Yes","1987","(Married) couple without C. ","in school","","","","","1"
"Yes","1987","(Married) couple without C. ","inadequately","3","","","","1"
"Yes","1987","(Married) couple without C. ","general elemantary","39","0.219275798959025","0.161351041053674","0.277200556864377","1"
"Yes","1987","(Married) couple without C. ","middle vocational","167","0.258517936068678","0.225659145923303","0.291376726214053","1"
"Yes","1987","(Married) couple without C. ","vocational + Abi","7","","","","1"
"Yes","1987","(Married) couple without C. ","higher vocational","39","0.42717455213068","0.323822145719918","0.530526958541442","1"
"Yes","1987","(Married) couple without C. ","higher education","53","0.412945224917956","0.32663174604419","0.499258703791721","1"
"Yes","1987","Single parent ","in school","","","","","1"
"Yes","1987","Single parent ","inadequately","2","","","","1"
"Yes","1987","Single parent ","general elemantary","13","","","","1"
"Yes","1987","Single parent ","middle vocational","28","","","","1"
"Yes","1987","Single parent ","vocational + Abi","1","","","","1"
"Yes","1987","Single parent ","higher vocational","4","","","","1"
"Yes","1987","Single parent ","higher education","9","","","","1"
"Yes","1987","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1987","Couple + C. LE 16 ","inadequately","6","","","","1"
"Yes","1987","Couple + C. LE 16 ","general elemantary","28","","","","1"
"Yes","1987","Couple + C. LE 16 ","middle vocational","135","0.204560869018076","0.175787589070141","0.23333414896601","1"
"Yes","1987","Couple + C. LE 16 ","vocational + Abi","9","","","","1"
"Yes","1987","Couple + C. LE 16 ","higher vocational","37","0.303066786908514","0.21870215449934","0.387431419317688","1"
"Yes","1987","Couple + C. LE 16 ","higher education","86","0.462337157764121","0.38970261369939","0.534971701828852","1"
"Yes","1987","Couple + C. GT 16 ","in school","","","","","1"
"Yes","1987","Couple + C. GT 16 ","inadequately","3","","","","1"
"Yes","1987","Couple + C. GT 16 ","general elemantary","62","0.207140552177565","0.164064162190302","0.250216942164827","1"
"Yes","1987","Couple + C. GT 16 ","middle vocational","149","0.227813850991295","0.196196476051362","0.259431225931227","1"
"Yes","1987","Couple + C. GT 16 ","vocational + Abi","4","","","","1"
"Yes","1987","Couple + C. GT 16 ","higher vocational","23","","","","1"
"Yes","1987","Couple + C. GT 16 ","higher education","39","0.469162764855359","0.363689758981392","0.574635770729325","1"
"Yes","1987","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","1987","Couple + C. LE and GT 16","inadequately","14","","","","1"
"Yes","1987","Couple + C. LE and GT 16","general elemantary","35","0.193970895045555","0.144459097283119","0.24348269280799","1"
"Yes","1987","Couple + C. LE and GT 16","middle vocational","59","0.208633417203201","0.164659823590527","0.252607010815875","1"
"Yes","1987","Couple + C. LE and GT 16","vocational + Abi","1","","","","1"
"Yes","1987","Couple + C. LE and GT 16","higher vocational","11","","","","1"
