"pgoeffd","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1998","(Married) couple without C. ","549","0.271017686374322","0.251610263078475","0.290425109670168"
"Yes","1998","1-pers.-HH","238","0.315117164592825","0.282410111885966","0.347824217299684"
"Yes","1998","Couple + C. GT 16 ","386","0.254189433946203","0.232699986076919","0.275678881815487"
"Yes","1998","Couple + C. LE 16 ","491","0.233768106638098","0.215936428974965","0.251599784301231"
"Yes","1998","Couple + C. LE and GT 16","200","0.253674802012571","0.22348575784407","0.283863846181073"
"Yes","1998","Single parent ","118","0.320866048272559","0.27534659758028","0.366385498964839"
"No","1999","(Married) couple without C. ","1385","0.733392389207305","0.713566977343454","0.753217801071156"
"No","1999","1-pers.-HH","528","0.698187643888865","0.665202665002561","0.731172622775169"
"No","1999","Couple + C. GT 16 ","1102","0.751778186152552","0.729535935496327","0.774020436808777"
"No","1999","Couple + C. LE 16 ","1612","0.765634291646917","0.74733294159829","0.783935641695545"
"No","1999","Couple + C. LE and GT 16","538","0.75254800107872","0.721005492323125","0.784090509834315"
"No","1999","Single parent ","280","0.700061979283537","0.654642336033633","0.745481622533441"
"Yes","1999","(Married) couple without C. ","526","0.266607610792695","0.246782198928844","0.286433022656546"
"Yes","1999","1-pers.-HH","216","0.301812356111135","0.268827377224831","0.334797334997439"
"Yes","1999","Couple + C. GT 16 ","347","0.248221813847448","0.225979563191223","0.270464064503673"
"Yes","1999","Couple + C. LE 16 ","446","0.234365708353083","0.216064358304455","0.25266705840171"
"Yes","1999","Couple + C. LE and GT 16","181","0.24745199892128","0.215909490165685","0.278994507676875"
"Yes","1999","Single parent ","111","0.299938020716463","0.254518377466559","0.345357663966367"
"No","2000","(Married) couple without C. ","2555","0.753250683045295","0.738856460891128","0.767644905199463"
"No","2000","1-pers.-HH","1175","0.752095364307155","0.730837861865996","0.773352866748315"
"No","2000","Couple + C. GT 16 ","1925","0.760692496263825","0.744083559422999","0.777301433104651"
"No","2000","Couple + C. LE 16 ","2982","0.782032091689201","0.768915461778863","0.795148721599539"
"No","2000","Couple + C. LE and GT 16","961","0.763377029878754","0.740103003578377","0.78665105617913"
"No","2000","Single parent ","558","0.778203247978089","0.748003383353587","0.808403112602591"
"Yes","2000","(Married) couple without C. ","891","0.246749316954705","0.232355094800537","0.261143539108872"
"Yes","2000","1-pers.-HH","410","0.247904635692845","0.226647133251685","0.269162138134004"
"Yes","2000","Couple + C. GT 16 ","610","0.239307503736175","0.222698566895349","0.255916440577002"
"Yes","2000","Couple + C. LE 16 ","824","0.217967908310799","0.204851278400461","0.231084538221137"
"Yes","2000","Couple + C. LE and GT 16","320","0.236622970121246","0.21334894382087","0.259896996421622"
"Yes","2000","Single parent ","169","0.221796752021911","0.191596887397409","0.251996616646412"
"No","2001","(Married) couple without C. ","2113","0.75081421824802","0.734997799619256","0.766630636876784"
"No","2001","1-pers.-HH","1034","0.759121319621852","0.736617064820775","0.781625574422928"
"No","2001","Couple + C. GT 16 ","1629","0.748938950600013","0.7307530567079","0.767124844492127"
"No","2001","Couple + C. LE 16 ","2586","0.775475332481691","0.761288058847479","0.789662606115904"
"No","2001","Couple + C. LE and GT 16","856","0.775606460554743","0.751163211594046","0.800049709515439"
"No","2001","Single parent ","482","0.776526555512562","0.743762820214946","0.809290290810178"
"Yes","2001","(Married) couple without C. ","760","0.24918578175198","0.233369363123216","0.265002200380744"
"Yes","2001","1-pers.-HH","353","0.240878680378148","0.218374425577072","0.263382935179225"
"Yes","2001","Couple + C. GT 16 ","555","0.251061049399987","0.232875155507873","0.2692469432921"
"Yes","2001","Couple + C. LE 16 ","737","0.224524667518309","0.210337393884096","0.238711941152521"
"Yes","2001","Couple + C. LE and GT 16","263","0.224393539445257","0.199950290484561","0.248836788405954"
"Yes","2001","Single parent ","139","0.223473444487438","0.190709709189822","0.256237179785054"
"No","2002","(Married) couple without C. ","2489","0.74089177524463","0.726324152945897","0.755459397543363"
"No","2002","1-pers.-HH","1057","0.761568648499839","0.739365933721423","0.783771363278254"
"No","2002","Couple + C. GT 16 ","1902","0.774494508023983","0.758261215145178","0.790727800902787"
"No","2002","Couple + C. LE 16 ","2734","0.77847085396853","0.76484473164217","0.79209697629489"
"No","2002","Couple + C. LE and GT 16","964","0.78336054605337","0.760897613266578","0.805823478840162"
"No","2002","Single parent ","527","0.764166594978012","0.732740836586669","0.795592353369355"
"Yes","2002","(Married) couple without C. ","986","0.25910822475537","0.244540602456637","0.273675847054103"
"Yes","2002","1-pers.-HH","358","0.238431351500161","0.216228636721746","0.260634066278577"
"Yes","2002","Couple + C. GT 16 ","644","0.225505491976018","0.209272199097213","0.241738784854822"
"Yes","2002","Couple + C. LE 16 ","834","0.22152914603147","0.20790302370511","0.23515526835783"
"Yes","2002","Couple + C. LE and GT 16","328","0.21663945394663","0.194176521159838","0.239102386733422"
"Yes","2002","Single parent ","174","0.235833405021988","0.204407646630646","0.267259163413331"
"No","2003","(Married) couple without C. ","2196","0.721794517040061","0.70601233239393","0.737576701686193"
"No","2003","1-pers.-HH","955","0.742364636747479","0.718673295801187","0.766055977693772"
"No","2003","Couple + C. GT 16 ","1729","0.773066649592249","0.75603770781174","0.790095591372758"
"No","2003","Couple + C. LE 16 ","2333","0.761649296513189","0.746606883265646","0.776691709760733"
"No","2003","Couple + C. LE and GT 16","843","0.785569548244315","0.761586334382062","0.809552762106569"
"No","2003","Single parent ","454","0.766962014119559","0.733246490554407","0.800677537684712"
"Yes","2003","(Married) couple without C. ","901","0.278205482959939","0.262423298313807","0.29398766760607"
"Yes","2003","1-pers.-HH","354","0.257635363252521","0.233944022306228","0.281326704198814"
"Yes","2003","Couple + C. GT 16 ","595","0.226933350407751","0.209904408627243","0.24396229218826"
"Yes","2003","Couple + C. LE 16 ","749","0.238350703486811","0.223308290239267","0.253393116734354"
"Yes","2003","Couple + C. LE and GT 16","282","0.214430451755685","0.190447237893431","0.238413665617938"
"Yes","2003","Single parent ","150","0.233037985880441","0.199322462315288","0.266753509445593"
"No","2004","(Married) couple without C. ","2397","0.737054666887839","0.722061771500004","0.752047562275674"
"No","2004","1-pers.-HH","965","0.726035645786027","0.70206673646952","0.750004555102533"
"No","2004","Couple + C. GT 16 ","1807","0.767589324264739","0.750871476824274","0.784307171705204"
"No","2004","Couple + C. LE 16 ","2332","0.776412539221566","0.761611379021215","0.791213699421918"
"No","2004","Couple + C. LE and GT 16","842","0.807081259864967","0.783878646581969","0.830283873147965"
"No","2004","Single parent ","490","0.783288431257681","0.75121795819029","0.815358904325073"
"Yes","2004","(Married) couple without C. ","915","0.262945333112161","0.247952437724326","0.277938228499996"
"Yes","2004","1-pers.-HH","365","0.273964354213973","0.249995444897467","0.29793326353048"
"Yes","2004","Couple + C. GT 16 ","645","0.232410675735261","0.215692828294796","0.249128523175726"
"Yes","2004","Couple + C. LE 16 ","712","0.223587460778434","0.208786300578082","0.238388620978785"
"Yes","2004","Couple + C. LE and GT 16","269","0.192918740135033","0.169716126852035","0.216121353418031"
"Yes","2004","Single parent ","144","0.216711568742319","0.184641095674927","0.24878204180971"
"No","2005","(Married) couple without C. ","2167","0.743621976103739","0.72804163570937","0.759202316498108"
"No","2005","1-pers.-HH","945","0.732501027039","0.70838275822821","0.756619295849789"
"No","2005","Couple + C. GT 16 ","1581","0.758042813308432","0.739914732394755","0.776170894222109"
"No","2005","Couple + C. LE 16 ","2010","0.777247677009467","0.761345336299603","0.793150017719331"
"No","2005","Couple + C. LE and GT 16","738","0.791869793579038","0.766387399419494","0.817352187738582"
"No","2005","Single parent ","414","0.748198622839358","0.712440280473548","0.783956965205168"
"Yes","2005","(Married) couple without C. ","850","0.256378023896261","0.240797683501892","0.27195836429063"
"Yes","2005","1-pers.-HH","349","0.267498972961001","0.243380704150211","0.29161724177179"
"Yes","2005","Couple + C. GT 16 ","563","0.241957186691568","0.223829105777891","0.260085267605245"
"Yes","2005","Couple + C. LE 16 ","620","0.222752322990533","0.206849982280669","0.238654663700397"
"Yes","2005","Couple + C. LE and GT 16","237","0.208130206420962","0.182647812261418","0.233612600580506"
"Yes","2005","Single parent ","152","0.251801377160642","0.216043034794833","0.287559719526452"
"No","2006","(Married) couple without C. ","2298","0.7508034853789","0.735802673765713","0.765804296992087"
"No","2006","1-pers.-HH","1011","0.733731604129169","0.710536869340222","0.756926338918115"
"No","2006","Couple + C. GT 16 ","1593","0.768305320465347","0.750582051538295","0.7860285893924"
"No","2006","Couple + C. LE 16 ","2030","0.769478227969168","0.753491037053222","0.785465418885115"
"No","2006","Couple + C. LE and GT 16","682","0.785273365776173","0.758549588738184","0.811997142814161"
"No","2006","Single parent ","439","0.74431527202646","0.709350688607778","0.779279855445142"
"Yes","2006","(Married) couple without C. ","896","0.2491965146211","0.234195703007913","0.264197326234287"
"Yes","2006","1-pers.-HH","384","0.266268395870831","0.243073661081885","0.289463130659778"
"Yes","2006","Couple + C. GT 16 ","584","0.231694679534653","0.2139714106076","0.249417948461705"
"Yes","2006","Couple + C. LE 16 ","636","0.230521772030832","0.214534581114885","0.246508962946778"
"Yes","2006","Couple + C. LE and GT 16","225","0.214726634223827","0.188002857185839","0.241450411261815"
"Yes","2006","Single parent ","159","0.25568472797354","0.220720144554858","0.290649311392222"
"No","2007","(Married) couple without C. ","2375","0.754399799107532","0.739546222160048","0.769253376055015"
"No","2007","1-pers.-HH","1057","0.751221905798788","0.728815599821848","0.773628211775728"
"No","2007","Couple + C. GT 16 ","1715","0.782248512856287","0.765414445423501","0.799082580289073"
"No","2007","Couple + C. LE 16 ","2151","0.780464038437085","0.76506869310354","0.79585938377063"
"No","2007","Couple + C. LE and GT 16","711","0.794007091114124","0.768000791614298","0.820013390613951"
"No","2007","Single parent ","456","0.742922877399235","0.70877007467623","0.777075680122239"
"Yes","2007","(Married) couple without C. ","851","0.245600200892468","0.230746623944985","0.260453777839952"
"Yes","2007","1-pers.-HH","373","0.248778094201212","0.226371788224272","0.271184400178152"
"Yes","2007","Couple + C. GT 16 ","594","0.217751487143713","0.200917419710927","0.234585554576498"
"Yes","2007","Couple + C. LE 16 ","626","0.219535961562915","0.20414061622937","0.23493130689646"
"Yes","2007","Couple + C. LE and GT 16","218","0.205992908885875","0.179986609386049","0.231999208385702"
"Yes","2007","Single parent ","173","0.257077122600765","0.222924319877761","0.29122992532377"
"No","2008","(Married) couple without C. ","2184","0.748337586126667","0.732753878280309","0.763921293973024"
"No","2008","1-pers.-HH","982","0.757703521168211","0.734702017894315","0.780705024442107"
"No","2008","Couple + C. GT 16 ","1587","0.792451559686555","0.775212540213976","0.809690579159133"
"No","2008","Couple + C. LE 16 ","1877","0.789737641526829","0.773475354416636","0.805999928637023"
"No","2008","Couple + C. LE and GT 16","614","0.801814087200062","0.774378712521112","0.829249461879011"
"No","2008","Single parent ","443","0.749733453776962","0.715131175820958","0.784335731732967"
"Yes","2008","(Married) couple without C. ","795","0.251662413873333","0.236078706026976","0.267246121719691"
"Yes","2008","1-pers.-HH","351","0.242296478831789","0.219294975557892","0.265297982105685"
"Yes","2008","Couple + C. GT 16 ","539","0.207548440313445","0.190309420840867","0.224787459786024"
"Yes","2008","Couple + C. LE 16 ","535","0.210262358473171","0.194000071362977","0.226524645583364"
"Yes","2008","Couple + C. LE and GT 16","197","0.198185912799938","0.170750538120989","0.225621287478888"
"Yes","2008","Single parent ","159","0.250266546223038","0.215664268267033","0.284868824179042"
"No","2009","(Married) couple without C. ","2200","0.758563536993293","0.743198366961208","0.773928707025377"
"No","2009","1-pers.-HH","953","0.755346068737451","0.732049427860544","0.778642709614357"
"No","2009","Couple + C. GT 16 ","1576","0.787841857250701","0.770393313812946","0.805290400688456"
"No","2009","Couple + C. LE 16 ","1717","0.785605622460003","0.768587349150429","0.802623895769577"
"No","2009","Couple + C. LE and GT 16","651","0.83735419143201","0.812217451040572","0.862490931823447"
"No","2009","Single parent ","461","0.75897409577389","0.724892828055207","0.793055363492572"
"Yes","2009","(Married) couple without C. ","780","0.241436463006707","0.226071292974623","0.256801633038792"
