"pgoeffd","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1993","16-34 y.","Female","979","0.674076462307406","0.65006658190537","0.698086342709441","2"
"No","1993","35-65 y.","Male","2026","0.74725084988366","0.730635347718265","0.763866352049056","2"
"No","1993","35-65 y.","Female","1250","0.663317848306707","0.641989946358053","0.684645750255361","2"
"No","1993","66 and older","Male","15","","","","2"
"No","1993","66 and older","Female","9","","","","2"
"Yes","1993","16-34 y.","Male","338","0.194914151871364","0.176954983466043","0.212873320276686","1"
"Yes","1993","16-34 y.","Female","485","0.325923537692594","0.301913657290559","0.34993341809463","1"
"Yes","1993","35-65 y.","Male","602","0.25274915011634","0.236133647950944","0.269364652281735","1"
"Yes","1993","35-65 y.","Female","636","0.336682151693293","0.315354249744639","0.358010053641947","1"
"Yes","1993","66 and older","Male","2","","","","1"
"Yes","1993","66 and older","Female","1","","","","1"
"No","1994","16-34 y.","Male","1416","0.800789444994728","0.781908423116155","0.819670466873301","2"
"No","1994","16-34 y.","Female","915","0.666550611636217","0.641485485708339","0.691615737564095","2"
"No","1994","35-65 y.","Male","1920","0.745803411254531","0.728752748376148","0.762854074132914","2"
"No","1994","35-65 y.","Female","1166","0.657373809476577","0.635375930356512","0.679371688596641","2"
"No","1994","66 and older","Male","14","","","","2"
"No","1994","66 and older","Female","8","","","","2"
"Yes","1994","16-34 y.","Male","303","0.199210555005271","0.180329533126698","0.218091576883844","1"
"Yes","1994","16-34 y.","Female","444","0.333449388363783","0.308384262435905","0.358514514291661","1"
"Yes","1994","35-65 y.","Male","585","0.254196588745469","0.237145925867086","0.271247251623852","1"
"Yes","1994","35-65 y.","Female","622","0.342626190523423","0.320628311403359","0.364624069643488","1"
"Yes","1994","66 and older","Male","1","","","","1"
"Yes","1994","66 and older","Female","","","","","1"
"No","1995","16-34 y.","Male","1559","0.825354997910077","0.80804973869205","0.842660257128103","2"
"No","1995","16-34 y.","Female","982","0.671882345231234","0.647656644965117","0.696108045497351","2"
"No","1995","35-65 y.","Male","2035","0.747849726026964","0.731202871243958","0.764496580809971","2"
"No","1995","35-65 y.","Female","1241","0.645072168819489","0.623669316403818","0.66647502123516","2"
"No","1995","66 and older","Male","19","","","","2"
"No","1995","66 and older","Female","10","","","","2"
"Yes","1995","16-34 y.","Male","290","0.174645002089923","0.157339742871897","0.19195026130795","1"
"Yes","1995","16-34 y.","Female","461","0.328117654768766","0.30389195450265","0.352343355034883","1"
"Yes","1995","35-65 y.","Male","579","0.252150273973036","0.235503419190029","0.268797128756042","1"
"Yes","1995","35-65 y.","Female","679","0.354927831180511","0.33352497876484","0.376330683596182","1"
"Yes","1995","66 and older","Male","1","","","","1"
"Yes","1995","66 and older","Female","1","","","","1"
"No","1996","16-34 y.","Male","1438","0.810357046183445","0.791792857602648","0.828921234764242","2"
"No","1996","16-34 y.","Female","889","0.676119789019717","0.650740436803743","0.701499141235691","2"
"No","1996","35-65 y.","Male","1974","0.758834425747728","0.74212538964256","0.775543461852895","2"
"No","1996","35-65 y.","Female","1220","0.640092558309407","0.618493678493127","0.661691438125687","2"
"No","1996","66 and older","Male","21","","","","2"
"No","1996","66 and older","Female","9","","","","2"
"Yes","1996","16-34 y.","Male","275","0.189642953816555","0.171078765235758","0.208207142397352","1"
"Yes","1996","16-34 y.","Female","417","0.323880210980283","0.298500858764309","0.349259563196257","1"
"Yes","1996","35-65 y.","Male","544","0.241165574252272","0.224456538147105","0.25787461035744","1"
"Yes","1996","35-65 y.","Female","677","0.359907441690593","0.338308561874313","0.381506321506873","1"
"Yes","1996","66 and older","Male","1","","","","1"
"Yes","1996","66 and older","Female","1","","","","1"
"No","1997","16-34 y.","Male","1418","0.80629624899697","0.78750447690409","0.82508802108985","2"
"No","1997","16-34 y.","Female","897","0.691276245747194","0.666183196491388","0.716369295003","2"
"No","1997","35-65 y.","Male","1927","0.756158595996025","0.739221158015392","0.773096033976658","2"
"No","1997","35-65 y.","Female","1217","0.654130413331692","0.632618023690112","0.675642802973273","2"
"No","1997","66 and older","Male","23","","","","2"
"No","1997","66 and older","Female","11","","","","2"
"Yes","1997","16-34 y.","Male","281","0.19370375100303","0.17491197891015","0.21249552309591","1"
"Yes","1997","16-34 y.","Female","405","0.308723754252806","0.283630704997","0.333816803508612","1"
"Yes","1997","35-65 y.","Male","542","0.243841404003975","0.226903966023342","0.260778841984608","1"
"Yes","1997","35-65 y.","Female","661","0.345869586668308","0.324357197026727","0.367381976309888","1"
"Yes","1997","66 and older","Male","1","","","","1"
"Yes","1997","66 and older","Female","1","","","","1"
"No","1998","16-34 y.","Male","1515","0.815638340578499","0.797659158309452","0.833617522847545","2"
"No","1998","16-34 y.","Female","938","0.68137244096136","0.656526561911588","0.706218320011132","2"
"No","1998","35-65 y.","Male","2196","0.770978401643504","0.755400229039044","0.786556574247965","2"
"No","1998","35-65 y.","Female","1359","0.639761321665504","0.619426333791182","0.660096309539826","2"
"No","1998","66 and older","Male","25","","","","2"
"No","1998","66 and older","Female","11","","","","2"
"Yes","1998","16-34 y.","Male","272","0.184361659421501","0.166382477152455","0.202340841690548","1"
"Yes","1998","35-65 y.","Male","599","0.229021598356496","0.213443425752035","0.244599770960956","1"
"Yes","1998","16-34 y.","Female","413","0.31862755903864","0.293781679988868","0.343473438088412","1"
"Yes","1998","35-65 y.","Female","782","0.360238678334496","0.339903690460174","0.380573666208818","1"
"Yes","1998","66 and older","Male","2","","","","1"
"Yes","1998","66 and older","Female","3","","","","1"
"No","1999","16-34 y.","Male","1333","0.825128281339487","0.806290571554047","0.843965991124928","2"
"No","1999","16-34 y.","Female","861","0.694036430228466","0.668125324562478","0.719947535894454","2"
"No","1999","66 and older","Male","20","","","","2"
"No","1999","35-65 y.","Male","2074","0.773415130194459","0.757449514339749","0.789380746049168","2"
"No","1999","35-65 y.","Female","1310","0.647796776960162","0.627043726662421","0.668549827257903","2"
"No","1999","66 and older","Female","9","","","","2"
"Yes","1999","16-34 y.","Male","229","0.174871718660513","0.156034008875072","0.193709428445953","1"
"Yes","1999","35-65 y.","Male","567","0.226584869805541","0.210619253950832","0.242550485660251","1"
"Yes","1999","16-34 y.","Female","354","0.305963569771534","0.280052464105546","0.331874675437522","1"
"Yes","1999","35-65 y.","Female","725","0.352203223039838","0.331450172742097","0.372956273337579","1"
"Yes","1999","66 and older","Male","2","","","","1"
"Yes","1999","66 and older","Female","","","","","1"
"No","2000","16-34 y.","Male","2169","0.834647250281079","0.820267667849598","0.84902683271256","2"
"No","2000","16-34 y.","Female","1571","0.740221446890794","0.721585699072921","0.758857194708666","2"
"No","2000","66 and older","Male","58","0.899756619419566","0.825001210132163","0.974512028706969","2"
"No","2000","35-65 y.","Male","3970","0.787765490408363","0.776502580654107","0.799028400162619","2"
"No","2000","35-65 y.","Female","2686","0.69172834781178","0.677351269549925","0.706105426073634","2"
"No","2000","66 and older","Female","26","","","","2"
"Yes","2000","16-34 y.","Male","395","0.165352749718921","0.15097316728744","0.179732332150402","1"
"Yes","2000","35-65 y.","Male","1093","0.212234509591637","0.200971599837381","0.223497419345892","1"
"Yes","2000","16-34 y.","Female","556","0.259778553109206","0.241142805291334","0.278414300927079","1"
"Yes","2000","35-65 y.","Female","1277","0.30827165218822","0.293894573926366","0.322648730450075","1"
"Yes","2000","66 and older","Male","4","","","","1"
"Yes","2000","66 and older","Female","3","","","","1"
"No","2001","16-34 y.","Male","1714","0.829740097283771","0.813373605382487","0.846106589185055","2"
"No","2001","66 and older","Male","45","0.812625202507916","0.708548878856074","0.916701526159759","2"
"No","2001","16-34 y.","Female","1271","0.749897986095218","0.729431487235199","0.770364484955236","2"
"No","2001","35-65 y.","Male","3500","0.787265155191339","0.775258709027134","0.799271601355545","2"
"No","2001","35-65 y.","Female","2424","0.691502495235072","0.676364371888802","0.706640618581343","2"
"No","2001","66 and older","Female","19","","","","2"
"Yes","2001","16-34 y.","Male","312","0.170259902716229","0.153893410814945","0.186626394617512","1"
"Yes","2001","35-65 y.","Male","963","0.212734844808661","0.200728398644455","0.224741290972866","1"
"Yes","2001","35-65 y.","Female","1152","0.308497504764928","0.293359381418657","0.323635628111198","1"
"Yes","2001","66 and older","Male","9","","","","1"
"Yes","2001","16-34 y.","Female","449","0.250102013904782","0.229635515044764","0.270568512764801","1"
"Yes","2001","66 and older","Female","3","","","","1"
"No","2002","16-34 y.","Male","1750","0.84276411707507","0.827074885485274","0.858453348664867","2"
"No","2002","66 and older","Male","72","0.797523717878193","0.713083888449842","0.881963547306543","2"
"No","2002","16-34 y.","Female","1375","0.751667273511469","0.731985026355273","0.771349520667665","2"
"No","2002","35-65 y.","Male","3923","0.783932567541628","0.772643925682569","0.795221209400687","2"
"No","2002","35-65 y.","Female","2797","0.699514510457343","0.685678689940096","0.71335033097459","2"
"No","2002","66 and older","Female","29","","","","2"
"Yes","2002","16-34 y.","Male","318","0.157235882924929","0.141546651335133","0.172925114514726","1"
"Yes","2002","35-65 y.","Male","1183","0.216067432458372","0.204778790599313","0.227356074317431","1"
"Yes","2002","35-65 y.","Female","1421","0.300485489542657","0.28664966902541","0.314321310059904","1"
"Yes","2002","66 and older","Male","15","","","","1"
"Yes","2002","16-34 y.","Female","476","0.248332726488531","0.228650479332335","0.268014973644727","1"
"Yes","2002","66 and older","Female","3","","","","1"
"No","2003","16-34 y.","Male","1429","0.822560369080432","0.804426306807377","0.840694431353486","2"
"No","2003","16-34 y.","Female","1148","0.72933216199051","0.707312496032306","0.751351827948714","2"
"No","2003","35-65 y.","Male","3534","0.778211106251988","0.766222326732308","0.790199885771667","2"
"No","2003","66 and older","Male","58","0.872779025245553","0.794155039624172","0.951403010866934","2"
"No","2003","35-65 y.","Female","2519","0.684768504379538","0.67008307636858","0.699453932390497","2"
"No","2003","66 and older","Female","29","","","","2"
"Yes","2003","16-34 y.","Male","276","0.177439630919568","0.159305568646514","0.195573693192623","1"
"Yes","2003","35-65 y.","Male","1079","0.221788893748012","0.209800114228333","0.233777673267692","1"
"Yes","2003","35-65 y.","Female","1326","0.315231495620461","0.300546067609503","0.32991692363142","1"
"Yes","2003","16-34 y.","Female","416","0.27066783800949","0.248648172051286","0.292687503967694","1"
"Yes","2003","66 and older","Male","11","","","","1"
"Yes","2003","66 and older","Female","2","","","","1"
"No","2004","16-34 y.","Male","1476","0.821708646120178","0.80388730832919","0.839529983911166","2"
"No","2004","16-34 y.","Female","1223","0.739654895145315","0.718449107116889","0.76086068317374","2"
"No","2004","35-65 y.","Male","3575","0.779746836109176","0.76781111702026","0.791682555198091","2"
"No","2004","66 and older","Male","100","0.958388058011634","0.920549385550008","0.996226730473259","2"
"No","2004","35-65 y.","Female","2639","0.700211901141673","0.685963523766765","0.714460278516582","2"
"No","2004","66 and older","Female","42","0.987644025644036","0.954625887300157","1.02066216398792","2"
"Yes","2004","16-34 y.","Male","296","0.178291353879822","0.160470016088835","0.19611269167081","1"
"Yes","2004","35-65 y.","Male","1056","0.220253163890824","0.208317444801909","0.23218888297974","1"
"Yes","2004","35-65 y.","Female","1333","0.299788098858327","0.285539721483419","0.314036476233235","1"
"Yes","2004","16-34 y.","Female","422","0.260345104854685","0.23913931682626","0.281550892883111","1"
