"pgoeffd","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1987","35-65 y.","West Germany","2569","0.720015160386959","0.704909829239797","0.735120491534121"
"No","1987","35-65 y.","East Germany","","","",""
"No","1987","66 and older","West Germany","","","",""
"No","1987","66 and older","East Germany","","","",""
"Yes","1988","16-34 y.","West Germany","448","0.219002054674257","0.202517812618061","0.235486296730453"
"Yes","1988","16-34 y.","East Germany","","","",""
"Yes","1988","35-65 y.","West Germany","806","0.285656721505309","0.270209296013704","0.301104146996913"
"Yes","1988","35-65 y.","East Germany","","","",""
"Yes","1988","66 and older","West Germany","","","",""
"Yes","1988","66 and older","East Germany","","","",""
"No","1988","16-34 y.","West Germany","1970","0.780997945325743","0.764513703269546","0.797482187381939"
"No","1988","16-34 y.","East Germany","","","",""
"No","1988","35-65 y.","West Germany","2479","0.714343278494691","0.698895853003087","0.729790703986296"
"No","1988","35-65 y.","East Germany","","","",""
"No","1988","66 and older","West Germany","","","",""
"No","1988","66 and older","East Germany","","","",""
"Yes","1989","16-34 y.","West Germany","476","0.213515077502927","0.197622398217335","0.229407756788519"
"Yes","1989","16-34 y.","East Germany","","","",""
"Yes","1989","35-65 y.","West Germany","775","0.278809405730066","0.26339766976816","0.294221141691972"
"Yes","1989","35-65 y.","East Germany","","","",""
"Yes","1989","66 and older","West Germany","","","",""
"Yes","1989","66 and older","East Germany","","","",""
"No","1989","16-34 y.","West Germany","2078","0.786484922497073","0.770592243211481","0.802377601782665"
"No","1989","16-34 y.","East Germany","","","",""
"No","1989","35-65 y.","West Germany","2477","0.721190594269934","0.705778858308028","0.73660233023184"
"No","1989","35-65 y.","East Germany","","","",""
"No","1989","66 and older","West Germany","","","",""
"No","1989","66 and older","East Germany","","","",""
"Yes","1990","16-34 y.","West Germany","472","0.215386613419465","0.199055153299446","0.231718073539484"
"Yes","1990","16-34 y.","East Germany","458","0.328814540913313","0.303983580423234","0.353645501403393"
"Yes","1990","35-65 y.","West Germany","749","0.278459488245207","0.262858168403714","0.294060808086701"
"Yes","1990","35-65 y.","East Germany","649","0.340771420138855","0.319680437132029","0.36186240314568"
"Yes","1990","66 and older","West Germany","","","",""
"Yes","1990","66 and older","East Germany","","","",""
"No","1990","16-34 y.","West Germany","1962","0.784613386580535","0.768281926460516","0.800944846700553"
"No","1990","16-34 y.","East Germany","917","0.671185459086686","0.646354498596607","0.696016419576766"
"No","1990","35-65 y.","West Germany","2422","0.721540511754793","0.705939191913299","0.737141831596286"
"No","1990","35-65 y.","East Germany","1291","0.659228579861145","0.63813759685432","0.680319562867971"
"No","1990","66 and older","West Germany","","","",""
"No","1990","66 and older","East Germany","","","",""
"Yes","1991","16-34 y.","West Germany","521","0.2300529282148","0.213653369992361","0.246452486437238"
"Yes","1991","16-34 y.","East Germany","370","0.32654216540514","0.299343983251019","0.35374034755926"
"Yes","1991","35-65 y.","West Germany","775","0.27281833025557","0.257621627954477","0.288015032556663"
"Yes","1991","35-65 y.","East Germany","527","0.316116462176215","0.293829822798989","0.338403101553441"
"Yes","1991","66 and older","West Germany","","","",""
"Yes","1991","66 and older","East Germany","","","",""
"No","1991","16-34 y.","West Germany","2009","0.7699470717852","0.753547513562762","0.786346630007639"
"No","1991","16-34 y.","East Germany","772","0.67345783459486","0.64625965244074","0.700656016748981"
"No","1991","35-65 y.","West Germany","2525","0.72718166974443","0.711984967443337","0.742378372045523"
"No","1991","35-65 y.","East Germany","1145","0.683883537823785","0.661596898446559","0.706170177201011"
"No","1991","66 and older","West Germany","30","0.957092560143101","0.885756270750125","1.02842884953608"
"No","1991","66 and older","East Germany","","","",""
"Yes","1992","16-34 y.","West Germany","515","0.240901100521553","0.223724509852171","0.258077691190936"
"Yes","1992","16-34 y.","East Germany","340","0.354670992443352","0.324548588292482","0.384793396594221"
"Yes","1992","35-65 y.","West Germany","770","0.278254726124381","0.262720485716915","0.293788966531847"
"Yes","1992","35-65 y.","East Germany","528","0.365283121119785","0.340516337544","0.39004990469557"
"Yes","1992","66 and older","West Germany","","","",""
"Yes","1992","66 and older","East Germany","","","",""
"No","1992","16-34 y.","West Germany","1866","0.759098899478447","0.741922308809064","0.776275490147829"
"No","1992","16-34 y.","East Germany","629","0.645329007556648","0.615206603405779","0.675451411707518"
"No","1992","35-65 y.","West Germany","2427","0.721745273875619","0.706211033468153","0.737279514283085"
"No","1992","35-65 y.","East Germany","924","0.634716878880215","0.60995009530443","0.659483662456"
"No","1992","66 and older","West Germany","","","",""
"No","1992","66 and older","East Germany","","","",""
"Yes","1993","16-34 y.","West Germany","495","0.227409256207216","0.21070224507598","0.244116267338452"
"Yes","1993","16-34 y.","East Germany","328","0.343955174545719","0.313176123570747","0.374734225520691"
"Yes","1993","35-65 y.","West Germany","773","0.275088118630908","0.259579543503681","0.290596693758135"
"Yes","1993","35-65 y.","East Germany","465","0.344686912810827","0.319135058749823","0.370238766871831"
"Yes","1993","66 and older","West Germany","","","",""
"Yes","1993","66 and older","East Germany","","","",""
"No","1993","16-34 y.","West Germany","1923","0.772590743792784","0.755883732661549","0.78929775492402"
"No","1993","16-34 y.","East Germany","587","0.656044825454281","0.625265774479309","0.686823876429253"
"No","1993","35-65 y.","West Germany","2412","0.724911881369092","0.709403306241864","0.740420456496319"
"No","1993","35-65 y.","East Germany","864","0.655313087189173","0.629761233128169","0.680864941250177"
"No","1993","66 and older","West Germany","","","",""
"No","1993","66 and older","East Germany","","","",""
"Yes","1994","16-34 y.","West Germany","482","0.242103153647159","0.224407540442599","0.259798766851719"
"Yes","1994","16-34 y.","East Germany","265","0.315982980473747","0.284297475289772","0.347668485657722"
"Yes","1994","35-65 y.","West Germany","744","0.278410954887698","0.262280350379679","0.294541559395717"
"Yes","1994","35-65 y.","East Germany","463","0.342783251782082","0.317245848319811","0.368320655244352"
"Yes","1994","66 and older","West Germany","","","",""
"Yes","1994","66 and older","East Germany","","","",""
"No","1994","16-34 y.","West Germany","1769","0.757896846352841","0.740201233148281","0.775592459557401"
"No","1994","16-34 y.","East Germany","562","0.684017019526253","0.652331514342278","0.715702524710228"
"No","1994","35-65 y.","West Germany","2222","0.721589045112302","0.705458440604283","0.737719649620321"
"No","1994","35-65 y.","East Germany","864","0.657216748217918","0.631679344755648","0.682754151680189"
"No","1994","66 and older","West Germany","","","",""
"No","1994","66 and older","East Germany","","","",""
"Yes","1995","16-34 y.","West Germany","506","0.227395786301927","0.210801973820931","0.243989598782922"
"Yes","1995","16-34 y.","East Germany","245","0.290177225133389","0.259504192288803","0.320850257977975"
"Yes","1995","35-65 y.","West Germany","802","0.284540668120008","0.268843934810281","0.300237401429735"
"Yes","1995","35-65 y.","East Germany","456","0.3371685770556","0.312043712580234","0.362293441530966"
"Yes","1995","66 and older","West Germany","","","",""
"Yes","1995","66 and older","East Germany","","","",""
"No","1995","16-34 y.","West Germany","1945","0.772604213698074","0.756010401217078","0.789198026179069"
"No","1995","16-34 y.","East Germany","596","0.709822774866611","0.679149742022025","0.740495807711197"
"No","1995","35-65 y.","West Germany","2372","0.715459331879992","0.699762598570265","0.731156065189719"
"No","1995","35-65 y.","East Germany","904","0.6628314229444","0.637706558469034","0.687956287419766"
"No","1995","66 and older","West Germany","","","",""
"No","1995","66 and older","East Germany","","","",""
"Yes","1996","16-34 y.","West Germany","484","0.239497791486854","0.221949092532488","0.25704649044122"
"Yes","1996","16-34 y.","East Germany","208","0.275892207867135","0.243839913846308","0.307944501887963"
"Yes","1996","35-65 y.","West Germany","778","0.280469835233209","0.264620256900326","0.296319413566091"
"Yes","1996","35-65 y.","East Germany","443","0.335272675693275","0.309891809099224","0.360653542287326"
"Yes","1996","66 and older","West Germany","","","",""
"Yes","1996","66 and older","East Germany","","","",""
"No","1996","16-34 y.","West Germany","1788","0.760502208513146","0.74295350955878","0.778050907467512"
"No","1996","16-34 y.","East Germany","539","0.724107792132865","0.692055498112037","0.756160086153692"
"No","1996","35-65 y.","West Germany","2308","0.719530164766791","0.703680586433909","0.735379743099674"
"No","1996","35-65 y.","East Germany","886","0.664727324306725","0.639346457712674","0.690108190900776"
"No","1996","66 and older","West Germany","","","",""
"No","1996","66 and older","East Germany","","","",""
"Yes","1997","16-34 y.","West Germany","482","0.236091406100745","0.218586547898307","0.253596264303183"
"Yes","1997","16-34 y.","East Germany","204","0.266943198468924","0.235071113476265","0.298815283461584"
"Yes","1997","35-65 y.","West Germany","767","0.275513195263693","0.259618390967536","0.29140799955985"
"Yes","1997","35-65 y.","East Germany","436","0.337157493728858","0.311577363137999","0.362737624319718"
"Yes","1997","66 and older","West Germany","","","",""
"Yes","1997","66 and older","East Germany","","","",""
"No","1997","16-34 y.","West Germany","1779","0.763908593899255","0.746403735696817","0.781413452101693"
"No","1997","16-34 y.","East Germany","536","0.733056801531076","0.701184716538416","0.764928886523735"
"No","1997","35-65 y.","West Germany","2268","0.724486804736307","0.70859200044015","0.740381609032464"
"No","1997","35-65 y.","East Germany","876","0.662842506271142","0.637262375680282","0.688422636862001"
"No","1997","66 and older","West Germany","30","0.9457637106715","0.867292670530804","1.0242347508122"
"No","1997","66 and older","East Germany","","","",""
"Yes","1998","16-34 y.","West Germany","487","0.233163876761024","0.216140103225974","0.250187650296073"
"Yes","1998","16-34 y.","East Germany","198","0.263921643541314","0.232749475515477","0.29509381156715"
"Yes","1998","35-65 y.","West Germany","922","0.272270327007028","0.257631819131461","0.286908834882595"
"Yes","1998","35-65 y.","East Germany","459","0.339635257945493","0.314684808741843","0.364585707149144"
"Yes","1998","66 and older","West Germany","","","",""
"Yes","1998","66 and older","East Germany","","","",""
"No","1998","16-34 y.","West Germany","1883","0.766836123238976","0.749812349703927","0.783859896774025"
"No","1998","16-34 y.","East Germany","570","0.736078356458686","0.70490618843285","0.767250524484522"
"No","1998","35-65 y.","West Germany","2630","0.727729672992972","0.713091165117405","0.742368180868539"
"No","1998","35-65 y.","East Germany","925","0.660364742054506","0.635414292850856","0.685315191258157"
"No","1998","66 and older","West Germany","31","0.862632542804809","0.750184554805953","0.975080530803666"
"No","1998","66 and older","East Germany","","","",""
"Yes","1999","16-34 y.","West Germany","409","0.227650901649676","0.209686821413412","0.24561498188594"
"Yes","1999","16-34 y.","East Germany","174","0.244891511775285","0.212665127428203","0.277117896122368"
"Yes","1999","35-65 y.","West Germany","846","0.265525273699773","0.250510310193123","0.280540237206423"
"Yes","1999","35-65 y.","East Germany","446","0.341747881296584","0.316475379218034","0.367020383375133"
"Yes","1999","66 and older","West Germany","","","",""
"Yes","1999","66 and older","East Germany","","","",""
"No","1999","16-34 y.","West Germany","1684","0.772349098350324","0.75438501811406","0.790313178586588"
"No","1999","16-34 y.","East Germany","510","0.755108488224715","0.722882103877632","0.787334872571797"
"No","1999","35-65 y.","West Germany","2477","0.734474726300227","0.719459762793577","0.749489689806877"
"No","1999","35-65 y.","East Germany","907","0.658252118703416","0.632979616624867","0.683524620781966"
"No","1999","66 and older","West Germany","","","",""
"No","1999","66 and older","East Germany","","","",""
"Yes","2000","16-34 y.","West Germany","719","0.205317156357586","0.192178695078549","0.218455617636623"
"Yes","2000","16-34 y.","East Germany","232","0.209278954279385","0.184790036916264","0.233767871642505"
"Yes","2000","35-65 y.","West Germany","1726","0.244476135867512","0.234328127663098","0.254624144071927"
"Yes","2000","35-65 y.","East Germany","644","0.296311316829374","0.27694656795031","0.315676065708438"
"Yes","2000","66 and older","West Germany","","","",""
"Yes","2000","66 and older","East Germany","","","",""
"No","2000","16-34 y.","West Germany","2912","0.794682843642414","0.781544382363377","0.807821304921451"
"No","2000","16-34 y.","East Germany","828","0.790721045720615","0.766232128357495","0.815209963083736"
"No","2000","35-65 y.","West Germany","5164","0.755523864132488","0.745375855928074","0.765671872336902"
"No","2000","35-65 y.","East Germany","1492","0.703688683170626","0.684323934291562","0.72305343204969"
"No","2000","66 and older","West Germany","76","0.901847553304537","0.837840744435575","0.965854362173498"
"No","2000","66 and older","East Germany","","","",""
"Yes","2001","16-34 y.","West Germany","562","0.199367870306819","0.184768899094964","0.213966841518673"
"Yes","2001","16-34 y.","East Germany","199","0.231588862153659","0.203541381129872","0.259636343177447"
"Yes","2001","35-65 y.","West Germany","1536","0.246733954978939","0.23591976704708","0.257548142910798"
"Yes","2001","35-65 y.","East Germany","579","0.289104262023272","0.268899671255552","0.309308852790992"
"Yes","2001","66 and older","West Germany","","","",""
"Yes","2001","66 and older","East Germany","","","",""
"No","2001","16-34 y.","West Germany","2315","0.800632129693181","0.786033158481327","0.815231100905036"
"No","2001","16-34 y.","East Germany","670","0.768411137846341","0.740363656822553","0.796458618870128"
"No","2001","35-65 y.","West Germany","4569","0.753266045021061","0.742451857089202","0.76408023295292"
"No","2001","35-65 y.","East Germany","1355","0.710895737976728","0.690691147209008","0.731100328744448"
"No","2001","66 and older","West Germany","58","0.846907543981502","0.761946773631779","0.931868314331225"
"No","2001","66 and older","East Germany","","","",""
"Yes","2002","16-34 y.","West Germany","595","0.194828947195863","0.180651334925628","0.209006559466098"
"Yes","2002","16-34 y.","East Germany","199","0.209622189730226","0.183334387905539","0.235909991554913"
"Yes","2002","35-65 y.","West Germany","1986","0.247639931007682","0.237753790470259","0.257526071545105"
"Yes","2002","35-65 y.","East Germany","618","0.281898331668801","0.262184830299396","0.301611833038205"
"Yes","2002","66 and older","West Germany","","","",""
"Yes","2002","66 and older","East Germany","","","",""
"No","2002","16-34 y.","West Germany","2403","0.805171052804137","0.790993440533902","0.819348665074372"
"No","2002","16-34 y.","East Germany","722","0.790377810269774","0.764090008445087","0.816665612094461"
"No","2002","35-65 y.","West Germany","5337","0.752360068992318","0.742473928454895","0.762246209529741"
"No","2002","35-65 y.","East Germany","1383","0.718101668331199","0.698388166961795","0.737815169700604"
"No","2002","66 and older","West Germany","90","0.826024152641934","0.754528922818853","0.897519382465015"
"No","2002","66 and older","East Germany","","","",""
"Yes","2003","16-34 y.","West Germany","509","0.215982720733238","0.199913074046833","0.232052367419642"
"Yes","2003","16-34 y.","East Germany","183","0.233079562706241","0.202821249621055","0.263337875791427"
"Yes","2003","35-65 y.","West Germany","1825","0.258066871482614","0.247513455210241","0.268620287754987"
"Yes","2003","35-65 y.","East Germany","580","0.287530967842451","0.266928533662469","0.308133402022433"
"Yes","2003","66 and older","West Germany","","","",""
"Yes","2003","66 and older","East Germany","","","",""
"No","2003","16-34 y.","West Germany","2010","0.784017279266762","0.767947632580358","0.800086925953167"
"No","2003","16-34 y.","East Germany","567","0.766920437293759","0.736662124208573","0.797178750378945"
"No","2003","35-65 y.","West Germany","4779","0.741933128517386","0.731379712245013","0.752486544789759"
"No","2003","35-65 y.","East Germany","1274","0.712469032157549","0.691866597977566","0.733071466337531"
"No","2003","66 and older","West Germany","82","0.894470854132647","0.832689759782795","0.956251948482498"
"No","2003","66 and older","East Germany","","","",""
"Yes","2004","16-34 y.","West Germany","540","0.219829451680202","0.203864943953743","0.235793959406662"
"Yes","2004","16-34 y.","East Germany","178","0.198460444412293","0.171359408770685","0.225561480053901"
"Yes","2004","35-65 y.","West Germany","1809","0.249855511691073","0.239492985807379","0.260218037574768"
"Yes","2004","35-65 y.","East Germany","580","0.284217703169937","0.263926115620121","0.304509290719753"
"Yes","2004","66 and older","West Germany","","","",""
"Yes","2004","66 and older","East Germany","","","",""
"No","2004","16-34 y.","West Germany","2045","0.780170548319798","0.764206040593338","0.796135056046257"
"No","2004","16-34 y.","East Germany","654","0.801539555587707","0.774438519946099","0.828640591229315"
"No","2004","35-65 y.","West Germany","4896","0.750144488308927","0.739781962425232","0.760507014192621"
"No","2004","35-65 y.","East Germany","1318","0.715782296830063","0.695490709280247","0.736073884379879"
"No","2004","66 and older","West Germany","127","0.970026822764468","0.941156346096605","0.998897299432331"
"No","2004","66 and older","East Germany","","","",""
"Yes","2005","16-34 y.","West Germany","426","0.207594348684399","0.190434447698613","0.224754249670184"
"Yes","2005","16-34 y.","East Germany","148","0.238048622194792","0.205991117870658","0.270106126518926"
"Yes","2005","35-65 y.","West Germany","1708","0.253791439421734","0.242949513199654","0.264633365643814"
"Yes","2005","35-65 y.","East Germany","539","0.282660870740062","0.261545595571469","0.303776145908655"
"Yes","2005","66 and older","West Germany","","","",""
"Yes","2005","66 and older","East Germany","","","",""
"No","2005","16-34 y.","West Germany","1720","0.792405651315601","0.775245750329816","0.809565552301387"
"No","2005","16-34 y.","East Germany","530","0.761951377805208","0.729893873481074","0.794008882129342"
"No","2005","35-65 y.","West Germany","4481","0.746208560578266","0.735366634356186","0.757050486800346"
"No","2005","35-65 y.","East Germany","1208","0.717339129259938","0.696223854091344","0.738454404428531"
"No","2005","66 and older","West Germany","89","0.951888819745292","0.908395482213658","0.995382157276926"
"No","2005","66 and older","East Germany","","","",""
"Yes","2006","16-34 y.","West Germany","421","0.209905741361472","0.192302682238659","0.227508800484286"
"Yes","2006","16-34 y.","East Germany","135","0.233576331505533","0.200949064075841","0.266203598935225"
"Yes","2006","35-65 y.","West Germany","1819","0.253576412513663","0.243004874745711","0.264147950281614"
"Yes","2006","35-65 y.","East Germany","561","0.284074526358976","0.263372883589413","0.30477616912854"
"Yes","2006","66 and older","West Germany","","","",""
"Yes","2006","66 and older","East Germany","","","",""
"No","2006","16-34 y.","West Germany","1635","0.790094258638528","0.772491199515714","0.807697317761341"
"No","2006","16-34 y.","East Germany","511","0.766423668494467","0.733796401064775","0.799050935924159"
"No","2006","35-65 y.","West Germany","4687","0.746423587486337","0.735852049718386","0.756995125254289"
"No","2006","35-65 y.","East Germany","1262","0.715925473641024","0.695223830871461","0.736627116410587"
"No","2006","66 and older","West Germany","116","0.921390136191503","0.874210630566221","0.968569641816786"
"No","2006","66 and older","East Germany","","","",""
"Yes","2007","16-34 y.","West Germany","441","0.184635765003863","0.168564325118438","0.200707204889287"
"Yes","2007","16-34 y.","East Germany","149","0.216607573602557","0.187340300125475","0.24587484707964"
"Yes","2007","35-65 y.","West Germany","1758","0.250028072485826","0.239490440380791","0.260565704590861"
"Yes","2007","35-65 y.","East Germany","526","0.268661324293566","0.248418778791401","0.288903869795731"
"Yes","2007","66 and older","West Germany","","","",""
"Yes","2007","66 and older","East Germany","","","",""
"No","2007","16-34 y.","West Germany","1798","0.815364234996137","0.799292795110713","0.831435674881562"
"No","2007","16-34 y.","East Germany","612","0.783392426397443","0.754125152920361","0.812659699874525"
"No","2007","35-65 y.","West Germany","4729","0.749971927514174","0.739434295409139","0.760509559619209"
"No","2007","35-65 y.","East Germany","1316","0.731338675706434","0.711096130204269","0.751581221208599"
"No","2007","66 and older","West Germany","142","0.906301026218482","0.860424989147368","0.952177063289596"
"No","2007","66 and older","East Germany","","","",""
"Yes","2008","16-34 y.","West Germany","380","0.167394671489174","0.150752017972973","0.184037325005374"
"Yes","2008","16-34 y.","East Germany","123","0.204752333402171","0.174013687792313","0.23549097901203"
"Yes","2008","35-65 y.","West Germany","1628","0.252952803423734","0.2419156986072","0.263989908240269"
"Yes","2008","35-65 y.","East Germany","489","0.264312855466643","0.243563525441742","0.285062185491545"
"Yes","2008","66 and older","West Germany","","","",""
"Yes","2008","66 and older","East Germany","","","",""
"No","2008","16-34 y.","West Germany","1553","0.832605328510826","0.815962674994626","0.849247982027027"
"No","2008","16-34 y.","East Germany","539","0.795247666597829","0.76450902098797","0.825986312207687"
"No","2008","35-65 y.","West Germany","4331","0.747047196576266","0.736010091759731","0.7580843013928"
"No","2008","35-65 y.","East Germany","1246","0.735687144533357","0.714937814508455","0.756436474558258"
"No","2008","66 and older","West Germany","133","0.940539010667708","0.901642701725125","0.97943531961029"
"No","2008","66 and older","East Germany","","","",""
"Yes","2009","16-34 y.","West Germany","407","0.178880248795933","0.161821639162378","0.195938858429489"
"Yes","2009","16-34 y.","East Germany","118","0.190639057558639","0.160324914470149","0.220953200647128"
"Yes","2009","35-65 y.","West Germany","1532","0.246798585984374","0.235581189900941","0.258015982067807"
"Yes","2009","35-65 y.","East Germany","478","0.264413031453437","0.243702919015761","0.285123143891113"
"Yes","2009","66 and older","West Germany","","","",""
"Yes","2009","66 and older","East Germany","","","",""
"No","2009","16-34 y.","West Germany","1532","0.821119751204067","0.804061141570511","0.838178360837622"
"No","2009","16-34 y.","East Germany","527","0.809360942441361","0.779046799352872","0.839675085529851"
"No","2009","35-65 y.","West Germany","4143","0.753201414015626","0.741984017932193","0.764418810099059"
"No","2009","35-65 y.","East Germany","1264","0.735586968546563","0.714876856108887","0.756297080984239"
"No","2009","66 and older","West Germany","181","0.909306336680444","0.869407049784367","0.94920562357652"
"No","2009","66 and older","East Germany","","","",""
"Yes","2010","16-34 y.","West Germany","519","0.187544226781302","0.172815037855485","0.202273415707118"
"Yes","2010","16-34 y.","East Germany","151","0.199770010949753","0.17261824080683","0.226921781092676"
"Yes","2010","35-65 y.","West Germany","2004","0.253859849245349","0.244140764783979","0.263578933706719"
"Yes","2010","35-65 y.","East Germany","510","0.26126064967169","0.242362597907823","0.280158701435557"
"Yes","2010","66 and older","West Germany","","","",""
"Yes","2010","66 and older","East Germany","","","",""
"No","2010","16-34 y.","West Germany","2179","0.812455773218698","0.797726584292882","0.827184962144515"
"No","2010","16-34 y.","East Germany","682","0.800229989050247","0.773078218907324","0.82738175919317"
"No","2010","35-65 y.","West Germany","5699","0.746140150754651","0.736421066293281","0.755859235216021"
"No","2010","35-65 y.","East Germany","1566","0.73873935032831","0.719841298564443","0.757637402092177"
"No","2010","66 and older","West Germany","154","0.899785764882133","0.854512792821921","0.945058736942344"
"No","2010","66 and older","East Germany","","","",""
"Yes","2011","16-34 y.","West Germany","602","0.197937195642834","0.183750061620148","0.212124329665519"
"Yes","2011","16-34 y.","East Germany","167","0.182962492010828","0.157992390579969","0.207932593441687"
"Yes","2011","35-65 y.","West Germany","2507","0.258788621166052","0.249985288131577","0.267591954200527"
"Yes","2011","35-65 y.","East Germany","646","0.260413222388194","0.243116567599175","0.277709877177213"
"Yes","2011","66 and older","West Germany","","","",""
"Yes","2011","66 and older","East Germany","","","",""
"No","2011","16-34 y.","West Germany","2428","0.802062804357166","0.787875670334481","0.816249938379852"
"No","2011","16-34 y.","East Germany","754","0.817037507989172","0.792067406558313","0.842007609420031"
"No","2011","35-65 y.","West Germany","7001","0.741211378833948","0.732408045799473","0.750014711868423"
"No","2011","35-65 y.","East Germany","1827","0.739586777611806","0.722290122822787","0.756883432400825"
"No","2011","66 and older","West Germany","155","0.876364374635385","0.828008163838145","0.924720585432625"
"No","2011","66 and older","East Germany","","","",""
"Yes","2012","16-34 y.","West Germany","563","0.20589972540053","0.191129306398797","0.220670144402262"
"Yes","2012","16-34 y.","East Germany","146","0.196968398854639","0.16992805720931","0.224008740499968"
"Yes","2012","35-65 y.","West Germany","2483","0.257839795893485","0.248982953266954","0.266696638520015"
"Yes","2012","35-65 y.","East Germany","644","0.259423576004079","0.242234935207033","0.276612216801124"
"Yes","2012","66 and older","West Germany","","","",""
"Yes","2012","66 and older","East Germany","","","",""
"No","2012","16-34 y.","West Germany","2316","0.79410027459947","0.779329855597738","0.808870693601203"
"No","2012","16-34 y.","East Germany","685","0.803031601145361","0.775991259500032","0.83007194279069"
"No","2012","35-65 y.","West Germany","6888","0.742160204106515","0.733303361479985","0.751017046733046"
"No","2012","35-65 y.","East Germany","1854","0.740576423995921","0.723387783198876","0.757765064792967"
"No","2012","66 and older","West Germany","147","0.857929976607524","0.805449136613625","0.910410816601423"
"No","2012","66 and older","East Germany","","","",""
"Yes","2013","16-34 y.","West Germany","732","0.210379989019058","0.197635619252873","0.223124358785242"
"Yes","2013","16-34 y.","East Germany","169","0.223422587891407","0.195169835104807","0.251675340678007"
"Yes","2013","35-65 y.","West Germany","2546","0.265455716867821","0.256828557716186","0.274082876019455"
"Yes","2013","35-65 y.","East Germany","634","0.264532254395475","0.246848671088795","0.282215837702155"
"Yes","2013","66 and older","West Germany","","","",""
"Yes","2013","66 and older","East Germany","","","",""
"No","2013","16-34 y.","West Germany","3197","0.789620010980942","0.776875641214758","0.802364380747127"
"No","2013","16-34 y.","East Germany","666","0.776577412108593","0.748324659321993","0.804830164895194"
"No","2013","35-65 y.","West Germany","7518","0.734544283132179","0.725917123980545","0.743171442283814"
"No","2013","35-65 y.","East Germany","1756","0.735467745604525","0.717784162297845","0.753151328911205"
"No","2013","66 and older","West Germany","110","0.805595477578946","0.738590451055698","0.872600504102193"
"No","2013","66 and older","East Germany","","","",""
"Yes","2014","16-34 y.","West Germany","660","0.231877353618462","0.217601013936022","0.246153693300903"
"Yes","2014","16-34 y.","East Germany","132","0.21710786840381","0.186803723325321","0.2474120134823"
"Yes","2014","35-65 y.","West Germany","2372","0.272549966387747","0.263328166387969","0.281771766387525"
"Yes","2014","35-65 y.","East Germany","557","0.252653074550132","0.234445677958659","0.270860471141605"
"Yes","2014","66 and older","West Germany","30","0.18726495210025","0.128447327003751","0.24608257719675"
"Yes","2014","66 and older","East Germany","","","",""
