"pgoeffd","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1993","66 and older","Rural Area","","","",""
"No","1993","16-34 y.","Urban Area","1716","0.756850869401762","0.739030076278806","0.774671662524718"
"No","1993","16-34 y.","Rural Area","794","0.730616505825205","0.704482588599917","0.756750423050493"
"No","1993","35-65 y.","Urban Area","2248","0.718764576284734","0.702790143046966","0.734739009522502"
"No","1993","35-65 y.","Rural Area","1028","0.697464785577902","0.673990582156932","0.720938988998872"
"No","1993","66 and older","Urban Area","15","","",""
"No","1993","66 and older","Rural Area","9","","",""
"Yes","1994","16-34 y.","Urban Area","472","0.248210042052929","0.229596639072772","0.266823445033086"
"Yes","1994","16-34 y.","Rural Area","275","0.276132788849315","0.248546647958914","0.303718929739715"
"Yes","1994","35-65 y.","Urban Area","764","0.28314304411463","0.266608488366872","0.299677599862388"
"Yes","1994","35-65 y.","Rural Area","443","0.307989835099887","0.284153442540531","0.331826227659243"
"Yes","1994","66 and older","Urban Area","1","","",""
"Yes","1994","66 and older","Rural Area","","","",""
"No","1994","16-34 y.","Urban Area","1597","0.751789957947071","0.733176554966914","0.770403360927228"
"No","1994","16-34 y.","Rural Area","734","0.723867211150685","0.696281070260285","0.751453352041086"
"No","1994","35-65 y.","Urban Area","2088","0.71685695588537","0.700322400137612","0.733391511633128"
"No","1994","35-65 y.","Rural Area","998","0.692010164900113","0.668173772340757","0.715846557459469"
"No","1994","66 and older","Urban Area","14","","",""
"No","1994","66 and older","Rural Area","8","","",""
"Yes","1995","16-34 y.","Urban Area","463","0.240097370531263","0.222179190379738","0.258015550682788"
"Yes","1995","16-34 y.","Rural Area","288","0.239828860093846","0.214699077677631","0.264958642510062"
"Yes","1995","35-65 y.","Urban Area","793","0.28343390893229","0.267285812805439","0.29958200505914"
"Yes","1995","35-65 y.","Rural Area","465","0.320977820951503","0.297676239540191","0.344279402362815"
"Yes","1995","66 and older","Urban Area","1","","",""
"Yes","1995","66 and older","Rural Area","1","","",""
"No","1995","16-34 y.","Urban Area","1720","0.759902629468737","0.741984449317212","0.777820809620262"
"No","1995","16-34 y.","Rural Area","821","0.760171139906154","0.735041357489938","0.785300922322369"
"No","1995","35-65 y.","Urban Area","2199","0.71656609106771","0.70041799494086","0.732714187194561"
"No","1995","35-65 y.","Rural Area","1077","0.679022179048497","0.655720597637185","0.702323760459809"
"No","1995","66 and older","Urban Area","21","","",""
"No","1995","66 and older","Rural Area","8","","",""
"Yes","1996","16-34 y.","Urban Area","454","0.260189887874401","0.241066587178193","0.279313188570608"
"Yes","1996","16-34 y.","Rural Area","238","0.215076042371462","0.189571923581561","0.240580161161363"
"Yes","1996","35-65 y.","Urban Area","772","0.28443736757129","0.268031765451505","0.300842969691075"
"Yes","1996","35-65 y.","Rural Area","449","0.305055178681187","0.28183187614544","0.328278481216933"
"Yes","1996","66 and older","Urban Area","1","","",""
"Yes","1996","66 and older","Rural Area","1","","",""
"No","1996","16-34 y.","Urban Area","1568","0.739810112125599","0.720686811429392","0.758933412821807"
"No","1996","16-34 y.","Rural Area","759","0.784923957628538","0.759419838838637","0.810428076418439"
"No","1996","35-65 y.","Urban Area","2133","0.71556263242871","0.699157030308925","0.731968234548495"
"No","1996","35-65 y.","Rural Area","1061","0.694944821318813","0.671721518783067","0.71816812385456"
"No","1996","66 and older","Urban Area","24","","",""
"No","1996","66 and older","Rural Area","6","","",""
"Yes","1997","16-34 y.","Urban Area","437","0.246026935749403","0.227249591061811","0.264804280436996"
"Yes","1997","16-34 y.","Rural Area","249","0.231909278948615","0.205485168541611","0.258333389355618"
"Yes","1997","35-65 y.","Urban Area","764","0.284134251095761","0.267515085939243","0.30075341625228"
"Yes","1997","35-65 y.","Rural Area","439","0.291854165940703","0.268984674561033","0.314723657320374"
"Yes","1997","66 and older","Urban Area","2","","",""
"Yes","1997","66 and older","Rural Area","","","",""
"No","1997","16-34 y.","Urban Area","1584","0.753973064250597","0.735195719563005","0.772750408938189"
"No","1997","16-34 y.","Rural Area","731","0.768090721051385","0.741666610644382","0.794514831458389"
"No","1997","35-65 y.","Urban Area","2065","0.715865748904239","0.699246583747721","0.732484914060757"
"No","1997","35-65 y.","Rural Area","1079","0.708145834059297","0.685276342679626","0.731015325438967"
"No","1997","66 and older","Urban Area","27","","",""
"No","1997","66 and older","Rural Area","7","","",""
"Yes","1998","16-34 y.","Urban Area","442","0.243082652976122","0.22476287860137","0.261402427350874"
"Yes","1998","16-34 y.","Rural Area","243","0.229403963228148","0.203751912729034","0.255056013727262"
"Yes","1998","35-65 y.","Urban Area","864","0.274161768567659","0.258763427290131","0.289560109845188"
"Yes","1998","35-65 y.","Rural Area","517","0.308303309755737","0.286428556991458","0.330178062520016"
"Yes","1998","66 and older","Urban Area","4","","",""
"Yes","1998","66 and older","Rural Area","1","","",""
"No","1998","16-34 y.","Urban Area","1664","0.756917347023878","0.738597572649126","0.77523712139863"
"No","1998","16-34 y.","Rural Area","789","0.770596036771852","0.744943986272738","0.796248087270966"
"No","1998","35-65 y.","Urban Area","2360","0.725838231432341","0.710439890154812","0.741236572709869"
"No","1998","35-65 y.","Rural Area","1195","0.691696690244263","0.669821937479984","0.713571443008542"
"No","1998","66 and older","Urban Area","28","","",""
"No","1998","66 and older","Rural Area","8","","",""
"Yes","1999","16-34 y.","Urban Area","374","0.23629682891508","0.216944371283238","0.255649286546922"
"Yes","1999","16-34 y.","Rural Area","209","0.217414718408019","0.190847082788525","0.243982354027513"
"Yes","1999","35-65 y.","Urban Area","805","0.269270945098071","0.253536275635366","0.285005614560775"
"Yes","1999","35-65 y.","Rural Area","487","0.302500817350267","0.280153573970481","0.324848060730053"
"Yes","1999","66 and older","Urban Area","1","","",""
"Yes","1999","66 and older","Rural Area","1","","",""
"No","1999","16-34 y.","Urban Area","1477","0.76370317108492","0.744350713453078","0.783055628716761"
"No","1999","16-34 y.","Rural Area","717","0.782585281591981","0.756017645972487","0.809152917211475"
"No","1999","35-65 y.","Urban Area","2248","0.730729054901929","0.714994385439225","0.746463724364634"
"No","1999","35-65 y.","Rural Area","1136","0.697499182649733","0.675151939269947","0.719846426029518"
"No","1999","66 and older","Urban Area","24","","",""
"No","1999","66 and older","Rural Area","5","","",""
"Yes","2000","16-34 y.","Urban Area","616","0.207168393686693","0.19284627882792","0.221490508545466"
"Yes","2000","16-34 y.","Rural Area","335","0.203469638323211","0.183835456812985","0.223103819833437"
"Yes","2000","35-65 y.","Urban Area","1517","0.24854987580628","0.237582575826709","0.25951717578585"
"Yes","2000","35-65 y.","Rural Area","853","0.265074423503694","0.24943855462307","0.280710292384319"
"Yes","2000","66 and older","Urban Area","5","","",""
"Yes","2000","66 and older","Rural Area","2","","",""
"No","2000","16-34 y.","Urban Area","2460","0.792831606313307","0.778509491454534","0.80715372117208"
"No","2000","16-34 y.","Rural Area","1280","0.796530361676789","0.776896180166563","0.816164543187014"
"No","2000","35-65 y.","Urban Area","4448","0.75145012419372","0.74048282421415","0.762417424173291"
"No","2000","35-65 y.","Rural Area","2208","0.734925576496306","0.719289707615681","0.75056144537693"
"No","2000","66 and older","Urban Area","60","0.897310580524732","0.823515798135544","0.971105362913919"
"No","2000","66 and older","Rural Area","24","","",""
"Yes","2001","16-34 y.","Urban Area","503","0.210791339748072","0.194703051110908","0.226879628385237"
"Yes","2001","16-34 y.","Rural Area","258","0.192282697109025","0.17066783654735","0.213897557670699"
"Yes","2001","35-65 y.","Urban Area","1358","0.248763959784713","0.237171433555242","0.260356486014183"
"Yes","2001","35-65 y.","Rural Area","757","0.266679396918066","0.249989667589387","0.283369126246745"
"Yes","2001","66 and older","Urban Area","10","","",""
"Yes","2001","66 and older","Rural Area","2","","",""
"No","2001","16-34 y.","Urban Area","1966","0.789208660251928","0.773120371614763","0.805296948889092"
"No","2001","16-34 y.","Rural Area","1019","0.807717302890975","0.786102442329301","0.82933216345265"
"No","2001","35-65 y.","Urban Area","3984","0.751236040215287","0.739643513985817","0.762828566444758"
"No","2001","35-65 y.","Rural Area","1940","0.733320603081934","0.716630873753255","0.750010332410613"
"No","2001","66 and older","Urban Area","45","0.823296192855317","0.722494516833794","0.924097868876839"
"No","2001","66 and older","Rural Area","19","","",""
"Yes","2002","16-34 y.","Urban Area","534","0.202648133593747","0.18721489049784","0.218081376689654"
"Yes","2002","16-34 y.","Rural Area","260","0.186668855875199","0.165592993105416","0.207744718644981"
"Yes","2002","35-65 y.","Urban Area","1704","0.246565897252314","0.235981466251117","0.257150328253512"
"Yes","2002","35-65 y.","Rural Area","900","0.268781423974034","0.252794456968696","0.284768390979373"
"Yes","2002","66 and older","Urban Area","15","","",""
"Yes","2002","66 and older","Rural Area","3","","",""
"No","2002","16-34 y.","Urban Area","2072","0.797351866406253","0.781918623310346","0.81278510950216"
"No","2002","16-34 y.","Rural Area","1053","0.813331144124801","0.792255281355019","0.834407006894584"
"No","2002","35-65 y.","Urban Area","4666","0.753434102747686","0.742849671746489","0.764018533748883"
"No","2002","35-65 y.","Rural Area","2054","0.731218576025966","0.715231609020627","0.747205543031304"
"No","2002","66 and older","Urban Area","67","0.795165881438844","0.707814217498653","0.882517545379035"
"No","2002","66 and older","Rural Area","34","0.940474047203997","0.864235639958361","1.01671245444963"
"Yes","2003","16-34 y.","Urban Area","462","0.217574446806853","0.200309897870752","0.234838995742953"
"Yes","2003","16-34 y.","Rural Area","230","0.221620314587292","0.196792162966397","0.246448466208187"
"Yes","2003","35-65 y.","Urban Area","1592","0.260264459454248","0.248955642600672","0.271573276307823"
"Yes","2003","35-65 y.","Rural Area","813","0.269172781809186","0.252365049370111","0.285980514248262"
"Yes","2003","66 and older","Urban Area","11","","",""
"Yes","2003","66 and older","Rural Area","2","","",""
"No","2003","16-34 y.","Urban Area","1732","0.782425553193147","0.765161004257047","0.799690102129248"
"No","2003","16-34 y.","Rural Area","845","0.778379685412708","0.753551533791813","0.803207837033603"
"No","2003","35-65 y.","Urban Area","4191","0.739735540545752","0.728426723692177","0.751044357399328"
"No","2003","35-65 y.","Rural Area","1862","0.730827218190814","0.714019485751739","0.747634950629889"
"No","2003","66 and older","Urban Area","61","0.873068261350762","0.796174508486633","0.949962014214891"
"No","2003","66 and older","Rural Area","26","","",""
"Yes","2004","16-34 y.","Urban Area","482","0.224487299684678","0.20730408828717","0.241670511082185"
"Yes","2004","16-34 y.","Rural Area","236","0.197447170950068","0.174460074173836","0.220434267726299"
"Yes","2004","35-65 y.","Urban Area","1609","0.257100809534023","0.24590926384722","0.268292355220826"
"Yes","2004","35-65 y.","Rural Area","780","0.251535768661684","0.235304131824046","0.267767405499322"
"Yes","2004","66 and older","Urban Area","7","","",""
"Yes","2004","66 and older","Rural Area","1","","",""
"No","2004","16-34 y.","Urban Area","1783","0.775512700315322","0.758329488917815","0.79269591171283"
"No","2004","16-34 y.","Rural Area","916","0.802552829049932","0.779565732273701","0.825539925826164"
"No","2004","35-65 y.","Urban Area","4249","0.742899190465977","0.731707644779174","0.75409073615278"
"No","2004","35-65 y.","Rural Area","1965","0.748464231338316","0.732232594500678","0.764695868175954"
"No","2004","66 and older","Urban Area","101","0.959640628269819","0.92252449503956","0.996756761500077"
"No","2004","66 and older","Rural Area","41","0.98683500778718","0.952363837892135","1.02130617768223"
"Yes","2005","16-34 y.","Urban Area","393","0.210232005614078","0.191837352793018","0.228626658435138"
"Yes","2005","16-34 y.","Rural Area","181","0.218332490312917","0.19190928438456","0.244755696241274"
"Yes","2005","35-65 y.","Urban Area","1514","0.26115193389229","0.249431699043926","0.272872168740654"
"Yes","2005","35-65 y.","Rural Area","733","0.251803342468133","0.234923442838782","0.268683242097484"
"Yes","2005","66 and older","Urban Area","2","","",""
"Yes","2005","66 and older","Rural Area","3","","",""
"No","2005","16-34 y.","Urban Area","1492","0.789767994385922","0.771373341564862","0.808162647206982"
"No","2005","16-34 y.","Rural Area","758","0.781667509687083","0.755244303758726","0.80809071561544"
"No","2005","35-65 y.","Urban Area","3882","0.73884806610771","0.727127831259346","0.750568300956074"
"No","2005","35-65 y.","Rural Area","1807","0.748196657531867","0.731316757902516","0.765076557161218"
"No","2005","66 and older","Urban Area","76","0.977977594006158","0.945409103924152","1.01054608408816"
"No","2005","66 and older","Rural Area","29","","",""
"Yes","2006","16-34 y.","Urban Area","385","0.220661667242168","0.201380610008714","0.239942724475621"
"Yes","2006","16-34 y.","Rural Area","171","0.200583769445137","0.174778309767977","0.226389229122297"
"Yes","2006","35-65 y.","Urban Area","1591","0.258884976999037","0.247433113408178","0.270336840589897"
"Yes","2006","35-65 y.","Rural Area","789","0.257869439724404","0.241396023002863","0.274342856445946"
"Yes","2006","66 and older","Urban Area","4","","",""
"Yes","2006","66 and older","Rural Area","5","","",""
"No","2006","16-34 y.","Urban Area","1392","0.779338332757832","0.760057275524379","0.798619389991286"
"No","2006","16-34 y.","Rural Area","754","0.799416230554863","0.773610770877703","0.825221690232023"
"No","2006","35-65 y.","Urban Area","4029","0.741115023000963","0.729663159410103","0.752566886591822"
"No","2006","35-65 y.","Rural Area","1920","0.742130560275596","0.725657143554054","0.758603976997137"
"No","2006","66 and older","Urban Area","88","0.964864826139021","0.927241389040027","1.00248826323801"
"No","2006","66 and older","Rural Area","41","0.858191238084343","0.757379118493055","0.959003357675631"
"Yes","2007","16-34 y.","Urban Area","404","0.193974320473079","0.176478063517375","0.211470577428783"
"Yes","2007","16-34 y.","Rural Area","186","0.184338111376957","0.160748973632071","0.207927249121844"
"Yes","2007","35-65 y.","Urban Area","1562","0.261576929866323","0.25004756131116","0.273106298421486"
"Yes","2007","35-65 y.","Rural Area","722","0.234246758652101","0.218408771793611","0.250084745510591"
"Yes","2007","66 and older","Urban Area","8","","",""
"Yes","2007","66 and older","Rural Area","7","","",""
"No","2007","16-34 y.","Urban Area","1558","0.806025679526921","0.788529422571217","0.823521936482625"
"No","2007","16-34 y.","Rural Area","852","0.815661888623043","0.792072750878156","0.83925102636793"
"No","2007","35-65 y.","Urban Area","4020","0.738423070133677","0.726893701578514","0.74995243868884"
"No","2007","35-65 y.","Rural Area","2025","0.765753241347899","0.749915254489409","0.781591228206389"
"No","2007","66 and older","Urban Area","109","0.912132617821209","0.860834905560597","0.963430330081822"
"No","2007","66 and older","Rural Area","56","0.895838612076685","0.820408268826239","0.971268955327132"
"Yes","2008","16-34 y.","Urban Area","336","0.16538916099612","0.147917117020574","0.182861204971666"
"Yes","2008","16-34 y.","Rural Area","167","0.194075750022508","0.167612864651801","0.220538635393215"
"Yes","2008","35-65 y.","Urban Area","1446","0.262619727922606","0.250584757863569","0.274654697981643"
"Yes","2008","35-65 y.","Rural Area","671","0.237567437954663","0.221074728967703","0.254060146941623"
"Yes","2008","66 and older","Urban Area","5","","",""
"Yes","2008","66 and older","Rural Area","5","","",""
"No","2008","16-34 y.","Urban Area","1401","0.83461083900388","0.817138795028334","0.852082882979426"
"No","2008","16-34 y.","Rural Area","691","0.805924249977492","0.779461364606785","0.832387135348199"
"No","2008","35-65 y.","Urban Area","3690","0.737380272077394","0.725345302018357","0.749415242136431"
"No","2008","35-65 y.","Rural Area","1887","0.762432562045337","0.745939853058377","0.778925271032297"
"No","2008","66 and older","Urban Area","102","0.963964332765178","0.928649840331354","0.999278825199002"
"No","2008","66 and older","Rural Area","47","0.894884706493674","0.811523706473755","0.978245706513593"
"Yes","2009","16-34 y.","Urban Area","342","0.173458846398681","0.155554149262978","0.191363543534384"
"Yes","2009","16-34 y.","Rural Area","183","0.196941263613017","0.170454361860666","0.223428165365369"
"Yes","2009","35-65 y.","Urban Area","1349","0.250762766225203","0.238601483588588","0.262924048861819"
"Yes","2009","35-65 y.","Rural Area","661","0.247704487665715","0.230906818233387","0.264502157098042"
"Yes","2009","66 and older","Urban Area","11","","",""
"Yes","2009","66 and older","Rural Area","8","","",""
"No","2009","16-34 y.","Urban Area","1376","0.826541153601319","0.808636456465616","0.844445850737022"
"No","2009","16-34 y.","Rural Area","683","0.803058736386983","0.776571834634631","0.829545638139335"
"No","2009","35-65 y.","Urban Area","3531","0.749237233774797","0.737075951138181","0.761398516411412"
"No","2009","35-65 y.","Rural Area","1876","0.752295512334285","0.735497842901958","0.769093181766612"
"No","2009","66 and older","Urban Area","143","0.954672277825152","0.921817628658461","0.987526926991843"
"No","2009","66 and older","Rural Area","63","0.849953088476894","0.76688582087181","0.933020356081978"
"Yes","2010","16-34 y.","Urban Area","450","0.190261798686824","0.174122225673827","0.206401371699822"
"Yes","2010","16-34 y.","Rural Area","220","0.188407285271597","0.166807315573159","0.210007254970035"
"Yes","2010","35-65 y.","Urban Area","1712","0.260504310981889","0.24977048844894","0.271238133514838"
"Yes","2010","35-65 y.","Rural Area","802","0.243412094538004","0.22889305496594","0.257931134110069"
"Yes","2010","66 and older","Urban Area","7","","",""
"Yes","2010","66 and older","Rural Area","11","","",""
"No","2010","16-34 y.","Urban Area","1822","0.809738201313176","0.793598628300178","0.825877774326173"
"No","2010","16-34 y.","Rural Area","1039","0.811592714728403","0.789992745029965","0.833192684426841"
"No","2010","35-65 y.","Urban Area","4711","0.739495689018111","0.728761866485162","0.75022951155106"
"No","2010","35-65 y.","Rural Area","2554","0.756587905461996","0.742068865889931","0.77110694503406"
"No","2010","66 and older","Urban Area","124","0.944354210884619","0.905099113730186","0.983609308039053"
"No","2010","66 and older","Rural Area","45","0.806771441500595","0.703360857029287","0.910182025971902"
"Yes","2011","16-34 y.","Urban Area","512","0.202507907075989","0.186854804693641","0.218161009458338"
"Yes","2011","16-34 y.","Rural Area","257","0.179383748318374","0.159421084302628","0.199346412334119"
"Yes","2011","35-65 y.","Urban Area","2103","0.268251336764325","0.258381693088953","0.278120980439696"
"Yes","2011","35-65 y.","Rural Area","1050","0.240052315906399","0.227196194626797","0.252908437186001"
"Yes","2011","66 and older","Urban Area","13","","",""
"Yes","2011","66 and older","Rural Area","11","","",""
"No","2011","16-34 y.","Urban Area","2020","0.797492092924011","0.781838990541663","0.813145195306359"
"No","2011","16-34 y.","Rural Area","1162","0.820616251681626","0.800653587665881","0.840578915697372"
"No","2011","35-65 y.","Urban Area","5638","0.731748663235675","0.721879019560304","0.741618306911047"
"No","2011","35-65 y.","Rural Area","3190","0.759947684093601","0.747091562813999","0.772803805373203"
"No","2011","66 and older","Urban Area","123","0.911266534842649","0.86347565033562","0.959057419349677"
"No","2011","66 and older","Rural Area","51","0.830866269078965","0.737555251641102","0.924177286516827"
"Yes","2012","16-34 y.","Urban Area","490","0.218330314366478","0.201747294524959","0.234913334207997"
"Yes","2012","16-34 y.","Rural Area","219","0.171966606193334","0.151656026680558","0.192277185706111"
"Yes","2012","35-65 y.","Urban Area","2056","0.262783607944041","0.252884195433506","0.272683020454576"
"Yes","2012","35-65 y.","Rural Area","1071","0.248509911365592","0.235555624284753","0.26146419844643"
"Yes","2012","66 and older","Urban Area","14","","",""
"Yes","2012","66 and older","Rural Area","10","","",""
"No","2012","16-34 y.","Urban Area","1894","0.781669685633522","0.765086665792003","0.798252705475041"
"No","2012","16-34 y.","Rural Area","1107","0.828033393806666","0.807722814293889","0.848343973319442"
"No","2012","35-65 y.","Urban Area","5538","0.737216392055959","0.727316979545424","0.747115804566494"
"No","2012","35-65 y.","Rural Area","3204","0.751490088634408","0.73853580155357","0.764444375715247"
"No","2012","66 and older","Urban Area","126","0.914606575637492","0.868313775851569","0.960899375423415"
"No","2012","66 and older","Rural Area","40","0.756794926710888","0.637879414753974","0.875710438667803"
"Yes","2013","16-34 y.","Urban Area","627","0.215762331210051","0.201656938366486","0.229867724053616"
"Yes","2013","16-34 y.","Rural Area","274","0.204360656252037","0.183934156155289","0.224787156348784"
"Yes","2013","35-65 y.","Urban Area","2081","0.270980693824618","0.261337628870375","0.280623758778862"
