"pgoeffd","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Yes","1997","Full Time","direct migration background","120","0.187504361270164","0.162144691090685","0.212864031449644","1"
"Yes","1997","Full Time","indirect migration background","29","","","","1"
"Yes","1997","Part Time","no migration background","404","0.274293528009951","0.250947793957572","0.297639262062331","1"
"No","1998","Part Time","indirect migration background","94","0.823467565116668","0.752217173940895","0.894717956292442","2"
"No","1998","Full Time","no migration background","3378","0.714913407266425","0.701979186121381","0.727847628411468","2"
"No","1998","Full Time","direct migration background","724","0.794775266613509","0.767544694978441","0.822005838248576","2"
"No","1998","Full Time","indirect migration background","191","0.78542948627589","0.732489878145345","0.838369094406435","2"
"No","1998","Part Time","no migration background","1225","0.732771014757048","0.711821758722873","0.753720270791223","2"
"No","1998","Part Time","direct migration background","337","0.867265521373258","0.834098766641678","0.900432276104838","2"
"No","1998","Not Working","no migration background","65","0.642238457251171","0.54481767827784","0.739659236224502","2"
"No","1998","Not Working","direct migration background","17","","","","2"
"No","1998","Not Working","indirect migration background","13","","","","2"
"Yes","1998","Part Time","direct migration background","65","0.132734478626742","0.0995677238951615","0.165901233358322","1"
"Yes","1998","Part Time","indirect migration background","16","","","","1"
"Yes","1998","Not Working","no migration background","28","","","","1"
"Yes","1998","Not Working","direct migration background","8","","","","1"
"Yes","1998","Full Time","no migration background","1302","0.285086592733575","0.272152371588532","0.298020813878619","1"
"Yes","1998","Full Time","direct migration background","121","0.205224733386491","0.177994161751424","0.232455305021559","1"
"Yes","1998","Full Time","indirect migration background","40","0.21457051372411","0.161630905593564","0.267510121854655","1"
"Yes","1998","Part Time","no migration background","489","0.267228985242952","0.246279729208777","0.288178241277127","1"
"Yes","1998","Not Working","indirect migration background","2","","","","1"
"No","1999","Part Time","indirect migration background","99","0.859402573263114","0.794443658704273","0.924361487821956","2"
"No","1999","Not Working","no migration background","58","0.713911414075246","0.610942849275947","0.816879978874544","2"
"No","1999","Not Working","direct migration background","15","","","","2"
"No","1999","Not Working","indirect migration background","9","","","","2"
"No","1999","Full Time","no migration background","3149","0.716354433056724","0.702995841286991","0.729713024826458","2"
"No","1999","Full Time","direct migration background","681","0.821565201714885","0.794678337289923","0.848452066139848","2"
"No","1999","Full Time","indirect migration background","183","0.783014353842028","0.728297614549273","0.837731093134782","2"
"No","1999","Part Time","no migration background","1172","0.747819239661973","0.726487275204653","0.769151204119292","2"
"No","1999","Part Time","direct migration background","241","0.780130246469685","0.733877339223321","0.826383153716049","2"
"Yes","1999","Part Time","direct migration background","67","0.219869753530315","0.173616846283951","0.266122660776679","1"
"Yes","1999","Part Time","indirect migration background","11","","","","1"
"Yes","1999","Not Working","no migration background","16","","","","1"
"Yes","1999","Not Working","direct migration background","4","","","","1"
"Yes","1999","Full Time","no migration background","1225","0.283645566943276","0.270286975173542","0.297004158713009","1"
"Yes","1999","Full Time","direct migration background","98","0.178434798285114","0.151547933860152","0.205321662710077","1"
"Yes","1999","Full Time","indirect migration background","35","0.216985646157972","0.162268906865218","0.271702385450727","1"
"Yes","1999","Part Time","no migration background","420","0.252180760338027","0.230848795880708","0.273512724795347","1"
"Yes","1999","Not Working","indirect migration background","1","","","","1"
"No","2000","Part Time","indirect migration background","135","0.886650568209056","0.836742798321399","0.936558338096713","2"
"No","2000","Not Working","no migration background","155","0.7996526118722","0.744180383052629","0.855124840691771","2"
"No","2000","Not Working","direct migration background","44","0.898000776810142","0.814112769704599","0.981888783915685","2"
"No","2000","Not Working","indirect migration background","10","","","","2"
"No","2000","Full Time","no migration background","6085","0.747640855160847","0.738241073377074","0.75704063694462","2"
"No","2000","Full Time","direct migration background","1029","0.837429010218646","0.816544032069485","0.858313988367807","2"
"No","2000","Full Time","indirect migration background","283","0.859139040123729","0.821548619017244","0.896729461230214","2"
"No","2000","Part Time","no migration background","2296","0.755481889381454","0.740359349176802","0.770604429586105","2"
"No","2000","Part Time","direct migration background","443","0.796984852229699","0.763519850267537","0.830449854191861","2"
"Yes","2000","Part Time","direct migration background","112","0.203015147770301","0.169550145808139","0.236480149732463","1"
"Yes","2000","Part Time","indirect migration background","20","","","","1"
"Yes","2000","Not Working","no migration background","45","0.2003473881278","0.144875159308229","0.255819616947371","1"
"Yes","2000","Not Working","direct migration background","6","","","","1"
"Yes","2000","Full Time","no migration background","2118","0.252359144839153","0.24295936305538","0.261758926622926","1"
"Yes","2000","Full Time","direct migration background","170","0.162570989781354","0.141686011632193","0.183455967930515","1"
"Yes","2000","Full Time","indirect migration background","46","0.140860959876271","0.103270538769786","0.178451380982756","1"
"Yes","2000","Part Time","no migration background","807","0.244518110618546","0.229395570413895","0.259640650823198","1"
"Yes","2000","Not Working","indirect migration background","4","","","","1"
"No","2001","Part Time","indirect migration background","105","0.780408345974176","0.708126092103392","0.852690599844959","2"
"No","2001","Not Working","no migration background","121","0.812309991033602","0.749823816654099","0.874796165413106","2"
"No","2001","Not Working","direct migration background","22","","","","2"
"No","2001","Not Working","indirect migration background","11","","","","2"
"No","2001","Full Time","no migration background","5273","0.751647541869215","0.741597675921517","0.761697407816913","2"
"No","2001","Full Time","direct migration background","875","0.840546468039563","0.818035240768606","0.86305769531052","2"
"No","2001","Full Time","indirect migration background","252","0.840182278856657","0.798224401779866","0.882140155933449","2"
"No","2001","Part Time","no migration background","1927","0.738770335889783","0.722072703607531","0.755467968172034","2"
"No","2001","Part Time","direct migration background","387","0.818185903178014","0.783609969582019","0.85276183677401","2"
"Yes","2001","Part Time","direct migration background","91","0.181814096821986","0.14723816322599","0.216390030417981","1"
"Yes","2001","Part Time","indirect migration background","21","","","","1"
"Yes","2001","Not Working","no migration background","29","","","","1"
"Yes","2001","Not Working","direct migration background","5","","","","1"
"Yes","2001","Full Time","no migration background","1827","0.248352458130785","0.238302592183087","0.258402324078483","1"
"Yes","2001","Full Time","direct migration background","141","0.159453531960437","0.13694230468948","0.181964759231394","1"
"Yes","2001","Full Time","indirect migration background","41","0.159817721143343","0.117859844066551","0.201775598220134","1"
"Yes","2001","Part Time","no migration background","732","0.261229664110217","0.244532031827966","0.277927296392469","1"
"Yes","2001","Not Working","indirect migration background","1","","","","1"
"No","2002","Full Time","no migration background","5784","0.750392288265431","0.74086024291115","0.759924333619711","2"
"No","2002","Part Time","indirect migration background","118","0.859036624887245","0.801394091720721","0.91667915805377","2"
"No","2002","Not Working","no migration background","134","0.861213281946569","0.808461706879886","0.913964857013252","2"
"No","2002","Not Working","direct migration background","22","","","","2"
"No","2002","Not Working","indirect migration background","14","","","","2"
"No","2002","Full Time","direct migration background","863","0.859195833032965","0.837702541202134","0.880689124863796","2"
"No","2002","Full Time","indirect migration background","268","0.796588081408078","0.75234558429953","0.840830578516625","2"
"No","2002","Part Time","no migration background","2343","0.742452320444606","0.727478271456347","0.757426369432866","2"
"No","2002","Part Time","direct migration background","400","0.832921927278466","0.80005891510396","0.865784939452973","2"
"Yes","2002","Part Time","direct migration background","95","0.167078072721533","0.134215060547027","0.19994108489604","1"
"Yes","2002","Part Time","indirect migration background","22","","","","1"
"Yes","2002","Not Working","no migration background","31","0.138786718053431","0.0860351429867481","0.191538293120114","1"
"Yes","2002","Not Working","direct migration background","4","","","","1"
"Yes","2002","Not Working","indirect migration background","3","","","","1"
"Yes","2002","Full Time","no migration background","2135","0.249607711734569","0.240075666380289","0.25913975708885","1"
"Yes","2002","Full Time","direct migration background","143","0.140804166967035","0.119310875136204","0.162297458797866","1"
"Yes","2002","Full Time","indirect migration background","50","0.203411918591922","0.159169421483374","0.24765441570047","1"
"Yes","2002","Part Time","no migration background","933","0.257547679555394","0.242573630567135","0.272521728543653","1"
"No","2003","Full Time","no migration background","5127","0.735526123206307","0.725268465596205","0.745783780816408","2"
"No","2003","Part Time","indirect migration background","109","0.74117466822899","0.668622942569694","0.813726393888286","2"
"No","2003","Not Working","no migration background","97","0.788208506753264","0.715105997735626","0.861311015770902","2"
"No","2003","Not Working","direct migration background","14","","","","2"
"No","2003","Not Working","indirect migration background","10","","","","2"
"No","2003","Full Time","direct migration background","729","0.848998240347588","0.824970220909215","0.873026259785961","2"
"No","2003","Full Time","indirect migration background","239","0.783887746902402","0.735591584532074","0.832183909272731","2"
"No","2003","Part Time","no migration background","2042","0.740701747087169","0.724673820186769","0.756729673987568","2"
"No","2003","Part Time","direct migration background","350","0.818329646503644","0.782054481260467","0.854604811746821","2"
"Yes","2003","Part Time","direct migration background","84","0.181670353496356","0.145395188253179","0.217945518739533","1"
