"pgoeffd","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"No","1988","35-65 y.","lower secondary degree","1184","0.771506718357654","0.750468500439688","0.79254493627562"
"No","1988","35-65 y.","secondary school degree","310","0.666302345988354","0.623490162254052","0.709114529722656"
"No","1988","35-65 y.","college entrance qualification","179","0.451808686778061","0.402032016504535","0.501585357051588"
"No","1988","35-65 y.","Other degree","507","0.880287436791947","0.853637708842694","0.906937164741201"
"No","1988","35-65 y.","no degree/no degree yet","268","0.90228812950255","0.868744416882575","0.935831842122525"
"No","1988","66 and older","lower secondary degree","10","","",""
"No","1988","66 and older","secondary school degree","5","","",""
"No","1988","66 and older","college entrance qualification","11","","",""
"No","1988","66 and older","Other degree","","","",""
"No","1988","66 and older","no degree/no degree yet","","","",""
"Yes","1989","16-34 y.","lower secondary degree","147","0.156444397136947","0.135347281021926","0.177541513251969"
"Yes","1989","16-34 y.","secondary school degree","179","0.260701486429593","0.227801046107974","0.293601926751212"
"Yes","1989","16-34 y.","college entrance qualification","114","0.295399818973342","0.250236947667272","0.340562690279412"
"Yes","1989","16-34 y.","Other degree","13","","",""
"Yes","1989","16-34 y.","no degree/no degree yet","8","","",""
"Yes","1989","35-65 y.","lower secondary degree","327","0.22189797022038","0.200714075329399","0.243081865111361"
"Yes","1989","35-65 y.","secondary school degree","155","0.344600585152578","0.301029234676724","0.388171935628432"
"Yes","1989","35-65 y.","college entrance qualification","196","0.505388167988921","0.456082785876355","0.554693550101486"
"Yes","1989","35-65 y.","Other degree","56","0.0994758009217388","0.0753659983653603","0.123585603478117"
"Yes","1989","35-65 y.","no degree/no degree yet","37","0.133465071555587","0.0947233349794628","0.17220680813171"
"Yes","1989","66 and older","lower secondary degree","5","","",""
"Yes","1989","66 and older","secondary school degree","","","",""
"Yes","1989","66 and older","college entrance qualification","2","","",""
"Yes","1989","66 and older","Other degree","","","",""
"Yes","1989","66 and older","no degree/no degree yet","","","",""
"No","1989","16-34 y.","lower secondary degree","992","0.843555602863053","0.822458486748031","0.864652718978074"
"No","1989","16-34 y.","secondary school degree","505","0.739298513570407","0.706398073248788","0.772198953892026"
"No","1989","16-34 y.","college entrance qualification","278","0.704600181026658","0.659437309720588","0.749763052332728"
"No","1989","16-34 y.","Other degree","142","0.8887132294916","0.839204151981869","0.938222307001332"
"No","1989","16-34 y.","no degree/no degree yet","91","0.929307569472768","0.878818578904883","0.979796560040654"
"No","1989","35-65 y.","lower secondary degree","1151","0.77810202977962","0.756918134888639","0.799285924670601"
"No","1989","35-65 y.","secondary school degree","302","0.655399414847422","0.611828064371568","0.698970765323276"
"No","1989","35-65 y.","college entrance qualification","199","0.494611832011079","0.445306449898514","0.543917214123645"
"No","1989","35-65 y.","Other degree","536","0.900524199078261","0.876414396521883","0.92463400163464"
"No","1989","35-65 y.","no degree/no degree yet","259","0.866534928444413","0.82779319186829","0.905276665020537"
"No","1989","66 and older","lower secondary degree","12","","",""
"No","1989","66 and older","secondary school degree","3","","",""
"No","1989","66 and older","college entrance qualification","13","","",""
"No","1989","66 and older","Other degree","","","",""
"No","1989","66 and older","no degree/no degree yet","","","",""
"Yes","1990","16-34 y.","lower secondary degree","168","0.158116404268566","0.137701831382577","0.178530977154555"
"Yes","1990","16-34 y.","secondary school degree","531","0.292439204603834","0.270948169497669","0.31393023971"
"Yes","1990","16-34 y.","college entrance qualification","191","0.322525393145347","0.282804341128394","0.362246445162299"
"Yes","1990","16-34 y.","Other degree","15","","",""
"Yes","1990","16-34 y.","no degree/no degree yet","7","","",""
"Yes","1990","35-65 y.","lower secondary degree","591","0.2410922993564","0.223943437975262","0.258241160737538"
"Yes","1990","35-65 y.","secondary school degree","397","0.354772766955545","0.326689854923154","0.382855678987936"
"Yes","1990","35-65 y.","college entrance qualification","312","0.473822830074368","0.436321339791697","0.511324320357038"
"Yes","1990","35-65 y.","Other degree","59","0.109910987446397","0.084757851193866","0.135064123698928"
"Yes","1990","35-65 y.","no degree/no degree yet","33","0.137386815012198","0.0978335653731841","0.176940064651212"
"Yes","1990","66 and older","lower secondary degree","5","","",""
"Yes","1990","66 and older","secondary school degree","1","","",""
"Yes","1990","66 and older","college entrance qualification","2","","",""
"Yes","1990","66 and older","Other degree","","","",""
"Yes","1990","66 and older","no degree/no degree yet","","","",""
"No","1990","16-34 y.","lower secondary degree","1059","0.841883595731434","0.821469022845445","0.862298168617422"
"No","1990","16-34 y.","secondary school degree","1190","0.707560795396166","0.68606976029","0.729051830502331"
"No","1990","16-34 y.","college entrance qualification","341","0.677474606854653","0.637753554837701","0.717195658871606"
"No","1990","16-34 y.","Other degree","133","0.892898395285145","0.843076958997527","0.942719831572764"
"No","1990","16-34 y.","no degree/no degree yet","79","0.95068191193279","0.904918373493525","0.996445450372055"
"No","1990","35-65 y.","lower secondary degree","1799","0.7589077006436","0.741758839262462","0.776056562024738"
"No","1990","35-65 y.","secondary school degree","718","0.645227233044455","0.617144321012064","0.673310145076846"
"No","1990","35-65 y.","college entrance qualification","369","0.526177169925632","0.488675679642962","0.563678660208303"
"No","1990","35-65 y.","Other degree","535","0.890089012553603","0.864935876301072","0.915242148806134"
"No","1990","35-65 y.","no degree/no degree yet","258","0.862613184987802","0.823059935348788","0.902166434626816"
"No","1990","66 and older","lower secondary degree","19","","",""
"No","1990","66 and older","secondary school degree","7","","",""
"No","1990","66 and older","college entrance qualification","13","","",""
"No","1990","66 and older","Other degree","1","","",""
"No","1990","66 and older","no degree/no degree yet","","","",""
"Yes","1991","16-34 y.","lower secondary degree","174","0.167330916153103","0.146229083642031","0.188432748664174"
"Yes","1991","16-34 y.","secondary school degree","481","0.297000529947486","0.274362062089982","0.319638997804991"
"Yes","1991","16-34 y.","college entrance qualification","188","0.329250527249971","0.289614089092179","0.368886965407764"
"Yes","1991","16-34 y.","Other degree","15","","",""
"Yes","1991","16-34 y.","no degree/no degree yet","7","","",""
"Yes","1991","35-65 y.","lower secondary degree","511","0.234924005902095","0.217204505908627","0.252643505895562"
"Yes","1991","35-65 y.","secondary school degree","377","0.317640832925078","0.290568006201788","0.344713659648369"
"Yes","1991","35-65 y.","college entrance qualification","301","0.449674506599752","0.412690442090765","0.486658571108739"
"Yes","1991","35-65 y.","Other degree","64","0.118722470777131","0.0928621643610452","0.144582777193217"
"Yes","1991","35-65 y.","no degree/no degree yet","40","0.172130695177488","0.129342639876935","0.21491875047804"
"Yes","1991","66 and older","lower secondary degree","2","","",""
"Yes","1991","66 and older","secondary school degree","2","","",""
"Yes","1991","66 and older","college entrance qualification","","","",""
"Yes","1991","66 and older","Other degree","","","",""
"Yes","1991","66 and older","no degree/no degree yet","","","",""
"No","1991","16-34 y.","lower secondary degree","1028","0.832669083846897","0.811567251335826","0.853770916357969"
"No","1991","16-34 y.","secondary school degree","1084","0.702999470052514","0.680361002195009","0.725637937910018"
"No","1991","16-34 y.","college entrance qualification","352","0.670749472750029","0.631113034592236","0.710385910907821"
"No","1991","16-34 y.","Other degree","127","0.844126317262111","0.784464835244311","0.903787799279912"
"No","1991","16-34 y.","no degree/no degree yet","85","0.927532762459607","0.874555482066829","0.980510042852385"
"No","1991","35-65 y.","lower secondary degree","1688","0.765075994097905","0.747356494104438","0.782795494091373"
"No","1991","35-65 y.","secondary school degree","759","0.682359167074922","0.655286340351631","0.709431993798213"
"No","1991","35-65 y.","college entrance qualification","394","0.550325493400248","0.51334142889126","0.587309557909235"
"No","1991","35-65 y.","Other degree","537","0.881277529222869","0.855417222806783","0.907137835638955"
"No","1991","35-65 y.","no degree/no degree yet","259","0.827869304822512","0.78508124952196","0.870657360123065"
"No","1991","66 and older","lower secondary degree","15","","",""
"No","1991","66 and older","secondary school degree","6","","",""
"No","1991","66 and older","college entrance qualification","13","","",""
"No","1991","66 and older","Other degree","1","","",""
"No","1991","66 and older","no degree/no degree yet","","","",""
"Yes","1992","16-34 y.","lower secondary degree","163","0.146675037211054","0.125787240959903","0.167562833462206"
"Yes","1992","16-34 y.","secondary school degree","459","0.311307899081131","0.287207868327731","0.335407929834532"
"Yes","1992","16-34 y.","college entrance qualification","189","0.403758526476716","0.360622330780022","0.44689472217341"
"Yes","1992","16-34 y.","Other degree","12","","",""
