"pgoeffd","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1987","no migration background","Urban Area","880","0.287697219385744","0.271715189961938","0.30367924880955"
"Yes","1987","no migration background","Rural Area","241","0.242289227382107","0.215367033079841","0.269211421684373"
"Yes","1987","direct migration background","Urban Area","165","0.137027861908224","0.119614003368989","0.154441720447459"
"Yes","1987","direct migration background","Rural Area","21","","",""
"Yes","1987","indirect migration background","Urban Area","12","","",""
"Yes","1987","indirect migration background","Rural Area","2","","",""
"No","1987","no migration background","Urban Area","2202","0.712302780614256","0.69632075119045","0.728284810038062"
"No","1987","no migration background","Rural Area","732","0.757710772617893","0.730788578315627","0.784632966920159"
"No","1987","direct migration background","Urban Area","1333","0.862972138091776","0.845558279552541","0.880385996631011"
"No","1987","direct migration background","Rural Area","203","0.831550087639786","0.782537945609213","0.880562229670359"
"No","1987","indirect migration background","Urban Area","54","0.773666823431764","0.672711966073998","0.874621680789531"
"No","1987","indirect migration background","Rural Area","12","","",""
"Yes","1988","no migration background","Urban Area","848","0.282694426626352","0.266689613532456","0.298699239720248"
"Yes","1988","no migration background","Rural Area","217","0.236533813022848","0.208938811480688","0.264128814565008"
"Yes","1988","direct migration background","Urban Area","158","0.131701666212083","0.114331758057578","0.149071574366589"
"Yes","1988","direct migration background","Rural Area","18","","",""
"Yes","1988","indirect migration background","Urban Area","12","","",""
"Yes","1988","indirect migration background","Rural Area","3","","",""
"No","1988","no migration background","Urban Area","2193","0.717305573373648","0.701300760279752","0.733310386467544"
"No","1988","no migration background","Rural Area","694","0.763466186977152","0.735871185434992","0.791061188519312"
"No","1988","direct migration background","Urban Area","1298","0.868298333787916","0.850928425633411","0.885668241942422"
"No","1988","direct migration background","Rural Area","192","0.812170119700963","0.759344537979964","0.864995701421962"
"No","1988","indirect migration background","Urban Area","82","0.882263876726634","0.81711029747029","0.947417455982977"
"No","1988","indirect migration background","Rural Area","16","","",""
"Yes","1989","no migration background","Urban Area","827","0.266686143271284","0.251151413543247","0.282220872999322"
"Yes","1989","no migration background","Rural Area","226","0.246193641579619","0.21825012775623","0.274137155403007"
"Yes","1989","direct migration background","Urban Area","167","0.161861325254042","0.143007017471713","0.18071563303637"
"Yes","1989","direct migration background","Rural Area","21","","",""
"Yes","1989","indirect migration background","Urban Area","13","","",""
"Yes","1989","indirect migration background","Rural Area","4","","",""
"No","1989","no migration background","Urban Area","2286","0.733313856728716","0.717779127000678","0.748848586456753"
"No","1989","no migration background","Rural Area","687","0.753806358420381","0.725862844596993","0.78174987224377"
"No","1989","direct migration background","Urban Area","1299","0.838138674745958","0.81928436696363","0.856992982528287"
"No","1989","direct migration background","Rural Area","193","0.808927186645881","0.756253299464961","0.861601073826801"
"No","1989","indirect migration background","Urban Area","101","0.877191165288481","0.816941089838131","0.937441240738831"
"No","1989","indirect migration background","Rural Area","17","","",""
"Yes","1990","no migration background","Urban Area","1224","0.286203223559914","0.272351271218173","0.300055175901654"
"Yes","1990","no migration background","Rural Area","863","0.279239618247401","0.263020312185921","0.295458924308881"
"Yes","1990","direct migration background","Urban Area","173","0.1618248170935","0.142763036047012","0.180886598139989"
"Yes","1990","direct migration background","Rural Area","38","0.207985515283527","0.160275582970174","0.255695447596881"
"Yes","1990","indirect migration background","Urban Area","16","","",""
"Yes","1990","indirect migration background","Rural Area","3","","",""
"No","1990","no migration background","Urban Area","2866","0.713796776440086","0.699944824098346","0.727648728781827"
"No","1990","no migration background","Rural Area","2076","0.720760381752599","0.704541075691119","0.736979687814079"
"No","1990","direct migration background","Urban Area","1261","0.8381751829065","0.819113401860011","0.857236963952988"
"No","1990","direct migration background","Rural Area","240","0.792014484716473","0.744304552403119","0.839724417029826"
"No","1990","indirect migration background","Urban Area","117","0.881861683602616","0.827006471856953","0.936716895348279"
"No","1990","indirect migration background","Rural Area","23","","",""
"Yes","1991","no migration background","Urban Area","1151","0.284971141196721","0.270943717092285","0.298998565301158"
"Yes","1991","no migration background","Rural Area","778","0.27851292735236","0.261607632303752","0.295418222400968"
"Yes","1991","direct migration background","Urban Area","188","0.155749141237316","0.137174256027384","0.174324026447249"
"Yes","1991","direct migration background","Rural Area","35","0.204364939696295","0.155997554191462","0.252732325201128"
"Yes","1991","indirect migration background","Urban Area","25","","",""
"Yes","1991","indirect migration background","Rural Area","2","","",""
"No","1991","no migration background","Urban Area","2827","0.715028858803278","0.701001434698842","0.729056282907715"
"No","1991","no migration background","Rural Area","1923","0.72148707264764","0.704581777599032","0.738392367696248"
"No","1991","direct migration background","Urban Area","1276","0.844250858762684","0.825675973552751","0.862825743972616"
"No","1991","direct migration background","Rural Area","232","0.795635060303705","0.747267674798872","0.844002445808538"
"No","1991","indirect migration background","Urban Area","161","0.877971233459545","0.830931714384101","0.925010752534989"
"No","1991","indirect migration background","Rural Area","23","","",""
"Yes","1992","no migration background","Urban Area","1122","0.295097715892707","0.280523470477382","0.309671961308032"
"Yes","1992","no migration background","Rural Area","762","0.303302225720088","0.284787501301538","0.321816950138639"
"Yes","1992","direct migration background","Urban Area","177","0.161116242584379","0.141476033067516","0.180756452101241"
"Yes","1992","direct migration background","Rural Area","36","0.253336232911284","0.198539886725441","0.308132579097127"
"Yes","1992","indirect migration background","Urban Area","30","0.167681248798791","0.114838601584947","0.220523896012635"
"Yes","1992","indirect migration background","Rural Area","6","","",""
"No","1992","no migration background","Urban Area","2640","0.704902284107293","0.690328038691968","0.719476529522618"
"No","1992","no migration background","Rural Area","1606","0.696697774279911","0.678183049861361","0.715212498698462"
"No","1992","direct migration background","Urban Area","1169","0.838883757415621","0.819243547898759","0.858523966932484"
"No","1992","direct migration background","Rural Area","206","0.746663767088716","0.691867420902873","0.801460113274559"
"No","1992","indirect migration background","Urban Area","162","0.832318751201209","0.779476103987365","0.885161398415053"
"No","1992","indirect migration background","Rural Area","28","","",""
"Yes","1993","no migration background","Urban Area","1109","0.288591242049036","0.274092916292358","0.303089567805714"
"Yes","1993","no migration background","Rural Area","718","0.28840677059007","0.26993677687311","0.30687676430703"
"Yes","1993","direct migration background","Urban Area","165","0.149474520622853","0.130039899548313","0.168909141697393"
"Yes","1993","direct migration background","Rural Area","31","0.293149727494483","0.23432056912019","0.351978885868776"
"Yes","1993","indirect migration background","Urban Area","34","0.155819789904011","0.110124724982227","0.201514854825795"
"Yes","1993","indirect migration background","Rural Area","7","","",""
"No","1993","no migration background","Urban Area","2643","0.711408757950964","0.696910432194286","0.725907083707641"
"No","1993","no migration background","Rural Area","1593","0.71159322940993","0.69312323569297","0.73006322312689"
"No","1993","direct migration background","Urban Area","1128","0.850525479377147","0.831090858302607","0.869960100451687"
"No","1993","direct migration background","Rural Area","199","0.706850272505517","0.648021114131224","0.76567943087981"
"No","1993","indirect migration background","Urban Area","208","0.844180210095989","0.798485145174205","0.889875275017773"
"No","1993","indirect migration background","Rural Area","39","0.861545170652253","0.761737882478795","0.961352458825711"
"Yes","1994","no migration background","Urban Area","1051","0.291906979152178","0.27696618938998","0.306847768914377"
"Yes","1994","no migration background","Rural Area","684","0.293441731974936","0.274487762602134","0.312395701347738"
"Yes","1994","direct migration background","Urban Area","146","0.147896271830406","0.12725275093129","0.168539792729523"
"Yes","1994","direct migration background","Rural Area","25","","",""
"Yes","1994","indirect migration background","Urban Area","40","0.197862850419581","0.147772807934922","0.247952892904241"
"Yes","1994","indirect migration background","Rural Area","9","","",""
"No","1994","no migration background","Urban Area","2506","0.708093020847822","0.693152231085623","0.72303381061002"
"No","1994","no migration background","Rural Area","1533","0.706558268025064","0.687604298652261","0.725512237397866"
"No","1994","direct migration background","Urban Area","990","0.852103728169594","0.831460207270477","0.87274724906871"
"No","1994","direct migration background","Rural Area","174","0.71984668491062","0.657453171704851","0.782240198116389"
"No","1994","indirect migration background","Urban Area","203","0.802137149580418","0.752047107095759","0.852227192065078"
"No","1994","indirect migration background","Rural Area","33","0.645777745688942","0.501132919337998","0.790422572039886"
"Yes","1995","no migration background","Urban Area","1034","0.288694192685091","0.273938448238661","0.303449937131521"
"Yes","1995","no migration background","Rural Area","705","0.287774316882151","0.269536040483109","0.306012593281192"
"Yes","1995","direct migration background","Urban Area","184","0.163654975356768","0.143613226619217","0.183696724094318"
"Yes","1995","direct migration background","Rural Area","43","0.316906821122007","0.259000227456645","0.374813414787368"
"Yes","1995","indirect migration background","Urban Area","39","0.180393181668752","0.134097765275658","0.226688598061846"
"Yes","1995","indirect migration background","Rural Area","6","","",""
"No","1995","no migration background","Urban Area","2589","0.711305807314909","0.696550062868479","0.726061551761339"
"No","1995","no migration background","Rural Area","1662","0.712225683117849","0.693987406718808","0.730463959516891"
"No","1995","direct migration background","Urban Area","1125","0.836345024643232","0.816303275905682","0.856386773380783"
"No","1995","direct migration background","Rural Area","205","0.683093178877993","0.625186585212632","0.740999772543355"
"No","1995","indirect migration background","Urban Area","226","0.819606818331248","0.773311401938154","0.865902234724342"
"No","1995","indirect migration background","Rural Area","39","0.845490420790103","0.739887997359887","0.951092844220318"
"Yes","1996","no migration background","Urban Area","1018","0.296342528114813","0.281240040786761","0.311445015442864"
"Yes","1996","no migration background","Rural Area","651","0.280187531529862","0.261614735032716","0.298760328027008"
"Yes","1996","direct migration background","Urban Area","180","0.179553365864257","0.157626235239861","0.201480496488652"
"Yes","1996","direct migration background","Rural Area","31","0.194332289844207","0.142630295588095","0.246034284100319"
"Yes","1996","indirect migration background","Urban Area","29","","",""
"Yes","1996","indirect migration background","Rural Area","6","","",""
"No","1996","no migration background","Urban Area","2494","0.703657471885187","0.688554984557136","0.718759959213239"
"No","1996","no migration background","Rural Area","1595","0.719812468470138","0.701239671972992","0.738385264967284"
"No","1996","direct migration background","Urban Area","997","0.820446634135743","0.798519503511348","0.842373764760139"
"No","1996","direct migration background","Rural Area","194","0.805667710155793","0.75396571589968","0.857369704411905"
"No","1996","indirect migration background","Urban Area","234","0.876194353736687","0.83638907516248","0.915999632310893"
"No","1996","indirect migration background","Rural Area","37","0.885028086351102","0.789685205594242","0.980370967107963"
"Yes","1997","no migration background","Urban Area","997","0.287275703662094","0.272233258475912","0.302318148848277"
"Yes","1997","no migration background","Rural Area","639","0.270174850854271","0.25177361586143","0.288576085847111"
"Yes","1997","direct migration background","Urban Area","166","0.184967145158258","0.162063826840618","0.207870463475899"
"Yes","1997","direct migration background","Rural Area","39","0.255194045646149","0.197187759247114","0.313200332045184"
"Yes","1997","indirect migration background","Urban Area","40","0.1903863049739","0.145885355995979","0.23488725395182"
"Yes","1997","indirect migration background","Rural Area","10","","",""
"No","1997","no migration background","Urban Area","2479","0.712724296337906","0.697681851151723","0.727766741524088"
"No","1997","no migration background","Rural Area","1598","0.729825149145729","0.711423914152888","0.74822638413857"
"No","1997","direct migration background","Urban Area","938","0.815032854841742","0.792129536524101","0.837936173159382"
"No","1997","direct migration background","Rural Area","178","0.744805954353851","0.686799667954816","0.802812240752886"
"No","1997","indirect migration background","Urban Area","259","0.8096136950261","0.76511274604818","0.854114644004021"
"No","1997","indirect migration background","Rural Area","41","0.781272726056812","0.667819772927505","0.894725679186119"
"Yes","1998","no migration background","Urban Area","1105","0.279997673616431","0.266053682444543","0.29394166478832"
"Yes","1998","no migration background","Rural Area","714","0.284154051564358","0.266488888904174","0.301819214224543"
"Yes","1998","direct migration background","Urban Area","161","0.184492651660097","0.161316280827581","0.207669022492612"
"Yes","1998","direct migration background","Rural Area","33","0.226038117668484","0.167482214699424","0.284594020637545"
"Yes","1998","indirect migration background","Urban Area","44","0.205055806553185","0.159595628400371","0.250515984705999"
"Yes","1998","indirect migration background","Rural Area","14","","",""
"No","1998","no migration background","Urban Area","2878","0.720002326383568","0.70605833521168","0.733946317555457"
"No","1998","no migration background","Rural Area","1790","0.715845948435642","0.698180785775457","0.733511111095826"
"No","1998","direct migration background","Urban Area","915","0.815507348339903","0.792330977507388","0.838683719172419"
"No","1998","direct migration background","Rural Area","163","0.773961882331516","0.715405979362455","0.832517785300576"
"No","1998","indirect migration background","Urban Area","259","0.794944193446815","0.749484015294001","0.840404371599629"
"No","1998","indirect migration background","Rural Area","39","0.765162152776983","0.651039740861001","0.879284564692965"
"Yes","1999","no migration background","Urban Area","1002","0.274654851568571","0.260259428599455","0.289050274537687"
"Yes","1999","no migration background","Rural Area","659","0.276004384493819","0.257919426479061","0.294089342508578"
"Yes","1999","direct migration background","Urban Area","140","0.181320542326621","0.156729740159227","0.205911344494015"
"Yes","1999","direct migration background","Rural Area","29","","",""
"Yes","1999","indirect migration background","Urban Area","38","0.187170898250295","0.142509422922306","0.231832373578285"
"Yes","1999","indirect migration background","Rural Area","9","","",""
"No","1999","no migration background","Urban Area","2691","0.725345148431429","0.710949725462313","0.739740571400545"
"No","1999","no migration background","Rural Area","1688","0.723995615506181","0.705910657491422","0.742080573520939"
"No","1999","direct migration background","Urban Area","803","0.818679457673379","0.794088655505985","0.843270259840773"
"No","1999","direct migration background","Rural Area","134","0.743963659602143","0.676962710399966","0.81096460880432"
"No","1999","indirect migration background","Urban Area","255","0.812829101749705","0.768167626421715","0.857490577077694"
"No","1999","indirect migration background","Rural Area","36","0.798806751051243","0.681676412283195","0.915937089819291"
"Yes","2000","no migration background","Urban Area","1844","0.251492747582379","0.241440257247725","0.261545237917033"
"Yes","2000","no migration background","Rural Area","1127","0.245050589166026","0.232271778121335","0.257829400210716"
"Yes","2000","direct migration background","Urban Area","235","0.164001250426262","0.145349845662775","0.182652655189748"
"Yes","2000","direct migration background","Rural Area","53","0.22269622418564","0.174811068080655","0.270581380290625"
"Yes","2000","indirect migration background","Urban Area","59","0.137292456274141","0.104988182537941","0.169596730010342"
"Yes","2000","indirect migration background","Rural Area","11","","",""
"No","2000","no migration background","Urban Area","5312","0.748507252417621","0.738454762082967","0.758559742752275"
"No","2000","no migration background","Rural Area","3225","0.754949410833974","0.742170599789284","0.767728221878665"
"No","2000","direct migration background","Urban Area","1279","0.835998749573738","0.817347344810252","0.854650154337225"
"No","2000","direct migration background","Rural Area","237","0.77730377581436","0.729418619709375","0.825188931919345"
"No","2000","indirect migration background","Urban Area","377","0.862707543725859","0.830403269989658","0.895011817462059"
"No","2000","indirect migration background","Rural Area","51","0.874418481466529","0.791933520071217","0.956903442861841"
"Yes","2001","no migration background","Urban Area","1620","0.25418555516949","0.243360793250718","0.265010317088262"
"Yes","2001","no migration background","Rural Area","968","0.244475557996313","0.2306162473943","0.258334868598327"
"Yes","2001","direct migration background","Urban Area","192","0.15393158952919","0.134130487073799","0.173732691984581"
"Yes","2001","direct migration background","Rural Area","45","0.226426351544015","0.174020550128586","0.278832152959444"
"Yes","2001","indirect migration background","Urban Area","59","0.186615419730674","0.14718293102173","0.226047908439619"
"Yes","2001","indirect migration background","Rural Area","4","","",""
"No","2001","no migration background","Urban Area","4595","0.74581444483051","0.734989682911738","0.756639206749282"
"No","2001","no migration background","Rural Area","2726","0.755524442003687","0.741665131401673","0.7693837526057"
"No","2001","direct migration background","Urban Area","1084","0.84606841047081","0.826267308015419","0.865869512926201"
"No","2001","direct migration background","Rural Area","200","0.773573648455986","0.721167847040557","0.825979449871414"
"No","2001","indirect migration background","Urban Area","316","0.813384580269326","0.773952091560381","0.85281706897827"
"No","2001","indirect migration background","Rural Area","52","0.953070498287536","0.897679452820143","1.00846154375493"
"Yes","2002","no migration background","Urban Area","1984","0.251711535412353","0.241793107594754","0.261629963229952"
"Yes","2002","no migration background","Rural Area","1115","0.24694302034454","0.233587551834019","0.26029848885506"
"Yes","2002","direct migration background","Urban Area","199","0.144203200697819","0.125003237968569","0.163403163427068"
"Yes","2002","direct migration background","Rural Area","43","0.172391689984268","0.124703575142006","0.220079804826529"
"Yes","2002","indirect migration background","Urban Area","70","0.201711675135815","0.163197068164576","0.240226282107054"
"Yes","2002","indirect migration background","Rural Area","5","","",""
"No","2002","no migration background","Urban Area","5371","0.748288464587647","0.738370036770048","0.758206892405246"
"No","2002","no migration background","Rural Area","2890","0.75305697965546","0.73970151114494","0.766412448165981"
"No","2002","direct migration background","Urban Area","1087","0.855796799302181","0.836596836572932","0.874996762031431"
"No","2002","direct migration background","Rural Area","198","0.827608310015732","0.779920195173471","0.875296424857994"
"No","2002","indirect migration background","Urban Area","347","0.798288324864185","0.759773717892946","0.836802931835424"
"No","2002","indirect migration background","Rural Area","53","0.946154946540802","0.888066717978602","1.004243175103"
"Yes","2003","no migration background","Urban Area","1824","0.263488586207345","0.252835655443128","0.274141516971562"
"Yes","2003","no migration background","Rural Area","1004","0.260074932412652","0.245593495790357","0.274556369034946"
"Yes","2003","direct migration background","Urban Area","175","0.158200157572841","0.13665423128653","0.179746083859152"
"Yes","2003","direct migration background","Rural Area","34","0.169528148521467","0.117526577890049","0.221529719152885"
"Yes","2003","indirect migration background","Urban Area","66","0.241585529336614","0.19843452036107","0.284736538312157"
"Yes","2003","indirect migration background","Rural Area","7","","",""
"No","2003","no migration background","Urban Area","4745","0.736511413792655","0.725858483028438","0.747164344556872"
"No","2003","no migration background","Rural Area","2521","0.739925067587348","0.725443630965054","0.754406504209643"
"No","2003","direct migration background","Urban Area","927","0.841799842427159","0.820253916140848","0.86334576871347"
"No","2003","direct migration background","Rural Area","166","0.830471851478533","0.778470280847115","0.882473422109951"
"No","2003","indirect migration background","Urban Area","312","0.758414470663386","0.715263461687843","0.80156547963893"
"No","2003","indirect migration background","Rural Area","46","0.896306579918018","0.814230983368729","0.978382176467307"
"Yes","2004","no migration background","Urban Area","1854","0.259881819890802","0.249410026294017","0.270353613487587"
"Yes","2004","no migration background","Rural Area","976","0.236109273085188","0.222371129856532","0.249847416313844"
"Yes","2004","direct migration background","Urban Area","178","0.169351248149912","0.147085476469538","0.191617019830285"
"Yes","2004","direct migration background","Rural Area","32","0.189224594024988","0.135475384503447","0.242973803546528"
"Yes","2004","indirect migration background","Urban Area","66","0.219090162831668","0.178706337588607","0.259473988074728"
"Yes","2004","indirect migration background","Rural Area","9","","",""
"No","2004","no migration background","Urban Area","4884","0.740118180109198","0.729646386512413","0.750589973705983"
"No","2004","no migration background","Rural Area","2695","0.763890726914812","0.750152583686156","0.777628870143468"
"No","2004","direct migration background","Urban Area","912","0.830648751850088","0.808382980169715","0.852914523530462"
"No","2004","direct migration background","Rural Area","172","0.810775405975013","0.757026196453472","0.864524615496553"
"No","2004","indirect migration background","Urban Area","337","0.780909837168332","0.740526011925272","0.821293662411393"
"No","2004","indirect migration background","Rural Area","55","0.863774935921577","0.779734767620416","0.947815104222738"
"Yes","2005","no migration background","Urban Area","1689","0.263737796531783","0.252624777411931","0.274850815651636"
"Yes","2005","no migration background","Rural Area","881","0.244938429452622","0.230209808457936","0.259667050447309"
"Yes","2005","direct migration background","Urban Area","159","0.162702520840943","0.139219605223721","0.186185436458165"
"Yes","2005","direct migration background","Rural Area","31","0.22602326836215","0.165090721499725","0.286955815224574"
"Yes","2005","indirect migration background","Urban Area","61","0.171051332424833","0.132682880336961","0.209419784512704"
"Yes","2005","indirect migration background","Rural Area","5","","",""
"No","2005","no migration background","Urban Area","4351","0.736262203468217","0.725149184348364","0.747375222588069"
"No","2005","no migration background","Rural Area","2394","0.755061570547378","0.740332949552691","0.769790191542064"
"No","2005","direct migration background","Urban Area","790","0.837297479159057","0.813814563541835","0.860780394776279"
"No","2005","direct migration background","Rural Area","150","0.77397673163785","0.713044184775426","0.834909278500275"
"No","2005","indirect migration background","Urban Area","309","0.828948667575167","0.790580215487296","0.867317119663039"
"No","2005","indirect migration background","Rural Area","50","0.942245599489256","0.880594426310514","1.003896772668"
"Yes","2006","no migration background","Urban Area","1761","0.265676632394947","0.254679544503564","0.27667372028633"
"Yes","2006","no migration background","Rural Area","929","0.248097504870813","0.233647552595751","0.262547457145876"
"Yes","2006","direct migration background","Urban Area","156","0.1563413806936","0.1330500126333","0.1796327487539"
"Yes","2006","direct migration background","Rural Area","30","0.18976337882317","0.133562976531954","0.245963781114386"
"Yes","2006","indirect migration background","Urban Area","63","0.198201812938566","0.15690724523834","0.239496380638793"
"Yes","2006","indirect migration background","Rural Area","6","","",""
"No","2006","no migration background","Urban Area","4436","0.734323367605053","0.72332627971367","0.745320455496436"
"No","2006","no migration background","Rural Area","2503","0.751902495129187","0.737452542854124","0.766352447404249"
"No","2006","direct migration background","Urban Area","778","0.8436586193064","0.820367251246101","0.8669499873667"
"No","2006","direct migration background","Rural Area","157","0.81023662117683","0.754036218885614","0.866437023468046"
"No","2006","indirect migration background","Urban Area","295","0.801798187061434","0.760503619361207","0.843092754761661"
"No","2006","indirect migration background","Rural Area","55","0.95991059511179","0.910682461480557","1.00913872874302"
"Yes","2007","no migration background","Urban Area","1745","0.262689650475242","0.251862591853144","0.27351670909734"
"Yes","2007","no migration background","Rural Area","867","0.220586561997444","0.207004051532864","0.234169072462023"
"Yes","2007","direct migration background","Urban Area","149","0.141919496411358","0.118928303597262","0.164910689225455"
"Yes","2007","direct migration background","Rural Area","35","0.190342288455816","0.134957843454734","0.245726733456897"
"Yes","2007","indirect migration background","Urban Area","80","0.165640702367554","0.130462023013689","0.200819381721418"
"Yes","2007","indirect migration background","Rural Area","13","","",""
"No","2007","no migration background","Urban Area","4602","0.737310349524758","0.72648329090266","0.748137408146856"
"No","2007","no migration background","Rural Area","2713","0.779413438002556","0.765830927537977","0.792995948467136"
"No","2007","direct migration background","Urban Area","736","0.858080503588641","0.835089310774545","0.881071696402738"
"No","2007","direct migration background","Rural Area","158","0.809657711544184","0.754273266543102","0.865042156545266"
"No","2007","indirect migration background","Urban Area","349","0.834359297632446","0.799180618278582","0.869537976986311"
"No","2007","indirect migration background","Rural Area","62","0.860350259889766","0.781903470765354","0.938797049014178"
"Yes","2008","no migration background","Urban Area","1585","0.255067567963943","0.243830054277245","0.266305081650641"
"Yes","2008","no migration background","Rural Area","802","0.233354789580156","0.218786276045248","0.247923303115063"
"Yes","2008","direct migration background","Urban Area","138","0.149109156469672","0.124503257718928","0.173715055220415"
"Yes","2008","direct migration background","Rural Area","28","","",""
"Yes","2008","indirect migration background","Urban Area","64","0.141510685132686","0.107138146632812","0.175883223632559"
"Yes","2008","indirect migration background","Rural Area","13","","",""
"No","2008","no migration background","Urban Area","4195","0.744932432036057","0.733694918349359","0.756169945722756"
"No","2008","no migration background","Rural Area","2436","0.766645210419844","0.752076696884936","0.781213723954752"
"No","2008","direct migration background","Urban Area","667","0.850890843530329","0.826284944779585","0.875496742281072"
"No","2008","direct migration background","Rural Area","136","0.85924221651346","0.806016663793164","0.912467769233757"
"No","2008","indirect migration background","Urban Area","331","0.858489314867314","0.824116776367441","0.892861853367188"
"No","2008","indirect migration background","Rural Area","53","0.89152787400718","0.816503451288227","0.966552296726132"
"Yes","2009","no migration background","Urban Area","1495","0.240041788986686","0.228896063961436","0.251187514011936"
"Yes","2009","no migration background","Rural Area","811","0.239644406204592","0.224970976799094","0.25431783561009"
"Yes","2009","direct migration background","Urban Area","140","0.176734015117082","0.149044555204556","0.204423475029608"
"Yes","2009","direct migration background","Rural Area","29","","",""
"Yes","2009","indirect migration background","Urban Area","67","0.1454165206002","0.110065616081014","0.180767425119387"
"Yes","2009","indirect migration background","Rural Area","12","","",""
"No","2009","no migration background","Urban Area","4146","0.759958211013314","0.748812485988064","0.771103936038564"
"No","2009","no migration background","Rural Area","2440","0.760355593795408","0.74568216438991","0.775029023200906"
"No","2009","direct migration background","Urban Area","589","0.823265984882918","0.795576524970392","0.850955444795443"
"No","2009","direct migration background","Rural Area","120","0.84555106563658","0.787525773518319","0.90357635775484"
"No","2009","indirect migration background","Urban Area","315","0.8545834793998","0.819232574880613","0.889934383918986"
"No","2009","indirect migration background","Rural Area","62","0.860348977350513","0.781373617264632","0.939324337436394"
"Yes","2010","no migration background","Urban Area","1894","0.255233693471402","0.245126401019421","0.265340985923384"
"Yes","2010","no migration background","Rural Area","977","0.236692573612718","0.223956985421588","0.249428161803848"
"Yes","2010","direct migration background","Urban Area","180","0.160640300636789","0.139509283257506","0.181771318016072"
"Yes","2010","direct migration background","Rural Area","38","0.139159747863049","0.09883487815149","0.179484617574609"
"Yes","2010","indirect migration background","Urban Area","95","0.189319412694888","0.155582473986202","0.223056351403574"
"Yes","2010","indirect migration background","Rural Area","18","","",""
"No","2010","no migration background","Urban Area","5254","0.744766306528598","0.734659014076616","0.754873598980579"
"No","2010","no migration background","Rural Area","3302","0.763307426387282","0.750571838196152","0.776043014578411"
"No","2010","direct migration background","Urban Area","980","0.839359699363211","0.818228681983928","0.860490716742494"
"No","2010","direct migration background","Rural Area","245","0.860840252136951","0.820515382425391","0.90116512184851"
"No","2010","indirect migration background","Urban Area","423","0.810680587305112","0.776943648596426","0.844417526013798"
"No","2010","indirect migration background","Rural Area","91","0.838611123252182","0.769547087806255","0.907675158698109"
"Yes","2011","no migration background","Urban Area","2290","0.262283138712542","0.252925853540058","0.271640423885027"
"Yes","2011","no migration background","Rural Area","1256","0.234388644405335","0.222853746321907","0.245923542488762"
"Yes","2011","direct migration background","Urban Area","212","0.171959280266192","0.15127923546743","0.192639325064954"
"Yes","2011","direct migration background","Rural Area","39","0.123472132211291","0.0909882955357807","0.1559559688868"
"Yes","2011","indirect migration background","Urban Area","126","0.210637375431815","0.179070974139878","0.242203776723752"
"Yes","2011","indirect migration background","Rural Area","23","","",""
"No","2011","no migration background","Urban Area","6199","0.737716861287458","0.728359576114973","0.747074146459942"
"No","2011","no migration background","Rural Area","3925","0.765611355594665","0.754076457511238","0.777146253678093"
"No","2011","direct migration background","Urban Area","1067","0.828040719733808","0.807360674935046","0.84872076453257"
"No","2011","direct migration background","Rural Area","355","0.87652786778871","0.8440440311132","0.909011704464219"
"No","2011","indirect migration background","Urban Area","515","0.789362624568185","0.757796223276248","0.820929025860122"
"No","2011","indirect migration background","Rural Area","123","0.863701931417111","0.808047665422701","0.91935619741152"
