"pgoeffd","year","education","sex","n","percent","lower_confidence","upper_confidence"
"No","1992","lower secondary degree","Female","895","0.743054215017074","0.718393512912673","0.767714917121475"
"No","1992","lower secondary degree","Male","1545","0.811565538070525","0.79389782872654","0.829233247414511"
"No","1992","no degree/no degree yet","Female","118","0.706649292788976","0.633297156368178","0.780001429209774"
"No","1992","no degree/no degree yet","Male","178","0.909622730321706","0.869379665703977","0.949865794939434"
"No","1992","Other degree","Female","184","0.794228070655867","0.74140513751342","0.847051003798315"
"No","1992","Other degree","Male","429","0.923631744734229","0.899414040939064","0.947849448529394"
"No","1992","secondary school degree","Female","744","0.620179786201909","0.593643241836995","0.646716330566823"
"No","1992","secondary school degree","Male","931","0.727220057478846","0.70251954221489","0.751920572742801"
"Yes","1992","college entrance qualification","Female","232","0.556833867437037","0.510365016497356","0.603302718376719"
"Yes","1992","college entrance qualification","Male","262","0.349532983005743","0.315588420956043","0.383477545055443"
"Yes","1992","lower secondary degree","Female","311","0.256945784982926","0.232285082878525","0.281606487087327"
"Yes","1992","lower secondary degree","Male","337","0.188434461929475","0.170766752585489","0.20610217127346"
"Yes","1992","no degree/no degree yet","Female","30","0.293350707211024","0.219998570790226","0.366702843631822"
"Yes","1992","no degree/no degree yet","Male","17","","",""
"Yes","1992","Other degree","Female","41","0.205771929344133","0.152948996201685","0.25859486248658"
"Yes","1992","Other degree","Male","33","0.0763682552657712","0.0521505514706063","0.100585959060936"
"Yes","1992","secondary school degree","Female","541","0.379820213798091","0.353283669433177","0.406356758163005"
"Yes","1992","secondary school degree","Male","318","0.272779942521154","0.248079427257199","0.29748045778511"
"No","1993","college entrance qualification","Female","232","0.495010962597251","0.449469604341227","0.540552320853274"
"No","1993","college entrance qualification","Male","490","0.648856667658453","0.614876142439862","0.682837192877043"
"No","1993","lower secondary degree","Female","880","0.761167118315713","0.736481565861241","0.785852670770185"
"No","1993","lower secondary degree","Male","1477","0.818981646467419","0.801134749203641","0.836828543731196"
"No","1993","no degree/no degree yet","Female","110","0.720113573674692","0.646787528500895","0.793439618848489"
"No","1993","no degree/no degree yet","Male","176","0.846443736342586","0.795180725930203","0.897706746754969"
"No","1993","Other degree","Female","183","0.819829045155405","0.768927604536391","0.870730485774419"
"No","1993","Other degree","Male","405","0.908368921597009","0.881288377938157","0.935449465255862"
"No","1993","secondary school degree","Female","773","0.627294862422403","0.601071096627032","0.653518628217774"
"No","1993","secondary school degree","Male","937","0.750106205714619","0.725979259500106","0.774233151929132"
"Yes","1993","college entrance qualification","Female","231","0.504989037402749","0.459447679146726","0.550530395658773"
"Yes","1993","college entrance qualification","Male","268","0.351143332341547","0.317162807122957","0.385123857560138"
"Yes","1993","lower secondary degree","Female","266","0.238832881684287","0.214147329229815","0.263518434138758"
"Yes","1993","lower secondary degree","Male","311","0.181018353532581","0.163171456268804","0.198865250796359"
"Yes","1993","no degree/no degree yet","Female","34","0.279886426325308","0.206560381151511","0.353212471499105"
"Yes","1993","no degree/no degree yet","Male","14","","",""
"Yes","1993","Other degree","Female","36","0.180170954844595","0.129269514225581","0.231072395463609"
"Yes","1993","Other degree","Male","31","0.0916310784029906","0.0645505347441382","0.118711622061843"
"Yes","1993","secondary school degree","Female","533","0.372705137577597","0.346481371782226","0.398928903372968"
"Yes","1993","secondary school degree","Male","300","0.249893794285381","0.225766848070868","0.274020740499894"
"No","1994","college entrance qualification","Female","250","0.512173893413131","0.467596387762708","0.556751399063554"
"No","1994","college entrance qualification","Male","494","0.642240086421547","0.608250494159238","0.676229678683856"
"No","1994","lower secondary degree","Female","774","0.76220303597935","0.735986104541378","0.788419967417321"
"No","1994","lower secondary degree","Male","1357","0.819218716168017","0.800559270788157","0.837878161547876"
"No","1994","no degree/no degree yet","Female","100","0.745186934554628","0.670566821046248","0.819807048063008"
"No","1994","no degree/no degree yet","Male","151","0.876563314187324","0.825910409448761","0.927216218925887"
"No","1994","Other degree","Female","158","0.810803767298471","0.754817271273027","0.866790263323914"
"No","1994","Other degree","Male","344","0.911272634386346","0.882492990549225","0.940052278223466"
"No","1994","secondary school degree","Female","731","0.615329432665989","0.588217432114676","0.642441433217303"
"No","1994","secondary school degree","Male","909","0.747152431041797","0.722457455039878","0.771847407043715"
"Yes","1994","college entrance qualification","Female","233","0.487826106586869","0.443248600936446","0.532403612237292"
"Yes","1994","college entrance qualification","Male","270","0.357759913578453","0.323770321316144","0.391749505840762"
"Yes","1994","lower secondary degree","Female","239","0.23779696402065","0.211580032582679","0.264013895458622"
"Yes","1994","lower secondary degree","Male","277","0.180781283831983","0.162121838452123","0.199440729211843"
"Yes","1994","no degree/no degree yet","Female","31","0.254813065445372","0.180192951936992","0.329433178953752"
"Yes","1994","no degree/no degree yet","Male","11","","",""
"Yes","1994","Other degree","Female","30","0.189196232701529","0.133209736676086","0.245182728726973"
"Yes","1994","Other degree","Male","31","0.0887273656136545","0.0599477217765343","0.117507009450775"
"Yes","1994","secondary school degree","Female","506","0.384670567334011","0.357558566782697","0.411782567885324"
"Yes","1994","secondary school degree","Male","281","0.252847568958204","0.228152592956285","0.277542544960122"
"No","1995","college entrance qualification","Female","275","0.513715966185019","0.47092136487546","0.556510567494578"
"No","1995","college entrance qualification","Male","558","0.657849501073694","0.625456114872003","0.690242887275384"
"No","1995","lower secondary degree","Female","779","0.751185065334098","0.724705563677517","0.777664566990679"
"No","1995","lower secondary degree","Male","1384","0.821381621171063","0.80290552915099","0.839857713191136"
"No","1995","no degree/no degree yet","Female","89","0.723629340368823","0.643280676052334","0.803978004685311"
"No","1995","no degree/no degree yet","Male","139","0.910985583649654","0.865261934537351","0.956709232761956"
"No","1995","Other degree","Female","206","0.752857182366073","0.700425751137932","0.805288613594213"
"No","1995","Other degree","Male","428","0.897148971628205","0.869715912567482","0.924582030688927"
"No","1995","secondary school degree","Female","807","0.623179482740818","0.597194722986775","0.649164242494861"
"No","1995","secondary school degree","Male","997","0.76724447319448","0.743920236867286","0.790568709521675"
"Yes","1995","college entrance qualification","Female","249","0.486284033814981","0.443489432505422","0.52907863512454"
"Yes","1995","college entrance qualification","Male","266","0.342150498926306","0.309757112724616","0.374543885127997"
"Yes","1995","lower secondary degree","Female","245","0.248814934665902","0.222335433009321","0.275294436322483"
"Yes","1995","lower secondary degree","Male","267","0.178618378828937","0.160142286808864","0.19709447084901"
"Yes","1995","no degree/no degree yet","Female","30","0.276370659631178","0.196021995314689","0.356719323947666"
"Yes","1995","no degree/no degree yet","Male","10","","",""
"Yes","1995","Other degree","Female","54","0.247142817633927","0.194711386405787","0.299574248862068"
"Yes","1995","Other degree","Male","43","0.102851028371795","0.0754179693110734","0.130284087432518"
"Yes","1995","secondary school degree","Female","529","0.376820517259182","0.350835757505139","0.402805277013225"
"Yes","1995","secondary school degree","Male","264","0.23275552680552","0.209431290478325","0.256079763132714"
"No","1996","college entrance qualification","Female","275","0.530638066176086","0.487619497876883","0.573656634475289"
"No","1996","college entrance qualification","Male","566","0.671835812816917","0.639638900100812","0.704032725533021"
"No","1996","lower secondary degree","Female","730","0.744267909902984","0.716827175062635","0.771708644743333"
"No","1996","lower secondary degree","Male","1313","0.826534651497867","0.807756861598416","0.845312441397317"
"No","1996","no degree/no degree yet","Female","78","0.6827128561498","0.594111486278794","0.771314226020806"
"No","1996","no degree/no degree yet","Male","122","0.87595316519612","0.820140986175723","0.931765344216516"
"No","1996","Other degree","Female","184","0.752450925508266","0.696794944145598","0.808106906870934"
"No","1996","Other degree","Male","370","0.894218208337475","0.864190459014087","0.924245957660863"
"No","1996","secondary school degree","Female","778","0.618068726666643","0.591483170020058","0.644654283313229"
"No","1996","secondary school degree","Male","954","0.760245536175829","0.736199897893597","0.78429117445806"
"Yes","1996","college entrance qualification","Female","242","0.469361933823914","0.426343365524711","0.512380502123117"
"Yes","1996","college entrance qualification","Male","251","0.328164187183083","0.295967274466979","0.360361099899188"
"Yes","1996","lower secondary degree","Female","241","0.255732090097016","0.228291355256667","0.283172824937365"
"Yes","1996","lower secondary degree","Male","249","0.173465348502133","0.154687558602683","0.192243138401584"
"Yes","1996","no degree/no degree yet","Female","28","","",""
"Yes","1996","no degree/no degree yet","Male","12","","",""
"Yes","1996","Other degree","Female","47","0.247549074491734","0.191893093129067","0.303205055854402"
"Yes","1996","Other degree","Male","33","0.105781791662525","0.0757540423391368","0.135809540985913"
"Yes","1996","secondary school degree","Female","505","0.381931273333357","0.355345716686771","0.408516829979942"
"Yes","1996","secondary school degree","Male","257","0.239754463824171","0.21570882554194","0.263800102106403"
"No","1997","college entrance qualification","Female","287","0.542534792391954","0.500823788378643","0.584245796405265"
"No","1997","college entrance qualification","Male","575","0.671244323065071","0.639533227454703","0.702955418675439"
"No","1997","lower secondary degree","Female","715","0.76082834370759","0.733456410828878","0.788200276586302"
"No","1997","lower secondary degree","Male","1290","0.83464581417396","0.815957466212273","0.853334162135647"
"No","1997","no degree/no degree yet","Female","77","0.800943464778727","0.72345498218914","0.878431947368314"
"No","1997","no degree/no degree yet","Male","105","0.841165659674376","0.77521486143726","0.907116457911492"
"No","1997","Other degree","Female","156","0.716216139556631","0.654198394710978","0.778233884402284"
"No","1997","Other degree","Male","342","0.883167376891094","0.850525118818736","0.915809634963452"
"No","1997","secondary school degree","Female","808","0.634007432027631","0.607791734919165","0.660223129136097"
"No","1997","secondary school degree","Male","943","0.760219766038844","0.736133430925154","0.784306101152535"
"Yes","1997","college entrance qualification","Female","261","0.457465207608046","0.415754203594735","0.499176211621357"
"Yes","1997","college entrance qualification","Male","268","0.328755676934929","0.297044581324561","0.360466772545297"
"Yes","1997","lower secondary degree","Female","218","0.23917165629241","0.211799723413698","0.266543589171122"
"Yes","1997","lower secondary degree","Male","228","0.16535418582604","0.146665837864353","0.184042533787727"
"Yes","1997","no degree/no degree yet","Female","25","","",""
"Yes","1997","no degree/no degree yet","Male","13","","",""
"Yes","1997","Other degree","Female","47","0.283783860443369","0.221766115597716","0.345801605289022"
"Yes","1997","Other degree","Male","30","0.116832623108906","0.0841903650365484","0.149474881181264"
"Yes","1997","secondary school degree","Female","489","0.365992567972369","0.339776870863903","0.392208265080835"
"Yes","1997","secondary school degree","Male","264","0.239780233961155","0.215693898847465","0.263866569074846"
"No","1998","college entrance qualification","Female","349","0.55145299418845","0.512739560513654","0.590166427863246"
"No","1998","college entrance qualification","Male","648","0.686299559922337","0.656446522381737","0.716152597462937"
"No","1998","lower secondary degree","Female","770","0.75307180586841","0.726411287179719","0.779732324557102"
"No","1998","lower secondary degree","Male","1366","0.834878572354981","0.816662907704322","0.85309423700564"
"No","1998","no degree/no degree yet","Female","70","0.788902918046638","0.706406126103762","0.871399709989514"
"No","1998","no degree/no degree yet","Male","110","0.912163262801832","0.8604295608238","0.963896964779863"
"No","1998","Other degree","Female","149","0.647511424151325","0.582741828087988","0.712281020214661"
"No","1998","Other degree","Male","333","0.895470181438958","0.863997014803423","0.926943348074492"
"No","1998","secondary school degree","Female","848","0.615835407786598","0.590200722165511","0.641470093407685"
"No","1998","secondary school degree","Male","1068","0.771687577670676","0.749354751133702","0.794020404207651"
"Yes","1998","college entrance qualification","Female","285","0.44854700581155","0.409833572136754","0.487260439486346"
"Yes","1998","college entrance qualification","Male","280","0.313700440077663","0.283847402537063","0.343553477618263"
"Yes","1998","lower secondary degree","Female","235","0.24692819413159","0.220267675442898","0.273588712820281"
"Yes","1998","lower secondary degree","Male","230","0.165121427645019","0.14690576299436","0.183337092295678"
"Yes","1998","no degree/no degree yet","Female","24","","",""
"Yes","1998","no degree/no degree yet","Male","5","","",""
"Yes","1998","Other degree","Female","60","0.352488575848675","0.287718979785339","0.417258171912012"
"Yes","1998","Other degree","Male","30","0.104529818561042","0.0730566519255075","0.136002985196577"
"Yes","1998","secondary school degree","Female","535","0.384164592213402","0.358529906592315","0.409799277834489"
"Yes","1998","secondary school degree","Male","289","0.228312422329323","0.205979595792349","0.250645248866298"
"No","1999","college entrance qualification","Female","343","0.550468198779639","0.511654972983846","0.589281424575432"
"No","1999","college entrance qualification","Male","640","0.697444518816773","0.667483156173478","0.727405881460068"
"No","1999","lower secondary degree","Female","717","0.754430726550142","0.726707785953508","0.782153667146776"
"No","1999","lower secondary degree","Male","1270","0.843811633314095","0.825341150986584","0.862282115641606"
"No","1999","no degree/no degree yet","Female","76","0.789744014095691","0.708651721313141","0.87083630687824"
"No","1999","no degree/no degree yet","Male","103","0.923065592031977","0.872572404051665","0.973558780012288"
"No","1999","Other degree","Female","131","0.654364836335875","0.585834768233787","0.722894904437962"
"No","1999","Other degree","Male","283","0.902429440002957","0.869290488841212","0.935568391164702"
"No","1999","secondary school degree","Female","840","0.646267749510407","0.620425591050538","0.672109907970275"
"No","1999","secondary school degree","Male","1009","0.762605282878099","0.73931420925281","0.785896356503388"
"Yes","1999","college entrance qualification","Female","288","0.449531801220361","0.410718575424568","0.488345027016154"
"Yes","1999","college entrance qualification","Male","263","0.302555481183227","0.272594118539931","0.332516843826522"
"Yes","1999","lower secondary degree","Female","209","0.245569273449858","0.217846332853224","0.273292214046492"
"Yes","1999","lower secondary degree","Male","214","0.156188366685905","0.137717884358394","0.174658849013416"
"Yes","1999","no degree/no degree yet","Female","21","","",""
"Yes","1999","no degree/no degree yet","Male","4","","",""
"Yes","1999","Other degree","Female","54","0.345635163664125","0.277105095562038","0.414165231766213"
"Yes","1999","Other degree","Male","25","","",""
"Yes","1999","secondary school degree","Female","475","0.353732250489593","0.327890092029725","0.379574408949462"
"Yes","1999","secondary school degree","Male","273","0.237394717121901","0.214103643496612","0.26068579074719"
"No","2000","college entrance qualification","Female","817","0.612151764201306","0.586527144361312","0.637776384041301"
"No","2000","college entrance qualification","Male","1361","0.710933944011011","0.690703978102783","0.73116390991924"
"No","2000","lower secondary degree","Female","1378","0.783534946992839","0.764310891268749","0.80275900271693"
