"pgoeffd","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2014","no migration background","West Germany","6111","0.719074526078896","0.7095493860717","0.728599666086093"
"No","2014","no migration background","East Germany","2043","0.75591745624659","0.739712338298163","0.772122574195017"
"No","2014","direct migration background","West Germany","2443","0.825764146613599","0.811862640688283","0.839665652538915"
"No","2014","direct migration background","East Germany","136","0.835281062546688","0.777806432647529","0.892755692445846"
"No","2014","indirect migration background","West Germany","866","0.777057177317564","0.752106492265291","0.802007862369837"
"No","2014","indirect migration background","East Germany","56","0.776601060498431","0.677601520221907","0.875600600774955"
"Yes","2015","no migration background","West Germany","2367","0.281811674484154","0.272049910904007","0.291573438064301"
"Yes","2015","no migration background","East Germany","629","0.229941928929158","0.213615974509153","0.246267883349162"
"Yes","2015","direct migration background","West Germany","422","0.151364484324176","0.139160266020827","0.163568702627526"
"Yes","2015","direct migration background","East Germany","37","0.181115972361627","0.130226689983931","0.232005254739322"
"Yes","2015","indirect migration background","West Germany","183","0.209882475821267","0.184373637480235","0.235391314162299"
"Yes","2015","indirect migration background","East Germany","14","","",""
"No","2015","no migration background","West Germany","5792","0.718188325515846","0.708426561935699","0.727950089095993"
"No","2015","no migration background","East Germany","1923","0.770058071070842","0.753732116650838","0.786384025490847"
"No","2015","direct migration background","West Germany","2891","0.848635515675824","0.836431297372474","0.860839733979173"
"No","2015","direct migration background","East Germany","183","0.818884027638373","0.767994745260678","0.869773310016069"
"No","2015","indirect migration background","West Germany","796","0.790117524178733","0.764608685837701","0.815626362519765"
"No","2015","indirect migration background","East Germany","54","0.749843480893317","0.646903316547092","0.852783645239542"
"Yes","2016","no migration background","West Germany","2214","0.280791153570403","0.270675931497716","0.29090637564309"
"Yes","2016","no migration background","East Germany","596","0.243298544613506","0.226199879874768","0.260397209352245"
"Yes","2016","direct migration background","West Germany","434","0.144407290152194","0.13210493781605","0.156709642488337"
"Yes","2016","direct migration background","East Germany","44","0.23260129024368","0.18054125923077","0.284661321256591"
"Yes","2016","indirect migration background","West Germany","199","0.240872900738158","0.213623701664681","0.268122099811634"
"Yes","2016","indirect migration background","East Germany","13","","",""
"No","2016","no migration background","West Germany","5368","0.719208846429597","0.70909362435691","0.729324068502284"
"No","2016","no migration background","East Germany","1823","0.756701455386494","0.739602790647755","0.773800120125232"
"No","2016","direct migration background","West Germany","2702","0.855592709847806","0.843290357511663","0.86789506218395"
"No","2016","direct migration background","East Germany","209","0.76739870975632","0.715338678743409","0.81945874076923"
"No","2016","indirect migration background","West Germany","747","0.759127099261842","0.731877900188366","0.786376298335319"
"No","2016","indirect migration background","East Germany","55","0.701348925155956","0.592570505863549","0.810127344448363"
"Yes","2017","no migration background","West Germany","2640","0.276847665608198","0.267592814538604","0.286102516677792"
"Yes","2017","no migration background","East Germany","680","0.247075968771303","0.231131557022286","0.263020380520321"
"Yes","2017","direct migration background","West Germany","425","0.15999401689739","0.147561246355849","0.172426787438932"
"Yes","2017","direct migration background","East Germany","46","0.175933827029982","0.131650051620935","0.220217602439029"
"Yes","2017","indirect migration background","West Germany","227","0.229256785897439","0.20379489195789","0.254718679836987"
"Yes","2017","indirect migration background","East Germany","7","","",""
"No","2017","no migration background","West Germany","6339","0.723152334391802","0.713897483322208","0.732407185461396"
"No","2017","no migration background","East Germany","2131","0.752924031228697","0.736979619479679","0.768868442977714"
"No","2017","direct migration background","West Germany","2915","0.840005983102609","0.827573212561068","0.852438753644151"
"No","2017","direct migration background","East Germany","238","0.824066172970018","0.779782397560971","0.868349948379065"
"No","2017","indirect migration background","West Germany","820","0.770743214102561","0.745281320163013","0.79620510804211"
"No","2017","indirect migration background","East Germany","53","0.907292432694081","0.83390804030272","0.980676825085442"
"Yes","2018","no migration background","West Germany","2473","0.286084919896853","0.276363549574688","0.295806290219019"
"Yes","2018","no migration background","East Germany","648","0.252787356465517","0.236299143652475","0.269275569278559"
"Yes","2018","direct migration background","West Germany","470","0.180203826867464","0.167267256825285","0.193140396909644"
"Yes","2018","direct migration background","East Germany","48","0.183120607923499","0.14074453741204","0.225496678434957"
"Yes","2018","indirect migration background","West Germany","220","0.212076717874078","0.18711250126431","0.237040934483846"
"Yes","2018","indirect migration background","East Germany","14","","",""
"No","2018","no migration background","West Germany","5829","0.713915080103147","0.704193709780981","0.723636450425312"
"No","2018","no migration background","East Germany","2021","0.747212643534483","0.730724430721441","0.763700856347525"
"No","2018","direct migration background","West Germany","2921","0.819796173132535","0.806859603090356","0.832732743174715"
"No","2018","direct migration background","East Germany","272","0.816879392076501","0.774503321565043","0.85925546258796"
"No","2018","indirect migration background","West Germany","810","0.787923282125922","0.762959065516154","0.81288749873569"
"No","2018","indirect migration background","East Germany","66","0.791104695635009","0.702023832257924","0.880185559012093"
"Yes","2019","no migration background","West Germany","2364","0.284123321226462","0.274345176507151","0.293901465945772"
"Yes","2019","no migration background","East Germany","643","0.25889356760246","0.242004613407942","0.275782521796979"
"Yes","2019","direct migration background","West Germany","435","0.18079302079735","0.167299952065035","0.194286089529666"
"Yes","2019","direct migration background","East Germany","36","0.177994770131898","0.134046426878792","0.221943113385005"
"Yes","2019","indirect migration background","West Germany","230","0.231339763546486","0.205032125017985","0.257647402074986"
"Yes","2019","indirect migration background","East Germany","16","","",""
"No","2019","no migration background","West Germany","5808","0.715876678773538","0.706098534054228","0.725654823492848"
"No","2019","no migration background","East Germany","1941","0.74110643239754","0.724217478203021","0.757995386592058"
"No","2019","direct migration background","West Germany","2690","0.819206979202649","0.805713910470334","0.832700047934965"
"No","2019","direct migration background","East Germany","255","0.822005229868102","0.778056886614995","0.865953573121208"
"No","2019","indirect migration background","West Germany","757","0.768660236453514","0.742352597925014","0.794967874982015"
"No","2019","indirect migration background","East Germany","57","0.827903524610389","0.741314566367129","0.914492482853649"
