"pgoeffd","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","1992","Female","1172","0.34801036138131","0.331942306505022","0.364078416257598","1"
"Yes","1992","Male","983","0.235822745832902","0.223618669071862","0.248026822593942","1"
"No","1993","Female","2238","0.668803322537311","0.652889641505403","0.684717003569219","2"
"No","1993","Male","3572","0.76994799591253","0.757670465443897","0.782225526381163","2"
"Yes","1993","Female","1122","0.331196677462689","0.315282996430781","0.347110358494597","1"
"Yes","1993","Male","942","0.23005200408747","0.217774473618837","0.242329534556103","1"
"No","1994","Female","2089","0.662205950628065","0.645702644864347","0.678709256391784","2"
"No","1994","Male","3350","0.766821745951909","0.754092355263774","0.779551136640043","2"
"Yes","1994","Female","1066","0.337794049371935","0.321290743608216","0.354297355135653","1"
"Yes","1994","Male","889","0.233178254048092","0.220448863359958","0.245907644736226","1"
"No","1995","Female","2233","0.656890878980192","0.640871772087883","0.672909985872502","2"
"No","1995","Male","3613","0.77666517135893","0.764473623031629","0.788856719686231","2"
"Yes","1995","Female","1141","0.343109121019808","0.327090014127498","0.359128227912117","1"
"Yes","1995","Male","870","0.22333482864107","0.211143280313769","0.235526376968371","1"
"No","1996","Female","2118","0.654372275098088","0.637928199684028","0.670816350512149","2"
"No","1996","Male","3433","0.777523783012645","0.765024098943491","0.790023467081798","2"
"Yes","1996","Female","1095","0.345627724901912","0.329183649487851","0.362071800315972","1"
"Yes","1996","Male","820","0.222476216987355","0.209976532918202","0.234975901056509","1"
"No","1997","Female","2125","0.669769844256114","0.653454816786843","0.686084871725385","2"
"No","1997","Male","3368","0.776001065122786","0.763380128399788","0.788622001845785","2"
"Yes","1997","Female","1067","0.330230155743886","0.313915128274615","0.346545183213157","1"
"Yes","1997","Male","824","0.223998934877214","0.211377998154215","0.236619871600212","1"
"No","1998","Female","2308","0.655001623865018","0.63926643902375","0.670736808706286","2"
"No","1998","Male","3736","0.787727064263066","0.775921685281327","0.799532443244806","2"
"Yes","1998","Female","1198","0.344998376134982","0.329263191293715","0.36073356097625","1"
"Yes","1998","Male","873","0.212272935736933","0.200467556755194","0.224078314718673","1"
"No","1999","Female","2180","0.665335134027657","0.649134530258395","0.681535737796919","2"
"No","1999","Male","3427","0.791027139374804","0.778767565633353","0.803286713116254","2"
"Yes","1999","Female","1079","0.334664865972343","0.318464262203081","0.350865469741605","1"
"Yes","1999","Male","798","0.208972860625196","0.196713286883746","0.221232434366647","1"
"No","2000","Female","4283","0.709561829935587","0.698188324267769","0.720935335603405","2"
"No","2000","Male","6198","0.80453259508311","0.795669326361801","0.813395863804419","2"
"Yes","2000","Female","1837","0.290438170064413","0.279064664396595","0.301811675732231","1"
"Yes","2000","Male","1492","0.19546740491689","0.186604136195581","0.204330673638199","1"
"No","2001","Female","3714","0.711253774738835","0.699073856460334","0.723433693017337","2"
"No","2001","Male","5259","0.800488824962204","0.790805580841959","0.810172069082448","2"
"Yes","2001","Female","1604","0.288746225261165","0.276566306982663","0.300926143539666","1"
"Yes","2001","Male","1284","0.199511175037796","0.189827930917552","0.209194419158041","1"
"No","2002","Female","4201","0.717491435913937","0.706194211699778","0.728788660128097","2"
"No","2002","Male","5745","0.802155172260928","0.79299209354923","0.811318250972627","2"
"Yes","2002","Female","1900","0.282508564086062","0.271211339871903","0.293805788300222","1"
"Yes","2002","Male","1516","0.197844827739072","0.188681749027373","0.20700790645077","1"
"No","2003","Female","3696","0.700275200882344","0.688100890959062","0.712449510805625","2"
"No","2003","Male","5021","0.791991049806587","0.782036977735402","0.801945121877771","2"
"Yes","2003","Female","1744","0.299724799117656","0.287550489194375","0.311899109040938","1"
"Yes","2003","Male","1366","0.208008950193413","0.198054878122228","0.217963022264598","1"
"No","2004","Female","3904","0.715387809612776","0.703632410139582","0.72714320908597","2"
"No","2004","Male","5151","0.794968197354278","0.785161041224886","0.804775353483669","2"
"Yes","2004","Female","1756","0.284612190387224","0.27285679091403","0.296367589860418","1"
"Yes","2004","Male","1359","0.205031802645722","0.195224646516331","0.214838958775114","1"
"No","2005","Female","3472","0.707510266906913","0.695010663722476","0.72000987009135","2"
"No","2005","Male","4572","0.796726997647299","0.786354014671514","0.807099980623084","2"
"Yes","2005","Female","1616","0.292489733093087","0.27999012990865","0.304989336277524","1"
"Yes","2005","Male","1210","0.203273002352701","0.192900019376916","0.213645985328486","1"
"No","2006","Female","3579","0.705373389279859","0.693067700962833","0.717679077596885","2"
"No","2006","Male","4645","0.796617424011229","0.786344021605497","0.806890826416962","2"
"Yes","2006","Female","1693","0.294626610720141","0.282320922403115","0.306932299037167","1"
"Yes","2006","Male","1252","0.203382575988771","0.193109173583038","0.213655978394503","1"
"No","2007","Female","3826","0.725737220550498","0.713896894570805","0.737577546530191","2"
"No","2007","Male","4794","0.801481053926627","0.791434002435537","0.811528105417717","2"
"Yes","2007","Female","1628","0.274262779449502","0.262422453469809","0.286103105429195","1"
"Yes","2007","Male","1261","0.198518946073373","0.188471894582283","0.208565997564463","1"
"No","2008","Female","3493","0.733941385868301","0.721670792044481","0.746211979692121","2"
"No","2008","Male","4325","0.80022627769283","0.789626692678285","0.810825862707375","2"
"Yes","2008","Female","1489","0.266058614131699","0.253788020307879","0.278329207955519","1"
"Yes","2008","Male","1141","0.19977372230717","0.189174137292625","0.210373307321715","1"
"No","2009","Female","3480","0.72765710860252","0.715280794958994","0.740033422246046","2"
"No","2009","Male","4192","0.813153051627307","0.802615260999541","0.823690842255072","2"
"Yes","2009","Female","1490","0.27234289139748","0.259966577753954","0.284719205041006","1"
"Yes","2009","Male","1064","0.186846948372693","0.176309157744928","0.197384739000459","1"
"No","2010","Female","4576","0.724042793031442","0.713095883931565","0.734989702131319","2"
"No","2010","Male","5719","0.801816155516924","0.792538563868534","0.811093747165314","2"
"Yes","2010","Female","1829","0.275957206968558","0.265010297868681","0.286904116068435","1"
"Yes","2010","Male","1373","0.198183844483076","0.188906252834686","0.207461436131466","1"
"No","2011","Female","5715","0.718383864559964","0.708546691089288","0.728221038030639","2"
"No","2011","Male","6469","0.79883337942046","0.790102892752519","0.807563866088402","2"
"Yes","2011","Female","2316","0.281616135440036","0.271778961969361","0.291453308910712","1"
"Yes","2011","Male","1630","0.20116662057954","0.192436133911598","0.209897107247481","1"
"No","2012","Female","5677","0.712378184330674","0.702442993968938","0.72231337469241","2"
"No","2012","Male","6232","0.799361402940752","0.790471052922108","0.808251752959396","2"
"Yes","2012","Female","2297","0.287621815669326","0.27768662530759","0.297557006031062","1"
"Yes","2012","Male","1563","0.200638597059248","0.191748247040604","0.209528947077892","1"
"No","2013","Female","6364","0.698312154396735","0.688783318555228","0.707840990238243","2"
"No","2013","Male","6900","0.799684019628207","0.791154872900192","0.808213166356221","2"
"Yes","2013","Female","2549","0.301687845603265","0.292159009761757","0.311216681444772","1"
"Yes","2013","Male","1559","0.200315980371793","0.191786833643778","0.208845127099808","1"
"No","2014","Female","5627","0.693246927819005","0.683107528014706","0.703386327623304","2"
"No","2014","Male","6028","0.790463111690737","0.781229695339024","0.799696528042451","2"
"Yes","2014","Female","2319","0.306753072180995","0.296613672376696","0.316892471985294","1"
"Yes","2014","Male","1435","0.209536888309263","0.200303471957549","0.218770304660976","1"
"No","2015","Female","5583","0.693767025852027","0.683566745654159","0.703967306049896","2"
"No","2015","Male","6056","0.803608465467497","0.794585671356231","0.812631259578762","2"
"Yes","2015","Female","2261","0.306232974147973","0.296032693950104","0.316433254345842","1"
"Yes","2015","Male","1391","0.196391534532503","0.187368740421238","0.205414328643769","1"
"No","2016","Female","5225","0.700831058950243","0.69037358870131","0.711288529199175","2"
"No","2016","Male","5679","0.792523767185923","0.783050867617284","0.801996666754562","2"
"Yes","2016","Female","2140","0.299168941049757","0.288711470800825","0.309626411298689","1"
"Yes","2016","Male","1360","0.207476232814077","0.198003333245438","0.216949132382716","1"
"No","2017","Female","5839","0.698926737205694","0.689061579110234","0.708791895301154","2"
"No","2017","Male","6657","0.79656530104898","0.787860326321899","0.805270275776061","2"
"Yes","2017","Female","2467","0.301073262794306","0.291208104698846","0.310938420889766","1"
"Yes","2017","Male","1558","0.20343469895102","0.194729724223939","0.212139673678101","1"
"No","2018","Female","5527","0.694448521942964","0.684275970572438","0.70462107331349","2"
"No","2018","Male","6392","0.784681675542833","0.77562622876086","0.793737122324806","2"
"Yes","2018","Female","2350","0.305551478057036","0.29537892668651","0.315724029427562","1"
"Yes","2018","Male","1523","0.215318324457167","0.206262877675194","0.22437377123914","1"
"No","2019","Female","5385","0.691972678869212","0.681643923484828","0.702301434253596","2"
"No","2019","Male","6154","0.785661707997837","0.776434588977142","0.794888827018533","2"
"Yes","2019","Female","2290","0.308027321130788","0.297698565746404","0.318356076515172","1"
"Yes","2019","Male","1444","0.214338292002163","0.205111172981467","0.223565411022858","1"
