"pgoeffd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"No","1985","66 and older","direct migration background","","","",""
"No","1985","66 and older","indirect migration background","","","",""
"Yes","1986","16-34 y.","no migration background","426","0.247808599204149","0.227224725563893","0.268392472844406"
"Yes","1986","16-34 y.","direct migration background","46","0.0986047420470422","0.0747497651118814","0.122459718982203"
"Yes","1986","16-34 y.","indirect migration background","","","",""
"Yes","1986","35-65 y.","no migration background","693","0.301433028252561","0.282564267843141","0.320301788661981"
"Yes","1986","35-65 y.","direct migration background","126","0.15383464885466","0.132619515660066","0.175049782049253"
"Yes","1986","35-65 y.","indirect migration background","","","",""
"Yes","1986","66 and older","no migration background","","","",""
"Yes","1986","66 and older","direct migration background","","","",""
"Yes","1986","66 and older","indirect migration background","","","",""
"No","1986","16-34 y.","no migration background","1264","0.752191400795851","0.731607527155594","0.772775274436107"
"No","1986","16-34 y.","direct migration background","554","0.901395257952958","0.877540281017797","0.925250234888119"
"No","1986","16-34 y.","indirect migration background","52","0.649621695018186","0.53086691210319","0.768376477933181"
"No","1986","35-65 y.","no migration background","1579","0.698566971747439","0.679698211338019","0.717435732156859"
"No","1986","35-65 y.","direct migration background","985","0.846165351145341","0.824950217950748","0.867380484339934"
"No","1986","35-65 y.","indirect migration background","","","",""
"No","1986","66 and older","no migration background","","","",""
"No","1986","66 and older","direct migration background","","","",""
"No","1986","66 and older","indirect migration background","","","",""
"Yes","1987","16-34 y.","no migration background","429","0.250949731644775","0.230671284972404","0.271228178317146"
"Yes","1987","16-34 y.","direct migration background","55","0.109230310537103","0.0846175793475422","0.133843041726664"
"Yes","1987","16-34 y.","indirect migration background","","","",""
"Yes","1987","35-65 y.","no migration background","690","0.297697053731736","0.278907913664856","0.316486193798617"
"Yes","1987","35-65 y.","direct migration background","131","0.158118687733542","0.136596788698379","0.179640586768706"
"Yes","1987","35-65 y.","indirect migration background","","","",""
"Yes","1987","66 and older","no migration background","","","",""
"Yes","1987","66 and older","direct migration background","","","",""
"Yes","1987","66 and older","indirect migration background","","","",""
"No","1987","16-34 y.","no migration background","1327","0.749050268355225","0.728771821682854","0.769328715027596"
"No","1987","16-34 y.","direct migration background","562","0.890769689462897","0.866156958273336","0.915382420652458"
"No","1987","16-34 y.","indirect migration background","55","0.802967355820682","0.706271146255261","0.899663565386102"
"No","1987","35-65 y.","no migration background","1585","0.702302946268264","0.683513806201383","0.721092086335145"
"No","1987","35-65 y.","direct migration background","973","0.841881312266458","0.820359413231294","0.863403211301621"
"No","1987","35-65 y.","indirect migration background","","","",""
"No","1987","66 and older","no migration background","","","",""
"No","1987","66 and older","direct migration background","","","",""
"No","1987","66 and older","indirect migration background","","","",""
"Yes","1988","16-34 y.","no migration background","388","0.234029605765707","0.213843798086731","0.254215413444683"
"Yes","1988","16-34 y.","direct migration background","49","0.0971177922301027","0.0740131972731005","0.120222387187105"
"Yes","1988","16-34 y.","indirect migration background","","","",""
"Yes","1988","35-65 y.","no migration background","675","0.302078326252162","0.283042468398055","0.321114184106268"
"Yes","1988","35-65 y.","direct migration background","127","0.163165920757559","0.140643128621802","0.185688712893315"
"Yes","1988","35-65 y.","indirect migration background","","","",""
"Yes","1988","66 and older","no migration background","","","",""
"Yes","1988","66 and older","direct migration background","","","",""
"Yes","1988","66 and older","indirect migration background","","","",""
"No","1988","16-34 y.","no migration background","1302","0.765970394234293","0.745784586555317","0.786156201913269"
"No","1988","16-34 y.","direct migration background","582","0.902882207769897","0.879777612812895","0.925986802726899"
"No","1988","16-34 y.","indirect migration background","86","0.937350532703804","0.889125566668799","0.985575498738808"
"No","1988","35-65 y.","no migration background","1560","0.697921673747838","0.678885815893732","0.716957531601945"
"No","1988","35-65 y.","direct migration background","907","0.836834079242441","0.814311287106685","0.859356871378198"
"No","1988","35-65 y.","indirect migration background","","","",""
"No","1988","66 and older","no migration background","","","",""
"No","1988","66 and older","direct migration background","","","",""
"No","1988","66 and older","indirect migration background","","","",""
"Yes","1989","16-34 y.","no migration background","403","0.221403638756589","0.202276175976475","0.240531101536703"
"Yes","1989","16-34 y.","direct migration background","60","0.152610277654415","0.124484680207033","0.180735875101797"
"Yes","1989","16-34 y.","indirect migration background","","","",""
"Yes","1989","35-65 y.","no migration background","643","0.29459418808401","0.27546256296748","0.31372581320054"
"Yes","1989","35-65 y.","direct migration background","128","0.172713185418257","0.149871348872449","0.195555021964066"
"Yes","1989","35-65 y.","indirect migration background","","","",""
"Yes","1989","66 and older","no migration background","","","",""
"Yes","1989","66 and older","direct migration background","","","",""
"Yes","1989","66 and older","indirect migration background","","","",""
"No","1989","16-34 y.","no migration background","1407","0.778596361243411","0.759468898463297","0.797723824023526"
"No","1989","16-34 y.","direct migration background","568","0.847389722345585","0.819264124898203","0.875515319792967"
"No","1989","16-34 y.","indirect migration background","103","0.917056469516265","0.86686748663276","0.967245452399771"
"No","1989","35-65 y.","no migration background","1538","0.70540581191599","0.68627418679946","0.72453743703252"
"No","1989","35-65 y.","direct migration background","924","0.827286814581743","0.804444978035934","0.850128651127551"
"No","1989","35-65 y.","indirect migration background","","","",""
"No","1989","66 and older","no migration background","","","",""
"No","1989","66 and older","direct migration background","","","",""
"No","1989","66 and older","indirect migration background","","","",""
"Yes","1990","16-34 y.","no migration background","847","0.252993883474609","0.237611008755496","0.268376758193721"
"Yes","1990","16-34 y.","direct migration background","67","0.138904829991141","0.111208710128176","0.166600949854105"
"Yes","1990","16-34 y.","indirect migration background","","","",""
"Yes","1990","35-65 y.","no migration background","1251","0.307855712297343","0.293514743770994","0.322196680823692"
"Yes","1990","35-65 y.","direct migration background","144","0.184397598408342","0.16162448684003","0.207170709976655"
"Yes","1990","35-65 y.","indirect migration background","","","",""
"Yes","1990","66 and older","no migration background","","","",""
"Yes","1990","66 and older","direct migration background","","","",""
"Yes","1990","66 and older","indirect migration background","","","",""
"No","1990","16-34 y.","no migration background","2221","0.747006116525391","0.731623241806279","0.762388991244504"
"No","1990","16-34 y.","direct migration background","532","0.861095170008859","0.833399050145895","0.888791289871824"
"No","1990","16-34 y.","indirect migration background","126","0.920295346188355","0.875749278600581","0.964841413776129"
"No","1990","35-65 y.","no migration background","2729","0.692144287702657","0.677803319176308","0.706485256229006"
"No","1990","35-65 y.","direct migration background","970","0.815602401591658","0.792829290023345","0.83837551315997"
"No","1990","35-65 y.","indirect migration background","","","",""
"No","1990","66 and older","no migration background","40","0.849441922696443","0.74827318113672","0.950610664256167"
"No","1990","66 and older","direct migration background","","","",""
"No","1990","66 and older","indirect migration background","","","",""
"Yes","1991","16-34 y.","no migration background","799","0.263232874996837","0.247168646155659","0.279297103838014"
"Yes","1991","16-34 y.","direct migration background","68","0.147930401469638","0.119355351577014","0.176505451362261"
"Yes","1991","16-34 y.","indirect migration background","","","",""
"Yes","1991","35-65 y.","no migration background","1145","0.299072745681326","0.284551691218444","0.313593800144208"
"Yes","1991","35-65 y.","direct migration background","154","0.170004000549911","0.148141031802392","0.19186696929743"
"Yes","1991","35-65 y.","indirect migration background","","","",""
"Yes","1991","66 and older","no migration background","","","",""
"Yes","1991","66 and older","direct migration background","","","",""
"Yes","1991","66 and older","indirect migration background","","","",""
"No","1991","16-34 y.","no migration background","2088","0.736767125003163","0.720702896161985","0.752831353844341"
"No","1991","16-34 y.","direct migration background","525","0.852069598530362","0.823494548637739","0.880644648422986"
"No","1991","16-34 y.","indirect migration background","168","0.904015233753778","0.862348783085087","0.945681684422469"
"No","1991","35-65 y.","no migration background","2674","0.700927254318674","0.686406199855792","0.715448308781556"
"No","1991","35-65 y.","direct migration background","980","0.829995999450089","0.808133030702569","0.851858968197608"
"No","1991","35-65 y.","indirect migration background","","","",""
"No","1991","66 and older","no migration background","32","0.927930874899097","0.842257375495904","1.01360437430229"
"No","1991","66 and older","direct migration background","","","",""
"No","1991","66 and older","indirect migration background","","","",""
"Yes","1992","16-34 y.","no migration background","757","0.276667526594116","0.259458994658754","0.293876058529478"
"Yes","1992","16-34 y.","direct migration background","65","0.173042863248436","0.141341876988775","0.204743849508096"
"Yes","1992","16-34 y.","indirect migration background","33","0.166926722754764","0.116126285119886","0.217727160389642"
"Yes","1992","35-65 y.","no migration background","1147","0.31258606775925","0.297426950908515","0.327745184609984"
"Yes","1992","35-65 y.","direct migration background","148","0.181086639478823","0.157659913520461","0.204513365437185"
"Yes","1992","35-65 y.","indirect migration background","","","",""
"Yes","1992","66 and older","no migration background","","","",""
"Yes","1992","66 and older","direct migration background","","","",""
"Yes","1992","66 and older","indirect migration background","","","",""
"No","1992","16-34 y.","no migration background","1839","0.723332473405884","0.706123941470522","0.740541005341246"
"No","1992","16-34 y.","direct migration background","482","0.826957136751564","0.795256150491904","0.858658123011225"
"No","1992","16-34 y.","indirect migration background","174","0.833073277245236","0.782272839610358","0.883873714880114"
"No","1992","35-65 y.","no migration background","2445","0.68741393224075","0.672254815390016","0.702573049091485"
"No","1992","35-65 y.","direct migration background","890","0.818913360521177","0.795486634562815","0.842340086479539"
"No","1992","35-65 y.","indirect migration background","","","",""
"No","1992","66 and older","no migration background","","","",""
"No","1992","66 and older","direct migration background","","","",""
"No","1992","66 and older","indirect migration background","","","",""
"Yes","1993","16-34 y.","no migration background","729","0.266198492872797","0.248993630415475","0.28340335533012"
"Yes","1993","16-34 y.","direct migration background","55","0.157200238237399","0.126211852150114","0.188188624324684"
"Yes","1993","16-34 y.","indirect migration background","39","0.152361370207684","0.109336110623735","0.195386629791632"
"Yes","1993","35-65 y.","no migration background","1096","0.30484409384642","0.289601950440305","0.320086237252536"
"Yes","1993","35-65 y.","direct migration background","140","0.179184069850293","0.155294788775057","0.203073350925529"
"Yes","1993","35-65 y.","indirect migration background","","","",""
"Yes","1993","66 and older","no migration background","","","",""
"Yes","1993","66 and older","direct migration background","","","",""
"Yes","1993","66 and older","indirect migration background","","","",""
"No","1993","16-34 y.","no migration background","1806","0.733801507127202","0.71659664466988","0.751006369584525"
"No","1993","16-34 y.","direct migration background","475","0.842799761762601","0.811811375675316","0.873788147849886"
"No","1993","16-34 y.","indirect migration background","229","0.847638629792316","0.804613370208368","0.890663889376265"
"No","1993","35-65 y.","no migration background","2408","0.695155906153579","0.679913762747464","0.710398049559695"
"No","1993","35-65 y.","direct migration background","850","0.820815930149707","0.796926649074471","0.844705211224943"
"No","1993","35-65 y.","indirect migration background","","","",""
"No","1993","66 and older","no migration background","","","",""
"No","1993","66 and older","direct migration background","","","",""
"No","1993","66 and older","indirect migration background","","","",""
"Yes","1994","16-34 y.","no migration background","655","0.266102663535391","0.248273360927717","0.283931966143065"
"Yes","1994","16-34 y.","direct migration background","46","0.185281078555118","0.149463327796773","0.221098829313462"
"Yes","1994","16-34 y.","indirect migration background","46","0.234041774756656","0.183160673068704","0.284922876444608"
"Yes","1994","35-65 y.","no migration background","1080","0.310858851237095","0.295287443309434","0.326430259164756"
"Yes","1994","35-65 y.","direct migration background","124","0.156480196802298","0.132476170817433","0.180484222787164"
"Yes","1994","35-65 y.","indirect migration background","","","",""
"Yes","1994","66 and older","no migration background","","","",""
"Yes","1994","66 and older","direct migration background","","","",""
"Yes","1994","66 and older","indirect migration background","","","",""
"No","1994","16-34 y.","no migration background","1705","0.733897336464609","0.716068033856935","0.751726639072283"
"No","1994","16-34 y.","direct migration background","406","0.814718921444882","0.778901170686538","0.850536672203227"
"No","1994","16-34 y.","indirect migration background","220","0.765958225243344","0.715077123555392","0.816839326931296"
"No","1994","35-65 y.","no migration background","2314","0.689141148762905","0.673569740835244","0.704712556690566"
"No","1994","35-65 y.","direct migration background","756","0.843519803197702","0.819515777212836","0.867523829182567"
"No","1994","35-65 y.","indirect migration background","","","",""
"No","1994","66 and older","no migration background","","","",""
"No","1994","66 and older","direct migration background","","","",""
"No","1994","66 and older","indirect migration background","","","",""
"Yes","1995","16-34 y.","no migration background","641","0.253478850510599","0.236200967430334","0.270756733590864"
"Yes","1995","16-34 y.","direct migration background","69","0.178891388974999","0.147344859883536","0.210437918066462"
"Yes","1995","16-34 y.","indirect migration background","41","0.16477794659382","0.122080725349867","0.207475167837773"
"Yes","1995","35-65 y.","no migration background","1096","0.310327309645701","0.295057330294229","0.325597288997172"
"Yes","1995","35-65 y.","direct migration background","158","0.195786372233521","0.171043702256321","0.220529042210721"
"Yes","1995","35-65 y.","indirect migration background","","","",""
"Yes","1995","66 and older","no migration background","","","",""
"Yes","1995","66 and older","direct migration background","","","",""
"Yes","1995","66 and older","indirect migration background","","","",""
"No","1995","16-34 y.","no migration background","1794","0.746521149489401","0.729243266409136","0.763799032569666"
"No","1995","16-34 y.","direct migration background","498","0.821108611025001","0.789562081933538","0.852655140116464"
"No","1995","16-34 y.","indirect migration background","249","0.83522205340618","0.792524832162227","0.877919274650133"
"No","1995","35-65 y.","no migration background","2430","0.689672690354299","0.674402711002828","0.704942669705771"
"No","1995","35-65 y.","direct migration background","830","0.804213627766479","0.779470957789279","0.828956297743679"
"No","1995","35-65 y.","indirect migration background","","","",""
"No","1995","66 and older","no migration background","","","",""
"No","1995","66 and older","direct migration background","","","",""
"No","1995","66 and older","indirect migration background","","","",""
"Yes","1996","16-34 y.","no migration background","585","0.261722025593833","0.243563088007098","0.279880963180568"
"Yes","1996","16-34 y.","direct migration background","74","0.182193491681827","0.147804683794845","0.21658229956881"
"Yes","1996","16-34 y.","indirect migration background","33","0.127988034500669","0.0891341157231665","0.166841953278171"
"Yes","1996","35-65 y.","no migration background","1082","0.308813801416224","0.293461737982118","0.324165864850329"
"Yes","1996","35-65 y.","direct migration background","137","0.182370008053741","0.157349699597766","0.207390316509715"
"Yes","1996","35-65 y.","indirect migration background","","","",""
"Yes","1996","66 and older","no migration background","","","",""
"Yes","1996","66 and older","direct migration background","","","",""
"Yes","1996","66 and older","indirect migration background","","","",""
"No","1996","16-34 y.","no migration background","1666","0.738277974406167","0.720119036819432","0.756436911992902"
"No","1996","16-34 y.","direct migration background","410","0.817806508318173","0.78341770043119","0.852195316205156"
"No","1996","16-34 y.","indirect migration background","251","0.872011965499331","0.833158046721829","0.910865884276833"
"No","1996","35-65 y.","no migration background","2397","0.691186198583776","0.675834135149671","0.706538262017882"
"No","1996","35-65 y.","direct migration background","778","0.817629991946259","0.792609683490285","0.842650300402234"
"No","1996","35-65 y.","indirect migration background","","","",""
"No","1996","66 and older","no migration background","","","",""
"No","1996","66 and older","direct migration background","","","",""
"No","1996","66 and older","indirect migration background","","","",""
"Yes","1997","16-34 y.","no migration background","575","0.256073907635853","0.237926122705899","0.274221692565807"
"Yes","1997","16-34 y.","direct migration background","64","0.15944930813416","0.125810882054463","0.193087734213857"
"Yes","1997","16-34 y.","indirect migration background","47","0.20394854226829","0.160074620182574","0.247822464354005"
"Yes","1997","35-65 y.","no migration background","1059","0.299226700489509","0.283970856587708","0.314482544391311"
"Yes","1997","35-65 y.","direct migration background","141","0.214398230195215","0.187001023721914","0.241795436668515"
"Yes","1997","35-65 y.","indirect migration background","","","",""
"Yes","1997","66 and older","no migration background","","","",""
"Yes","1997","66 and older","direct migration background","","","",""
"Yes","1997","66 and older","indirect migration background","","","",""
"No","1997","16-34 y.","no migration background","1647","0.743926092364147","0.725778307434193","0.762073877294101"
"No","1997","16-34 y.","direct migration background","391","0.84055069186584","0.806912265786143","0.874189117945537"
"No","1997","16-34 y.","indirect migration background","277","0.79605145773171","0.752177535645995","0.839925379817426"
"No","1997","35-65 y.","no migration background","2402","0.700773299510491","0.685517455608689","0.716029143412292"
"No","1997","35-65 y.","direct migration background","721","0.785601769804785","0.758204563331485","0.812998976278086"
"No","1997","35-65 y.","indirect migration background","","","",""
"No","1997","66 and older","no migration background","","","",""
"No","1997","66 and older","direct migration background","","","",""
"No","1997","66 and older","indirect migration background","","","",""
"Yes","1998","16-34 y.","no migration background","588","0.257582496157355","0.240076116243158","0.275088876071552"
"Yes","1998","16-34 y.","direct migration background","46","0.131316784683856","0.0989773879054022","0.163656181462309"
"Yes","1998","16-34 y.","indirect migration background","51","0.205953147762859","0.161783143982891","0.250123151542826"
"Yes","1998","35-65 y.","no migration background","1226","0.295172306772662","0.281131712066236","0.309212901479087"
"Yes","1998","35-65 y.","direct migration background","148","0.217954244860675","0.190183150551561","0.245725339169789"
"Yes","1998","35-65 y.","indirect migration background","","","",""
"Yes","1998","66 and older","no migration background","","","",""
"Yes","1998","66 and older","direct migration background","","","",""
"Yes","1998","66 and older","indirect migration background","","","",""
"No","1998","16-34 y.","no migration background","1809","0.742417503842645","0.724911123928448","0.759923883756842"
"No","1998","16-34 y.","direct migration background","373","0.868683215316144","0.836343818537691","0.901022612094598"
"No","1998","16-34 y.","indirect migration background","271","0.794046852237141","0.749876848457174","0.838216856017109"
"No","1998","35-65 y.","no migration background","2828","0.704827693227339","0.690787098520913","0.718868287933764"
"No","1998","35-65 y.","direct migration background","701","0.782045755139325","0.754274660830211","0.809816849448439"
"No","1998","35-65 y.","indirect migration background","","","",""
"No","1998","66 and older","no migration background","31","0.864061691869516","0.752107554896487","0.976015828842545"
"No","1998","66 and older","direct migration background","","","",""
"No","1998","66 and older","indirect migration background","","","",""
"Yes","1999","16-34 y.","no migration background","508","0.251164439330864","0.232738290084375","0.269590588577353"
"Yes","1999","16-34 y.","direct migration background","38","0.139161815894828","0.102744816531849","0.175578815257806"
"Yes","1999","16-34 y.","indirect migration background","37","0.155439157965099","0.114575211389785","0.196303104540413"
"Yes","1999","35-65 y.","no migration background","1151","0.288353165140474","0.274108665390397","0.302597664890551"
"Yes","1999","35-65 y.","direct migration background","131","0.214973617413389","0.185670803732847","0.244276431093932"
"Yes","1999","35-65 y.","indirect migration background","","","",""
"Yes","1999","66 and older","no migration background","","","",""
"Yes","1999","66 and older","direct migration background","","","",""
"Yes","1999","66 and older","indirect migration background","","","",""
"No","1999","16-34 y.","no migration background","1620","0.748835560669136","0.730409411422647","0.767261709915625"
"No","1999","16-34 y.","direct migration background","309","0.860838184105172","0.824421184742194","0.897255183468151"
"No","1999","16-34 y.","indirect migration background","265","0.844560842034901","0.803696895459587","0.885424788610215"
"No","1999","35-65 y.","no migration background","2734","0.711646834859526","0.697402335109449","0.725891334609603"
"No","1999","35-65 y.","direct migration background","624","0.785026382586611","0.755723568906068","0.814329196267153"
"No","1999","35-65 y.","indirect migration background","","","",""
"No","1999","66 and older","no migration background","","","",""
"No","1999","66 and older","direct migration background","","","",""
"No","1999","66 and older","indirect migration background","","","",""
"Yes","2000","16-34 y.","no migration background","821","0.22287883595202","0.20947254416437","0.236285127739671"
"Yes","2000","16-34 y.","direct migration background","76","0.150021856056676","0.120525046788202","0.17951866532515"
"Yes","2000","16-34 y.","indirect migration background","54","0.11204812953654","0.0820951306595293","0.14200112841355"
"Yes","2000","35-65 y.","no migration background","2142","0.264141749590888","0.254307823914326","0.27397567526745"
"Yes","2000","35-65 y.","direct migration background","212","0.184478134684233","0.162836963253601","0.206119306114865"
"Yes","2000","35-65 y.","indirect migration background","","","",""
"Yes","2000","66 and older","no migration background","","","",""
"Yes","2000","66 and older","direct migration background","","","",""
"Yes","2000","66 and older","indirect migration background","","","",""
"No","2000","16-34 y.","no migration background","2881","0.77712116404798","0.763714872260329","0.79052745583563"
"No","2000","16-34 y.","direct migration background","487","0.849978143943324","0.82048133467485","0.879474953211798"
"No","2000","16-34 y.","indirect migration background","372","0.88795187046346","0.85799887158645","0.917904869340471"
"No","2000","35-65 y.","no migration background","5579","0.735858250409112","0.72602432473255","0.745692176085674"
"No","2000","35-65 y.","direct migration background","1022","0.815521865315767","0.793880693885135","0.837163036746399"
"No","2000","35-65 y.","indirect migration background","55","0.740250236639377","0.638253618001848","0.842246855276906"
"No","2000","66 and older","no migration background","76","0.899881356513957","0.835307139285839","0.964455573742076"
"No","2000","66 and older","direct migration background","","","",""
"No","2000","66 and older","indirect migration background","","","",""
"Yes","2001","16-34 y.","no migration background","653","0.217579084933387","0.20265715775251","0.232501012114264"
"Yes","2001","16-34 y.","direct migration background","59","0.144688938362065","0.112293885018165","0.177083991705965"
"Yes","2001","16-34 y.","indirect migration background","49","0.171092317287562","0.131972985419841","0.210211649155284"
"Yes","2001","35-65 y.","no migration background","1924","0.266275598986535","0.255850817263756","0.276700380709315"
"Yes","2001","35-65 y.","direct migration background","177","0.174304341503651","0.151455498492344","0.197153184514958"
"Yes","2001","35-65 y.","indirect migration background","","","",""
"Yes","2001","66 and older","no migration background","","","",""
"Yes","2001","66 and older","direct migration background","","","",""
"Yes","2001","66 and older","indirect migration background","","","",""
"No","2001","16-34 y.","no migration background","2284","0.782420915066613","0.767498987885736","0.79734284224749"
"No","2001","16-34 y.","direct migration background","394","0.855311061637935","0.822916008294035","0.887706114981835"
"No","2001","16-34 y.","indirect migration background","307","0.828907682712438","0.789788350844716","0.868027014580159"
"No","2001","35-65 y.","no migration background","4982","0.733724401013465","0.723299619290685","0.744149182736244"
"No","2001","35-65 y.","direct migration background","882","0.825695658496349","0.802846815485042","0.848544501507656"
"No","2001","35-65 y.","indirect migration background","60","0.820900655642978","0.733538260862123","0.908263050423832"
"No","2001","66 and older","no migration background","55","0.846775920755606","0.75987509900051","0.933676742510703"
"No","2001","66 and older","direct migration background","","","",""
"No","2001","66 and older","indirect migration background","","","",""
"Yes","2002","16-34 y.","no migration background","684","0.211652972973602","0.197296796106628","0.226009149840575"
"Yes","2002","16-34 y.","direct migration background","56","0.127035408222902","0.0957051528835605","0.158365663562244"
"Yes","2002","16-34 y.","indirect migration background","54","0.173891927248831","0.135530867121001","0.212252987376661"
"Yes","2002","35-65 y.","no migration background","2398","0.267252952228464","0.257641385885157","0.276864518571771"
"Yes","2002","35-65 y.","direct migration background","185","0.159619698056314","0.137806716241797","0.181432679870832"
"Yes","2002","35-65 y.","indirect migration background","","","",""
"Yes","2002","66 and older","no migration background","","","",""
"Yes","2002","66 and older","direct migration background","","","",""
"Yes","2002","66 and older","indirect migration background","","","",""
"No","2002","16-34 y.","no migration background","2426","0.788347027026398","0.773990850159425","0.802703203893372"
"No","2002","16-34 y.","direct migration background","378","0.872964591777098","0.841634336437756","0.904294847116439"
"No","2002","16-34 y.","indirect migration background","321","0.826108072751169","0.787747012623339","0.864469132878999"
"No","2002","35-65 y.","no migration background","5745","0.732747047771536","0.723135481428229","0.742358614114843"
"No","2002","35-65 y.","direct migration background","898","0.840380301943686","0.818567320129169","0.862193283758203"
"No","2002","35-65 y.","indirect migration background","77","0.76769214348296","0.684081695566439","0.851302591399482"
"No","2002","66 and older","no migration background","90","0.824801713223174","0.752774616944785","0.896828809501564"
"No","2002","66 and older","direct migration background","","","",""
"No","2002","66 and older","indirect migration background","","","",""
"Yes","2003","16-34 y.","no migration background","593","0.22833603452772","0.212154520474664","0.244517548580776"
"Yes","2003","16-34 y.","direct migration background","47","0.162108095665688","0.123497151827418","0.200719039503958"
"Yes","2003","16-34 y.","indirect migration background","52","0.215935842691684","0.171807966497664","0.260063718885704"
"Yes","2003","35-65 y.","no migration background","2223","0.277517553026738","0.267329175781224","0.287705930272252"
"Yes","2003","35-65 y.","direct migration background","161","0.16074143670401","0.137286489856906","0.184196383551113"
"Yes","2003","35-65 y.","indirect migration background","","","",""
"Yes","2003","66 and older","no migration background","","","",""
"Yes","2003","66 and older","direct migration background","","","",""
"Yes","2003","66 and older","indirect migration background","","","",""
"No","2003","16-34 y.","no migration background","1992","0.77166396547228","0.755482451419224","0.787845479525337"
"No","2003","16-34 y.","direct migration background","303","0.837891904334312","0.799280960496042","0.876502848172582"
"No","2003","16-34 y.","indirect migration background","282","0.784064157308316","0.739936281114296","0.828192033502336"
"No","2003","35-65 y.","no migration background","5197","0.722482446973262","0.712294069727748","0.732670824218776"
"No","2003","35-65 y.","direct migration background","781","0.83925856329599","0.815803616448887","0.862713510143094"
"No","2003","35-65 y.","indirect migration background","75","0.729388017707516","0.640515947253954","0.818260088161078"
"No","2003","66 and older","no migration background","77","0.889101186558789","0.823864464294891","0.954337908822687"
"No","2003","66 and older","direct migration background","","","",""
"No","2003","66 and older","indirect migration background","","","",""
"Yes","2004","16-34 y.","no migration background","618","0.227414205157294","0.211653145038181","0.243175265276406"
"Yes","2004","16-34 y.","direct migration background","48","0.167789644895147","0.128472453307881","0.207106836482414"
"Yes","2004","16-34 y.","indirect migration background","52","0.186018094666246","0.145425603061679","0.226610586270813"
"Yes","2004","35-65 y.","no migration background","2205","0.266449456222334","0.256482395868999","0.276416516575669"
"Yes","2004","35-65 y.","direct migration background","161","0.177169160960445","0.15264339413767","0.20169492778322"
"Yes","2004","35-65 y.","indirect migration background","","","",""
"Yes","2004","66 and older","no migration background","","","",""
"Yes","2004","66 and older","direct migration background","","","",""
"Yes","2004","66 and older","indirect migration background","","","",""
"No","2004","16-34 y.","no migration background","2099","0.772585794842706","0.756824734723594","0.788346854961819"
"No","2004","16-34 y.","direct migration background","299","0.832210355104853","0.792893163517586","0.871527546692119"
"No","2004","16-34 y.","indirect migration background","301","0.813981905333754","0.773389413729187","0.854574396938321"
"No","2004","35-65 y.","no migration background","5353","0.733550543777666","0.723583483424331","0.743517604131001"
"No","2004","35-65 y.","direct migration background","770","0.822830839039555","0.79830507221678","0.847356605862331"
