"pgoeffd","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"No","1986","Single parent ","direct migration background","54","0.818678078198628","0.72277468272764","0.914581473669616"
"No","1986","Single parent ","indirect migration background","6","","",""
"No","1986","Couple + C. LE 16 ","no migration background","684","0.728635079793667","0.70025431233218","0.757015847255154"
"No","1986","Couple + C. LE 16 ","direct migration background","505","0.855946442233015","0.82686343124034","0.885029453225689"
"No","1986","Couple + C. LE 16 ","indirect migration background","8","","",""
"No","1986","Couple + C. GT 16 ","no migration background","666","0.763163767710859","0.735248475232716","0.791079060189002"
"No","1986","Couple + C. GT 16 ","direct migration background","272","0.920218256687112","0.889086847481409","0.951349665892815"
"No","1986","Couple + C. GT 16 ","indirect migration background","24","","",""
"No","1986","Couple + C. LE and GT 16","no migration background","323","0.74668014565558","0.705856972135169","0.787503319175992"
"No","1986","Couple + C. LE and GT 16","direct migration background","281","0.856799246107131","0.818360878176146","0.895237614038116"
"No","1986","Couple + C. LE and GT 16","indirect migration background","17","","",""
"Yes","1987","1-pers.-HH","no migration background","133","0.355784825176056","0.30758586470318","0.403983785648932"
"Yes","1987","1-pers.-HH","direct migration background","14","","",""
"Yes","1987","1-pers.-HH","indirect migration background","1","","",""
"Yes","1987","(Married) couple without C. ","no migration background","283","0.294826450057773","0.265998243453054","0.323654656662491"
"Yes","1987","(Married) couple without C. ","direct migration background","26","","",""
"Yes","1987","(Married) couple without C. ","indirect migration background","2","","",""
"Yes","1987","Single parent ","no migration background","49","0.222907089981947","0.166882514427017","0.278931665536877"
"Yes","1987","Single parent ","direct migration background","7","","",""
"Yes","1987","Single parent ","indirect migration background","1","","",""
"Yes","1987","Couple + C. LE 16 ","no migration background","247","0.258204670697699","0.230137492811803","0.286271848583594"
"Yes","1987","Couple + C. LE 16 ","direct migration background","55","0.138647362275484","0.109740016411729","0.16755470813924"
"Yes","1987","Couple + C. LE 16 ","indirect migration background","1","","",""
"Yes","1987","Couple + C. GT 16 ","no migration background","254","0.258952847532777","0.231213349150224","0.28669234591533"
"Yes","1987","Couple + C. GT 16 ","direct migration background","24","","",""
"Yes","1987","Couple + C. GT 16 ","indirect migration background","7","","",""
"Yes","1987","Couple + C. LE and GT 16","no migration background","100","0.249127041622043","0.206582239791207","0.29167184345288"
"Yes","1987","Couple + C. LE and GT 16","direct migration background","40","0.149389723118261","0.110514534986895","0.188264911249627"
"Yes","1987","Couple + C. LE and GT 16","indirect migration background","1","","",""
"No","1987","1-pers.-HH","no migration background","246","0.644215174823944","0.596016214351068","0.69241413529682"
"No","1987","1-pers.-HH","direct migration background","111","0.790293494386231","0.718927184775793","0.861659803996668"
"No","1987","1-pers.-HH","indirect migration background","4","","",""
"No","1987","(Married) couple without C. ","no migration background","678","0.705173549942227","0.676345343337509","0.734001756546946"
"No","1987","(Married) couple without C. ","direct migration background","214","0.889019547118281","0.849280141092511","0.928758953144051"
"No","1987","(Married) couple without C. ","indirect migration background","4","","",""
"No","1987","Single parent ","no migration background","163","0.777092910018053","0.721068334463123","0.833117485572983"
"No","1987","Single parent ","direct migration background","54","0.78750546845001","0.684849585745371","0.890161351154648"
"No","1987","Single parent ","indirect migration background","5","","",""
"No","1987","Couple + C. LE 16 ","no migration background","687","0.741795329302301","0.713728151416406","0.769862507188197"
"No","1987","Couple + C. LE 16 ","direct migration background","494","0.861352637724516","0.832445291860761","0.890259983588271"
"No","1987","Couple + C. LE 16 ","indirect migration background","9","","",""
"No","1987","Couple + C. GT 16 ","no migration background","704","0.741047152467223","0.71330765408467","0.768786650849776"
"No","1987","Couple + C. GT 16 ","direct migration background","270","0.920204832555536","0.889230284679839","0.951179380431233"
"No","1987","Couple + C. GT 16 ","indirect migration background","25","","",""
"No","1987","Couple + C. LE and GT 16","no migration background","297","0.750872958377957","0.70832815654712","0.793417760208793"
"No","1987","Couple + C. LE and GT 16","direct migration background","283","0.850610276881739","0.811735088750373","0.889485465013105"
"No","1987","Couple + C. LE and GT 16","indirect migration background","19","","",""
"Yes","1988","1-pers.-HH","no migration background","121","0.342839295593105","0.293323720370619","0.39235487081559"
"Yes","1988","1-pers.-HH","direct migration background","12","","",""
"Yes","1988","1-pers.-HH","indirect migration background","1","","",""
"Yes","1988","(Married) couple without C. ","no migration background","265","0.284583497004763","0.255815043276392","0.313351950733134"
"Yes","1988","(Married) couple without C. ","direct migration background","25","","",""
"Yes","1988","(Married) couple without C. ","indirect migration background","2","","",""
"Yes","1988","Single parent ","no migration background","49","0.214686272204861","0.161153762600958","0.268218781808764"
"Yes","1988","Single parent ","direct migration background","10","","",""
"Yes","1988","Single parent ","indirect migration background","1","","",""
"Yes","1988","Couple + C. LE 16 ","no migration background","249","0.261175844372173","0.233168673983124","0.289183014761221"
"Yes","1988","Couple + C. LE 16 ","direct migration background","47","0.130458798078352","0.100907294181016","0.160010301975687"
"Yes","1988","Couple + C. LE 16 ","indirect migration background","3","","",""
"Yes","1988","Couple + C. GT 16 ","no migration background","265","0.263649084133411","0.236216494117361","0.29108167414946"
"Yes","1988","Couple + C. GT 16 ","direct migration background","28","","",""
"Yes","1988","Couple + C. GT 16 ","indirect migration background","6","","",""
"Yes","1988","Couple + C. LE and GT 16","no migration background","71","0.224567674194694","0.178774755928955","0.270360592460433"
"Yes","1988","Couple + C. LE and GT 16","direct migration background","36","0.144503429532574","0.104783080428888","0.184223778636259"
"Yes","1988","Couple + C. LE and GT 16","indirect migration background","2","","",""
"No","1988","1-pers.-HH","no migration background","232","0.657160704406895","0.60764512918441","0.706676279629381"
"No","1988","1-pers.-HH","direct migration background","104","0.800450911067968","0.72772129036016","0.873180531775775"
"No","1988","1-pers.-HH","indirect migration background","4","","",""
"No","1988","(Married) couple without C. ","no migration background","680","0.715416502995237","0.686648049266866","0.744184956723608"
"No","1988","(Married) couple without C. ","direct migration background","231","0.89141539192936","0.853304219725606","0.929526564133113"
"No","1988","(Married) couple without C. ","indirect migration background","6","","",""
"No","1988","Single parent ","no migration background","177","0.785313727795139","0.731781218191236","0.838846237399042"
"No","1988","Single parent ","direct migration background","54","0.756467012600261","0.65131151099646","0.861622514204061"
"No","1988","Single parent ","indirect migration background","8","","",""
"No","1988","Couple + C. LE 16 ","no migration background","696","0.738824155627827","0.710816985238779","0.766831326016876"
"No","1988","Couple + C. LE 16 ","direct migration background","452","0.869541201921649","0.839989698024313","0.899092705818984"
"No","1988","Couple + C. LE 16 ","indirect migration background","12","","",""
"No","1988","Couple + C. GT 16 ","no migration background","726","0.736350915866589","0.70891832585054","0.763783505882639"
"No","1988","Couple + C. GT 16 ","direct migration background","265","0.890341251245941","0.854563406786791","0.926119095705092"
"No","1988","Couple + C. GT 16 ","indirect migration background","41","0.897321878601074","0.810543356881953","0.984100400320194"
"No","1988","Couple + C. LE and GT 16","no migration background","248","0.775432325805306","0.729639407539567","0.821225244071045"
"No","1988","Couple + C. LE and GT 16","direct migration background","265","0.855496570467426","0.815776221363741","0.895216919571112"
"No","1988","Couple + C. LE and GT 16","indirect migration background","23","","",""
"Yes","1989","1-pers.-HH","no migration background","134","0.319623968332785","0.274319080557084","0.364928856108485"
"Yes","1989","1-pers.-HH","direct migration background","18","","",""
