"pgoeffd","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2007","Not Employed","Female","29","","",""
"Yes","2007","Not Employed","Male","14","","",""
"No","2008","Employed","Female","3408","0.730062570353976","0.717606120683189","0.742519020024763"
"No","2008","Employed","Male","4268","0.799775157535297","0.789098014620239","0.810452300450356"
"No","2008","Not Employed","Female","85","0.897354462540154","0.838743138990743","0.955965786089564"
"No","2008","Not Employed","Male","57","0.826652126598901","0.737973343720337","0.915330909477464"
"Yes","2008","Employed","Female","1471","0.269937429646024","0.257480979975237","0.282393879316811"
"Yes","2008","Employed","Male","1128","0.200224842464703","0.189547699549644","0.210901985379761"
"Yes","2008","Not Employed","Female","18","","",""
"Yes","2008","Not Employed","Male","13","","",""
"No","2009","Employed","Female","3406","0.727962935573349","0.71547228910972","0.740453582036978"
"No","2009","Employed","Male","4154","0.812598810565566","0.802002528947991","0.82319509218314"
"No","2009","Not Employed","Female","74","0.711458002756298","0.619864785215851","0.803051220296744"
"No","2009","Not Employed","Male","38","0.862292758738362","0.762712114022831","0.961873403453892"
"Yes","2009","Employed","Female","1470","0.272037064426651","0.259546417963022","0.28452771089028"
"Yes","2009","Employed","Male","1056","0.187401189434434","0.17680490781686","0.197997471052009"
"Yes","2009","Not Employed","Female","20","","",""
"Yes","2009","Not Employed","Male","8","","",""
"No","2010","Employed","Female","4390","0.722354831680815","0.711177671680083","0.733531991681548"
"No","2010","Employed","Male","5652","0.801994369080282","0.792665167202067","0.811323570958498"
"No","2010","Not Employed","Female","186","0.802888301279758","0.752347353968736","0.853429248590781"
"No","2010","Not Employed","Male","67","0.785299019615593","0.696961828399645","0.87363621083154"
"Yes","2010","Employed","Female","1777","0.277645168319184","0.266468008318452","0.288822328319917"
"Yes","2010","Employed","Male","1357","0.198005630919718","0.188676429041502","0.207334832797933"
"Yes","2010","Not Employed","Female","52","0.197111698720242","0.146570751409219","0.247652646031265"
"Yes","2010","Not Employed","Male","16","","",""
"No","2011","Employed","Female","5476","0.716575073476183","0.706536514441542","0.726613632510823"
"No","2011","Employed","Male","6400","0.799457031340445","0.790692202647985","0.808221860032905"
"No","2011","Not Employed","Female","239","0.79661465061001","0.750207687685","0.843021613535019"
"No","2011","Not Employed","Male","69","0.757011768125088","0.664182462754713","0.849841073495463"
"Yes","2011","Employed","Female","2266","0.283424926523817","0.273386367489177","0.293463485558458"
"Yes","2011","Employed","Male","1617","0.200542968659555","0.191778139967095","0.209307797352015"
"Yes","2011","Not Employed","Female","50","0.20338534938999","0.156978386464981","0.249792312315"
"Yes","2011","Not Employed","Male","13","","",""
"No","2012","Employed","Female","5451","0.711601069117191","0.701477268759757","0.721724869474625"
"No","2012","Employed","Male","6108","0.797814242018277","0.788814808714671","0.806813675321882"
"No","2012","Not Employed","Female","226","0.744622035412456","0.693726089586559","0.795517981238354"
"No","2012","Not Employed","Male","124","0.883503634635905","0.831104127376131","0.935903141895679"
"Yes","2012","Employed","Female","2241","0.288398930882809","0.278275130525375","0.298522731240243"
"Yes","2012","Employed","Male","1543","0.202185757981723","0.193186324678118","0.211185191285329"
"Yes","2012","Not Employed","Female","56","0.255377964587544","0.204482018761646","0.306273910413441"
"Yes","2012","Not Employed","Male","20","","",""
"No","2013","Employed","Female","5058","0.688896804341367","0.678255124061708","0.699538484621027"
"No","2013","Employed","Male","5341","0.786630530127621","0.776850561413222","0.796410498842021"
"No","2013","Not Employed","Female","1306","0.780814062663219","0.760810402582528","0.80081772274391"
"No","2013","Not Employed","Male","1559","0.896934222520218","0.882557031248713","0.911311413791722"
"Yes","2013","Employed","Female","2212","0.311103195658633","0.300461515378973","0.321744875938292"
"Yes","2013","Employed","Male","1400","0.213369469872379","0.203589501157979","0.223149438586778"
"Yes","2013","Not Employed","Female","337","0.219185937336781","0.19918227725609","0.239189597417472"
"Yes","2013","Not Employed","Male","159","0.103065777479782","0.0886885862082779","0.117442968751287"
"No","2014","Employed","Female","5375","0.691314130857915","0.680939307408856","0.701688954306975"
"No","2014","Employed","Male","5812","0.789968788961109","0.780567939099206","0.799369638823012"
"No","2014","Not Employed","Female","252","0.753169161074245","0.706649440720452","0.799688881428038"
"No","2014","Not Employed","Male","216","0.806555255936425","0.757689259355667","0.855421252517182"
"Yes","2014","Employed","Female","2241","0.308685869142085","0.298311045693025","0.319060692591144"
"Yes","2014","Employed","Male","1400","0.210031211038891","0.200630361176988","0.219432060900794"
"Yes","2014","Not Employed","Female","78","0.246830838925755","0.200311118571962","0.293350559279548"
"Yes","2014","Not Employed","Male","35","0.193444744063575","0.144578747482818","0.242310740644333"
"No","2015","Employed","Female","5011","0.689352158495561","0.678628111251923","0.7000762057392"
"No","2015","Employed","Male","5382","0.802287573307265","0.792750992223083","0.811824154391447"
"No","2015","Not Employed","Female","572","0.781321083620357","0.750501462475843","0.812140704764871"
"No","2015","Not Employed","Male","674","0.827831203625948","0.800758233256121","0.854904173995776"
"Yes","2015","Employed","Female","2142","0.310647841504439","0.2999237942608","0.321371888748077"
"Yes","2015","Employed","Male","1318","0.197712426692735","0.188175845608553","0.207249007776917"
"Yes","2015","Not Employed","Female","119","0.218678916379643","0.187859295235129","0.249498537524157"
"Yes","2015","Not Employed","Male","73","0.172168796374052","0.145095826004224","0.199241766743879"
"No","2016","Employed","Female","4973","0.698559986154478","0.687848349424617","0.709271622884338"
"No","2016","Employed","Male","5196","0.791950936143324","0.78207774804951","0.801824124237137"
"No","2016","Not Employed","Female","251","0.775555866256851","0.729408816632297","0.821702915881406"
"No","2016","Not Employed","Male","482","0.811868304355629","0.779056990720984","0.844679617990274"
"Yes","2016","Employed","Female","2077","0.301440013845522","0.290728377115662","0.312151650575383"
"Yes","2016","Employed","Male","1297","0.208049063856676","0.198175875762863","0.21792225195049"
"Yes","2016","Not Employed","Female","63","0.224444133743149","0.178297084118595","0.270591183367703"
"Yes","2016","Not Employed","Male","63","0.188131695644371","0.155320382009726","0.220943009279016"
"No","2017","Employed","Female","5539","0.697097714060823","0.686980196605859","0.707215231515787"
"No","2017","Employed","Male","5995","0.795110241113096","0.785962789440415","0.804257692785778"
"No","2017","Not Employed","Female","300","0.746652702209281","0.703037903909438","0.790267500509125"
"No","2017","Not Employed","Male","662","0.845303566323116","0.819178603244691","0.87142852940154"
"Yes","2017","Employed","Female","2385","0.302902285939177","0.292784768484213","0.313019803394141"
"Yes","2017","Employed","Male","1484","0.204889758886904","0.195742307214222","0.214037210559585"
"Yes","2017","Not Employed","Female","82","0.253347297790719","0.209732499490875","0.296962096090562"
"Yes","2017","Not Employed","Male","74","0.154696433676884","0.12857147059846","0.180821396755309"
"No","2018","Employed","Female","5256","0.690992568269847","0.680563969049816","0.701421167489879"
"No","2018","Employed","Male","5762","0.783796796082843","0.774292197779902","0.793301394385784"
"No","2018","Not Employed","Female","271","0.847293851491586","0.808775208656774","0.885812494326398"
"No","2018","Not Employed","Male","630","0.815889321226578","0.787360745686039","0.844417896767116"
"Yes","2018","Employed","Female","2286","0.309007431730153","0.298578832510121","0.319436030950184"
"Yes","2018","Employed","Male","1444","0.216203203917157","0.206698605614216","0.225707802220098"
"Yes","2018","Not Employed","Female","64","0.152706148508414","0.114187505673602","0.191224791343226"
"Yes","2018","Not Employed","Male","79","0.184110678773422","0.155582103232884","0.212639254313961"
"No","2019","Employed","Female","5050","0.690733741147595","0.680086663811359","0.701380818483831"
"No","2019","Employed","Male","5623","0.784246659620627","0.774618744779863","0.79387457446139"
"No","2019","Not Employed","Female","335","0.722069546571322","0.680019892357424","0.764119200785221"
"No","2019","Not Employed","Male","531","0.827063776135765","0.796443312032649","0.857684240238881"
"Yes","2019","Employed","Female","2189","0.309266258852405","0.298619181516169","0.319913336188641"
"Yes","2019","Employed","Male","1389","0.215753340379373","0.20612542553861","0.225381255220137"
"Yes","2019","Not Employed","Female","101","0.277930453428678","0.235880799214779","0.319980107642576"
"Yes","2019","Not Employed","Male","55","0.172936223864235","0.142315759761119","0.203556687967351"
