"pgoeffd","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Saxony","Rural Area","","","",""
"Yes","1986","Saxony-Anhalt","Urban Area","","","",""
"Yes","1986","Saxony-Anhalt","Rural Area","","","",""
"Yes","1986","Thuringia","Urban Area","","","",""
"Yes","1986","Thuringia","Rural Area","","","",""
"No","1986","Schleswig-Holstein","Urban Area","65","0.678031131096213","0.582556951422931","0.773505310769495"
"No","1986","Schleswig-Holstein","Rural Area","69","0.776081514977485","0.688984073384875","0.863178956570094"
"No","1986","Hamburg","Urban Area","92","0.734636484517603","0.657846764683863","0.811426204351343"
"No","1986","Hamburg","Rural Area","2","","",""
"No","1986","Lower Saxony","Urban Area","216","0.674855269714736","0.621401201368223","0.728309338061248"
"No","1986","Lower Saxony","Rural Area","198","0.771166442941681","0.720006255584731","0.82232663029863"
"No","1986","Bremen","Urban Area","35","0.820616660319717","0.703176298599562","0.938057022039871"
"No","1986","Bremen","Rural Area","","","",""
"No","1986","North Rhine-Westphalia","Urban Area","1097","0.730827131302597","0.707879116947866","0.753775145657328"
"No","1986","North Rhine-Westphalia","Rural Area","28","","",""
"No","1986","Hesse","Urban Area","389","0.721322845009897","0.68225779719961","0.760387892820183"
"No","1986","Hesse","Rural Area","44","0.609731992335688","0.492926932359946","0.726537052311429"
"No","1986","Rhineland-Palatinate,Saarland","Urban Area","264","0.758410574030377","0.712366875698838","0.804454272361916"
"No","1986","Rhineland-Palatinate,Saarland","Rural Area","44","0.698134581895358","0.584776086395247","0.811493077395468"
"No","1986","Baden-Württemberg","Urban Area","852","0.77220120073533","0.746600036837319","0.79780236463334"
"No","1986","Baden-Württemberg","Rural Area","146","0.786826388227631","0.726320458705728","0.847332317749533"
"No","1986","Bavaria","Urban Area","426","0.738243412450755","0.701605212736769","0.774881612164741"
"No","1986","Bavaria","Rural Area","371","0.783275387677108","0.745746218247925","0.82080455710629"
"No","1986","Berlin","Urban Area","127","0.591025028630424","0.523057517968604","0.658992539292243"
"No","1986","Berlin","Rural Area","","","",""
"No","1986","Brandenburg","Urban Area","","","",""
"No","1986","Brandenburg","Rural Area","","","",""
"No","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No","1986","Saxony","Urban Area","","","",""
"No","1986","Saxony","Rural Area","","","",""
"No","1986","Saxony-Anhalt","Urban Area","","","",""
"No","1986","Saxony-Anhalt","Rural Area","","","",""
"No","1986","Thuringia","Urban Area","","","",""
"No","1986","Thuringia","Rural Area","","","",""
"Yes","1987","Schleswig-Holstein","Urban Area","25","","",""
"Yes","1987","Schleswig-Holstein","Rural Area","24","","",""
"Yes","1987","Hamburg","Urban Area","29","","",""
"Yes","1987","Hamburg","Rural Area","1","","",""
"Yes","1987","Lower Saxony","Urban Area","81","0.327418797264294","0.274925594584828","0.379911999943759"
"Yes","1987","Lower Saxony","Rural Area","72","0.258240818744188","0.206792687633904","0.309688949854473"
"Yes","1987","Bremen","Urban Area","6","","",""
"Yes","1987","Bremen","Rural Area","","","",""
"Yes","1987","North Rhine-Westphalia","Urban Area","361","0.283851109399446","0.260652532483618","0.307049686315274"
"Yes","1987","North Rhine-Westphalia","Rural Area","11","","",""
"Yes","1987","Hesse","Urban Area","102","0.233476153034624","0.197185319838665","0.269766986230584"
"Yes","1987","Hesse","Rural Area","24","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","Urban Area","62","0.22210659733999","0.177191647856043","0.267021546823937"
"Yes","1987","Rhineland-Palatinate,Saarland","Rural Area","16","","",""
"Yes","1987","Baden-Württemberg","Urban Area","180","0.224276529508129","0.198704333619059","0.249848725397199"
"Yes","1987","Baden-Württemberg","Rural Area","27","","",""
"Yes","1987","Bavaria","Urban Area","130","0.26152344199956","0.225060252022254","0.297986631976866"
"Yes","1987","Bavaria","Rural Area","89","0.203829902184265","0.167977843302758","0.239681961065773"
"Yes","1987","Berlin","Urban Area","81","0.422768229482776","0.357041123725043","0.488495335240509"
"Yes","1987","Berlin","Rural Area","","","",""
"Yes","1987","Brandenburg","Urban Area","","","",""
"Yes","1987","Brandenburg","Rural Area","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","1987","Saxony","Urban Area","","","",""
"Yes","1987","Saxony","Rural Area","","","",""
"Yes","1987","Saxony-Anhalt","Urban Area","","","",""
"Yes","1987","Saxony-Anhalt","Rural Area","","","",""
"Yes","1987","Thuringia","Urban Area","","","",""
"Yes","1987","Thuringia","Rural Area","","","",""
"No","1987","Schleswig-Holstein","Urban Area","60","0.688762247120743","0.590334072551973","0.787190421689514"
"No","1987","Schleswig-Holstein","Rural Area","71","0.746606437408367","0.659142315134383","0.834070559682352"
"No","1987","Hamburg","Urban Area","89","0.767141634152001","0.690882690215128","0.843400578088874"
"No","1987","Hamburg","Rural Area","1","","",""
"No","1987","Lower Saxony","Urban Area","226","0.672581202735706","0.62008800005624","0.725074405415172"
"No","1987","Lower Saxony","Rural Area","206","0.741759181255812","0.690311050145527","0.793207312366096"
"No","1987","Bremen","Urban Area","31","0.78637344016627","0.654307973365969","0.918438906966572"
"No","1987","Bremen","Rural Area","","","",""
"No","1987","North Rhine-Westphalia","Urban Area","1090","0.716148890600554","0.692950313684726","0.739347467516382"
"No","1987","North Rhine-Westphalia","Rural Area","27","","",""
"No","1987","Hesse","Urban Area","420","0.766523846965376","0.730233013769416","0.802814680161335"
"No","1987","Hesse","Rural Area","51","0.622420908532184","0.512706538325634","0.732135278738733"
"No","1987","Rhineland-Palatinate,Saarland","Urban Area","267","0.77789340266001","0.732978453176063","0.822808352143957"
"No","1987","Rhineland-Palatinate,Saarland","Rural Area","46","0.706673760445906","0.593345770356549","0.820001750535263"
"No","1987","Baden-Württemberg","Urban Area","842","0.775723470491871","0.750151274602801","0.801295666380941"
"No","1987","Baden-Württemberg","Rural Area","149","0.807833253710804","0.749624039205546","0.866042468216061"
"No","1987","Bavaria","Urban Area","428","0.73847655800044","0.702013368023134","0.774939747977746"
"No","1987","Bavaria","Rural Area","396","0.796170097815735","0.760318038934227","0.832022156697243"
"No","1987","Berlin","Urban Area","136","0.577231770517224","0.511504664759491","0.642958876274957"
"No","1987","Berlin","Rural Area","","","",""
"No","1987","Brandenburg","Urban Area","","","",""
"No","1987","Brandenburg","Rural Area","","","",""
"No","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No","1987","Saxony","Urban Area","","","",""
"No","1987","Saxony","Rural Area","","","",""
"No","1987","Saxony-Anhalt","Urban Area","","","",""
"No","1987","Saxony-Anhalt","Rural Area","","","",""
"No","1987","Thuringia","Urban Area","","","",""
"No","1987","Thuringia","Rural Area","","","",""
"Yes","1988","Schleswig-Holstein","Urban Area","24","","",""
"Yes","1988","Schleswig-Holstein","Rural Area","23","","",""
"Yes","1988","Hamburg","Urban Area","27","","",""
"Yes","1988","Hamburg","Rural Area","1","","",""
"Yes","1988","Lower Saxony","Urban Area","83","0.339248711776365","0.286201142255113","0.392296281297616"
"Yes","1988","Lower Saxony","Rural Area","57","0.228896722225252","0.176922584643389","0.280870859807116"
"Yes","1988","Bremen","Urban Area","9","","",""
"Yes","1988","Bremen","Rural Area","","","",""
"Yes","1988","North Rhine-Westphalia","Urban Area","347","0.277435421196041","0.254269934519066","0.300600907873016"
"Yes","1988","North Rhine-Westphalia","Rural Area","10","","",""
"Yes","1988","Hesse","Urban Area","101","0.242707843523177","0.205278995739309","0.280136691307046"
"Yes","1988","Hesse","Rural Area","20","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","Urban Area","53","0.201123671900434","0.157273939663511","0.244973404137357"
"Yes","1988","Rhineland-Palatinate,Saarland","Rural Area","15","","",""
"Yes","1988","Baden-Württemberg","Urban Area","180","0.226536400434821","0.201022505702436","0.252050295167206"
"Yes","1988","Baden-Württemberg","Rural Area","24","","",""
"Yes","1988","Bavaria","Urban Area","117","0.2384960911166","0.202350597191484","0.274641585041716"
"Yes","1988","Bavaria","Rural Area","88","0.210265414528413","0.173772812150798","0.246758016906028"
"Yes","1988","Berlin","Urban Area","77","0.410927082473583","0.345161939026662","0.476692225920505"
"Yes","1988","Berlin","Rural Area","","","",""
"Yes","1988","Brandenburg","Urban Area","","","",""
"Yes","1988","Brandenburg","Rural Area","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","1988","Saxony","Urban Area","","","",""
"Yes","1988","Saxony","Rural Area","","","",""
"Yes","1988","Saxony-Anhalt","Urban Area","","","",""
"Yes","1988","Saxony-Anhalt","Rural Area","","","",""
"Yes","1988","Thuringia","Urban Area","","","",""
"Yes","1988","Thuringia","Rural Area","","","",""
"No","1988","Schleswig-Holstein","Urban Area","63","0.681969550829405","0.584109529027398","0.779829572631412"
"No","1988","Schleswig-Holstein","Rural Area","70","0.727170798592421","0.636645439168953","0.817696158015888"
"No","1988","Hamburg","Urban Area","83","0.803307279177858","0.729024739506362","0.877589818849355"
"No","1988","Hamburg","Rural Area","1","","",""
"No","1988","Lower Saxony","Urban Area","223","0.660751288223635","0.607703718702384","0.713798857744887"
"No","1988","Lower Saxony","Rural Area","194","0.771103277774748","0.719129140192884","0.823077415356611"
"No","1988","Bremen","Urban Area","36","0.744484582138408","0.617052657162591","0.871916507114224"
"No","1988","Bremen","Rural Area","","","",""
"No","1988","North Rhine-Westphalia","Urban Area","1088","0.722564578803959","0.699399092126984","0.745730065480934"
"No","1988","North Rhine-Westphalia","Rural Area","27","","",""
"No","1988","Hesse","Urban Area","403","0.757292156476823","0.719863308692954","0.794721004260691"
"No","1988","Hesse","Rural Area","50","0.672962848222008","0.563063994795159","0.782861701648857"
"No","1988","Rhineland-Palatinate,Saarland","Urban Area","268","0.798876328099566","0.755026595862643","0.842726060336489"
"No","1988","Rhineland-Palatinate,Saarland","Rural Area","43","0.715798848413308","0.599722828427425","0.83187486839919"
"No","1988","Baden-Württemberg","Urban Area","854","0.773463599565179","0.747949704832794","0.798977494297564"
"No","1988","Baden-Württemberg","Rural Area","126","0.798613779479173","0.734435844799414","0.862791714158932"
"No","1988","Bavaria","Urban Area","417","0.7615039088834","0.725358414958284","0.797649402808516"
"No","1988","Bavaria","Rural Area","391","0.789734585471587","0.753241983093972","0.826227187849202"
"No","1988","Berlin","Urban Area","138","0.589072917526417","0.523307774079495","0.654838060973338"
"No","1988","Berlin","Rural Area","","","",""
"No","1988","Brandenburg","Urban Area","","","",""
"No","1988","Brandenburg","Rural Area","","","",""
"No","1988","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No","1988","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No","1988","Saxony","Urban Area","","","",""
"No","1988","Saxony","Rural Area","","","",""
"No","1988","Saxony-Anhalt","Urban Area","","","",""
"No","1988","Saxony-Anhalt","Rural Area","","","",""
"No","1988","Thuringia","Urban Area","","","",""
"No","1988","Thuringia","Rural Area","","","",""
"Yes","1989","Schleswig-Holstein","Urban Area","25","","",""
"Yes","1989","Schleswig-Holstein","Rural Area","23","","",""
"Yes","1989","Hamburg","Urban Area","21","","",""
"Yes","1989","Hamburg","Rural Area","","","",""
"Yes","1989","Lower Saxony","Urban Area","82","0.30346350161441","0.252852651593217","0.354074351635603"
"Yes","1989","Lower Saxony","Rural Area","63","0.262889362660606","0.20776826023506","0.318010465086151"
"Yes","1989","Bremen","Urban Area","9","","",""
"Yes","1989","Bremen","Rural Area","","","",""
"Yes","1989","North Rhine-Westphalia","Urban Area","338","0.263235236586393","0.240599099105038","0.285871374067748"
"Yes","1989","North Rhine-Westphalia","Rural Area","14","","",""
"Yes","1989","Hesse","Urban Area","109","0.257058113396638","0.219817799320063","0.294298427473212"
"Yes","1989","Hesse","Rural Area","17","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","Urban Area","53","0.168093643159908","0.128227648221282","0.207959638098534"
"Yes","1989","Rhineland-Palatinate,Saarland","Rural Area","15","","",""
"Yes","1989","Baden-Württemberg","Urban Area","174","0.21572394812283","0.190749385655652","0.240698510590008"
"Yes","1989","Baden-Württemberg","Rural Area","28","","",""
"Yes","1989","Bavaria","Urban Area","123","0.259936892386618","0.222978097884459","0.296895686888778"
"Yes","1989","Bavaria","Rural Area","91","0.208101632483372","0.172411976312221","0.243791288654524"
"Yes","1989","Berlin","Urban Area","73","0.394980676035554","0.329939142637964","0.460022209433145"
"Yes","1989","Berlin","Rural Area","","","",""
"Yes","1989","Brandenburg","Urban Area","","","",""
"Yes","1989","Brandenburg","Rural Area","","","",""
"Yes","1989","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1989","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","1989","Saxony","Urban Area","","","",""
"Yes","1989","Saxony","Rural Area","","","",""
"Yes","1989","Saxony-Anhalt","Urban Area","","","",""
"Yes","1989","Saxony-Anhalt","Rural Area","","","",""
"Yes","1989","Thuringia","Urban Area","","","",""
"Yes","1989","Thuringia","Rural Area","","","",""
"No","1989","Schleswig-Holstein","Urban Area","64","0.670565947609709","0.572919133170555","0.768212762048863"
"No","1989","Schleswig-Holstein","Rural Area","62","0.73009643815208","0.635726634608995","0.824466241695166"
"No","1989","Hamburg","Urban Area","97","0.851699254088374","0.787575064640414","0.915823443536334"
"No","1989","Hamburg","Rural Area","","","",""
"No","1989","Lower Saxony","Urban Area","235","0.69653649838559","0.645925648364397","0.747147348406783"
"No","1989","Lower Saxony","Rural Area","182","0.737110637339394","0.681989534913849","0.79223173976494"
"No","1989","Bremen","Urban Area","39","0.739724505562253","0.615593830985364","0.863855180139142"
"No","1989","Bremen","Rural Area","","","",""
"No","1989","North Rhine-Westphalia","Urban Area","1116","0.736764763413607","0.714128625932252","0.759400900894962"
"No","1989","North Rhine-Westphalia","Rural Area","27","","",""
"No","1989","Hesse","Urban Area","420","0.742941886603362","0.705701572526788","0.780182200679937"
"No","1989","Hesse","Rural Area","52","0.6936277227449","0.584857128982393","0.802398316507408"
"No","1989","Rhineland-Palatinate,Saarland","Urban Area","285","0.831906356840092","0.792040361901466","0.871772351778718"
"No","1989","Rhineland-Palatinate,Saarland","Rural Area","43","0.722415138159887","0.607169259800664","0.837661016519109"
"No","1989","Baden-Württemberg","Urban Area","868","0.78427605187717","0.759301489409992","0.809250614344348"
"No","1989","Baden-Württemberg","Rural Area","125","0.781572023444002","0.716102224143217","0.847041822744787"
"No","1989","Bavaria","Urban Area","418","0.740063107613382","0.703104313111222","0.777021902115541"
"No","1989","Bavaria","Rural Area","406","0.791898367516627","0.756208711345476","0.827588023687779"
"No","1989","Berlin","Urban Area","144","0.605019323964446","0.539977790566855","0.670060857362036"
"No","1989","Berlin","Rural Area","","","",""
"No","1989","Brandenburg","Urban Area","","","",""
"No","1989","Brandenburg","Rural Area","","","",""
"No","1989","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No","1989","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No","1989","Saxony","Urban Area","","","",""
"No","1989","Saxony","Rural Area","","","",""
"No","1989","Saxony-Anhalt","Urban Area","","","",""
"No","1989","Saxony-Anhalt","Rural Area","","","",""
"No","1989","Thuringia","Urban Area","","","",""
"No","1989","Thuringia","Rural Area","","","",""
"Yes","1990","Schleswig-Holstein","Urban Area","26","","",""
"Yes","1990","Schleswig-Holstein","Rural Area","20","","",""
"Yes","1990","Hamburg","Urban Area","17","","",""
"Yes","1990","Hamburg","Rural Area","","","",""
"Yes","1990","Lower Saxony","Urban Area","73","0.289172888985143","0.237954534464812","0.340391243505474"
"Yes","1990","Lower Saxony","Rural Area","64","0.271626290008484","0.215815751914906","0.327436828102063"
"Yes","1990","Bremen","Urban Area","6","","",""
"Yes","1990","Bremen","Rural Area","","","",""
"Yes","1990","North Rhine-Westphalia","Urban Area","339","0.268099337034479","0.245043339560239","0.29115533450872"
"Yes","1990","North Rhine-Westphalia","Rural Area","15","","",""
"Yes","1990","Hesse","Urban Area","115","0.252889829028252","0.215672906934396","0.290106751122109"
"Yes","1990","Hesse","Rural Area","19","","",""
"Yes","1990","Rhineland-Palatinate,Saarland","Urban Area","52","0.192417511247898","0.14839361502964","0.236441407466157"
"Yes","1990","Rhineland-Palatinate,Saarland","Rural Area","13","","",""
"Yes","1990","Baden-Württemberg","Urban Area","170","0.212517176122384","0.1873624959275","0.237671856317267"
"Yes","1990","Baden-Württemberg","Rural Area","30","0.235334860474093","0.168767004420933","0.301902716527253"
"Yes","1990","Bavaria","Urban Area","110","0.249330632024732","0.211635523438164","0.287025740611299"
"Yes","1990","Bavaria","Rural Area","86","0.20431815169948","0.168726525437588","0.239909777961372"
"Yes","1990","Berlin","Urban Area","175","0.441602593438138","0.393418297958814","0.489786888917461"
"Yes","1990","Berlin","Rural Area","","","",""
"Yes","1990","Brandenburg","Urban Area","20","","",""
"Yes","1990","Brandenburg","Rural Area","164","0.345885329579568","0.303769722342441","0.388000936816694"
"Yes","1990","Mecklenburg-Western Pomerania","Urban Area","10","","",""
"Yes","1990","Mecklenburg-Western Pomerania","Rural Area","115","0.34211988267911","0.291542974294574","0.392696791063646"
"Yes","1990","Saxony","Urban Area","177","0.33568198738319","0.295210489378955","0.376153485387425"
"Yes","1990","Saxony","Rural Area","133","0.268358482278072","0.228468324445022","0.308248640111121"
"Yes","1990","Saxony-Anhalt","Urban Area","76","0.436607377526176","0.364153280014646","0.509061475037705"
"Yes","1990","Saxony-Anhalt","Rural Area","139","0.32167675807598","0.277056175764451","0.366297340387509"
"Yes","1990","Thuringia","Urban Area","47","0.300479534102145","0.227354298462357","0.373604769741933"
"Yes","1990","Thuringia","Rural Area","106","0.273322284801663","0.228572181164433","0.318072388438893"
"No","1990","Schleswig-Holstein","Urban Area","59","0.638009178835737","0.535844477249029","0.740173880422446"
"No","1990","Schleswig-Holstein","Rural Area","58","0.77134984079987","0.678150628707634","0.864549052892106"
"No","1990","Hamburg","Urban Area","80","0.844747363909022","0.772678921157146","0.916815806660898"
"No","1990","Hamburg","Rural Area","","","",""
"No","1990","Lower Saxony","Urban Area","228","0.710827111014857","0.659608756494526","0.762045465535188"
"No","1990","Lower Saxony","Rural Area","180","0.728373709991516","0.672563171897937","0.784184248085094"
"No","1990","Bremen","Urban Area","37","0.815553658355377","0.699629178427484","0.93147813828327"
"No","1990","Bremen","Rural Area","","","",""
"No","1990","North Rhine-Westphalia","Urban Area","1079","0.731900662965521","0.70884466549128","0.754956660439761"
"No","1990","North Rhine-Westphalia","Rural Area","31","0.6551282873602","0.517768016658325","0.792488558062074"
"No","1990","Hesse","Urban Area","409","0.747110170971748","0.709893248877891","0.784327093065604"
"No","1990","Hesse","Rural Area","50","0.648171968677489","0.53549532881199","0.760848608542988"
"No","1990","Rhineland-Palatinate,Saarland","Urban Area","256","0.807582488752102","0.763558592533844","0.85160638497036"
"No","1990","Rhineland-Palatinate,Saarland","Rural Area","40","0.732092601439835","0.61286260834379","0.851322594535879"
"No","1990","Baden-Württemberg","Urban Area","846","0.787482823877617","0.762328143682733","0.8126375040725"
"No","1990","Baden-Württemberg","Rural Area","126","0.764665139525907","0.698097283472747","0.831232995579067"
"No","1990","Bavaria","Urban Area","396","0.750669367975269","0.712974259388701","0.788364476561836"
"No","1990","Bavaria","Rural Area","407","0.79568184830052","0.760090222038628","0.831273474562412"
"No","1990","Berlin","Urban Area","233","0.558397406561862","0.510213111082539","0.606581702041186"
"No","1990","Berlin","Rural Area","","","",""
"No","1990","Brandenburg","Urban Area","33","0.606224349936773","0.474686338189021","0.737762361684525"
"No","1990","Brandenburg","Rural Area","326","0.654114670420432","0.611999063183306","0.696230277657559"
"No","1990","Mecklenburg-Western Pomerania","Urban Area","34","0.755291835162062","0.628262689340118","0.882320980984007"
"No","1990","Mecklenburg-Western Pomerania","Rural Area","223","0.65788011732089","0.607303208936354","0.708457025705426"
"No","1990","Saxony","Urban Area","346","0.66431801261681","0.623846514612575","0.704789510621045"
"No","1990","Saxony","Rural Area","341","0.731641517721928","0.691751359888879","0.771531675554978"
"No","1990","Saxony-Anhalt","Urban Area","104","0.563392622473824","0.490938524962295","0.635846719985354"
"No","1990","Saxony-Anhalt","Rural Area","282","0.678323241924019","0.63370265961249","0.722943824235549"
"No","1990","Thuringia","Urban Area","104","0.699520465897855","0.626395230258067","0.772645701537643"
"No","1990","Thuringia","Rural Area","275","0.726677715198337","0.681927611561107","0.771427818835567"
"Yes","1991","Schleswig-Holstein","Urban Area","24","","",""
"Yes","1991","Schleswig-Holstein","Rural Area","28","","",""
"Yes","1991","Hamburg","Urban Area","19","","",""
"Yes","1991","Hamburg","Rural Area","","","",""
"Yes","1991","Lower Saxony","Urban Area","73","0.272608439538529","0.223276328588608","0.32194055048845"
"Yes","1991","Lower Saxony","Rural Area","66","0.258607885488022","0.205281386531955","0.31193438444409"
"Yes","1991","Bremen","Urban Area","10","","",""
"Yes","1991","Bremen","Rural Area","","","",""
"Yes","1991","North Rhine-Westphalia","Urban Area","333","0.250963400197293","0.228814564557049","0.273112235837536"
"Yes","1991","North Rhine-Westphalia","Rural Area","14","","",""
"Yes","1991","Hesse","Urban Area","124","0.277373442547802","0.239612692806063","0.31513419228954"
