"pgoeffd","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Thuringia","vocational + Abi","","","",""
"Yes","1984","Thuringia","higher vocational","","","",""
"Yes","1984","Thuringia","higher education","","","",""
"No","1984","Schleswig-Holstein","in school","","","",""
"No","1984","Schleswig-Holstein","inadequately","4","","",""
"No","1984","Schleswig-Holstein","general elemantary","29","","",""
"No","1984","Schleswig-Holstein","middle vocational","110","0.753040425090494","0.68332778928674","0.822753060894248"
"No","1984","Schleswig-Holstein","vocational + Abi","5","","",""
"No","1984","Schleswig-Holstein","higher vocational","12","","",""
"No","1984","Schleswig-Holstein","higher education","12","","",""
"No","1984","Hamburg","in school","","","",""
"No","1984","Hamburg","inadequately","7","","",""
"No","1984","Hamburg","general elemantary","24","","",""
"No","1984","Hamburg","middle vocational","67","0.729764683464924","0.637504234960639","0.822025131969209"
"No","1984","Hamburg","vocational + Abi","11","","",""
"No","1984","Hamburg","higher vocational","10","","",""
"No","1984","Hamburg","higher education","9","","",""
"No","1984","Lower Saxony","in school","","","",""
"No","1984","Lower Saxony","inadequately","28","","",""
"No","1984","Lower Saxony","general elemantary","117","0.785199459003101","0.717888193831731","0.85251072417447"
"No","1984","Lower Saxony","middle vocational","290","0.767865064649883","0.724787849936394","0.810942279363372"
"No","1984","Lower Saxony","vocational + Abi","9","","",""
"No","1984","Lower Saxony","higher vocational","35","0.675720534535732","0.549696482615431","0.801744586456033"
"No","1984","Lower Saxony","higher education","27","","",""
"No","1984","Bremen","in school","","","",""
"No","1984","Bremen","inadequately","1","","",""
"No","1984","Bremen","general elemantary","15","","",""
"No","1984","Bremen","middle vocational","26","","",""
"No","1984","Bremen","vocational + Abi","2","","",""
"No","1984","Bremen","higher vocational","1","","",""
"No","1984","Bremen","higher education","","","",""
"No","1984","North Rhine-Westphalia","in school","","","",""
"No","1984","North Rhine-Westphalia","inadequately","145","0.910257001596788","0.865406418486964","0.955107584706612"
"No","1984","North Rhine-Westphalia","general elemantary","345","0.804435135563056","0.765758531044055","0.843111740082058"
"No","1984","North Rhine-Westphalia","middle vocational","727","0.800478607863963","0.774252414304556","0.82670480142337"
"No","1984","North Rhine-Westphalia","vocational + Abi","51","0.865431201049155","0.778352779590165","0.952509622508144"
"No","1984","North Rhine-Westphalia","higher vocational","63","0.563790417490249","0.471116356480763","0.656464478499734"
"No","1984","North Rhine-Westphalia","higher education","88","0.457936926617034","0.386142625711993","0.529731227522075"
"No","1984","Hesse","in school","2","","",""
"No","1984","Hesse","inadequately","61","0.914592825615951","0.849120141877674","0.980065509354229"
"No","1984","Hesse","general elemantary","144","0.783553388007136","0.722008276894426","0.845098499119845"
"No","1984","Hesse","middle vocational","293","0.765263529477869","0.722077525308547","0.808449533647192"
"No","1984","Hesse","vocational + Abi","25","","",""
"No","1984","Hesse","higher vocational","22","","",""
"No","1984","Hesse","higher education","33","0.475297349363705","0.356602203114728","0.593992495612683"
"No","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"No","1984","Rhineland-Palatinate,Saarland","inadequately","37","0.863017064659817","0.760249328670448","0.965784800649187"
"No","1984","Rhineland-Palatinate,Saarland","general elemantary","93","0.840784750176095","0.772098534949533","0.909470965402658"
"No","1984","Rhineland-Palatinate,Saarland","middle vocational","184","0.752966469440532","0.698173431056661","0.807759507824404"
"No","1984","Rhineland-Palatinate,Saarland","vocational + Abi","6","","",""
"No","1984","Rhineland-Palatinate,Saarland","higher vocational","23","","",""
"No","1984","Rhineland-Palatinate,Saarland","higher education","11","","",""
"No","1984","Baden-Württemberg","in school","","","",""
"No","1984","Baden-Württemberg","inadequately","172","0.906405917658216","0.864660111792148","0.948151723524283"
"No","1984","Baden-Württemberg","general elemantary","326","0.83679897981966","0.799346179463915","0.874251780175405"
"No","1984","Baden-Württemberg","middle vocational","556","0.816501930969597","0.78681359488956","0.846190267049634"
"No","1984","Baden-Württemberg","vocational + Abi","34","0.829927262533919","0.710475198250129","0.949379326817709"
"No","1984","Baden-Württemberg","higher vocational","55","0.693915319929608","0.592288442945793","0.795542196913422"
"No","1984","Baden-Württemberg","higher education","58","0.570886822500324","0.475301675234082","0.666471969766565"
"No","1984","Bavaria","in school","","","",""
"No","1984","Bavaria","inadequately","67","0.944933964815226","0.89187466062541","0.997993269005042"
"No","1984","Bavaria","general elemantary","256","0.859395171985738","0.819456081740596","0.89933426223088"
"No","1984","Bavaria","middle vocational","534","0.79838236666227","0.767727116207476","0.829037617117065"
"No","1984","Bavaria","vocational + Abi","27","","",""
"No","1984","Bavaria","higher vocational","67","0.746830079627891","0.65797727709379","0.835682882161991"
"No","1984","Bavaria","higher education","62","0.511670304905165","0.420706049241276","0.602634560569054"
"No","1984","Berlin","in school","","","",""
"No","1984","Berlin","inadequately","16","","",""
"No","1984","Berlin","general elemantary","43","0.698162849856539","0.577931204271252","0.818394495441827"
"No","1984","Berlin","middle vocational","87","0.646812099936954","0.564332753302857","0.729291446571051"
"No","1984","Berlin","vocational + Abi","8","","",""
"No","1984","Berlin","higher vocational","8","","",""
"No","1984","Berlin","higher education","13","","",""
"No","1984","Brandenburg","in school","","","",""
"No","1984","Brandenburg","inadequately","","","",""
"No","1984","Brandenburg","general elemantary","","","",""
"No","1984","Brandenburg","middle vocational","","","",""
"No","1984","Brandenburg","vocational + Abi","","","",""
"No","1984","Brandenburg","higher vocational","","","",""
"No","1984","Brandenburg","higher education","","","",""
"No","1984","Mecklenburg-Western Pomerania","in school","","","",""
"No","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"No","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"No","1984","Saxony","in school","","","",""
"No","1984","Saxony","inadequately","","","",""
"No","1984","Saxony","general elemantary","","","",""
"No","1984","Saxony","middle vocational","","","",""
"No","1984","Saxony","vocational + Abi","","","",""
"No","1984","Saxony","higher vocational","","","",""
"No","1984","Saxony","higher education","","","",""
"No","1984","Saxony-Anhalt","in school","","","",""
"No","1984","Saxony-Anhalt","inadequately","","","",""
"No","1984","Saxony-Anhalt","general elemantary","","","",""
"No","1984","Saxony-Anhalt","middle vocational","","","",""
"No","1984","Saxony-Anhalt","vocational + Abi","","","",""
"No","1984","Saxony-Anhalt","higher vocational","","","",""
"No","1984","Saxony-Anhalt","higher education","","","",""
"No","1984","Thuringia","in school","","","",""
"No","1984","Thuringia","inadequately","","","",""
"No","1984","Thuringia","general elemantary","","","",""
"No","1984","Thuringia","middle vocational","","","",""
"No","1984","Thuringia","vocational + Abi","","","",""
"No","1984","Thuringia","higher vocational","","","",""
"No","1984","Thuringia","higher education","","","",""
"Yes","1985","Schleswig-Holstein","in school","","","",""
"Yes","1985","Schleswig-Holstein","inadequately","","","",""
"Yes","1985","Schleswig-Holstein","general elemantary","5","","",""
"Yes","1985","Schleswig-Holstein","middle vocational","34","0.281701162828045","0.202526877845909","0.360875447810182"
"Yes","1985","Schleswig-Holstein","vocational + Abi","1","","",""
"Yes","1985","Schleswig-Holstein","higher vocational","6","","",""
"Yes","1985","Schleswig-Holstein","higher education","4","","",""
"Yes","1985","Hamburg","in school","","","",""
"Yes","1985","Hamburg","inadequately","5","","",""
"Yes","1985","Hamburg","general elemantary","6","","",""
"Yes","1985","Hamburg","middle vocational","22","","",""
"Yes","1985","Hamburg","vocational + Abi","3","","",""
"Yes","1985","Hamburg","higher vocational","6","","",""
"Yes","1985","Hamburg","higher education","1","","",""
"Yes","1985","Lower Saxony","in school","","","",""
"Yes","1985","Lower Saxony","inadequately","","","",""
"Yes","1985","Lower Saxony","general elemantary","19","","",""
"Yes","1985","Lower Saxony","middle vocational","72","0.246065687975059","0.197963479462402","0.294167896487715"
"Yes","1985","Lower Saxony","vocational + Abi","2","","",""
"Yes","1985","Lower Saxony","higher vocational","17","","",""
"Yes","1985","Lower Saxony","higher education","34","0.610438956770086","0.483843084931073","0.737034828609099"
"Yes","1985","Bremen","in school","","","",""
"Yes","1985","Bremen","inadequately","","","",""
"Yes","1985","Bremen","general elemantary","2","","",""
"Yes","1985","Bremen","middle vocational","5","","",""
"Yes","1985","Bremen","vocational + Abi","","","",""
"Yes","1985","Bremen","higher vocational","1","","",""
"Yes","1985","Bremen","higher education","1","","",""
"Yes","1985","North Rhine-Westphalia","in school","","","",""
"Yes","1985","North Rhine-Westphalia","inadequately","10","","",""
"Yes","1985","North Rhine-Westphalia","general elemantary","49","0.192887453809649","0.150056442367822","0.235718465251476"
"Yes","1985","North Rhine-Westphalia","middle vocational","155","0.208550219312288","0.18005712726589","0.237043311358686"
"Yes","1985","North Rhine-Westphalia","vocational + Abi","8","","",""
"Yes","1985","North Rhine-Westphalia","higher vocational","44","0.438194559149694","0.34237460923683","0.534014509062558"
"Yes","1985","North Rhine-Westphalia","higher education","95","0.550054436427746","0.476556595735564","0.623552277119928"
"Yes","1985","Hesse","in school","","","",""
"Yes","1985","Hesse","inadequately","8","","",""
"Yes","1985","Hesse","general elemantary","24","","",""
"Yes","1985","Hesse","middle vocational","72","0.255847785764168","0.20766248937819","0.304033082150147"
"Yes","1985","Hesse","vocational + Abi","2","","",""
"Yes","1985","Hesse","higher vocational","15","","",""
"Yes","1985","Hesse","higher education","32","0.465036102698941","0.342838221349455","0.587233984048427"
"Yes","1985","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","inadequately","4","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","general elemantary","14","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","middle vocational","56","0.281461573075085","0.221626919792142","0.341296226358029"
"Yes","1985","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","higher vocational","4","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","higher education","14","","",""
"Yes","1985","Baden-Württemberg","in school","","","",""
"Yes","1985","Baden-Württemberg","inadequately","12","","",""
"Yes","1985","Baden-Württemberg","general elemantary","44","0.172582999856207","0.131179759810147","0.213986239902266"
"Yes","1985","Baden-Württemberg","middle vocational","88","0.184884769204113","0.15356041277295","0.216209125635276"
"Yes","1985","Baden-Württemberg","vocational + Abi","3","","",""
"Yes","1985","Baden-Württemberg","higher vocational","21","","",""
"Yes","1985","Baden-Württemberg","higher education","40","0.418220344670451","0.316873732018951","0.519566957321951"
"Yes","1985","Bavaria","in school","","","",""
"Yes","1985","Bavaria","inadequately","3","","",""
"Yes","1985","Bavaria","general elemantary","31","0.143521765159817","0.100823005651711","0.186220524667923"
"Yes","1985","Bavaria","middle vocational","112","0.208678024336129","0.175347280304157","0.242008768368101"
"Yes","1985","Bavaria","vocational + Abi","7","","",""
"Yes","1985","Bavaria","higher vocational","23","","",""
"Yes","1985","Bavaria","higher education","48","0.487438656713572","0.390436606422694","0.58444070700445"
"Yes","1985","Berlin","in school","","","",""
"Yes","1985","Berlin","inadequately","2","","",""
"Yes","1985","Berlin","general elemantary","14","","",""
"Yes","1985","Berlin","middle vocational","37","0.401333521673643","0.306671741548465","0.49599530179882"
"Yes","1985","Berlin","vocational + Abi","","","",""
"Yes","1985","Berlin","higher vocational","11","","",""
"Yes","1985","Berlin","higher education","14","","",""
"Yes","1985","Brandenburg","in school","","","",""
"Yes","1985","Brandenburg","inadequately","","","",""
"Yes","1985","Brandenburg","general elemantary","","","",""
"Yes","1985","Brandenburg","middle vocational","","","",""
"Yes","1985","Brandenburg","vocational + Abi","","","",""
"Yes","1985","Brandenburg","higher vocational","","","",""
"Yes","1985","Brandenburg","higher education","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","higher education","","","",""
"Yes","1985","Saxony","in school","","","",""
"Yes","1985","Saxony","inadequately","","","",""
"Yes","1985","Saxony","general elemantary","","","",""
"Yes","1985","Saxony","middle vocational","","","",""
"Yes","1985","Saxony","vocational + Abi","","","",""
"Yes","1985","Saxony","higher vocational","","","",""
"Yes","1985","Saxony","higher education","","","",""
"Yes","1985","Saxony-Anhalt","in school","","","",""
"Yes","1985","Saxony-Anhalt","inadequately","","","",""
"Yes","1985","Saxony-Anhalt","general elemantary","","","",""
"Yes","1985","Saxony-Anhalt","middle vocational","","","",""
"Yes","1985","Saxony-Anhalt","vocational + Abi","","","",""
"Yes","1985","Saxony-Anhalt","higher vocational","","","",""
"Yes","1985","Saxony-Anhalt","higher education","","","",""
"Yes","1985","Thuringia","in school","","","",""
"Yes","1985","Thuringia","inadequately","","","",""
"Yes","1985","Thuringia","general elemantary","","","",""
"Yes","1985","Thuringia","middle vocational","","","",""
"Yes","1985","Thuringia","vocational + Abi","","","",""
"Yes","1985","Thuringia","higher vocational","","","",""
"Yes","1985","Thuringia","higher education","","","",""
"No","1985","Schleswig-Holstein","in school","","","",""
"No","1985","Schleswig-Holstein","inadequately","4","","",""
"No","1985","Schleswig-Holstein","general elemantary","27","","",""
"No","1985","Schleswig-Holstein","middle vocational","90","0.718298837171955","0.639124552189818","0.797473122154091"
"No","1985","Schleswig-Holstein","vocational + Abi","3","","",""
"No","1985","Schleswig-Holstein","higher vocational","11","","",""
"No","1985","Schleswig-Holstein","higher education","10","","",""
"No","1985","Hamburg","in school","","","",""
"No","1985","Hamburg","inadequately","7","","",""
"No","1985","Hamburg","general elemantary","20","","",""
"No","1985","Hamburg","middle vocational","62","0.739619959940717","0.645773778914316","0.833466140967117"
"No","1985","Hamburg","vocational + Abi","7","","",""
"No","1985","Hamburg","higher vocational","8","","",""
"No","1985","Hamburg","higher education","9","","",""
"No","1985","Lower Saxony","in school","","","",""
"No","1985","Lower Saxony","inadequately","19","","",""
"No","1985","Lower Saxony","general elemantary","89","0.790062567803512","0.713253605691196","0.866871529915827"
"No","1985","Lower Saxony","middle vocational","236","0.753934312024941","0.705832103512285","0.802036520537598"
"No","1985","Lower Saxony","vocational + Abi","8","","",""
"No","1985","Lower Saxony","higher vocational","31","0.650902954100376","0.516050553972791","0.785755354227961"
"No","1985","Lower Saxony","higher education","23","","",""
"No","1985","Bremen","in school","","","",""
"No","1985","Bremen","inadequately","","","",""
"No","1985","Bremen","general elemantary","11","","",""
"No","1985","Bremen","middle vocational","17","","",""
"No","1985","Bremen","vocational + Abi","1","","",""
"No","1985","Bremen","higher vocational","1","","",""
"No","1985","Bremen","higher education","","","",""
"No","1985","North Rhine-Westphalia","in school","","","",""
"No","1985","North Rhine-Westphalia","inadequately","114","0.909292638557892","0.858743896416328","0.959841380699456"
"No","1985","North Rhine-Westphalia","general elemantary","277","0.807112546190351","0.764281534748524","0.849943557632178"
"No","1985","North Rhine-Westphalia","middle vocational","626","0.791449780687712","0.762956688641314","0.81994287273411"
"No","1985","North Rhine-Westphalia","vocational + Abi","48","0.811054442669554","0.708525276909343","0.913583608429766"
"No","1985","North Rhine-Westphalia","higher vocational","59","0.561805440850306","0.465985490937442","0.65762539076317"
"No","1985","North Rhine-Westphalia","higher education","81","0.449945563572254","0.376447722880072","0.523443404264436"
"No","1985","Hesse","in school","1","","",""
"No","1985","Hesse","inadequately","43","0.861934517008883","0.767257907338038","0.956611126679728"
"No","1985","Hesse","general elemantary","120","0.810699371748852","0.746715164889548","0.874683578608155"
"No","1985","Hesse","middle vocational","243","0.744152214235832","0.695966917849853","0.79233751062181"
"No","1985","Hesse","vocational + Abi","17","","",""
"No","1985","Hesse","higher vocational","21","","",""
"No","1985","Hesse","higher education","32","0.534963897301059","0.412766015951573","0.657161778650545"
"No","1985","Rhineland-Palatinate,Saarland","in school","","","",""
"No","1985","Rhineland-Palatinate,Saarland","inadequately","31","0.867828025874895","0.755626027289829","0.98003002445996"
"No","1985","Rhineland-Palatinate,Saarland","general elemantary","79","0.820379256014037","0.742361725882547","0.898396786145528"
"No","1985","Rhineland-Palatinate,Saarland","middle vocational","161","0.718538426924915","0.658703773641972","0.778373080207858"
"No","1985","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"No","1985","Rhineland-Palatinate,Saarland","higher vocational","19","","",""
"No","1985","Rhineland-Palatinate,Saarland","higher education","12","","",""
"No","1985","Baden-Württemberg","in school","1","","",""
"No","1985","Baden-Württemberg","inadequately","137","0.889653717974273","0.839344877445788","0.939962558502757"
"No","1985","Baden-Württemberg","general elemantary","276","0.827417000143793","0.786013760097734","0.868820240189853"
"No","1985","Baden-Württemberg","middle vocational","502","0.815115230795887","0.783790874364724","0.84643958722705"
"No","1985","Baden-Württemberg","vocational + Abi","29","","",""
"No","1985","Baden-Württemberg","higher vocational","51","0.71283807313674","0.608332195691452","0.817343950582029"
"No","1985","Baden-Württemberg","higher education","51","0.581779655329549","0.480433042678049","0.683126267981049"
"No","1985","Bavaria","in school","","","",""
"No","1985","Bavaria","inadequately","53","0.958136419155936","0.905681534266774","1.0105913040451"
"No","1985","Bavaria","general elemantary","228","0.856478234840183","0.813779475332077","0.899176994348289"
"No","1985","Bavaria","middle vocational","459","0.791321975663871","0.757991231631899","0.824652719695843"
"No","1985","Bavaria","vocational + Abi","21","","",""
"No","1985","Bavaria","higher vocational","57","0.725183656492064","0.627358989113287","0.823008323870842"
"No","1985","Bavaria","higher education","54","0.512561343286428","0.41555929299555","0.609563393577306"
"No","1985","Berlin","in school","","","",""
"No","1985","Berlin","inadequately","7","","",""
"No","1985","Berlin","general elemantary","28","","",""
"No","1985","Berlin","middle vocational","66","0.598666478326357","0.50400469820118","0.693328258451535"
"No","1985","Berlin","vocational + Abi","6","","",""
"No","1985","Berlin","higher vocational","7","","",""
"No","1985","Berlin","higher education","15","","",""
"No","1985","Brandenburg","in school","","","",""
"No","1985","Brandenburg","inadequately","","","",""
"No","1985","Brandenburg","general elemantary","","","",""
"No","1985","Brandenburg","middle vocational","","","",""
"No","1985","Brandenburg","vocational + Abi","","","",""
"No","1985","Brandenburg","higher vocational","","","",""
"No","1985","Brandenburg","higher education","","","",""
"No","1985","Mecklenburg-Western Pomerania","in school","","","",""
"No","1985","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","1985","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","1985","Mecklenburg-Western Pomerania","middle vocational","","","",""
"No","1985","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","1985","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","1985","Mecklenburg-Western Pomerania","higher education","","","",""
"No","1985","Saxony","in school","","","",""
"No","1985","Saxony","inadequately","","","",""
"No","1985","Saxony","general elemantary","","","",""
"No","1985","Saxony","middle vocational","","","",""
"No","1985","Saxony","vocational + Abi","","","",""
"No","1985","Saxony","higher vocational","","","",""
"No","1985","Saxony","higher education","","","",""
"No","1985","Saxony-Anhalt","in school","","","",""
"No","1985","Saxony-Anhalt","inadequately","","","",""
"No","1985","Saxony-Anhalt","general elemantary","","","",""
"No","1985","Saxony-Anhalt","middle vocational","","","",""
"No","1985","Saxony-Anhalt","vocational + Abi","","","",""
"No","1985","Saxony-Anhalt","higher vocational","","","",""
"No","1985","Saxony-Anhalt","higher education","","","",""
"No","1985","Thuringia","in school","","","",""
"No","1985","Thuringia","inadequately","","","",""
"No","1985","Thuringia","general elemantary","","","",""
"No","1985","Thuringia","middle vocational","","","",""
"No","1985","Thuringia","vocational + Abi","","","",""
"No","1985","Thuringia","higher vocational","","","",""
"No","1985","Thuringia","higher education","","","",""
"Yes","1986","Schleswig-Holstein","in school","","","",""
"Yes","1986","Schleswig-Holstein","inadequately","","","",""
"Yes","1986","Schleswig-Holstein","general elemantary","5","","",""
"Yes","1986","Schleswig-Holstein","middle vocational","31","0.269696177044497","0.188228591077844","0.351163763011149"
"Yes","1986","Schleswig-Holstein","vocational + Abi","2","","",""
"Yes","1986","Schleswig-Holstein","higher vocational","5","","",""
"Yes","1986","Schleswig-Holstein","higher education","3","","",""
"Yes","1986","Hamburg","in school","","","",""
"Yes","1986","Hamburg","inadequately","4","","",""
"Yes","1986","Hamburg","general elemantary","4","","",""
"Yes","1986","Hamburg","middle vocational","18","","",""
"Yes","1986","Hamburg","vocational + Abi","2","","",""
"Yes","1986","Hamburg","higher vocational","6","","",""
"Yes","1986","Hamburg","higher education","1","","",""
"Yes","1986","Lower Saxony","in school","","","",""
"Yes","1986","Lower Saxony","inadequately","1","","",""
"Yes","1986","Lower Saxony","general elemantary","19","","",""
"Yes","1986","Lower Saxony","middle vocational","69","0.246820962932023","0.1983533721584","0.295288553705645"
"Yes","1986","Lower Saxony","vocational + Abi","1","","",""
"Yes","1986","Lower Saxony","higher vocational","17","","",""
"Yes","1986","Lower Saxony","higher education","33","0.556897754663939","0.432238971775269","0.681556537552608"
"Yes","1986","Bremen","in school","","","",""
"Yes","1986","Bremen","inadequately","","","",""
"Yes","1986","Bremen","general elemantary","2","","",""
"Yes","1986","Bremen","middle vocational","4","","",""
