"pgoeffd","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Rural Area","2622","0.769756870084113","0.755757667090614","0.783756073077612","2"
"No","2009","Urban Area","5050","0.775640134839526","0.765689871013957","0.785590398665095","2"
"Yes","2009","Rural Area","852","0.230243129915887","0.216243926922388","0.244242332909386","1"
"Yes","2009","Urban Area","1702","0.224359865160474","0.214409601334906","0.234310128986043","1"
"No","2010","Rural Area","3638","0.772799924782257","0.760783343502548","0.784816506061965","2"
"No","2010","Urban Area","6657","0.762153588662029","0.753271079165895","0.771036098158163","2"
"Yes","2010","Rural Area","1033","0.227200075217743","0.215183493938035","0.239216656497452","1"
"Yes","2010","Urban Area","2169","0.237846411337971","0.228963901841837","0.246728920834105","1"
"No","2011","Rural Area","4403","0.778083790082757","0.767316167757594","0.788851412407921","2"
"No","2011","Urban Area","7781","0.753552982278601","0.745274279959282","0.76183168459792","2"
"Yes","2011","Rural Area","1318","0.221916209917243","0.211148587592079","0.232683832242406","1"
"Yes","2011","Urban Area","2628","0.246447017721399","0.23816831540208","0.254725720040718","1"
"No","2012","Rural Area","4351","0.771845473537821","0.760904268346931","0.78278667872871","2"
"No","2012","Urban Area","7558","0.75282905583107","0.744423863646239","0.7612342480159","2"
"Yes","2012","Rural Area","1300","0.228154526462179","0.21721332127129","0.239095731653069","1"
"Yes","2012","Urban Area","2560","0.247170944168931","0.2387657519841","0.255576136353761","1"
"No","2013","Rural Area","4460","0.759276224083832","0.748314230547089","0.770238217620576","2"
"No","2013","Urban Area","8804","0.747829376324195","0.739902523802095","0.755756228846295","2"
"Yes","2013","Rural Area","1383","0.240723775916168","0.229761782379424","0.251685769452911","1"
"Yes","2013","Urban Area","2725","0.252170623675805","0.244243771153705","0.260097476197905","1"
"No","2014","Rural Area","4024","0.751267594956118","0.739614319173783","0.762920870738453","2"
"No","2014","Urban Area","7631","0.741080418724006","0.732547284250751","0.749613553197261","2"
"Yes","2014","Rural Area","1262","0.248732405043882","0.237079129261547","0.260385680826217","1"
"Yes","2014","Urban Area","2492","0.258919581275994","0.250386446802739","0.267452715749249","1"
"No","2015","Rural Area","4008","0.766553241925388","0.755096216153623","0.778010267697153","2"
"No","2015","Urban Area","7631","0.743869879589344","0.73533774958234","0.752402009596349","2"
"Yes","2015","Rural Area","1229","0.233446758074612","0.221989732302847","0.244903783846377","1"
"Yes","2015","Urban Area","2423","0.256130120410656","0.247597990403651","0.264662250417661","1"
"No","2016","Rural Area","3761","0.757492141142721","0.745547502675651","0.76943677960979","2"
"No","2016","Urban Area","7143","0.744501380879678","0.735711652218444","0.753291109540912","2"
"Yes","2016","Rural Area","1185","0.242507858857279","0.23056322039021","0.254452497324349","1"
"Yes","2016","Urban Area","2315","0.255498619120322","0.246708890459088","0.264288347781556","1"
"No","2017","Rural Area","4469","0.768910253769032","0.758084314862532","0.779736192675531","2"
"No","2017","Urban Area","8027","0.740867657048761","0.732564404988588","0.749170909108934","2"
"Yes","2017","Rural Area","1355","0.231089746230968","0.220263807324469","0.241915685137468","1"
"Yes","2017","Urban Area","2670","0.259132342951239","0.250829090891066","0.267435595011412","1"
"No","2018","Rural Area","4194","0.757671381168699","0.746341977845277","0.76900078449212","2"
"No","2018","Urban Area","7725","0.734552637977347","0.72602373050513","0.743081545449564","2"
"Yes","2018","Rural Area","1301","0.242328618831301","0.23099921550788","0.253658022154722","1"
"Yes","2018","Urban Area","2572","0.265447362022653","0.256918454550436","0.27397626949487","1"
"No","2019","Rural Area","3977","0.751852231332663","0.740121258286843","0.763583204378483","2"
"No","2019","Urban Area","6955","0.737029328395645","0.72804014936966","0.746018507421631","2"
"Yes","2019","Rural Area","1231","0.248147768667337","0.236416795621517","0.259878741713157","1"
"Yes","2019","Urban Area","2259","0.262970671604355","0.253981492578369","0.27195985063034","1"
