"pgoeffd","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","1986","Couple + C. GT 16 ","West Germany","249","0.224861031923449","0.201347227351577","0.248374836495321","1"
"Yes","1986","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","1986","1-pers.-HH","West Germany","155","0.353530256686058","0.311458112248964","0.395602401123153","1"
"Yes","1986","1-pers.-HH","East Germany","","","","","1"
"Yes","1986","(Married) couple without C. ","West Germany","315","0.279138473153864","0.25381108882599","0.304465857481738","1"
"Yes","1986","(Married) couple without C. ","East Germany","","","","","1"
"Yes","1986","Couple + C. LE and GT 16","West Germany","151","0.235668437278205","0.205729867541959","0.265607007014451","1"
"Yes","1986","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","1987","1-pers.-HH","East Germany","","","","","2"
"No","1987","1-pers.-HH","West Germany","361","0.659896974546145","0.618741035425818","0.701052913666471","2"
"No","1987","(Married) couple without C. ","East Germany","","","","","2"
"No","1987","(Married) couple without C. ","West Germany","896","0.722148543417311","0.696878030047452","0.74741905678717","2"
"No","1987","Couple + C. LE 16 ","East Germany","","","","","2"
"No","1987","Single parent ","West Germany","222","0.776983553091363","0.72813852670793","0.825828579474795","2"
"No","1987","Single parent ","East Germany","","","","","2"
"No","1987","Couple + C. LE 16 ","West Germany","1190","0.761078316194039","0.739448110725369","0.782708521662708","2"
"No","1987","Couple + C. GT 16 ","West Germany","999","0.754913158550093","0.731385751066983","0.778440566033203","2"
"No","1987","Couple + C. GT 16 ","East Germany","","","","","2"
"No","1987","Couple + C. LE and GT 16","West Germany","599","0.770110288236588","0.739794528133806","0.800426048339369","2"
"No","1987","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","1987","Single parent ","West Germany","57","0.223016446908637","0.174171420525205","0.27186147329207","1"
"Yes","1987","Single parent ","East Germany","","","","","1"
"Yes","1987","Couple + C. LE 16 ","West Germany","303","0.238921683805961","0.217291478337292","0.260551889274631","1"
"Yes","1987","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","1987","Couple + C. GT 16 ","West Germany","285","0.245086841449907","0.221559433966797","0.268614248933017","1"
"Yes","1987","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","1987","1-pers.-HH","West Germany","148","0.340103025453855","0.298947086333529","0.381258964574182","1"
"Yes","1987","1-pers.-HH","East Germany","","","","","1"
"Yes","1987","(Married) couple without C. ","West Germany","311","0.277851456582689","0.25258094321283","0.303121969952548","1"
"Yes","1987","(Married) couple without C. ","East Germany","","","","","1"
"Yes","1987","Couple + C. LE and GT 16","West Germany","141","0.229889711763412","0.199573951660631","0.260205471866194","1"
"Yes","1987","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","1988","1-pers.-HH","West Germany","340","0.672485825376741","0.630236912549161","0.714734738204321","2"
"No","1988","1-pers.-HH","East Germany","","","","","2"
"No","1988","(Married) couple without C. ","West Germany","917","0.732916985190243","0.70797761574645","0.757856354634037","2"
"No","1988","(Married) couple without C. ","East Germany","","","","","2"
"No","1988","Single parent ","West Germany","239","0.781884562165822","0.735075814864604","0.82869330946704","2"
"No","1988","Single parent ","East Germany","","","","","2"
"No","1988","Couple + C. LE 16 ","East Germany","","","","","2"
"No","1988","Couple + C. LE 16 ","West Germany","1160","0.758460614038794","0.736498156205529","0.780423071872058","2"
"No","1988","Couple + C. GT 16 ","West Germany","1032","0.748382317426096","0.725069680438147","0.771694954414045","2"
"No","1988","Couple + C. GT 16 ","East Germany","","","","","2"
"No","1988","Couple + C. LE and GT 16","West Germany","536","0.79209147785238","0.760773619914986","0.823409335789774","2"
"No","1988","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","1988","1-pers.-HH","West Germany","134","0.327514174623259","0.285265261795679","0.369763087450839","1"
"Yes","1988","1-pers.-HH","East Germany","","","","","1"
"Yes","1988","Single parent ","West Germany","60","0.218115437834178","0.17130669053296","0.264924185135396","1"
"Yes","1988","Single parent ","East Germany","","","","","1"
"Yes","1988","Couple + C. LE 16 ","West Germany","299","0.241539385961206","0.219576928127942","0.263501843794471","1"
"Yes","1988","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","1988","Couple + C. GT 16 ","West Germany","299","0.251617682573904","0.228305045585955","0.274930319561853","1"
"Yes","1988","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","1988","(Married) couple without C. ","West Germany","292","0.267083014809757","0.242143645365963","0.29202238425355","1"
"Yes","1988","(Married) couple without C. ","East Germany","","","","","1"
"Yes","1988","Couple + C. LE and GT 16","West Germany","109","0.20790852214762","0.176590664210226","0.239226380085014","1"
"Yes","1988","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","1989","1-pers.-HH","East Germany","","","","","2"
"No","1989","1-pers.-HH","West Germany","375","0.685827391780368","0.646234000496261","0.725420783064475","2"
"No","1989","Couple + C. LE 16 ","East Germany","","","","","2"
"No","1989","(Married) couple without C. ","East Germany","","","","","2"
"No","1989","(Married) couple without C. ","West Germany","959","0.747486718544967","0.723459852650589","0.771513584439344","2"
"No","1989","Single parent ","West Germany","228","0.77866283703092","0.730633229701801","0.82669244436004","2"
"No","1989","Single parent ","East Germany","","","","","2"
"No","1989","Couple + C. LE 16 ","West Germany","1170","0.760378841963913","0.738573054275104","0.782184629652721","2"
"No","1989","Couple + C. GT 16 ","West Germany","1051","0.750657538035232","0.727536570944174","0.773778505126289","2"
"No","1989","Couple + C. GT 16 ","East Germany","","","","","2"
"No","1989","Couple + C. LE and GT 16","West Germany","530","0.810460846657685","0.779807086377934","0.841114606937436","2"
"No","1989","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","1989","1-pers.-HH","West Germany","153","0.314172608219632","0.274579216935525","0.353765999503739","1"
"Yes","1989","1-pers.-HH","East Germany","","","","","1"
"Yes","1989","Single parent ","West Germany","59","0.22133716296908","0.17330755563996","0.269366770298199","1"
"Yes","1989","Single parent ","East Germany","","","","","1"
"Yes","1989","Couple + C. LE 16 ","West Germany","302","0.239621158036087","0.217815370347279","0.261426945724896","1"
"Yes","1989","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","1989","Couple + C. GT 16 ","West Germany","294","0.249342461964768","0.226221494873711","0.272463429055826","1"
"Yes","1989","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","1989","(Married) couple without C. ","West Germany","297","0.252513281455033","0.228486415560656","0.276540147349411","1"
"Yes","1989","(Married) couple without C. ","East Germany","","","","","1"
"Yes","1989","Couple + C. LE and GT 16","West Germany","98","0.189539153342315","0.158885393062564","0.220192913622066","1"
"Yes","1989","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","1990","1-pers.-HH","West Germany","362","0.721203842539955","0.681741790893607","0.760665894186302","2"
"No","1990","1-pers.-HH","East Germany","87","0.640605595307356","0.558751173534954","0.722460017079759","2"
"No","1990","Couple + C. LE 16 ","East Germany","838","0.641733682372548","0.615827670895327","0.66763969384977","2"
"No","1990","(Married) couple without C. ","East Germany","404","0.659607344235267","0.622004906099337","0.697209782371196","2"
"No","1990","(Married) couple without C. ","West Germany","959","0.735626386575688","0.711285956331258","0.759966816820118","2"
"No","1990","Single parent ","West Germany","207","0.72678595737712","0.673926641269841","0.779645273484399","2"
"No","1990","Single parent ","East Germany","101","0.676223188105283","0.601836675644537","0.750609700566029","2"
"No","1990","Couple + C. LE 16 ","West Germany","1151","0.764034212080327","0.742118964367764","0.78594945979289","2"
"No","1990","Couple + C. GT 16 ","West Germany","983","0.748706906349998","0.72481353492699","0.772600277773006","2"
"No","1990","Couple + C. GT 16 ","East Germany","446","0.684121351410214","0.648190350713455","0.720052352106973","2"
"No","1990","Couple + C. LE and GT 16","West Germany","453","0.773777982811817","0.738970131204633","0.808585834419001","2"
"No","1990","Couple + C. LE and GT 16","East Germany","183","0.675919802875807","0.619780593412152","0.732059012339463","2"
"Yes","1990","1-pers.-HH","West Germany","134","0.278796157460045","0.239334105813698","0.318258209106393","1"
"Yes","1990","1-pers.-HH","East Germany","45","0.359394404692644","0.277539982920241","0.441248826465046","1"
"Yes","1990","Single parent ","West Germany","66","0.27321404262288","0.220354726515601","0.326073358730159","1"
"Yes","1990","Single parent ","East Germany","51","0.323776811894717","0.249390299433971","0.398163324355463","1"
"Yes","1990","Couple + C. LE 16 ","West Germany","291","0.235965787919673","0.21405054020711","0.257881035632236","1"
"Yes","1990","Couple + C. LE 16 ","East Germany","478","0.358266317627451","0.33236030615023","0.384172329104673","1"
"Yes","1990","Couple + C. GT 16 ","West Germany","283","0.251293093650002","0.227399722226994","0.27518646507301","1"
"Yes","1990","Couple + C. GT 16 ","East Germany","197","0.315878648589786","0.279947647893027","0.351809649286545","1"
"Yes","1990","(Married) couple without C. ","West Germany","302","0.264373613424312","0.240033183179882","0.288714043668742","1"
"Yes","1990","(Married) couple without C. ","East Germany","206","0.340392655764733","0.302790217628804","0.377995093900663","1"
"Yes","1990","Couple + C. LE and GT 16","West Germany","102","0.226222017188183","0.191414165580999","0.261029868795367","1"
"Yes","1990","Couple + C. LE and GT 16","East Germany","84","0.324080197124192","0.267940987660537","0.380219406587848","1"
"No","1991","1-pers.-HH","East Germany","59","0.658957761503652","0.560469162052685","0.757446360954619","2"
"No","1991","1-pers.-HH","West Germany","389","0.716988744570744","0.67878240023285","0.755195088908639","2"
"No","1991","Couple + C. LE 16 ","East Germany","766","0.664715465825904","0.637465993947382","0.691964937704425","2"
"No","1991","(Married) couple without C. ","East Germany","294","0.663816151045922","0.619675972783568","0.707956329308277","2"
"No","1991","(Married) couple without C. ","West Germany","951","0.710803211765026","0.686080946747097","0.735525476782955","2"
"No","1991","Single parent ","West Germany","229","0.73676145245208","0.687010312772254","0.786512592131907","2"
"No","1991","Single parent ","East Germany","86","0.708486615887759","0.629447639849139","0.787525591926379","2"
"No","1991","Couple + C. LE 16 ","West Germany","1184","0.748754637899754","0.726827225217747","0.770682050581761","2"
"No","1991","Couple + C. GT 16 ","West Germany","998","0.775301253437616","0.752227618339447","0.798374888535786","2"
"No","1991","Couple + C. GT 16 ","East Germany","415","0.685698746880109","0.648459519693969","0.722937974066249","2"
"No","1991","Couple + C. LE and GT 16","West Germany","501","0.798690605976523","0.766791753915821","0.830589458037224","2"
"No","1991","Couple + C. LE and GT 16","East Germany","174","0.686247461345979","0.62907040008213","0.743424522609827","2"
"Yes","1991","1-pers.-HH","West Germany","145","0.283011255429256","0.244804911091361","0.32121759976715","1"
"Yes","1991","Single parent ","West Germany","72","0.26323854754792","0.213487407868093","0.312989687227746","1"
"Yes","1991","Single parent ","East Germany","41","0.291513384112241","0.212474408073621","0.370552360150861","1"
"Yes","1991","Couple + C. LE 16 ","West Germany","319","0.251245362100246","0.229317949418239","0.273172774782253","1"
"Yes","1991","Couple + C. LE 16 ","East Germany","387","0.335284534174096","0.308035062295575","0.362534006052618","1"
"Yes","1991","Couple + C. GT 16 ","West Germany","259","0.224698746562384","0.201625111464215","0.247772381660553","1"
"Yes","1991","Couple + C. GT 16 ","East Germany","182","0.314301253119891","0.277062025933751","0.351540480306031","1"
"Yes","1991","1-pers.-HH","East Germany","30","0.341042238496348","0.242553639045381","0.439530837947315","1"
"Yes","1991","Couple + C. LE and GT 16","West Germany","106","0.201309394023477","0.169410541962776","0.233208246084179","1"
"Yes","1991","Couple + C. LE and GT 16","East Germany","79","0.313752538654021","0.256575477390173","0.37092959991787","1"
"Yes","1991","(Married) couple without C. ","West Germany","341","0.289196788234974","0.264474523217045","0.313919053252903","1"
"Yes","1991","(Married) couple without C. ","East Germany","146","0.336183848954078","0.292043670691723","0.380324027216432","1"
"No","1992","1-pers.-HH","West Germany","364","0.709298376106614","0.669772425551189","0.748824326662038","2"
"No","1992","1-pers.-HH","East Germany","51","0.627838426742668","0.525077422643997","0.730599430841338","2"
"No","1992","Couple + C. LE 16 ","East Germany","622","0.646370887918378","0.61629950676787","0.676442269068886","2"
"No","1992","(Married) couple without C. ","East Germany","221","0.605621519146425","0.555067216883985","0.656175821408864","2"
"No","1992","(Married) couple without C. ","West Germany","952","0.711436648154103","0.686605230058897","0.736268066249308","2"
"No","1992","Single parent ","West Germany","205","0.696459905512888","0.642411637016674","0.750508174009102","2"
"No","1992","Single parent ","East Germany","73","0.655744679417569","0.568907263939893","0.742582094895244","2"
"No","1992","Couple + C. LE 16 ","West Germany","1117","0.745355593948829","0.722846059038264","0.767865128859395","2"
"No","1992","Couple + C. GT 16 ","West Germany","944","0.760053384126517","0.735951344273767","0.784155423979267","2"
"No","1992","Couple + C. GT 16 ","East Germany","337","0.642589984835962","0.601200043417445","0.683979926254479","2"
"No","1992","Couple + C. LE and GT 16","West Germany","448","0.780697913481526","0.746180245793229","0.815215581169823","2"
"No","1992","Couple + C. LE and GT 16","East Germany","154","0.655073861766778","0.594299228284629","0.715848495248927","2"
"Yes","1992","1-pers.-HH","West Germany","143","0.290701623893386","0.251175673337962","0.330227574448811","1"
"Yes","1992","Single parent ","West Germany","73","0.303540094487112","0.249491825990898","0.357588362983326","1"
"Yes","1992","Single parent ","East Germany","42","0.344255320582431","0.257417905104756","0.431092736060107","1"
"Yes","1992","Couple + C. LE 16 ","West Germany","322","0.254644406051171","0.232134871140605","0.277153940961736","1"
"Yes","1992","Couple + C. LE 16 ","East Germany","349","0.353629112081622","0.323557730931114","0.38370049323213","1"
"Yes","1992","Couple + C. GT 16 ","West Germany","262","0.239946615873483","0.215844576020733","0.264048655726233","1"
"Yes","1992","Couple + C. GT 16 ","East Germany","178","0.357410015164038","0.316020073745521","0.398799956582555","1"
"Yes","1992","1-pers.-HH","East Germany","34","0.372161573257332","0.269400569158661","0.474922577356003","1"
"Yes","1992","Couple + C. LE and GT 16","West Germany","104","0.219302086518474","0.184784418830177","0.253819754206772","1"
"Yes","1992","Couple + C. LE and GT 16","East Germany","81","0.344926138233222","0.284151504751073","0.405700771715371","1"
"Yes","1992","(Married) couple without C. ","West Germany","327","0.288563351845897","0.263731933750692","0.313394769941103","1"
"Yes","1992","(Married) couple without C. ","East Germany","138","0.394378480853575","0.343824178591136","0.444932783116015","1"
"No","1993","1-pers.-HH","East Germany","55","0.680437648081284","0.580718072875396","0.780157223287172","2"
"No","1993","1-pers.-HH","West Germany","399","0.685781669135842","0.647265801427467","0.724297536844218","2"
"No","1993","(Married) couple without C. ","East Germany","220","0.639013156932777","0.588767894423913","0.689258419441641","2"
"No","1993","Couple + C. LE 16 ","East Germany","573","0.657622176224538","0.626465560523032","0.688778791926044","2"
"No","1993","(Married) couple without C. ","West Germany","969","0.720321363269245","0.696025096925339","0.744617629613151","2"
"No","1993","Single parent ","West Germany","199","0.733897704290319","0.680488969252802","0.787306439327837","2"
"No","1993","Single parent ","East Germany","57","0.585796663550243","0.489251986452706","0.68234134064778","2"
"No","1993","Couple + C. LE 16 ","West Germany","1116","0.763415191875021","0.741216847245403","0.785613536504638","2"
"No","1993","Couple + C. GT 16 ","West Germany","920","0.784596322270151","0.76085682364226","0.808335820898041","2"
"No","1993","Couple + C. GT 16 ","East Germany","309","0.678173614985795","0.63534132846338","0.72100590150821","2"
"No","1993","Couple + C. LE and GT 16","West Germany","449","0.756106085927593","0.720821599027046","0.791390572828141","2"
"No","1993","Couple + C. LE and GT 16","East Germany","158","0.661943710730712","0.602830359949804","0.72105706151162","2"
"Yes","1993","1-pers.-HH","West Germany","159","0.314218330864157","0.275702463155782","0.352734198572533","1"
"Yes","1993","1-pers.-HH","East Germany","29","","","","1"
"Yes","1993","Single parent ","West Germany","64","0.266102295709681","0.212693560672163","0.319511030747198","1"
"Yes","1993","Single parent ","East Germany","43","0.414203336449757","0.31765865935222","0.510748013547293","1"
"Yes","1993","Couple + C. LE 16 ","West Germany","292","0.236584808124979","0.214386463495362","0.258783152754596","1"
"Yes","1993","Couple + C. LE 16 ","East Germany","318","0.342377823775462","0.311221208073956","0.373534439476968","1"
"Yes","1993","Couple + C. GT 16 ","West Germany","232","0.215403677729849","0.191664179101959","0.239143176357739","1"
"Yes","1993","Couple + C. GT 16 ","East Germany","148","0.321826385014205","0.27899409849179","0.364658671536619","1"
"Yes","1993","(Married) couple without C. ","West Germany","342","0.279678636730755","0.255382370386849","0.303974903074661","1"
"Yes","1993","(Married) couple without C. ","East Germany","131","0.360986843067223","0.310741580558359","0.411232105576087","1"
"Yes","1993","Couple + C. LE and GT 16","West Germany","120","0.243893914072407","0.208609427171859","0.279178400972954","1"
"Yes","1993","Couple + C. LE and GT 16","East Germany","88","0.338056289269288","0.27894293848838","0.397169640050196","1"
"No","1994","1-pers.-HH","West Germany","360","0.685269109198038","0.645276156072779","0.725262062323297","2"
"No","1994","1-pers.-HH","East Germany","62","0.675219265512521","0.580551591498702","0.76988693952634","2"
"No","1994","(Married) couple without C. ","East Germany","231","0.64764492556917","0.598704662775457","0.696585188362882","2"
"No","1994","(Married) couple without C. ","West Germany","951","0.7173526672201","0.69279009897473","0.74191523546547","2"
"No","1994","Couple + C. GT 16 ","West Germany","793","0.771009202536143","0.744953418703411","0.797064986368875","2"
"No","1994","Single parent ","West Germany","178","0.720982175311591","0.664238075813934","0.777726274809247","2"
"No","1994","Single parent ","East Germany","50","0.602363227516567","0.498927312361593","0.705799142671541","2"
"No","1994","Couple + C. LE 16 ","West Germany","1067","0.761106920526016","0.738352449912938","0.783861391139094","2"
"No","1994","Couple + C. LE 16 ","East Germany","514","0.682592124243894","0.649736449706197","0.715447798781592","2"
"No","1994","Couple + C. GT 16 ","East Germany","321","0.680423478692965","0.638265843632414","0.722581113753515","2"
"No","1994","Couple + C. LE and GT 16","West Germany","399","0.749745557329048","0.712371427599185","0.78711968705891","2"
"No","1994","Couple + C. LE and GT 16","East Germany","162","0.671337262407907","0.612519207335717","0.730155317480096","2"
"Yes","1994","1-pers.-HH","West Germany","158","0.314730890801962","0.274737937676703","0.354723843927221","1"
"Yes","1994","1-pers.-HH","East Germany","32","0.324780734487479","0.23011306047366","0.419448408501298","1"
"Yes","1994","Single parent ","West Germany","62","0.279017824688409","0.222273725190753","0.335761924186066","1"
"Yes","1994","Single parent ","East Germany","36","0.397636772483433","0.294200857328459","0.501072687638407","1"
"Yes","1994","Couple + C. LE 16 ","West Germany","282","0.238893079473984","0.216138608860906","0.261647550087062","1"
"Yes","1994","Couple + C. LE 16 ","East Germany","257","0.317407875756106","0.284552201218408","0.350263550293803","1"
"Yes","1994","Couple + C. GT 16 ","West Germany","206","0.228990797463857","0.202935013631125","0.255046581296589","1"
"Yes","1994","Couple + C. GT 16 ","East Germany","149","0.319576521307035","0.277418886246485","0.361734156367586","1"
"Yes","1994","(Married) couple without C. ","West Germany","340","0.2826473327799","0.25808476453453","0.30720990102527","1"
"Yes","1994","(Married) couple without C. ","East Germany","135","0.35235507443083","0.303414811637118","0.401295337224543","1"
"Yes","1994","Couple + C. LE and GT 16","West Germany","117","0.250254442670952","0.21288031294109","0.287628572400815","1"
"Yes","1994","Couple + C. LE and GT 16","East Germany","83","0.328662737592093","0.269844682519903","0.387480792664283","1"
"No","1995","1-pers.-HH","East Germany","66","0.633424150575021","0.540365079657247","0.726483221492794","2"
"No","1995","1-pers.-HH","West Germany","410","0.704182448279733","0.666245249297068","0.742119647262399","2"
"No","1995","(Married) couple without C. ","East Germany","271","0.658922150806007","0.612751670664837","0.705092630947178","2"
"No","1995","Couple + C. GT 16 ","West Germany","826","0.756874282793699","0.730915299956079","0.782833265631319","2"
"No","1995","(Married) couple without C. ","West Germany","1030","0.728208308857141","0.704862609408441","0.75155400830584","2"
"No","1995","Single parent ","West Germany","191","0.740162884872844","0.686231015059146","0.794094754686541","2"
"No","1995","Single parent ","East Germany","57","0.598510386268997","0.504298776513332","0.692721996024663","2"
"No","1995","Couple + C. LE 16 ","West Germany","1205","0.755314922314177","0.733731347245627","0.776898497382726","2"
"No","1995","Couple + C. LE 16 ","East Germany","504","0.727967649013912","0.695326510203044","0.76060878782478","2"
"No","1995","Couple + C. GT 16 ","East Germany","333","0.691008738059851","0.649842585533562","0.732174890586141","2"
"No","1995","Couple + C. LE and GT 16","West Germany","420","0.749166976183968","0.712536832470292","0.785797119897643","2"
"No","1995","Couple + C. LE and GT 16","East Germany","185","0.685010332193082","0.629705871596529","0.740314792789635","2"
"Yes","1995","1-pers.-HH","West Germany","146","0.295817551720266","0.257880352737601","0.333754750702932","1"
"Yes","1995","1-pers.-HH","East Germany","37","0.366575849424979","0.273516778507205","0.459634920342753","1"
"Yes","1995","Single parent ","West Germany","63","0.259837115127156","0.205905245313459","0.313768984940854","1"
"Yes","1995","Single parent ","East Germany","47","0.401489613731003","0.307278003975337","0.495701223486668","1"
"Yes","1995","Couple + C. LE 16 ","West Germany","319","0.244685077685823","0.223101502617274","0.266268652754373","1"
"Yes","1995","Couple + C. LE 16 ","East Germany","210","0.272032350986088","0.23939121217522","0.304673489796956","1"
"Yes","1995","Couple + C. GT 16 ","West Germany","223","0.243125717206301","0.217166734368681","0.269084700043921","1"
"Yes","1995","Couple + C. GT 16 ","East Germany","151","0.308991261940149","0.267825109413859","0.350157414466438","1"
"Yes","1995","(Married) couple without C. ","West Germany","365","0.271791691142859","0.24844599169416","0.295137390591559","1"
"Yes","1995","(Married) couple without C. ","East Germany","134","0.341077849193993","0.294907369052822","0.387248329335163","1"
"Yes","1995","Couple + C. LE and GT 16","West Germany","118","0.250833023816032","0.214202880102357","0.287463167529708","1"
"Yes","1995","Couple + C. LE and GT 16","East Germany","86","0.314989667806918","0.259685207210365","0.370294128403471","1"
"No","1996","1-pers.-HH","West Germany","389","0.684534242945145","0.645448184456246","0.723620301434043","2"
"No","1996","1-pers.-HH","East Germany","74","0.658573803774602","0.571528306425292","0.745619301123912","2"
"No","1996","(Married) couple without C. ","East Germany","275","0.659517715732136","0.61392614702583","0.705109284438442","2"
"No","1996","(Married) couple without C. ","West Germany","958","0.722859874796414","0.698585208629878","0.747134540962951","2"
"No","1996","Couple + C. GT 16 ","West Germany","763","0.764811145348424","0.738134946336899","0.791487344359948","2"
"No","1996","Single parent ","West Germany","197","0.68449605442181","0.629470974561254","0.739521134282366","2"
"No","1996","Single parent ","East Germany","54","0.560813295984057","0.462555097836144","0.65907149413197","2"
"No","1996","Couple + C. LE 16 ","West Germany","1150","0.760831018301831","0.738942469083362","0.7827195675203","2"
"No","1996","Couple + C. LE 16 ","East Germany","447","0.732951265422089","0.69823854840739","0.767663982436788","2"
"No","1996","Couple + C. GT 16 ","East Germany","298","0.67317215259964","0.629144306048621","0.717199999150659","2"
