"pgoeffd","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","1987","vocational + Abi","West Germany","32","0.228212479106732","0.166731589069021","0.289693369144443","1"
"Yes","1987","vocational + Abi","East Germany","","","","","1"
"Yes","1987","higher vocational","West Germany","135","0.36471073674612","0.31505670446775","0.414364769024491","1"
"Yes","1987","higher vocational","East Germany","","","","","1"
"Yes","1987","higher education","West Germany","267","0.485738015595377","0.444119511476999","0.527356519713756","1"
"Yes","1987","higher education","East Germany","","","","","1"
"No","1988","inadequately","West Germany","317","0.917229469272086","0.888445304703534","0.946013633840639","2"
"No","1988","in school","East Germany","","","","","2"
"No","1988","higher vocational","East Germany","","","","","2"
"No","1988","higher education","East Germany","","","","","2"
"No","1988","inadequately","East Germany","","","","","2"
"No","1988","general elemantary","West Germany","1128","0.81110148464035","0.790057039915072","0.832145929365627","2"
"No","1988","general elemantary","East Germany","","","","","2"
"No","1988","higher education","West Germany","290","0.533464940250747","0.491270422022561","0.575659458478934","2"
"No","1988","in school","West Germany","6","","","","2"
"No","1988","middle vocational","West Germany","2296","0.767779762234851","0.752409108244107","0.783150416225595","2"
"No","1988","higher vocational","West Germany","233","0.641061364191145","0.59164694314661","0.690475785235679","2"
"No","1988","middle vocational","East Germany","","","","","2"
"No","1988","vocational + Abi","West Germany","139","0.784478851682201","0.721928520529843","0.847029182834559","2"
"No","1988","vocational + Abi","East Germany","","","","","2"
"Yes","1988","in school","West Germany","","","","","1"
"Yes","1988","in school","East Germany","","","","","1"
"Yes","1988","inadequately","West Germany","35","0.0827705307279135","0.0539863661593612","0.111554695296466","1"
"Yes","1988","inadequately","East Germany","","","","","1"
"Yes","1988","general elemantary","West Germany","201","0.18889851535965","0.167854070634373","0.209942960084928","1"
"Yes","1988","general elemantary","East Germany","","","","","1"
"Yes","1988","middle vocational","West Germany","603","0.232220237765149","0.216849583774405","0.247590891755893","1"
"Yes","1988","middle vocational","East Germany","","","","","1"
"Yes","1988","vocational + Abi","West Germany","27","","","","1"
"Yes","1988","vocational + Abi","East Germany","","","","","1"
"Yes","1988","higher vocational","West Germany","129","0.358938635808855","0.309524214764321","0.40835305685339","1"
"Yes","1988","higher vocational","East Germany","","","","","1"
"Yes","1988","higher education","West Germany","247","0.466535059749253","0.424340541521066","0.508729577977439","1"
"Yes","1988","higher education","East Germany","","","","","1"
"No","1989","inadequately","West Germany","304","0.89648709621511","0.864154530509062","0.928819661921158","2"
"No","1989","higher vocational","East Germany","","","","","2"
"No","1989","higher education","West Germany","309","0.548572763045663","0.507059243765086","0.59008628232624","2"
"No","1989","in school","East Germany","","","","","2"
"No","1989","inadequately","East Germany","","","","","2"
"No","1989","higher vocational","West Germany","233","0.665078945139226","0.615983439262073","0.714174451016379","2"
"No","1989","higher education","East Germany","","","","","2"
"No","1989","general elemantary","West Germany","1144","0.808285402743218","0.787255584473973","0.829315221012463","2"
"No","1989","general elemantary","East Germany","","","","","2"
"No","1989","in school","West Germany","10","","","","2"
"No","1989","middle vocational","West Germany","2341","0.768088806085832","0.752889556809995","0.783288055361668","2"
"No","1989","middle vocational","East Germany","","","","","2"
"No","1989","vocational + Abi","West Germany","167","0.852373317712088","0.801531081884727","0.903215553539449","2"
"No","1989","vocational + Abi","East Germany","","","","","2"
"Yes","1989","in school","West Germany","2","","","","1"
"Yes","1989","in school","East Germany","","","","","1"
"Yes","1989","inadequately","West Germany","37","0.10351290378489","0.0711803380788419","0.135845469490938","1"
"Yes","1989","inadequately","East Germany","","","","","1"
"Yes","1989","general elemantary","West Germany","202","0.191714597256782","0.170684778987537","0.212744415526027","1"
"Yes","1989","general elemantary","East Germany","","","","","1"
"Yes","1989","middle vocational","West Germany","621","0.231911193914168","0.216711944638332","0.247110443190005","1"
"Yes","1989","middle vocational","East Germany","","","","","1"
"Yes","1989","vocational + Abi","West Germany","20","","","","1"
"Yes","1989","vocational + Abi","East Germany","","","","","1"
"Yes","1989","higher vocational","West Germany","122","0.334921054860774","0.285825548983621","0.384016560737927","1"
"Yes","1989","higher vocational","East Germany","","","","","1"
"Yes","1989","higher education","West Germany","243","0.451427236954337","0.40991371767376","0.492940756234914","1"
"Yes","1989","higher education","East Germany","","","","","1"
"No","1990","inadequately","West Germany","302","0.908845090389208","0.878023101991786","0.93966707878663","2"
"No","1990","higher vocational","East Germany","170","0.775326283014894","0.71992265144059","0.830729914589198","2"
"No","1990","higher education","West Germany","311","0.563579176146631","0.521827044896036","0.605331307397225","2"
"No","1990","inadequately","East Germany","4","","","","2"
"No","1990","general elemantary","West Germany","1068","0.803678507826855","0.781798053343431","0.825558962310279","2"
"No","1990","in school","East Germany","","","","","2"
"No","1990","general elemantary","East Germany","180","0.727595348089938","0.671388169398307","0.783802526781569","2"
"No","1990","higher vocational","West Germany","222","0.64886324563884","0.59864077353815","0.699085717739529","2"
"No","1990","higher education","East Germany","413","0.492412244081895","0.458482150606491","0.526342337557299","2"
"No","1990","in school","West Germany","4","","","","2"
"No","1990","middle vocational","West Germany","2265","0.767271394714303","0.75179531452938","0.782747474899226","2"
"No","1990","middle vocational","East Germany","1405","0.711719915954056","0.691707596660421","0.731732235247692","2"
"No","1990","vocational + Abi","West Germany","158","0.852967677739946","0.801517711689387","0.904417643790504","2"
"No","1990","vocational + Abi","East Germany","51","0.824975788127237","0.732599378319845","0.91735219793463","2"
"Yes","1990","in school","West Germany","1","","","","1"
"Yes","1990","in school","East Germany","","","","","1"
"Yes","1990","inadequately","West Germany","33","0.0911549096107923","0.0603329212133703","0.121976898008214","1"
"Yes","1990","inadequately","East Germany","1","","","","1"
"Yes","1990","general elemantary","West Germany","198","0.196321492173145","0.174441037689721","0.218201946656569","1"
"Yes","1990","general elemantary","East Germany","61","0.272404651910062","0.216197473218431","0.328611830601693","1"
"Yes","1990","middle vocational","West Germany","599","0.232728605285697","0.217252525100774","0.24820468547062","1"
"Yes","1990","middle vocational","East Germany","563","0.288280084045944","0.268267764752308","0.308292403339579","1"
"Yes","1990","vocational + Abi","West Germany","24","","","","1"
"Yes","1990","vocational + Abi","East Germany","14","","","","1"
"Yes","1990","higher vocational","West Germany","125","0.35113675436116","0.300914282260471","0.40135922646185","1"
"Yes","1990","higher vocational","East Germany","48","0.224673716985106","0.169270085410802","0.28007734855941","1"
"Yes","1990","higher education","West Germany","231","0.436420823853369","0.394668692602775","0.478172955103964","1"
"Yes","1990","higher education","East Germany","421","0.507587755918105","0.473657662442701","0.541517849393509","1"
"No","1991","general elemantary","West Germany","1080","0.791523053299203","0.769381421132773","0.813664685465634","2"
"No","1991","inadequately","West Germany","306","0.8662526080686","0.830541747491379","0.901963468645821","2"
"No","1991","higher vocational","East Germany","163","0.81948748059685","0.765365703100754","0.873609258092946","2"
"No","1991","inadequately","East Germany","2","","","","2"
"No","1991","in school","East Germany","7","","","","2"
"No","1991","higher education","West Germany","330","0.565685511644129","0.524994325499118","0.60637669778914","2"
"No","1991","higher education","East Germany","391","0.524310694241733","0.488640403034058","0.559980985449409","2"
"No","1991","general elemantary","East Germany","116","0.681504624221693","0.611263620669994","0.751745627773392","2"
"No","1991","higher vocational","West Germany","230","0.643955323283461","0.594629547658459","0.693281098908462","2"
"No","1991","in school","West Germany","8","","","","2"
"No","1991","middle vocational","West Germany","2340","0.774568390920786","0.75950208994753","0.789634691894042","2"
"No","1991","middle vocational","East Germany","1195","0.727909454605403","0.706291415580251","0.749527493630556","2"
"No","1991","vocational + Abi","West Germany","181","0.817109456611776","0.76555609860996","0.868662814613593","2"
"No","1991","vocational + Abi","East Germany","41","0.757804369063169","0.642466516578217","0.873142221548121","2"
"Yes","1991","in school","West Germany","1","","","","1"
"Yes","1991","in school","East Germany","3","","","","1"
"Yes","1991","inadequately","West Germany","43","0.1337473919314","0.098036531354179","0.169458252508621","1"
"Yes","1991","inadequately","East Germany","1","","","","1"
"Yes","1991","general elemantary","West Germany","213","0.208476946700797","0.186335314534367","0.230618578867227","1"
"Yes","1991","general elemantary","East Germany","53","0.318495375778307","0.248254372226608","0.388736379330006","1"
"Yes","1991","middle vocational","West Germany","615","0.225431609079214","0.210365308105958","0.24049791005247","1"
"Yes","1991","middle vocational","East Germany","433","0.272090545394597","0.250472506369444","0.29370858441975","1"
"Yes","1991","vocational + Abi","West Germany","35","0.182890543388224","0.131337185386408","0.23444390139004","1"
"Yes","1991","vocational + Abi","East Germany","12","","","","1"
"Yes","1991","higher vocational","West Germany","132","0.35604467671654","0.306718901091538","0.405370452341541","1"
"Yes","1991","higher vocational","East Germany","31","0.18051251940315","0.126390741907054","0.234634296899246","1"
"Yes","1991","higher education","West Germany","240","0.434314488355871","0.39362330221086","0.475005674500882","1"
"Yes","1991","higher education","East Germany","362","0.475689305758267","0.440019014550591","0.511359596965942","1"
"No","1992","general elemantary","West Germany","998","0.806088219276379","0.783718998681566","0.828457439871191","2"
"No","1992","inadequately","West Germany","257","0.840465254749527","0.798820779881956","0.882109729617097","2"
"No","1992","inadequately","East Germany","6","","","","2"
"No","1992","higher vocational","East Germany","140","0.744533014229413","0.679917256930915","0.809148771527911","2"
"No","1992","higher education","West Germany","330","0.564821918735583","0.523977835474893","0.605666001996272","2"
"No","1992","in school","East Germany","6","","","","2"
"No","1992","general elemantary","East Germany","117","0.73583056150216","0.667938220938521","0.803722902065798","2"
"No","1992","higher education","East Germany","332","0.489007802712021","0.451408634908625","0.526606970515417","2"
"No","1992","higher vocational","West Germany","226","0.615039316455712","0.565592737569349","0.664485895342075","2"
"No","1992","in school","West Germany","6","","","","2"
"No","1992","middle vocational","West Germany","2238","0.767342397442939","0.751824555639835","0.782860239246042","2"
"No","1992","middle vocational","East Germany","917","0.683367198225951","0.658461386076352","0.708273010375551","2"
"No","1992","vocational + Abi","West Germany","170","0.77277496937962","0.715552171388773","0.829997767370466","2"
"No","1992","vocational + Abi","East Germany","27","","","","2"
"Yes","1992","in school","West Germany","1","","","","1"
"Yes","1992","in school","East Germany","2","","","","1"
"Yes","1992","inadequately","West Germany","40","0.159534745250473","0.117890270382903","0.201179220118044","1"
"Yes","1992","inadequately","East Germany","2","","","","1"
"Yes","1992","general elemantary","West Germany","202","0.193911780723622","0.171542560128809","0.216281001318434","1"
"Yes","1992","general elemantary","East Germany","45","0.264169438497841","0.196277097934202","0.332061779061479","1"
"Yes","1992","middle vocational","West Germany","610","0.232657602557061","0.217139760753958","0.248175444360165","1"
"Yes","1992","middle vocational","East Germany","423","0.316632801774049","0.291726989624449","0.341538613923648","1"
"Yes","1992","vocational + Abi","West Germany","36","0.22722503062038","0.170002232629534","0.284447828611227","1"
"Yes","1992","vocational + Abi","East Germany","12","","","","1"
"Yes","1992","higher vocational","West Germany","146","0.384960683544288","0.335514104657925","0.434407262430651","1"
"Yes","1992","higher vocational","East Germany","35","0.255466985770587","0.190851228472089","0.320082743069085","1"
"Yes","1992","higher education","West Germany","236","0.435178081264417","0.394333998003728","0.476022164525107","1"
"Yes","1992","higher education","East Germany","347","0.510992197287979","0.473393029484583","0.548591365091375","1"
"No","1993","inadequately","West Germany","259","0.83620652095065","0.794187586233894","0.878225455667407","2"
"No","1993","general elemantary","West Germany","977","0.801880134589074","0.779089947145666","0.824670322032482","2"
"No","1993","inadequately","East Germany","4","","","","2"
"No","1993","higher vocational","East Germany","129","0.829069796450145","0.769224331030067","0.888915261870222","2"
"No","1993","higher education","West Germany","344","0.573364172197926","0.533353764382599","0.613374580013254","2"
"No","1993","in school","East Germany","6","","","","2"
"No","1993","general elemantary","East Germany","101","0.727619732512283","0.654138134927234","0.801101330097331","2"
"No","1993","higher education","East Germany","317","0.492784007709575","0.454231147485522","0.531336867933628","2"
"No","1993","higher vocational","West Germany","228","0.625591866654086","0.576009673548709","0.675174059759463","2"
"No","1993","in school","West Germany","1","","","","2"
"No","1993","middle vocational","West Germany","2283","0.778710020514373","0.763528172858258","0.793891868170488","2"
"No","1993","middle vocational","East Germany","857","0.707279023739166","0.681922742931629","0.732635304546703","2"
"No","1993","vocational + Abi","West Germany","175","0.782849109063724","0.727608171243618","0.83809004688383","2"
"No","1993","vocational + Abi","East Germany","29","","","","2"
"Yes","1993","general elemantary","West Germany","198","0.198119865410926","0.175329677967518","0.220910052854334","1"
"Yes","1993","general elemantary","East Germany","40","0.272380267487718","0.198898669902669","0.345861865072766","1"
"Yes","1993","middle vocational","West Germany","589","0.221289979485627","0.206108131829512","0.236471827141742","1"
"Yes","1993","middle vocational","East Germany","380","0.292720976260834","0.267364695453297","0.318077257068371","1"
"Yes","1993","vocational + Abi","West Germany","39","0.217150890936276","0.16190995311617","0.272391828756382","1"
"Yes","1993","in school","West Germany","2","","","","1"
"Yes","1993","in school","East Germany","2","","","","1"
"Yes","1993","inadequately","West Germany","39","0.16379347904935","0.121774544332593","0.205812413766106","1"
"Yes","1993","inadequately","East Germany","2","","","","1"
"Yes","1993","vocational + Abi","East Germany","14","","","","1"
"Yes","1993","higher vocational","West Germany","138","0.374408133345914","0.324825940240537","0.423990326451291","1"
"Yes","1993","higher vocational","East Germany","23","","","","1"
"Yes","1993","higher education","West Germany","243","0.426635827802074","0.386625419986746","0.466646235617401","1"
"Yes","1993","higher education","East Germany","329","0.507215992290425","0.468663132066372","0.545768852514478","1"
"No","1994","in school","East Germany","6","","","","2"
"No","1994","inadequately","West Germany","224","0.85552523274809","0.812542508004812","0.898507957491367","2"
"No","1994","inadequately","East Germany","5","","","","2"
"No","1994","general elemantary","West Germany","804","0.805085894873416","0.780053448289764","0.830118341457068","2"
"No","1994","higher vocational","East Germany","127","0.808206300304772","0.746225022396133","0.870187578213411","2"
"No","1994","higher education","East Germany","312","0.501140717016287","0.46209740149931","0.540184032533264","2"
"No","1994","higher education","West Germany","359","0.574643892072374","0.535313390973044","0.613974393171704","2"
"No","1994","in school","West Germany","2","","","","2"
"No","1994","general elemantary","East Germany","102","0.757666051174316","0.684843093402011","0.83048900894662","2"
"No","1994","higher vocational","West Germany","219","0.623867969157508","0.573758780558377","0.673977157756639","2"
"No","1994","middle vocational","West Germany","2134","0.76805598929668","0.752191302281796","0.783920676311565","2"
"No","1994","middle vocational","East Germany","836","0.728689612330831","0.703168281571711","0.754210943089951","2"
"No","1994","vocational + Abi","West Germany","171","0.779894773963156","0.723453591927246","0.836335955999067","2"
"No","1994","vocational + Abi","East Germany","31","0.68812639341043","0.552774213929895","0.823478572890964","2"
"Yes","1994","general elemantary","West Germany","158","0.194914105126584","0.169881658542932","0.219946551710236","1"
"Yes","1994","general elemantary","East Germany","31","0.242333948825684","0.16951099105338","0.315156906597989","1"
"Yes","1994","middle vocational","West Germany","585","0.23194401070332","0.216079323688435","0.247808697718204","1"
"Yes","1994","middle vocational","East Germany","330","0.271310387669169","0.245789056910049","0.296831718428289","1"
"Yes","1994","vocational + Abi","West Germany","36","0.220105226036844","0.163664044000933","0.276546408072754","1"
"Yes","1994","in school","West Germany","1","","","","1"
"Yes","1994","in school","East Germany","2","","","","1"
"Yes","1994","inadequately","West Germany","33","0.14447476725191","0.101492042508633","0.187457491995188","1"
"Yes","1994","inadequately","East Germany","1","","","","1"
"Yes","1994","vocational + Abi","East Germany","14","","","","1"
"Yes","1994","higher vocational","West Germany","140","0.376132030842492","0.326022842243361","0.426241219441623","1"
"Yes","1994","higher vocational","East Germany","28","","","","1"
"Yes","1994","higher education","West Germany","248","0.425356107927626","0.386025606828296","0.464686609026956","1"
"Yes","1994","higher education","East Germany","318","0.498859282983713","0.459815967466736","0.53790259850069","1"
"No","1995","in school","East Germany","4","","","","2"
"No","1995","inadequately","West Germany","195","0.819700307831689","0.770338032258655","0.869062583404723","2"
"No","1995","higher education","West Germany","440","0.595591070582901","0.559742957578172","0.63143918358763","2"
"No","1995","higher vocational","East Germany","133","0.82477418749452","0.766233589389421","0.883314785599618","2"
"No","1995","inadequately","East Germany","3","","","","2"
"No","1995","general elemantary","West Germany","862","0.831021301062179","0.807887878872126","0.854154723252233","2"
"No","1995","higher education","East Germany","335","0.54843709558592","0.50942218442622","0.587452006745619","2"
"No","1995","in school","West Germany","6","","","","2"
"No","1995","general elemantary","East Germany","118","0.830720187483893","0.769257713255174","0.892182661712611","2"
"No","1995","higher vocational","West Germany","227","0.602336261221207","0.553321577547658","0.651350944894756","2"
"No","1995","middle vocational","West Germany","2291","0.766880828698796","0.751505374340443","0.78225628305715","2"
"No","1995","middle vocational","East Germany","868","0.721588357639933","0.696228551875246","0.746948163404619","2"
"No","1995","vocational + Abi","West Germany","212","0.771730750689031","0.721005193649905","0.822456307728157","2"
"No","1995","vocational + Abi","East Germany","32","0.625528108445886","0.488610123337781","0.76244609355399","2"
"Yes","1995","general elemantary","West Germany","146","0.168978698937821","0.145845276747767","0.192112121127874","1"
"Yes","1995","general elemantary","East Germany","25","","","","1"
"Yes","1995","middle vocational","West Germany","614","0.233119171301204","0.21774371694285","0.248494625659557","1"
"Yes","1995","middle vocational","East Germany","332","0.278411642360068","0.253051836595381","0.303771448124754","1"
"Yes","1995","vocational + Abi","West Germany","51","0.228269249310969","0.177543692271843","0.278994806350095","1"
"Yes","1995","in school","West Germany","","","","","1"
"Yes","1995","in school","East Germany","3","","","","1"
"Yes","1995","inadequately","West Germany","38","0.180299692168311","0.130937416595277","0.229661967741345","1"
"Yes","1995","inadequately","East Germany","1","","","","1"
"Yes","1995","vocational + Abi","East Germany","16","","","","1"
"Yes","1995","higher vocational","West Germany","156","0.397663738778793","0.348649055105244","0.446678422452342","1"
"Yes","1995","higher vocational","East Germany","29","","","","1"
"Yes","1995","higher education","West Germany","280","0.404408929417099","0.36856081641237","0.440257042421828","1"
"Yes","1995","higher education","East Germany","290","0.45156290441408","0.412547993254381","0.49057781557378","1"
"No","1996","in school","East Germany","3","","","","2"
"No","1996","inadequately","West Germany","169","0.784588385944592","0.728584467658097","0.840592304231086","2"
"No","1996","higher vocational","East Germany","129","0.817082938600522","0.756802038776513","0.877363838424531","2"
"No","1996","higher education","West Germany","443","0.595586728309631","0.559537721846432","0.631635734772831","2"
"No","1996","higher education","East Germany","314","0.540007405869384","0.499994486502271","0.580020325236497","2"
"No","1996","inadequately","East Germany","4","","","","2"
"No","1996","general elemantary","West Germany","786","0.847006626674685","0.823605009866608","0.870408243482761","2"
"No","1996","in school","West Germany","5","","","","2"
"No","1996","general elemantary","East Germany","115","0.845277475672034","0.784720493130456","0.905834458213612","2"
"No","1996","higher vocational","West Germany","225","0.585843765777019","0.536768165953246","0.634919365600793","2"
"No","1996","middle vocational","West Germany","2190","0.763832486151371","0.748075349033201","0.779589623269541","2"
"No","1996","middle vocational","East Germany","811","0.72730743689558","0.701073109037069","0.753541764754091","2"
"No","1996","vocational + Abi","West Germany","206","0.779591356750005","0.72891220377345","0.830270509726559","2"
"No","1996","vocational + Abi","East Germany","38","0.71709894595206","0.595839108681756","0.838358783222364","2"
"Yes","1996","general elemantary","West Germany","123","0.152993373325315","0.129591756517239","0.176394990133392","1"
"Yes","1996","general elemantary","East Germany","22","","","","1"
"Yes","1996","middle vocational","West Germany","601","0.236167513848629","0.220410376730459","0.251924650966799","1"
"Yes","1996","middle vocational","East Germany","296","0.27269256310442","0.246458235245909","0.298926890962931","1"
"Yes","1996","vocational + Abi","West Germany","51","0.220408643249995","0.169729490273441","0.27108779622655","1"
"Yes","1996","in school","West Germany","","","","","1"
"Yes","1996","in school","East Germany","2","","","","1"
"Yes","1996","inadequately","West Germany","38","0.215411614055408","0.159407695768914","0.271415532341903","1"
"Yes","1996","inadequately","East Germany","1","","","","1"
"Yes","1996","vocational + Abi","East Germany","15","","","","1"
"Yes","1996","higher vocational","West Germany","162","0.41415623422298","0.365080634399207","0.463231834046754","1"
"Yes","1996","higher vocational","East Germany","29","","","","1"
"Yes","1996","higher education","West Germany","269","0.404413271690369","0.368364265227169","0.440462278153568","1"
"Yes","1996","higher education","East Germany","282","0.459992594130616","0.419979674763502","0.500005513497729","1"
"No","1997","in school","East Germany","2","","","","2"
"No","1997","inadequately","West Germany","153","0.829691521582892","0.775524034637765","0.883859008528018","2"
"No","1997","higher vocational","East Germany","119","0.746929172263857","0.678703700803424","0.815154643724291","2"
"No","1997","higher education","West Germany","450","0.601189313172075","0.565909908265053","0.636468718079098","2"
"No","1997","higher education","East Germany","323","0.556967735456499","0.517352492994011","0.596582977918987","2"
"No","1997","inadequately","East Germany","4","","","","2"
"No","1997","general elemantary","West Germany","769","0.827596906614817","0.802794650070652","0.852399163158983","2"
"No","1997","in school","West Germany","8","","","","2"
"No","1997","general elemantary","East Germany","111","0.837252637588217","0.774517982856248","0.899987292320185","2"
"No","1997","higher vocational","West Germany","233","0.612093308390225","0.56329315853691","0.66089345824354","2"
