"pgoeffd","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1988","higher education","290","0.533464940250747","0.491270422022561","0.575659458478934"
"Yes","1989","in school","2","","",""
"Yes","1989","inadequately","37","0.10351290378489","0.0711803380788419","0.135845469490938"
"Yes","1989","general elemantary","202","0.191714597256782","0.170684778987537","0.212744415526027"
"Yes","1989","middle vocational","621","0.231911193914168","0.216711944638332","0.247110443190005"
"Yes","1989","vocational + Abi","20","","",""
"Yes","1989","higher vocational","122","0.334921054860774","0.285825548983621","0.384016560737927"
"Yes","1989","higher education","243","0.451427236954337","0.40991371767376","0.492940756234914"
"No","1989","in school","10","","",""
"No","1989","inadequately","304","0.89648709621511","0.864154530509062","0.928819661921158"
"No","1989","general elemantary","1144","0.808285402743218","0.787255584473973","0.829315221012463"
"No","1989","middle vocational","2341","0.768088806085832","0.752889556809995","0.783288055361668"
"No","1989","vocational + Abi","167","0.852373317712088","0.801531081884727","0.903215553539449"
"No","1989","higher vocational","233","0.665078945139226","0.615983439262073","0.714174451016379"
"No","1989","higher education","309","0.548572763045663","0.507059243765086","0.59008628232624"
"Yes","1990","in school","1","","",""
"Yes","1990","inadequately","34","0.0934811991802815","0.0625384299950784","0.124423968365485"
"Yes","1990","general elemantary","259","0.204800050717572","0.184425189153308","0.225174912281837"
"Yes","1990","middle vocational","1162","0.246411589079174","0.234261420645605","0.258561757512742"
"Yes","1990","vocational + Abi","38","0.151269695928634","0.106584832404714","0.195954559452554"
"Yes","1990","higher vocational","173","0.324325020790519","0.285725402241814","0.362924639339223"
"Yes","1990","higher education","652","0.464279723036493","0.437928682155655","0.490630763917331"
"No","1990","in school","4","","",""
"No","1990","inadequately","306","0.906518800819719","0.875576031634515","0.937461570004922"
"No","1990","general elemantary","1248","0.795199949282428","0.774825087718163","0.815574810846692"
"No","1990","middle vocational","3670","0.753588410920826","0.741438242487258","0.765738579354395"
"No","1990","vocational + Abi","209","0.848730304071366","0.804045440547446","0.893415167595286"
"No","1990","higher vocational","392","0.675674979209481","0.637075360660777","0.714274597758186"
"No","1990","higher education","724","0.535720276963507","0.509369236082669","0.562071317844345"
"Yes","1991","in school","4","","",""
"Yes","1991","inadequately","44","0.135801903253432","0.100013992937653","0.17158981356921"
"Yes","1991","general elemantary","266","0.217060197188351","0.195928776925426","0.238191617451277"
"Yes","1991","middle vocational","1048","0.236104554182789","0.223809164291545","0.248399944074032"
"Yes","1991","vocational + Abi","47","0.190429320784316","0.143508430323035","0.237350211245596"
"Yes","1991","higher vocational","163","0.320334754348232","0.281550070424601","0.359119438271863"
"Yes","1991","higher education","602","0.449338040667855","0.422534183166893","0.476141898168816"
"No","1991","in school","15","","",""
"No","1991","inadequately","308","0.864198096746568","0.82841018643079","0.899986007062347"
"No","1991","general elemantary","1196","0.782939802811649","0.761808382548723","0.804071223074574"
"No","1991","middle vocational","3535","0.763895445817211","0.751600055925968","0.776190835708455"
"No","1991","vocational + Abi","222","0.809570679215684","0.762649788754404","0.856491569676965"
"No","1991","higher vocational","393","0.679665245651768","0.640880561728137","0.718449929575398"
"No","1991","higher education","721","0.550661959332145","0.523858101831184","0.577465816833107"
"Yes","1992","in school","3","","",""
"Yes","1992","inadequately","42","0.162871536553076","0.121431815578589","0.204311257527564"
"Yes","1992","general elemantary","247","0.199612366660366","0.17838464208974","0.220840091230992"
"Yes","1992","middle vocational","1033","0.249530473926875","0.236424385883159","0.262636561970591"
"Yes","1992","vocational + Abi","48","0.237583823456305","0.184290901362207","0.290876745550402"
"Yes","1992","higher vocational","181","0.359881705529045","0.319659634132642","0.400103776925448"
"Yes","1992","higher education","583","0.4613647526453","0.43367411183826","0.48905539345234"
"No","1992","in school","12","","",""
"No","1992","inadequately","263","0.837128463446924","0.795688742472436","0.878568184421411"
"No","1992","general elemantary","1115","0.800387633339634","0.779159908769008","0.82161535791026"
"No","1992","middle vocational","3155","0.750469526073125","0.737363438029409","0.763575614116841"
"No","1992","vocational + Abi","197","0.762416176543695","0.709123254449598","0.815709098637793"
"No","1992","higher vocational","366","0.640118294470955","0.599896223074552","0.680340365867358"
"No","1992","higher education","662","0.5386352473547","0.510944606547659","0.56632588816174"
"Yes","1993","in school","4","","",""
"Yes","1993","inadequately","41","0.167469810388015","0.125495887623303","0.209443733152726"
"Yes","1993","general elemantary","238","0.203544273441136","0.18179070992646","0.225297836955813"
"Yes","1993","middle vocational","969","0.234793237673576","0.221833022490583","0.247753452856569"
"Yes","1993","vocational + Abi","53","0.222993737949983","0.172102838987831","0.273884636912135"
"Yes","1993","higher vocational","161","0.341171029559666","0.300343262508431","0.381998796610901"
"Yes","1993","higher education","572","0.453349670679504","0.425562904149738","0.481136437209269"
"No","1993","in school","7","","",""
"No","1993","inadequately","263","0.832530189611985","0.790556266847274","0.874504112376697"
"No","1993","general elemantary","1078","0.796455726558863","0.774702163044187","0.81820929007354"
"No","1993","middle vocational","3140","0.765206762326424","0.752246547143431","0.778166977509417"
"No","1993","vocational + Abi","204","0.777006262050017","0.726115363087865","0.827897161012169"
"No","1993","higher vocational","357","0.658828970440334","0.618001203389099","0.699656737491569"
"No","1993","higher education","661","0.546650329320496","0.518863562790731","0.574437095850262"
"Yes","1994","in school","3","","",""
"Yes","1994","inadequately","34","0.143629905483764","0.101243811133864","0.186015999833665"
"Yes","1994","general elemantary","189","0.198634520008407","0.175003432448784","0.22226560756803"
"Yes","1994","middle vocational","915","0.23926134869992","0.22584585703318","0.25267684036666"
"Yes","1994","vocational + Abi","50","0.230687181827055","0.178674285658011","0.282700077996099"
"Yes","1994","higher vocational","168","0.343388502093325","0.302338456117791","0.38443854806886"
"Yes","1994","higher education","566","0.449063233149974","0.421344851598721","0.476781614701226"
"No","1994","in school","8","","",""
"No","1994","inadequately","229","0.856370094516236","0.813984000166335","0.898756188866136"
"No","1994","general elemantary","906","0.801365479991593","0.77773439243197","0.824996567551216"
"No","1994","middle vocational","2970","0.76073865130008","0.74732315963334","0.77415414296682"
"No","1994","vocational + Abi","202","0.769312818172945","0.7172999220039","0.821325714341989"
"No","1994","higher vocational","346","0.656611497906675","0.615561451931141","0.697661543882209"
"No","1994","higher education","671","0.550936766850026","0.523218385298774","0.578655148401279"
"Yes","1995","in school","3","","",""
"Yes","1995","inadequately","39","0.181995202959365","0.132872549986111","0.23111785593262"
"Yes","1995","general elemantary","171","0.169003719777135","0.147353709798272","0.190653729755998"
"Yes","1995","middle vocational","946","0.241758179823743","0.228660753447366","0.25485560620012"
"Yes","1995","vocational + Abi","67","0.245313648752796","0.197493381334458","0.293133916171135"
"Yes","1995","higher vocational","185","0.357272615540424","0.317041404431183","0.397503826649665"
"Yes","1995","higher education","570","0.418256361682894","0.391894623169553","0.444618100196235"
"No","1995","in school","10","","",""
"No","1995","inadequately","198","0.818004797040635","0.76888214406738","0.867127450013889"
"No","1995","general elemantary","980","0.830996280222865","0.809346270244002","0.852646290201728"
"No","1995","middle vocational","3159","0.758241820176257","0.745144393799881","0.771339246552634"
"No","1995","vocational + Abi","244","0.754686351247204","0.706866083828865","0.802506618665542"
"No","1995","higher vocational","360","0.642727384459576","0.602496173350335","0.682958595568817"
"No","1995","higher education","775","0.581743638317106","0.555381899803765","0.608105376830447"
"Yes","1996","in school","2","","",""
"Yes","1996","inadequately","39","0.216136855888119","0.16072984799159","0.271543863784649"
"Yes","1996","general elemantary","145","0.153141856558362","0.131317847326106","0.174965865790619"
"Yes","1996","middle vocational","897","0.242800382216096","0.229340010613195","0.256260753818998"
"Yes","1996","vocational + Abi","66","0.226543794668623","0.179946447398563","0.273141141938683"
"Yes","1996","higher vocational","191","0.371627703066942","0.33105701292812","0.412198393205765"
"Yes","1996","higher education","551","0.420096129902396","0.393347806655165","0.446844453149627"
"No","1996","in school","8","","",""
"No","1996","inadequately","173","0.783863144111881","0.728456136215351","0.83927015200841"
"No","1996","general elemantary","901","0.846858143441638","0.825034134209381","0.868682152673894"
"No","1996","middle vocational","3001","0.757199617783904","0.743739246181003","0.770659989386805"
"No","1996","vocational + Abi","244","0.773456205331377","0.726858858061317","0.820053552601437"
"No","1996","higher vocational","354","0.628372296933058","0.587801606794235","0.66894298707188"
"No","1996","higher education","757","0.579903870097604","0.553155546850373","0.606652193344835"
"Yes","1997","in school","2","","",""
"Yes","1997","inadequately","33","0.170141619843379","0.116712433051264","0.223570806635493"
"Yes","1997","general elemantary","144","0.17156752157743","0.148476443488823","0.194658599666038"
"Yes","1997","middle vocational","865","0.23519670062402","0.221729538383711","0.248663862864329"
"Yes","1997","vocational + Abi","66","0.221946153963894","0.175835696301473","0.268056611626314"
"Yes","1997","higher vocational","187","0.364696875191348","0.32406094315863","0.405332807224067"
"Yes","1997","higher education","571","0.411381912999009","0.385073911688447","0.43768991430957"
"No","1997","in school","10","","",""
"No","1997","inadequately","157","0.829858380156622","0.776429193364507","0.883287566948736"
"No","1997","general elemantary","880","0.82843247842257","0.805341400333962","0.851523556511178"
"No","1997","middle vocational","2945","0.76480329937598","0.751336137135671","0.778270461616289"
"No","1997","vocational + Abi","246","0.778053846036106","0.731943388373686","0.824164303698527"
"No","1997","higher vocational","352","0.635303124808652","0.594667192775933","0.67593905684137"
"No","1997","higher education","773","0.588618087000991","0.56231008569043","0.614926088311553"
"Yes","1998","in school","1","","",""
"Yes","1998","inadequately","29","","",""
"Yes","1998","general elemantary","162","0.175354364571265","0.152515986426543","0.198192742715988"
"Yes","1998","middle vocational","912","0.231289202911903","0.21841542674137","0.244162979082436"
"Yes","1998","vocational + Abi","81","0.243744622276255","0.199455584045033","0.288033660507477"
"Yes","1998","higher vocational","194","0.348313843944182","0.30977189639288","0.386855791495485"
"Yes","1998","higher education","622","0.421305409392177","0.396038259125894","0.446572559658459"
"No","1998","in school","13","","",""
"No","1998","inadequately","148","0.82598571778332","0.770133531990007","0.881837903576632"
"No","1998","general elemantary","903","0.824645635428735","0.801807257284012","0.847484013573457"
"No","1998","middle vocational","3209","0.768710797088097","0.755837020917564","0.78158457325863"
"No","1998","vocational + Abi","280","0.756255377723745","0.711966339492523","0.800544415954967"
"No","1998","higher vocational","393","0.651686156055818","0.613144208504515","0.69022810360712"
"No","1998","higher education","845","0.578694590607823","0.553427440341541","0.603961740874106"
"Yes","1999","in school","2","","",""
"Yes","1999","inadequately","25","","",""
"Yes","1999","general elemantary","133","0.160146034715212","0.136886212620744","0.183405856809681"
"Yes","1999","middle vocational","830","0.222881119065989","0.209780839593332","0.235981398538645"
"Yes","1999","vocational + Abi","64","0.228165726632217","0.18309306463887","0.273238388625564"
"Yes","1999","higher vocational","197","0.375585336988002","0.335404234154","0.415766439822005"
"Yes","1999","higher education","602","0.412587823036961","0.387089814762922","0.438085831311001"
"No","1999","in school","20","","",""
"No","1999","inadequately","138","0.829582262448527","0.771860256485277","0.887304268411776"
"No","1999","general elemantary","822","0.839853965284788","0.816594143190319","0.863113787379256"
"No","1999","middle vocational","3047","0.777118880934011","0.764018601461355","0.790219160406668"
"No","1999","vocational + Abi","269","0.771834273367783","0.726761611374436","0.81690693536113"
"No","1999","higher vocational","361","0.624414663011998","0.584233560177995","0.664595765846"
"No","1999","higher education","830","0.587412176963039","0.561914168688999","0.612910185237078"
"Yes","2000","in school","5","","",""
"Yes","2000","inadequately","23","","",""
"Yes","2000","general elemantary","191","0.139391449896774","0.121502380824448","0.157280518969099"
"Yes","2000","middle vocational","1475","0.200812352158059","0.191645124373608","0.209979579942509"
"Yes","2000","vocational + Abi","142","0.2047012351939","0.176128021329376","0.233274449058423"
"Yes","2000","higher vocational","402","0.312749723024375","0.287221786446016","0.338277659602734"
"Yes","2000","higher education","1089","0.36122330073542","0.343424667772432","0.379021933698408"
"No","2000","in school","42","0.918432771173824","0.840183427816269","0.996682114531379"
"No","2000","inadequately","120","0.866356150236762","0.810585874408549","0.922126426064975"
"No","2000","general elemantary","1249","0.860608550103226","0.842719481030901","0.878497619175552"
"No","2000","middle vocational","5861","0.799187647841941","0.790020420057491","0.808354875626392"
"No","2000","vocational + Abi","624","0.7952987648061","0.766725550941577","0.823871978670624"
"No","2000","higher vocational","865","0.687250276975625","0.661722340397266","0.712778213553984"
"No","2000","higher education","1709","0.63877669926458","0.620978066301592","0.656575332227568"
"Yes","2001","in school","2","","",""
"Yes","2001","inadequately","17","","",""
"Yes","2001","general elemantary","169","0.165662517157072","0.144332280772514","0.18699275354163"
"Yes","2001","middle vocational","1274","0.1997216823838","0.189834630175909","0.209608734591691"
"Yes","2001","vocational + Abi","129","0.198497391177502","0.168204491386291","0.228790290968712"
"Yes","2001","higher vocational","336","0.311196017562574","0.283506793200798","0.338885241924351"
"Yes","2001","higher education","957","0.358917226306563","0.340083845964934","0.377750606648192"
"No","2001","in school","51","0.98139099199222","0.945008469937631","1.01777351404681"
"No","2001","inadequately","82","0.87780814345707","0.81329452102524","0.942321765888899"
"No","2001","general elemantary","998","0.834337482842928","0.81300724645837","0.855667719227486"
"No","2001","middle vocational","5007","0.8002783176162","0.790391265408309","0.810165369824091"
"No","2001","vocational + Abi","537","0.801502608822498","0.771209709031288","0.831795508613709"
"No","2001","higher vocational","738","0.688803982437426","0.661114758075649","0.716493206799202"
"No","2001","higher education","1535","0.641082773693437","0.622249393351808","0.659916154035066"
"Yes","2002","in school","7","","",""
"Yes","2002","inadequately","16","","",""
"Yes","2002","general elemantary","168","0.146702376568753","0.126566312273836","0.166838440863669"
"Yes","2002","middle vocational","1387","0.209420526240517","0.199544701337069","0.219296351143965"
"Yes","2002","vocational + Abi","146","0.18933500165804","0.161893784227863","0.216776219088218"
"Yes","2002","higher vocational","331","0.280022442839745","0.254638928102422","0.305405957577069"
"Yes","2002","higher education","1350","0.35428471414955","0.3382312913947","0.3703381369044"
"No","2002","in school","63","0.895545538904506","0.823897154028802","0.967193923780209"
"No","2002","inadequately","81","0.876621765413182","0.811175084808129","0.942068446018236"
"No","2002","general elemantary","1018","0.853297623431247","0.833161559136331","0.873433687726164"
"No","2002","middle vocational","5134","0.790579473759483","0.780703648856035","0.800455298662932"
"No","2002","vocational + Abi","637","0.81066499834196","0.783223780911782","0.838106215772137"
"No","2002","higher vocational","871","0.719977557160255","0.694594042422931","0.745361071897578"
"No","2002","higher education","2060","0.64571528585045","0.6296618630956","0.6617687086053"
"Yes","2003","in school","3","","",""
"Yes","2003","inadequately","12","","",""
"Yes","2003","general elemantary","153","0.173253534696057","0.149701985478322","0.196805083913793"
"Yes","2003","middle vocational","1277","0.223402674274343","0.212662744258278","0.234142604290409"
"Yes","2003","vocational + Abi","145","0.222850976686029","0.192703430153495","0.252998523218563"
"Yes","2003","higher vocational","311","0.292640299750141","0.265289584882123","0.319991014618158"
"Yes","2003","higher education","1197","0.344963657188587","0.328088027784418","0.361839286592757"
"No","2003","in school","35","0.96949525045764","0.914817219390477","1.0241732815248"
"No","2003","inadequately","68","0.909613119766131","0.846780646700969","0.972445592831293"
"No","2003","general elemantary","839","0.826746465303943","0.803194916086207","0.850298014521678"
"No","2003","middle vocational","4501","0.776597325725657","0.765857395709591","0.787337255741722"
"No","2003","vocational + Abi","587","0.777149023313971","0.747001476781437","0.807296569846505"
"No","2003","higher vocational","752","0.707359700249859","0.680008985381842","0.734710415117877"
"No","2003","higher education","1851","0.655036342811412","0.638160713407243","0.671911972215582"
"Yes","2004","in school","3","","",""
"Yes","2004","inadequately","15","","",""
"Yes","2004","general elemantary","151","0.160980465659757","0.138270225520887","0.183690705798627"
"Yes","2004","middle vocational","1222","0.207500709420668","0.197159440317937","0.217841978523398"
"Yes","2004","vocational + Abi","157","0.211476150816651","0.183000565452946","0.239951736180357"
"Yes","2004","higher vocational","313","0.295890439593649","0.268867760670612","0.322913118516686"
"Yes","2004","higher education","1232","0.357789735559406","0.340967141565967","0.374612329552846"
"No","2004","in school","44","0.918861615164911","0.840800024630043","0.996923205699779"
"No","2004","inadequately","61","0.773389128438885","0.67926939318726","0.86750886369051"
"No","2004","general elemantary","855","0.839019534340243","0.816309294201373","0.861729774479113"
"No","2004","middle vocational","4685","0.792499290579333","0.782158021476602","0.802840559682063"
"No","2004","vocational + Abi","633","0.788523849183349","0.760048263819643","0.816999434547054"
"No","2004","higher vocational","783","0.704109560406351","0.677086881483314","0.731132239329387"
"No","2004","higher education","1887","0.642210264440594","0.625387670447154","0.659032858434033"
"Yes","2005","in school","","","",""
"Yes","2005","inadequately","13","","",""
"Yes","2005","general elemantary","134","0.175320973649124","0.149499263489656","0.201142683808591"
"Yes","2005","middle vocational","1093","0.208304658779243","0.19731973682855","0.219289580729935"
"Yes","2005","vocational + Abi","150","0.218114758150323","0.188340571558175","0.247888944742471"
"Yes","2005","higher vocational","280","0.292842853971119","0.264409648440441","0.321276059501797"
"Yes","2005","higher education","1138","0.355150656468938","0.337611830597255","0.372689482340621"
"No","2005","in school","27","","",""
"No","2005","inadequately","51","0.833320357216696","0.742013082541574","0.924627631891817"
"No","2005","general elemantary","699","0.824679026350876","0.798857316191409","0.850500736510344"
"No","2005","middle vocational","4157","0.791695341220757","0.780710419270065","0.80268026317145"
"No","2005","vocational + Abi","589","0.781885241849677","0.752111055257529","0.811659428441825"
"No","2005","higher vocational","704","0.707157146028881","0.678723940498203","0.735590351559559"
"No","2005","higher education","1722","0.644849343531062","0.627310517659379","0.662388169402745"
"Yes","2006","in school","1","","",""
"Yes","2006","inadequately","10","","",""
"Yes","2006","general elemantary","136","0.179707085357312","0.152933802532614","0.206480368182011"
"Yes","2006","middle vocational","1149","0.209675279200936","0.198831882074341","0.220518676327532"
"Yes","2006","vocational + Abi","162","0.216282375811807","0.187183561475838","0.245381190147775"
"Yes","2006","higher vocational","292","0.280812544670531","0.252903322938761","0.308721766402302"
"Yes","2006","higher education","1181","0.354623930520069","0.337533409939268","0.37171445110087"
"No","2006","in school","25","","",""
"No","2006","inadequately","52","0.84214042437581","0.751383458345162","0.932897390406457"
"No","2006","general elemantary","654","0.820292914642687","0.793519631817989","0.847066197467386"
"No","2006","middle vocational","4265","0.790324720799064","0.779481323672468","0.801168117925659"
"No","2006","vocational + Abi","607","0.783717624188193","0.754618809852225","0.812816438524162"
"No","2006","higher vocational","704","0.719187455329469","0.691278233597698","0.747096677061239"
"No","2006","higher education","1829","0.645376069479931","0.62828554889913","0.662466590060732"
"Yes","2007","in school","","","",""
"Yes","2007","inadequately","14","","",""
"Yes","2007","general elemantary","136","0.158949491863747","0.133339595517559","0.184559388209936"
"Yes","2007","middle vocational","1125","0.195744138248992","0.185386384686245","0.20610189181174"
"Yes","2007","vocational + Abi","152","0.18353228114559","0.156906901015671","0.210157661275508"
"Yes","2007","higher vocational","267","0.275410479092455","0.247583455992573","0.303237502192336"
"Yes","2007","higher education","1172","0.359265049886529","0.342195760732971","0.376334339040087"
"No","2007","in school","29","","",""
"No","2007","inadequately","46","0.80167356550003","0.700780446119551","0.902566684880508"
"No","2007","general elemantary","647","0.841050508136253","0.815440611790064","0.866660404482441"
"No","2007","middle vocational","4512","0.804255861751008","0.79389810818826","0.814613615313755"
"No","2007","vocational + Abi","660","0.81646771885441","0.789842338724492","0.843093098984329"
"No","2007","higher vocational","723","0.724589520907545","0.696762497807664","0.752416544007427"
"No","2007","higher education","1863","0.640734950113471","0.623665660959913","0.657804239267029"
"Yes","2008","in school","1","","",""
"Yes","2008","inadequately","12","","",""
"Yes","2008","general elemantary","117","0.175615692476375","0.146911672541893","0.204319712410856"
"Yes","2008","middle vocational","1039","0.191294387854279","0.180529229422627","0.202059546285931"
"Yes","2008","vocational + Abi","142","0.183913346393924","0.156131407538783","0.211695285249065"
"Yes","2008","higher vocational","240","0.276812555413325","0.247318106256654","0.306307004569996"
"Yes","2008","higher education","1059","0.348641152665424","0.330961747231932","0.366320558098916"
"No","2008","in school","24","","",""
"No","2008","inadequately","45","0.824548984522343","0.725808140120861","0.923289828923826"
"No","2008","general elemantary","558","0.824384307523625","0.795680287589144","0.853088327458107"
"No","2008","middle vocational","4089","0.808705612145721","0.797940453714069","0.819470770577373"
"No","2008","vocational + Abi","605","0.816086653606076","0.788304714750935","0.843868592461217"
"No","2008","higher vocational","644","0.723187444586675","0.693692995430004","0.752681893743346"
"No","2008","higher education","1732","0.651358847334576","0.633679441901084","0.669038252768068"
"Yes","2009","in school","1","","",""
"Yes","2009","inadequately","9","","",""
"Yes","2009","general elemantary","109","0.157119050276357","0.129376594457249","0.184861506095465"
"Yes","2009","middle vocational","989","0.188137230291297","0.177306570019262","0.198967890563332"
"Yes","2009","vocational + Abi","135","0.190851838887436","0.161885034653201","0.219818643121671"
"Yes","2009","higher vocational","234","0.272720783043966","0.242763394509339","0.302678171578594"
"Yes","2009","higher education","1053","0.342143430263084","0.324437421664457","0.359849438861712"
"No","2009","in school","36","0.978023436105922","0.930784320869142","1.0252625513427"
"No","2009","inadequately","46","0.893332206767921","0.811751042815233","0.974913370720608"
"No","2009","general elemantary","552","0.842880949723643","0.815138493904535","0.870623405542751"
"No","2009","middle vocational","4013","0.811862769708703","0.801032109436668","0.822693429980738"
"No","2009","vocational + Abi","572","0.809148161112564","0.780181356878329","0.838114965346799"
"No","2009","higher vocational","615","0.727279216956034","0.697321828421406","0.757236605490661"
"No","2009","higher education","1705","0.657856569736916","0.640150561138288","0.675562578335543"
"Yes","2010","in school","4","","",""
"Yes","2010","inadequately","13","","",""
"Yes","2010","general elemantary","118","0.132736548432443","0.11070425611338","0.154768840751505"
"Yes","2010","middle vocational","1227","0.197529953082396","0.187872654646864","0.207187251517927"
"Yes","2010","vocational + Abi","224","0.205859410781699","0.182190441593673","0.229528379969725"
"Yes","2010","higher vocational","257","0.273779142593242","0.246718352328444","0.30083993285804"
"Yes","2010","higher education","1338","0.353289238188749","0.337709716208657","0.368868760168841"
"No","2010","in school","33","0.922224867638016","0.835929790202268","1.00851994507376"
"No","2010","inadequately","91","0.913582370240685","0.859580792115233","0.967583948366136"
"No","2010","general elemantary","793","0.867263451567557","0.845231159248495","0.88929574388662"
"No","2010","middle vocational","5302","0.802470046917604","0.792812748482073","0.812127345353136"
"No","2010","vocational + Abi","897","0.794140589218301","0.770471620030275","0.817809558406327"
"No","2010","higher vocational","786","0.726220857406758","0.69916006714196","0.753281647671556"
"No","2010","higher education","2278","0.646710761811251","0.631131239831159","0.662290283791343"
"Yes","2011","in school","5","","",""
"Yes","2011","inadequately","14","","",""
"Yes","2011","general elemantary","144","0.150892788662826","0.130096182516928","0.171689394808723"
"Yes","2011","middle vocational","1554","0.202882739707195","0.193929485884606","0.211835993529785"
"Yes","2011","vocational + Abi","295","0.22094235093212","0.199013239958857","0.242871461905382"
"Yes","2011","higher vocational","302","0.248396362535111","0.224100797454568","0.272691927615655"
"Yes","2011","higher education","1594","0.35894598837811","0.344497096963376","0.373394879792845"
"No","2011","in school","44","0.949249695212397","0.887794357214081","1.01070503321071"
