"pgoeffd","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1985","secondary school degree","higher education","14","","",""
"Yes","1985","college entrance qualification","in school","","","",""
"Yes","1985","college entrance qualification","inadequately","","","",""
"Yes","1985","college entrance qualification","general elemantary","","","",""
"Yes","1985","college entrance qualification","middle vocational","19","","",""
"Yes","1985","college entrance qualification","vocational + Abi","19","","",""
"Yes","1985","college entrance qualification","higher vocational","44","0.566284795476928","0.458358975787698","0.674210615166158"
"Yes","1985","college entrance qualification","higher education","241","0.523314819681062","0.477918676558209","0.568710962803915"
"Yes","1985","Other degree","in school","","","",""
"Yes","1985","Other degree","inadequately","1","","",""
"Yes","1985","Other degree","general elemantary","36","0.0767149686285494","0.051140337471684","0.102289599785415"
"Yes","1985","Other degree","middle vocational","30","0.113998968903502","0.0804633659796817","0.147534571827322"
"Yes","1985","Other degree","vocational + Abi","7","","",""
"Yes","1985","Other degree","higher vocational","4","","",""
"Yes","1985","Other degree","higher education","17","","",""
"Yes","1985","no degree/no degree yet","in school","","","",""
"Yes","1985","no degree/no degree yet","inadequately","43","0.103333546456499","0.0750836545689288","0.131583438344069"
"Yes","1985","no degree/no degree yet","general elemantary","","","",""
"Yes","1985","no degree/no degree yet","middle vocational","3","","",""
"Yes","1985","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1985","no degree/no degree yet","higher vocational","1","","",""
"Yes","1985","no degree/no degree yet","higher education","1","","",""
"No","1985","lower secondary degree","in school","","","",""
"No","1985","lower secondary degree","inadequately","","","",""
"No","1985","lower secondary degree","general elemantary","616","0.818500095254818","0.790729844644495","0.846270345865141"
"No","1985","lower secondary degree","middle vocational","1508","0.795448627039296","0.777175939136879","0.813721314941712"
"No","1985","lower secondary degree","vocational + Abi","4","","",""
"No","1985","lower secondary degree","higher vocational","142","0.739697939892748","0.678109841837258","0.801286037948239"
"No","1985","lower secondary degree","higher education","7","","",""
"No","1985","secondary school degree","in school","","","",""
"No","1985","secondary school degree","inadequately","","","",""
"No","1985","secondary school degree","general elemantary","159","0.764327745116333","0.706510557947723","0.822144932284943"
"No","1985","secondary school degree","middle vocational","515","0.691388389721996","0.658351793605391","0.724424985838601"
"No","1985","secondary school degree","vocational + Abi","","","",""
"No","1985","secondary school degree","higher vocational","83","0.637407376320483","0.554446895434839","0.720367857206128"
"No","1985","secondary school degree","higher education","34","0.69756591226761","0.567628124938163","0.827503699597056"
"No","1985","college entrance qualification","in school","","","",""
"No","1985","college entrance qualification","inadequately","","","",""
"No","1985","college entrance qualification","general elemantary","","","",""
"No","1985","college entrance qualification","middle vocational","54","0.752804157973718","0.653846764787174","0.851761551160262"
"No","1985","college entrance qualification","vocational + Abi","82","0.805909500284074","0.72877783980032","0.883041160767829"
"No","1985","college entrance qualification","higher vocational","37","0.433715204523072","0.325789384833842","0.541641024212302"
"No","1985","college entrance qualification","higher education","224","0.476685180318938","0.431289037196085","0.522081323441791"
"No","1985","Other degree","in school","","","",""
"No","1985","Other degree","inadequately","12","","",""
"No","1985","Other degree","general elemantary","380","0.923285031371451","0.897710400214585","0.948859662528316"
"No","1985","Other degree","middle vocational","315","0.886001031096498","0.852465428172678","0.919536634020318"
"No","1985","Other degree","vocational + Abi","59","0.873964208093668","0.793894196010167","0.954034220177168"
"No","1985","Other degree","higher vocational","2","","",""
"No","1985","Other degree","higher education","22","","",""
"No","1985","no degree/no degree yet","in school","2","","",""
"No","1985","no degree/no degree yet","inadequately","403","0.896666453543501","0.868416561655931","0.924916345431071"
"No","1985","no degree/no degree yet","general elemantary","","","",""
"No","1985","no degree/no degree yet","middle vocational","55","0.976288172592705","0.937131514328807","1.0154448308566"
"No","1985","no degree/no degree yet","vocational + Abi","","","",""
"No","1985","no degree/no degree yet","higher vocational","1","","",""
"No","1985","no degree/no degree yet","higher education","","","",""
"Yes","1986","lower secondary degree","in school","","","",""
"Yes","1986","lower secondary degree","inadequately","","","",""
"Yes","1986","lower secondary degree","general elemantary","110","0.178359312169336","0.149775026519131","0.206943597819541"
"Yes","1986","lower secondary degree","middle vocational","350","0.209610187188527","0.1906587089037","0.228561665473354"
"Yes","1986","lower secondary degree","vocational + Abi","","","",""
"Yes","1986","lower secondary degree","higher vocational","52","0.291678202150768","0.223749837655703","0.359606566645833"
"Yes","1986","lower secondary degree","higher education","7","","",""
"Yes","1986","secondary school degree","in school","","","",""
"Yes","1986","secondary school degree","inadequately","","","",""
"Yes","1986","secondary school degree","general elemantary","59","0.294790522179211","0.23222301736015","0.357358026998272"
"Yes","1986","secondary school degree","middle vocational","226","0.304447265130411","0.270787821061372","0.338106709199451"
"Yes","1986","secondary school degree","vocational + Abi","1","","",""
"Yes","1986","secondary school degree","higher vocational","35","0.310728436764421","0.225399850525975","0.396057023002866"
"Yes","1986","secondary school degree","higher education","14","","",""
"Yes","1986","college entrance qualification","in school","","","",""
"Yes","1986","college entrance qualification","inadequately","","","",""
"Yes","1986","college entrance qualification","general elemantary","","","",""
"Yes","1986","college entrance qualification","middle vocational","23","","",""
"Yes","1986","college entrance qualification","vocational + Abi","20","","",""
"Yes","1986","college entrance qualification","higher vocational","41","0.556611438645238","0.445650266852034","0.667572610438441"
"Yes","1986","college entrance qualification","higher education","235","0.516644721919237","0.47077829587349","0.562511147964984"
"Yes","1986","Other degree","in school","","","",""
"Yes","1986","Other degree","inadequately","1","","",""
"Yes","1986","Other degree","general elemantary","29","","",""
"Yes","1986","Other degree","middle vocational","21","","",""
"Yes","1986","Other degree","vocational + Abi","7","","",""
"Yes","1986","Other degree","higher vocational","4","","",""
"Yes","1986","Other degree","higher education","15","","",""
"Yes","1986","no degree/no degree yet","in school","","","",""
"Yes","1986","no degree/no degree yet","inadequately","38","0.121985463505125","0.088905953947485","0.155064973062764"
"Yes","1986","no degree/no degree yet","general elemantary","","","",""
"Yes","1986","no degree/no degree yet","middle vocational","4","","",""
"Yes","1986","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1986","no degree/no degree yet","higher vocational","1","","",""
"Yes","1986","no degree/no degree yet","higher education","1","","",""
"No","1986","lower secondary degree","in school","","","",""
"No","1986","lower secondary degree","inadequately","","","",""
"No","1986","lower secondary degree","general elemantary","579","0.821640687830664","0.793056402180459","0.850224973480869"
"No","1986","lower secondary degree","middle vocational","1422","0.790389812811473","0.771438334526646","0.8093412910963"
"No","1986","lower secondary degree","vocational + Abi","5","","",""
"No","1986","lower secondary degree","higher vocational","120","0.708321797849232","0.640393433354167","0.776250162344297"
"No","1986","lower secondary degree","higher education","4","","",""
"No","1986","secondary school degree","in school","","","",""
"No","1986","secondary school degree","inadequately","","","",""
"No","1986","secondary school degree","general elemantary","145","0.705209477820789","0.642641973001728","0.76777698263985"
"No","1986","secondary school degree","middle vocational","492","0.695552734869589","0.661893290800549","0.729212178938628"
"No","1986","secondary school degree","vocational + Abi","","","",""
"No","1986","secondary school degree","higher vocational","78","0.689271563235579","0.603942976997134","0.774600149474025"
"No","1986","secondary school degree","higher education","32","0.677258683144078","0.542152959034282","0.812364407253874"
"No","1986","college entrance qualification","in school","","","",""
"No","1986","college entrance qualification","inadequately","","","",""
"No","1986","college entrance qualification","general elemantary","","","",""
"No","1986","college entrance qualification","middle vocational","57","0.696587526912269","0.595846201690165","0.797328852134372"
"No","1986","college entrance qualification","vocational + Abi","84","0.795195692729984","0.717635661742264","0.872755723717704"
"No","1986","college entrance qualification","higher vocational","36","0.443388561354763","0.332427389561559","0.554349733147966"
"No","1986","college entrance qualification","higher education","221","0.483355278080763","0.437488852035016","0.52922170412651"
"No","1986","Other degree","in school","","","",""
"No","1986","Other degree","inadequately","13","","",""
"No","1986","Other degree","general elemantary","363","0.933746641932709","0.909124630324131","0.958368653541286"
"No","1986","Other degree","middle vocational","283","0.898999394601874","0.865126447232661","0.932872341971087"
"No","1986","Other degree","vocational + Abi","55","0.866793276321157","0.78221222353972","0.951374329102594"
"No","1986","Other degree","higher vocational","3","","",""
"No","1986","Other degree","higher education","23","","",""
"No","1986","no degree/no degree yet","in school","2","","",""
"No","1986","no degree/no degree yet","inadequately","338","0.878014536494875","0.844935026937236","0.911094046052515"
"No","1986","no degree/no degree yet","general elemantary","","","",""
"No","1986","no degree/no degree yet","middle vocational","51","0.968276528304776","0.921957781265653","1.0145952753439"
"No","1986","no degree/no degree yet","vocational + Abi","","","",""
"No","1986","no degree/no degree yet","higher vocational","","","",""
"No","1986","no degree/no degree yet","higher education","","","",""
"Yes","1987","lower secondary degree","in school","","","",""
"Yes","1987","lower secondary degree","inadequately","","","",""
"Yes","1987","lower secondary degree","general elemantary","107","0.171878325294671","0.144301689817088","0.199454960772254"
"Yes","1987","lower secondary degree","middle vocational","344","0.205150458605673","0.186417443174428","0.223883474036918"
"Yes","1987","lower secondary degree","vocational + Abi","","","",""
"Yes","1987","lower secondary degree","higher vocational","52","0.296717816810058","0.226373793542479","0.367061840077638"
"Yes","1987","lower secondary degree","higher education","7","","",""
"Yes","1987","secondary school degree","in school","","","",""
"Yes","1987","secondary school degree","inadequately","","","",""
"Yes","1987","secondary school degree","general elemantary","66","0.330412568784609","0.267685767486789","0.393139370082428"
"Yes","1987","secondary school degree","middle vocational","231","0.304859337311422","0.271691410336983","0.338027264285862"
"Yes","1987","secondary school degree","vocational + Abi","1","","",""
"Yes","1987","secondary school degree","higher vocational","38","0.337956121488787","0.251504584933974","0.424407658043601"
"Yes","1987","secondary school degree","higher education","11","","",""
"Yes","1987","college entrance qualification","in school","","","",""
"Yes","1987","college entrance qualification","inadequately","","","",""
"Yes","1987","college entrance qualification","general elemantary","","","",""
"Yes","1987","college entrance qualification","middle vocational","29","","",""
"Yes","1987","college entrance qualification","vocational + Abi","25","","",""
"Yes","1987","college entrance qualification","higher vocational","39","0.523343756648445","0.410308577742347","0.636378935554543"
"Yes","1987","college entrance qualification","higher education","232","0.504897069162234","0.459404729383379","0.550389408941089"
"Yes","1987","Other degree","in school","","","",""
"Yes","1987","Other degree","inadequately","1","","",""
"Yes","1987","Other degree","general elemantary","34","0.0778412615211096","0.0508321705939059","0.104850352448313"
"Yes","1987","Other degree","middle vocational","22","","",""
"Yes","1987","Other degree","vocational + Abi","6","","",""
"Yes","1987","Other degree","higher vocational","4","","",""
"Yes","1987","Other degree","higher education","15","","",""
"Yes","1987","no degree/no degree yet","in school","","","",""
"Yes","1987","no degree/no degree yet","inadequately","36","0.11501614333474","0.0823306817005087","0.147701604968972"
"Yes","1987","no degree/no degree yet","general elemantary","","","",""
"Yes","1987","no degree/no degree yet","middle vocational","4","","",""
"Yes","1987","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1987","no degree/no degree yet","higher vocational","1","","",""
"Yes","1987","no degree/no degree yet","higher education","","","",""
"No","1987","lower secondary degree","in school","","","",""
"No","1987","lower secondary degree","inadequately","","","",""
"No","1987","lower secondary degree","general elemantary","612","0.828121674705329","0.800545039227746","0.855698310182912"
"No","1987","lower secondary degree","middle vocational","1441","0.794849541394327","0.776116525963082","0.813582556825572"
"No","1987","lower secondary degree","vocational + Abi","5","","",""
"No","1987","lower secondary degree","higher vocational","110","0.703282183189942","0.632938159922362","0.773626206457521"
"No","1987","lower secondary degree","higher education","4","","",""
"No","1987","secondary school degree","in school","","","",""
"No","1987","secondary school degree","inadequately","","","",""
"No","1987","secondary school degree","general elemantary","150","0.669587431215391","0.606860629917571","0.732314232513211"
"No","1987","secondary school degree","middle vocational","509","0.695140662688578","0.661972735714138","0.728308589663017"
"No","1987","secondary school degree","vocational + Abi","","","",""
"No","1987","secondary school degree","higher vocational","77","0.662043878511213","0.575592341956399","0.748495415066026"
"No","1987","secondary school degree","higher education","32","0.765411300388034","0.638758486807203","0.892064113968865"
"No","1987","college entrance qualification","in school","","","",""
"No","1987","college entrance qualification","inadequately","","","",""
"No","1987","college entrance qualification","general elemantary","","","",""
"No","1987","college entrance qualification","middle vocational","59","0.646180851964335","0.546278787388216","0.746082916540454"
"No","1987","college entrance qualification","vocational + Abi","89","0.760923691955845","0.682628608954028","0.839218774957661"
"No","1987","college entrance qualification","higher vocational","36","0.476656243351555","0.363621064445458","0.589691422257653"
"No","1987","college entrance qualification","higher education","232","0.495102930837766","0.449610591058911","0.540595270616621"
"No","1987","Other degree","in school","","","",""
"No","1987","Other degree","inadequately","11","","",""
"No","1987","Other degree","general elemantary","344","0.92215873847889","0.895149647551687","0.949167829406094"
"No","1987","Other degree","middle vocational","290","0.908798244457138","0.876853006110163","0.940743482804112"
"No","1987","Other degree","vocational + Abi","53","0.855612552145835","0.765926402649826","0.945298701641844"
"No","1987","Other degree","higher vocational","2","","",""
"No","1987","Other degree","higher education","19","","",""
"No","1987","no degree/no degree yet","in school","5","","",""
"No","1987","no degree/no degree yet","inadequately","330","0.88498385666526","0.852298395031029","0.917669318299491"
"No","1987","no degree/no degree yet","general elemantary","","","",""
"No","1987","no degree/no degree yet","middle vocational","53","0.967751401250044","0.921889929049999","1.01361287345009"
"No","1987","no degree/no degree yet","vocational + Abi","","","",""
"No","1987","no degree/no degree yet","higher vocational","1","","",""
"No","1987","no degree/no degree yet","higher education","","","",""
"Yes","1988","lower secondary degree","in school","","","",""
"Yes","1988","lower secondary degree","inadequately","","","",""
"Yes","1988","lower secondary degree","general elemantary","103","0.167462040347292","0.14030140079975","0.194622679894833"
"Yes","1988","lower secondary degree","middle vocational","324","0.20615154567028","0.187044496689801","0.225258594650758"
"Yes","1988","lower secondary degree","vocational + Abi","","","",""
"Yes","1988","lower secondary degree","higher vocational","47","0.276718026055986","0.208456080016097","0.344979972095874"
"Yes","1988","lower secondary degree","higher education","5","","",""
"Yes","1988","secondary school degree","in school","","","",""
"Yes","1988","secondary school degree","inadequately","","","",""
"Yes","1988","secondary school degree","general elemantary","63","0.291153278843362","0.233315590322714","0.348990967364009"
"Yes","1988","secondary school degree","middle vocational","220","0.295008359907478","0.261857863910062","0.328158855904894"
"Yes","1988","secondary school degree","vocational + Abi","","","",""
"Yes","1988","secondary school degree","higher vocational","37","0.370465073205576","0.280217548650734","0.460712597760419"
"Yes","1988","secondary school degree","higher education","11","","",""
"Yes","1988","college entrance qualification","in school","","","",""
"Yes","1988","college entrance qualification","inadequately","","","",""
"Yes","1988","college entrance qualification","general elemantary","","","",""
"Yes","1988","college entrance qualification","middle vocational","31","0.339604204434038","0.245360813721228","0.433847595146848"
"Yes","1988","college entrance qualification","vocational + Abi","23","","",""
"Yes","1988","college entrance qualification","higher vocational","40","0.498243001567641","0.387282576281041","0.609203426854241"
"Yes","1988","college entrance qualification","higher education","218","0.484674581461309","0.438954430831655","0.530394732090962"
"Yes","1988","Other degree","in school","","","",""
"Yes","1988","Other degree","inadequately","1","","",""
"Yes","1988","Other degree","general elemantary","35","0.0868243129602391","0.0579769980140292","0.115671627906449"
"Yes","1988","Other degree","middle vocational","20","","",""
"Yes","1988","Other degree","vocational + Abi","4","","",""
"Yes","1988","Other degree","higher vocational","3","","",""
"Yes","1988","Other degree","higher education","10","","",""
"Yes","1988","no degree/no degree yet","in school","","","",""
"Yes","1988","no degree/no degree yet","inadequately","34","0.0800306429542867","0.051017599650891","0.109043686257682"
"Yes","1988","no degree/no degree yet","general elemantary","","","",""
"Yes","1988","no degree/no degree yet","middle vocational","4","","",""
"Yes","1988","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1988","no degree/no degree yet","higher vocational","1","","",""
"Yes","1988","no degree/no degree yet","higher education","","","",""
"No","1988","lower secondary degree","in school","","","",""
"No","1988","lower secondary degree","inadequately","","","",""
"No","1988","lower secondary degree","general elemantary","623","0.832537959652708","0.805377320105167","0.85969859920025"
"No","1988","lower secondary degree","middle vocational","1398","0.79384845432972","0.774741405349242","0.812955503310199"
"No","1988","lower secondary degree","vocational + Abi","5","","",""
"No","1988","lower secondary degree","higher vocational","118","0.723281973944014","0.655020027904126","0.791543919983903"
"No","1988","lower secondary degree","higher education","2","","",""
"No","1988","secondary school degree","in school","","","",""
"No","1988","secondary school degree","inadequately","","","",""
"No","1988","secondary school degree","general elemantary","174","0.708846721156638","0.651009032635991","0.766684409677286"
"No","1988","secondary school degree","middle vocational","507","0.704991640092522","0.671841144095105","0.738142136089938"
"No","1988","secondary school degree","vocational + Abi","","","",""
"No","1988","secondary school degree","higher vocational","73","0.629534926794423","0.539287402239581","0.719782451349266"
"No","1988","secondary school degree","higher education","31","0.768981436283141","0.641512367406744","0.896450505159538"
"No","1988","college entrance qualification","in school","","","",""
"No","1988","college entrance qualification","inadequately","","","",""
"No","1988","college entrance qualification","general elemantary","","","",""
"No","1988","college entrance qualification","middle vocational","66","0.660395795565962","0.566152404853152","0.754639186278772"
"No","1988","college entrance qualification","vocational + Abi","87","0.766594932277223","0.687547118885548","0.845642745668899"
"No","1988","college entrance qualification","higher vocational","38","0.501756998432359","0.39079657314576","0.612717423718959"
"No","1988","college entrance qualification","higher education","241","0.515325418538691","0.469605267909038","0.561045569168345"
"No","1988","Other degree","in school","","","",""
"No","1988","Other degree","inadequately","9","","",""
"No","1988","Other degree","general elemantary","331","0.913175687039761","0.884328372093551","0.942023001985971"
"No","1988","Other degree","middle vocational","263","0.912952195018488","0.880108061876428","0.945796328160547"
"No","1988","Other degree","vocational + Abi","47","0.948969977927287","0.88857482050492","1.00936513534965"
"No","1988","Other degree","higher vocational","3","","",""
"No","1988","Other degree","higher education","16","","",""
"No","1988","no degree/no degree yet","in school","6","","",""
"No","1988","no degree/no degree yet","inadequately","302","0.919969357045713","0.890956313742318","0.948982400349109"
"No","1988","no degree/no degree yet","general elemantary","","","",""
"No","1988","no degree/no degree yet","middle vocational","46","0.961786136490328","0.908647204777684","1.01492506820297"
"No","1988","no degree/no degree yet","vocational + Abi","","","",""
"No","1988","no degree/no degree yet","higher vocational","1","","",""
"No","1988","no degree/no degree yet","higher education","","","",""
"Yes","1989","lower secondary degree","in school","","","",""
"Yes","1989","lower secondary degree","inadequately","","","",""
"Yes","1989","lower secondary degree","general elemantary","111","0.180102119877676","0.152452737636583","0.207751502118768"
"Yes","1989","lower secondary degree","middle vocational","320","0.20006236224759","0.181184000528337","0.218940723966843"
"Yes","1989","lower secondary degree","vocational + Abi","1","","",""
"Yes","1989","lower secondary degree","higher vocational","45","0.260451163009973","0.191800482822599","0.329101843197347"
"Yes","1989","lower secondary degree","higher education","2","","",""
"Yes","1989","secondary school degree","in school","","","",""
"Yes","1989","secondary school degree","inadequately","","","",""
"Yes","1989","secondary school degree","general elemantary","60","0.274466677876013","0.217773199044508","0.331160156707517"
"Yes","1989","secondary school degree","middle vocational","229","0.302011379593913","0.269174343735293","0.334848415452533"
"Yes","1989","secondary school degree","vocational + Abi","","","",""
"Yes","1989","secondary school degree","higher vocational","36","0.328378116549923","0.242546222974763","0.414210010125083"
"Yes","1989","secondary school degree","higher education","9","","",""
"Yes","1989","college entrance qualification","in school","","","",""
"Yes","1989","college entrance qualification","inadequately","","","",""
"Yes","1989","college entrance qualification","general elemantary","","","",""
"Yes","1989","college entrance qualification","middle vocational","41","0.334849220318498","0.250760042899126","0.418938397737871"
"Yes","1989","college entrance qualification","vocational + Abi","16","","",""
"Yes","1989","college entrance qualification","higher vocational","38","0.47678248619741","0.364492099284329","0.58907287311049"
"Yes","1989","college entrance qualification","higher education","217","0.469022167488725","0.424001495659566","0.514042839317884"
"Yes","1989","Other degree","in school","","","",""
"Yes","1989","Other degree","inadequately","1","","",""
"Yes","1989","Other degree","general elemantary","31","0.0674478376544718","0.0417540500038724","0.0931416253050712"
"Yes","1989","Other degree","middle vocational","20","","",""
"Yes","1989","Other degree","vocational + Abi","3","","",""
"Yes","1989","Other degree","higher vocational","2","","",""
"Yes","1989","Other degree","higher education","12","","",""
"Yes","1989","no degree/no degree yet","in school","2","","",""
"Yes","1989","no degree/no degree yet","inadequately","36","0.108449783326216","0.0745392922457143","0.142360274406717"
"Yes","1989","no degree/no degree yet","general elemantary","","","",""
"Yes","1989","no degree/no degree yet","middle vocational","6","","",""
"Yes","1989","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1989","no degree/no degree yet","higher vocational","1","","",""
"Yes","1989","no degree/no degree yet","higher education","","","",""
"No","1989","lower secondary degree","in school","","","",""
"No","1989","lower secondary degree","inadequately","","","",""
"No","1989","lower secondary degree","general elemantary","631","0.819897880122324","0.792248497881231","0.847547262363417"
"No","1989","lower secondary degree","middle vocational","1405","0.79993763775241","0.781059276033158","0.818815999471663"
"No","1989","lower secondary degree","vocational + Abi","4","","",""
"No","1989","lower secondary degree","higher vocational","112","0.739548836990027","0.670898156802653","0.808199517177401"
"No","1989","lower secondary degree","higher education","3","","",""
"No","1989","secondary school degree","in school","","","",""
"No","1989","secondary school degree","inadequately","","","",""
"No","1989","secondary school degree","general elemantary","178","0.725533322123987","0.668839843292483","0.782226800955492"
"No","1989","secondary school degree","middle vocational","522","0.697988620406087","0.665151584547467","0.730825656264707"
"No","1989","secondary school degree","vocational + Abi","","","",""
"No","1989","secondary school degree","higher vocational","79","0.671621883450077","0.585789989874917","0.757453777025237"
"No","1989","secondary school degree","higher education","31","0.777135051563942","0.648165488409057","0.906104614718827"
"No","1989","college entrance qualification","in school","","","",""
"No","1989","college entrance qualification","inadequately","","","",""
"No","1989","college entrance qualification","general elemantary","","","",""
"No","1989","college entrance qualification","middle vocational","80","0.665150779681502","0.581061602262129","0.749239957100874"
"No","1989","college entrance qualification","vocational + Abi","117","0.841583414871479","0.77952921526996","0.903637614472998"
"No","1989","college entrance qualification","higher vocational","38","0.52321751380259","0.41092712688951","0.635507900715671"
"No","1989","college entrance qualification","higher education","255","0.530977832511275","0.485957160682116","0.575998504340434"
"No","1989","Other degree","in school","","","",""
"No","1989","Other degree","inadequately","12","","",""
"No","1989","Other degree","general elemantary","335","0.932552162345528","0.906858374694929","0.958245949996128"
"No","1989","Other degree","middle vocational","263","0.900913611282753","0.866103657416335","0.935723565149171"
"No","1989","Other degree","vocational + Abi","46","0.970797884476128","0.923654406515523","1.01794136243673"
"No","1989","Other degree","higher vocational","3","","",""
"No","1989","Other degree","higher education","19","","",""
