"pgoeffd","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1986","Not Working","in school","2","","",""
"No","1986","Not Working","inadequately","3","","",""
"No","1986","Not Working","general elemantary","16","","",""
"No","1986","Not Working","middle vocational","21","","",""
"No","1986","Not Working","vocational + Abi","1","","",""
"No","1986","Not Working","higher vocational","2","","",""
"No","1986","Not Working","higher education","4","","",""
"Yes","1987","Full Time","in school","","","",""
"Yes","1987","Full Time","inadequately","28","","",""
"Yes","1987","Full Time","general elemantary","129","0.182499627661208","0.157389950998074","0.207609304324342"
"Yes","1987","Full Time","middle vocational","506","0.236797671364171","0.219828601299131","0.253766741429212"
"Yes","1987","Full Time","vocational + Abi","22","","",""
"Yes","1987","Full Time","higher vocational","103","0.357272318127576","0.301540641635378","0.413003994619774"
"Yes","1987","Full Time","higher education","194","0.459091001590851","0.411990519033935","0.506191484147766"
"Yes","1987","Part Time","in school","","","",""
"Yes","1987","Part Time","inadequately","9","","",""
"Yes","1987","Part Time","general elemantary","75","0.227797323736164","0.185628037253507","0.269966610218822"
"Yes","1987","Part Time","middle vocational","113","0.212254100876755","0.178080726320299","0.246427475433212"
"Yes","1987","Part Time","vocational + Abi","9","","",""
"Yes","1987","Part Time","higher vocational","31","0.404128931619194","0.292322097009582","0.515935766228806"
"Yes","1987","Part Time","higher education","69","0.585184820489068","0.495137039099096","0.67523260187904"
"Yes","1987","Not Working","in school","","","",""
"Yes","1987","Not Working","inadequately","","","",""
"Yes","1987","Not Working","general elemantary","3","","",""
"Yes","1987","Not Working","middle vocational","13","","",""
"Yes","1987","Not Working","vocational + Abi","1","","",""
"Yes","1987","Not Working","higher vocational","1","","",""
"Yes","1987","Not Working","higher education","4","","",""
"No","1987","Full Time","in school","","","",""
"No","1987","Full Time","inadequately","289","0.905849098685724","0.873700753032442","0.937997444339005"
"No","1987","Full Time","general elemantary","780","0.817500372338792","0.792390695675658","0.842610049001926"
"No","1987","Full Time","middle vocational","1905","0.763202328635829","0.746233258570788","0.780171398700869"
"No","1987","Full Time","vocational + Abi","118","0.795860725223945","0.729093105533993","0.862628344913897"
"No","1987","Full Time","higher vocational","181","0.642727681872424","0.586996005380226","0.698459358364622"
"No","1987","Full Time","higher education","236","0.540908998409149","0.493808515852234","0.588009480966065"
"No","1987","Part Time","in school","1","","",""
"No","1987","Part Time","inadequately","55","0.832372018414087","0.740857479060141","0.923886557768033"
"No","1987","Part Time","general elemantary","305","0.772202676263836","0.730033389781178","0.814371962746493"
"No","1987","Part Time","middle vocational","437","0.787745899123245","0.753572524566788","0.821919273679701"
"No","1987","Part Time","vocational + Abi","25","","",""
"No","1987","Part Time","higher vocational","43","0.595871068380806","0.484064233771194","0.707677902990419"
"No","1987","Part Time","higher education","46","0.414815179510932","0.32476739812096","0.504862960900904"
"No","1987","Not Working","in school","4","","",""
"No","1987","Not Working","inadequately","","","",""
"No","1987","Not Working","general elemantary","21","","",""
"No","1987","Not Working","middle vocational","26","","",""
"No","1987","Not Working","vocational + Abi","4","","",""
"No","1987","Not Working","higher vocational","2","","",""
"No","1987","Not Working","higher education","5","","",""
"Yes","1988","Full Time","in school","","","",""
"Yes","1988","Full Time","inadequately","27","","",""
"Yes","1988","Full Time","general elemantary","118","0.175076730270472","0.150234577055721","0.199918883485222"
"Yes","1988","Full Time","middle vocational","482","0.240907197674979","0.223365668104262","0.258448727245697"
"Yes","1988","Full Time","vocational + Abi","20","","",""
"Yes","1988","Full Time","higher vocational","97","0.348727175429098","0.293398530290283","0.404055820567913"
"Yes","1988","Full Time","higher education","176","0.431085464313237","0.38332392999841","0.478846998628064"
"Yes","1988","Part Time","in school","","","",""
"Yes","1988","Part Time","inadequately","6","","",""
"Yes","1988","Part Time","general elemantary","74","0.19550517567616","0.156688649929786","0.234321701422534"
"Yes","1988","Part Time","middle vocational","112","0.202893694209176","0.17008019228364","0.235707196134712"
"Yes","1988","Part Time","vocational + Abi","7","","",""
"Yes","1988","Part Time","higher vocational","30","0.396260424575598","0.283281609490623","0.509239239660573"
"Yes","1988","Part Time","higher education","70","0.614309453491475","0.525345870183348","0.703273036799603"
"Yes","1988","Not Working","in school","","","",""
"Yes","1988","Not Working","inadequately","2","","",""
"Yes","1988","Not Working","general elemantary","9","","",""
"Yes","1988","Not Working","middle vocational","9","","",""
"Yes","1988","Not Working","vocational + Abi","","","",""
"Yes","1988","Not Working","higher vocational","2","","",""
"Yes","1988","Not Working","higher education","1","","",""
"No","1988","Full Time","in school","","","",""
"No","1988","Full Time","inadequately","254","0.921945093495657","0.890579929423389","0.953310257567925"
"No","1988","Full Time","general elemantary","781","0.824923269729529","0.800081116514778","0.849765422944279"
"No","1988","Full Time","middle vocational","1801","0.759092802325021","0.741551272754303","0.776634331895738"
"No","1988","Full Time","vocational + Abi","110","0.78794632293892","0.717679934001679","0.85821271187616"
"No","1988","Full Time","higher vocational","188","0.651272824570902","0.595944179432087","0.706601469709716"
"No","1988","Full Time","higher education","237","0.568914535686763","0.521153001371936","0.61667607000159"
"No","1988","Part Time","in school","4","","",""
"No","1988","Part Time","inadequately","56","0.890569613341299","0.812863506748001","0.968275719934597"
"No","1988","Part Time","general elemantary","327","0.80449482432384","0.765678298577466","0.843311350070214"
"No","1988","Part Time","middle vocational","465","0.797106305790824","0.764292803865288","0.82991980771636"
"No","1988","Part Time","vocational + Abi","25","","",""
"No","1988","Part Time","higher vocational","42","0.603739575424402","0.490760760339427","0.716718390509377"
"No","1988","Part Time","higher education","45","0.385690546508525","0.296726963200397","0.474654129816652"
"No","1988","Not Working","in school","2","","",""
"No","1988","Not Working","inadequately","7","","",""
"No","1988","Not Working","general elemantary","20","","",""
"No","1988","Not Working","middle vocational","30","0.835177406756037","0.718734368781455","0.951620444730619"
"No","1988","Not Working","vocational + Abi","4","","",""
"No","1988","Not Working","higher vocational","3","","",""
"No","1988","Not Working","higher education","8","","",""
"Yes","1989","Full Time","in school","","","",""
"Yes","1989","Full Time","inadequately","22","","",""
"Yes","1989","Full Time","general elemantary","119","0.171047642995794","0.146768383446764","0.195326902544825"
"Yes","1989","Full Time","middle vocational","487","0.238082760607706","0.220755560312624","0.255409960902787"
"Yes","1989","Full Time","vocational + Abi","15","","",""
"Yes","1989","Full Time","higher vocational","88","0.303895345939749","0.250214069982338","0.35757662189716"
"Yes","1989","Full Time","higher education","177","0.429041145000534","0.381986174672971","0.476096115328098"
"Yes","1989","Part Time","in school","1","","",""
"Yes","1989","Part Time","inadequately","12","","",""
"Yes","1989","Part Time","general elemantary","78","0.234891151864941","0.192490022933986","0.277292280795897"
"Yes","1989","Part Time","middle vocational","122","0.202999577819356","0.170515743503246","0.235483412135465"
"Yes","1989","Part Time","vocational + Abi","5","","",""
"Yes","1989","Part Time","higher vocational","33","0.458140020996204","0.342245856137473","0.574034185854935"
"Yes","1989","Part Time","higher education","64","0.552530556437284","0.462815170511389","0.642245942363179"
"Yes","1989","Not Working","in school","1","","",""
"Yes","1989","Not Working","inadequately","3","","",""
"Yes","1989","Not Working","general elemantary","5","","",""
"Yes","1989","Not Working","middle vocational","12","","",""
"Yes","1989","Not Working","vocational + Abi","","","",""
"Yes","1989","Not Working","higher vocational","1","","",""
"Yes","1989","Not Working","higher education","2","","",""
"No","1989","Full Time","in school","","","",""
"No","1989","Full Time","inadequately","235","0.911240237773351","0.876470129843123","0.946010345703579"
"No","1989","Full Time","general elemantary","805","0.828952357004206","0.804673097455175","0.853231616553236"
"No","1989","Full Time","middle vocational","1834","0.761917239392294","0.744590039097213","0.779244439687376"
"No","1989","Full Time","vocational + Abi","133","0.855539882059455","0.798901433893322","0.912178330225587"
"No","1989","Full Time","higher vocational","194","0.696104654060251","0.64242337810284","0.749785930017662"
"No","1989","Full Time","higher education","248","0.570958854999466","0.523903884671902","0.618013825327029"
"No","1989","Part Time","in school","8","","",""
"No","1989","Part Time","inadequately","63","0.92125256665265","0.860295365454057","0.982209767851243"
"No","1989","Part Time","general elemantary","306","0.765108848135059","0.722707719204103","0.807509977066014"
"No","1989","Part Time","middle vocational","467","0.797000422180644","0.764516587864535","0.829484256496754"
"No","1989","Part Time","vocational + Abi","30","0.833253312068601","0.70976347963782","0.956743144499382"
"No","1989","Part Time","higher vocational","38","0.541859979003796","0.425965814145065","0.657754143862527"
"No","1989","Part Time","higher education","54","0.447469443562716","0.357754057636821","0.537184829488611"
"No","1989","Not Working","in school","2","","",""
"No","1989","Not Working","inadequately","6","","",""
"No","1989","Not Working","general elemantary","33","0.871470628142043","0.765060280405608","0.977880975878478"
"No","1989","Not Working","middle vocational","40","0.713235841194291","0.590315025434492","0.836156656954091"
"No","1989","Not Working","vocational + Abi","4","","",""
"No","1989","Not Working","higher vocational","1","","",""
"No","1989","Not Working","higher education","7","","",""
"Yes","1990","Full Time","in school","","","",""
"Yes","1990","Full Time","inadequately","19","","",""
"Yes","1990","Full Time","general elemantary","104","0.158259544143645","0.134020635092458","0.182498453194832"
"Yes","1990","Full Time","middle vocational","476","0.24262137026307","0.224908951108726","0.260333789417415"
"Yes","1990","Full Time","vocational + Abi","18","","",""
"Yes","1990","Full Time","higher vocational","94","0.336244237785591","0.280810065554212","0.391678410016969"
"Yes","1990","Full Time","higher education","168","0.414027284491908","0.367199155675659","0.460855413308158"
"Yes","1990","Part Time","in school","1","","",""
"Yes","1990","Part Time","inadequately","12","","",""
"Yes","1990","Part Time","general elemantary","88","0.267891718254961","0.222644541571767","0.313138894938155"
"Yes","1990","Part Time","middle vocational","117","0.199789623919628","0.167277257659425","0.232301990179831"
"Yes","1990","Part Time","vocational + Abi","6","","",""
"Yes","1990","Part Time","higher vocational","31","0.429393647258092","0.309974976726896","0.548812317789288"
"Yes","1990","Part Time","higher education","60","0.525026162459848","0.431278562334939","0.618773762584757"
"Yes","1990","Not Working","in school","","","",""
"Yes","1990","Not Working","inadequately","2","","",""
"Yes","1990","Not Working","general elemantary","6","","",""
"Yes","1990","Not Working","middle vocational","6","","",""
"Yes","1990","Not Working","vocational + Abi","","","",""
"Yes","1990","Not Working","higher vocational","","","",""
"Yes","1990","Not Working","higher education","3","","",""
"No","1990","Full Time","in school","","","",""
"No","1990","Full Time","inadequately","233","0.911939001136866","0.876950727119973","0.946927275153759"
"No","1990","Full Time","general elemantary","767","0.841740455856355","0.817501546805168","0.865979364907542"
"No","1990","Full Time","middle vocational","1774","0.75737862973693","0.739666210582585","0.775091048891274"
"No","1990","Full Time","vocational + Abi","127","0.866594458039306","0.811251931840284","0.921936984238328"
"No","1990","Full Time","higher vocational","185","0.663755762214409","0.608321589983031","0.719189934445788"
"No","1990","Full Time","higher education","257","0.585972715508091","0.539144586691842","0.632800844324341"
"No","1990","Part Time","in school","2","","",""
"No","1990","Part Time","inadequately","65","0.896724840593794","0.828752806638948","0.96469687454864"
"No","1990","Part Time","general elemantary","280","0.732108281745039","0.686861105061845","0.777355458428233"
"No","1990","Part Time","middle vocational","464","0.800210376080372","0.767698009820169","0.832722742340575"
"No","1990","Part Time","vocational + Abi","31","0.80592469113599","0.678492367354261","0.933357014917719"
"No","1990","Part Time","higher vocational","35","0.570606352741908","0.451187682210712","0.690025023273104"
"No","1990","Part Time","higher education","49","0.474973837540152","0.381226237415243","0.568721437665061"
"No","1990","Not Working","in school","2","","",""
"No","1990","Not Working","inadequately","4","","",""
"No","1990","Not Working","general elemantary","21","","",""
"No","1990","Not Working","middle vocational","27","","",""
"No","1990","Not Working","vocational + Abi","","","",""
"No","1990","Not Working","higher vocational","2","","",""
"No","1990","Not Working","higher education","5","","",""
"Yes","1991","Full Time","in school","","","",""
"Yes","1991","Full Time","inadequately","27","","",""
"Yes","1991","Full Time","general elemantary","129","0.176424682149628","0.151479699706506","0.201369664592749"
"Yes","1991","Full Time","middle vocational","479","0.236521234368279","0.21896261429937","0.254079854437188"
"Yes","1991","Full Time","vocational + Abi","25","","",""
"Yes","1991","Full Time","higher vocational","101","0.342803159977995","0.287793974290203","0.397812345665787"
"Yes","1991","Full Time","higher education","168","0.410752352784939","0.364198202593244","0.457306502976634"
"Yes","1991","Part Time","in school","1","","",""
"Yes","1991","Part Time","inadequately","14","","",""
"Yes","1991","Part Time","general elemantary","78","0.274028513510887","0.227434038965987","0.320622988055786"
"Yes","1991","Part Time","middle vocational","124","0.197253960850952","0.16620583691109","0.228302084790814"
"Yes","1991","Part Time","vocational + Abi","8","","",""
"Yes","1991","Part Time","higher vocational","31","0.408118595098201","0.29762125230614","0.518615937890262"
"Yes","1991","Part Time","higher education","69","0.523593773719702","0.435686826259966","0.611500721179438"
"Yes","1991","Not Working","in school","","","",""
"Yes","1991","Not Working","inadequately","2","","",""
"Yes","1991","Not Working","general elemantary","6","","",""
"Yes","1991","Not Working","middle vocational","10","","",""
"Yes","1991","Not Working","vocational + Abi","1","","",""
"Yes","1991","Not Working","higher vocational","","","",""
"Yes","1991","Not Working","higher education","3","","",""
"No","1991","Full Time","in school","","","",""
"No","1991","Full Time","inadequately","223","0.888060710898745","0.84897745940555","0.92714396239194"
"No","1991","Full Time","general elemantary","768","0.823575317850372","0.79863033540725","0.848520300293494"
"No","1991","Full Time","middle vocational","1771","0.763478765631721","0.745920145562812","0.78103738570063"
"No","1991","Full Time","vocational + Abi","125","0.811306323757212","0.748692018682672","0.873920628831752"
"No","1991","Full Time","higher vocational","185","0.657196840022005","0.602187654334213","0.712206025709797"
"No","1991","Full Time","higher education","261","0.589247647215061","0.542693497023366","0.635801797406756"
"No","1991","Part Time","in school","6","","",""
"No","1991","Part Time","inadequately","72","0.795648031313892","0.710426609684174","0.880869452943611"
"No","1991","Part Time","general elemantary","274","0.725971486489113","0.679377011944214","0.772565961034013"
"No","1991","Part Time","middle vocational","507","0.802746039149048","0.771697915209186","0.83379416308891"
"No","1991","Part Time","vocational + Abi","49","0.829225272054498","0.731533333191411","0.926917210917585"
"No","1991","Part Time","higher vocational","45","0.591881404901799","0.481384062109738","0.70237874769386"
"No","1991","Part Time","higher education","55","0.476406226280298","0.388499278820562","0.564313173740034"
"No","1991","Not Working","in school","2","","",""
"No","1991","Not Working","inadequately","11","","",""
"No","1991","Not Working","general elemantary","35","0.799781375538214","0.677293234766072","0.922269516310357"
"No","1991","Not Working","middle vocational","44","0.851636127155494","0.756828706772193","0.946443547538796"
"No","1991","Not Working","vocational + Abi","6","","",""
"No","1991","Not Working","higher vocational","","","",""
"No","1991","Not Working","higher education","9","","",""
"Yes","1992","Full Time","in school","2","","",""
"Yes","1992","Full Time","inadequately","27","","",""
"Yes","1992","Full Time","general elemantary","145","0.171681293971634","0.14754853944305","0.195814048500218"
"Yes","1992","Full Time","middle vocational","803","0.252633367931911","0.237765209381265","0.267501526482556"
"Yes","1992","Full Time","vocational + Abi","37","0.237708167884007","0.178114139851009","0.297302195917005"
"Yes","1992","Full Time","higher vocational","140","0.342086825208587","0.29863902247871","0.385534627938464"
"Yes","1992","Full Time","higher education","423","0.419589237941038","0.388739517657206","0.450438958224869"
"Yes","1992","Part Time","in school","1","","",""
"Yes","1992","Part Time","inadequately","14","","",""
"Yes","1992","Part Time","general elemantary","94","0.244671929942113","0.202061138727677","0.287282721156549"
"Yes","1992","Part Time","middle vocational","215","0.233727355753113","0.205226833414317","0.262227878091909"
"Yes","1992","Part Time","vocational + Abi","11","","",""
"Yes","1992","Part Time","higher vocational","40","0.446289845849763","0.341832686448493","0.550747005251032"
"Yes","1992","Part Time","higher education","152","0.610931955198263","0.54988356013915","0.671980350257375"
"Yes","1992","Not Working","in school","","","",""
"Yes","1992","Not Working","inadequately","1","","",""
"Yes","1992","Not Working","general elemantary","8","","",""
"Yes","1992","Not Working","middle vocational","15","","",""
"Yes","1992","Not Working","vocational + Abi","","","",""
"Yes","1992","Not Working","higher vocational","1","","",""
"Yes","1992","Not Working","higher education","8","","",""
"No","1992","Full Time","in school","6","","",""
"No","1992","Full Time","inadequately","214","0.860174258388623","0.816389157342768","0.903959359434478"
"No","1992","Full Time","general elemantary","793","0.828318706028366","0.804185951499782","0.85245146055695"
"No","1992","Full Time","middle vocational","2478","0.747366632068089","0.732498473517444","0.762234790618735"
"No","1992","Full Time","vocational + Abi","159","0.762291832115993","0.702697804082995","0.821885860148991"
"No","1992","Full Time","higher vocational","318","0.657913174791413","0.614465372061536","0.70136097752129"
"No","1992","Full Time","higher education","560","0.580410762058962","0.549561041775131","0.611260482342794"
"No","1992","Part Time","in school","6","","",""
"No","1992","Part Time","inadequately","47","0.744396800813382","0.634933493650355","0.853860107976409"
"No","1992","Part Time","general elemantary","297","0.755328070057887","0.712717278843452","0.797938861272323"
"No","1992","Part Time","middle vocational","632","0.766272644246887","0.737772121908091","0.794773166585683"
"No","1992","Part Time","vocational + Abi","35","0.751182117875594","0.626247558288413","0.876116677462776"
"No","1992","Part Time","higher vocational","47","0.553710154150237","0.449252994748968","0.658167313551507"
"No","1992","Part Time","higher education","93","0.389068044801737","0.328019649742625","0.45011643986085"
"No","1992","Not Working","in school","","","",""
"No","1992","Not Working","inadequately","2","","",""
"No","1992","Not Working","general elemantary","25","","",""
"No","1992","Not Working","middle vocational","45","0.693780400016368","0.577153167172225","0.810407632860511"
"No","1992","Not Working","vocational + Abi","3","","",""
"No","1992","Not Working","higher vocational","1","","",""
"No","1992","Not Working","higher education","9","","",""
"Yes","1993","Full Time","in school","2","","",""
"Yes","1993","Full Time","inadequately","24","","",""
"Yes","1993","Full Time","general elemantary","132","0.166325627963926","0.141652632667777","0.190998623260075"
"Yes","1993","Full Time","middle vocational","764","0.240126843802734","0.22533138848257","0.254922299122898"
"Yes","1993","Full Time","vocational + Abi","36","0.226728106933849","0.167033378306332","0.286422835561365"
"Yes","1993","Full Time","higher vocational","127","0.336908393553953","0.292286074547854","0.381530712560052"
"Yes","1993","Full Time","higher education","423","0.416780964055433","0.385944673447215","0.44761725466365"
"Yes","1993","Part Time","in school","1","","",""
"Yes","1993","Part Time","inadequately","15","","",""
"Yes","1993","Part Time","general elemantary","90","0.245628358372692","0.203601444711989","0.287655272033395"
"Yes","1993","Part Time","middle vocational","189","0.220771534569998","0.192486155061819","0.249056914078176"
"Yes","1993","Part Time","vocational + Abi","13","","",""
"Yes","1993","Part Time","higher vocational","32","0.347718666060841","0.241344980601611","0.454092351520072"
"Yes","1993","Part Time","higher education","144","0.604564145466709","0.541374868083206","0.667753422850211"
"Yes","1993","Not Working","in school","1","","",""
"Yes","1993","Not Working","inadequately","2","","",""
"Yes","1993","Not Working","general elemantary","16","","",""
"Yes","1993","Not Working","middle vocational","16","","",""
"Yes","1993","Not Working","vocational + Abi","4","","",""
"Yes","1993","Not Working","higher vocational","2","","",""
"Yes","1993","Not Working","higher education","5","","",""
"No","1993","Full Time","in school","4","","",""
"No","1993","Full Time","inadequately","204","0.839037220031658","0.791335502878759","0.886738937184557"
"No","1993","Full Time","general elemantary","743","0.833674372036074","0.809001376739925","0.858347367332223"
"No","1993","Full Time","middle vocational","2438","0.759873156197266","0.745077700877102","0.77466861151743"
"No","1993","Full Time","vocational + Abi","153","0.773271893066151","0.713577164438635","0.832966621693668"
"No","1993","Full Time","higher vocational","304","0.663091606446047","0.618469287439948","0.707713925452146"
"No","1993","Full Time","higher education","559","0.583219035944567","0.55238274533635","0.614055326552785"
"No","1993","Part Time","in school","3","","",""
"No","1993","Part Time","inadequately","51","0.801494275367653","0.705263750734238","0.897724800001068"
"No","1993","Part Time","general elemantary","313","0.754371641627308","0.712344727966605","0.796398555288011"
"No","1993","Part Time","middle vocational","637","0.779228465430002","0.750943085921824","0.807513844938181"
