"pgoeffd","year","migback","n","percent","lower_confidence","upper_confidence"
"No","1999","direct migration background","937","0.808210704040658","0.785007657615108","0.831413750466208"
"No","1999","indirect migration background","291","0.811534626807283","0.769842019724932","0.853227233889633"
"No","1999","no migration background","4379","0.724918053287239","0.713656322947391","0.736179783627087"
"Yes","1999","direct migration background","169","0.191789295959342","0.168586249533792","0.214992342384892"
"Yes","1999","indirect migration background","47","0.188465373192717","0.146772766110367","0.230157980275068"
"Yes","1999","no migration background","1661","0.275081946712761","0.263820216372913","0.286343677052609"
"No","2000","direct migration background","1516","0.827156839325469","0.809708670424324","0.844605008226614"
"No","2000","indirect migration background","428","0.86403267589698","0.833929260023237","0.894136091770724"
"No","2000","no migration background","8537","0.750659319601981","0.742754969372006","0.758563669831956"
"Yes","2000","direct migration background","288","0.172843160674531","0.155394991773386","0.190291329575676"
"Yes","2000","indirect migration background","70","0.13596732410302","0.105863908229276","0.166070739976763"
"Yes","2000","no migration background","2971","0.249340680398019","0.241436330168044","0.257245030627994"
"No","2001","direct migration background","1284","0.835156100273884","0.816509324310795","0.853802876236972"
"No","2001","indirect migration background","368","0.827682179263052","0.792028335668482","0.863336022857621"
"No","2001","no migration background","7321","0.749007551568983","0.740470525599485","0.757544577538481"
"Yes","2001","direct migration background","237","0.164843899726116","0.146197123763028","0.183490675689205"
"Yes","2001","indirect migration background","63","0.172317820736948","0.136663977142379","0.207971664331518"
"Yes","2001","no migration background","2588","0.250992448431017","0.242455422461519","0.259529474400515"
"No","2002","direct migration background","1285","0.851453525342863","0.833615769251146","0.86929128143458"
"No","2002","indirect migration background","400","0.81275636698044","0.777674313531568","0.847838420429312"
"No","2002","no migration background","8261","0.749892201475867","0.741928371844494","0.757856031107241"
"Yes","2002","direct migration background","242","0.148546474657137","0.13070871856542","0.166384230748854"
"Yes","2002","indirect migration background","75","0.18724363301956","0.152161579570688","0.222325686468432"
"Yes","2002","no migration background","3099","0.250107798524133","0.242143968892759","0.258071628155506"
"No","2003","direct migration background","1093","0.840046050189726","0.820135116300543","0.859956984078908"
"No","2003","indirect migration background","358","0.771336710945672","0.731687944527898","0.810985477363447"
"No","2003","no migration background","7266","0.737634604607123","0.729052568077846","0.746216641136399"
"Yes","2003","direct migration background","209","0.159953949810274","0.140043015921092","0.179864883699457"
"Yes","2003","indirect migration background","73","0.228663289054328","0.189014522636553","0.268312055472102"
"Yes","2003","no migration background","2828","0.262365395392877","0.253783358863601","0.270947431922154"
"No","2004","direct migration background","1084","0.827490030008044","0.806904149971433","0.848075910044655"
"No","2004","indirect migration background","392","0.792562205031528","0.755787408924421","0.829337001138635"
"No","2004","no migration background","7579","0.747934945746657","0.739593682655258","0.756276208838056"
"Yes","2004","direct migration background","210","0.172509969991956","0.151924089955345","0.193095850028567"
"Yes","2004","indirect migration background","75","0.207437794968472","0.170662998861365","0.244212591075579"
"Yes","2004","no migration background","2830","0.252065054253343","0.243723791161944","0.260406317344742"
"No","2005","direct migration background","940","0.826907479898914","0.804848954334128","0.848966005463701"
"No","2005","indirect migration background","359","0.844402181143657","0.809941008491132","0.878863353796181"
"No","2005","no migration background","6745","0.742430345617608","0.733549959150378","0.751310732084838"
"Yes","2005","direct migration background","190","0.173092520101086","0.151033994536299","0.195151045665872"
"Yes","2005","indirect migration background","66","0.155597818856343","0.121136646203819","0.190058991508868"
"Yes","2005","no migration background","2570","0.257569654382392","0.248689267915162","0.266450040849622"
"No","2006","direct migration background","935","0.838142729413144","0.816581655815681","0.859703803010607"
"No","2006","indirect migration background","350","0.829430545346569","0.793415686040709","0.86544540465243"
"No","2006","no migration background","6939","0.74017953859345","0.731420373537284","0.748938703649616"
"Yes","2006","direct migration background","186","0.161857270586856","0.140296196989393","0.183418344184319"
"Yes","2006","indirect migration background","69","0.170569454653431","0.13455459534757","0.206584313959291"
"Yes","2006","no migration background","2690","0.25982046140655","0.251061296350384","0.268579626462716"
"No","2007","direct migration background","894","0.848920108166878","0.827541695619058","0.870298520714698"
"No","2007","indirect migration background","411","0.838155794728328","0.806001145523777","0.870310443932879"
"No","2007","no migration background","7315","0.751862831048885","0.743366052500304","0.760359609597467"
"Yes","2007","direct migration background","184","0.151079891833122","0.129701479285302","0.172458304380942"
"Yes","2007","indirect migration background","93","0.161844205271672","0.129689556067121","0.193998854476223"
"Yes","2007","no migration background","2612","0.248137168951115","0.239640390402533","0.256633947499696"
"No","2008","direct migration background","803","0.852382245381947","0.830047927271548","0.874716563492346"
"No","2008","indirect migration background","384","0.864284861494998","0.833021172015787","0.89554855097421"
"No","2008","no migration background","6631","0.752330203603339","0.743421105362527","0.761239301844152"
"Yes","2008","direct migration background","166","0.147617754618053","0.125283436507655","0.169952072728452"
"Yes","2008","indirect migration background","77","0.135715138505002","0.10445144902579","0.166978827984213"
"Yes","2008","no migration background","2387","0.247669796396661","0.238760698155848","0.256578894637473"
"No","2009","direct migration background","709","0.827283376940074","0.802280208243768","0.852286545636381"
"No","2009","indirect migration background","377","0.855700129881845","0.823447922864887","0.887952336898802"
"No","2009","no migration background","6586","0.760095366060111","0.75121968424432","0.768971047875903"
"Yes","2009","direct migration background","169","0.172716623059926","0.14771345436362","0.197719791756232"
"Yes","2009","indirect migration background","79","0.144299870118156","0.112047663101198","0.176552077135113"
"Yes","2009","no migration background","2306","0.239904633939889","0.231028952124097","0.24878031575568"
"No","2010","direct migration background","1225","0.843668208265017","0.824930157112637","0.862406259417397"
"No","2010","indirect migration background","514","0.815409207919302","0.785041840577335","0.845776575261269"
"No","2010","no migration background","8556","0.751114905837209","0.743187435762523","0.759042375911896"
"Yes","2010","direct migration background","218","0.156331791734983","0.137593740582603","0.175069842887362"
"Yes","2010","indirect migration background","113","0.184590792080698","0.154223424738731","0.214958159422665"
"Yes","2010","no migration background","2871","0.24888509416279","0.240957624088104","0.256812564237477"
"No","2011","direct migration background","1422","0.839104969497331","0.821498203903314","0.856711735091348"
"No","2011","indirect migration background","638","0.803008816621062","0.77522164929819","0.830795983943934"
"No","2011","no migration background","10124","0.747350359263886","0.740066101591717","0.754634616936055"
"Yes","2011","direct migration background","251","0.160895030502669","0.143288264908652","0.178501796096686"
"Yes","2011","indirect migration background","149","0.196991183378938","0.169204016056066","0.22477835070181"
"Yes","2011","no migration background","3546","0.252649640736114","0.245365383063945","0.259933898408283"
"No","2012","direct migration background","1442","0.840592980752447","0.823212575605288","0.857973385899606"
"No","2012","indirect migration background","655","0.829424538408995","0.80339253308865","0.855456543729339"
"No","2012","no migration background","9812","0.74091205690157","0.733455572067855","0.748368541735285"
"Yes","2012","direct migration background","262","0.159407019247553","0.142026614100394","0.176787424394712"
"Yes","2012","indirect migration background","147","0.170575461591006","0.144543456270661","0.19660746691135"
"Yes","2012","no migration background","3451","0.25908794309843","0.251631458264715","0.266544427932145"
"No","2013","direct migration background","3207","0.845401863250498","0.833807777289941","0.856995949211055"
"No","2013","indirect migration background","1081","0.81750225963874","0.796505627401201","0.838498891876279"
"No","2013","no migration background","8976","0.729281311258049","0.721440699134912","0.737121923381187"
"Yes","2013","direct migration background","528","0.154598136749502","0.143004050788945","0.166192222710059"
"Yes","2013","indirect migration background","219","0.18249774036126","0.161501108123721","0.203494372598799"
"Yes","2013","no migration background","3361","0.270718688741951","0.262878076618813","0.278559300865088"
"No","2014","direct migration background","2579","0.82609107376948","0.812572853424862","0.839609294114098"
"No","2014","indirect migration background","922","0.777036796460003","0.752842931673992","0.801230661246014"
"No","2014","no migration background","8154","0.726579820997246","0.718344317100393","0.7348153248941"
"Yes","2014","direct migration background","441","0.17390892623052","0.160390705885902","0.187427146575138"
"Yes","2014","indirect migration background","215","0.222963203539997","0.198769338753986","0.247157068326008"
"Yes","2014","no migration background","3098","0.273420179002754","0.2651846751059","0.281655682899607"
"No","2015","direct migration background","3074","0.847236734093565","0.835373908969633","0.859099559217497"
"No","2015","indirect migration background","850","0.788279812832933","0.763534321166239","0.813025304499628"
"No","2015","no migration background","7715","0.728808950137208","0.720389618703015","0.737228281571401"
"Yes","2015","direct migration background","459","0.152763265906435","0.140900440782503","0.164626091030367"
"Yes","2015","indirect migration background","197","0.211720187167067","0.186974695500373","0.236465678833761"
"Yes","2015","no migration background","2996","0.271191049862792","0.262771718428599","0.279610381296985"
"No","2016","direct migration background","2911","0.851171586126193","0.839188634888742","0.863154537363644"
"No","2016","indirect migration background","802","0.756228670935327","0.72980172382805","0.782655618042604"
"No","2016","no migration background","7191","0.726825620382948","0.718092660322692","0.735558580443203"
"Yes","2016","direct migration background","478","0.148828413873807","0.136845462636356","0.160811365111258"
"Yes","2016","indirect migration background","212","0.243771329064673","0.217344381957396","0.27019827617195"
"Yes","2016","no migration background","2810","0.273174379617052","0.264441419556797","0.281907339677307"
"No","2017","direct migration background","3153","0.839134337751002","0.827172403289768","0.851096272212236"
"No","2017","indirect migration background","873","0.776723441632438","0.752191662191179","0.801255221073697"
"No","2017","no migration background","8470","0.729087705795923","0.721065469813967","0.737109941777878"
"Yes","2017","direct migration background","471","0.160865662248998","0.148903727787764","0.172827596710232"
"Yes","2017","indirect migration background","234","0.223276558367562","0.198744778926303","0.247808337808821"
"Yes","2017","no migration background","3320","0.270912294204077","0.262890058222122","0.278934530186033"
"No","2018","direct migration background","3193","0.819641443923439","0.807271066690413","0.832011821156464"
"No","2018","indirect migration background","876","0.788115798532556","0.764075995425384","0.812155601639728"
"No","2018","no migration background","7850","0.72055021121687","0.712153504171504","0.728946918262236"
"Yes","2018","direct migration background","518","0.180358556076561","0.167988178843536","0.192728933309587"
"Yes","2018","indirect migration background","234","0.211884201467444","0.187844398360272","0.235924004574616"
"Yes","2018","no migration background","3121","0.27944978878313","0.271053081737764","0.287846495828496"
"No","2019","direct migration background","2947","0.819441187220083","0.806545921325288","0.832336453114877"
"No","2019","indirect migration background","818","0.771618570961385","0.74639485856769","0.79684228335508"
"No","2019","no migration background","7777","0.720838786828181","0.712376976914176","0.729300596742186"
"Yes","2019","direct migration background","471","0.180558812779918","0.167663546885123","0.193454078674712"
"Yes","2019","indirect migration background","246","0.228381429038615","0.20315771664492","0.25360514143231"
"Yes","2019","no migration background","3019","0.279161213171819","0.270699403257814","0.287623023085824"
