"pgoeffd","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"No","1989","35-65 y.","Full Time","1951","0.725363450469972","0.7079578736941","0.742769027245845"
"No","1989","35-65 y.","Part Time","501","0.70723123307767","0.673352702798501","0.74110976335684"
"No","1989","35-65 y.","Not Working","25","","",""
"No","1989","66 and older","Full Time","15","","",""
"No","1989","66 and older","Part Time","13","","",""
"No","1989","66 and older","Not Working","","","",""
"Yes","1990","16-34 y.","Full Time","328","0.209889051171721","0.191133587812177","0.228644514531264"
"Yes","1990","16-34 y.","Part Time","130","0.23264244753383","0.197925996434448","0.267358898633211"
"Yes","1990","16-34 y.","Not Working","14","","",""
"Yes","1990","35-65 y.","Full Time","557","0.278894295164247","0.261169219093119","0.296619371235376"
"Yes","1990","35-65 y.","Part Time","188","0.280018150647842","0.246442565667087","0.313593735628597"
"Yes","1990","35-65 y.","Not Working","4","","",""
"Yes","1990","66 and older","Full Time","1","","",""
"Yes","1990","66 and older","Part Time","3","","",""
"Yes","1990","66 and older","Not Working","","","",""
"No","1990","16-34 y.","Full Time","1483","0.790110948828279","0.771355485468736","0.808866412187823"
"No","1990","16-34 y.","Part Time","439","0.76735755246617","0.732641101366789","0.802074003565552"
"No","1990","16-34 y.","Not Working","40","0.78249664208489","0.672463013368271","0.892530270801509"
"No","1990","35-65 y.","Full Time","1902","0.721105704835753","0.703380628764624","0.738830780906881"
"No","1990","35-65 y.","Part Time","499","0.719981849352158","0.686406264371403","0.753557434332913"
"No","1990","35-65 y.","Not Working","21","","",""
"No","1990","66 and older","Full Time","11","","",""
"No","1990","66 and older","Part Time","11","","",""
"No","1990","66 and older","Not Working","2","","",""
"Yes","1991","16-34 y.","Full Time","367","0.231132154390462","0.211770201849631","0.250494106931293"
"Yes","1991","16-34 y.","Part Time","138","0.239346834072629","0.205004648822883","0.273689019322375"
"Yes","1991","16-34 y.","Not Working","14","","",""
"Yes","1991","35-65 y.","Full Time","573","0.268611224520462","0.251222728337178","0.285999720703746"
"Yes","1991","35-65 y.","Part Time","192","0.291397056671002","0.259069620758348","0.323724492583655"
"Yes","1991","35-65 y.","Not Working","9","","",""
"Yes","1991","66 and older","Full Time","","","",""
"Yes","1991","66 and older","Part Time","1","","",""
"Yes","1991","66 and older","Not Working","","","",""
"No","1991","16-34 y.","Full Time","1454","0.768867845609538","0.749505893068707","0.788229798150369"
"No","1991","16-34 y.","Part Time","455","0.760653165927371","0.726310980677625","0.794995351177117"
"No","1991","16-34 y.","Not Working","76","0.811902460977727","0.731165885961707","0.892639035993746"
"No","1991","35-65 y.","Full Time","1923","0.731388775479538","0.714000279296254","0.748777271662822"
"No","1991","35-65 y.","Part Time","567","0.708602943328999","0.676275507416345","0.740930379241652"
"No","1991","35-65 y.","Not Working","30","0.845058878451684","0.731494371524438","0.95862338537893"
"No","1991","66 and older","Full Time","9","","",""
"No","1991","66 and older","Part Time","18","","",""
"No","1991","66 and older","Not Working","3","","",""
"Yes","1992","16-34 y.","Full Time","610","0.256095376653536","0.238982443223077","0.273208310083995"
"Yes","1992","16-34 y.","Part Time","222","0.286803622674119","0.254712663158066","0.318894582190171"
"Yes","1992","16-34 y.","Not Working","23","","",""
"Yes","1992","35-65 y.","Full Time","979","0.285313681699334","0.270741895300644","0.299885468098025"
"Yes","1992","35-65 y.","Part Time","309","0.327707319669006","0.29749177089397","0.357922868444041"
"Yes","1992","35-65 y.","Not Working","10","","",""
"Yes","1992","66 and older","Full Time","1","","",""
"Yes","1992","66 and older","Part Time","1","","",""
"Yes","1992","66 and older","Not Working","","","",""
"No","1992","16-34 y.","Full Time","1889","0.743904623346464","0.726791689916005","0.761017556776923"
"No","1992","16-34 y.","Part Time","541","0.713196377325881","0.681105417809829","0.745287336841934"
"No","1992","16-34 y.","Not Working","65","0.684218788842101","0.587101310830431","0.78133626685377"
"No","1992","35-65 y.","Full Time","2710","0.714686318300666","0.700114531901975","0.729258104699356"
"No","1992","35-65 y.","Part Time","618","0.672292680330994","0.642077131555959","0.70250822910603"
"No","1992","35-65 y.","Not Working","23","","",""
"No","1992","66 and older","Full Time","7","","",""
"No","1992","66 and older","Part Time","15","","",""
"No","1992","66 and older","Not Working","1","","",""
"Yes","1993","16-34 y.","Full Time","592","0.246145423893212","0.229171278642179","0.263119569144246"
"Yes","1993","16-34 y.","Part Time","196","0.264508226880451","0.232556005815693","0.29646044794521"
"Yes","1993","16-34 y.","Not Working","35","0.276186911005501","0.198426062098927","0.353947759912075"
"Yes","1993","35-65 y.","Full Time","933","0.280801753636983","0.265945488414543","0.295658018859423"
"Yes","1993","35-65 y.","Part Time","293","0.305225860167071","0.275973419806326","0.334478300527816"
"Yes","1993","35-65 y.","Not Working","12","","",""
"Yes","1993","66 and older","Full Time","1","","",""
"Yes","1993","66 and older","Part Time","2","","",""
"Yes","1993","66 and older","Not Working","","","",""
"No","1993","16-34 y.","Full Time","1882","0.753854576106788","0.736880430855754","0.770828721357821"
"No","1993","16-34 y.","Part Time","536","0.735491773119549","0.70353955205479","0.767443994184308"
"No","1993","16-34 y.","Not Working","92","0.723813088994499","0.646052240087925","0.801573937901073"
"No","1993","35-65 y.","Full Time","2582","0.719198246363017","0.704341981140577","0.734054511585457"
"No","1993","35-65 y.","Part Time","659","0.694774139832929","0.665521699472184","0.724026580193674"
"No","1993","35-65 y.","Not Working","35","0.655370719980391","0.519502224708897","0.791239215251885"
"No","1993","66 and older","Full Time","8","","",""
"No","1993","66 and older","Part Time","15","","",""
"No","1993","66 and older","Not Working","1","","",""
"Yes","1994","16-34 y.","Full Time","561","0.253068604637257","0.23532352585017","0.270813683424343"
"Yes","1994","16-34 y.","Part Time","168","0.271783708861709","0.238516862830722","0.305050554892695"
"Yes","1994","16-34 y.","Not Working","18","","",""
"Yes","1994","35-65 y.","Full Time","916","0.29216900798059","0.276709365596943","0.307628650364238"
"Yes","1994","35-65 y.","Part Time","283","0.289167867943234","0.25991922084181","0.318416515044658"
"Yes","1994","35-65 y.","Not Working","8","","",""
"Yes","1994","66 and older","Full Time","1","","",""
"Yes","1994","66 and older","Part Time","","","",""
"Yes","1994","66 and older","Not Working","","","",""
"No","1994","16-34 y.","Full Time","1745","0.746931395362743","0.729186316575657","0.76467647414983"
"No","1994","16-34 y.","Part Time","519","0.728216291138291","0.694949445107305","0.761483137169278"
"No","1994","16-34 y.","Not Working","67","0.763527704130674","0.673195800612205","0.853859607649142"
"No","1994","35-65 y.","Full Time","2408","0.70783099201941","0.692371349635762","0.723290634403057"
"No","1994","35-65 y.","Part Time","640","0.710832132056766","0.681583484955342","0.740080779158191"
"No","1994","35-65 y.","Not Working","38","0.844043375446856","0.739196987921717","0.948889762971996"
"No","1994","66 and older","Full Time","9","","",""
"No","1994","66 and older","Part Time","12","","",""
"No","1994","66 and older","Not Working","1","","",""
"Yes","1995","16-34 y.","Full Time","538","0.245766745839735","0.2282812583594","0.26325223332007"
"Yes","1995","16-34 y.","Part Time","191","0.225836480639123","0.197526505920697","0.25414645535755"
"Yes","1995","16-34 y.","Not Working","22","","",""
"Yes","1995","35-65 y.","Full Time","902","0.292892524053464","0.277511632321021","0.308273415785908"
"Yes","1995","35-65 y.","Part Time","345","0.30526477820172","0.278209717265481","0.332319839137959"
"Yes","1995","35-65 y.","Not Working","11","","",""
"Yes","1995","66 and older","Full Time","","","",""
"Yes","1995","66 and older","Part Time","2","","",""
"Yes","1995","66 and older","Not Working","","","",""
"No","1995","16-34 y.","Full Time","1791","0.754233254160265","0.73674776667993","0.7717187416406"
"No","1995","16-34 y.","Part Time","647","0.774163519360877","0.74585354464245","0.802473494079303"
"No","1995","16-34 y.","Not Working","103","0.774326324100157","0.701044622019535","0.847608026180779"
"No","1995","35-65 y.","Full Time","2461","0.707107475946536","0.691726584214092","0.722488367678979"
"No","1995","35-65 y.","Part Time","768","0.69473522179828","0.667680160862041","0.721790282734519"
"No","1995","35-65 y.","Not Working","47","0.865757948667333","0.778022191590786","0.95349370574388"
"No","1995","66 and older","Full Time","8","","",""
"No","1995","66 and older","Part Time","17","","",""
"No","1995","66 and older","Not Working","4","","",""
"Yes","1996","16-34 y.","Full Time","509","0.249190147363362","0.231132020034344","0.267248274692379"
"Yes","1996","16-34 y.","Part Time","168","0.247689046318504","0.216310488538323","0.279067604098685"
"Yes","1996","16-34 y.","Not Working","15","","",""
"Yes","1996","35-65 y.","Full Time","877","0.288864778850134","0.273183314220607","0.304546243479662"
"Yes","1996","35-65 y.","Part Time","334","0.291430310856943","0.265391940188405","0.31746868152548"
"Yes","1996","35-65 y.","Not Working","10","","",""
"Yes","1996","66 and older","Full Time","","","",""
"Yes","1996","66 and older","Part Time","2","","",""
"Yes","1996","66 and older","Not Working","","","",""
"No","1996","16-34 y.","Full Time","1695","0.750809852636638","0.732751725307621","0.768867979965656"
"No","1996","16-34 y.","Part Time","559","0.752310953681495","0.720932395901315","0.783689511461676"
"No","1996","16-34 y.","Not Working","73","0.84457918199385","0.768881682054372","0.920276681933327"
"No","1996","35-65 y.","Full Time","2332","0.711135221149866","0.695453756520338","0.726816685779393"
"No","1996","35-65 y.","Part Time","836","0.708569689143057","0.68253131847452","0.734608059811594"
"No","1996","35-65 y.","Not Working","26","","",""
"No","1996","66 and older","Full Time","10","","",""
"No","1996","66 and older","Part Time","19","","",""
"No","1996","66 and older","Not Working","1","","",""
"Yes","1997","16-34 y.","Full Time","508","0.260821294579128","0.24234288617037","0.279299702987886"
"Yes","1997","16-34 y.","Part Time","163","0.201371203395591","0.172689873283818","0.230052533507364"
"Yes","1997","16-34 y.","Not Working","15","","",""
"Yes","1997","35-65 y.","Full Time","853","0.279964546850418","0.264352208918651","0.295576884782186"
"Yes","1997","35-65 y.","Part Time","342","0.308728831812852","0.281817344893064","0.33564031873264"
"Yes","1997","35-65 y.","Not Working","8","","",""
"Yes","1997","66 and older","Full Time","","","",""
"Yes","1997","66 and older","Part Time","2","","",""
"Yes","1997","66 and older","Not Working","","","",""
"No","1997","16-34 y.","Full Time","1661","0.739178705420872","0.720700297012114","0.75765711382963"
"No","1997","16-34 y.","Part Time","588","0.798628796604409","0.769947466492636","0.827310126716182"
"No","1997","16-34 y.","Not Working","66","0.856379183268392","0.780004868173071","0.932753498363713"
"No","1997","35-65 y.","Full Time","2324","0.720035453149582","0.704423115217814","0.735647791081349"
"No","1997","35-65 y.","Part Time","790","0.691271168187148","0.66435968126736","0.718182655106936"
"No","1997","35-65 y.","Not Working","30","0.856452189680451","0.744969833022578","0.967934546338324"
"No","1997","66 and older","Full Time","12","","",""
"No","1997","66 and older","Part Time","22","","",""
"No","1997","66 and older","Not Working","","","",""
"Yes","1998","16-34 y.","Full Time","486","0.241319764556012","0.223564623067393","0.259074906044631"
"Yes","1998","16-34 y.","Part Time","174","0.209212448518171","0.18147402718932","0.236950869847022"
"Yes","1998","16-34 y.","Not Working","25","","",""
"Yes","1998","35-65 y.","Full Time","976","0.290725508014439","0.275709387129511","0.305741628899367"
"Yes","1998","35-65 y.","Part Time","392","0.266565757719218","0.243169100804304","0.289962414634131"
"Yes","1998","35-65 y.","Not Working","13","","",""
"Yes","1998","66 and older","Full Time","1","","",""
"Yes","1998","66 and older","Part Time","4","","",""
"Yes","1998","66 and older","Not Working","","","",""
"No","1998","16-34 y.","Full Time","1745","0.758680235443988","0.740925093955369","0.776435376932607"
"No","1998","16-34 y.","Part Time","652","0.790787551481829","0.763049130152978","0.818525972810681"
"No","1998","16-34 y.","Not Working","56","0.552251835097248","0.44396115712326","0.660542513071236"
"No","1998","35-65 y.","Full Time","2537","0.709274491985561","0.694258371100633","0.724290612870489"
"No","1998","35-65 y.","Part Time","980","0.733434242280782","0.710037585365869","0.756830899195696"
"No","1998","35-65 y.","Not Working","38","0.708505735250977","0.583781831571796","0.833229638930158"
"No","1998","66 and older","Full Time","11","","",""
"No","1998","66 and older","Part Time","24","","",""
"No","1998","66 and older","Not Working","1","","",""
"Yes","1999","16-34 y.","Full Time","417","0.227963549533967","0.20947569329795","0.246451405769985"
"Yes","1999","16-34 y.","Part Time","152","0.232612558867282","0.202109859795224","0.26311525793934"
"Yes","1999","16-34 y.","Not Working","14","","",""
"Yes","1999","35-65 y.","Full Time","940","0.287875292440379","0.27262025994906","0.303130324931698"
"Yes","1999","35-65 y.","Part Time","345","0.255255234891128","0.231104131065476","0.279406338716781"
"Yes","1999","35-65 y.","Not Working","7","","",""
"Yes","1999","66 and older","Full Time","1","","",""
"Yes","1999","66 and older","Part Time","1","","",""
"Yes","1999","66 and older","Not Working","","","",""
"No","1999","16-34 y.","Full Time","1561","0.772036450466033","0.753548594230015","0.79052430670205"
"No","1999","16-34 y.","Part Time","585","0.767387441132718","0.73688474206066","0.797890140204775"
"No","1999","16-34 y.","Not Working","48","0.703301627806234","0.589596345871251","0.817006909741218"
"No","1999","35-65 y.","Full Time","2444","0.712124707559621","0.696869675068302","0.72737974005094"
"No","1999","35-65 y.","Part Time","907","0.744744765108872","0.720593661283219","0.768895868934524"
"No","1999","35-65 y.","Not Working","33","0.744607640856856","0.609467057433884","0.879748224279828"
"No","1999","66 and older","Full Time","8","","",""
"No","1999","66 and older","Part Time","20","","",""
"No","1999","66 and older","Not Working","1","","",""
"Yes","2000","16-34 y.","Full Time","641","0.20780091905911","0.193784776638276","0.221817061479945"
"Yes","2000","16-34 y.","Part Time","278","0.203177936532212","0.181512916247187","0.224842956817237"
"Yes","2000","16-34 y.","Not Working","32","0.19280945177831","0.129035751333861","0.256583152222758"
"Yes","2000","35-65 y.","Full Time","1692","0.254507091384842","0.243899926463822","0.265114256305861"
"Yes","2000","35-65 y.","Part Time","655","0.254759423285944","0.23744570241075","0.272073144161139"
"Yes","2000","35-65 y.","Not Working","23","","",""
"Yes","2000","66 and older","Full Time","1","","",""
"Yes","2000","66 and older","Part Time","6","","",""
"Yes","2000","66 and older","Not Working","","","",""
"No","2000","16-34 y.","Full Time","2578","0.79219908094089","0.778182938520055","0.806215223361724"
"No","2000","16-34 y.","Part Time","1047","0.796822063467788","0.775157043182763","0.818487083752813"
"No","2000","16-34 y.","Not Working","115","0.80719054822169","0.743416847777242","0.870964248666138"
"No","2000","35-65 y.","Full Time","4786","0.745492908615158","0.73488574369414","0.756100073536177"
"No","2000","35-65 y.","Part Time","1778","0.745240576714056","0.727926855838861","0.76255429758925"
"No","2000","35-65 y.","Not Working","92","0.824209362879444","0.754640354544825","0.893778371214064"
"No","2000","66 and older","Full Time","33","0.974612849689211","0.921740126861466","1.02748557251696"
"No","2000","66 and older","Part Time","49","0.875929248192484","0.788805617131785","0.963052879253183"
"No","2000","66 and older","Not Working","2","","",""
"Yes","2001","16-34 y.","Full Time","515","0.204304280956486","0.188809331672507","0.219799230240464"
"Yes","2001","16-34 y.","Part Time","224","0.211165865977894","0.186349109242583","0.235982622713205"
"Yes","2001","16-34 y.","Not Working","22","","",""
"Yes","2001","35-65 y.","Full Time","1493","0.250403720498313","0.239236549993056","0.26157089100357"
"Yes","2001","35-65 y.","Part Time","609","0.266665254539042","0.248097737833643","0.285232771244442"
"Yes","2001","35-65 y.","Not Working","13","","",""
"Yes","2001","66 and older","Full Time","1","","",""
"Yes","2001","66 and older","Part Time","11","","",""
"Yes","2001","66 and older","Not Working","","","",""
"No","2001","16-34 y.","Full Time","2086","0.795695719043514","0.780200769759536","0.811190668327493"
"No","2001","16-34 y.","Part Time","815","0.788834134022106","0.764017377286795","0.813650890757417"
"No","2001","16-34 y.","Not Working","84","0.83866193778675","0.768636304803447","0.908687570770054"
"No","2001","35-65 y.","Full Time","4289","0.749596279501687","0.73842910899643","0.760763450006944"
"No","2001","35-65 y.","Part Time","1570","0.733334745460958","0.714767228755558","0.751902262166357"
"No","2001","35-65 y.","Not Working","65","0.830595385351013","0.747350383962477","0.913840386739548"
"No","2001","66 and older","Full Time","25","","",""
"No","2001","66 and older","Part Time","34","0.769726100976223","0.646718400969781","0.892733800982665"
"No","2001","66 and older","Not Working","5","","",""
"Yes","2002","16-34 y.","Full Time","514","0.194286083531455","0.179089747779313","0.209482419283597"
"Yes","2002","16-34 y.","Part Time","257","0.209760943321634","0.186638497570899","0.232883389072369"
"Yes","2002","16-34 y.","Not Working","23","","",""
"Yes","2002","35-65 y.","Full Time","1812","0.254166437348263","0.243663992897595","0.264668881798931"
"Yes","2002","35-65 y.","Part Time","777","0.255553885201429","0.238918924920515","0.272188845482343"
"Yes","2002","35-65 y.","Not Working","15","","",""
"Yes","2002","66 and older","Full Time","2","","",""
"Yes","2002","66 and older","Part Time","16","","",""
"Yes","2002","66 and older","Not Working","","","",""
"No","2002","16-34 y.","Full Time","2090","0.805713916468545","0.790517580716402","0.820910252220687"
"No","2002","16-34 y.","Part Time","934","0.790239056678366","0.767116610927631","0.813361502429101"
"No","2002","16-34 y.","Not Working","101","0.837782277409909","0.772896130888882","0.902668423930936"
"No","2002","35-65 y.","Full Time","4790","0.745833562651737","0.735331118201069","0.756336007102405"
"No","2002","35-65 y.","Part Time","1864","0.744446114798571","0.727811154517657","0.761081075079485"
"No","2002","35-65 y.","Not Working","66","0.884832954864939","0.815314463588319","0.95435144614156"
"No","2002","66 and older","Full Time","35","0.963032156291241","0.902235501599661","1.02382881098282"
"No","2002","66 and older","Part Time","63","0.787157998366056","0.696898239491521","0.877417757240592"
"No","2002","66 and older","Not Working","3","","",""
"Yes","2003","16-34 y.","Full Time","471","0.217302459095822","0.200162491175405","0.234442427016239"
"Yes","2003","16-34 y.","Part Time","209","0.227296363108413","0.200799825998717","0.25379290021811"
"Yes","2003","16-34 y.","Not Working","12","","",""
"Yes","2003","35-65 y.","Full Time","1664","0.264218898361037","0.253037191906945","0.275400604815128"
"Yes","2003","35-65 y.","Part Time","727","0.260625441809117","0.243153833892889","0.278097049725344"
"Yes","2003","35-65 y.","Not Working","14","","",""
"Yes","2003","66 and older","Full Time","4","","",""
"Yes","2003","66 and older","Part Time","9","","",""
"Yes","2003","66 and older","Not Working","","","",""
"No","2003","16-34 y.","Full Time","1753","0.782697540904178","0.765557572983761","0.799837508824595"
"No","2003","16-34 y.","Part Time","752","0.772703636891587","0.74620709978189","0.799200174001283"
"No","2003","16-34 y.","Not Working","72","0.832725569936101","0.752912470272092","0.912538669600109"
"No","2003","35-65 y.","Full Time","4309","0.735781101638963","0.724599395184872","0.746962808093055"
"No","2003","35-65 y.","Part Time","1698","0.739374558190883","0.721902950274656","0.756846166107111"
"No","2003","35-65 y.","Not Working","46","0.771899640137553","0.665726204627894","0.878073075647211"
"No","2003","66 and older","Full Time","33","0.951297375491211","0.881941771062056","1.02065297992037"
"No","2003","66 and older","Part Time","51","0.865117857942572","0.778683316667046","0.951552399218099"
"No","2003","66 and older","Not Working","3","","",""
"Yes","2004","16-34 y.","Full Time","451","0.222333800133594","0.204882828385212","0.239784771881976"
"Yes","2004","16-34 y.","Part Time","244","0.204793590510252","0.181212170919768","0.228375010100736"
"Yes","2004","16-34 y.","Not Working","23","","",""
"Yes","2004","35-65 y.","Full Time","1627","0.259550678571587","0.248395676098593","0.270705681044581"
"Yes","2004","35-65 y.","Part Time","750","0.246414182394809","0.229866261524885","0.262962103264734"
"Yes","2004","35-65 y.","Not Working","12","","",""
"Yes","2004","66 and older","Full Time","2","","",""
"Yes","2004","66 and older","Part Time","6","","",""
"Yes","2004","66 and older","Not Working","","","",""
"No","2004","16-34 y.","Full Time","1730","0.777666199866406","0.760215228118024","0.795117171614788"
"No","2004","16-34 y.","Part Time","881","0.795206409489748","0.771624989899264","0.818787829080232"
"No","2004","16-34 y.","Not Working","88","0.803043650221009","0.729059077286464","0.877028223155553"
"No","2004","35-65 y.","Full Time","4306","0.740449321428413","0.729294318955419","0.751604323901407"
"No","2004","35-65 y.","Part Time","1855","0.753585817605191","0.737037896735266","0.770133738475115"
"No","2004","35-65 y.","Not Working","53","0.754352904397206","0.649704041690306","0.859001767104107"
"No","2004","66 and older","Full Time","37","0.981091281456315","0.938344684697042","1.02383787821559"
"No","2004","66 and older","Part Time","103","0.962995531708976","0.927557135265938","0.998433928152014"
"No","2004","66 and older","Not Working","2","","",""
"Yes","2005","16-34 y.","Full Time","383","0.223100234170708","0.20407238348728","0.242128084854136"
"Yes","2005","16-34 y.","Part Time","178","0.198984318376038","0.172886862004114","0.225081774747961"
"Yes","2005","16-34 y.","Not Working","13","","",""
"Yes","2005","35-65 y.","Full Time","1535","0.257293549975517","0.245790767365901","0.268796332585133"
"Yes","2005","35-65 y.","Part Time","702","0.263881362679619","0.245989513852023","0.281773211507216"
