"pgoeffd","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Hesse","(Married) couple without C. ","108","0.662334978158016","0.587885077095382","0.73678487922065","2"
"No","1984","Hamburg","Couple + C. LE and GT 16","16","","","","2"
"No","1984","Lower Saxony","1-pers.-HH","33","0.596776116001848","0.460806481556129","0.732745750447566","2"
"No","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","20","","","","2"
"No","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","66","0.76695435139552","0.677602383388186","0.856306319402853","2"
"No","1984","Hamburg","Couple + C. LE 16 ","39","0.721551776781874","0.597309596354349","0.8457939572094","2"
"No","1984","North Rhine-Westphalia","(Married) couple without C. ","293","0.752829883433544","0.709741109917007","0.79591865695008","2"
"No","1984","Schleswig-Holstein","Couple + C. GT 16 ","31","0.789438164827732","0.663090568843833","0.915785760811632","2"
"No","1984","Schleswig-Holstein","Couple + C. LE and GT 16","24","","","","2"
"No","1984","Hamburg","1-pers.-HH","15","","","","2"
"No","1984","Hamburg","(Married) couple without C. ","30","0.623897321906846","0.486860510140493","0.760934133673199","2"
"No","1984","Hamburg","Couple + C. GT 16 ","17","","","","2"
"No","1984","Hesse","Couple + C. GT 16 ","115","0.763542499560166","0.694619397142278","0.832465601978055","2"
"No","1984","Rhineland-Palatinate,Saarland","Single parent ","23","","","","2"
"No","1984","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","84","0.75387335022497","0.671481936063699","0.83626476438624","2"
"No","1984","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","65","0.669963914555808","0.574395796007429","0.765532033104187","2"
"No","1984","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","68","0.855005632678703","0.77785079692582","0.932160468431585","2"
"No","1984","Baden-Württemberg","1-pers.-HH","91","0.701076546317867","0.619169704065016","0.782983388570719","2"
"No","1984","Baden-Württemberg","(Married) couple without C. ","180","0.745984745779151","0.689105778265102","0.8028637132932","2"
"No","1984","Baden-Württemberg","Single parent ","60","0.809197265047962","0.719059629456221","0.899334900639703","2"
"No","1984","Baden-Württemberg","Couple + C. LE 16 ","392","0.804354793263566","0.768063689135427","0.840645897391705","2"
"No","1984","Baden-Württemberg","Couple + C. GT 16 ","221","0.839314389421656","0.794675616768082","0.88395316207523","2"
"No","1984","Baden-Württemberg","Couple + C. LE and GT 16","193","0.820015810588317","0.769479923325895","0.870551697850739","2"
"No","1984","Bavaria","1-pers.-HH","78","0.763432489489546","0.680552388207899","0.846312590771194","2"
"No","1984","Bavaria","(Married) couple without C. ","180","0.740916513607804","0.684899666194059","0.79693336102155","2"
"No","1984","Bavaria","Single parent ","53","0.90142320855589","0.825360148716883","0.977486268394897","2"
"No","1984","Bavaria","Couple + C. LE 16 ","298","0.752787269966988","0.709298838930101","0.796275701003875","2"
"No","1984","Bavaria","Couple + C. GT 16 ","162","0.765068072656242","0.707313818673709","0.822822326638776","2"
"No","1984","Bavaria","Couple + C. LE and GT 16","192","0.818236907593432","0.767957951124232","0.868515864062632","2"
"No","1984","Berlin","1-pers.-HH","20","","","","2"
"No","1984","Berlin","(Married) couple without C. ","41","0.630355982054111","0.51300784668842","0.747704117419802","2"
"No","1984","Berlin","Couple + C. LE 16 ","53","0.635233267535017","0.526292184652073","0.744174350417961","2"
"No","1984","Berlin","Couple + C. GT 16 ","14","","","","2"
"No","1984","Berlin","Couple + C. LE and GT 16","20","","","","2"
"No","1984","Brandenburg","Single parent ","","","","","2"
"No","1984","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"No","1984","Berlin","Single parent ","14","","","","2"
"No","1984","Brandenburg","1-pers.-HH","","","","","2"
"No","1984","Brandenburg","(Married) couple without C. ","","","","","2"
"No","1984","Brandenburg","Couple + C. GT 16 ","","","","","2"
"No","1984","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"No","1984","Saxony","1-pers.-HH","","","","","2"
"No","1984","Saxony","(Married) couple without C. ","","","","","2"
"No","1984","Saxony","Single parent ","","","","","2"
"No","1984","Saxony","Couple + C. LE 16 ","","","","","2"
"No","1984","Saxony","Couple + C. GT 16 ","","","","","2"
"No","1984","Saxony","Couple + C. LE and GT 16","","","","","2"
"No","1984","Saxony-Anhalt","1-pers.-HH","","","","","2"
"No","1984","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"No","1984","Saxony-Anhalt","Single parent ","","","","","2"
"No","1984","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"No","1984","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"No","1984","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"No","1984","Thuringia","1-pers.-HH","","","","","2"
"No","1984","Thuringia","(Married) couple without C. ","","","","","2"
"No","1984","Thuringia","Single parent ","","","","","2"
"No","1984","Thuringia","Couple + C. LE 16 ","","","","","2"
"No","1984","Thuringia","Couple + C. GT 16 ","","","","","2"
"No","1984","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Yes","1984","Schleswig-Holstein","1-pers.-HH","8","","","","1"
"Yes","1984","Schleswig-Holstein","(Married) couple without C. ","9","","","","1"
"Yes","1984","Schleswig-Holstein","Single parent ","4","","","","1"
"Yes","1984","Schleswig-Holstein","Couple + C. LE 16 ","18","","","","1"
"Yes","1984","Schleswig-Holstein","Couple + C. GT 16 ","9","","","","1"
"Yes","1984","Schleswig-Holstein","Couple + C. LE and GT 16","3","","","","1"
"Yes","1984","Hamburg","1-pers.-HH","7","","","","1"
"Yes","1984","Hamburg","(Married) couple without C. ","18","","","","1"
"Yes","1984","Hamburg","Single parent ","1","","","","1"
"Yes","1984","Hamburg","Couple + C. LE 16 ","11","","","","1"
"Yes","1984","Hamburg","Couple + C. GT 16 ","3","","","","1"
"Yes","1984","Hamburg","Couple + C. LE and GT 16","7","","","","1"
"Yes","1984","Lower Saxony","1-pers.-HH","17","","","","1"
"Yes","1984","Lower Saxony","(Married) couple without C. ","41","0.355850506451643","0.27158217837419","0.440118834529097","1"
"Yes","1984","Lower Saxony","Single parent ","7","","","","1"
"Yes","1984","Lower Saxony","Couple + C. LE 16 ","38","0.223495491244904","0.164569913319313","0.282421069170495","1"
"Yes","1984","Lower Saxony","Couple + C. GT 16 ","34","0.253233571271343","0.18119964186043","0.325267500682257","1"
"Yes","1984","Lower Saxony","Couple + C. LE and GT 16","14","","","","1"
"Yes","1984","Bremen","1-pers.-HH","2","","","","1"
"Yes","1984","Bremen","(Married) couple without C. ","","","","","1"
"Yes","1984","Bremen","Single parent ","2","","","","1"
"Yes","1984","Bremen","Couple + C. LE 16 ","2","","","","1"
"Yes","1984","Bremen","Couple + C. GT 16 ","1","","","","1"
"Yes","1984","Bremen","Couple + C. LE and GT 16","1","","","","1"
"Yes","1984","North Rhine-Westphalia","1-pers.-HH","48","0.317153119635664","0.248400711294476","0.385905527976853","1"
"Yes","1984","North Rhine-Westphalia","(Married) couple without C. ","92","0.247170116566456","0.20408134304992","0.290258890082993","1"
"Yes","1984","North Rhine-Westphalia","Single parent ","19","","","","1"
"Yes","1984","North Rhine-Westphalia","Couple + C. LE 16 ","122","0.283120379315239","0.245051890588324","0.321188868042153","1"
"Yes","1984","North Rhine-Westphalia","Couple + C. GT 16 ","41","0.177662947728099","0.134553944544258","0.22077195091194","1"
"Yes","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","48","0.216823721925269","0.167395428046732","0.266252015803807","1"
"Yes","1984","Hesse","1-pers.-HH","16","","","","1"
"Yes","1984","Hesse","(Married) couple without C. ","47","0.337665021841984","0.26321512077935","0.412114922904618","1"
"Yes","1984","Hesse","Single parent ","5","","","","1"
"Yes","1984","Hesse","Couple + C. LE 16 ","33","0.200303336497906","0.144129055922315","0.256477617073496","1"
"Yes","1984","Hesse","Couple + C. GT 16 ","31","0.236457500439834","0.167534398021945","0.305380602857722","1"
"Yes","1984","Hesse","Couple + C. LE and GT 16","30","0.297936297391911","0.213981477637311","0.381891117146511","1"
"Yes","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","5","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","20","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Single parent ","4","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","21","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","28","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","12","","","","1"
"Yes","1984","Baden-Württemberg","1-pers.-HH","29","","","","1"
"Yes","1984","Baden-Württemberg","(Married) couple without C. ","45","0.254015254220849","0.1971362867068","0.310894221734898","1"
"Yes","1984","Baden-Württemberg","Single parent ","13","","","","1"
"Yes","1984","Baden-Württemberg","Couple + C. LE 16 ","67","0.195645206736434","0.159354102608295","0.231936310864573","1"
"Yes","1984","Baden-Württemberg","Couple + C. GT 16 ","39","0.160685610578344","0.11604683792477","0.205324383231918","1"
"Yes","1984","Baden-Württemberg","Couple + C. LE and GT 16","29","","","","1"
"Yes","1984","Bavaria","1-pers.-HH","23","","","","1"
"Yes","1984","Bavaria","(Married) couple without C. ","55","0.259083486392196","0.20306663897845","0.315100333805941","1"
"Yes","1984","Bavaria","Single parent ","6","","","","1"
"Yes","1984","Bavaria","Couple + C. LE 16 ","80","0.247212730033012","0.203724298996125","0.290701161069899","1"
"Yes","1984","Bavaria","Couple + C. GT 16 ","45","0.234931927343758","0.177177673361224","0.292686181326291","1"
"Yes","1984","Bavaria","Couple + C. LE and GT 16","34","0.181763092406568","0.131484135937368","0.232042048875768","1"
"Yes","1984","Berlin","1-pers.-HH","13","","","","1"
"Yes","1984","Berlin","(Married) couple without C. ","24","","","","1"
"Yes","1984","Berlin","Single parent ","5","","","","1"
"Yes","1984","Berlin","Couple + C. LE 16 ","22","","","","1"
"Yes","1984","Berlin","Couple + C. GT 16 ","10","","","","1"
"Yes","1984","Berlin","Couple + C. LE and GT 16","9","","","","1"
"Yes","1984","Brandenburg","1-pers.-HH","","","","","1"
"Yes","1984","Brandenburg","(Married) couple without C. ","","","","","1"
"Yes","1984","Brandenburg","Single parent ","","","","","1"
"Yes","1984","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Yes","1984","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Yes","1984","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Yes","1984","Saxony","1-pers.-HH","","","","","1"
"Yes","1984","Saxony","(Married) couple without C. ","","","","","1"
"Yes","1984","Saxony","Single parent ","","","","","1"
"Yes","1984","Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1984","Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1984","Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1984","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Yes","1984","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Yes","1984","Saxony-Anhalt","Single parent ","","","","","1"
"Yes","1984","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Yes","1984","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Yes","1984","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
"Yes","1984","Thuringia","1-pers.-HH","","","","","1"
"Yes","1984","Thuringia","(Married) couple without C. ","","","","","1"
"Yes","1984","Thuringia","Single parent ","","","","","1"
"Yes","1984","Thuringia","Couple + C. LE 16 ","","","","","1"
"Yes","1984","Thuringia","Couple + C. GT 16 ","","","","","1"
"Yes","1984","Thuringia","Couple + C. LE and GT 16","","","","","1"
"No","1985","Schleswig-Holstein","(Married) couple without C. ","28","","","","2"
"No","1985","Lower Saxony","Couple + C. LE and GT 16","53","0.825241772193394","0.730713512206723","0.919770032180066","2"
"No","1985","Bremen","Couple + C. LE and GT 16","6","","","","2"
"No","1985","North Rhine-Westphalia","1-pers.-HH","105","0.634239367927067","0.558169474460097","0.710309261394037","2"
"No","1985","Bremen","Single parent ","1","","","","2"
"No","1985","Hesse","(Married) couple without C. ","94","0.625176636819077","0.544990596197558","0.705362677440596","2"
"No","1985","Bremen","Couple + C. GT 16 ","4","","","","2"
"No","1985","Schleswig-Holstein","1-pers.-HH","16","","","","2"
"No","1985","Rhineland-Palatinate,Saarland","(Married) couple without C. ","54","0.674482651319198","0.56982398649817","0.779141316140227","2"
"No","1985","Rhineland-Palatinate,Saarland","1-pers.-HH","17","","","","2"
"No","1985","Bremen","1-pers.-HH","1","","","","2"
"No","1985","Schleswig-Holstein","Couple + C. GT 16 ","27","","","","2"
"No","1985","Schleswig-Holstein","Couple + C. LE and GT 16","17","","","","2"
"No","1985","Hamburg","1-pers.-HH","19","","","","2"
"No","1985","Hamburg","(Married) couple without C. ","30","0.691706132212721","0.556783411469733","0.826628852955709","2"
"No","1985","Hamburg","Single parent ","6","","","","2"
"No","1985","Hamburg","Couple + C. LE and GT 16","10","","","","2"
"No","1985","Lower Saxony","1-pers.-HH","25","","","","2"
"No","1985","Lower Saxony","(Married) couple without C. ","76","0.631397206649146","0.543606259292101","0.719188154006192","2"
"No","1985","Lower Saxony","Single parent ","24","","","","2"
"No","1985","Schleswig-Holstein","Single parent ","9","","","","2"
"No","1985","Lower Saxony","Couple + C. GT 16 ","86","0.75095843579313","0.671919144281636","0.829997727304624","2"
"No","1985","Bremen","(Married) couple without C. ","7","","","","2"
"No","1985","Bremen","Couple + C. LE 16 ","10","","","","2"
"No","1985","North Rhine-Westphalia","(Married) couple without C. ","254","0.747820531609455","0.701248153752476","0.794392909466435","2"
"No","1985","North Rhine-Westphalia","Single parent ","46","0.75467936866452","0.645806230456521","0.863552506872518","2"
"No","1985","North Rhine-Westphalia","Couple + C. GT 16 ","245","0.814718818587176","0.770231747854769","0.859205889319583","2"
"No","1985","North Rhine-Westphalia","Couple + C. LE and GT 16","165","0.744784500860563","0.685817738701949","0.803751263019176","2"
"No","1985","Hesse","1-pers.-HH","35","0.700167362114886","0.570548603917592","0.829786120312181","2"
"No","1985","Hesse","Couple + C. LE 16 ","137","0.801436429206963","0.741292878301146","0.861579980112781","2"
"No","1985","Hesse","Couple + C. GT 16 ","89","0.718212400416934","0.637384369538574","0.799040431295293","2"
"No","1985","Hesse","Couple + C. LE and GT 16","66","0.739331384072676","0.649134540675465","0.829528227469888","2"
"No","1985","Schleswig-Holstein","Couple + C. LE 16 ","43","0.71889129651114","0.602188994686898","0.835593598335382","2"
"No","1985","Hesse","Single parent ","21","","","","2"
"No","1985","Lower Saxony","Couple + C. LE 16 ","112","0.757232717143984","0.686959500031703","0.827505934256264","2"
"No","1985","Hamburg","Couple + C. LE 16 ","33","0.740217886301249","0.607598242732867","0.872837529869631","2"
"No","1985","Hamburg","Couple + C. GT 16 ","13","","","","2"
"No","1985","North Rhine-Westphalia","Couple + C. LE 16 ","346","0.715583182864076","0.674176220800976","0.756990144927176","2"
"No","1985","Rhineland-Palatinate,Saarland","Single parent ","22","","","","2"
"No","1985","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","75","0.759780650750772","0.672953665014361","0.846607636487183","2"
"No","1985","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","68","0.662751547920572","0.569149487010497","0.756353608830647","2"
"No","1985","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","53","0.895674604389087","0.817675029517784","0.97367417926039","2"
"No","1985","Baden-Württemberg","1-pers.-HH","71","0.666936997889332","0.573144559821207","0.760729435957456","2"
"No","1985","Baden-Württemberg","(Married) couple without C. ","160","0.757007086065762","0.697714985133465","0.816299186998058","2"
"No","1985","Baden-Württemberg","Single parent ","51","0.758350187211673","0.654281627664986","0.86241874675836","2"
"No","1985","Baden-Württemberg","Couple + C. LE 16 ","320","0.820780187309689","0.781805462010533","0.859754912608845","2"
"No","1985","Baden-Württemberg","Couple + C. GT 16 ","236","0.835614371941806","0.792047079971898","0.879181663911714","2"
"No","1985","Baden-Württemberg","Couple + C. LE and GT 16","166","0.823553887231818","0.769350884181441","0.877756890282195","2"
"No","1985","Bavaria","1-pers.-HH","65","0.738720830254125","0.645868794120907","0.831572866387343","2"
"No","1985","Bavaria","(Married) couple without C. ","152","0.746206903102317","0.686045272864135","0.8063685333405","2"
"No","1985","Bavaria","Single parent ","49","0.893013298760324","0.81057195294431","0.975454644576337","2"
"No","1985","Berlin","Couple + C. GT 16 ","12","","","","2"
"No","1985","Berlin","Couple + C. LE and GT 16","13","","","","2"
"No","1985","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","1985","Bavaria","Couple + C. LE 16 ","255","0.767270029989624","0.720970841816772","0.813569218162476","2"
"No","1985","Bavaria","Couple + C. GT 16 ","160","0.758778215181389","0.700496998658169","0.817059431704608","2"
"No","1985","Bavaria","Couple + C. LE and GT 16","156","0.808282330947687","0.751403351929081","0.865161309966293","2"
"No","1985","Berlin","1-pers.-HH","18","","","","2"
"No","1985","Berlin","(Married) couple without C. ","32","0.613592671540706","0.481247171728142","0.74593817135327","2"
"No","1985","Berlin","Single parent ","8","","","","2"
"No","1985","Berlin","Couple + C. LE 16 ","42","0.69850798931287","0.58040587102652","0.81661010759922","2"
"No","1985","Brandenburg","1-pers.-HH","","","","","2"
"No","1985","Brandenburg","(Married) couple without C. ","","","","","2"
"No","1985","Brandenburg","Single parent ","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"No","1985","Saxony","1-pers.-HH","","","","","2"
"No","1985","Brandenburg","Couple + C. GT 16 ","","","","","2"
"No","1985","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"No","1985","Saxony","(Married) couple without C. ","","","","","2"
"No","1985","Saxony","Single parent ","","","","","2"
"No","1985","Saxony","Couple + C. LE 16 ","","","","","2"
"No","1985","Saxony","Couple + C. GT 16 ","","","","","2"
"No","1985","Saxony","Couple + C. LE and GT 16","","","","","2"
"No","1985","Saxony-Anhalt","1-pers.-HH","","","","","2"
"No","1985","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"No","1985","Saxony-Anhalt","Single parent ","","","","","2"
"No","1985","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"No","1985","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"No","1985","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"No","1985","Thuringia","1-pers.-HH","","","","","2"
"No","1985","Thuringia","(Married) couple without C. ","","","","","2"
"No","1985","Thuringia","Single parent ","","","","","2"
"No","1985","Thuringia","Couple + C. LE 16 ","","","","","2"
"No","1985","Thuringia","Couple + C. GT 16 ","","","","","2"
"No","1985","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Yes","1985","Hesse","(Married) couple without C. ","46","0.374823363180923","0.294637322559404","0.455009403802442","1"
"Yes","1985","Hesse","Single parent ","3","","","","1"
"Yes","1985","Hesse","Couple + C. LE 16 ","32","0.198563570793037","0.138420019887219","0.258707121698854","1"
"Yes","1985","Hesse","Couple + C. GT 16 ","30","0.281787599583066","0.200959568704707","0.362615630461426","1"
"Yes","1985","Hesse","Couple + C. LE and GT 16","25","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","1-pers.-HH","7","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","(Married) couple without C. ","23","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Single parent ","4","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","18","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","30","0.337248452079428","0.243646391169353","0.430850512989503","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","6","","","","1"
"Yes","1985","Baden-Württemberg","1-pers.-HH","26","","","","1"
"Yes","1985","Baden-Württemberg","(Married) couple without C. ","41","0.242992913934238","0.183700813001942","0.302285014866535","1"
"Yes","1985","Baden-Württemberg","Single parent ","14","","","","1"
"Yes","1985","Baden-Württemberg","Couple + C. LE 16 ","52","0.179219812690311","0.140245087391155","0.218194537989467","1"
"Yes","1985","Baden-Württemberg","Couple + C. GT 16 ","42","0.164385628058194","0.120818336088286","0.207952920028102","1"
"Yes","1985","Baden-Württemberg","Couple + C. LE and GT 16","24","","","","1"
"Yes","1985","Schleswig-Holstein","1-pers.-HH","7","","","","1"
"Yes","1985","Schleswig-Holstein","(Married) couple without C. ","12","","","","1"
"Yes","1985","Schleswig-Holstein","Single parent ","4","","","","1"
"Yes","1985","Schleswig-Holstein","Couple + C. LE 16 ","14","","","","1"
"Yes","1985","Schleswig-Holstein","Couple + C. GT 16 ","7","","","","1"
"Yes","1985","Schleswig-Holstein","Couple + C. LE and GT 16","5","","","","1"
"Yes","1985","Hamburg","1-pers.-HH","5","","","","1"
"Yes","1985","Hamburg","(Married) couple without C. ","15","","","","1"
"Yes","1985","Hamburg","Single parent ","1","","","","1"
"Yes","1985","Hamburg","Couple + C. LE 16 ","9","","","","1"
"Yes","1985","Hamburg","Couple + C. GT 16 ","7","","","","1"
"Yes","1985","Hamburg","Couple + C. LE and GT 16","5","","","","1"
"Yes","1985","Lower Saxony","1-pers.-HH","16","","","","1"
"Yes","1985","Lower Saxony","(Married) couple without C. ","40","0.368602793350854","0.280811845993808","0.456393740707899","1"
"Yes","1985","Lower Saxony","Single parent ","5","","","","1"
"Yes","1985","Lower Saxony","Couple + C. LE 16 ","31","0.242767282856016","0.172494065743736","0.313040499968297","1"
"Yes","1985","Lower Saxony","Couple + C. GT 16 ","29","","","","1"
"Yes","1985","Lower Saxony","Couple + C. LE and GT 16","9","","","","1"
"Yes","1985","Bremen","1-pers.-HH","3","","","","1"
"Yes","1985","Bremen","(Married) couple without C. ","","","","","1"
"Yes","1985","Bremen","Single parent ","1","","","","1"
"Yes","1985","Bremen","Couple + C. LE 16 ","2","","","","1"
"Yes","1985","Bremen","Couple + C. GT 16 ","1","","","","1"
"Yes","1985","Bremen","Couple + C. LE and GT 16","1","","","","1"
"Yes","1985","North Rhine-Westphalia","1-pers.-HH","49","0.365760632072933","0.289690738605963","0.441830525539903","1"
"Yes","1985","North Rhine-Westphalia","(Married) couple without C. ","80","0.252179468390545","0.205607090533565","0.298751846247524","1"
"Yes","1985","North Rhine-Westphalia","Single parent ","14","","","","1"
"Yes","1985","North Rhine-Westphalia","Couple + C. LE 16 ","110","0.284416817135924","0.243009855072824","0.325823779199024","1"
"Yes","1985","North Rhine-Westphalia","Couple + C. GT 16 ","48","0.185281181412824","0.140794110680417","0.229768252145231","1"
"Yes","1985","North Rhine-Westphalia","Couple + C. LE and GT 16","45","0.255215499139437","0.196248736980824","0.314182261298051","1"
"Yes","1985","Hesse","1-pers.-HH","13","","","","1"
"Yes","1985","Bavaria","1-pers.-HH","21","","","","1"
"Yes","1985","Bavaria","(Married) couple without C. ","49","0.253793096897683","0.1936314666595","0.313954727135865","1"
"Yes","1985","Bavaria","Single parent ","5","","","","1"
"Yes","1985","Bavaria","Couple + C. LE 16 ","65","0.232729970010376","0.186430781837524","0.279029158183228","1"
"Yes","1985","Bavaria","Couple + C. GT 16 ","47","0.241221784818611","0.182940568295392","0.299503001341831","1"
"Yes","1985","Bavaria","Couple + C. LE and GT 16","28","","","","1"
"Yes","1985","Berlin","1-pers.-HH","14","","","","1"
"Yes","1985","Berlin","(Married) couple without C. ","20","","","","1"
"Yes","1985","Berlin","Single parent ","7","","","","1"
"Yes","1985","Berlin","Couple + C. LE 16 ","16","","","","1"
"Yes","1985","Berlin","Couple + C. GT 16 ","15","","","","1"
"Yes","1985","Berlin","Couple + C. LE and GT 16","5","","","","1"
"Yes","1985","Brandenburg","1-pers.-HH","","","","","1"
"Yes","1985","Brandenburg","(Married) couple without C. ","","","","","1"
"Yes","1985","Brandenburg","Single parent ","","","","","1"
"Yes","1985","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Yes","1985","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Yes","1985","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1985","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
