"pgoeffd","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Yes","1984","Bremen","Not Working","1","","","","1"
"Yes","1984","North Rhine-Westphalia","Full Time","287","0.252215379931809","0.229417694782531","0.275013065081087","1"
"Yes","1984","North Rhine-Westphalia","Part Time","90","0.261969159079564","0.217524814418732","0.306413503740396","1"
"Yes","1984","North Rhine-Westphalia","Not Working","10","","","","1"
"Yes","1984","Hesse","Full Time","124","0.271813415309952","0.235161501550878","0.308465329069026","1"
"Yes","1984","Hesse","Part Time","42","0.28133381050315","0.210546271665522","0.352121349340778","1"
"Yes","1984","Hesse","Not Working","1","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Full Time","79","0.251417224725848","0.206540795242404","0.296293654209292","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Part Time","19","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Not Working","1","","","","1"
"Yes","1984","Baden-Württemberg","Full Time","186","0.211182980644206","0.187385747632609","0.234980213655804","1"
"Yes","1984","Baden-Württemberg","Part Time","45","0.211092835468092","0.163378967121484","0.2588067038147","1"
"Yes","1984","Baden-Württemberg","Not Working","3","","","","1"
"Yes","1984","Bavaria","Full Time","190","0.225953532072636","0.19960821096752","0.252298853177751","1"
"Yes","1984","Bavaria","Part Time","58","0.215164382137947","0.166771359511848","0.263557404764047","1"
"Yes","1984","Bavaria","Not Working","3","","","","1"
"Yes","1984","Berlin","Full Time","71","0.416035773030648","0.347553209006697","0.484518337054599","1"
"Yes","1984","Berlin","Part Time","16","","","","1"
"Yes","1984","Berlin","Not Working","1","","","","1"
"Yes","1984","Brandenburg","Full Time","","","","","1"
"Yes","1984","Brandenburg","Part Time","","","","","1"
"Yes","1984","Brandenburg","Not Working","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","1984","Saxony","Full Time","","","","","1"
"Yes","1984","Saxony","Part Time","","","","","1"
"Yes","1984","Saxony","Not Working","","","","","1"
"Yes","1984","Saxony-Anhalt","Full Time","","","","","1"
"Yes","1984","Saxony-Anhalt","Part Time","","","","","1"
"Yes","1984","Saxony-Anhalt","Not Working","","","","","1"
"Yes","1984","Thuringia","Full Time","","","","","1"
"Yes","1984","Thuringia","Part Time","","","","","1"
"Yes","1984","Thuringia","Not Working","","","","","1"
"No","1985","Bremen","Not Working","","","","","2"
"No","1985","Bremen","Part Time","10","","","","2"
"No","1985","Schleswig-Holstein","Part Time","39","0.840160820539668","0.735394426705287","0.944927214374049","2"
"No","1985","Schleswig-Holstein","Full Time","107","0.697183310541707","0.62290657327102","0.771460047812393","2"
"No","1985","Hesse","Full Time","370","0.698733700266339","0.658315533338321","0.739151867194357","2"
"No","1985","Schleswig-Holstein","Not Working","","","","","2"
"No","1985","Hamburg","Full Time","91","0.740775712784213","0.663955713898766","0.81759571166966","2"
"No","1985","Hamburg","Part Time","22","","","","2"
"No","1985","Hamburg","Not Working","1","","","","2"
"No","1985","Lower Saxony","Full Time","312","0.712601917525926","0.669373188245796","0.755830646806056","2"
"No","1985","Lower Saxony","Part Time","86","0.718493172311244","0.63768963011349","0.799296714508998","2"
"No","1985","Lower Saxony","Not Working","10","","","","2"
"No","1985","Bremen","Full Time","20","","","","2"
"No","1985","North Rhine-Westphalia","Full Time","974","0.750173250865971","0.725989741678802","0.774356760053139","2"
"No","1985","North Rhine-Westphalia","Part Time","232","0.67771663340604","0.627369225942575","0.728064040869506","2"
"No","1985","North Rhine-Westphalia","Not Working","17","","","","2"
"No","1985","Hesse","Part Time","104","0.806693971934602","0.738812145440501","0.874575798428704","2"
"No","1985","Hesse","Not Working","8","","","","2"
"No","1985","Rhineland-Palatinate,Saarland","Full Time","246","0.721155881231745","0.672176254114492","0.770135508348997","2"
"No","1985","Rhineland-Palatinate,Saarland","Part Time","63","0.784278662377116","0.694145450043548","0.874411874710684","2"
"No","1985","Rhineland-Palatinate,Saarland","Not Working","1","","","","2"
"No","1985","Baden-Württemberg","Full Time","823","0.790133965697922","0.764664854426032","0.815603076969813","2"
"No","1985","Baden-Württemberg","Part Time","209","0.78540704106591","0.735312157991199","0.835501924140621","2"
"No","1985","Baden-Württemberg","Not Working","24","","","","2"
"No","1985","Bavaria","Full Time","656","0.755567067656056","0.726470453780914","0.784663681531198","2"
"No","1985","Bavaria","Part Time","209","0.839254979682843","0.793449720831683","0.885060238534004","2"
"No","1985","Bavaria","Not Working","13","","","","2"
"No","1985","Berlin","Full Time","92","0.550814092189769","0.47173860435296","0.629889580026577","2"
"No","1985","Berlin","Part Time","36","0.663748701927175","0.538895244456256","0.788602159398095","2"
"No","1985","Brandenburg","Full Time","","","","","2"
"No","1985","Brandenburg","Part Time","","","","","2"
"No","1985","Brandenburg","Not Working","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","1985","Saxony","Full Time","","","","","2"
"No","1985","Berlin","Not Working","2","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","1985","Saxony","Part Time","","","","","2"
"No","1985","Saxony","Not Working","","","","","2"
"No","1985","Saxony-Anhalt","Full Time","","","","","2"
"No","1985","Saxony-Anhalt","Part Time","","","","","2"
"No","1985","Saxony-Anhalt","Not Working","","","","","2"
"No","1985","Thuringia","Full Time","","","","","2"
"No","1985","Thuringia","Part Time","","","","","2"
"No","1985","Thuringia","Not Working","","","","","2"
"Yes","1985","Schleswig-Holstein","Full Time","40","0.302816689458293","0.228539952187607","0.37709342672898","1"
"Yes","1985","Schleswig-Holstein","Part Time","8","","","","1"
"Yes","1985","Schleswig-Holstein","Not Working","2","","","","1"
"Yes","1985","Hamburg","Full Time","34","0.259224287215787","0.18240428833034","0.336044286101234","1"
"Yes","1985","Hamburg","Part Time","10","","","","1"
"Yes","1985","Hamburg","Not Working","","","","","1"
"Yes","1985","Lower Saxony","Full Time","109","0.287398082474074","0.244169353193944","0.330626811754204","1"
"Yes","1985","Lower Saxony","Part Time","33","0.281506827688756","0.200703285491002","0.36231036988651","1"
"Yes","1985","Lower Saxony","Not Working","2","","","","1"
"Yes","1985","Bremen","Full Time","5","","","","1"
"Yes","1985","Bremen","Part Time","4","","","","1"
"Yes","1985","Bremen","Not Working","","","","","1"
"Yes","1985","North Rhine-Westphalia","Full Time","257","0.249826749134029","0.225643239946861","0.274010258321198","1"
"Yes","1985","North Rhine-Westphalia","Part Time","99","0.32228336659396","0.271935959130494","0.372630774057425","1"
"Yes","1985","North Rhine-Westphalia","Not Working","6","","","","1"
"Yes","1985","Hesse","Full Time","125","0.301266299733661","0.260848132805643","0.341684466661679","1"
"Yes","1985","Hesse","Part Time","26","","","","1"
"Yes","1985","Hesse","Not Working","2","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Full Time","76","0.278844118768255","0.229864491651003","0.327823745885508","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Part Time","17","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Not Working","1","","","","1"
"Yes","1985","Baden-Württemberg","Full Time","159","0.209866034302077","0.184396923030187","0.235335145573968","1"
"Yes","1985","Baden-Württemberg","Part Time","49","0.21459295893409","0.164498075859379","0.264687842008801","1"
"Yes","1985","Baden-Württemberg","Not Working","2","","","","1"
"Yes","1985","Bavaria","Full Time","182","0.244432932343944","0.215336318468802","0.273529546219086","1"
"Yes","1985","Bavaria","Part Time","38","0.160745020317157","0.114939761465996","0.206550279168317","1"
"Yes","1985","Bavaria","Not Working","4","","","","1"
"Yes","1985","Berlin","Full Time","60","0.449185907810231","0.370110419973422","0.528261395647039","1"
"Yes","1985","Berlin","Part Time","19","","","","1"
"Yes","1985","Berlin","Not Working","1","","","","1"
"Yes","1985","Brandenburg","Full Time","","","","","1"
"Yes","1985","Brandenburg","Part Time","","","","","1"
"Yes","1985","Brandenburg","Not Working","","","","","1"
"Yes","1985","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","1985","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","1985","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","1985","Saxony","Full Time","","","","","1"
"Yes","1985","Saxony","Part Time","","","","","1"
"Yes","1985","Saxony","Not Working","","","","","1"
"Yes","1985","Saxony-Anhalt","Full Time","","","","","1"
"Yes","1985","Saxony-Anhalt","Part Time","","","","","1"
"Yes","1985","Saxony-Anhalt","Not Working","","","","","1"
"Yes","1985","Thuringia","Full Time","","","","","1"
"Yes","1985","Thuringia","Part Time","","","","","1"
"Yes","1985","Thuringia","Not Working","","","","","1"
"No","1986","Schleswig-Holstein","Full Time","99","0.712306969583668","0.63566018169817","0.788953757469165","2"
"No","1986","Bremen","Part Time","9","","","","2"
"No","1986","Hamburg","Full Time","80","0.748165760071296","0.665920191880376","0.830411328262215","2"
"No","1986","Hamburg","Part Time","12","","","","2"
"No","1986","Hamburg","Not Working","2","","","","2"
"No","1986","Lower Saxony","Part Time","96","0.757116637120506","0.68224055758439","0.831992716656621","2"
"No","1986","Lower Saxony","Not Working","9","","","","2"
"No","1986","Bremen","Not Working","","","","","2"
"No","1986","North Rhine-Westphalia","Full Time","920","0.740212988321382","0.715234893634083","0.765191083008681","2"
"No","1986","Schleswig-Holstein","Part Time","34","0.795545305986633","0.676379198234275","0.914711413738992","2"
"No","1986","Schleswig-Holstein","Not Working","1","","","","2"
"No","1986","Hesse","Full Time","346","0.717752002301245","0.676258364199392","0.759245640403097","2"
"No","1986","Hesse","Part Time","84","0.671977458760952","0.586540005693218","0.757414911828686","2"
"No","1986","Hesse","Not Working","3","","","","2"
"No","1986","Rhineland-Palatinate,Saarland","Full Time","254","0.741316635544166","0.693633839994206","0.788999431094125","2"
"No","1986","Rhineland-Palatinate,Saarland","Not Working","3","","","","2"
"No","1986","Bremen","Full Time","26","","","","2"
"No","1986","North Rhine-Westphalia","Part Time","193","0.703075733278483","0.648777269884396","0.757374196672571","2"
"No","1986","North Rhine-Westphalia","Not Working","12","","","","2"
"No","1986","Lower Saxony","Full Time","309","0.709338948992069","0.665809790294206","0.752868107689932","2"
"No","1986","Rhineland-Palatinate,Saarland","Part Time","51","0.760261286488568","0.658789768348591","0.861732804628545","2"
"No","1986","Baden-Württemberg","Full Time","797","0.788295129534349","0.762276588041251","0.814313671027447","2"
"No","1986","Baden-Württemberg","Part Time","191","0.731341747536789","0.676062784234458","0.786620710839121","2"
"No","1986","Baden-Württemberg","Not Working","10","","","","2"
"No","1986","Bavaria","Full Time","625","0.750666670312346","0.7207623592313","0.780570981393392","2"
"No","1986","Bavaria","Part Time","162","0.795272184619993","0.739068884321272","0.851475484918713","2"
"No","1986","Bavaria","Not Working","10","","","","2"
"No","1986","Berlin","Full Time","94","0.565034292028667","0.48622249872641","0.643846085330923","2"
"No","1986","Berlin","Part Time","32","0.666630424305116","0.533268142147445","0.799992706462786","2"
"No","1986","Berlin","Not Working","1","","","","2"
"No","1986","Brandenburg","Full Time","","","","","2"
"No","1986","Brandenburg","Part Time","","","","","2"
"No","1986","Brandenburg","Not Working","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","1986","Saxony","Full Time","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","1986","Saxony","Part Time","","","","","2"
"No","1986","Saxony","Not Working","","","","","2"
"No","1986","Saxony-Anhalt","Full Time","","","","","2"
"No","1986","Saxony-Anhalt","Part Time","","","","","2"
"No","1986","Saxony-Anhalt","Not Working","","","","","2"
"No","1986","Thuringia","Full Time","","","","","2"
"No","1986","Thuringia","Part Time","","","","","2"
"No","1986","Thuringia","Not Working","","","","","2"
"Yes","1986","Schleswig-Holstein","Full Time","35","0.287693030416332","0.211046242530835","0.36433981830183","1"
"Yes","1986","Schleswig-Holstein","Part Time","10","","","","1"
"Yes","1986","Schleswig-Holstein","Not Working","1","","","","1"
"Yes","1986","Hamburg","Full Time","27","","","","1"
"Yes","1986","Hamburg","Part Time","9","","","","1"
"Yes","1986","Hamburg","Not Working","","","","","1"
"Yes","1986","Lower Saxony","Full Time","109","0.290661051007931","0.247131892310068","0.334190209705794","1"
"Yes","1986","Lower Saxony","Part Time","30","0.242883362879494","0.168007283343379","0.31775944241561","1"
"Yes","1986","Lower Saxony","Not Working","1","","","","1"
"Yes","1986","Bremen","Full Time","4","","","","1"
"Yes","1986","Bremen","Part Time","2","","","","1"
"Yes","1986","Bremen","Not Working","","","","","1"
"Yes","1986","North Rhine-Westphalia","Full Time","264","0.259787011678618","0.234808916991318","0.284765106365917","1"
"Yes","1986","North Rhine-Westphalia","Part Time","79","0.296924266721517","0.242625803327429","0.351222730115604","1"
"Yes","1986","North Rhine-Westphalia","Not Working","5","","","","1"
"Yes","1986","Hesse","Full Time","106","0.282247997698755","0.240754359596903","0.323741635800608","1"
"Yes","1986","Hesse","Part Time","32","0.328022541239048","0.242585088171314","0.413459994306782","1"
"Yes","1986","Hesse","Not Working","2","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","Full Time","70","0.258683364455834","0.211000568905875","0.306366160005794","1"
"Yes","1986","Rhineland-Palatinate,Saarland","Part Time","17","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","Not Working","","","","","1"
"Yes","1986","Baden-Württemberg","Full Time","150","0.211704870465651","0.185686328972554","0.237723411958749","1"
"Yes","1986","Baden-Württemberg","Part Time","56","0.268658252463211","0.213379289160879","0.323937215765542","1"
"Yes","1986","Baden-Württemberg","Not Working","3","","","","1"
"Yes","1986","Bavaria","Full Time","179","0.249333329687654","0.219429018606608","0.2792376407687","1"
"Yes","1986","Bavaria","Part Time","36","0.204727815380007","0.148524515081287","0.260931115678727","1"
"Yes","1986","Bavaria","Not Working","4","","","","1"
"Yes","1986","Berlin","Full Time","58","0.434965707971333","0.356153914669077","0.51377750127359","1"
"Yes","1986","Berlin","Part Time","16","","","","1"
"Yes","1986","Berlin","Not Working","","","","","1"
"Yes","1986","Brandenburg","Full Time","","","","","1"
"Yes","1986","Brandenburg","Part Time","","","","","1"
"Yes","1986","Brandenburg","Not Working","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","1986","Saxony","Full Time","","","","","1"
"Yes","1986","Saxony","Part Time","","","","","1"
"Yes","1986","Saxony","Not Working","","","","","1"
"Yes","1986","Saxony-Anhalt","Full Time","","","","","1"
"Yes","1986","Saxony-Anhalt","Part Time","","","","","1"
"Yes","1986","Saxony-Anhalt","Not Working","","","","","1"
"Yes","1986","Thuringia","Full Time","","","","","1"
"Yes","1986","Thuringia","Part Time","","","","","1"
"Yes","1986","Thuringia","Not Working","","","","","1"
"No","1987","Rhineland-Palatinate,Saarland","Full Time","263","0.773925199160697","0.728308652750743","0.81954174557065","2"
"No","1987","North Rhine-Westphalia","Not Working","18","","","","2"
"No","1987","North Rhine-Westphalia","Part Time","220","0.70364559178766","0.652480935706508","0.754810247868812","2"
"No","1987","Schleswig-Holstein","Not Working","2","","","","2"
"No","1987","Hamburg","Full Time","75","0.771157022503603","0.68755776356293","0.854756281444277","2"
"No","1987","Hamburg","Part Time","12","","","","2"
"No","1987","Lower Saxony","Not Working","5","","","","2"
"No","1987","Bremen","Part Time","11","","","","2"
"No","1987","Bremen","Not Working","","","","","2"
"No","1987","Schleswig-Holstein","Part Time","29","","","","2"
"No","1987","Hesse","Part Time","96","0.701558352380377","0.620693993156055","0.7824227116047","2"
"No","1987","Hesse","Not Working","9","","","","2"
"No","1987","Lower Saxony","Part Time","105","0.723808031588399","0.649745032421639","0.797871030755158","2"
"No","1987","Rhineland-Palatinate,Saarland","Not Working","4","","","","2"
"No","1987","Baden-Württemberg","Full Time","801","0.789304525099046","0.763386152253823","0.815222897944268","2"
"No","1987","Baden-Württemberg","Part Time","176","0.742575073898066","0.686315092982659","0.798835054813472","2"
"No","1987","Rhineland-Palatinate,Saarland","Part Time","46","0.715668981385534","0.605152685197172","0.826185277573896","2"
"No","1987","Schleswig-Holstein","Full Time","100","0.728325266222818","0.653010001824883","0.803640530620753","2"
"No","1987","Bremen","Full Time","20","","","","2"
"No","1987","North Rhine-Westphalia","Full Time","879","0.719847501143961","0.693993731555032","0.745701270732889","2"
"No","1987","Hesse","Full Time","366","0.755609966092545","0.716382684517847","0.794837247667244","2"
"No","1987","Hamburg","Not Working","3","","","","2"
"No","1987","Lower Saxony","Full Time","322","0.699019155324569","0.656111992566039","0.741926318083098","2"
"No","1987","Baden-Württemberg","Not Working","14","","","","2"
"No","1987","Bavaria","Full Time","616","0.761570193444642","0.731665728801745","0.791474658087538","2"
"No","1987","Bavaria","Part Time","202","0.807027684661241","0.757912704715676","0.856142664606805","2"
"No","1987","Bavaria","Not Working","6","","","","2"
"No","1987","Berlin","Full Time","105","0.569125499432853","0.494020426157225","0.644230572708481","2"
"No","1987","Berlin","Part Time","30","0.593243587971987","0.455702080060362","0.730785095883612","2"
"No","1987","Berlin","Not Working","1","","","","2"
"No","1987","Brandenburg","Full Time","","","","","2"
"No","1987","Brandenburg","Part Time","","","","","2"
"No","1987","Brandenburg","Not Working","","","","","2"
"No","1987","Saxony","Full Time","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","1987","Saxony","Part Time","","","","","2"
"No","1987","Saxony","Not Working","","","","","2"
"No","1987","Saxony-Anhalt","Full Time","","","","","2"
"No","1987","Saxony-Anhalt","Part Time","","","","","2"
"No","1987","Saxony-Anhalt","Not Working","","","","","2"
"No","1987","Thuringia","Full Time","","","","","2"
"No","1987","Thuringia","Part Time","","","","","2"
"No","1987","Thuringia","Not Working","","","","","2"
"Yes","1987","Hesse","Not Working","4","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Full Time","60","0.226074800839303","0.18045825442935","0.271691347249257","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Part Time","18","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Not Working","","","","","1"
"Yes","1987","Baden-Württemberg","Full Time","150","0.210695474900954","0.184777102055732","0.236613847746177","1"
"Yes","1987","Baden-Württemberg","Part Time","56","0.257424926101934","0.201164945186528","0.313684907017341","1"
"Yes","1987","Baden-Württemberg","Not Working","1","","","","1"
"Yes","1987","Bavaria","Full Time","164","0.238429806555358","0.208525341912462","0.268334271198255","1"
"Yes","1987","Bavaria","Part Time","46","0.192972315338759","0.143857335393195","0.242087295284324","1"
"Yes","1987","Bavaria","Not Working","9","","","","1"
"Yes","1987","Berlin","Full Time","62","0.430874500567147","0.355769427291519","0.505979573842775","1"
"Yes","1987","Berlin","Part Time","19","","","","1"
"Yes","1987","Berlin","Not Working","","","","","1"
"Yes","1987","Schleswig-Holstein","Full Time","34","0.271674733777182","0.196359469379247","0.346989998175117","1"
"Yes","1987","Schleswig-Holstein","Part Time","13","","","","1"
"Yes","1987","Schleswig-Holstein","Not Working","2","","","","1"
"Yes","1987","Hamburg","Full Time","22","","","","1"
"Yes","1987","Hamburg","Part Time","8","","","","1"
"Yes","1987","Hamburg","Not Working","","","","","1"
"Yes","1987","Lower Saxony","Full Time","117","0.300980844675431","0.258073681916902","0.343888007433961","1"
"Yes","1987","Lower Saxony","Part Time","35","0.276191968411601","0.202128969244842","0.350254967578361","1"
"Yes","1987","Lower Saxony","Not Working","1","","","","1"
"Yes","1987","Bremen","Full Time","5","","","","1"
"Yes","1987","Bremen","Part Time","1","","","","1"
"Yes","1987","Bremen","Not Working","","","","","1"
"Yes","1987","North Rhine-Westphalia","Full Time","280","0.280152498856039","0.254298729267111","0.306006268444968","1"
"Yes","1987","North Rhine-Westphalia","Part Time","86","0.29635440821234","0.245189752131188","0.347519064293492","1"
"Yes","1987","North Rhine-Westphalia","Not Working","6","","","","1"
"Yes","1987","Hesse","Full Time","95","0.244390033907455","0.205162752332757","0.283617315482153","1"
"Yes","1987","Hesse","Part Time","27","","","","1"
"Yes","1987","Brandenburg","Full Time","","","","","1"
"Yes","1987","Brandenburg","Part Time","","","","","1"
"Yes","1987","Brandenburg","Not Working","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","1987","Saxony","Full Time","","","","","1"
"Yes","1987","Saxony","Part Time","","","","","1"
"Yes","1987","Saxony","Not Working","","","","","1"
"Yes","1987","Saxony-Anhalt","Full Time","","","","","1"
"Yes","1987","Saxony-Anhalt","Part Time","","","","","1"
"Yes","1987","Saxony-Anhalt","Not Working","","","","","1"
"Yes","1987","Thuringia","Full Time","","","","","1"
"Yes","1987","Thuringia","Part Time","","","","","1"
"Yes","1987","Thuringia","Not Working","","","","","1"
"No","1988","Hesse","Part Time","100","0.753912861935321","0.679870298018905","0.827955425851738","2"
"No","1988","North Rhine-Westphalia","Part Time","242","0.71663387594673","0.668014010467684","0.765253741425777","2"
"No","1988","Rhineland-Palatinate,Saarland","Full Time","250","0.79063187657998","0.744745151868931","0.83651860129103","2"
"No","1988","North Rhine-Westphalia","Not Working","22","","","","2"
"No","1988","Schleswig-Holstein","Full Time","99","0.718257699091844","0.641224378897767","0.795291019285921","2"
"No","1988","Schleswig-Holstein","Part Time","29","","","","2"
"No","1988","Schleswig-Holstein","Not Working","5","","","","2"
"No","1988","Hamburg","Full Time","67","0.796025215735005","0.711353157180057","0.880697274289953","2"
"No","1988","Hamburg","Part Time","15","","","","2"
"No","1988","Lower Saxony","Part Time","104","0.745088949084039","0.671573333263005","0.818604564905072","2"
"No","1988","Lower Saxony","Not Working","9","","","","2"
"No","1988","Bremen","Full Time","24","","","","2"
"No","1988","Bremen","Part Time","11","","","","2"
"No","1988","Bremen","Not Working","1","","","","2"
"No","1988","North Rhine-Westphalia","Full Time","851","0.72047704224662","0.694171575976332","0.746782508516908","2"
"No","1988","Hesse","Full Time","346","0.740049788491519","0.698832537818658","0.78126703916438","2"
"No","1988","Hesse","Not Working","7","","","","2"
"No","1988","Rhineland-Palatinate,Saarland","Part Time","57","0.764030252157501","0.665265413548027","0.862795090766975","2"
"No","1988","Rhineland-Palatinate,Saarland","Not Working","4","","","","2"
"No","1988","Baden-Württemberg","Full Time","770","0.790396403928699","0.763965577356483","0.816827230500915","2"
"No","1988","Baden-Württemberg","Part Time","198","0.724808113687234","0.67020582270296","0.779410404671507","2"
"No","1988","Hamburg","Not Working","2","","","","2"
"No","1988","Lower Saxony","Full Time","304","0.709014942099333","0.664941086175798","0.753088798022868","2"
"No","1988","Baden-Württemberg","Not Working","12","","","","2"
"No","1988","Bavaria","Full Time","604","0.758933367495552","0.728643032210097","0.789223702781008","2"
"No","1988","Bavaria","Part Time","194","0.82535052621014","0.776600709463846","0.874100342956434","2"
"No","1988","Bavaria","Not Working","10","","","","2"
"No","1988","Berlin","Full Time","104","0.58644303089885","0.510840753953235","0.662045307844466","2"
"No","1988","Berlin","Part Time","31","0.605394060422221","0.465660717555147","0.745127403289296","2"
"No","1988","Berlin","Not Working","3","","","","2"
"No","1988","Brandenburg","Full Time","","","","","2"
